Date,AFG,AGO,ALB,AND,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GTM,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAR,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NER,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,OWID_WRL,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
1990,-2390000.0,26530000.0,190000.0,0.0,0.0,47730000.0,129999.99,0.0,54760000.0,-13300000.0,-1590000.0,4990000.0,-3880000.0,15540000.0,13010000.0,18190000.0,-21830000.0,0.0,40000.0,3340000.0,-13100000.0,6590000.0,83280000.0,1052069950.0,0.0,1350000.0,-6590000.0,41070000.0,32580002.0,83920000.0,-890000.0,-16540001.0,-346490000.0,59890000.0,53700000.0,398440000.0,8840000.0,-20000.0,92770000.0,60000.0,-510000.0,2430000.0,-10770000.0,-70000.0,-9290000.0,-32750000.0,0.0,60000.0,1570000.0,-7250000.0,670000.0,36560000.0,-410000.0,440000.0,-42660000.0,240000.0,26510000.0,-25860000.0,-2560000.0,-24290000.0,,3470000.0,11950000.0,-18390000.0,10030000.0,10720000.0,730000.0,1780000.0,3830000.0,-1020000.0,0.0,16629999.0,5470000.0,5960000.0,-850000.0,70000.0,1520000.0,663690000.0,-217780000.0,7810000.0,-20410000.0,-129999.99,710000.0,-20000.0,-34590000.0,350000.0,0.0,-75390000.0,-770000.0,-4280000.0,-1030000.0,9080000.0,0.0,0.0,-42430000.0,-20000.0,12830000.0,10000.0,13520000.0,0.0,-140000.0,20000.0,4490000.0,10000.0,5800000.0,-640000.0,-10670000.0,-4890000.0,-230000.0,28530000.0,0.0,24660000.0,,0.0,2069999.9,0.0,151130000.0,-340000.0,23590000.0,67100000.0,400000.0,-20000.0,8350000.5,108360000.0,10570000.0,5810000.0,48360000.0,19620000.0,0.0,6920000.0,-11090000.0,-1300000.0,0.0,-24620000.0,0.0,2026710000.0,8050000.0,5840000.0,59880000.0,2470000.0,,22500000.0,2710000.0,6520000.0,1510000.0,43020000.0,0.0,660000.0,-345080000.0,2480000.0,0.0,21320000.0,5400000.0,-50000.0,3910000.0,3410000.0,1090000.0,17350000.0,-2910000.0,11000000.0,10000.0,3080000.0,-9400000.0,-9390000.0,5250000.0,-90000.0,0.0,-670000.0,9600000.0,2710000.0,14240000.0,30000.0,0.0,470000.0,0.0,80000.0,-920000.0,-16930000.0,0.0,59190000.0,14490000.0,-39320000.0,-13180000.0,-406620000.0,-770000.0,-50000.0,145040000.0,-72690000.0,0.0,110000.0,0.0,6850000.0,37100000.0,10590000.0
1991,-2390000.0,26530000.0,190000.0,0.0,0.0,47730000.0,129999.99,0.0,54760000.0,-13300000.0,-1590000.0,4990000.0,-3880000.0,15540000.0,13010000.0,18190000.0,-21830000.0,0.0,40000.0,3340000.0,-13100000.0,6590000.0,83280000.0,1052069950.0,0.0,1350000.0,-6590000.0,41070000.0,32580002.0,83920000.0,-890000.0,-16540001.0,-346490000.0,59890000.0,53700000.0,398440000.0,8840000.0,-20000.0,92770000.0,60000.0,-510000.0,2430000.0,-10770000.0,-70000.0,-9290000.0,-32750000.0,0.0,60000.0,1570000.0,-7250000.0,670000.0,36560000.0,-410000.0,440000.0,-42660000.0,240000.0,26510000.0,-25860000.0,-2560000.0,-24290000.0,-30000.0,3470000.0,11950000.0,-18390000.0,10030000.0,10720000.0,730000.0,1780000.0,3830000.0,-1020000.0,0.0,16629999.0,5470000.0,5960000.0,-850000.0,70000.0,1520000.0,663690000.0,-217780000.0,7810000.0,-20410000.0,-129999.99,710000.0,-20000.0,-34590000.0,350000.0,0.0,-75390000.0,-770000.0,-4280000.0,-1030000.0,9080000.0,0.0,0.0,-42430000.0,-20000.0,12830000.0,10000.0,13520000.0,0.0,-140000.0,20000.0,4490000.0,10000.0,5800000.0,-640000.0,-10670000.0,-4890000.0,-230000.0,28530000.0,0.0,24660000.0,0.0,0.0,2069999.9,0.0,151130000.0,-340000.0,23590000.0,67100000.0,400000.0,-20000.0,8350000.5,108360000.0,10570000.0,5810000.0,48360000.0,19620000.0,0.0,6920000.0,-11090000.0,-1300000.0,0.0,-24620000.0,0.0,2026710000.0,8050000.0,5840000.0,59880000.0,2470000.0,0.0,22500000.0,2710000.0,6520000.0,1510000.0,43020000.0,0.0,660000.0,-345080000.0,2480000.0,0.0,21320000.0,5400000.0,-50000.0,3910000.0,3410000.0,1090000.0,17350000.0,-2910000.0,11000000.0,10000.0,3080000.0,-9400000.0,-9390000.0,5250000.0,-90000.0,0.0,-670000.0,9600000.0,2710000.0,14240000.0,30000.0,0.0,470000.0,0.0,80000.0,-920000.0,-16930000.0,0.0,59190000.0,14490000.0,-39320000.0,-13180000.0,-406620000.0,-770000.0,-50000.0,145040000.0,-72690000.0,0.0,110000.0,0.0,6850000.0,37100000.0,10590000.0
1992,-2390000.0,26530000.0,190000.0,0.0,0.0,47730000.0,129999.99,0.0,54760000.0,-13300000.0,-1580000.0,4990000.0,-3880000.0,15540000.0,13010000.0,18190000.0,-21830000.0,0.0,40000.0,3340000.0,-13150000.0,6590000.0,83280000.0,1052069950.0,0.0,1350000.0,-6590000.0,41070000.0,32580002.0,83920000.0,-890000.0,-16540001.0,-346490000.0,59890000.0,53700000.0,398440000.0,8840000.0,-20000.0,92770000.0,60000.0,-510000.0,2430000.0,-10770000.0,-70000.0,-9290000.0,-32750000.0,0.0,60000.0,1570000.0,-7250000.0,670000.0,36560000.0,-410000.0,440000.0,-42660000.0,200000.0,26510000.0,-25860000.0,-2560000.0,-24290000.0,-30000.0,3470000.0,11950000.0,-18260000.0,10030000.0,10720000.0,730000.0,1780000.0,3830000.0,-1020000.0,0.0,16629999.0,5470000.0,5960000.0,-850000.0,70000.0,1520000.0,663690000.0,-217780000.0,7810000.0,-20410000.0,-129999.99,710000.0,-20000.0,-34590000.0,350000.0,0.0,-75390000.0,-790000.0,-4280000.0,-1020000.0,9080000.0,0.0,0.0,-42430000.0,-20000.0,12830000.0,10000.0,13520000.0,0.0,-140000.0,20000.0,4490000.0,10000.0,5770000.0,-640000.0,-10670000.0,-4890000.0,-230000.0,28530000.0,0.0,24660000.0,0.0,0.0,2069999.9,0.0,151130000.0,-340000.0,23590000.0,67100000.0,400000.0,-20000.0,8350000.5,108360000.0,10570000.0,5810000.0,48360000.0,19620000.0,0.0,6920000.0,-11090000.0,-1300000.0,0.0,-24620000.0,0.0,2026720000.0,8050000.0,5840000.0,59880000.0,2470000.0,0.0,22500000.0,2710000.0,6520000.0,1510000.0,43020000.0,0.0,660000.0,-345360000.0,2480000.0,0.0,21320000.0,5400000.0,-50000.0,3910000.0,3410000.0,1090000.0,17350000.0,-2910000.0,11000000.0,10000.0,3080000.0,-9400000.0,-9390000.0,5250000.0,-90000.0,0.0,-670000.0,9600000.0,2710000.0,14240000.0,30000.0,0.0,470000.0,0.0,80000.0,-920000.0,-16930000.0,0.0,59190000.0,14490000.0,-39050000.0,-13180000.0,-406620000.0,-770000.0,-50000.0,145040000.0,-72690000.0,0.0,110000.0,0.0,6850000.0,37100000.0,10590000.0
1993,-2390000.0,26530000.0,190000.0,0.0,0.0,47730000.0,129999.99,0.0,54750000.0,-13300000.0,-1580000.0,4990000.0,-3880000.0,15540000.0,13010000.0,18190000.0,-21830000.0,0.0,40000.0,3340000.0,-13150000.0,6590000.0,83280000.0,1052090000.0,0.0,1350000.0,-6590000.0,41070000.0,32580002.0,83920000.0,-900000.0,-16540001.0,-346490000.0,59890000.0,53700000.0,398440000.0,8840000.0,-20000.0,92770000.0,60000.0,-510000.0,2430000.0,-10770000.0,-70000.0,-9290000.0,-32759998.0,0.0,60000.0,1570000.0,-7250000.0,670000.0,36560000.0,-410000.0,440000.0,-42660000.0,200000.0,26500000.0,-25860000.0,-2560000.0,-24290000.0,-30000.0,3470000.0,11950000.0,-18260000.0,10030000.0,10720000.0,730000.0,1780000.0,3830000.0,-1020000.0,0.0,16629999.0,6110000.0,5960000.0,-850000.0,70000.0,1520000.0,663680000.0,-217780000.0,7810000.0,-20410000.0,-129999.99,710000.0,-20000.0,-34590000.0,350000.0,0.0,-75440000.0,-790000.0,-4280000.0,-1020000.0,9080000.0,0.0,0.0,-42430000.0,-20000.0,12830000.0,10000.0,13520000.0,0.0,-140000.0,20000.0,4490000.0,10000.0,5770000.0,-640000.0,-10670000.0,-4890000.0,-230000.0,28530000.0,0.0,24660000.0,0.0,0.0,2069999.9,0.0,151130000.0,-340000.0,23590000.0,67100000.0,400000.0,-20000.0,8350000.5,108350000.0,10570000.0,5810000.0,48360000.0,19620000.0,0.0,6910000.0,-11100000.0,-1300000.0,0.0,-24620000.0,0.0,2027150100.0,8050000.0,5840000.0,59880000.0,2470000.0,0.0,22500000.0,2710000.0,6520000.0,1510000.0,43020000.0,0.0,660000.0,-345370000.0,2480000.0,0.0,21320000.0,5400000.0,-50000.0,3910000.0,3410000.0,1090000.0,17350000.0,-2910000.0,11000000.0,10000.0,3150000.0,-9400000.0,-9390000.0,5250000.0,-90000.0,0.0,-670000.0,9600000.0,2710000.0,14240000.0,30000.0,0.0,470000.0,0.0,80000.0,-920000.0,-16930000.0,0.0,59190000.0,14490000.0,-39050000.0,-13180000.0,-406770000.0,-770000.0,-50000.0,145040000.0,-72690000.0,0.0,110000.0,0.0,6850000.0,37100000.0,10590000.0
1994,-2390000.0,26530000.0,190000.0,0.0,0.0,47730000.0,129999.99,0.0,54750000.0,-13300000.0,-1580000.0,4990000.0,-3880000.0,15540000.0,13010000.0,18190000.0,-21830000.0,0.0,40000.0,3340000.0,-13160000.0,6590000.0,83280000.0,1052090000.0,0.0,1350000.0,-6590000.0,41070000.0,32580002.0,83920000.0,-910000.0,-16540001.0,-346490000.0,59890000.0,53700000.0,398440000.0,8840000.0,-20000.0,92770000.0,60000.0,-510000.0,2430000.0,-10770000.0,-70000.0,-9290000.0,-32770000.0,0.0,60000.0,1570000.0,-7250000.0,670000.0,36560000.0,-410000.0,440000.0,-42660000.0,200000.0,26500000.0,-25860000.0,-2560000.0,-24300000.0,-30000.0,3470000.0,11940000.0,-18260000.0,10030000.0,10720000.0,730000.0,1780000.0,3830000.0,-1020000.0,0.0,16629999.0,6110000.0,5960000.0,-850000.0,70000.0,1520000.0,663659970.0,-217780000.0,7810000.0,-20410000.0,-129999.99,710000.0,-20000.0,-34590000.0,350000.0,0.0,-75490000.0,-790000.0,-4280000.0,-1020000.0,9080000.0,0.0,0.0,-42430000.0,-20000.0,12830000.0,10000.0,13520000.0,0.0,-140000.0,20000.0,4490000.0,10000.0,5760000.0,-640000.0,-10670000.0,-4890000.0,-230000.0,28530000.0,0.0,24660000.0,0.0,0.0,2069999.9,0.0,151120000.0,-340000.0,23590000.0,67100000.0,400000.0,-20000.0,8350000.5,108340000.0,10570000.0,5810000.0,48360000.0,19620000.0,0.0,6900000.0,-11100000.0,-1300000.0,0.0,-24620000.0,0.0,2026820000.0,8050000.0,5840000.0,59880000.0,2470000.0,0.0,22500000.0,2690000.0,6520000.0,1510000.0,43020000.0,0.0,660000.0,-345380000.0,2480000.0,0.0,21320000.0,5400000.0,-50000.0,3910000.0,3410000.0,1090000.0,17350000.0,-2910000.0,11000000.0,10000.0,3150000.0,-9400000.0,-9390000.0,5250000.0,-90000.0,0.0,-670000.0,9600000.0,2710000.0,14240000.0,30000.0,0.0,470000.0,0.0,80000.0,-920000.0,-16930000.0,0.0,59190000.0,14490000.0,-39070000.0,-13180000.0,-406920000.0,-770000.0,-50000.0,145040000.0,-72690000.0,0.0,110000.0,0.0,6850000.0,37100000.0,10590000.0
1995,-2390000.0,26530000.0,190000.0,0.0,0.0,47740000.0,129999.99,0.0,54790000.0,-13300000.0,-1580000.0,5100000.0,-3880000.0,15540000.0,13010000.0,18220000.0,-21830000.0,0.0,40000.0,3340000.0,-12830000.0,6590000.0,83280000.0,1052090000.0,0.0,1370000.0,-6590000.0,41070000.0,32580002.0,84380000.0,-920000.0,-16540001.0,-346440000.0,60050000.0,53710000.0,398440000.0,8830000.0,-20000.0,92800000.0,60000.0,-510000.0,2430000.0,-10770000.0,-70000.0,-9290000.0,-32730000.0,0.0,60000.0,1570000.0,-7250000.0,670000.0,36560000.0,-410000.0,440000.0,-42670000.0,310000.0,26540000.0,-25840000.0,-2560000.0,-24300000.0,-30000.0,3470000.0,11930000.0,-18260000.0,10030000.0,10710000.0,730000.0,1780000.0,3830000.0,-1010000.0,0.0,16629999.0,6440000.0,5960000.0,-850000.0,70000.0,1540000.0,665120000.0,-217760000.0,7780000.0,-20410000.0,-129999.99,710000.0,-20000.0,-34590000.0,360000.0,0.0,-75460000.0,-790000.0,-4270000.0,-1020000.0,9080000.0,0.0,0.0,-42430000.0,-20000.0,12830000.0,10000.0,13520000.0,0.0,-140000.0,20000.0,4490000.0,10000.0,5770000.0,-640000.0,-10510000.0,-4890000.0,-230000.0,28580000.0,0.0,24660000.0,0.0,0.0,2069999.9,0.0,151130000.0,-340000.0,23600000.0,67100000.0,400000.0,-20000.0,8359999.5,108030000.0,10570000.0,5810000.0,48360000.0,19620000.0,0.0,6900000.0,-11150000.0,-1330000.0,0.0,-24580000.0,0.0,2032420100.0,8050000.0,5840000.0,59890000.0,2470000.0,0.0,24360000.0,2640000.0,6520000.0,1510000.0,43020000.0,0.0,660000.0,-345400000.0,2500000.0,0.0,21500000.0,5400000.0,-50000.0,3910000.0,3410000.0,1090000.0,17350000.0,-2910000.0,11090000.0,10000.0,3200000.0,-9400000.0,-9390000.0,5280000.0,-90000.0,0.0,-670000.0,9600000.0,2710000.0,14160000.0,30000.0,0.0,470000.0,0.0,80000.0,-920000.0,-16930000.0,0.0,59200000.0,14530000.0,-38970000.0,-13170000.0,-406690020.0,-770000.0,-50000.0,145030000.0,-72670000.0,0.0,110000.0,0.0,6850000.0,37100000.0,10590000.0
1996,-2390000.0,26770000.0,200000.0,0.0,0.0,49540000.0,129999.99,0.0,56820000.0,-13300000.0,-1580000.0,5140000.0,-3880000.0,15630000.0,13430000.0,18190000.0,-21820000.0,0.0,90000.0,3330000.0,-12750000.0,6570000.0,82950000.0,1050699970.0,0.0,1300000.0,-6590000.0,41290000.0,16320000.0,88160000.0,-920000.0,-16629999.0,-345970020.0,60060000.0,54160000.0,393269980.0,8920000.0,-20000.0,92660000.0,60000.0,-510000.0,2420000.0,-10760000.0,-70000.0,-9290000.0,-32790000.0,0.0,60000.0,1570000.0,-7250000.0,670000.0,36570000.0,-410000.0,440000.0,-42620000.0,320000.0,25990000.0,-25830000.0,-2560000.0,-24310000.0,-30000.0,3500000.0,11850000.0,-18260000.0,10020000.0,10700000.0,690000.0,1490000.0,3830000.0,-1020000.0,0.0,17040000.0,6670000.0,5860000.0,-850000.0,70000.0,1540000.0,495540000.0,-220690000.0,7750000.0,-20360000.0,-129999.99,710000.0,-20000.0,-34590000.0,370000.0,0.0,-75490000.0,-680000.0,-4270000.0,-1020000.0,4660000.0,0.0,0.0,-42430000.0,-20000.0,12880000.0,10000.0,13420000.0,0.0,-140000.0,20000.0,4530000.0,0.0,5740000.0,-640000.0,-10500000.0,-4890000.0,-230000.0,29040000.0,0.0,24000000.0,0.0,0.0,1430000.0,0.0,146830000.0,-340000.0,23760000.0,50980000.0,400000.0,-20000.0,8180000.5,104530000.0,10560000.0,5820000.0,58080000.0,19610000.0,0.0,6890000.0,-11160000.0,-1750000.0,0.0,-24580000.0,0.0,1827030000.0,8050000.0,5840000.0,59840000.0,2460000.0,0.0,24050000.0,2470000.0,6530000.0,1590000.0,43540000.0,0.0,680000.0,-331980000.0,2500000.0,0.0,23580000.0,5900000.0,-50000.0,3910000.0,3430000.0,1080000.0,17350000.0,-2900000.0,12160000.0,10000.0,3260000.0,-9400000.0,-9390000.0,5280000.0,-40000.0,0.0,-670000.0,9710000.0,2760000.0,13080000.0,40000.0,0.0,460000.0,0.0,90000.0,-920000.0,-16930000.0,0.0,53030000.0,14650000.0,-39110000.0,-13170000.0,-405709980.0,-750000.0,-50000.0,145260000.0,-72950000.0,0.0,110000.0,0.0,7940000.0,25980000.0,10610000.0
1997,-2390000.0,24980000.0,220000.0,0.0,0.0,50170000.0,129999.99,0.0,59870000.0,-13300000.0,-1580000.0,5160000.0,-3880000.0,15520000.0,13360000.0,18190000.0,-21830000.0,0.0,90000.0,3330000.0,-12630000.0,6540000.0,83390000.0,1053370000.0,0.0,1490000.0,-6590000.0,41260000.0,19440000.0,85480000.0,-930000.0,-16500000.0,-345890020.0,60300000.0,54110000.0,399940000.0,8870000.0,-20000.0,93020000.0,60000.0,-510000.0,2430000.0,-10770000.0,-70000.0,-9290000.0,-32800000.0,0.0,60000.0,1570000.0,-7210000.0,650000.0,36560000.0,-410000.0,440000.0,-42420000.0,340000.0,27830000.0,-25790000.0,-2550000.0,-24320000.0,-30000.0,3470000.0,11540000.0,-18260000.0,10400000.0,10820000.0,710000.0,1540000.0,3830000.0,-1010000.0,0.0,16770000.0,6740000.0,6240000.0,-840000.0,70000.0,1530000.0,1440800000.0,-220920000.0,7690000.0,-20400000.0,-129999.99,710000.0,-20000.0,-34590000.0,370000.0,0.0,-75510000.0,-480000.0,-4150000.0,-1010000.0,5790000.0,0.0,0.0,-42430000.0,-20000.0,12280000.0,10000.0,13410000.0,0.0,-140000.0,20000.0,4500000.0,10000.0,5730000.0,-640000.0,-10460000.0,-4890000.0,-230000.0,28540000.0,0.0,24240000.0,0.0,0.0,1910000.0,0.0,145680000.0,-340000.0,25140000.0,50000000.0,400000.0,-20000.0,8080000.0,106430000.0,10560000.0,5760000.0,56270000.0,19700000.0,0.0,6880000.0,-11170000.0,-1850000.0,0.0,-24590000.0,0.0,2796530000.0,8050000.0,5840000.0,59850000.0,2470000.0,0.0,38380000.0,2420000.0,6800000.0,1510000.0,44030000.0,0.0,680000.0,-344770000.0,2510000.0,0.0,28010000.0,6180000.0,-50000.0,3910000.0,3460000.0,1080000.0,17350000.0,-2900000.0,14450000.0,10000.0,3270000.0,-9400000.0,-9390000.0,5290000.0,-70000.0,0.0,-670000.0,10810000.0,2790000.0,13040000.0,30000.0,0.0,480000.0,0.0,90000.0,-920000.0,-16940000.0,0.0,53070000.0,15090000.0,-39140000.0,-13170000.0,-407420000.0,-750000.0,-50000.0,145520000.0,-73190000.0,0.0,110000.0,0.0,7950000.0,25670000.0,10790000.0
1998,-2390000.0,30130000.0,200000.0,0.0,0.0,49900000.0,129999.99,0.0,57850000.0,-13310000.0,-1560000.0,5170000.0,-3880000.0,16320000.0,13990000.0,18080000.0,-21820000.0,0.0,100000.0,3390000.0,-12490000.0,6620000.0,83330000.0,1064730000.0,0.0,5600000.0,-6580000.0,41330000.0,22610000.0,93590000.0,-930000.0,-16559999.0,-345650000.0,60720000.0,56440000.0,400820000.0,8800000.0,-20000.0,93060000.0,60000.0,-510000.0,2450000.0,-10730000.0,-70000.0,-9290000.0,-32810002.0,0.0,60000.0,1570000.0,-7240000.0,650000.0,36570000.0,-410000.0,440000.0,-42500000.0,500000.0,27710000.0,-25710000.0,-2550000.0,-24320000.0,-30000.0,3470000.0,11540000.0,-18260000.0,11270000.0,11280000.0,680000.0,1790000.0,3830000.0,-820000.0,0.0,18690000.0,6960000.0,6550000.0,-790000.0,70000.0,1520000.0,664909950.0,-220900000.0,7690000.0,-20400000.0,-129999.99,710000.0,-20000.0,-34580000.0,390000.0,0.0,-75520000.0,-650000.0,-4240000.0,-1020000.0,9220000.0,0.0,0.0,-42430000.0,-20000.0,14440000.0,10000.0,13430000.0,0.0,-140000.0,20000.0,4520000.0,80000.0,5720000.0,-640000.0,-10420000.0,-4890000.0,-230000.0,28790000.0,0.0,32660000.0,0.0,0.0,4920000.0,0.0,150340000.0,-330000.0,24400000.0,50650000.0,400000.0,-20000.0,8140000.5,135430000.0,10610000.0,5890000.0,58070000.0,20240000.0,0.0,6880000.0,-11160000.0,-1670000.0,0.0,-24590000.0,0.0,2126310000.0,8050000.0,5840000.0,59930000.0,2620000.0,0.0,24770000.0,2400000.0,6570000.0,1560000.0,43700000.0,0.0,680000.0,-337730020.0,2520000.0,0.0,31620000.0,7140000.0,-50000.0,3910000.0,3610000.0,1090000.0,17350000.0,-2890000.0,16309999.0,10000.0,3330000.0,-9400000.0,-9390000.0,5340000.0,-10000.0,0.0,-670000.0,14540000.0,2900000.0,15520000.0,30000.0,0.0,460000.0,0.0,90000.0,-920000.0,-16930000.0,0.0,53750000.0,15270000.0,-39110000.0,-13170000.0,-405840000.0,-750000.0,-50000.0,147420000.0,-71690000.0,0.0,110000.0,0.0,9090000.0,25200000.0,10850000.0
1999,-2390000.0,28770000.0,200000.0,0.0,0.0,51310000.0,129999.99,0.0,60330000.0,-13300000.0,-1580000.0,5230000.0,-3880000.0,16120001.0,13570000.0,17990000.0,-21830000.0,0.0,100000.0,3350000.0,-12030000.0,6560000.0,88600000.0,1058610000.0,0.0,1230000.0,-6550000.0,41270000.0,21200000.0,87690000.0,-920000.0,-16530001.0,-345770000.0,60730000.0,55380000.0,394810000.0,8870000.0,-20000.0,92830000.0,60000.0,-510000.0,2430000.0,-10710000.0,-70000.0,-9290000.0,-32890000.0,0.0,60000.0,1550000.0,-7240000.0,660000.0,36560000.0,-410000.0,450000.0,-42570000.0,860000.0,28970000.0,-25360000.0,-2560000.0,-24350000.0,-30000.0,3510000.0,11500000.0,-18260000.0,10650000.0,11070000.0,930000.0,2010000.0,3830000.0,-1030000.0,0.0,16830000.0,6840000.0,6090000.0,-850000.0,70000.0,1520000.0,536830000.0,-219330000.0,7660000.0,-20380000.0,-120000.0,710000.0,-20000.0,-34580000.0,410000.0,0.0,-75500000.0,-710000.0,-4190000.0,-1020000.0,7550000.0,0.0,0.0,-42430000.0,-20000.0,13240000.0,10000.0,13420000.0,0.0,-140000.0,20000.0,4530000.0,10000.0,5690000.0,-640000.0,-10260000.0,-4890000.0,-230000.0,28810000.0,0.0,27770000.0,0.0,0.0,4610000.0,0.0,150760000.0,-340000.0,23840000.0,50250000.0,400000.0,-20000.0,8130000.0,104290000.0,10640000.0,5770000.0,56210000.0,19680000.0,0.0,6870000.0,-11130000.0,-1320000.0,0.0,-24590000.0,0.0,1935220000.0,8050000.0,5840000.0,59910000.0,2460000.0,0.0,25780000.0,2300000.0,6510000.0,1520000.0,46320000.0,0.0,680000.0,-342060000.0,2500000.0,0.0,32980000.0,8109999.5,-50000.0,3910000.0,3530000.0,1090000.0,17350000.0,-2900000.0,17010000.0,10000.0,3330000.0,-9400000.0,-9350000.0,5420000.0,-50000.0,0.0,-670000.0,14360000.0,2990000.0,13650000.0,30000.0,0.0,470000.0,0.0,90000.0,-920000.0,-16930000.0,0.0,52850000.0,15580000.0,-39260000.0,-13170000.0,-405290020.0,-750000.0,-50000.0,145660000.0,-72580000.0,0.0,110000.0,0.0,8220000.5,25260000.0,10690000.0
