Date,AFG,AGO,ALB,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GTM,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAR,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NER,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,OWID_WRL,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
1990,970000.0,1039999.94,720000.0,11540000.0,29050000.0,3060000.0,120000.0,63920000.0,14010000.0,6400000.0,129999.99,20710000.0,170000.0,270000.0,1720000.0,6660000.0,1020000.0,250000.0,2250000.0,11950000.0,110000.0,2320000.0,84450000.0,270000.0,570000.0,40000.0,670000.0,80000.0,128560000.0,14950000.0,9310000.0,96280000.0,1230000.0,1800000.0,590000.0,530000.0,30000.0,16870000.0,40000.0,129999.99,1630000.0,5210000.0,1190000.0,7130000.0,163210000.0,40000.0,40000.0,10470000.0,2370000.0,16190001.0,8020000.5,16540001.0,,64720000.0,2480000.0,950000.0,12030000.0,410000.0,116210000.0,0.0,330000.0,118380000.0,3820000.0,1660000.0,270000.0,80000.0,60000.0,10000.0,15440000.0,40000.0,1750000.0,270000.0,1070000.0,3680000.0,440000.0,8690000.0,32980000.0,66019996.0,5030000.0,40140000.0,22320000.0,650000.0,8260000.0,98490000.0,1120000.0,2800000.0,217340000.0,14990000.0,2770000.0,6180000.0,,10000.0,30000.0,44660000.0,2930000.0,,1930000.0,110000.0,6350000.0,90000.0,2550000.0,250000.0,5690000.0,2690000.0,3190000.0,3980000.0,2500000.0,540000.0,120000.0,86120000.0,0.0,790000.0,,460000.0,1370000.0,,1610000.0,620000.0,0.0,450000.0,420000.0,14950000.0,,220000.0,12110000.0,760000.0,0.0,27720000.0,10290000.0,350000.0,30000.0,8910000.0,1740000.0,4733580300.0,14150000.0,1310000.0,7320000.0,14060000.0,0.0,650000.0,20850000.0,5740000.0,9940000.0,1660000.0,1510000.0,12040000.0,305910000.0,360000.0,50590000.0,4040000.0,750000.0,4159999.8,100000.0,110000.0,1300000.0,310000.0,4580000.0,,30000.0,,4179999.8,2700000.0,20420000.0,460000.0,50000.0,7430000.0,259999.98,440000.0,28640000.0,760000.0,9940000.0,0.0,60000.0,1390000.0,2550000.0,28540000.0,0.0,720000.0,610000.0,56460000.0,1550000.0,1468599900.0,7950000.0,50000.0,29440000.0,4260000.0,40000.0,50000.0,4130000.0,30380000.0,800000.0,2160000.0
1991,930000.0,1290000.0,550000.0,11880000.0,30710000.0,3000000.0,120000.0,62420000.0,15470000.0,4920000.0,160000.0,20900000.0,129999.99,280000.0,1900000.0,3590000.0,1039999.94,220000.0,1910000.0,12740000.0,150000.0,2440000.0,88380000.0,270000.0,620000.0,40000.0,730000.0,90000.0,124690000.0,15410000.0,9720000.0,103060000.0,1210000.0,1610000.0,500000.0,550000.0,30000.0,17620000.0,50000.0,100000.0,1690000.0,3820000.0,1190000.0,6340000.0,166150000.0,50000.0,40000.0,11040000.0,2340000.0,17280000.0,8210000.0,17300000.0,,67410000.0,2240000.0,950000.0,11710000.0,420000.0,119880000.0,0.0,400000.0,117750000.0,2890000.0,1540000.0,290000.0,80000.0,60000.0,10000.0,16270000.0,40000.0,1830000.0,240000.0,1060000.0,2940000.0,410000.0,7600000.0,36700000.0,68610000.0,5220000.0,43390000.0,18810000.0,650000.0,8530000.0,100440000.0,1060000.0,2590000.0,227930000.0,18820000.0,2830000.0,4770000.0,,10000.0,30000.0,50080000.0,1960000.0,,2410000.0,80000.0,6400000.0,90000.0,2570000.0,250000.0,6280000.0,3230000.0,2920000.0,4420000.0,2350000.0,600000.0,129999.99,92160000.0,0.0,800000.0,,519999.97,1280000.0,,1039999.94,510000.0,0.0,460000.0,450000.0,16090000.0,490000.0,200000.0,15790000.0,830000.0,0.0,28210000.0,10410000.0,410000.0,30000.0,8910000.0,1860000.0,4771950000.0,14670000.0,1370000.0,6550000.0,13290000.0,0.0,650000.0,21730000.0,4390000.0,10620000.0,1560000.0,1530000.0,10540000.0,299930000.0,340000.0,52710000.0,3190000.0,760000.0,5040000.0,100000.0,120000.0,1410000.0,290000.0,3270000.0,,30000.0,,3470000.0,2550000.0,20120000.0,470000.0,50000.0,7800000.0,270000.0,330000.0,29410000.0,760000.0,8890000.0,0.0,70000.0,1460000.0,2620000.0,27220000.0,0.0,670000.0,630000.0,67900000.0,1650000.0,1440670100.0,7170000.0,50000.0,31190000.0,4030000.2,40000.0,50000.0,5270000.0,30420000.0,1000000.0,1630000.0
1992,740000.0,1210000.0,420000.0,12070000.0,32810002.0,1890000.0,120000.0,63940000.0,15490000.0,4130000.0,129999.99,21740000.0,120000.0,280000.0,2190000.0,3950000.0,1150000.0,170000.0,1090000.0,11770000.0,220000.0,2400000.0,89080000.0,270000.0,670000.0,50000.0,840000.0,90000.0,129030000.0,15760000.0,10550000.0,113870000.0,1170000.0,1610000.0,450000.0,480000.0,30000.0,18580000.0,50000.0,110000.0,2450000.0,2660000.0,1340000.0,8130000.0,168740000.0,50000.0,40000.0,11110000.0,2520000.0,17200000.0,8330000.0,17960000.0,120000.0,71060000.0,1170000.0,740000.0,11660000.0,450000.0,122420000.0,80000.0,380000.0,119250000.0,2390000.0,1840000.0,290000.0,80000.0,50000.0,10000.0,16680000.0,40000.0,1920000.0,240000.0,1190000.0,2770000.0,420000.0,7350000.0,38810000.0,70260000.0,5600000.0,45290000.0,23860000.0,650000.0,9320000.0,105630000.0,1110000.0,2740000.0,232730000.0,16459999.0,2630000.0,2780000.0,,10000.0,40000.0,55700000.0,4680000.0,,3340000.0,90000.0,6490000.0,110000.0,2860000.0,250000.0,4150000.0,3530000.0,2560000.0,4900000.0,2300000.0,610000.0,190000.0,92470000.0,30000.0,800000.0,,540000.0,1060000.0,,930000.0,700000.0,0.0,510000.0,450000.0,17200000.0,530000.0,200000.0,19260000.0,950000.0,0.0,29730000.0,10670000.0,450000.0,30000.0,9310000.0,2010000.0,4880100400.0,16510000.0,1470000.0,7070000.0,15400000.0,100000.0,650000.0,22110000.0,3580000.0,11560000.0,1870000.0,1630000.0,10760000.0,287080000.0,350000.0,55860000.0,3190000.0,800000.0,4870000.0,110000.0,120000.0,1640000.0,270000.0,2320000.0,,30000.0,,3630000.0,2630000.0,20920000.0,450000.0,70000.0,7330000.0,290000.0,280000.0,31240000.0,380000.0,6970000.0,0.0,50000.0,1400000.0,2700000.0,27800000.0,0.0,700000.0,630000.0,41970000.0,1780000.0,1472860000.0,5610000.0,50000.0,30710000.0,4520000.0,30000.0,60000.0,5550000.0,30910000.0,960000.0,2280000.0
1993,740000.0,1240000.0,519999.97,12880000.0,35140000.0,1230000.0,129999.99,65070000.0,15640000.0,3810000.0,140000.0,22270000.0,120000.0,290000.0,2250000.0,4470000.0,1190000.0,150000.0,870000.0,9930000.0,230000.0,2770000.0,92650000.0,270000.0,700000.0,50000.0,820000.0,100000.0,131060000.0,14710000.0,11690000.0,128960010.0,1130000.0,1730000.0,460000.0,480000.0,30000.0,18850000.0,50000.0,100000.0,2530000.0,2000000.0,1360000.0,8170000.0,173430000.0,50000.0,40000.0,11280000.0,2730000.0,17360000.0,8359999.5,18680000.0,210000.0,70030000.0,1310000.0,900000.0,11420000.0,430000.0,123550000.0,90000.0,400000.0,120420000.0,2050000.0,1860000.0,290000.0,80000.0,60000.0,20000.0,16900000.0,40000.0,2110000.0,240000.0,1350000.0,2910000.0,390000.0,7330000.0,41430000.0,70330000.0,5640000.0,51080000.0,25120000.0,650000.0,9800000.0,107590000.0,1200000.0,2820000.0,237950000.0,13720000.0,2450000.0,1620000.0,,20000.0,40000.0,62840000.0,4930000.0,,3900000.0,100000.0,7630000.0,120000.0,3060000.0,250000.0,3180000.0,3560000.0,2370000.0,5330000.0,1490000.0,630000.0,160000.0,94610000.0,30000.0,1500000.0,,610000.0,1620000.0,,1030000.0,870000.0,0.0,550000.0,460000.0,17910000.0,550000.0,210000.0,16540001.0,970000.0,0.0,30620000.0,11280000.0,490000.0,30000.0,9710000.0,2150000.0,4923080000.0,18860000.0,1580000.0,7230000.0,17460000.0,100000.0,700000.0,21520000.0,3210000.0,12130000.0,2330000.0,1720000.0,8640000.0,240840000.0,360000.0,58860000.0,2089999.9,770000.0,4830000.0,120000.0,110000.0,1790000.0,259999.98,2760000.0,,30000.0,,3010000.0,3180000.0,19990000.0,450000.0,60000.0,7690000.0,290000.0,170000.0,36730000.0,300000.0,7170000.0,0.0,60000.0,1260000.0,3030000.0,33080002.0,0.0,730000.0,620000.0,36290000.0,2000000.0,1497040000.0,4930000.0,60000.0,32919998.0,7060000.0,30000.0,70000.0,4530000.0,31150000.0,680000.0,2030000.0
1994,730000.0,1580000.0,650000.0,12760000.0,34620000.0,160000.0,129999.99,66750000.0,15690000.0,3340000.0,140000.0,22850000.0,120000.0,280000.0,2300000.0,4080000.0,1210000.0,150000.0,990000.0,7020000.0,230000.0,2880000.0,96940000.0,280000.0,740000.0,50000.0,790000.0,100000.0,137450000.0,15060000.0,12640000.0,119370000.0,1130000.0,1800000.0,470000.0,300000.0,30000.0,17560000.0,50000.0,100000.0,2660000.0,1940000.0,1410000.0,8770000.0,170650000.0,50000.0,50000.0,11710000.0,3240000.0,15890000.0,8880000.0,20460000.0,290000.0,72420000.0,1620000.0,1000000.0,11880000.0,420000.0,124400000.0,90000.0,320000.0,120750000.0,1520000.0,1930000.0,290000.0,80000.0,50000.0,20000.0,17000000.0,50000.0,2240000.0,420000.0,1570000.0,3110000.0,120000.0,7140000.0,46410000.0,72650000.0,5860000.0,58170000.0,25400000.0,680000.0,10530000.0,107370000.0,1200000.0,2820000.0,250360000.0,9390000.0,2380000.0,510000.0,,20000.0,40000.0,66050004.0,5200000.0,,3660000.0,100000.0,9070000.0,140000.0,3560000.0,259999.98,2500000.0,3610000.0,2190000.0,5760000.0,1350000.0,710000.0,150000.0,100440000.0,30000.0,960000.0,,610000.0,1870000.0,,700000.0,710000.0,0.0,560000.0,470000.0,19780000.0,590000.0,210000.0,13280000.0,1030000.0,0.0,30040000.0,11110000.0,570000.0,30000.0,10390000.0,2180000.0,5021400000.0,19930000.0,1690000.0,8189999.5,18370000.0,100000.0,710000.0,22220000.0,2170000.0,12750000.0,2630000.0,1830000.0,9160000.0,211380000.0,370000.0,62750000.0,3040000.0,760000.0,5250000.0,140000.0,100000.0,1910000.0,240000.0,2690000.0,,30000.0,,3440000.0,3550000.0,20720000.0,460000.0,70000.0,7710000.0,300000.0,330000.0,40850000.0,200000.0,4320000.0,0.0,70000.0,1320000.0,3160000.0,32130002.0,0.0,730000.0,570000.0,33009998.0,2250000.0,1551220000.0,4410000.0,70000.0,33419998.0,7780000.0,30000.0,70000.0,4570000.0,32300000.0,840000.0,1800000.0
1995,730000.0,1100000.0,650000.0,13410000.0,36060000.0,120000.0,140000.0,69510000.0,15910000.0,3440000.0,150000.0,23000000.0,120000.0,350000.0,2770000.0,4340000.0,1260000.0,180000.0,1020000.0,6960000.0,240000.0,3210000.0,107210000.0,280000.0,800000.0,70000.0,920000.0,100000.0,141110000.0,14810000.0,13980000.0,130649990.0,1260000.0,1750000.0,470000.0,430000.0,30000.0,20960000.0,50000.0,110000.0,2650000.0,2020000.0,1500000.0,7470000.0,172590000.0,60000.0,50000.0,11920000.0,3610000.0,15460000.0,8460000.0,21690000.0,340000.0,73660000.0,1590000.0,1120000.0,11660000.0,430000.0,125350000.0,110000.0,350000.0,119640000.0,1070000.0,2100000.0,300000.0,80000.0,50000.0,20000.0,17130000.0,50000.0,2800000.0,440000.0,1590000.0,3310000.0,519999.97,7340000.0,50410000.0,80300000.0,6020000.0,57110000.0,25340000.0,630000.0,11560000.0,109720000.0,1440000.0,3080000.0,258739980.0,9520000.0,2630000.0,1150000.0,1190000.0,20000.0,40000.0,74130000.0,5510000.0,,4320000.0,100000.0,9760000.0,140000.0,3770000.0,259999.98,3050000.0,3440000.0,2089999.9,6110000.0,1340000.0,690000.0,190000.0,92170000.0,30000.0,900000.0,,710000.0,2780000.0,,860000.0,740000.0,0.0,550000.0,470000.0,21050000.0,640000.0,190000.0,15370000.0,1140000.0,0.0,30310000.0,11800000.0,640000.0,30000.0,11080000.0,2260000.0,5159000000.0,20720000.0,1780000.0,8910000.0,21710000.0,100000.0,710000.0,23020000.0,2590000.0,13250000.0,3000000.0,2020000.0,8450000.0,194980000.0,360000.0,55520000.0,2850000.0,800000.0,5780000.0,140000.0,100000.0,2170000.0,220000.0,2800000.0,,30000.0,,3890000.0,3960000.0,20920000.0,460000.0,60000.0,7690000.0,310000.0,400000.0,48650000.0,190000.0,4060000.0,0.0,70000.0,1380000.0,3270000.0,36080000.0,0.0,920000.0,740000.0,34110000.0,2230000.0,1583180000.0,7000000.0,80000.0,34540000.0,7440000.0,30000.0,80000.0,4090000.2,36250000.0,830000.0,2230000.0
1996,700000.0,1010000.0,640000.0,13580000.0,42010000.0,60000.0,150000.0,72030000.0,17550000.0,2790000.0,160000.0,23450000.0,510000.0,360000.0,3050000.0,4280000.0,1290000.0,170000.0,1050000.0,7540000.0,190000.0,3330000.0,116990000.0,250000.0,860000.0,80000.0,930000.0,100000.0,144490000.0,14820000.0,15200000.0,173910000.0,1290000.0,1770000.0,470000.0,320000.0,40000.0,21500000.0,50000.0,110000.0,2680000.0,2260000.0,1550000.0,10390000.0,173740000.0,50000.0,40000.0,12050000.0,3990000.0,15310000.0,10300000.0,22970000.0,390000.0,78730000.0,1680000.0,1240000.0,11380000.0,430000.0,125120000.0,120000.0,350000.0,124250000.0,2610000.0,2300000.0,320000.0,80000.0,40000.0,40000.0,17630000.0,70000.0,2790000.0,490000.0,1540000.0,3700000.0,580000.0,7340000.0,55870000.0,85950000.0,6990000.0,61420000.0,24750000.0,700000.0,12200000.0,111520000.0,1660000.0,3140000.0,264709980.0,8520000.0,2760000.0,1210000.0,1190000.0,20000.0,40000.0,78160000.0,5620000.0,,4480000.0,110000.0,10790000.0,160000.0,5170000.0,259999.98,3350000.0,3530000.0,2010000.0,6530000.0,1430000.0,710000.0,210000.0,94550000.0,40000.0,1710000.0,,560000.0,2980000.0,,910000.0,830000.0,0.0,550000.0,470000.0,24040000.0,1070000.0,200000.0,17620000.0,1190000.0,0.0,31590000.0,12330000.0,660000.0,30000.0,11210000.0,2350000.0,5369200000.0,23320000.0,1870000.0,9310000.0,24590000.0,100000.0,740000.0,26030000.0,2089999.9,14040000.0,3020000.0,2150000.0,11830000.0,185330000.0,360000.0,58320000.0,2700000.0,870000.0,5230000.0,150000.0,90000.0,2150000.0,210000.0,4700000.0,,30000.0,,3600000.0,4480000.0,20670000.0,310000.0,60000.0,9010000.0,320000.0,670000.0,53170000.0,140000.0,4570000.0,0.0,50000.0,1420000.0,3390000.0,37920000.0,0.0,1230000.0,760000.0,30850000.0,2370000.0,1623420000.0,9570000.0,80000.0,35920000.0,8180000.5,50000.0,80000.0,3890000.0,35340000.0,650000.0,2190000.0
1997,670000.0,1080000.0,510000.0,13510000.0,41960000.0,70000.0,160000.0,73420000.0,16600000.0,3310000.0,160000.0,23780000.0,700000.0,360000.0,3450000.0,4400000.0,1360000.0,180000.0,1080000.0,7920000.0,259999.98,3160000.0,124160000.0,300000.0,900000.0,80000.0,1000000.0,100000.0,149020000.0,15310000.0,16110001.0,149920000.0,1420000.0,1870000.0,460000.0,250000.0,40000.0,22540000.0,50000.0,110000.0,2740000.0,2820000.0,1620000.0,10710000.0,174500000.0,60000.0,50000.0,12230000.0,4580000.0,15350000.0,10910000.0,24560000.0,370000.0,78690000.0,1770000.0,1310000.0,12000000.0,430000.0,127690000.0,120000.0,390000.0,125330000.0,1950000.0,2400000.0,350000.0,90000.0,60000.0,90000.0,18230000.0,80000.0,2960000.0,530000.0,1690000.0,3910000.0,590000.0,7770000.0,62070000.0,87970000.0,7350000.0,62800000.0,24350000.0,600000.0,12980000.0,113160000.0,1750000.0,3290000.0,266980020.0,7310000.0,2740000.0,1290000.0,1240000.0,20000.0,40000.0,79910000.0,5880000.0,,4310000.0,110000.0,10350000.0,150000.0,4760000.0,259999.98,3750000.0,3750000.0,2040000.0,6970000.0,1410000.0,750000.0,250000.0,98680000.0,40000.0,1520000.0,,760000.0,2450000.0,,840000.0,840000.0,0.0,540000.0,470000.0,27660000.0,1100000.0,200000.0,22510000.0,1260000.0,0.0,31590000.0,12530000.0,750000.0,30000.0,11440000.0,2490000.0,5447390000.0,23890000.0,1990000.0,9620000.0,25270000.0,110000.0,730000.0,27530000.0,1160000.0,14610000.0,3400000.0,2410000.0,12040000.0,170220000.0,370000.0,59200000.0,3200000.0,940000.0,5190000.0,150000.0,100000.0,2190000.0,200000.0,6480000.0,,30000.0,,4210000.0,4690000.0,20900000.0,420000.0,80000.0,9210000.0,340000.0,440000.0,52980000.0,140000.0,2750000.0,0.0,70000.0,1550000.0,3590000.0,35220000.0,0.0,1200000.0,790000.0,36780000.0,2580000.0,1648880000.0,9710000.0,80000.0,33470002.0,8940000.0,50000.0,80000.0,3900000.0,36270000.0,750000.0,2190000.0
1998,670000.0,850000.0,760000.0,13500000.0,44650000.0,70000.0,160000.0,73440000.0,18740000.0,3080000.0,160000.0,24520000.0,770000.0,420000.0,3530000.0,5570000.0,1430000.0,180000.0,1430000.0,8350000.5,259999.98,3260000.0,130610000.0,340000.0,850000.0,90000.0,1070000.0,120000.0,151700000.0,15450000.0,16950000.0,144050000.0,1250000.0,1920000.0,470000.0,320000.0,40000.0,22060000.0,60000.0,120000.0,3040000.0,2550000.0,1700000.0,11000000.0,177540000.0,100000.0,50000.0,12260000.0,5020000.0,15810000.0,10210000.0,27270000.0,230000.0,86220000.0,1840000.0,1440000.0,12160000.0,420000.0,132250000.0,120000.0,420000.0,124530000.0,1290000.0,2860000.0,400000.0,90000.0,60000.0,80000.0,19900000.0,80000.0,3530000.0,530000.0,1870000.0,4050000.2,650000.0,8650000.0,60620000.0,91020000.0,8670000.0,65360000.0,24820000.0,630000.0,12100000.0,116410000.0,1900000.0,3330000.0,266230020.0,8250000.0,2800000.0,1260000.0,1440000.0,20000.0,50000.0,66720000.0,6030000.0,,4610000.0,120000.0,10200000.0,170000.0,4970000.0,270000.0,3940000.0,3920000.0,2020000.0,7410000.0,1110000.0,850000.0,220000.0,101320000.0,40000.0,1039999.94,,670000.0,3020000.0,,820000.0,860000.0,0.0,540000.0,430000.0,25870000.0,1140000.0,240000.0,18540000.0,1370000.0,0.0,32320000.0,12970000.0,790000.0,30000.0,11620000.0,2570000.0,5573930000.0,25130000.0,2220000.0,9570000.0,25990000.0,110000.0,750000.0,29000000.0,2170000.0,15900000.0,3560000.0,2530000.0,11390000.0,200260000.0,360000.0,59410000.0,3050000.0,1039999.94,5200000.0,150000.0,100000.0,2350000.0,180000.0,5020000.0,,30000.0,,4280000.0,3900000.0,21190000.0,440000.0,90000.0,9520000.0,340000.0,500000.0,45900000.0,120000.0,3340000.0,0.0,60000.0,1600000.0,3690000.0,32550000.0,0.0,1420000.0,910000.0,34380000.0,2750000.0,1688190000.0,13210000.0,110000.0,34270000.0,9400000.0,50000.0,90000.0,4200000.0,35930000.0,720000.0,2180000.0
1999,490000.0,1180000.0,1440000.0,13890000.0,41940000.0,70000.0,170000.0,74880000.0,18240000.0,1620000.0,170000.0,24740000.0,870000.0,510000.0,3220000.0,5800000.0,1480000.0,180000.0,1380000.0,7380000.0,240000.0,3260000.0,127930000.0,350000.0,840000.0,100000.0,1160000.0,129999.99,155520000.0,15430000.0,17150000.0,161340000.0,1460000.0,1680000.0,450000.0,310000.0,40000.0,19660000.0,60000.0,150000.0,3150000.0,2410000.0,1740000.0,12110000.0,182470000.0,110000.0,60000.0,12280000.0,5340000.0,16830000.0,9260000.0,28970000.0,210000.0,90570000.0,1710000.0,1480000.0,12480000.0,420000.0,132619990.0,120000.0,400000.0,128200000.0,1160000.0,3180000.0,440000.0,90000.0,80000.0,120000.0,20090000.0,80000.0,3700000.0,600000.0,2170000.0,4350000.0,680000.0,9190000.0,60200000.0,95640000.0,9580000.0,72970000.0,24820000.0,640000.0,12870000.0,119240000.0,1990000.0,3410000.0,268660000.0,6050000.0,2760000.0,1170000.0,1400000.0,10000.0,50000.0,73490000.0,6200000.0,,4390000.0,120000.0,11230000.0,160000.0,5510000.0,270000.0,3520000.0,4350000.0,1980000.0,7920000.0,740000.0,930000.0,310000.0,104110000.0,40000.0,1110000.0,,610000.0,3070000.0,,860000.0,860000.0,0.0,720000.0,410000.0,31260000.0,1170000.0,230000.0,20240000.0,1440000.0,0.0,32880002.0,13170000.0,790000.0,20000.0,11910000.0,2630000.0,5738370000.0,26480000.0,2370000.0,10100000.0,25700000.0,110000.0,710000.0,31550000.0,910000.0,16650000.0,3560000.0,2360000.0,9590000.0,201990000.0,380000.0,59640000.0,2490000.0,1130000.0,5260000.0,150000.0,90000.0,2670000.0,160000.0,2650000.0,,30000.0,,4350000.0,3690000.0,21640000.0,500000.0,110000.0,8180000.5,350000.0,590000.0,47420000.0,60000.0,4240000.0,0.0,70000.0,1610000.0,3930000.0,34150000.0,0.0,1180000.0,910000.0,28750000.0,2850000.0,1735150100.0,13780000.0,100000.0,33950000.0,10050000.0,50000.0,90000.0,4650000.0,36420000.0,700000.0,3220000.0
