Date,AFG,AGO,ALB,AND,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GTM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NER,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,OWID_WRL,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
1850,7435743.5,6953629.0,1398595.8,34653.402,83567.37,30305736.0,955062.0,49262.645,46863616.0,8250350.5,3453228.0,1630295.4,21659418.0,-1279188.2,1720309.6,40390330.0,6823212.0,18946.885,13877.529,3518462.8,39375748.0,221822.03,17391358.0,46168044.0,89455.79,46080.555,825694.56,701759.4,1283612.9,75959210.0,5157702.0,8624484.0,432472400.0,47125236.0,2991633.0,22559794.0,3495342.5,5060.8765,36408230.0,69752.35,15581.821,2375454.5,8629983.0,372439.7,15667902.0,78899930.0,48479.0,30260.28,8533738.0,814312.0,2600273.2,9570339.0,4101271.5,199404.62,24604706.0,9115165.0,33525456.0,19078400.0,1759738.9,106030824.0,56344.133,1177209.5,198294800.0,7383464.5,1779939.9,43027656.0,204092.0,400754.75,-18615.871,7146797.5,29449.139,8682609.0,6539582.5,27576.959,8239026.5,3021713.5,2990859.2,16861890.0,96917464.0,348631900.0,44415576.0,10874947.0,1437942.2,691037.5,489787.1,27369666.0,928781.8,134867.7,24931890.0,29608076.0,4430054.5,2741023.5,6117078.5,2670.9194,86757.56,10742522.0,60591.914,4430719.0,200814.77,14655536.0,325607.75,11809.11,15724.894,13241994.0,188566.52,17114536.0,601897.5,9375545.0,9038.131,5213973.5,4018556.2,14154310.0,2222.089,24054384.0,1173510.8,3645832.0,49547.844,47737788.0,1251435.2,18589346.0,9144356.0,1811489.5,82702.76,1216188.2,14452171.0,532386.3,3610385.0,10537607.0,7028678.0,1952.4524,15762111.0,11637758.0,8883362.0,168.46606,23636296.0,223459.92,4219061200.0,20008806.0,2799204.0,9224413.0,44214330.0,10579.433,-2411089.0,52697530.0,13885412.0,4682929.5,3177763.0,24550.922,23077984.0,418860600.0,1129900.2,-690279.7,12745389.0,1834833.0,359938.9,641570.25,2295756.0,3197231.8,3459248.0,9128071.0,5345278.5,53133.258,270976.22,5974036.0,1188987.1,26708596.0,234656.05,3306.3765,2659100.2,297.33176,6635499.0,306297.72,18669754.0,1402981.5,4026069.0,1298811.6,50196.21,619766.6,730058.5,20490540.0,814.7684,1180011.2,8496593.0,5475263.5,64977904.0,5926391.0,868698940.0,6916384.5,29732.416,32023040.0,36695788.0,180770.7,181271.39,1963180.0,2952494.2,8978224.0,1054763.9
1851,7499858.5,6654294.0,1421029.5,33389.258,84269.125,31369724.0,948977.25,38283.082,49066356.0,8212694.5,3438870.2,1631686.4,22504572.0,-1295044.6,1721065.0,38452132.0,6558744.0,19033.955,13880.155,3452832.0,39092484.0,328551.4,22615524.0,54861370.0,88784.98,33800.844,1224951.8,709733.44,1162803.8,100718936.0,5143621.5,7929033.5,429578900.0,61010756.0,7866194.0,18665842.0,2864104.0,5140.948,35968304.0,69849.9,15724.58,2199310.8,8379920.5,387979.38,15665960.0,79661220.0,48578.39,32435.188,8660413.0,773802.2,2562582.8,236071.36,4079853.2,204951.72,23898838.0,9035910.0,33319142.0,17965962.0,2134989.5,103208240.0,56873.68,1232026.0,189435570.0,7337213.0,1617427.0,53127770.0,206982.44,447598.47,1021623.44,7188240.0,29022.076,10009563.0,-874730.2,28699.94,8149832.0,2975842.5,2467034.0,16531462.0,143240770.0,321196830.0,43044496.0,10909126.0,1452850.6,686242.0,492001.03,28654734.0,465493.2,135297.25,21793620.0,29825414.0,4203853.5,2739866.2,6086842.0,2690.7556,82822.68,10838115.0,61188.652,3958162.2,202821.98,17261678.0,327442.53,12223.839,15421.774,12699945.0,193522.75,17033924.0,595232.1,9323111.0,9173.916,5248197.0,3928535.2,13761222.0,2235.622,23928114.0,1171207.9,3740038.0,47546.32,51745404.0,1268618.0,17828334.0,9792943.0,1814505.8,91448.31,1171759.2,-4974662.5,537421.75,3554140.2,9571247.0,7053040.0,1958.403,15708704.0,11636350.0,8658212.0,170.40523,22539994.0,223909.06,4409311000.0,20200504.0,2720282.2,5028075.0,54994560.0,10696.287,4305923.5,53734370.0,13854522.0,4709537.0,2908791.5,24816.455,23078052.0,493347330.0,1120210.1,-568462.4,12764120.0,1849663.0,306846.97,73299.88,2863292.5,3373006.0,3476135.8,9264375.0,5355819.5,1714.946,261685.11,5838200.0,1214282.5,26737298.0,236362.6,3318.9219,2668175.5,297.76004,9498234.0,298313.3,18743880.0,1382754.6,4051294.5,1074597.1,50395.785,586614.7,741222.2,20195316.0,823.5477,1185490.2,8427374.0,5382083.5,67170020.0,6693762.5,922966850.0,6942509.0,29640.89,42569004.0,37369850.0,64176.742,142404.67,1970901.8,3126851.2,8997718.0,1071984.5
1852,7560495.5,6459820.0,1447804.6,32661.605,84973.17,32276780.0,944808.6,32362.16,43964440.0,8606148.0,3429868.0,1633725.8,23546344.0,-1313715.2,1711962.4,38669452.0,6369924.5,19120.645,13891.861,3518653.8,39237188.0,252107.47,25584178.0,42496292.0,88614.02,52591.086,1308289.1,717058.06,1153022.0,113391850.0,5158662.0,8238847.5,416414500.0,69365420.0,-59333.234,23172550.0,4938144.0,5202.55,27437464.0,69901.28,15811.759,2368743.2,8301060.0,398282.88,15708002.0,82173220.0,48648.48,33248.793,8851004.0,810600.6,2545735.0,8523047.0,4099496.0,200380.47,23500756.0,8958224.0,33248122.0,18199252.0,807013.7,103427060.0,57394.004,-523222.0,186964640.0,7289219.5,1635214.2,61306748.0,208668.69,481790.94,-1020464.06,7219058.5,28818.092,8689337.0,3701194.2,29842.055,8027938.5,3069596.0,2697939.2,16074061.0,151931250.0,308019970.0,41597704.0,10945680.0,1467151.2,680680.2,494153.22,29629462.0,637168.25,135732.97,20873018.0,29892156.0,4165947.5,2742405.8,6082650.0,2710.5295,80307.97,10698527.0,61788.906,3665294.8,204838.44,19350470.0,329015.3,12182.786,15154.956,12234087.0,196719.2,17089784.0,598208.3,9275017.0,9309.694,5285152.5,3882552.2,13783180.0,2249.1235,24201218.0,1172816.5,3782764.8,45515.97,52148852.0,1327613.1,17968052.0,9834884.0,1817067.9,93126.48,1121543.8,18225956.0,541435.94,3503209.5,9297858.0,6175512.0,1964.3422,16261932.0,11618744.0,8568453.0,172.33414,23232414.0,224436.77,4465078300.0,20379808.0,2891647.0,9236906.0,46963340.0,10812.835,-1108216.6,55261536.0,14215453.0,4704085.0,2809061.2,25078.205,23289836.0,479006560.0,1135835.1,-430922.25,12793433.0,1855552.6,702061.7,189485.06,3160694.8,3917109.0,3493141.2,9374025.0,5366512.5,29521.51,258127.61,5822533.5,1260599.0,26956630.0,239892.16,3325.4695,2676934.5,298.36276,11437564.0,284454.84,22364978.0,1369832.2,4073421.8,1068564.9,50558.37,575380.3,749392.75,19921692.0,832.2873,1190934.4,8443736.0,5289047.5,69114040.0,7270699.0,969457500.0,6968329.0,29566.666,42385492.0,37491292.0,149476.95,126006.984,1979351.0,3271059.0,9022353.0,1078019.2
1853,7619898.0,6276188.5,1466801.4,32101.65,85657.28,33218456.0,941906.3,28504.729,48899996.0,8919951.0,3424286.8,1634196.9,24294082.0,-1332244.6,1698835.4,38097660.0,6247795.0,19206.826,13988.135,3583792.8,38968640.0,364457.94,27453996.0,42188656.0,88864.1,120935.664,1043017.56,723934.9,1092987.2,87551160.0,5325813.5,8351195.0,428824900.0,75694490.0,2417798.2,5549089.5,-162119.44,5282.227,32255414.0,69941.875,15870.453,2040754.0,8283023.0,406352.38,15655635.0,83551060.0,48733.945,34256.887,9007758.0,852311.8,2545698.2,13788429.0,4122541.5,197507.34,23414182.0,8973378.0,34669416.0,18286138.0,479425.47,106525784.0,57923.383,144958.88,186373730.0,7329291.0,1636840.4,64938736.0,209615.36,484547.4,-421472.56,7248502.0,28738.658,8393566.0,2009340.4,30979.252,8134803.5,3074655.5,2919104.0,15636704.0,168279400.0,301571680.0,40901150.0,10983750.0,1480923.8,674746.0,496231.1,29238006.0,769014.25,136213.14,20722852.0,30038120.0,4192965.8,2748958.0,6094153.5,2730.1726,79343.13,10939328.0,62362.023,3414588.0,206886.14,19341574.0,330481.8,12431.732,15437.277,12078162.0,201069.4,17076984.0,608421.9,9337999.0,9445.451,5321781.0,3827792.5,14525373.0,2262.5613,24292604.0,1169623.4,3804967.5,44308.047,54572000.0,1378624.2,19260514.0,10396393.0,1819340.0,97014.336,1123899.2,30903710.0,544045.4,3455329.8,9445453.0,5064017.0,1970.2633,17063656.0,11672222.0,8524615.0,174.24503,21640298.0,224976.5,4532813300.0,20539340.0,3105474.0,13720959.0,63813116.0,10928.794,-4748478.0,55974200.0,14274253.0,4705551.5,2760147.0,25343.07,23422206.0,484811840.0,1121759.2,-309568.4,12824835.0,1856311.8,388664.66,-270839.94,3380761.8,4125627.0,3510542.8,9496655.0,5362568.0,-3265.57,260019.44,5825063.0,1257777.4,26936954.0,238057.36,3331.9365,2685209.0,299.46454,12660231.0,268578.8,22932582.0,1363651.6,4093962.0,1004200.25,50747.855,577499.94,755413.25,19691024.0,840.96246,1196321.4,8358613.0,5224380.5,70605120.0,7765089.0,976581570.0,6992796.5,29651.635,51365160.0,37899708.0,137028.08,115763.516,1987501.4,3379010.8,9131247.0,1090162.8
1854,7678120.0,6262317.0,1479576.4,31165.467,86308.39,34165000.0,939779.3,25672.959,49745904.0,8781558.0,3421510.5,1634675.0,25859926.0,-1349931.2,1685960.9,38092344.0,6120158.0,19292.379,14083.926,3546331.8,39390060.0,274490.6,28737044.0,44983092.0,89140.16,98154.836,1563139.4,730547.2,1149960.9,74212510.0,5109976.5,9762538.0,406323330.0,77870136.0,2322310.8,13049433.0,2206278.8,5352.408,28928348.0,69980.234,15909.439,2103145.2,8270654.0,413611.7,15655393.0,86809960.0,48815.336,34623.53,9306131.0,857556.3,2548776.5,-6613591.5,4148835.2,201865.05,23115136.0,9094536.0,33874410.0,18489096.0,736775.9,110842820.0,58425.13,263093.12,215189780.0,7273409.5,1569782.6,68337200.0,210314.47,530716.75,-28037.197,7279603.5,28677.363,8543156.0,2564568.2,32108.812,7514805.0,2983267.0,2864342.2,15232759.0,191823410.0,298258660.0,40510590.0,11021931.0,1494219.9,668723.1,498258.88,28122600.0,753221.4,136657.03,21604656.0,30085960.0,4173832.0,2757191.0,6103392.0,2749.617,78563.25,10980096.0,62913.99,4478970.5,208858.92,21286486.0,331805.53,12341.55,14574.018,12432636.0,204540.5,17341072.0,614400.2,9427707.0,9581.17,5358059.0,3779786.8,14146635.0,2275.9038,24274294.0,1168349.9,3817319.5,43289.87,54249996.0,1402276.4,20117192.0,9999035.0,1821394.4,95857.41,1118487.6,13718640.0,545250.94,3408897.2,8960855.0,5090718.5,1966.9999,19173972.0,11727918.0,8499276.0,176.13014,21592918.0,225516.77,4594583600.0,20718998.0,2781547.0,7112956.0,49312870.0,11043.88,-2201878.8,56850270.0,13992633.0,4722494.5,2734079.5,25590.473,22988354.0,520604060.0,1121986.5,-204304.78,12843850.0,1856171.6,307972.75,-42285.324,3436171.0,3483800.5,3527757.0,9474933.0,5375468.5,90877.13,261058.19,5740629.0,1237710.1,27136600.0,233563.6,3338.2908,2692840.5,300.55365,13683089.0,253295.89,21865930.0,1360394.5,4113466.5,984771.6,50954.84,582037.5,760731.3,19480024.0,849.5485,1201629.5,8307125.5,5205223.0,72099930.0,8219364.0,1012674370.0,7015955.5,29727.248,49247730.0,37975216.0,157688.48,108339.23,1995261.1,3486010.8,9026795.0,1108626.5
1855,7735004.5,6324582.0,1490351.8,30180.676,86931.74,35071430.0,938829.4,23500.268,51328456.0,9172160.0,3429091.5,1637486.2,25715928.0,-1366943.8,1673823.1,38159932.0,6007285.0,19377.176,14133.299,3539106.0,39057336.0,361227.72,29984720.0,51197656.0,89469.414,289120.4,933296.1,736858.5,1122294.5,70751640.0,5352391.0,7156391.5,404873800.0,80156570.0,-4242359.5,13100774.0,2092455.1,5431.3193,30172698.0,70015.734,15956.034,2134645.2,8269613.5,420240.25,15669055.0,90249640.0,48891.527,34944.094,9275245.0,881848.94,2552911.5,16787296.0,4176592.8,204357.78,22913208.0,9094907.0,34488500.0,18386966.0,140462.58,114207550.0,58926.688,-1579021.5,203217040.0,7233414.5,1445070.0,70082020.0,210845.88,516051.56,-2220888.2,7310080.0,28652.482,8605670.0,3708366.5,33228.086,7103834.0,3017418.2,2982324.8,14543391.0,185995410.0,294612160.0,39613196.0,11059748.0,1507174.5,662272.8,500169.1,29319140.0,796153.06,137057.12,23465410.0,30250602.0,4159637.5,2767702.5,6117063.0,2768.7942,77876.67,11006459.0,63450.785,3471762.2,210742.12,23600056.0,333096.5,12260.259,14910.018,12329338.0,207682.73,17428876.0,609479.6,9412660.0,9716.835,5393742.0,3738496.0,13795220.0,2289.1196,24785528.0,1166805.1,3825164.8,42405.85,55383708.0,1409953.1,20012922.0,9635168.0,1823212.4,104929.07,1092703.9,24421952.0,547215.5,3355960.0,8833743.0,4567442.5,1963.7051,17553142.0,11770590.0,8472563.0,177.9817,21796072.0,226064.36,4572071400.0,20886256.0,2835433.2,9515500.0,51699616.0,11157.808,692389.2,58233730.0,14070542.0,4731414.5,2722867.0,25808.992,22682082.0,459195420.0,1118489.6,-112993.016,12862155.0,1855286.8,693106.7,-292705.38,3503298.2,3286757.8,3544718.5,9452280.0,5370168.0,19232.56,266354.78,5670398.0,1273033.1,27383404.0,231158.97,3344.8928,2699615.2,301.62662,14552889.0,238816.95,23034654.0,1358221.9,4134794.5,1160538.1,51179.082,586830.6,765356.44,19283276.0,858.0209,1206836.6,8282962.0,5162732.5,73350760.0,8627883.0,1026163300.0,7046080.0,29802.615,42647356.0,38253452.0,124913.16,102606.64,2002721.5,3589332.2,9012335.0,1118058.9
1856,7790375.5,6194036.0,1505071.6,29576.496,87523.42,36086430.0,936684.44,21908.482,46280910.0,9771366.0,3423440.8,1637281.4,25906156.0,-1383038.1,1662640.6,38337244.0,5908630.5,19470.252,14306.7705,3588813.8,39504024.0,263157.25,31073952.0,56077244.0,90191.62,-131795.6,2539027.0,742804.75,1153232.0,75203590.0,5192311.0,8602803.0,397158200.0,81701290.0,619963.9,13799959.0,2919950.8,5500.549,29431012.0,70066.07,15991.312,2187124.5,8658835.0,426335.16,15612087.0,92546104.0,48970.55,35556.723,9606086.0,887920.4,2558151.0,3056231.0,4160591.0,208118.36,22904722.0,9109996.0,34221684.0,18708428.0,1422632.6,114468744.0,59409.7,-183545.4,212924720.0,7339548.0,1412947.9,69892264.0,211261.94,513000.72,-668945.06,7341260.0,28732.125,8073494.0,3453676.5,34334.492,6994790.5,3059279.2,3008305.2,14553562.0,198001730.0,294386750.0,38654090.0,11097028.0,1519739.4,656139.6,502013.4,30251402.0,786129.4,137433.39,22117444.0,30316096.0,4157597.2,2774859.0,6145593.0,2787.6362,78950.88,11109988.0,63950.906,3396948.2,212548.64,22043056.0,334253.9,12416.187,14678.514,12148107.0,210579.17,17336594.0,613025.94,9458445.0,9852.431,5428852.5,3702464.2,13418285.0,2302.177,24669152.0,1166425.0,3828405.0,41637.04,57061416.0,1432842.4,19246884.0,10124557.0,1824802.1,103980.63,1128630.0,11418347.0,556599.3,3310908.2,8727176.0,4558797.0,1960.3726,17879728.0,11806802.0,8464200.0,179.79202,18600476.0,226626.06,4690924500.0,21046890.0,2703432.8,10159894.0,45629196.0,11270.294,-6692147.0,58869230.0,14055745.0,4748958.0,2693188.2,26033.012,22739740.0,537988500.0,1128479.4,-33677.4,12899508.0,1853995.5,401932.16,588328.5,3587071.0,3213208.2,3561334.0,9600206.0,5373651.0,64753.02,263332.2,5618251.0,1304716.9,27672110.0,231726.08,3351.33,2705832.0,303.41028,15301651.0,225316.14,22362294.0,1354148.1,4149438.8,1109194.5,51420.34,593102.56,769664.56,19117254.0,866.35504,1211920.8,8242340.0,5144341.5,74324290.0,9038406.0,1056656800.0,7056608.0,30113.94,55341844.0,38735812.0,95245.41,98024.516,2009735.8,3688532.5,9059485.0,1129691.0
1857,7845360.0,6264542.0,1532336.4,28813.66,88088.695,37083984.0,935605.0,20619.479,54644156.0,10400413.0,3427639.8,1637861.5,26649992.0,-1398291.1,1652440.0,38399280.0,5840331.5,19553.164,14518.005,3626294.5,39159860.0,299231.7,31880202.0,56256260.0,90921.32,11797.716,10187.511,748395.25,1146410.1,93971016.0,4980776.0,9032691.0,388002700.0,84100160.0,4990132.0,7865298.5,1751474.4,5578.3223,30494954.0,70103.15,16014.888,2134647.5,8648508.0,431967.28,15602098.0,93941140.0,49023.805,35986.7,9678079.0,916567.94,2564066.8,9772054.0,4190586.2,203006.73,22786654.0,9155717.0,34439824.0,18546034.0,1345155.8,113688580.0,59901.594,358572.0,209143070.0,7275055.0,1615266.1,72585544.0,211495.94,514934.9,470516.53,7372692.0,28813.617,8470302.0,3700350.5,35425.54,6712919.0,3119854.8,3124854.2,14607391.0,188623700.0,291145470.0,37963256.0,11133569.0,1531828.6,649834.94,503751.78,30030610.0,855416.75,137750.86,24089634.0,30393636.0,4147813.2,2784430.0,6164151.5,2806.0754,80103.92,11046212.0,64429.52,3110489.8,214263.84,22600050.0,334691.72,12480.225,14217.231,12278613.0,212149.62,17609478.0,613509.06,9508031.0,9987.94,5463284.5,3660132.0,15262740.0,2315.044,24987312.0,1168801.6,3830193.8,40973.645,53683544.0,1459189.5,15908775.0,9994458.0,1826135.6,103299.5,1091301.4,31138278.0,554506.4,3252507.5,8588434.0,4664786.0,1966.1555,17522178.0,11866879.0,8414478.0,181.55327,21159026.0,227162.86,4683661000.0,21215682.0,2683874.5,9668575.0,55049920.0,11381.058,-1686688.6,59631596.0,14484813.0,4760379.0,2672838.0,26241.953,22794196.0,467223970.0,1126728.6,35322.484,12917742.0,1852077.1,338448.34,79956.84,3649731.8,3306189.8,3577483.5,9562336.0,5374596.0,52235.098,265171.34,5567503.0,1339692.6,27814342.0,232978.1,3357.571,2711799.0,305.19107,15950787.0,212757.0,23515472.0,1351748.0,4166157.2,1030564.6,51678.383,600019.44,773702.0,18936492.0,874.5262,1216859.9,8229053.5,5129434.0,75295700.0,9394536.0,1070377340.0,7074298.0,30422.527,52256436.0,38701150.0,85776.44,94317.24,2016340.2,3782291.2,9025774.0,1144237.8
1858,7898627.5,6123772.5,1544674.5,28037.834,88614.484,38102540.0,935711.56,19559.82,55064436.0,12812490.0,3429011.8,1638457.0,27059566.0,-1412715.9,1643146.8,38584276.0,5755351.5,19634.945,14666.149,3620959.8,39704836.0,264588.28,32950396.0,54031492.0,91649.36,66709.4,1488509.1,753529.3,1170656.8,108144430.0,5126873.0,11672977.0,392792500.0,85749940.0,2891684.2,7763776.0,1612592.1,5655.388,24512726.0,70153.81,16035.538,2373298.8,8639846.0,437173.1,15562035.0,96196150.0,49086.797,36114.93,9479304.0,920668.8,2575737.8,8345953.0,4222278.0,205355.27,22970058.0,9272520.0,34467716.0,18402270.0,9784.315,111640050.0,60374.863,283052.0,205052460.0,7254718.0,1431765.1,74721360.0,211755.97,514647.7,-166134.58,7403231.5,28915.291,9470176.0,4740491.0,36498.82,6592875.5,3088762.2,3092762.8,14296723.0,203007950.0,291176480.0,37372604.0,11168902.0,1543421.2,643432.1,505371.78,30328330.0,821539.94,138020.34,23703016.0,30477300.0,4154199.5,2797022.8,6186544.0,2824.044,81336.56,11174360.0,64874.266,3544298.5,215918.92,22797588.0,333558.03,12360.713,14213.054,12313989.0,214153.44,17634650.0,608112.1,9623099.0,10123.349,5497005.5,3632482.8,13750974.0,2327.6895,25028246.0,1170039.8,3830726.2,40387.56,55918400.0,1492922.5,19886814.0,9911387.0,1827175.4,117517.38,1080515.2,-4349311.5,558497.44,3197730.8,8552153.0,4682401.5,1953.5673,16917834.0,11784437.0,8449523.0,183.25768,21306314.0,227699.86,4718894600.0,21352960.0,2868520.2,7258393.0,52539490.0,11489.812,2794929.8,60749150.0,14156433.0,4777170.0,2657579.8,26424.395,22534492.0,470382880.0,1123569.0,95403.48,12947810.0,1850190.2,293741.78,-212997.66,3699596.8,3582928.5,3593091.8,9540462.0,5378608.0,34687.625,266265.94,5537725.0,1357054.5,27714760.0,233077.11,3363.585,2717623.2,306.96603,16527818.0,201112.19,21404164.0,1351883.5,4186122.2,1006739.0,51952.97,607270.25,777478.3,18774238.0,882.5098,1221632.1,8216595.5,5263803.0,76609940.0,9782805.0,1102228200.0,7102804.5,30728.516,51977416.0,38403610.0,139630.17,91300.82,2022507.1,3869054.0,9068730.0,1152631.5
1859,7950452.5,6204314.5,1548213.4,27755.654,89106.02,39014790.0,936235.2,18656.074,51972508.0,11342120.0,3418634.8,1639250.9,26901898.0,-1426443.6,1634659.0,38632860.0,5673624.0,19715.473,14870.195,3574080.2,39555190.0,253887.06,33741972.0,43494036.0,92357.414,43454.645,-76447.79,758225.44,1114256.5,120846130.0,4918170.5,10586873.0,383511780.0,86588460.0,14823959.0,19922574.0,4302044.5,5722.493,27405094.0,70180.81,16062.039,2240559.2,8636460.0,442053.1,15576642.0,93809384.0,49130.92,35318.516,9805162.0,931399.94,2584296.8,-4189786.8,4254276.5,225203.39,23334500.0,9379076.0,34976068.0,17821310.0,424555.47,109906760.0,60847.777,5578252.0,221619710.0,7298710.5,1341394.4,76331260.0,212002.77,516336.84,3482081.0,7436027.5,28982.197,9046277.0,3206963.0,37552.04,6867374.0,2979306.0,3050552.2,14736668.0,212838420.0,289092400.0,36437576.0,11203091.0,1554477.6,636447.0,506879.2,29574828.0,742483.2,138234.36,25728066.0,30570856.0,4155895.2,2806690.8,6231276.5,2841.4736,82640.43,11024908.0,65291.14,3296748.0,217471.78,24968454.0,331952.2,11663.711,13062.864,12757791.0,216160.77,17916432.0,596628.8,9633055.0,10258.639,5529661.5,3608203.0,14892312.0,2340.081,25092248.0,1168058.2,3829630.2,39859.83,56934950.0,1469561.9,19596006.0,9610952.0,1827893.2,120605.15,1080222.4,8286063.5,558644.0,3146449.2,8523658.0,4273506.5,1950.0812,16400368.0,11892390.0,8410907.0,184.89749,21445856.0,228225.56,4810028000.0,21499088.0,2565210.8,9956376.0,52399944.0,11596.274,-1955340.0,60783590.0,14536806.0,4787426.5,2653070.0,26596.398,22500106.0,461620000.0,1123515.9,147806.38,12997420.0,1848269.8,520471.44,834404.56,3887669.2,4205240.5,3608103.5,9603810.0,5374813.5,48365.777,265104.28,5559590.5,1319592.0,28495698.0,237146.78,3369.3408,2723438.8,308.73233,17023406.0,190290.28,22289128.0,1350836.6,4201371.5,999427.0,52234.7,614773.0,781021.4,18633210.0,890.2813,1226215.2,8470789.0,5149441.5,77609864.0,10050332.0,1146841100.0,7117581.5,31013.723,51090464.0,39171656.0,81107.3,88873.68,2028273.0,3952010.8,9061282.0,1167248.1
