Date,ABW,AFG,AGO,AIA,ALB,AND,ARE,ARG,ARM,ATA,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BES,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CUW,CXR,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FRO,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,OWID_KOS,OWID_WRL,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PYF,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SHN,SLB,SLE,SLV,SOM,SPM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SXM,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VGB,VNM,VUT,WLF,WSM,YEM,ZAF,ZMB,ZWE
1851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.790539e-08,1.05105e-06,0.0,0.0,4.57875e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.135e-08,0.0,4.973777e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5966e-06,0.0,0.0,1.4025e-07,0.0,0.0,0.0,0.0,0.0,2.2935e-07,0.0,0.0,0.0,0.0,9.02385e-06,0.0,0.0,0.0,5.2423155e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2375e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.40415e-06,6.765e-08,0.0,0.0,0.0,0.0,0.0,8.951545e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.5576e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.735e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.109295e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.566487e-08,2.3166e-06,0.0,0.0,9.71685e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.93e-08,0.0,1.3119076e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.623105e-05,0.0,0.0,2.904e-07,0.0,0.0,0.0,0.0,0.0,4.7025e-07,0.0,0.0,0.0,0.0,1.87374e-05,0.0,0.0,0.0,0.000104660074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7885e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0987e-06,1.353e-07,0.0,0.0,0.0,0.0,0.0,0.00018300123,0.0,0.0,0.0,0.0,0.0,0.0,3.41715e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.947e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.315775e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.642592e-07,3.7686e-06,0.0,0.0,1.50249e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.155e-07,0.0,1.8366697e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.557995e-05,0.0,0.0,4.521e-07,0.0,0.0,0.0,0.0,0.0,7.6395e-07,0.0,0.0,0.0,0.0,3.01488e-05,0.0,0.0,0.0,0.00015660899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3395e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9764e-06,2.0955e-07,0.0,0.0,0.0,0.0,0.0,0.000280829,0.0,0.0,0.0,0.0,0.0,0.0,5.36085e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.97e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.674055e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.46906e-07,5.19915e-06,0.0,0.0,2.09055e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.716e-07,0.0,1.8609379e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.655245e-05,0.0,0.0,6.5835e-07,0.0,0.0,0.0,0.0,0.0,1.01145e-06,0.0,0.0,0.0,0.0,4.330425e-05,0.0,0.0,0.0,0.00021921004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.303e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.65435e-06,3.1515e-07,0.0,0.0,0.0,0.0,0.0,0.0003956799,0.0,0.0,0.0,0.0,0.0,0.0,7.51245e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.488e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.167305e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4269923e-10,0.0,0.0,3.4403175e-07,6.86565e-06,2.065202e-09,0.0,2.692965e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.321793e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3925e-07,0.0,2.5404822e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.943895e-05,0.0,0.0,8.6295e-07,0.0,0.0,0.0,0.0,0.0,1.2606e-06,1.5626365e-09,0.0,0.0,0.0,5.819715e-05,0.0,0.0,0.0,0.0002778289,6.367631e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.349e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0289083e-08,0.0,8.8309227e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6148745e-09,0.0,1.035303e-09,0.0,0.0,1.5959607e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.7482e-06,4.3065e-07,0.0,0.0,0.0,0.0,0.0,0.0005128821,0.0,0.0,0.0,0.0,0.0,0.0,1.004355e-05,0.0,0.0,0.0,0.0,0.0,0.0,9.481961e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.907e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.070688e-10,1.3140556e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0076475e-08,0.0,6.88578e-05,4.035385e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.498404e-09,3.4269923e-10,0.0,0.0,4.7862835e-07,8.7714e-06,2.065202e-09,0.0,3.287955e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.321793e-09,0.0,0.0,0.0,1.0231126e-07,0.0,0.0,0.0,0.0,0.0,3.201e-07,0.0,3.5291626e-07,0.0,0.0,0.0,0.0,0.0,0.0,4.377634e-09,0.0,0.0,0.0,1.7315993e-07,0.0,0.0,0.0,0.0,6.336495e-05,0.0,0.0,1.155e-06,0.0,0.0,0.0,0.0,0.0,1.6005e-06,1.5626365e-09,0.0,0.0,0.0,7.379295e-05,0.0,0.0,0.0,0.0003409113,6.367631e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0494e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0289083e-08,0.0,8.8309227e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6148745e-09,0.0,1.035303e-09,0.0,0.0,1.5959607e-09,0.0,0.0,3.58866e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.187505e-05,5.676e-07,0.0,0.0,0.0,0.0,0.0,0.00063818373,0.0,0.0,2.2844665e-08,0.0,0.0,0.0,1.288815e-05,0.0,0.0,0.0,0.0,0.0,0.0,9.481961e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.052e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.070688e-10,1.3140556e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0076475e-08,1.479461e-08,8.688735e-05,4.035385e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5852401e-08,3.4269923e-10,0.0,0.0,6.2773177e-07,1.09659e-05,2.065202e-09,0.0,3.907365e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.321793e-09,0.0,0.0,0.0,2.2347098e-07,0.0,0.0,0.0,0.0,0.0,4.1745e-07,0.0,5.5287114e-07,0.0,0.0,0.0,0.0,0.0,0.0,1.2575846e-08,0.0,0.0,0.0,3.3560704e-07,0.0,0.0,0.0,0.0,7.819845e-05,0.0,0.0,1.45365e-06,0.0,0.0,0.0,0.0,0.0,1.9833e-06,1.5626365e-09,0.0,0.0,0.0,8.96808e-05,0.0,0.0,0.0,0.00040286433,6.367631e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.29525e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0289083e-08,0.0,8.8309227e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6148745e-09,0.0,1.035303e-09,0.0,0.0,1.5959607e-09,0.0,0.0,6.887309e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.37742e-05,7.0455e-07,0.0,0.0,0.0,0.0,0.0,0.0007648073,0.0,0.0,5.083612e-08,0.0,0.0,0.0,1.59126e-05,0.0,0.0,0.0,0.0,0.0,0.0,9.481961e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.08075e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.070688e-10,1.3140556e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0076475e-08,3.5864083e-08,0.0001053756,4.035385e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9615284e-08,8.2409934e-10,0.0,0.0,7.8106063e-07,1.422795e-05,4.964861e-09,0.0,4.558125e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0390857e-08,0.0,0.0,0.0,3.516103e-07,0.0,0.0,0.0,0.0,0.0,5.3625e-07,6.6e-08,7.561836e-07,0.0,0.0,0.0,0.0,0.0,0.0,2.1591854e-08,0.0,0.0,0.0,4.880037e-07,0.0,0.0,0.0,0.0,9.42348e-05,0.0,0.0,1.67475e-06,0.0,0.0,0.0,0.0,0.0,2.5014e-06,3.756632e-09,0.0,0.0,0.0,0.0001052601,0.0,0.0,0.0,0.00046358354,1.5311136e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.46685e-06,0.0,1.776488e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4737842e-08,0.0,2.1232942e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.882724e-09,0.0,2.4894105e-09,0.0,0.0,3.8372407e-09,0.0,0.0,1.3858829e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5444e-05,8.25e-07,0.0,0.0,0.0,0.0,0.0,0.0008933976,0.0,0.0,7.107654e-08,0.0,0.0,0.0,1.938255e-05,0.0,0.0,0.0,0.0,0.0,1.65e-09,2.2797065e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.31175e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2190365e-09,3.1590475e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.231179e-08,8.503264e-08,0.00012413115,9.701856e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.484761e-08,1.3347707e-09,0.0,0.0,9.994461e-07,1.68696e-05,8.040147e-09,0.0,5.229015e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6827839e-08,0.0,0.0,0.0,5.194537e-07,0.0,0.0,0.0,0.0,0.0,6.7815e-07,1.584e-07,8.696612e-07,0.0,0.0,0.0,0.0,0.0,0.0,2.396778e-08,0.0,0.0,0.0,6.309719e-07,0.0,0.0,0.0,0.0,0.00010945935,0.0,0.0,1.9569e-06,0.0,0.0,0.0,0.0,0.0,3.23565e-06,6.0839245e-09,0.0,0.0,0.0,0.0001210176,0.0,0.0,0.0,0.0005309989,2.4795033e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.81335e-06,0.0,4.642755e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0062037e-08,0.0,3.4387009e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.287923e-09,0.0,4.0313317e-09,0.0,0.0,6.2140693e-09,0.0,0.0,1.7451992e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.70313e-05,9.7185e-07,0.0,0.0,0.0,0.0,0.0,0.0010296542,0.0,0.0,8.605939e-08,0.0,0.0,0.0,2.25852e-05,0.0,0.0,0.0,0.0,0.0,3.3e-09,3.6919155e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.65165e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9737856e-09,5.116171e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.17106765e-07,1.1277012e-07,0.00014454,1.5711926e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1860,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.354611e-08,2.0093613e-09,0.0,0.0,1.2695385e-06,1.96383e-05,1.2104353e-08,0.0,5.914095e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5334074e-08,0.0,0.0,0.0,7.1530025e-07,0.0,0.0,0.0,0.0,0.0,8.4975e-07,2.9535e-07,1.0594044e-06,0.0,0.0,0.0,0.0,0.0,0.0,2.815943e-08,0.0,0.0,0.0,7.650952e-07,0.0,0.0,0.0,9.113998e-08,0.0001258488,0.0,0.0,2.2011e-06,0.0,0.0,0.0,0.0,0.0,4.1052e-06,9.159211e-09,0.0,1.65e-08,0.0,0.00013818915,0.0,0.0,0.0,0.0006066316,3.7327648e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2209e-06,0.0,7.538879e-07,0.0,0.0,0.0,0.0,0.0,1.32e-08,0.0,0.0,0.0,6.031191e-08,0.0,5.1765148e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.466334e-09,0.0,6.069064e-09,0.0,0.0,9.355103e-09,0.0,0.0,1.9721643e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.919115e-05,1.122e-06,0.0,0.0,0.0,0.0,0.0,0.0011792973,0.0,0.0,1.1205364e-07,0.0,0.0,0.0,2.595615e-05,0.0,0.0,0.0,0.0,0.0,4.95e-09,5.5580455e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9310016e-08,0.0,1.9899e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.971261e-09,7.702401e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7630006e-07,1.4348515e-07,0.00016590254,2.3653904e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
