Date,ALB,ARE,ARG,ARM,AUS,AUT,AZE,BEL,BEN,BFA,BGD,BGR,BHR,BLR,BOL,BRA,BRN,BWA,CAN,CHE,CHL,CHN,CIV,CMR,COL,CRI,CYP,CZE,DEU,DNK,DOM,ECU,EGY,ESP,EST,ETH,FIN,FRA,GBR,GEO,GHA,GIN,GRC,GTM,HKG,HND,HRV,HUN,IDN,IND,IRL,IRN,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KOR,KWT,LAO,LKA,LTU,LUX,LVA,MAR,MDG,MEX,MLT,MNG,MOZ,MUS,MWI,MYS,NAM,NGA,NIC,NLD,NOR,NPL,NZL,OMN,OWID_WRL,PAK,PAN,PER,PHL,POL,PRT,PRY,QAT,ROU,RUS,RWA,SAU,SEN,SGP,SLV,SVK,SVN,SWE,TGO,THA,TJK,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,VEN,VNM,ZAF,ZMB,ZWE
1990,0.010900513,2.0724165,0.025520442,-0.8308986,-2.0378664,3.5491285,-3.2095656,3.4791005,0.06666768,0.024372045,0.03762363,-1.737635,-1.2919836,-4.5749035,-0.1914931,0.17881373,-5.7968206,0.0,0.89267004,6.218024,-0.06191869,-0.1426458,0.09653839,0.040063623,0.15709558,0.71820354,2.7323897,-1.2495017,1.7587558,1.6629055,0.06063092,-0.026651043,0.0878361,0.8818066,-3.5343187,0.019624813,4.769532,1.7454492,1.1750364,-1.1108581,0.0702855,-1.9427048e-08,1.2734,0.20089118,10.587704,0.16501284,-0.4007179,1.7747968,-0.04637689,-0.003150677,1.8773638,-0.13669685,3.0118525,2.2511144,-0.02960633,1.5665109,1.2936131,0.67763495,0.10230935,0.18514375,0.08052973,1.5844103,0.64591306,0.06739223,0.1532549,2.0282583,0.0,0.71602154,0.335221,0.037919536,0.06661839,2.6274445,-0.4053158,0.22866929,1.130962,0.08319106,0.6574864,,-0.010151433,0.15417145,2.6114845,,0.022179067,0.40556067,0.7328124,0.0,0.03849425,0.13184561,0.112351894,0.33975232,-1.4188071,0.66380507,0.4058221,-1.7544719,-0.5760995,-3.31458,-4.660847e-08,-1.0133266,0.034245085,9.149981,0.3014381,2.2111347,0.68825126,3.282167,0.077717416,0.58742976,-1.2651606,-4.1594667,0.270228,1.139093,2.461498,0.058668688,0.043883186,-3.9101517,0.29842415,-0.29463306,-1.3721645,0.027714796,-2.3008652,0.042038113,0.24162453
1991,0.09862589,2.1168933,0.10983102,-0.76583284,-2.0569687,3.2641718,-3.9043043,3.2259488,0.06770145,0.024514597,0.04059501,-1.9320611,0.09094823,-3.639104,-0.1844447,0.14712779,-8.961845,0.0,1.1457928,6.1793995,0.000916235,-0.17635573,0.10025191,0.03771421,0.11623415,0.60715866,2.213591,-1.7781004,1.5834782,0.31924748,0.05508224,-0.04455914,-0.017848723,0.77367336,-2.482052,0.02023974,3.8598998,1.5039269,1.1640687,-0.84085387,0.06935033,-9.332375e-09,1.1650091,0.19886234,11.266699,0.17040595,-0.27891332,1.3422831,-0.07878693,-0.021316787,2.1426773,-0.14717723,2.9139345,2.146785,-0.13218337,1.158731,1.3396028,-3.1072152,0.104143925,0.35597047,0.08106044,1.4804667,-348.15665,0.071709424,0.1725945,2.1637535,0.0,0.7299085,0.2850505,0.03528588,0.11459023,2.6204813,-1.4577299,0.20868124,1.1765125,0.07693504,0.38266274,0.0,-0.020545827,0.1556227,2.5402122,,0.024851363,0.23651724,0.94269884,0.0,0.025087249,-0.0134641295,0.12957631,0.30110028,-0.9618679,0.7083037,0.41463435,-3.6651568,-0.53429604,-2.1981447,-5.8124783e-08,-1.744781,0.03309461,9.471967,0.27904972,0.75844646,0.81075126,3.1255565,0.0819301,0.4606449,-0.948023,-3.5875657,0.106725164,0.97076523,1.9777308,0.058943987,0.042764608,-3.3678055,0.2874988,-0.40485054,-0.8395972,0.023540039,-2.039477,0.06898959,0.18745315
1992,0.12149949,2.6570904,0.21037728,-0.58908993,-2.17022,4.1908417,-5.793923,4.9629717,0.0653399,0.024594167,0.045767035,-1.7715687,1.0489206,-4.711674,-0.15764427,0.13017792,-6.415257,0.0,1.1074252,7.2089705,0.09185045,-0.13084595,0.14948814,0.047998186,0.1742288,0.6068454,3.4853244,0.24697238,2.9377067,2.1389387,0.061234556,-0.19280906,0.0839319,1.1093404,-0.26143798,0.021461645,9.795476,2.397734,1.7058172,-1.1072298,0.07192329,0.0,1.8994052,0.22772764,11.63071,0.19364507,0.37975186,3.172323,-0.078970976,-0.010138848,2.6643646,-0.13151395,3.2150762,3.0254335,-0.24638823,1.225612,1.9562523,-6.2183857,0.117939755,1.497971,0.083211824,2.124452,2.3143613,0.07190401,0.17005415,8.469097,0.0,1.6071774,0.4384149,0.03614347,0.16972859,3.1328247,-0.78717077,0.18663503,1.2638391,0.072872594,0.44873476,0.0,-0.023108732,0.18459828,4.381044,,0.024090013,0.043341286,0.91630054,0.0,0.044129863,-0.2029848,0.13523191,0.4297291,-0.4449818,0.91298664,0.41680893,-8.276598,-0.5106359,-7.9909234,-1.2201928e-08,-1.9790885,0.04000731,11.310329,0.30256876,1.3454357,2.9340768,4.1625943,0.09078553,0.8761978,-0.40747935,-4.0053587,0.69754654,1.471682,3.667314,0.05719307,0.043189894,-2.836918,0.31216285,-0.10784492,-0.49475694,0.022414995,-1.7227923,0.06880838,0.08788437
1993,0.102164775,1.5494745,0.17391017,-0.20346603,-2.3421834,3.5910258,-3.249646,4.091865,0.059769265,0.0236663,0.041753344,-1.5277894,-2.389908,-4.1331096,-0.15860681,0.11478901,-3.5436714,0.0,0.62829727,6.279699,0.10338146,-0.13755076,0.10737081,0.047872934,0.1686909,0.5545484,2.2136412,-0.7490721,2.4646583,1.2484856,0.034232896,-0.13458927,-0.007892984,0.8052151,-0.99579537,0.019775033,5.6876936,2.0060654,1.3370373,-0.3564018,0.0684404,0.0,1.4554346,0.20429784,10.347609,0.16223226,0.29401878,2.296394,-0.10922918,-0.027749324,1.9044645,-0.3746635,2.747639,2.2328854,-0.08290518,1.0578271,1.775051,-2.5155766,0.09475219,1.0373614,0.06944709,1.630045,-0.74012744,0.07240049,0.1764115,4.367469,0.0,1.0575675,0.32315427,0.03822257,0.18306354,2.229339,-1.3795496,0.1974733,1.2508999,0.07855067,0.025460728,0.0,-0.009550349,0.16609037,3.138374,,0.024312895,0.16166027,1.0354605,0.0,0.040154852,-0.121015504,0.113683954,0.34556374,-0.7328938,0.9007942,0.36548787,-8.281393,-0.47137022,-5.084946,0.0,-1.7516049,0.03834207,10.525869,0.25761142,0.9886993,2.0414739,3.3844373,0.09384866,0.55630785,-0.3391315,-3.5454137,0.3399557,1.0180575,2.5688734,0.05609925,0.050624475,-2.616458,0.37500024,-0.257806,-0.7003883,0.030205118,-1.874174,0.08351317,0.06866425
1994,0.1372847,1.8030823,0.16387276,-0.26776183,-2.110472,3.5071359,-3.0244043,3.7368236,0.07014909,0.024324264,0.047098093,-1.7578694,-0.5583311,-3.6748576,-0.13924046,0.13609834,-1.0177649,0.0,0.30457792,6.272047,0.016773434,-0.29263818,0.09215556,0.021259591,0.16062304,0.48389128,1.8848622,-0.69967216,2.3428442,0.7931891,0.041614465,0.06839918,0.030778551,0.5852979,-2.3119705,0.020618992,3.2610052,1.9078351,1.2992961,-0.22801107,0.069116935,0.0,1.2357392,0.1860662,14.969461,0.14099267,0.38116726,1.7237477,-0.10110836,-0.032824658,1.7568378,-0.49174798,2.6273773,2.0423174,-0.23935957,1.0227422,1.9174211,-1.9222263,0.09698111,0.98338985,0.07028633,1.5394334,-1.9506358,0.085046604,0.18947075,3.532741,0.0,1.3399886,0.2903922,0.037060194,0.1599818,2.6714659,-0.8802825,0.18931453,1.3604968,0.08020594,-0.023729088,-1.6064112e-07,-0.018947804,0.15634866,2.8348155,,0.023573287,0.32780686,0.7716066,0.0,0.037589923,-0.20681879,0.123332985,0.30567324,-0.94341195,0.9126616,0.37768987,-8.18811,-0.7285459,-3.1797283,5.0608755e-08,-1.5932301,0.0214362,9.153409,0.26898336,0.1999622,1.4017506,2.9940414,0.115913585,0.3995762,-0.12388062,-3.2399206,0.14609128,0.7100741,2.2592158,0.058437474,0.05041026,-2.789575,0.42328966,-0.20351186,-0.8288557,0.02577358,-1.8541714,0.094580695,-0.00076261663
1995,0.14038365,2.774594,0.08832218,-0.20544893,-2.396288,3.6520298,-1.3086456,4.0134177,0.07594565,0.026992597,0.043527883,-1.3595078,-0.6983733,-2.548883,-0.12077314,0.18587834,-1.9233546,0.0,0.14512004,6.6887937,-0.010760409,-0.30128628,0.07909664,0.018875489,0.20851375,0.54598385,2.2811983,-0.77700543,2.4413915,1.243622,-0.023521597,-0.09688681,0.014865283,0.5435297,-1.6415342,0.020796979,3.3623598,1.9914387,1.3227391,-0.003129158,0.07244102,0.0,1.3008952,0.2014481,15.510766,0.10816747,0.62378657,1.4302453,-0.08932778,-0.04292901,1.7619303,-0.35560805,2.8138788,1.9872535,-0.19159345,1.1007618,2.0631223,-2.3100214,0.10515494,1.3352867,0.052302297,1.5003963,-1.8390043,0.09694727,0.19858171,3.5627048,0.0,1.4319042,0.29647914,0.036021713,-0.0638032,3.34963,-0.8094722,0.19400129,1.3976383,0.08582378,-0.55182296,0.0,-0.06794992,0.14600766,2.9581838,,0.021612605,0.63567686,0.60052466,0.0,0.03826414,-0.029542102,0.1365485,0.29707322,-1.0751362,0.906015,0.3619914,-7.3195095,-0.8926841,-3.0421512,3.304505e-08,-1.4994452,0.037043624,13.994473,0.28211445,0.4427516,1.7473828,2.9415023,0.1205931,0.30789542,-0.27416238,-3.5305269,0.1754188,0.69742215,2.1725857,0.055759713,0.050318636,-3.3060489,0.45587128,-0.20260793,-0.67140293,0.02670921,-2.0390902,0.1183208,0.08431794
1996,0.3107531,2.3322341,0.08917471,0.0879871,-2.3950417,4.232838,-0.37291482,3.5565722,0.08101825,0.02197603,0.045787107,-1.1594354,-1.9550731,-1.3402319,-0.13460006,0.19899878,0.31421426,0.0,-0.08210068,9.068319,0.006576352,-0.31148592,-0.019334193,0.010168495,0.17944174,0.5256111,3.2437181,-1.2237564,1.9975017,-0.35084647,-0.019203404,-0.17908035,0.05342329,0.47251046,-1.5917772,0.019619677,2.10022,1.7477325,1.4530951,0.7770339,0.12346746,0.0,0.9364161,0.21033454,14.911524,0.15237789,0.5376768,0.71084046,-0.117296726,-0.05639258,3.4653485,-0.20372626,2.7326057,1.5343558,-0.9505663,0.24243328,1.9066042,-2.4194386,0.0069821873,0.65754247,0.06811808,1.5329096,-3.9152443,0.09052138,0.17958508,1.9397185,0.0,2.05244,0.15159178,0.012567934,-0.008612928,3.418403,-0.19088294,0.107543334,1.7431781,0.10741368,-0.45635334,0.0,-0.08008936,0.122175224,2.214562,,0.02048329,0.7395899,0.52118176,-3.5056152e-07,0.039869964,-0.09375857,0.12803331,0.26352865,-1.2546376,0.89517164,0.32980582,-7.3841476,-1.2236805,-2.2487326,3.2606774e-08,-1.3444399,0.108281076,14.683853,0.2913439,0.7857666,1.1382009,3.115194,0.09160412,0.15228008,0.21815307,-4.2045665,0.061788272,0.17953363,1.0770776,0.04304094,0.033065382,-1.2428662,0.5930911,-0.27244473,-0.973579,0.03600401,-2.1991231,0.1436431,0.14667864
1997,0.21178013,2.6545012,0.19674072,0.25445145,-2.4116366,3.5052226,-0.5259772,4.5842786,0.10402449,0.02569263,0.047061753,-1.1228527,-4.9162173,-1.6107548,-0.09563387,0.21339835,-5.438592,0.0,0.5080957,7.5218573,-0.062053047,-0.36819056,-0.021175416,0.04971877,0.18943477,0.5846966,2.1608572,-1.186953,1.7814975,0.37513074,0.048054643,0.03309779,0.02086016,0.29948238,-1.9139391,0.023174804,2.1056707,1.6188154,1.8450267,0.53832847,0.1720382,0.0,0.6027452,0.24690314,16.664017,0.22653899,0.5297956,0.7983755,-0.15980482,-0.053985585,2.8342288,-0.019893026,2.59931,1.5125916,-0.8345721,0.7006509,1.7647861,-2.4255867,0.041696683,-0.04905919,0.06524861,1.1547399,-4.1550336,0.07783182,0.15285842,1.8211347,0.0,2.0449324,0.08497231,0.016995214,0.15358618,2.734798,-0.6445395,0.041953947,1.6588972,0.10189493,-0.29933527,0.0,-0.050158612,0.13859402,2.2947059,,0.018144654,0.6796413,0.5592271,0.0,0.028224673,-0.11240757,0.1361724,0.252574,-1.1746588,1.5992006,0.3558208,-13.160043,-1.2429985,-2.0578196,-6.044341e-08,-0.9199167,0.11782597,14.531873,0.31080848,0.5818087,1.1617825,3.15088,0.103918806,-0.12501305,0.15580027,-3.8795583,-0.0027102649,0.20282248,1.3243562,0.045520112,0.03584277,-1.2521842,0.77174574,-0.15863375,-0.58987147,0.0012280733,-2.3345344,0.18623975,0.09302045
1998,0.24366994,4.158217,0.23050842,0.19154775,-2.055537,3.9616249,-0.1930164,4.9465103,0.13109973,0.07694153,0.04578188,-0.88790834,-3.5255082,1.1272855,-0.044233646,0.18796186,-0.51195586,0.0,0.3696742,10.16614,-0.08428165,-0.3235597,0.11652773,0.05106206,0.1702445,0.75591695,3.6748998,-1.0970637,1.9135513,0.82873905,0.19667116,0.13072474,0.0678366,0.42758432,0.07914254,0.031764105,2.365599,1.6364421,2.143688,0.56737036,0.14297399,0.0,0.8241177,0.3056423,11.795509,0.22959693,0.3272163,0.96519405,-0.43251914,-0.055019837,2.275479,0.034704622,2.597225,1.4666368,0.09653066,0.74578494,1.3242908,-1.9767361,0.10575259,1.0038453,0.075171016,-0.37186056,0.8458042,0.08239322,0.18012585,1.7495574,1.1789506e-06,2.1312118,0.14770548,0.038346577,0.21134788,5.678441,-0.50701255,0.095979065,1.315601,0.09611934,-1.3893845,-7.214166e-08,-0.002336728,0.16257292,2.5403655,,0.07966903,0.43522003,0.7984403,0.0,0.0022467023,-0.1845249,0.15160586,0.15952958,-1.1048206,2.1403656,0.27216005,-9.074207,-0.7486707,-2.7755153,-1.1600374e-08,0.56402427,0.10541716,12.5598,0.4096339,0.865397,1.5013374,3.279345,0.12707707,-0.4808929,0.2119369,-3.5451076,-0.07614192,0.23319902,0.79557025,0.053026978,0.05881806,-1.6792829,0.88254905,0.2690158,-0.28341532,-0.0078046615,-2.332905,0.1658303,-0.04939358
1999,0.2517218,0.79096305,0.0416065,0.67524296,-2.4947631,3.910935,-0.23458755,6.1932087,0.07777808,0.11172929,0.03930007,-0.59269345,-13.238473,0.99034137,0.05550038,0.03432121,-4.8969307,0.0,-0.070539415,8.68058,-0.10099159,-0.3052628,0.019150445,-0.0037053125,0.018632984,1.0819154,1.6998359,-0.61714965,2.3824658,2.0329497,0.2871635,-0.02530207,0.08455431,0.43901277,2.743814,0.029927135,2.9698455,1.7139099,2.0185566,0.4055397,0.20794871,0.0,0.52377886,0.28678244,9.603685,0.3177353,0.44385627,1.0084312,-0.20939708,-0.04324929,3.4653034,-0.7613755,1.5357293,1.664757,-0.11144409,0.5792461,1.759874,-1.3935857,0.03872421,0.23757723,0.06788444,0.5582611,-5.637353,0.07088201,0.29407254,1.8188668,1.2520152,1.9289539,0.22269,0.048167266,0.24348634,4.1033735,-0.35658473,0.15663788,1.1636242,0.09050326,-0.46290067,0.0,-0.17638382,0.18154617,-1.4884372,,0.12792304,0.7109133,-1.231993,-3.3634387e-07,0.051140275,0.06219044,0.14556,0.22976841,-0.5263941,3.0474808,0.29623878,-29.50272,-0.43035886,-3.279657,1.5341438e-08,-2.8685324,0.091988005,13.706244,0.39203593,0.41430658,1.3691779,2.9686217,0.008029432,-0.30290237,0.13884391,-6.6685624,0.058695216,0.32880628,0.8362084,0.058308896,0.06048649,-1.2149347,1.0355052,0.6656201,-1.8356935,-0.06223486,-1.747907,0.15184441,-0.14453344
