Date,AFG,AGO,ALB,AND,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GTM,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAR,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NER,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,OWID_WRL,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
1990,5360000.0,14970000.0,2200000.0,0.0,310000.0,84650000.0,810000.0,30000.0,101610000.0,6570000.0,3180000.0,590000.0,7780000.0,1660000.0,5870000.0,50340000.0,5900000.0,20000.0,10000.0,1920000.0,16129999.0,100000.0,11170000.0,241960000.0,60000.0,10000.0,519999.97,5450000.0,8270000.5,23830000.0,4870000.0,6370000.0,336930000.0,2630000.0,5960000.0,12400000.0,980000.0,10000.0,41820000.0,150000.0,40000.0,3390000.0,9100000.0,150000.0,7740000.0,52060000.0,360000.0,20000.0,6850000.0,4230000.0,4350000.0,8670000.0,11270000.0,2180000.0,22250000.0,1760000.0,34390000.0,3390000.0,600000.0,50390000.0,,170000.0,35280000.0,1510000.0,3400000.0,3950000.0,480000.0,690000.0,10000.0,4700000.0,10000.0,3350000.0,630000.0,3850000.0,2340000.0,2150000.0,5000000.0,78070000.0,433940000.0,13360000.0,21390000.0,3940000.0,330000.0,420000.0,27730000.0,650000.0,350000.0,19000000.0,25680000.0,16530001.0,3450000.0,11990000.0,0.0,10000.0,9740000.0,80000.0,4540000.0,170000.0,170000.0,1250000.0,20000.0,0.0,5350000.0,840000.0,5080000.0,460000.0,2930000.0,6450000.0,2730000.0,15650000.0,0.0,55410000.0,,1520000.0,8670000.0,90000.0,35030000.0,700000.0,8210000.0,7490000.0,3700000.0,50000.0,1120000.0,4820000.0,4230000.0,6340000.0,22410000.0,4910000.0,0.0,14490000.0,2750000.0,14380000.0,0.0,27980000.0,370000.0,3159939800.0,60520000.0,2170000.0,12580000.0,36250000.0,,600000.0,25750000.0,4580000.0,5260000.0,13060000.0,70000.0,18270000.0,149600000.0,740000.0,2020000.0,24740000.0,4620000.0,60000.0,40000.0,1370000.0,1950000.0,15890000.0,7530000.0,13700000.0,0.0,519999.97,3850000.0,1630000.0,4380000.0,700000.0,0.0,2890000.0,7660000.0,1000000.0,50870000.0,3040000.0,3610000.0,310000.0,60000.0,110000.0,1970000.0,21080000.0,0.0,18890000.0,6020000.0,60060000.0,16700001.0,196970000.0,13510000.0,10000.0,21850000.0,37020000.0,240000.0,110000.0,2780000.0,17740000.0,9610000.0,7110000.0
1991,5600000.0,15020000.0,2230000.0,0.0,330000.0,83620000.0,800000.0,30000.0,100750000.0,6560000.0,3110000.0,600000.0,7840000.0,1740000.0,6070000.0,50100000.0,5600000.0,20000.0,10000.0,1860000.0,15820000.0,100000.0,11340000.0,250090000.0,60000.0,10000.0,500000.0,5100000.0,8460000.0,23730000.0,4820000.0,6440000.0,341190000.0,2710000.0,5920000.0,12280000.0,980000.0,10000.0,41410000.0,150000.0,40000.0,3370000.0,8980000.0,150000.0,7400000.0,48570000.0,360000.0,20000.0,6900000.0,4480000.0,4170000.0,8590000.0,11980000.0,2190000.0,22190000.0,1720000.0,34570000.0,3220000.0,610000.0,48970000.0,0.0,170000.0,34820000.0,1480000.0,3560000.0,4120000.0,490000.0,700000.0,10000.0,4590000.0,10000.0,3430000.0,830000.0,3820000.0,2270000.0,2300000.0,4880000.0,77340000.0,437560000.0,13590000.0,20860000.0,2830000.0,330000.0,410000.0,25960000.0,690000.0,430000.0,18980000.0,25180000.0,15780000.0,3380000.0,11580000.0,0.0,10000.0,9730000.0,20000.0,4420000.0,190000.0,150000.0,1220000.0,20000.0,0.0,4820000.0,850000.0,4980000.0,460000.0,2870000.0,6230000.0,2680000.0,15560000.0,0.0,54990000.0,0.0,1470000.0,8630000.0,90000.0,34450000.0,680000.0,8530000.0,7550000.0,3820000.0,40000.0,1110000.0,4620000.0,4350000.0,6580000.0,23820000.0,3910000.0,0.0,14620000.0,2800000.0,14300000.0,0.0,27400000.0,390000.0,3159830000.0,61520000.0,2190000.0,12310000.0,37060000.0,0.0,600000.0,23470000.0,4390000.0,5190000.0,12070000.0,80000.0,16400000.0,146680000.0,770000.0,2089999.9,25580000.0,4730000.0,0.0,50000.0,1340000.0,2000000.0,13970000.0,7280000.0,14160000.0,0.0,570000.0,3680000.0,1570000.0,4270000.0,730000.0,0.0,2960000.0,11890000.0,920000.0,52850000.0,2980000.0,3540000.0,370000.0,60000.0,110000.0,2089999.9,19870000.0,0.0,18970000.0,6260000.0,58880000.0,17490000.0,197620000.0,13250000.0,10000.0,22550000.0,38230000.0,250000.0,110000.0,2650000.0,17930000.0,9700000.0,6180000.0
1992,5670000.0,15080000.0,2220000.0,0.0,350000.0,84600000.0,710000.0,30000.0,98390000.0,6430000.0,2650000.0,610000.0,7710000.0,1770000.0,6240000.0,50380000.0,4860000.0,20000.0,10000.0,1840000.0,13970000.0,110000.0,11590000.0,254290000.0,60000.0,10000.0,460000.0,4890000.0,8480000.0,24460000.0,4720000.0,6600000.0,341309980.0,2770000.0,5940000.0,12360000.0,980000.0,10000.0,42000000.0,150000.0,50000.0,3310000.0,9100000.0,150000.0,6600000.0,43370000.0,360000.0,20000.0,6890000.0,4240000.0,4360000.0,9400000.0,12490000.0,2240000.0,22030000.0,1800000.0,35440000.0,3130000.0,620000.0,47870000.0,0.0,180000.0,34880000.0,1280000.0,3490000.0,4290000.0,480000.0,720000.0,10000.0,4530000.0,10000.0,3670000.0,890000.0,3760000.0,2079999.9,2650000.0,4300000.0,82680000.0,440160000.0,13650000.0,22460000.0,3290000.0,320000.0,420000.0,25510000.0,750000.0,540000.0,19380000.0,22060000.0,15660000.0,3230000.0,11870000.0,0.0,10000.0,9830000.0,20000.0,4610000.0,190000.0,150000.0,1170000.0,20000.0,0.0,4940000.0,950000.0,5440000.0,450000.0,3490000.0,6020000.0,2230000.0,15730000.0,0.0,54050000.0,0.0,1240000.0,8640000.0,100000.0,36580000.0,570000.0,8359999.5,7640000.0,3720000.0,40000.0,1100000.0,4650000.0,4260000.0,6820000.0,24080000.0,4340000.0,0.0,14420000.0,2830000.0,13930000.0,0.0,27000000.0,420000.0,3144330000.0,62160000.0,2230000.0,12210000.0,35110000.0,0.0,640000.0,21840000.0,4340000.0,5060000.0,12450000.0,90000.0,14480000.0,133780000.0,740000.0,2180000.0,28060000.0,4820000.0,0.0,50000.0,1330000.0,2020000.0,12650000.0,6090000.0,15540000.0,0.0,640000.0,3280000.0,1310000.0,4390000.0,750000.0,0.0,2890000.0,12430000.0,830000.0,53680000.0,2600000.0,2290000.0,360000.0,60000.0,100000.0,2050000.0,20270000.0,0.0,18880000.0,6360000.0,52460000.0,18420000.0,200320000.0,10280000.0,10000.0,22730000.0,39360000.0,259999.98,110000.0,2700000.0,17700000.0,9720000.0,6750000.0
1993,5710000.0,15000000.0,2360000.0,0.0,380000.0,83240000.0,630000.0,30000.0,96560000.0,6190000.0,2520000.0,590000.0,7660000.0,1770000.0,6360000.0,50140000.0,3780000.0,20000.0,10000.0,1740000.0,13360000.0,100000.0,11810000.0,254410000.0,50000.0,10000.0,460000.0,4690000.0,8490000.0,24290000.0,4630000.0,6820000.0,338740000.0,2680000.0,5950000.0,12280000.0,990000.0,10000.0,42660000.0,160000.0,50000.0,3300000.0,8380000.0,160000.0,5760000.0,41880000.0,370000.0,20000.0,7000000.0,4450000.0,4440000.0,9850000.0,12760000.0,1840000.0,21480000.0,1590000.0,31380000.0,3090000.0,670000.0,47340000.0,0.0,180000.0,34740000.0,1160000.0,3500000.0,4480000.0,460000.0,730000.0,10000.0,4580000.0,10000.0,3890000.0,1010000.0,3340000.0,1990000.0,2510000.0,3730000.0,81320000.0,443690020.0,13750000.0,22630000.0,3880000.0,320000.0,430000.0,24570000.0,750000.0,570000.0,19590000.0,22060000.0,15550000.0,3040000.0,12560000.0,0.0,10000.0,10110000.0,50000.0,4630000.0,190000.0,129999.99,1130000.0,20000.0,0.0,5050000.0,920000.0,4350000.0,450000.0,2940000.0,5200000.0,1940000.0,16000000.0,0.0,55200000.0,0.0,1240000.0,8750000.0,100000.0,38450000.0,560000.0,8270000.5,7720000.0,3840000.0,40000.0,1120000.0,4790000.0,4110000.2,7140000.0,24610000.0,4880000.0,0.0,14150000.0,2800000.0,14460000.0,0.0,26870000.0,440000.0,3129110000.0,64040000.0,2250000.0,12240000.0,36090000.0,0.0,670000.0,20090000.0,4280000.0,4850000.0,13500000.0,110000.0,12460000.0,128119990.0,700000.0,2250000.0,30230000.0,4950000.0,0.0,50000.0,1400000.0,1930000.0,13890000.0,6050000.0,16740000.0,0.0,570000.0,2850000.0,1330000.0,4440000.0,620000.0,0.0,2260000.0,12950000.0,810000.0,53460000.0,2400000.0,2750000.0,380000.0,60000.0,100000.0,2180000.0,20050000.0,0.0,19180000.0,6540000.0,49750000.0,19060000.0,200710000.0,10570000.0,10000.0,22320000.0,40170000.0,280000.0,110000.0,2760000.0,17120000.0,9570000.0,5180000.0
1994,5920000.0,15030000.0,3020000.0,0.0,410000.0,83870000.0,620000.0,30000.0,98270000.0,6090000.0,2370000.0,530000.0,7630000.0,1930000.0,6530000.0,50640000.0,3040000.0,20000.0,10000.0,1650000.0,12660000.0,100000.0,12090000.0,259280000.0,50000.0,10000.0,450000.0,4930000.0,8550000.0,24380000.0,4640000.0,7060000.0,346350000.0,2800000.0,5960000.0,12230000.0,990000.0,10000.0,43350000.0,160000.0,50000.0,2990000.0,8950000.0,160000.0,5000000.0,41310000.0,380000.0,20000.0,6840000.0,4380000.0,4260000.0,10220000.0,13000000.0,1870000.0,21570000.0,1270000.0,31680000.0,3050000.0,700000.0,47350000.0,0.0,180000.0,34870000.0,1130000.0,3530000.0,4700000.0,490000.0,740000.0,10000.0,4610000.0,10000.0,3760000.0,990000.0,3640000.0,1900000.0,2490000.0,3290000.0,80900000.0,446370000.0,13780000.0,22860000.0,3980000.0,320000.0,460000.0,24390000.0,720000.0,480000.0,19890000.0,21750000.0,15580000.0,2780000.0,11320000.0,0.0,10000.0,10100000.0,60000.0,4910000.0,190000.0,120000.0,1100000.0,20000.0,0.0,5260000.0,880000.0,3700000.0,450000.0,1870000.0,5410000.0,2260000.0,15630000.0,0.0,55050000.0,0.0,1220000.0,8920000.0,100000.0,39610000.0,550000.0,8140000.5,7740000.0,3740000.0,40000.0,1020000.0,5030000.0,4080000.0,7410000.0,25580000.0,4920000.0,0.0,13920000.0,2830000.0,14660000.0,0.0,27820000.0,470000.0,3153140000.0,64980004.0,2280000.0,12860000.0,39280000.0,0.0,710000.0,19840000.0,4260000.0,5010000.0,14230000.0,120000.0,12660000.0,119680000.0,660000.0,2330000.0,32060002.0,5040000.0,0.0,50000.0,1340000.0,2020000.0,15080000.0,5850000.0,17750000.0,0.0,580000.0,2460000.0,1290000.0,4460000.0,640000.0,0.0,2420000.0,13570000.0,800000.0,53520000.0,2390000.0,2910000.0,430000.0,60000.0,100000.0,2060000.0,19640000.0,0.0,19260000.0,6340000.0,48100000.0,19200000.0,205350000.0,10750000.0,10000.0,23080000.0,40660000.0,280000.0,110000.0,2730000.0,16700001.0,9390000.0,5340000.0
1995,6250000.0,14940000.0,3090000.0,0.0,430000.0,83210000.0,610000.0,30000.0,95730000.0,5750000.0,2400000.0,540000.0,7750000.0,1740000.0,6750000.0,51220000.0,2800000.0,20000.0,10000.0,1360000.0,11880000.0,80000.0,12340000.0,263920020.0,50000.0,10000.0,490000.0,5420000.0,8620000.0,25650000.0,4570000.0,7180000.0,366250000.0,2850000.0,5930000.0,12140000.0,990000.0,10000.0,43360000.0,160000.0,50000.0,2630000.0,8580000.0,170000.0,4720000.0,41150000.0,410000.0,20000.0,6850000.0,4450000.0,4280000.0,10360000.0,13140000.0,1900000.0,21820000.0,1170000.0,31690000.0,2910000.0,730000.0,47310000.0,40000.0,180000.0,34350000.0,1150000.0,3570000.0,4910000.0,510000.0,760000.0,10000.0,4650000.0,10000.0,3770000.0,1190000.0,3380000.0,1780000.0,2500000.0,2960000.0,84890000.0,448120000.0,13830000.0,23220000.0,3770000.0,310000.0,460000.0,23700000.0,740000.0,490000.0,19240000.0,18590000.0,15470000.0,2300000.0,13150000.0,0.0,10000.0,10150000.0,80000.0,4900000.0,180000.0,129999.99,1130000.0,20000.0,0.0,5210000.0,840000.0,3270000.0,460000.0,1600000.0,5370000.0,2160000.0,15700000.0,0.0,54370000.0,0.0,1220000.0,9150000.0,90000.0,41120000.0,570000.0,8800000.0,7760000.0,3750000.0,40000.0,1039999.94,4890000.0,4050000.2,7690000.0,26370000.0,4220000.0,0.0,13870000.0,2860000.0,15410000.0,0.0,28480000.0,480000.0,3169630000.0,66300004.0,2280000.0,13410000.0,40620000.0,0.0,740000.0,19090000.0,4100000.0,4970000.0,15240000.0,120000.0,11670000.0,106360000.0,540000.0,2360000.0,32849998.0,5080000.0,0.0,50000.0,1250000.0,1800000.0,15490000.0,6160000.0,18190000.0,0.0,590000.0,2290000.0,1290000.0,4330000.0,650000.0,0.0,2600000.0,14220000.0,720000.0,52250000.0,2290000.0,3030000.0,450000.0,50000.0,90000.0,2040000.0,19250000.0,0.0,21340000.0,6480000.0,44290000.0,19080000.0,206100000.0,10800000.0,10000.0,23280000.0,41730000.0,280000.0,110000.0,2780000.0,16719999.0,9230000.0,5480000.0
1996,7040000.0,13680000.0,2910000.0,0.0,470000.0,80600000.0,610000.0,30000.0,91350000.0,5740000.0,2470000.0,540000.0,7710000.0,2190000.0,7100000.0,50720000.0,2840000.0,20000.0,10000.0,1140000.0,11190000.0,80000.0,12320000.0,251710000.0,50000.0,10000.0,470000.0,5900000.0,9680000.0,26610000.0,4540000.0,7270000.0,386770000.0,2660000.0,6110000.0,9580000.0,410000.0,20000.0,43910000.0,160000.0,50000.0,2560000.0,9060000.0,170000.0,4600000.0,40770000.0,430000.0,20000.0,6820000.0,4650000.0,4310000.0,10640000.0,13400000.0,2170000.0,22320000.0,1039999.94,33189998.0,2890000.0,720000.0,47140000.0,40000.0,129999.99,34360000.0,1170000.0,3920000.0,4670000.0,540000.0,730000.0,10000.0,4700000.0,10000.0,3750000.0,1180000.0,3370000.0,1680000.0,2520000.0,3070000.0,85980000.0,451530000.0,13950000.0,23860000.0,3050000.0,320000.0,460000.0,23850000.0,700000.0,460000.0,18350000.0,15920000.0,14460000.0,2140000.0,13150000.0,0.0,10000.0,10410000.0,100000.0,4900000.0,200000.0,120000.0,1180000.0,20000.0,0.0,4520000.0,820000.0,3100000.0,450000.0,1540000.0,5610000.0,2089999.9,15720000.0,0.0,52830000.0,0.0,1220000.0,9670000.0,90000.0,40550000.0,570000.0,9380000.0,7690000.0,4050000.2,40000.0,1090000.0,4880000.0,3900000.0,8040000.0,27370000.0,4060000.0,0.0,13580000.0,2910000.0,15630000.0,0.0,27880000.0,500000.0,3167270100.0,69480000.0,2250000.0,13630000.0,42580000.0,0.0,710000.0,18350000.0,3750000.0,5080000.0,14790000.0,120000.0,11610000.0,96840000.0,600000.0,2390000.0,34530000.0,5480000.0,0.0,50000.0,1080000.0,2050000.0,15840000.0,6150000.0,19120000.0,0.0,590000.0,2320000.0,1320000.0,4330000.0,660000.0,0.0,2770000.0,16110001.0,790000.0,51470000.0,2190000.0,3130000.0,470000.0,50000.0,100000.0,2220000.0,18870000.0,0.0,20200000.0,6710000.0,40140000.0,19350000.0,205480000.0,10430000.0,10000.0,23010000.0,43050000.0,280000.0,110000.0,2880000.0,17310000.0,8550000.0,6690000.0
1997,7710000.0,13560000.0,2710000.0,0.0,500000.0,79840000.0,610000.0,30000.0,91090000.0,5650000.0,2610000.0,560000.0,7550000.0,2290000.0,7390000.0,51130000.0,2600000.0,20000.0,10000.0,1390000.0,10820000.0,80000.0,12650000.0,256380000.0,50000.0,20000.0,460000.0,5640000.0,9780000.0,26510000.0,4380000.0,7500000.0,349740000.0,2710000.0,6310000.0,9390000.0,440000.0,20000.0,43250000.0,170000.0,50000.0,2490000.0,8920000.0,170000.0,4340000.0,40600000.0,430000.0,20000.0,6770000.0,4730000.0,4300000.0,11130000.0,14100000.0,2490000.0,23590000.0,940000.0,34400000.0,2900000.0,720000.0,46460000.0,40000.0,140000.0,33790000.0,1190000.0,4000000.0,4830000.0,500000.0,710000.0,10000.0,4710000.0,10000.0,3810000.0,1220000.0,3270000.0,1660000.0,2660000.0,3020000.0,83970000.0,452400000.0,14250000.0,23890000.0,3400000.0,320000.0,450000.0,23630000.0,670000.0,420000.0,18110000.0,13400000.0,14420000.0,2050000.0,13280000.0,0.0,10000.0,10320000.0,110000.0,5090000.0,200000.0,140000.0,1100000.0,20000.0,0.0,4490000.0,870000.0,3090000.0,440000.0,1450000.0,5900000.0,1790000.0,15670000.0,0.0,53410000.0,0.0,1150000.0,9780000.0,90000.0,39330000.0,570000.0,9920000.0,6980000.0,4320000.0,40000.0,1050000.0,4940000.0,3810000.0,8370000.0,28870000.0,4430000.0,0.0,13150000.0,2900000.0,15770000.0,0.0,28010000.0,519999.97,3122490000.0,71150000.0,2130000.0,13730000.0,42160000.0,0.0,810000.0,18670000.0,3790000.0,5070000.0,14850000.0,129999.99,11350000.0,84980000.0,650000.0,2400000.0,35800000.0,5410000.0,0.0,50000.0,1090000.0,1880000.0,16139999.0,6070000.0,19820000.0,0.0,530000.0,2230000.0,1260000.0,4310000.0,650000.0,0.0,2910000.0,16600000.0,950000.0,52820000.0,2140000.0,2650000.0,460000.0,50000.0,100000.0,2130000.0,18610000.0,0.0,19940000.0,7080000.0,35420000.0,19080000.0,204650000.0,10180000.0,10000.0,23320000.0,43660000.0,280000.0,110000.0,3000000.0,17610000.0,8730000.0,6560000.0
1998,8220000.5,14980000.0,2570000.0,0.0,530000.0,77140000.0,560000.0,30000.0,93800000.0,5510000.0,2720000.0,500000.0,7460000.0,2440000.0,7440000.0,50520000.0,2620000.0,20000.0,10000.0,1450000.0,10670000.0,90000.0,13130000.0,262049980.0,50000.0,20000.0,450000.0,5190000.0,10730000.0,27450000.0,4340000.0,7600000.0,366920000.0,2710000.0,6830000.0,9770000.0,460000.0,20000.0,43550000.0,170000.0,50000.0,2510000.0,8830000.0,170000.0,4030000.2,39390000.0,440000.0,20000.0,6820000.0,4820000.0,4540000.0,10240000.0,13210000.0,2620000.0,23930000.0,900000.0,37620000.0,2830000.0,710000.0,46100000.0,40000.0,140000.0,33860000.0,1210000.0,4550000.0,5300000.0,519999.97,710000.0,10000.0,4690000.0,10000.0,3810000.0,1130000.0,3110000.0,1620000.0,2670000.0,2910000.0,85890000.0,456390000.0,14630000.0,24540000.0,3570000.0,320000.0,460000.0,23470000.0,660000.0,370000.0,17260000.0,11200000.0,14700000.0,2120000.0,13200000.0,0.0,10000.0,9950000.0,110000.0,4770000.0,200000.0,150000.0,1180000.0,20000.0,0.0,3690000.0,730000.0,2970000.0,440000.0,1360000.0,5800000.0,1530000.0,16090000.0,0.0,54070000.0,0.0,1080000.0,10320000.0,80000.0,39930000.0,560000.0,10210000.0,7940000.0,4560000.0,40000.0,1160000.0,4850000.0,4120000.0,8680000.0,30240000.0,4290000.0,0.0,12790000.0,2910000.0,15920000.0,0.0,27350000.0,540000.0,3144210000.0,72990000.0,2160000.0,14120000.0,36750000.0,0.0,740000.0,17880000.0,3780000.0,5040000.0,14940000.0,129999.99,10850000.0,78630000.0,730000.0,2330000.0,37810000.0,5270000.0,0.0,50000.0,1030000.0,1710000.0,16160000.0,5970000.0,20940000.0,0.0,519999.97,2020000.0,1230000.0,4190000.0,640000.0,0.0,3210000.0,17150000.0,1120000.0,49690000.0,2069999.9,2840000.0,480000.0,50000.0,90000.0,2200000.0,17670000.0,0.0,22110000.0,7570000.0,30080000.0,18620000.0,202800000.0,10110000.0,10000.0,23790000.0,45010000.0,280000.0,110000.0,3140000.0,18060000.0,9640000.0,6980000.0
1999,8990000.0,13950000.0,2640000.0,0.0,570000.0,79230000.0,560000.0,30000.0,108430000.0,5490000.0,2830000.0,500000.0,7800000.0,2340000.0,7590000.0,52240000.0,2760000.0,20000.0,10000.0,1510000.0,10420000.0,100000.0,13730000.0,263870000.0,40000.0,20000.0,460000.0,5160000.0,9620000.0,26530000.0,4240000.0,7520000.0,373880000.0,2680000.0,7070000.0,8900000.0,470000.0,10000.0,41790000.0,170000.0,50000.0,2380000.0,8410000.0,170000.0,3930000.0,38850000.0,460000.0,20000.0,6530000.0,4380000.0,4750000.0,10440000.0,14640000.0,2690000.0,24270000.0,860000.0,37160000.0,2740000.0,690000.0,45990000.0,40000.0,140000.0,33570000.0,1280000.0,3970000.0,5200000.0,510000.0,770000.0,10000.0,4650000.0,10000.0,3990000.0,1230000.0,2760000.0,1660000.0,2700000.0,2990000.0,85860000.0,457740000.0,14750000.0,24060000.0,3470000.0,320000.0,460000.0,23540000.0,670000.0,390000.0,17110000.0,9880000.0,15730000.0,2170000.0,14030000.0,0.0,10000.0,9490000.0,120000.0,4720000.0,200000.0,150000.0,1070000.0,20000.0,0.0,3990000.0,1050000.0,2740000.0,460000.0,1250000.0,6020000.0,1460000.0,15890000.0,0.0,52650000.0,0.0,980000.0,11010000.0,90000.0,43360000.0,519999.97,10640000.0,7480000.0,4890000.0,40000.0,1130000.0,4740000.0,4150000.0,9030000.0,30890000.0,5100000.0,0.0,12800000.0,2870000.0,16110001.0,0.0,27600000.0,580000.0,3175459800.0,75040000.0,2140000.0,15110000.0,43800000.0,0.0,750000.0,17000000.0,3880000.0,5050000.0,15030000.0,129999.99,10580000.0,70670000.0,830000.0,2190000.0,39030000.0,5670000.0,0.0,50000.0,880000.0,1840000.0,16330000.0,5550000.0,21620000.0,0.0,519999.97,1790000.0,1130000.0,4110000.2,610000.0,0.0,3060000.0,18310000.0,980000.0,50480000.0,2100000.0,3250000.0,400000.0,50000.0,90000.0,2250000.0,17300000.0,10000.0,22670000.0,7290000.0,27810000.0,18760000.0,201890000.0,10250000.0,10000.0,24000000.0,46610000.0,280000.0,110000.0,3210000.0,17910000.0,9010000.0,7220000.0
