Date,AFG,AGO,ALB,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GTM,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAR,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NER,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,OWID_WRL,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
1990,0.0,930000.0,120000.0,0.0,129999.99,90000.0,0.0,580000.0,690000.0,20000.0,0.0,290000.0,190000.0,330000.0,2130000.0,270000.0,0.0,0.0,50000.0,410000.0,0.0,180000.0,2720000.0,0.0,0.0,0.0,140000.0,0.0,1490000.0,60000.0,640000.0,88540000.0,590000.0,1130000.0,2360000.0,110000.0,0.0,1120000.0,0.0,0.0,50000.0,40000.0,0.0,1320000.0,4179999.8,0.0,0.0,140000.0,140000.0,20000.0,210000.0,320000.0,,780000.0,110000.0,4880000.0,320000.0,0.0,3080000.0,0.0,190000.0,1360000.0,129999.99,840000.0,0.0,0.0,0.0,30000.0,240000.0,0.0,840000.0,60000.0,380000.0,310000.0,390000.0,740000.0,10880000.0,28450000.0,470000.0,170000.0,20000.0,0.0,0.0,400000.0,20000.0,0.0,430000.0,0.0,1490000.0,0.0,,0.0,0.0,2940000.0,0.0,,30000.0,0.0,40000.0,0.0,1039999.94,0.0,210000.0,10000.0,240000.0,310000.0,0.0,610000.0,0.0,2120000.0,0.0,0.0,,0.0,2600000.0,,70000.0,1170000.0,0.0,10000.0,0.0,129999.99,,390000.0,15990000.0,259999.98,0.0,170000.0,170000.0,1690000.0,0.0,80000.0,0.0,248250000.0,5180000.0,100000.0,750000.0,2380000.0,0.0,0.0,2210000.0,20000.0,370000.0,380000.0,0.0,380000.0,6570000.0,530000.0,10000.0,1000000.0,160000.0,0.0,0.0,0.0,280000.0,0.0,510000.0,,0.0,,170000.0,100000.0,230000.0,180000.0,0.0,10000.0,400000.0,190000.0,1630000.0,0.0,20000.0,0.0,0.0,0.0,160000.0,3240000.0,0.0,1570000.0,1460000.0,1820000.0,100000.0,1820000.0,0.0,0.0,100000.0,2850000.0,0.0,0.0,0.0,2390000.0,770000.0,1390000.0
1991,0.0,950000.0,120000.0,0.0,150000.0,50000.0,0.0,600000.0,760000.0,20000.0,0.0,320000.0,190000.0,340000.0,2130000.0,230000.0,0.0,0.0,50000.0,400000.0,0.0,180000.0,2700000.0,0.0,0.0,0.0,150000.0,0.0,1470000.0,60000.0,670000.0,88760000.0,610000.0,1160000.0,2430000.0,110000.0,0.0,1130000.0,0.0,0.0,60000.0,40000.0,0.0,1220000.0,3190000.0,0.0,0.0,150000.0,140000.0,20000.0,220000.0,320000.0,,810000.0,110000.0,5090000.0,320000.0,0.0,3600000.0,0.0,190000.0,1440000.0,140000.0,870000.0,0.0,0.0,0.0,30000.0,250000.0,0.0,840000.0,20000.0,380000.0,400000.0,400000.0,730000.0,11050000.0,28590000.0,430000.0,180000.0,10000.0,0.0,0.0,440000.0,20000.0,0.0,430000.0,0.0,1540000.0,0.0,,0.0,0.0,2310000.0,0.0,,30000.0,0.0,40000.0,0.0,1050000.0,0.0,210000.0,10000.0,280000.0,310000.0,0.0,630000.0,0.0,2130000.0,0.0,0.0,,0.0,2560000.0,,80000.0,1170000.0,0.0,10000.0,0.0,120000.0,40000.0,400000.0,16379999.0,270000.0,0.0,180000.0,150000.0,1730000.0,0.0,70000.0,0.0,248570000.0,5330000.0,100000.0,730000.0,2320000.0,0.0,0.0,2820000.0,20000.0,370000.0,390000.0,0.0,280000.0,6110000.0,519999.97,10000.0,1020000.0,160000.0,0.0,0.0,0.0,280000.0,0.0,410000.0,,0.0,,120000.0,110000.0,230000.0,170000.0,0.0,10000.0,390000.0,190000.0,1690000.0,0.0,20000.0,0.0,0.0,0.0,160000.0,3250000.0,0.0,1620000.0,1500000.0,1060000.0,100000.0,1930000.0,0.0,0.0,100000.0,2950000.0,0.0,0.0,0.0,2440000.0,790000.0,1420000.0
1992,0.0,970000.0,110000.0,0.0,170000.0,20000.0,0.0,610000.0,700000.0,10000.0,0.0,280000.0,200000.0,350000.0,2160000.0,290000.0,0.0,0.0,50000.0,360000.0,0.0,180000.0,2700000.0,0.0,0.0,0.0,160000.0,0.0,1420000.0,60000.0,700000.0,86740000.0,630000.0,1190000.0,2500000.0,110000.0,0.0,960000.0,0.0,0.0,60000.0,40000.0,0.0,1070000.0,2370000.0,0.0,0.0,150000.0,140000.0,20000.0,160000.0,330000.0,170000.0,840000.0,80000.0,5300000.0,320000.0,0.0,3420000.0,0.0,200000.0,1290000.0,220000.0,890000.0,0.0,0.0,0.0,30000.0,250000.0,0.0,860000.0,20000.0,380000.0,340000.0,410000.0,460000.0,11220000.0,28720000.0,370000.0,220000.0,10000.0,0.0,0.0,470000.0,20000.0,0.0,450000.0,0.0,1590000.0,0.0,,0.0,0.0,1770000.0,0.0,,30000.0,0.0,40000.0,0.0,1060000.0,0.0,120000.0,10000.0,259999.98,320000.0,80000.0,640000.0,0.0,2220000.0,0.0,60000.0,,0.0,2620000.0,,20000.0,1180000.0,0.0,10000.0,0.0,120000.0,40000.0,410000.0,16770000.0,270000.0,0.0,170000.0,150000.0,1770000.0,0.0,60000.0,0.0,245710000.0,5460000.0,100000.0,700000.0,2260000.0,0.0,0.0,2880000.0,20000.0,370000.0,340000.0,0.0,270000.0,5650000.0,510000.0,10000.0,1030000.0,160000.0,0.0,0.0,0.0,310000.0,0.0,400000.0,,0.0,,100000.0,100000.0,230000.0,170000.0,0.0,10000.0,400000.0,200000.0,1630000.0,0.0,10000.0,0.0,0.0,10000.0,170000.0,3340000.0,0.0,1670000.0,1550000.0,1270000.0,100000.0,1960000.0,0.0,0.0,100000.0,3020000.0,0.0,0.0,0.0,2450000.0,810000.0,1450000.0
1993,0.0,1000000.0,110000.0,0.0,190000.0,0.0,0.0,720000.0,670000.0,10000.0,0.0,270000.0,200000.0,360000.0,2180000.0,300000.0,0.0,0.0,50000.0,320000.0,0.0,190000.0,2370000.0,0.0,0.0,0.0,160000.0,0.0,1480000.0,220000.0,730000.0,86790000.0,650000.0,1220000.0,2580000.0,120000.0,0.0,1000000.0,0.0,0.0,60000.0,40000.0,0.0,980000.0,2370000.0,0.0,0.0,160000.0,129999.99,20000.0,150000.0,330000.0,170000.0,810000.0,70000.0,5490000.0,310000.0,0.0,3280000.0,0.0,200000.0,1430000.0,330000.0,920000.0,0.0,0.0,0.0,30000.0,250000.0,0.0,840000.0,20000.0,380000.0,360000.0,420000.0,470000.0,11390000.0,28940000.0,360000.0,230000.0,20000.0,0.0,0.0,450000.0,20000.0,0.0,460000.0,0.0,1630000.0,0.0,,0.0,0.0,1300000.0,0.0,,40000.0,0.0,40000.0,0.0,1050000.0,0.0,150000.0,10000.0,280000.0,330000.0,40000.0,660000.0,0.0,2130000.0,0.0,60000.0,,0.0,2590000.0,,30000.0,1190000.0,0.0,10000.0,0.0,120000.0,40000.0,430000.0,17180000.0,270000.0,0.0,180000.0,170000.0,1810000.0,0.0,60000.0,0.0,252940000.0,5630000.0,100000.0,680000.0,2190000.0,0.0,0.0,3970000.0,20000.0,370000.0,350000.0,0.0,320000.0,5480000.0,500000.0,10000.0,1039999.94,170000.0,0.0,0.0,0.0,310000.0,0.0,400000.0,,0.0,,70000.0,90000.0,230000.0,160000.0,0.0,10000.0,440000.0,200000.0,1520000.0,0.0,10000.0,0.0,0.0,10000.0,170000.0,3220000.0,0.0,1790000.0,1580000.0,1770000.0,100000.0,6460000.0,0.0,0.0,100000.0,3170000.0,0.0,0.0,0.0,2670000.0,830000.0,1470000.0
1994,0.0,1020000.0,100000.0,0.0,160000.0,10000.0,0.0,640000.0,620000.0,20000.0,0.0,230000.0,200000.0,360000.0,2220000.0,240000.0,0.0,0.0,50000.0,300000.0,0.0,180000.0,2310000.0,0.0,0.0,0.0,170000.0,0.0,1510000.0,200000.0,770000.0,84320000.0,660000.0,1270000.0,2670000.0,110000.0,0.0,1010000.0,0.0,0.0,60000.0,30000.0,0.0,910000.0,2190000.0,0.0,0.0,150000.0,129999.99,20000.0,150000.0,340000.0,170000.0,800000.0,90000.0,5670000.0,320000.0,0.0,2840000.0,0.0,200000.0,1250000.0,90000.0,950000.0,0.0,0.0,0.0,30000.0,250000.0,0.0,820000.0,20000.0,380000.0,320000.0,430000.0,430000.0,11540000.0,29150000.0,320000.0,280000.0,20000.0,0.0,10000.0,470000.0,20000.0,10000.0,450000.0,10000.0,1680000.0,0.0,,0.0,0.0,870000.0,0.0,,40000.0,0.0,40000.0,0.0,1039999.94,0.0,150000.0,10000.0,270000.0,330000.0,40000.0,570000.0,0.0,2140000.0,0.0,60000.0,,0.0,2650000.0,,30000.0,1210000.0,0.0,0.0,0.0,110000.0,40000.0,440000.0,17610000.0,280000.0,0.0,180000.0,190000.0,1840000.0,0.0,60000.0,0.0,247990000.0,5750000.0,110000.0,670000.0,2130000.0,0.0,0.0,3470000.0,20000.0,370000.0,330000.0,0.0,310000.0,4480000.0,450000.0,10000.0,1180000.0,170000.0,0.0,0.0,0.0,310000.0,0.0,380000.0,,0.0,,60000.0,90000.0,230000.0,170000.0,0.0,10000.0,430000.0,210000.0,1440000.0,0.0,20000.0,0.0,0.0,0.0,180000.0,2980000.0,0.0,2230000.0,1620000.0,1430000.0,100000.0,6330000.0,0.0,0.0,100000.0,2990000.0,0.0,0.0,0.0,2660000.0,850000.0,1490000.0
1995,0.0,1030000.0,100000.0,0.0,160000.0,0.0,0.0,640000.0,650000.0,10000.0,0.0,230000.0,210000.0,370000.0,2230000.0,210000.0,0.0,0.0,50000.0,290000.0,0.0,180000.0,2089999.9,0.0,0.0,0.0,170000.0,0.0,1450000.0,210000.0,810000.0,85490000.0,680000.0,1310000.0,2750000.0,110000.0,0.0,1030000.0,0.0,0.0,60000.0,30000.0,0.0,830000.0,1930000.0,0.0,0.0,150000.0,129999.99,20000.0,160000.0,340000.0,170000.0,740000.0,129999.99,5860000.0,310000.0,0.0,2910000.0,0.0,210000.0,1010000.0,210000.0,980000.0,0.0,0.0,0.0,30000.0,250000.0,0.0,840000.0,20000.0,390000.0,340000.0,430000.0,400000.0,11680000.0,29350000.0,290000.0,270000.0,10000.0,0.0,10000.0,490000.0,20000.0,0.0,460000.0,0.0,1720000.0,0.0,500000.0,0.0,0.0,650000.0,0.0,,40000.0,0.0,40000.0,0.0,1020000.0,0.0,150000.0,10000.0,280000.0,340000.0,40000.0,690000.0,0.0,2150000.0,0.0,60000.0,,0.0,2670000.0,,20000.0,1240000.0,0.0,0.0,0.0,110000.0,40000.0,460000.0,18050000.0,280000.0,0.0,180000.0,180000.0,1880000.0,0.0,60000.0,0.0,250510000.0,5900000.0,100000.0,650000.0,2069999.9,0.0,0.0,3440000.0,20000.0,370000.0,330000.0,0.0,350000.0,3940000.0,790000.0,10000.0,1190000.0,170000.0,0.0,0.0,0.0,310000.0,0.0,310000.0,,0.0,,50000.0,80000.0,230000.0,160000.0,0.0,10000.0,440000.0,220000.0,1330000.0,0.0,20000.0,0.0,0.0,0.0,190000.0,3000000.0,0.0,2280000.0,1650000.0,1480000.0,100000.0,6760000.0,80000.0,0.0,110000.0,2980000.0,0.0,0.0,0.0,2630000.0,870000.0,1500000.0
1996,0.0,1050000.0,100000.0,0.0,160000.0,0.0,0.0,610000.0,690000.0,20000.0,0.0,259999.98,230000.0,330000.0,2150000.0,259999.98,0.0,0.0,50000.0,290000.0,0.0,170000.0,2050000.0,0.0,0.0,0.0,170000.0,0.0,1450000.0,240000.0,860000.0,78890000.0,700000.0,1340000.0,2840000.0,120000.0,0.0,1039999.94,0.0,0.0,60000.0,40000.0,0.0,870000.0,2010000.0,0.0,0.0,160000.0,129999.99,20000.0,160000.0,350000.0,180000.0,740000.0,160000.0,6050000.0,350000.0,0.0,3180000.0,0.0,210000.0,1039999.94,300000.0,1000000.0,0.0,0.0,0.0,30000.0,250000.0,0.0,850000.0,20000.0,390000.0,380000.0,440000.0,370000.0,11760000.0,29530000.0,280000.0,290000.0,20000.0,0.0,10000.0,490000.0,20000.0,10000.0,460000.0,0.0,1770000.0,0.0,510000.0,0.0,0.0,519999.97,0.0,,40000.0,0.0,50000.0,0.0,1030000.0,0.0,170000.0,10000.0,280000.0,340000.0,30000.0,700000.0,0.0,2150000.0,0.0,60000.0,,0.0,2630000.0,,20000.0,1270000.0,0.0,0.0,0.0,110000.0,50000.0,470000.0,18500000.0,280000.0,0.0,200000.0,180000.0,1920000.0,0.0,60000.0,0.0,245910000.0,6020000.0,110000.0,650000.0,2000000.0,0.0,0.0,3550000.0,20000.0,370000.0,340000.0,0.0,740000.0,3670000.0,840000.0,10000.0,1260000.0,180000.0,0.0,0.0,0.0,320000.0,0.0,350000.0,,0.0,,60000.0,80000.0,240000.0,160000.0,0.0,10000.0,460000.0,220000.0,1230000.0,0.0,20000.0,0.0,0.0,0.0,200000.0,2970000.0,0.0,2320000.0,1690000.0,1100000.0,100000.0,6830000.0,80000.0,0.0,110000.0,2990000.0,0.0,0.0,0.0,2590000.0,890000.0,1520000.0
1997,0.0,1060000.0,90000.0,0.0,150000.0,0.0,0.0,620000.0,630000.0,10000.0,0.0,230000.0,240000.0,340000.0,2220000.0,240000.0,0.0,0.0,50000.0,300000.0,0.0,170000.0,2069999.9,0.0,0.0,0.0,170000.0,0.0,1390000.0,210000.0,900000.0,82800000.0,730000.0,1380000.0,2930000.0,120000.0,0.0,540000.0,0.0,0.0,20000.0,40000.0,0.0,810000.0,2250000.0,0.0,0.0,150000.0,120000.0,20000.0,150000.0,350000.0,180000.0,740000.0,160000.0,6240000.0,350000.0,0.0,2810000.0,0.0,220000.0,940000.0,240000.0,1030000.0,0.0,0.0,0.0,30000.0,250000.0,0.0,860000.0,20000.0,440000.0,350000.0,450000.0,330000.0,12100000.0,29760000.0,250000.0,290000.0,20000.0,0.0,10000.0,519999.97,20000.0,10000.0,460000.0,0.0,1810000.0,0.0,530000.0,0.0,0.0,460000.0,0.0,,40000.0,0.0,50000.0,0.0,1039999.94,0.0,170000.0,10000.0,270000.0,350000.0,20000.0,720000.0,0.0,2160000.0,0.0,60000.0,,0.0,2670000.0,,30000.0,1290000.0,0.0,0.0,0.0,100000.0,50000.0,600000.0,18960000.0,280000.0,0.0,190000.0,190000.0,1970000.0,0.0,60000.0,0.0,249840000.0,6140000.0,110000.0,640000.0,1930000.0,0.0,0.0,3160000.0,20000.0,370000.0,360000.0,0.0,970000.0,3450000.0,1050000.0,10000.0,1280000.0,180000.0,0.0,0.0,0.0,320000.0,0.0,350000.0,,0.0,,50000.0,80000.0,240000.0,160000.0,0.0,10000.0,440000.0,230000.0,1260000.0,0.0,20000.0,0.0,0.0,0.0,210000.0,3070000.0,0.0,2360000.0,1730000.0,980000.0,100000.0,5850000.0,80000.0,0.0,110000.0,3110000.0,0.0,0.0,0.0,2640000.0,910000.0,1540000.0
1998,0.0,1070000.0,90000.0,0.0,160000.0,0.0,0.0,610000.0,600000.0,20000.0,0.0,200000.0,259999.98,340000.0,2260000.0,290000.0,0.0,0.0,50000.0,300000.0,0.0,160000.0,2120000.0,0.0,0.0,0.0,170000.0,0.0,1450000.0,220000.0,900000.0,77390000.0,740000.0,1420000.0,3030000.0,120000.0,0.0,530000.0,0.0,0.0,20000.0,30000.0,0.0,670000.0,2079999.9,0.0,0.0,140000.0,150000.0,20000.0,140000.0,360000.0,110000.0,740000.0,120000.0,6440000.0,350000.0,0.0,2810000.0,0.0,220000.0,890000.0,220000.0,1060000.0,0.0,0.0,0.0,30000.0,250000.0,0.0,860000.0,20000.0,450000.0,350000.0,460000.0,290000.0,12290000.0,29930000.0,259999.98,280000.0,20000.0,0.0,10000.0,519999.97,20000.0,10000.0,460000.0,0.0,1860000.0,0.0,540000.0,0.0,0.0,380000.0,0.0,,40000.0,0.0,50000.0,0.0,1030000.0,0.0,170000.0,10000.0,259999.98,350000.0,10000.0,740000.0,0.0,2170000.0,0.0,50000.0,,0.0,2720000.0,,20000.0,1590000.0,0.0,0.0,0.0,90000.0,50000.0,610000.0,19420000.0,280000.0,0.0,190000.0,200000.0,2010000.0,0.0,60000.0,0.0,245050000.0,6270000.0,110000.0,830000.0,1860000.0,0.0,0.0,2610000.0,20000.0,370000.0,310000.0,0.0,860000.0,3070000.0,920000.0,10000.0,1310000.0,190000.0,0.0,0.0,0.0,320000.0,0.0,380000.0,,0.0,,50000.0,80000.0,230000.0,160000.0,0.0,10000.0,440000.0,230000.0,1280000.0,0.0,20000.0,0.0,0.0,0.0,210000.0,2870000.0,0.0,2500000.0,1750000.0,950000.0,100000.0,5880000.0,90000.0,0.0,110000.0,3200000.0,0.0,0.0,0.0,2600000.0,930000.0,1570000.0
1999,0.0,1090000.0,50000.0,0.0,180000.0,0.0,0.0,610000.0,610000.0,20000.0,0.0,180000.0,340000.0,200000.0,2300000.0,230000.0,0.0,0.0,60000.0,310000.0,0.0,150000.0,2180000.0,0.0,0.0,0.0,180000.0,0.0,1400000.0,220000.0,920000.0,76570000.0,760000.0,1460000.0,3130000.0,110000.0,0.0,590000.0,0.0,0.0,20000.0,30000.0,0.0,610000.0,1960000.0,0.0,0.0,150000.0,150000.0,20000.0,129999.99,360000.0,120000.0,730000.0,120000.0,6640000.0,340000.0,0.0,2680000.0,0.0,230000.0,900000.0,200000.0,1080000.0,0.0,0.0,0.0,30000.0,250000.0,0.0,1020000.0,20000.0,310000.0,350000.0,470000.0,290000.0,12460000.0,30110000.0,200000.0,270000.0,20000.0,0.0,10000.0,550000.0,20000.0,10000.0,480000.0,0.0,1900000.0,0.0,550000.0,0.0,0.0,400000.0,0.0,,40000.0,0.0,50000.0,0.0,1010000.0,0.0,180000.0,10000.0,259999.98,360000.0,10000.0,760000.0,0.0,2170000.0,0.0,50000.0,,0.0,2700000.0,,20000.0,1630000.0,0.0,0.0,0.0,90000.0,50000.0,630000.0,19910000.0,290000.0,0.0,190000.0,190000.0,2050000.0,0.0,60000.0,0.0,246270000.0,6440000.0,110000.0,800000.0,1800000.0,0.0,0.0,2640000.0,20000.0,370000.0,320000.0,0.0,820000.0,3750000.0,950000.0,10000.0,1330000.0,190000.0,0.0,0.0,0.0,320000.0,0.0,370000.0,,0.0,,40000.0,80000.0,210000.0,150000.0,0.0,10000.0,440000.0,259999.98,1330000.0,0.0,30000.0,0.0,0.0,0.0,220000.0,2710000.0,0.0,2650000.0,1770000.0,930000.0,100000.0,5410000.0,100000.0,0.0,110000.0,3280000.0,0.0,0.0,0.0,2540000.0,960000.0,1600000.0
