Date,AFG,AGO,ALB,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GTM,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAR,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NER,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,OWID_WRL,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
1990,0.0,0.0,0.0,10000.0,20000.0,0.0,0.0,70000.0,20000.0,10000.0,0.0,20000.0,0.0,0.0,0.0,20000.0,0.0,0.0,0.0,50000.0,0.0,0.0,250000.0,0.0,0.0,0.0,0.0,0.0,90000.0,20000.0,10000.0,250000.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,40000.0,0.0,20000.0,170000.0,0.0,0.0,30000.0,0.0,10000.0,0.0,20000.0,,30000.0,10000.0,0.0,40000.0,0.0,70000.0,0.0,0.0,90000.0,10000.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,10000.0,0.0,10000.0,30000.0,80000.0,0.0,30000.0,10000.0,0.0,10000.0,100000.0,0.0,0.0,300000.0,40000.0,0.0,0.0,,0.0,0.0,30000.0,20000.0,,0.0,0.0,10000.0,0.0,0.0,0.0,10000.0,0.0,10000.0,10000.0,10000.0,0.0,0.0,70000.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,10000.0,,0.0,0.0,0.0,0.0,40000.0,10000.0,0.0,0.0,20000.0,0.0,5660000.0,10000.0,0.0,0.0,10000.0,0.0,0.0,80000.0,10000.0,10000.0,0.0,0.0,40000.0,700000.0,0.0,50000.0,0.0,0.0,20000.0,0.0,0.0,0.0,0.0,10000.0,,0.0,,10000.0,0.0,30000.0,0.0,0.0,10000.0,0.0,0.0,20000.0,0.0,10000.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,170000.0,0.0,1950000.0,20000.0,0.0,20000.0,0.0,0.0,0.0,0.0,40000.0,0.0,0.0
1991,0.0,0.0,0.0,10000.0,20000.0,10000.0,0.0,70000.0,20000.0,20000.0,0.0,20000.0,0.0,0.0,0.0,20000.0,0.0,0.0,0.0,40000.0,0.0,0.0,280000.0,0.0,0.0,0.0,0.0,0.0,90000.0,20000.0,10000.0,270000.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,30000.0,0.0,20000.0,180000.0,0.0,0.0,30000.0,0.0,10000.0,0.0,20000.0,,40000.0,10000.0,0.0,40000.0,0.0,80000.0,0.0,0.0,90000.0,10000.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,10000.0,0.0,0.0,0.0,0.0,10000.0,30000.0,80000.0,0.0,30000.0,10000.0,0.0,10000.0,90000.0,0.0,0.0,300000.0,40000.0,0.0,0.0,,0.0,0.0,40000.0,0.0,,0.0,0.0,10000.0,0.0,0.0,0.0,10000.0,0.0,10000.0,10000.0,10000.0,0.0,0.0,100000.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,20000.0,0.0,0.0,10000.0,0.0,0.0,40000.0,10000.0,0.0,0.0,20000.0,0.0,5760000.0,10000.0,0.0,0.0,10000.0,0.0,0.0,80000.0,0.0,20000.0,0.0,0.0,30000.0,710000.0,0.0,50000.0,0.0,0.0,30000.0,0.0,0.0,0.0,0.0,10000.0,,0.0,,10000.0,0.0,40000.0,0.0,0.0,10000.0,0.0,0.0,20000.0,0.0,10000.0,0.0,0.0,0.0,0.0,20000.0,0.0,0.0,0.0,150000.0,0.0,1960000.0,20000.0,0.0,20000.0,0.0,0.0,0.0,0.0,40000.0,0.0,0.0
1992,0.0,0.0,0.0,10000.0,20000.0,0.0,0.0,60000.0,20000.0,20000.0,0.0,20000.0,0.0,0.0,0.0,20000.0,0.0,0.0,0.0,40000.0,0.0,0.0,270000.0,0.0,0.0,0.0,0.0,0.0,100000.0,20000.0,10000.0,290000.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,30000.0,0.0,20000.0,180000.0,0.0,0.0,30000.0,0.0,10000.0,0.0,20000.0,0.0,40000.0,10000.0,0.0,30000.0,0.0,70000.0,0.0,0.0,90000.0,10000.0,0.0,0.0,0.0,0.0,0.0,20000.0,0.0,10000.0,0.0,0.0,0.0,0.0,10000.0,30000.0,90000.0,0.0,30000.0,30000.0,0.0,10000.0,100000.0,0.0,0.0,300000.0,40000.0,0.0,0.0,,0.0,0.0,40000.0,10000.0,,0.0,0.0,10000.0,0.0,0.0,0.0,10000.0,0.0,10000.0,10000.0,10000.0,0.0,0.0,100000.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,20000.0,0.0,0.0,10000.0,0.0,0.0,40000.0,10000.0,0.0,0.0,20000.0,0.0,5910000.0,10000.0,0.0,0.0,10000.0,0.0,0.0,80000.0,0.0,20000.0,0.0,0.0,50000.0,700000.0,0.0,60000.0,0.0,0.0,30000.0,0.0,0.0,0.0,0.0,10000.0,,0.0,,10000.0,0.0,50000.0,0.0,0.0,10000.0,0.0,0.0,20000.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,0.0,0.0,0.0,110000.0,0.0,2040000.0,20000.0,0.0,20000.0,0.0,0.0,0.0,0.0,40000.0,0.0,0.0
1993,0.0,0.0,0.0,10000.0,20000.0,0.0,0.0,60000.0,20000.0,20000.0,0.0,20000.0,0.0,0.0,0.0,20000.0,10000.0,0.0,0.0,30000.0,0.0,0.0,259999.98,0.0,0.0,0.0,0.0,0.0,100000.0,20000.0,10000.0,340000.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,30000.0,0.0,20000.0,180000.0,0.0,0.0,30000.0,0.0,10000.0,0.0,20000.0,0.0,40000.0,10000.0,0.0,40000.0,0.0,70000.0,0.0,0.0,90000.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,0.0,10000.0,0.0,0.0,0.0,0.0,10000.0,40000.0,100000.0,0.0,40000.0,40000.0,0.0,10000.0,100000.0,10000.0,0.0,280000.0,30000.0,0.0,0.0,,0.0,0.0,40000.0,10000.0,,0.0,0.0,10000.0,0.0,0.0,0.0,10000.0,0.0,10000.0,10000.0,10000.0,0.0,0.0,110000.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,20000.0,0.0,0.0,10000.0,0.0,0.0,40000.0,10000.0,0.0,0.0,20000.0,0.0,5870000.0,20000.0,0.0,0.0,10000.0,0.0,0.0,70000.0,0.0,20000.0,0.0,0.0,50000.0,630000.0,0.0,70000.0,0.0,0.0,30000.0,0.0,0.0,0.0,0.0,10000.0,,0.0,,10000.0,0.0,60000.0,0.0,0.0,10000.0,0.0,0.0,20000.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,0.0,0.0,0.0,110000.0,0.0,2030000.0,20000.0,0.0,20000.0,0.0,0.0,0.0,0.0,40000.0,0.0,0.0
1994,0.0,0.0,0.0,10000.0,20000.0,0.0,0.0,60000.0,30000.0,10000.0,0.0,20000.0,0.0,0.0,0.0,10000.0,10000.0,0.0,0.0,30000.0,0.0,0.0,290000.0,0.0,0.0,0.0,0.0,0.0,100000.0,20000.0,10000.0,360000.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,30000.0,0.0,20000.0,180000.0,0.0,0.0,30000.0,10000.0,10000.0,0.0,20000.0,0.0,40000.0,10000.0,0.0,40000.0,0.0,70000.0,0.0,0.0,90000.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,0.0,10000.0,0.0,0.0,0.0,0.0,10000.0,30000.0,100000.0,10000.0,40000.0,50000.0,0.0,10000.0,100000.0,0.0,0.0,310000.0,30000.0,0.0,0.0,,0.0,0.0,50000.0,10000.0,,0.0,0.0,10000.0,0.0,0.0,0.0,10000.0,0.0,10000.0,10000.0,0.0,0.0,0.0,120000.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,20000.0,0.0,0.0,10000.0,0.0,0.0,40000.0,10000.0,0.0,0.0,20000.0,0.0,6000000.0,20000.0,0.0,0.0,10000.0,0.0,0.0,70000.0,0.0,10000.0,0.0,0.0,30000.0,570000.0,0.0,70000.0,0.0,0.0,30000.0,0.0,0.0,0.0,0.0,10000.0,,0.0,,10000.0,0.0,70000.0,0.0,0.0,10000.0,0.0,0.0,30000.0,0.0,10000.0,0.0,0.0,0.0,0.0,20000.0,0.0,0.0,0.0,90000.0,0.0,2100000.0,20000.0,0.0,20000.0,0.0,0.0,0.0,0.0,40000.0,0.0,0.0
1995,0.0,0.0,0.0,10000.0,20000.0,0.0,0.0,70000.0,30000.0,10000.0,0.0,30000.0,0.0,0.0,0.0,10000.0,10000.0,0.0,0.0,20000.0,0.0,0.0,280000.0,0.0,0.0,0.0,0.0,0.0,100000.0,20000.0,10000.0,420000.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,20000.0,0.0,20000.0,190000.0,0.0,0.0,40000.0,10000.0,10000.0,0.0,20000.0,0.0,50000.0,10000.0,0.0,40000.0,0.0,70000.0,0.0,0.0,90000.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,0.0,10000.0,0.0,0.0,0.0,0.0,10000.0,40000.0,120000.0,10000.0,40000.0,50000.0,0.0,10000.0,110000.0,10000.0,0.0,290000.0,30000.0,0.0,0.0,0.0,0.0,0.0,60000.0,10000.0,,0.0,0.0,10000.0,0.0,0.0,0.0,10000.0,0.0,10000.0,10000.0,0.0,0.0,0.0,110000.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,20000.0,0.0,0.0,10000.0,0.0,0.0,50000.0,10000.0,0.0,0.0,20000.0,0.0,6040000.0,20000.0,0.0,10000.0,20000.0,0.0,0.0,60000.0,0.0,20000.0,0.0,0.0,40000.0,550000.0,0.0,70000.0,0.0,0.0,30000.0,0.0,0.0,0.0,0.0,10000.0,,0.0,,10000.0,0.0,70000.0,0.0,0.0,10000.0,0.0,0.0,40000.0,0.0,10000.0,0.0,0.0,0.0,0.0,30000.0,0.0,0.0,0.0,80000.0,0.0,2040000.0,20000.0,0.0,20000.0,0.0,0.0,0.0,0.0,50000.0,0.0,0.0
1996,0.0,0.0,0.0,10000.0,20000.0,0.0,0.0,70000.0,30000.0,10000.0,0.0,30000.0,0.0,0.0,0.0,10000.0,10000.0,0.0,0.0,30000.0,0.0,0.0,300000.0,0.0,0.0,0.0,0.0,0.0,110000.0,20000.0,20000.0,430000.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,30000.0,0.0,20000.0,200000.0,0.0,0.0,40000.0,10000.0,10000.0,0.0,20000.0,0.0,40000.0,10000.0,0.0,50000.0,0.0,80000.0,0.0,0.0,90000.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,0.0,10000.0,0.0,0.0,0.0,0.0,10000.0,40000.0,129999.99,10000.0,50000.0,50000.0,0.0,10000.0,110000.0,10000.0,10000.0,290000.0,20000.0,0.0,0.0,0.0,0.0,0.0,60000.0,10000.0,,0.0,0.0,10000.0,0.0,0.0,0.0,10000.0,0.0,10000.0,10000.0,0.0,0.0,0.0,110000.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,20000.0,0.0,0.0,10000.0,0.0,0.0,50000.0,10000.0,0.0,0.0,20000.0,0.0,6220000.0,20000.0,0.0,10000.0,20000.0,0.0,0.0,60000.0,0.0,10000.0,0.0,10000.0,40000.0,510000.0,0.0,70000.0,0.0,0.0,30000.0,0.0,0.0,0.0,0.0,10000.0,,0.0,,10000.0,0.0,80000.0,0.0,0.0,10000.0,0.0,0.0,60000.0,0.0,0.0,0.0,0.0,0.0,0.0,30000.0,0.0,0.0,0.0,70000.0,0.0,2140000.0,20000.0,0.0,20000.0,0.0,0.0,0.0,0.0,50000.0,0.0,0.0
1997,0.0,0.0,0.0,10000.0,20000.0,0.0,0.0,70000.0,30000.0,10000.0,0.0,30000.0,0.0,0.0,0.0,10000.0,10000.0,0.0,0.0,30000.0,0.0,0.0,340000.0,0.0,0.0,0.0,0.0,0.0,120000.0,20000.0,20000.0,460000.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,20000.0,0.0,30000.0,190000.0,0.0,0.0,40000.0,10000.0,10000.0,0.0,20000.0,0.0,50000.0,10000.0,0.0,50000.0,0.0,70000.0,0.0,0.0,90000.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,0.0,10000.0,0.0,0.0,0.0,0.0,10000.0,50000.0,129999.99,10000.0,50000.0,70000.0,0.0,20000.0,110000.0,10000.0,10000.0,280000.0,20000.0,0.0,0.0,0.0,0.0,0.0,70000.0,10000.0,,10000.0,0.0,10000.0,0.0,0.0,0.0,10000.0,0.0,10000.0,10000.0,0.0,0.0,0.0,120000.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,20000.0,0.0,0.0,10000.0,10000.0,0.0,60000.0,10000.0,0.0,0.0,20000.0,10000.0,6480000.0,20000.0,0.0,10000.0,20000.0,0.0,0.0,60000.0,0.0,20000.0,0.0,10000.0,30000.0,490000.0,0.0,80000.0,0.0,0.0,30000.0,0.0,0.0,0.0,0.0,10000.0,,0.0,,10000.0,0.0,80000.0,0.0,0.0,10000.0,0.0,0.0,40000.0,0.0,0.0,0.0,0.0,0.0,0.0,30000.0,0.0,0.0,0.0,60000.0,0.0,2300000.0,20000.0,0.0,30000.0,0.0,0.0,0.0,0.0,50000.0,0.0,0.0
1998,0.0,0.0,0.0,10000.0,20000.0,0.0,0.0,70000.0,30000.0,10000.0,0.0,30000.0,0.0,0.0,0.0,10000.0,10000.0,0.0,0.0,20000.0,0.0,0.0,300000.0,0.0,0.0,0.0,0.0,0.0,129999.99,20000.0,20000.0,480000.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,20000.0,0.0,30000.0,200000.0,0.0,0.0,40000.0,10000.0,10000.0,10000.0,20000.0,0.0,50000.0,10000.0,0.0,60000.0,0.0,80000.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,0.0,10000.0,0.0,0.0,0.0,0.0,10000.0,50000.0,140000.0,10000.0,40000.0,40000.0,0.0,10000.0,110000.0,10000.0,10000.0,270000.0,20000.0,0.0,0.0,0.0,0.0,0.0,50000.0,20000.0,,10000.0,0.0,20000.0,0.0,0.0,0.0,10000.0,0.0,10000.0,0.0,0.0,0.0,0.0,129999.99,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,20000.0,0.0,0.0,10000.0,10000.0,0.0,60000.0,10000.0,0.0,0.0,20000.0,10000.0,6530000.0,20000.0,0.0,10000.0,20000.0,0.0,0.0,50000.0,0.0,20000.0,0.0,10000.0,30000.0,490000.0,0.0,90000.0,0.0,0.0,30000.0,0.0,0.0,0.0,0.0,10000.0,,0.0,,10000.0,0.0,80000.0,0.0,0.0,10000.0,0.0,0.0,40000.0,0.0,0.0,0.0,0.0,0.0,0.0,30000.0,0.0,0.0,0.0,60000.0,0.0,2310000.0,20000.0,0.0,30000.0,10000.0,0.0,0.0,0.0,50000.0,0.0,0.0
1999,0.0,0.0,0.0,10000.0,30000.0,0.0,0.0,80000.0,30000.0,10000.0,0.0,30000.0,0.0,0.0,0.0,10000.0,10000.0,0.0,0.0,20000.0,0.0,0.0,290000.0,0.0,0.0,0.0,0.0,0.0,129999.99,30000.0,20000.0,490000.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,30000.0,0.0,30000.0,190000.0,0.0,0.0,40000.0,10000.0,10000.0,0.0,20000.0,0.0,60000.0,10000.0,0.0,60000.0,0.0,80000.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,0.0,10000.0,0.0,0.0,10000.0,0.0,10000.0,50000.0,150000.0,10000.0,60000.0,20000.0,0.0,20000.0,100000.0,10000.0,10000.0,280000.0,20000.0,0.0,0.0,0.0,0.0,0.0,60000.0,20000.0,,10000.0,0.0,20000.0,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,0.0,0.0,129999.99,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,20000.0,0.0,0.0,10000.0,0.0,0.0,60000.0,10000.0,0.0,0.0,20000.0,10000.0,5920000.0,30000.0,0.0,10000.0,10000.0,0.0,0.0,50000.0,0.0,20000.0,0.0,10000.0,20000.0,510000.0,0.0,90000.0,0.0,0.0,30000.0,0.0,0.0,0.0,0.0,10000.0,,0.0,,10000.0,0.0,90000.0,0.0,0.0,10000.0,0.0,0.0,50000.0,0.0,10000.0,0.0,0.0,0.0,0.0,30000.0,0.0,0.0,0.0,60000.0,0.0,1630000.0,20000.0,0.0,30000.0,10000.0,0.0,0.0,0.0,50000.0,0.0,0.0
