Date,AFG,AGO,ALB,AND,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GTM,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAR,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NER,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,OWID_WRL,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
1990,0.0,8630000.0,0.0,0.0,0.0,720000.0,0.0,0.0,2230000.0,0.0,0.0,0.0,0.0,400000.0,560000.0,60000.0,0.0,0.0,30000.0,10000.0,10000.0,50000.0,3680000.0,7180000.0,0.0,60000.0,10000.0,30000.0,9210000.0,1020000.0,0.0,110000.0,420000.0,90000.0,750000.0,16150000.0,190000.0,0.0,210000.0,0.0,0.0,20000.0,30000.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,50000.0,10000.0,0.0,0.0,40000.0,0.0,820000.0,0.0,0.0,10000.0,,20000.0,0.0,0.0,120000.0,129999.99,150000.0,150000.0,0.0,20000.0,0.0,310000.0,20000.0,230000.0,0.0,0.0,0.0,58310000.0,2300000.0,0.0,0.0,10000.0,0.0,0.0,10000.0,0.0,0.0,10000.0,20000.0,20000.0,0.0,2480000.0,0.0,0.0,10000.0,0.0,1240000.0,0.0,70000.0,0.0,0.0,0.0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,390000.0,0.0,1340000.0,,0.0,1530000.0,0.0,6750000.0,0.0,90000.0,9060000.0,0.0,0.0,220000.0,2240000.0,10000.0,100000.0,1680000.0,70000.0,0.0,0.0,0.0,380000.0,0.0,0.0,0.0,166620000.0,0.0,10000.0,80000.0,30000.0,,510000.0,0.0,60000.0,50000.0,580000.0,0.0,10000.0,3640000.0,0.0,0.0,0.0,360000.0,0.0,0.0,40000.0,0.0,0.0,0.0,640000.0,0.0,10000.0,0.0,0.0,0.0,20000.0,0.0,0.0,1170000.0,30000.0,1370000.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,3700000.0,129999.99,30000.0,0.0,1100000.0,10000.0,0.0,370000.0,510000.0,0.0,0.0,0.0,280000.0,9450000.0,110000.0
1991,0.0,8630000.0,0.0,0.0,0.0,720000.0,0.0,0.0,2230000.0,0.0,0.0,0.0,0.0,400000.0,560000.0,60000.0,0.0,0.0,30000.0,10000.0,10000.0,50000.0,3680000.0,7180000.0,0.0,60000.0,10000.0,30000.0,9210000.0,1020000.0,0.0,110000.0,420000.0,90000.0,750000.0,16150000.0,190000.0,0.0,210000.0,0.0,0.0,20000.0,30000.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,50000.0,10000.0,0.0,0.0,40000.0,0.0,820000.0,0.0,0.0,10000.0,0.0,20000.0,0.0,0.0,120000.0,129999.99,150000.0,150000.0,0.0,20000.0,0.0,310000.0,20000.0,230000.0,0.0,0.0,0.0,58310000.0,2300000.0,0.0,0.0,10000.0,0.0,0.0,10000.0,0.0,0.0,10000.0,20000.0,20000.0,0.0,2480000.0,0.0,0.0,10000.0,0.0,1240000.0,0.0,70000.0,0.0,0.0,0.0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,390000.0,0.0,1340000.0,0.0,0.0,1530000.0,0.0,6750000.0,0.0,90000.0,9060000.0,0.0,0.0,220000.0,2240000.0,10000.0,100000.0,1680000.0,70000.0,0.0,0.0,0.0,380000.0,0.0,0.0,0.0,166620000.0,0.0,10000.0,80000.0,30000.0,0.0,510000.0,0.0,60000.0,50000.0,580000.0,0.0,10000.0,3640000.0,0.0,0.0,0.0,360000.0,0.0,0.0,40000.0,0.0,0.0,0.0,640000.0,0.0,10000.0,0.0,0.0,0.0,20000.0,0.0,0.0,1170000.0,30000.0,1370000.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,3700000.0,129999.99,30000.0,0.0,1100000.0,10000.0,0.0,370000.0,510000.0,0.0,0.0,0.0,280000.0,9450000.0,110000.0
1992,0.0,8630000.0,0.0,0.0,0.0,720000.0,0.0,0.0,2230000.0,0.0,0.0,0.0,0.0,400000.0,560000.0,60000.0,0.0,0.0,30000.0,10000.0,10000.0,50000.0,3680000.0,7180000.0,0.0,60000.0,10000.0,30000.0,9210000.0,1020000.0,0.0,110000.0,420000.0,90000.0,750000.0,16150000.0,190000.0,0.0,210000.0,0.0,0.0,20000.0,30000.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,50000.0,10000.0,0.0,0.0,40000.0,0.0,820000.0,0.0,0.0,10000.0,0.0,20000.0,0.0,0.0,120000.0,129999.99,150000.0,150000.0,0.0,20000.0,0.0,310000.0,20000.0,230000.0,0.0,0.0,0.0,58310000.0,2300000.0,0.0,0.0,10000.0,0.0,0.0,10000.0,0.0,0.0,10000.0,20000.0,20000.0,0.0,2480000.0,0.0,0.0,10000.0,0.0,1240000.0,0.0,70000.0,0.0,0.0,0.0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,390000.0,0.0,1340000.0,0.0,0.0,1530000.0,0.0,6750000.0,0.0,90000.0,9060000.0,0.0,0.0,220000.0,2240000.0,10000.0,100000.0,1680000.0,70000.0,0.0,0.0,0.0,380000.0,0.0,0.0,0.0,166620000.0,0.0,10000.0,80000.0,30000.0,0.0,510000.0,0.0,60000.0,50000.0,580000.0,0.0,10000.0,3620000.0,0.0,0.0,0.0,360000.0,0.0,0.0,40000.0,0.0,0.0,0.0,640000.0,0.0,10000.0,0.0,0.0,0.0,20000.0,0.0,0.0,1170000.0,30000.0,1370000.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,3700000.0,129999.99,40000.0,0.0,1100000.0,20000.0,0.0,370000.0,510000.0,0.0,0.0,0.0,280000.0,9450000.0,110000.0
1993,0.0,8630000.0,0.0,0.0,0.0,720000.0,0.0,0.0,2230000.0,0.0,0.0,0.0,0.0,400000.0,560000.0,60000.0,0.0,0.0,30000.0,10000.0,10000.0,50000.0,3680000.0,7180000.0,0.0,60000.0,10000.0,30000.0,9210000.0,1020000.0,0.0,110000.0,420000.0,90000.0,750000.0,16150000.0,190000.0,0.0,210000.0,0.0,0.0,20000.0,30000.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,50000.0,10000.0,0.0,0.0,40000.0,0.0,820000.0,0.0,0.0,10000.0,0.0,20000.0,0.0,0.0,120000.0,129999.99,150000.0,150000.0,0.0,20000.0,0.0,310000.0,20000.0,230000.0,0.0,0.0,0.0,58310000.0,2300000.0,0.0,0.0,10000.0,0.0,0.0,10000.0,0.0,0.0,10000.0,20000.0,20000.0,0.0,2480000.0,0.0,0.0,10000.0,0.0,1240000.0,0.0,70000.0,0.0,0.0,0.0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,390000.0,0.0,1340000.0,0.0,0.0,1530000.0,0.0,6750000.0,0.0,90000.0,9060000.0,0.0,0.0,220000.0,2240000.0,10000.0,100000.0,1680000.0,70000.0,0.0,0.0,0.0,380000.0,0.0,0.0,0.0,166620000.0,0.0,10000.0,80000.0,30000.0,0.0,510000.0,0.0,60000.0,50000.0,580000.0,0.0,10000.0,3620000.0,0.0,0.0,0.0,360000.0,0.0,0.0,40000.0,0.0,0.0,0.0,640000.0,0.0,10000.0,0.0,0.0,0.0,20000.0,0.0,0.0,1170000.0,30000.0,1370000.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,3700000.0,129999.99,40000.0,0.0,1100000.0,20000.0,0.0,370000.0,510000.0,0.0,0.0,0.0,280000.0,9450000.0,110000.0
1994,0.0,8630000.0,0.0,0.0,0.0,720000.0,0.0,0.0,2230000.0,0.0,0.0,0.0,0.0,400000.0,560000.0,60000.0,0.0,0.0,30000.0,10000.0,10000.0,50000.0,3680000.0,7180000.0,0.0,60000.0,10000.0,30000.0,9210000.0,1020000.0,0.0,110000.0,420000.0,90000.0,750000.0,16150000.0,190000.0,0.0,210000.0,0.0,0.0,20000.0,30000.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,50000.0,10000.0,0.0,0.0,40000.0,0.0,820000.0,0.0,0.0,10000.0,0.0,20000.0,0.0,0.0,120000.0,129999.99,150000.0,150000.0,0.0,20000.0,0.0,310000.0,20000.0,230000.0,0.0,0.0,0.0,58310000.0,2300000.0,0.0,0.0,10000.0,0.0,0.0,10000.0,0.0,0.0,10000.0,20000.0,20000.0,0.0,2480000.0,0.0,0.0,10000.0,0.0,1240000.0,0.0,70000.0,0.0,0.0,0.0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,390000.0,0.0,1340000.0,0.0,0.0,1530000.0,0.0,6750000.0,0.0,90000.0,9060000.0,0.0,0.0,220000.0,2240000.0,10000.0,100000.0,1680000.0,70000.0,0.0,0.0,0.0,380000.0,0.0,0.0,0.0,166620000.0,0.0,10000.0,80000.0,30000.0,0.0,510000.0,0.0,60000.0,50000.0,580000.0,0.0,10000.0,3620000.0,0.0,0.0,0.0,360000.0,0.0,0.0,40000.0,0.0,0.0,0.0,640000.0,0.0,10000.0,0.0,0.0,0.0,20000.0,0.0,0.0,1170000.0,30000.0,1370000.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,3700000.0,129999.99,40000.0,0.0,1100000.0,20000.0,0.0,370000.0,510000.0,0.0,0.0,0.0,280000.0,9450000.0,110000.0
1995,0.0,8630000.0,0.0,0.0,0.0,720000.0,0.0,0.0,2230000.0,0.0,0.0,0.0,0.0,400000.0,560000.0,60000.0,0.0,0.0,30000.0,10000.0,10000.0,50000.0,3680000.0,7180000.0,0.0,60000.0,10000.0,30000.0,9210000.0,1020000.0,0.0,110000.0,420000.0,90000.0,750000.0,16150000.0,190000.0,0.0,210000.0,0.0,0.0,20000.0,30000.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,50000.0,10000.0,0.0,0.0,40000.0,0.0,820000.0,0.0,0.0,10000.0,0.0,20000.0,0.0,0.0,120000.0,129999.99,150000.0,150000.0,0.0,20000.0,0.0,310000.0,20000.0,230000.0,0.0,0.0,0.0,58310000.0,2300000.0,0.0,0.0,10000.0,0.0,0.0,10000.0,0.0,0.0,10000.0,20000.0,20000.0,0.0,2480000.0,0.0,0.0,10000.0,0.0,1240000.0,0.0,70000.0,0.0,0.0,0.0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,390000.0,0.0,1340000.0,0.0,0.0,1530000.0,0.0,6750000.0,0.0,90000.0,9060000.0,0.0,0.0,220000.0,2240000.0,10000.0,100000.0,1680000.0,70000.0,0.0,0.0,0.0,380000.0,0.0,0.0,0.0,166620000.0,0.0,10000.0,80000.0,30000.0,0.0,510000.0,0.0,60000.0,50000.0,580000.0,0.0,10000.0,3620000.0,0.0,0.0,0.0,360000.0,0.0,0.0,40000.0,0.0,0.0,0.0,640000.0,0.0,10000.0,0.0,0.0,0.0,20000.0,0.0,0.0,1170000.0,30000.0,1370000.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,3700000.0,129999.99,40000.0,0.0,1100000.0,20000.0,0.0,370000.0,510000.0,0.0,0.0,0.0,280000.0,9450000.0,110000.0
1996,0.0,12270000.0,10000.0,0.0,0.0,2160000.0,0.0,0.0,4179999.8,0.0,0.0,20000.0,0.0,470000.0,870000.0,70000.0,10000.0,0.0,70000.0,10000.0,20000.0,60000.0,4920000.0,8930000.0,0.0,40000.0,10000.0,200000.0,1760000.0,3370000.0,0.0,80000.0,770000.0,100000.0,1300000.0,19010000.0,350000.0,0.0,170000.0,0.0,0.0,10000.0,40000.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,60000.0,10000.0,0.0,0.0,70000.0,0.0,660000.0,0.0,0.0,10000.0,0.0,50000.0,0.0,0.0,120000.0,150000.0,120000.0,10000.0,0.0,20000.0,0.0,680000.0,30000.0,240000.0,0.0,0.0,0.0,17730000.0,1250000.0,0.0,30000.0,0.0,0.0,0.0,10000.0,0.0,0.0,10000.0,90000.0,20000.0,0.0,360000.0,0.0,0.0,0.0,0.0,1760000.0,0.0,30000.0,0.0,0.0,0.0,30000.0,0.0,0.0,0.0,0.0,0.0,0.0,890000.0,0.0,1220000.0,0.0,0.0,1060000.0,0.0,6950000.0,0.0,170000.0,1940000.0,0.0,0.0,200000.0,1560000.0,0.0,110000.0,8950000.0,80000.0,0.0,0.0,0.0,259999.98,0.0,0.0,0.0,140960000.0,0.0,10000.0,80000.0,40000.0,0.0,320000.0,0.0,70000.0,110000.0,1120000.0,0.0,20000.0,12310000.0,10000.0,0.0,0.0,750000.0,0.0,0.0,60000.0,0.0,0.0,10000.0,3330000.0,0.0,20000.0,0.0,0.0,0.0,60000.0,0.0,0.0,1540000.0,70000.0,1240000.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,1050000.0,230000.0,20000.0,10000.0,1930000.0,30000.0,0.0,620000.0,500000.0,0.0,0.0,0.0,1050000.0,5880000.0,150000.0
1997,0.0,10950000.0,20000.0,0.0,0.0,2620000.0,0.0,0.0,6280000.0,0.0,0.0,20000.0,0.0,390000.0,820000.0,70000.0,10000.0,0.0,70000.0,10000.0,20000.0,40000.0,5240000.0,10910000.0,0.0,90000.0,10000.0,170000.0,4060000.0,1710000.0,0.0,150000.0,810000.0,240000.0,1260000.0,23950000.0,330000.0,0.0,440000.0,0.0,0.0,20000.0,40000.0,0.0,0.0,0.0,0.0,0.0,0.0,40000.0,40000.0,10000.0,0.0,0.0,190000.0,0.0,2020000.0,0.0,10000.0,10000.0,0.0,30000.0,0.0,0.0,400000.0,250000.0,140000.0,40000.0,0.0,20000.0,0.0,480000.0,50000.0,530000.0,10000.0,0.0,0.0,262120000.0,1070000.0,0.0,10000.0,0.0,0.0,0.0,10000.0,0.0,0.0,10000.0,210000.0,110000.0,10000.0,1200000.0,0.0,0.0,0.0,0.0,1320000.0,0.0,20000.0,0.0,0.0,0.0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,500000.0,0.0,1400000.0,0.0,0.0,1420000.0,0.0,6340000.0,0.0,980000.0,1220000.0,0.0,0.0,120000.0,2100000.0,0.0,70000.0,7610000.0,150000.0,0.0,0.0,0.0,180000.0,0.0,0.0,0.0,404540000.0,0.0,10000.0,90000.0,50000.0,0.0,10840000.0,0.0,230000.0,60000.0,1480000.0,0.0,20000.0,4600000.0,10000.0,0.0,10000.0,960000.0,0.0,0.0,90000.0,0.0,0.0,10000.0,8300000.0,0.0,20000.0,0.0,0.0,0.0,40000.0,0.0,0.0,2350000.0,90000.0,1210000.0,0.0,0.0,10000.0,0.0,0.0,0.0,10000.0,0.0,1070000.0,560000.0,20000.0,10000.0,910000.0,30000.0,0.0,820000.0,370000.0,0.0,0.0,0.0,1060000.0,5660000.0,290000.0
1998,0.0,14770000.0,10000.0,0.0,0.0,2420000.0,0.0,0.0,4890000.0,0.0,10000.0,10000.0,0.0,980000.0,1280000.0,60000.0,10000.0,0.0,80000.0,40000.0,20000.0,90000.0,5200000.0,19320000.0,0.0,1190000.0,20000.0,220000.0,6410000.0,6440000.0,0.0,120000.0,970000.0,530000.0,2980000.0,24600000.0,270000.0,0.0,460000.0,0.0,0.0,40000.0,70000.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,50000.0,10000.0,0.0,0.0,129999.99,0.0,1910000.0,0.0,10000.0,10000.0,0.0,30000.0,0.0,0.0,1050000.0,580000.0,110000.0,220000.0,0.0,129999.99,0.0,1900000.0,200000.0,750000.0,40000.0,0.0,0.0,71310000.0,1090000.0,0.0,10000.0,0.0,0.0,0.0,20000.0,0.0,0.0,10000.0,100000.0,40000.0,0.0,3740000.0,0.0,0.0,0.0,0.0,2920000.0,0.0,40000.0,0.0,0.0,0.0,30000.0,50000.0,0.0,0.0,0.0,0.0,0.0,690000.0,0.0,7430000.0,0.0,0.0,3640000.0,0.0,9350000.0,0.0,510000.0,1700000.0,0.0,0.0,160000.0,10980000.0,30000.0,170000.0,8940000.0,550000.0,0.0,0.0,0.0,300000.0,0.0,0.0,0.0,273280000.0,0.0,10000.0,150000.0,160000.0,0.0,400000.0,0.0,90000.0,90000.0,1240000.0,0.0,20000.0,8780000.0,20000.0,0.0,20000.0,1670000.0,0.0,0.0,190000.0,0.0,0.0,20000.0,12310000.0,0.0,50000.0,0.0,0.0,10000.0,80000.0,0.0,0.0,5120000.0,170000.0,2980000.0,0.0,0.0,0.0,0.0,10000.0,0.0,10000.0,0.0,1570000.0,680000.0,20000.0,10000.0,1820000.0,30000.0,0.0,2230000.0,1370000.0,0.0,0.0,0.0,1790000.0,5310000.0,330000.0
1999,0.0,13760000.0,10000.0,0.0,0.0,3450000.0,0.0,0.0,6770000.0,0.0,0.0,20000.0,0.0,830000.0,970000.0,80000.0,0.0,0.0,80000.0,20000.0,30000.0,50000.0,9100000.0,14760000.0,0.0,10000.0,40000.0,160000.0,5370000.0,2690000.0,0.0,129999.99,880000.0,540000.0,2170000.0,20160000.0,300000.0,0.0,280000.0,0.0,0.0,20000.0,80000.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,50000.0,10000.0,0.0,10000.0,60000.0,0.0,2800000.0,0.0,0.0,10000.0,0.0,30000.0,0.0,0.0,590000.0,430000.0,300000.0,390000.0,0.0,10000.0,0.0,519999.97,20000.0,410000.0,0.0,0.0,0.0,27040000.0,2250000.0,0.0,20000.0,10000.0,0.0,0.0,20000.0,0.0,0.0,10000.0,70000.0,80000.0,0.0,2500000.0,0.0,0.0,0.0,0.0,2030000.0,0.0,30000.0,0.0,0.0,0.0,40000.0,10000.0,0.0,0.0,0.0,0.0,0.0,670000.0,0.0,3780000.0,0.0,0.0,3410000.0,0.0,9650000.0,0.0,160000.0,1400000.0,0.0,0.0,150000.0,1330000.0,60000.0,80000.0,7570000.0,140000.0,0.0,0.0,0.0,380000.0,0.0,0.0,0.0,196730000.0,0.0,10000.0,129999.99,40000.0,0.0,350000.0,0.0,60000.0,70000.0,3180000.0,0.0,20000.0,5870000.0,10000.0,0.0,20000.0,2390000.0,0.0,0.0,140000.0,0.0,0.0,10000.0,13790000.0,0.0,10000.0,0.0,0.0,0.0,60000.0,0.0,0.0,4990000.0,240000.0,1700000.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,880000.0,910000.0,30000.0,10000.0,2110000.0,20000.0,0.0,860000.0,740000.0,0.0,0.0,0.0,1190000.0,5330000.0,210000.0
