Date,AFG,AGO,ALB,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GTM,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAR,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NER,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,OWID_WRL,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
1990,0.0,0.0,0.0,20000.0,30000.0,0.0,0.0,90000.0,30000.0,10000.0,0.0,40000.0,0.0,0.0,0.0,10000.0,0.0,0.0,10000.0,10000.0,0.0,10000.0,1550000.0,0.0,0.0,0.0,0.0,0.0,230000.0,10000.0,30000.0,1800000.0,0.0,0.0,60000.0,0.0,0.0,50000.0,0.0,0.0,10000.0,150000.0,0.0,80000.0,230000.0,0.0,0.0,10000.0,0.0,10000.0,10000.0,20000.0,,100000.0,0.0,0.0,90000.0,0.0,120000.0,0.0,0.0,90000.0,10000.0,10000.0,0.0,0.0,0.0,0.0,20000.0,0.0,10000.0,0.0,10000.0,10000.0,0.0,10000.0,259999.98,730000.0,10000.0,30000.0,10000.0,0.0,0.0,70000.0,10000.0,0.0,360000.0,180000.0,10000.0,20000.0,,0.0,0.0,70000.0,0.0,,0.0,0.0,0.0,0.0,20000.0,0.0,10000.0,0.0,0.0,10000.0,0.0,0.0,0.0,100000.0,0.0,0.0,,0.0,0.0,,10000.0,20000.0,0.0,10000.0,0.0,20000.0,,0.0,20000.0,0.0,0.0,20000.0,20000.0,0.0,0.0,10000.0,0.0,9700000.0,80000.0,0.0,10000.0,30000.0,0.0,0.0,80000.0,180000.0,50000.0,30000.0,0.0,30000.0,190000.0,0.0,20000.0,30000.0,0.0,0.0,0.0,0.0,10000.0,0.0,10000.0,,0.0,,30000.0,0.0,129999.99,0.0,0.0,0.0,0.0,0.0,110000.0,0.0,0.0,0.0,0.0,0.0,0.0,50000.0,0.0,20000.0,20000.0,170000.0,10000.0,910000.0,0.0,0.0,30000.0,100000.0,0.0,0.0,0.0,150000.0,20000.0,10000.0
1991,0.0,0.0,0.0,20000.0,40000.0,0.0,0.0,90000.0,30000.0,10000.0,0.0,40000.0,0.0,0.0,0.0,10000.0,0.0,0.0,10000.0,10000.0,0.0,10000.0,1400000.0,0.0,0.0,0.0,0.0,0.0,230000.0,10000.0,40000.0,1870000.0,0.0,0.0,70000.0,0.0,0.0,50000.0,0.0,0.0,10000.0,120000.0,0.0,60000.0,170000.0,0.0,0.0,10000.0,0.0,10000.0,10000.0,20000.0,,100000.0,0.0,0.0,80000.0,0.0,120000.0,0.0,10000.0,90000.0,10000.0,10000.0,0.0,0.0,0.0,0.0,20000.0,0.0,10000.0,0.0,10000.0,0.0,0.0,10000.0,270000.0,780000.0,10000.0,40000.0,10000.0,0.0,0.0,70000.0,10000.0,0.0,350000.0,180000.0,10000.0,20000.0,,0.0,0.0,80000.0,0.0,,0.0,0.0,0.0,0.0,20000.0,0.0,10000.0,0.0,0.0,10000.0,0.0,0.0,0.0,80000.0,0.0,0.0,,0.0,0.0,,10000.0,20000.0,0.0,10000.0,0.0,30000.0,0.0,0.0,20000.0,0.0,0.0,20000.0,20000.0,0.0,0.0,10000.0,10000.0,9520000.0,80000.0,0.0,10000.0,30000.0,0.0,0.0,80000.0,170000.0,50000.0,30000.0,0.0,30000.0,140000.0,0.0,20000.0,30000.0,0.0,0.0,0.0,0.0,10000.0,0.0,10000.0,,0.0,,20000.0,0.0,129999.99,0.0,0.0,0.0,0.0,0.0,120000.0,0.0,0.0,0.0,0.0,0.0,0.0,60000.0,0.0,30000.0,20000.0,170000.0,10000.0,900000.0,0.0,0.0,20000.0,100000.0,0.0,0.0,0.0,140000.0,20000.0,10000.0
1992,0.0,0.0,0.0,20000.0,40000.0,0.0,0.0,80000.0,30000.0,0.0,0.0,40000.0,0.0,0.0,0.0,10000.0,0.0,0.0,10000.0,0.0,0.0,10000.0,1350000.0,0.0,0.0,0.0,0.0,0.0,240000.0,10000.0,40000.0,1950000.0,0.0,0.0,70000.0,0.0,0.0,40000.0,0.0,0.0,10000.0,120000.0,0.0,80000.0,150000.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,20000.0,0.0,80000.0,0.0,0.0,80000.0,0.0,120000.0,0.0,10000.0,90000.0,0.0,10000.0,0.0,0.0,0.0,0.0,20000.0,0.0,10000.0,0.0,10000.0,0.0,0.0,10000.0,280000.0,790000.0,10000.0,40000.0,10000.0,0.0,0.0,70000.0,10000.0,0.0,350000.0,200000.0,10000.0,10000.0,,0.0,0.0,80000.0,0.0,,0.0,0.0,0.0,0.0,20000.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,80000.0,0.0,0.0,,0.0,0.0,,10000.0,20000.0,0.0,10000.0,0.0,30000.0,0.0,0.0,30000.0,0.0,0.0,20000.0,20000.0,0.0,0.0,10000.0,0.0,9480000.0,90000.0,0.0,10000.0,30000.0,0.0,0.0,80000.0,150000.0,50000.0,40000.0,0.0,10000.0,170000.0,0.0,20000.0,30000.0,0.0,0.0,0.0,0.0,10000.0,0.0,10000.0,,0.0,,20000.0,0.0,129999.99,0.0,0.0,0.0,0.0,0.0,150000.0,0.0,0.0,0.0,0.0,0.0,0.0,50000.0,0.0,30000.0,20000.0,160000.0,10000.0,880000.0,0.0,0.0,20000.0,110000.0,0.0,0.0,0.0,129999.99,20000.0,10000.0
1993,0.0,0.0,0.0,20000.0,40000.0,0.0,0.0,90000.0,30000.0,0.0,0.0,30000.0,0.0,0.0,0.0,10000.0,0.0,0.0,10000.0,0.0,0.0,10000.0,1430000.0,0.0,0.0,0.0,0.0,0.0,230000.0,20000.0,30000.0,2069999.9,0.0,0.0,70000.0,0.0,0.0,50000.0,0.0,0.0,10000.0,80000.0,0.0,60000.0,129999.99,0.0,0.0,10000.0,10000.0,10000.0,10000.0,20000.0,0.0,80000.0,0.0,0.0,90000.0,0.0,100000.0,0.0,10000.0,90000.0,0.0,10000.0,0.0,0.0,0.0,0.0,20000.0,0.0,10000.0,0.0,10000.0,0.0,0.0,10000.0,290000.0,830000.0,10000.0,30000.0,10000.0,0.0,0.0,60000.0,10000.0,0.0,340000.0,170000.0,10000.0,10000.0,,0.0,0.0,100000.0,0.0,,0.0,0.0,0.0,0.0,20000.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,80000.0,0.0,0.0,,0.0,0.0,,10000.0,20000.0,0.0,10000.0,0.0,30000.0,0.0,0.0,30000.0,0.0,0.0,20000.0,20000.0,0.0,0.0,20000.0,0.0,9430000.0,90000.0,0.0,10000.0,30000.0,0.0,0.0,100000.0,140000.0,50000.0,40000.0,0.0,10000.0,150000.0,0.0,20000.0,30000.0,0.0,0.0,0.0,0.0,10000.0,0.0,10000.0,,0.0,,20000.0,0.0,129999.99,0.0,0.0,0.0,0.0,0.0,129999.99,0.0,0.0,0.0,0.0,0.0,0.0,50000.0,0.0,30000.0,20000.0,110000.0,10000.0,780000.0,0.0,0.0,20000.0,110000.0,0.0,0.0,0.0,110000.0,20000.0,10000.0
1994,0.0,0.0,0.0,20000.0,40000.0,0.0,0.0,100000.0,30000.0,0.0,0.0,40000.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,10000.0,1510000.0,0.0,0.0,0.0,0.0,0.0,270000.0,20000.0,30000.0,2170000.0,0.0,0.0,70000.0,0.0,0.0,50000.0,0.0,0.0,10000.0,80000.0,0.0,50000.0,120000.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,20000.0,0.0,80000.0,0.0,0.0,100000.0,0.0,110000.0,0.0,10000.0,90000.0,0.0,10000.0,0.0,0.0,0.0,0.0,20000.0,0.0,10000.0,0.0,10000.0,0.0,0.0,10000.0,300000.0,900000.0,10000.0,30000.0,10000.0,0.0,0.0,70000.0,10000.0,0.0,330000.0,140000.0,10000.0,10000.0,,0.0,0.0,110000.0,0.0,,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,70000.0,0.0,0.0,,0.0,10000.0,,0.0,20000.0,0.0,10000.0,0.0,30000.0,0.0,0.0,30000.0,0.0,0.0,20000.0,20000.0,0.0,0.0,20000.0,0.0,9680000.0,90000.0,0.0,10000.0,30000.0,0.0,0.0,110000.0,129999.99,50000.0,50000.0,0.0,20000.0,129999.99,0.0,30000.0,40000.0,0.0,0.0,0.0,0.0,10000.0,0.0,10000.0,,0.0,,30000.0,0.0,129999.99,0.0,0.0,0.0,0.0,0.0,140000.0,0.0,0.0,0.0,0.0,0.0,0.0,50000.0,0.0,30000.0,20000.0,70000.0,10000.0,780000.0,0.0,0.0,20000.0,110000.0,0.0,0.0,0.0,120000.0,20000.0,10000.0
1995,0.0,0.0,0.0,20000.0,50000.0,0.0,0.0,100000.0,30000.0,0.0,0.0,30000.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,10000.0,1440000.0,0.0,0.0,0.0,0.0,0.0,290000.0,20000.0,30000.0,2450000.0,0.0,0.0,70000.0,0.0,0.0,50000.0,0.0,0.0,10000.0,70000.0,0.0,40000.0,120000.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,20000.0,0.0,80000.0,0.0,0.0,100000.0,0.0,110000.0,0.0,10000.0,80000.0,0.0,10000.0,0.0,0.0,0.0,0.0,20000.0,0.0,10000.0,0.0,10000.0,0.0,0.0,10000.0,310000.0,880000.0,10000.0,30000.0,10000.0,0.0,0.0,60000.0,10000.0,0.0,340000.0,129999.99,10000.0,0.0,10000.0,0.0,0.0,120000.0,0.0,,0.0,0.0,0.0,0.0,20000.0,0.0,0.0,0.0,0.0,10000.0,0.0,10000.0,0.0,70000.0,0.0,0.0,,0.0,10000.0,,0.0,20000.0,0.0,10000.0,0.0,30000.0,0.0,0.0,40000.0,0.0,0.0,20000.0,20000.0,0.0,0.0,20000.0,0.0,10080000.0,100000.0,0.0,10000.0,40000.0,0.0,0.0,150000.0,120000.0,50000.0,50000.0,0.0,30000.0,110000.0,0.0,30000.0,40000.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,,0.0,,20000.0,0.0,150000.0,0.0,0.0,0.0,0.0,0.0,180000.0,0.0,0.0,0.0,0.0,0.0,0.0,50000.0,0.0,30000.0,30000.0,80000.0,10000.0,810000.0,10000.0,0.0,30000.0,110000.0,0.0,0.0,0.0,120000.0,20000.0,10000.0
1996,0.0,0.0,0.0,20000.0,40000.0,0.0,0.0,120000.0,30000.0,0.0,0.0,30000.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,10000.0,1390000.0,0.0,0.0,0.0,0.0,0.0,270000.0,20000.0,40000.0,2280000.0,0.0,0.0,80000.0,0.0,0.0,50000.0,0.0,0.0,10000.0,80000.0,0.0,40000.0,110000.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,20000.0,0.0,70000.0,10000.0,0.0,100000.0,0.0,110000.0,0.0,10000.0,80000.0,0.0,10000.0,0.0,0.0,0.0,0.0,20000.0,0.0,10000.0,0.0,10000.0,0.0,0.0,10000.0,320000.0,950000.0,10000.0,30000.0,10000.0,0.0,0.0,60000.0,10000.0,0.0,340000.0,110000.0,10000.0,0.0,10000.0,0.0,0.0,120000.0,0.0,,0.0,0.0,0.0,0.0,20000.0,0.0,0.0,0.0,0.0,10000.0,0.0,10000.0,0.0,80000.0,0.0,0.0,,0.0,10000.0,,0.0,20000.0,0.0,10000.0,0.0,40000.0,0.0,0.0,40000.0,0.0,0.0,20000.0,20000.0,0.0,0.0,20000.0,0.0,9960000.0,100000.0,0.0,10000.0,40000.0,0.0,0.0,160000.0,110000.0,50000.0,50000.0,0.0,30000.0,100000.0,0.0,40000.0,40000.0,0.0,0.0,0.0,0.0,10000.0,0.0,10000.0,,0.0,,20000.0,0.0,150000.0,0.0,0.0,0.0,0.0,0.0,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,70000.0,0.0,30000.0,30000.0,60000.0,10000.0,790000.0,10000.0,0.0,30000.0,120000.0,0.0,0.0,0.0,129999.99,20000.0,10000.0
1997,0.0,0.0,0.0,20000.0,50000.0,0.0,0.0,129999.99,30000.0,0.0,0.0,40000.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,10000.0,1380000.0,0.0,0.0,0.0,0.0,0.0,270000.0,20000.0,40000.0,2190000.0,0.0,0.0,80000.0,0.0,0.0,50000.0,0.0,0.0,10000.0,80000.0,0.0,40000.0,110000.0,0.0,0.0,10000.0,10000.0,0.0,10000.0,20000.0,0.0,80000.0,0.0,0.0,110000.0,0.0,120000.0,0.0,10000.0,80000.0,0.0,10000.0,0.0,0.0,0.0,0.0,20000.0,0.0,10000.0,0.0,10000.0,10000.0,0.0,10000.0,320000.0,1000000.0,10000.0,30000.0,10000.0,0.0,0.0,60000.0,10000.0,0.0,330000.0,100000.0,10000.0,0.0,10000.0,0.0,0.0,120000.0,0.0,,0.0,0.0,0.0,0.0,30000.0,0.0,0.0,0.0,0.0,10000.0,0.0,10000.0,0.0,90000.0,0.0,0.0,,0.0,10000.0,,0.0,20000.0,0.0,10000.0,0.0,40000.0,0.0,0.0,50000.0,0.0,0.0,20000.0,20000.0,0.0,0.0,20000.0,0.0,10060000.0,100000.0,0.0,10000.0,40000.0,0.0,0.0,140000.0,100000.0,50000.0,60000.0,0.0,30000.0,100000.0,0.0,30000.0,40000.0,0.0,0.0,0.0,0.0,10000.0,0.0,10000.0,,0.0,,20000.0,0.0,150000.0,0.0,0.0,0.0,0.0,0.0,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,80000.0,0.0,30000.0,30000.0,60000.0,10000.0,870000.0,0.0,0.0,30000.0,120000.0,0.0,0.0,0.0,140000.0,20000.0,10000.0
1998,0.0,0.0,0.0,20000.0,50000.0,0.0,0.0,120000.0,30000.0,0.0,0.0,40000.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,10000.0,1350000.0,0.0,0.0,0.0,0.0,0.0,280000.0,10000.0,40000.0,2370000.0,0.0,0.0,80000.0,0.0,0.0,50000.0,0.0,0.0,0.0,70000.0,0.0,40000.0,100000.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,20000.0,0.0,80000.0,0.0,0.0,120000.0,0.0,110000.0,0.0,10000.0,70000.0,0.0,10000.0,0.0,0.0,0.0,0.0,20000.0,0.0,10000.0,0.0,10000.0,0.0,0.0,10000.0,320000.0,1030000.0,10000.0,30000.0,10000.0,0.0,0.0,60000.0,10000.0,0.0,310000.0,100000.0,10000.0,0.0,20000.0,0.0,0.0,110000.0,0.0,,0.0,0.0,0.0,0.0,30000.0,0.0,0.0,0.0,0.0,10000.0,0.0,10000.0,0.0,90000.0,0.0,0.0,,0.0,10000.0,,0.0,20000.0,0.0,10000.0,0.0,40000.0,0.0,0.0,50000.0,0.0,0.0,20000.0,30000.0,0.0,0.0,20000.0,0.0,10210000.0,100000.0,0.0,30000.0,40000.0,0.0,0.0,110000.0,100000.0,50000.0,60000.0,0.0,20000.0,90000.0,0.0,40000.0,40000.0,0.0,0.0,0.0,0.0,10000.0,0.0,10000.0,,0.0,,20000.0,0.0,150000.0,0.0,0.0,0.0,0.0,0.0,170000.0,0.0,0.0,0.0,0.0,0.0,0.0,80000.0,0.0,30000.0,30000.0,60000.0,10000.0,910000.0,10000.0,0.0,30000.0,129999.99,0.0,0.0,0.0,150000.0,20000.0,10000.0
1999,0.0,0.0,0.0,20000.0,50000.0,0.0,0.0,120000.0,30000.0,0.0,0.0,40000.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,10000.0,1480000.0,0.0,0.0,0.0,0.0,0.0,300000.0,20000.0,40000.0,1980000.0,0.0,0.0,80000.0,0.0,0.0,50000.0,0.0,0.0,0.0,70000.0,0.0,30000.0,100000.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,20000.0,0.0,80000.0,0.0,0.0,120000.0,0.0,100000.0,0.0,10000.0,70000.0,0.0,10000.0,0.0,0.0,0.0,0.0,20000.0,0.0,10000.0,0.0,10000.0,0.0,0.0,10000.0,350000.0,1039999.94,10000.0,30000.0,10000.0,0.0,0.0,70000.0,10000.0,0.0,310000.0,80000.0,10000.0,0.0,20000.0,0.0,0.0,120000.0,0.0,,0.0,0.0,0.0,0.0,40000.0,0.0,0.0,0.0,0.0,10000.0,0.0,10000.0,0.0,80000.0,0.0,0.0,,0.0,10000.0,,0.0,20000.0,0.0,0.0,0.0,30000.0,0.0,0.0,60000.0,10000.0,0.0,20000.0,30000.0,0.0,0.0,20000.0,0.0,10570000.0,100000.0,0.0,30000.0,40000.0,0.0,0.0,100000.0,110000.0,50000.0,50000.0,0.0,20000.0,110000.0,0.0,40000.0,30000.0,0.0,0.0,0.0,0.0,10000.0,0.0,10000.0,,0.0,,20000.0,0.0,140000.0,0.0,0.0,0.0,0.0,0.0,180000.0,0.0,0.0,0.0,0.0,0.0,0.0,70000.0,0.0,30000.0,30000.0,60000.0,10000.0,1520000.0,10000.0,0.0,30000.0,129999.99,0.0,0.0,0.0,129999.99,20000.0,10000.0
