Date,AFG,AGO,ALB,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GTM,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAR,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NER,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,OWID_WRL,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
1990,0.0,0.0,30000.0,0.0,20000.0,0.0,0.0,10000.0,40000.0,20000.0,0.0,10000.0,80000.0,0.0,0.0,20000.0,0.0,0.0,80000.0,20000.0,0.0,0.0,720000.0,0.0,0.0,0.0,0.0,0.0,20000.0,80000.0,10000.0,4410000.0,0.0,0.0,0.0,0.0,0.0,320000.0,0.0,0.0,0.0,20000.0,0.0,140000.0,150000.0,0.0,0.0,50000.0,0.0,0.0,0.0,0.0,,20000.0,10000.0,0.0,60000.0,0.0,50000.0,0.0,0.0,110000.0,20000.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,10000.0,310000.0,0.0,50000.0,0.0,0.0,0.0,30000.0,0.0,0.0,60000.0,170000.0,0.0,20000.0,,0.0,0.0,20000.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,0.0,10000.0,0.0,90000.0,0.0,0.0,20000.0,0.0,0.0,,0.0,0.0,,30000.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,30000.0,10000.0,0.0,0.0,10000.0,0.0,13210000.0,0.0,0.0,40000.0,0.0,0.0,0.0,410000.0,380000.0,0.0,0.0,0.0,40000.0,1160000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50000.0,,0.0,,30000.0,0.0,120000.0,0.0,0.0,20000.0,20000.0,0.0,20000.0,70000.0,50000.0,0.0,0.0,0.0,0.0,20000.0,0.0,50000.0,0.0,450000.0,0.0,2050000.0,440000.0,0.0,0.0,20000.0,0.0,0.0,10000.0,20000.0,0.0,140000.0
1991,0.0,0.0,20000.0,0.0,20000.0,0.0,0.0,10000.0,40000.0,10000.0,0.0,10000.0,80000.0,0.0,0.0,10000.0,0.0,0.0,80000.0,20000.0,0.0,0.0,700000.0,0.0,0.0,0.0,0.0,0.0,20000.0,90000.0,30000.0,4440000.0,0.0,0.0,0.0,0.0,0.0,240000.0,0.0,0.0,0.0,20000.0,0.0,110000.0,230000.0,0.0,0.0,50000.0,0.0,0.0,0.0,0.0,,20000.0,10000.0,0.0,50000.0,0.0,50000.0,0.0,0.0,120000.0,20000.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,10000.0,380000.0,0.0,50000.0,0.0,0.0,0.0,30000.0,0.0,0.0,70000.0,170000.0,0.0,20000.0,,0.0,0.0,30000.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,0.0,10000.0,0.0,70000.0,0.0,0.0,20000.0,0.0,0.0,,0.0,0.0,,20000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30000.0,10000.0,0.0,0.0,10000.0,0.0,13260000.0,0.0,0.0,40000.0,0.0,0.0,0.0,540000.0,380000.0,0.0,0.0,0.0,50000.0,870000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40000.0,,0.0,,20000.0,0.0,110000.0,0.0,0.0,20000.0,20000.0,0.0,20000.0,50000.0,40000.0,0.0,0.0,0.0,0.0,20000.0,0.0,50000.0,0.0,320000.0,0.0,2340000.0,470000.0,0.0,0.0,20000.0,0.0,0.0,10000.0,20000.0,0.0,150000.0
1992,0.0,0.0,0.0,10000.0,20000.0,0.0,0.0,10000.0,40000.0,10000.0,0.0,10000.0,80000.0,0.0,0.0,10000.0,0.0,0.0,70000.0,20000.0,0.0,0.0,640000.0,0.0,0.0,0.0,0.0,0.0,20000.0,80000.0,20000.0,3920000.0,0.0,0.0,0.0,0.0,0.0,350000.0,0.0,0.0,0.0,30000.0,0.0,60000.0,190000.0,0.0,0.0,50000.0,0.0,0.0,0.0,0.0,0.0,20000.0,0.0,0.0,60000.0,0.0,50000.0,0.0,0.0,100000.0,20000.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,10000.0,360000.0,0.0,60000.0,0.0,0.0,0.0,30000.0,0.0,0.0,70000.0,230000.0,0.0,20000.0,,0.0,0.0,30000.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,10000.0,0.0,10000.0,0.0,0.0,20000.0,0.0,0.0,,0.0,0.0,,20000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30000.0,10000.0,0.0,0.0,10000.0,0.0,12230000.0,0.0,0.0,40000.0,0.0,0.0,0.0,590000.0,370000.0,0.0,0.0,0.0,30000.0,630000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30000.0,,0.0,,10000.0,0.0,110000.0,0.0,0.0,10000.0,20000.0,0.0,20000.0,40000.0,40000.0,0.0,0.0,0.0,0.0,20000.0,0.0,60000.0,0.0,250000.0,0.0,2310000.0,390000.0,0.0,0.0,30000.0,0.0,0.0,10000.0,50000.0,0.0,150000.0
1993,0.0,0.0,0.0,0.0,20000.0,0.0,0.0,10000.0,40000.0,0.0,0.0,10000.0,80000.0,0.0,0.0,0.0,0.0,0.0,60000.0,20000.0,0.0,0.0,630000.0,0.0,0.0,0.0,0.0,0.0,30000.0,20000.0,20000.0,3960000.0,0.0,0.0,0.0,0.0,0.0,270000.0,0.0,0.0,0.0,30000.0,0.0,140000.0,110000.0,0.0,0.0,50000.0,0.0,0.0,0.0,0.0,0.0,20000.0,0.0,0.0,50000.0,0.0,50000.0,0.0,0.0,100000.0,20000.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,310000.0,0.0,50000.0,0.0,0.0,0.0,40000.0,0.0,0.0,60000.0,150000.0,0.0,20000.0,,0.0,0.0,40000.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,10000.0,0.0,10000.0,0.0,0.0,20000.0,0.0,0.0,,0.0,0.0,,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30000.0,10000.0,0.0,0.0,10000.0,0.0,10220000.0,0.0,0.0,40000.0,0.0,0.0,0.0,650000.0,360000.0,0.0,0.0,0.0,20000.0,1020000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30000.0,,0.0,,20000.0,0.0,110000.0,0.0,0.0,10000.0,20000.0,0.0,20000.0,20000.0,20000.0,0.0,0.0,0.0,0.0,20000.0,0.0,80000.0,0.0,220000.0,0.0,150000.0,400000.0,0.0,0.0,30000.0,0.0,0.0,10000.0,50000.0,0.0,150000.0
1994,0.0,0.0,0.0,0.0,20000.0,0.0,0.0,10000.0,40000.0,0.0,0.0,10000.0,90000.0,0.0,0.0,10000.0,0.0,0.0,10000.0,10000.0,0.0,0.0,620000.0,0.0,0.0,0.0,0.0,0.0,30000.0,20000.0,20000.0,4290000.0,0.0,0.0,0.0,0.0,0.0,320000.0,0.0,0.0,0.0,30000.0,0.0,120000.0,110000.0,0.0,0.0,50000.0,0.0,0.0,0.0,0.0,0.0,20000.0,0.0,0.0,50000.0,0.0,50000.0,0.0,0.0,70000.0,20000.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,360000.0,0.0,50000.0,0.0,0.0,0.0,40000.0,0.0,0.0,60000.0,120000.0,0.0,10000.0,,0.0,0.0,50000.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,10000.0,0.0,0.0,20000.0,0.0,0.0,,0.0,0.0,,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30000.0,10000.0,0.0,0.0,10000.0,0.0,10010000.0,0.0,0.0,40000.0,0.0,0.0,0.0,660000.0,350000.0,0.0,0.0,0.0,20000.0,450000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30000.0,,0.0,,10000.0,0.0,100000.0,0.0,0.0,10000.0,20000.0,0.0,20000.0,10000.0,20000.0,0.0,0.0,0.0,0.0,20000.0,0.0,180000.0,0.0,200000.0,0.0,150000.0,400000.0,0.0,0.0,30000.0,0.0,0.0,10000.0,80000.0,0.0,160000.0
1995,0.0,0.0,0.0,0.0,30000.0,0.0,0.0,10000.0,40000.0,0.0,0.0,10000.0,90000.0,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,0.0,640000.0,0.0,0.0,0.0,0.0,0.0,30000.0,20000.0,10000.0,4250000.0,0.0,0.0,0.0,0.0,0.0,310000.0,0.0,0.0,0.0,20000.0,0.0,90000.0,110000.0,0.0,0.0,40000.0,0.0,0.0,0.0,0.0,0.0,20000.0,0.0,0.0,50000.0,0.0,50000.0,0.0,0.0,80000.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,30000.0,20000.0,370000.0,0.0,50000.0,0.0,0.0,0.0,40000.0,0.0,0.0,60000.0,140000.0,0.0,0.0,0.0,0.0,0.0,50000.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,10000.0,0.0,0.0,20000.0,0.0,0.0,,0.0,0.0,,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30000.0,10000.0,0.0,0.0,10000.0,0.0,9590000.0,0.0,0.0,50000.0,0.0,0.0,0.0,640000.0,340000.0,0.0,0.0,0.0,20000.0,590000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,,0.0,,10000.0,0.0,100000.0,0.0,0.0,10000.0,20000.0,0.0,20000.0,10000.0,20000.0,0.0,0.0,0.0,0.0,30000.0,0.0,180000.0,0.0,70000.0,0.0,150000.0,30000.0,0.0,0.0,30000.0,0.0,0.0,10000.0,80000.0,0.0,170000.0
1996,0.0,0.0,0.0,0.0,30000.0,0.0,0.0,10000.0,40000.0,0.0,0.0,10000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,640000.0,0.0,0.0,0.0,0.0,0.0,30000.0,30000.0,30000.0,2630000.0,0.0,0.0,0.0,0.0,0.0,290000.0,0.0,0.0,0.0,30000.0,0.0,30000.0,120000.0,0.0,0.0,40000.0,0.0,0.0,0.0,0.0,0.0,20000.0,0.0,0.0,40000.0,0.0,50000.0,0.0,0.0,80000.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,390000.0,0.0,50000.0,0.0,0.0,0.0,40000.0,0.0,0.0,120000.0,110000.0,0.0,0.0,0.0,0.0,0.0,50000.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,20000.0,0.0,0.0,,0.0,0.0,,10000.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,30000.0,10000.0,0.0,0.0,10000.0,0.0,7770000.0,0.0,0.0,50000.0,0.0,0.0,0.0,670000.0,310000.0,10000.0,0.0,0.0,20000.0,340000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,,0.0,,10000.0,0.0,110000.0,0.0,0.0,10000.0,20000.0,0.0,20000.0,10000.0,20000.0,0.0,0.0,0.0,0.0,30000.0,0.0,180000.0,0.0,60000.0,0.0,150000.0,30000.0,0.0,0.0,20000.0,0.0,0.0,10000.0,70000.0,0.0,200000.0
1997,0.0,0.0,0.0,0.0,30000.0,0.0,0.0,10000.0,40000.0,0.0,0.0,10000.0,90000.0,0.0,0.0,10000.0,0.0,0.0,10000.0,10000.0,0.0,0.0,630000.0,0.0,0.0,0.0,0.0,0.0,30000.0,20000.0,20000.0,4080000.0,0.0,0.0,0.0,0.0,0.0,259999.98,0.0,0.0,0.0,30000.0,0.0,30000.0,129999.99,0.0,0.0,40000.0,0.0,0.0,0.0,0.0,0.0,20000.0,0.0,0.0,40000.0,0.0,50000.0,0.0,0.0,70000.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,440000.0,0.0,40000.0,0.0,0.0,0.0,40000.0,0.0,0.0,129999.99,100000.0,0.0,0.0,0.0,0.0,0.0,50000.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,10000.0,0.0,0.0,20000.0,0.0,0.0,,0.0,0.0,,10000.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,30000.0,10000.0,0.0,0.0,10000.0,10000.0,9090000.0,0.0,0.0,50000.0,0.0,0.0,0.0,600000.0,300000.0,10000.0,0.0,0.0,20000.0,310000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,,0.0,,10000.0,0.0,110000.0,0.0,0.0,10000.0,20000.0,0.0,30000.0,10000.0,20000.0,0.0,0.0,0.0,0.0,30000.0,0.0,190000.0,0.0,50000.0,0.0,150000.0,20000.0,0.0,0.0,20000.0,0.0,0.0,10000.0,60000.0,0.0,190000.0
1998,0.0,0.0,0.0,0.0,30000.0,0.0,0.0,10000.0,40000.0,10000.0,0.0,10000.0,80000.0,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,0.0,610000.0,0.0,0.0,0.0,0.0,0.0,30000.0,20000.0,10000.0,4250000.0,0.0,0.0,0.0,0.0,0.0,259999.98,0.0,0.0,0.0,20000.0,0.0,20000.0,110000.0,0.0,0.0,30000.0,0.0,0.0,0.0,0.0,0.0,20000.0,0.0,0.0,40000.0,0.0,50000.0,0.0,0.0,70000.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,220000.0,0.0,50000.0,0.0,0.0,0.0,40000.0,0.0,0.0,120000.0,100000.0,0.0,10000.0,0.0,0.0,0.0,40000.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,10000.0,0.0,0.0,20000.0,0.0,0.0,,0.0,0.0,,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30000.0,10000.0,0.0,0.0,10000.0,10000.0,8730000.0,0.0,0.0,40000.0,0.0,0.0,0.0,550000.0,290000.0,10000.0,0.0,0.0,20000.0,190000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30000.0,,0.0,,10000.0,0.0,110000.0,0.0,0.0,10000.0,20000.0,0.0,30000.0,10000.0,20000.0,0.0,0.0,0.0,0.0,30000.0,0.0,200000.0,0.0,50000.0,0.0,140000.0,10000.0,0.0,0.0,20000.0,0.0,0.0,10000.0,50000.0,0.0,190000.0
1999,0.0,0.0,10000.0,0.0,30000.0,0.0,0.0,10000.0,40000.0,10000.0,0.0,10000.0,40000.0,0.0,10000.0,10000.0,0.0,0.0,10000.0,10000.0,0.0,0.0,590000.0,0.0,0.0,0.0,0.0,0.0,30000.0,20000.0,10000.0,4010000.2,10000.0,0.0,0.0,0.0,0.0,259999.98,0.0,0.0,0.0,30000.0,0.0,30000.0,90000.0,0.0,0.0,30000.0,0.0,0.0,0.0,0.0,0.0,20000.0,0.0,0.0,40000.0,0.0,50000.0,0.0,0.0,70000.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,30000.0,290000.0,0.0,50000.0,0.0,0.0,0.0,40000.0,0.0,0.0,110000.0,100000.0,0.0,0.0,0.0,0.0,0.0,40000.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,10000.0,0.0,0.0,20000.0,0.0,0.0,,0.0,0.0,,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,10000.0,0.0,0.0,10000.0,10000.0,8720000.0,0.0,0.0,50000.0,0.0,0.0,0.0,570000.0,320000.0,10000.0,0.0,0.0,10000.0,240000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30000.0,,0.0,,10000.0,0.0,80000.0,0.0,0.0,10000.0,20000.0,0.0,30000.0,10000.0,20000.0,0.0,0.0,0.0,0.0,30000.0,0.0,210000.0,0.0,50000.0,0.0,259999.98,10000.0,0.0,0.0,10000.0,0.0,0.0,10000.0,30000.0,0.0,200000.0
