Date,AFG,AGO,ALB,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GTM,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAR,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NER,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,OWID_WRL,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
1990,0.0,10000.0,0.0,50000.0,170000.0,30000.0,0.0,470000.0,90000.0,60000.0,0.0,110000.0,0.0,0.0,10000.0,50000.0,10000.0,0.0,10000.0,80000.0,0.0,10000.0,340000.0,0.0,0.0,0.0,0.0,0.0,910000.0,120000.0,50000.0,580000.0,10000.0,10000.0,10000.0,0.0,0.0,150000.0,0.0,0.0,10000.0,40000.0,10000.0,40000.0,1070000.0,0.0,0.0,60000.0,20000.0,80000.0,50000.0,80000.0,,310000.0,20000.0,0.0,70000.0,0.0,650000.0,0.0,0.0,830000.0,20000.0,10000.0,0.0,0.0,0.0,0.0,90000.0,0.0,10000.0,0.0,10000.0,30000.0,0.0,60000.0,180000.0,180000.0,30000.0,220000.0,120000.0,0.0,50000.0,600000.0,10000.0,10000.0,1330000.0,120000.0,10000.0,40000.0,,0.0,0.0,200000.0,30000.0,,20000.0,0.0,40000.0,0.0,10000.0,0.0,40000.0,20000.0,20000.0,20000.0,30000.0,0.0,0.0,660000.0,0.0,10000.0,,0.0,10000.0,,10000.0,0.0,0.0,0.0,0.0,100000.0,,0.0,90000.0,0.0,0.0,190000.0,60000.0,0.0,0.0,70000.0,20000.0,26240000.0,40000.0,10000.0,40000.0,60000.0,0.0,0.0,110000.0,30000.0,50000.0,10000.0,10000.0,70000.0,1290000.0,0.0,250000.0,10000.0,0.0,20000.0,0.0,0.0,10000.0,0.0,20000.0,,0.0,,20000.0,20000.0,140000.0,0.0,0.0,40000.0,0.0,0.0,120000.0,10000.0,30000.0,0.0,0.0,10000.0,10000.0,120000.0,0.0,0.0,0.0,290000.0,10000.0,10200000.0,80000.0,0.0,250000.0,20000.0,0.0,0.0,30000.0,210000.0,0.0,10000.0
1991,0.0,10000.0,0.0,50000.0,190000.0,30000.0,0.0,460000.0,100000.0,50000.0,0.0,110000.0,0.0,0.0,10000.0,20000.0,10000.0,0.0,10000.0,90000.0,0.0,10000.0,360000.0,0.0,10000.0,0.0,0.0,0.0,890000.0,129999.99,50000.0,670000.0,10000.0,10000.0,0.0,0.0,0.0,150000.0,0.0,0.0,10000.0,20000.0,10000.0,40000.0,1080000.0,0.0,0.0,60000.0,20000.0,90000.0,50000.0,80000.0,,330000.0,20000.0,0.0,70000.0,0.0,650000.0,0.0,0.0,820000.0,20000.0,10000.0,0.0,0.0,0.0,0.0,90000.0,0.0,10000.0,0.0,10000.0,20000.0,0.0,50000.0,190000.0,180000.0,30000.0,240000.0,100000.0,0.0,50000.0,620000.0,10000.0,10000.0,1380000.0,140000.0,10000.0,20000.0,,0.0,0.0,230000.0,20000.0,,20000.0,0.0,40000.0,0.0,10000.0,0.0,40000.0,20000.0,20000.0,20000.0,20000.0,0.0,0.0,710000.0,0.0,10000.0,,0.0,10000.0,,10000.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,120000.0,0.0,0.0,190000.0,60000.0,0.0,0.0,70000.0,20000.0,26490000.0,40000.0,10000.0,40000.0,50000.0,0.0,0.0,129999.99,20000.0,60000.0,10000.0,10000.0,60000.0,1210000.0,0.0,259999.98,10000.0,0.0,20000.0,0.0,0.0,10000.0,0.0,20000.0,,0.0,,10000.0,20000.0,140000.0,0.0,0.0,50000.0,0.0,0.0,129999.99,10000.0,30000.0,0.0,0.0,10000.0,10000.0,120000.0,0.0,0.0,0.0,350000.0,10000.0,10120000.0,70000.0,0.0,259999.98,20000.0,0.0,0.0,30000.0,220000.0,0.0,10000.0
1992,0.0,10000.0,0.0,50000.0,210000.0,20000.0,0.0,480000.0,100000.0,40000.0,0.0,110000.0,0.0,0.0,10000.0,30000.0,10000.0,0.0,0.0,80000.0,0.0,10000.0,370000.0,0.0,10000.0,0.0,10000.0,0.0,910000.0,129999.99,60000.0,770000.0,10000.0,10000.0,0.0,0.0,0.0,160000.0,0.0,0.0,10000.0,20000.0,10000.0,50000.0,1090000.0,0.0,0.0,60000.0,20000.0,90000.0,50000.0,80000.0,0.0,350000.0,10000.0,0.0,70000.0,0.0,640000.0,0.0,0.0,830000.0,10000.0,10000.0,0.0,0.0,0.0,0.0,100000.0,0.0,10000.0,0.0,10000.0,20000.0,0.0,50000.0,200000.0,190000.0,30000.0,259999.98,129999.99,0.0,60000.0,660000.0,10000.0,20000.0,1400000.0,129999.99,10000.0,20000.0,,0.0,0.0,270000.0,40000.0,,30000.0,0.0,40000.0,0.0,10000.0,0.0,20000.0,20000.0,20000.0,20000.0,10000.0,0.0,0.0,720000.0,0.0,10000.0,,0.0,10000.0,,10000.0,0.0,0.0,0.0,0.0,110000.0,10000.0,0.0,140000.0,0.0,0.0,200000.0,60000.0,0.0,0.0,70000.0,20000.0,27110000.0,50000.0,10000.0,40000.0,60000.0,0.0,0.0,129999.99,20000.0,60000.0,10000.0,10000.0,50000.0,1200000.0,0.0,290000.0,10000.0,0.0,20000.0,0.0,0.0,10000.0,0.0,10000.0,,0.0,,20000.0,20000.0,150000.0,0.0,0.0,40000.0,0.0,0.0,140000.0,0.0,30000.0,0.0,0.0,10000.0,10000.0,129999.99,0.0,0.0,0.0,200000.0,10000.0,10390000.0,50000.0,0.0,259999.98,20000.0,0.0,0.0,30000.0,220000.0,0.0,10000.0
1993,0.0,10000.0,0.0,50000.0,230000.0,10000.0,0.0,490000.0,90000.0,30000.0,0.0,110000.0,0.0,0.0,10000.0,30000.0,10000.0,0.0,0.0,60000.0,0.0,10000.0,390000.0,0.0,10000.0,0.0,10000.0,0.0,910000.0,120000.0,60000.0,920000.0,10000.0,10000.0,0.0,0.0,0.0,160000.0,0.0,0.0,20000.0,10000.0,10000.0,50000.0,1100000.0,0.0,0.0,60000.0,20000.0,90000.0,50000.0,80000.0,0.0,340000.0,10000.0,0.0,70000.0,0.0,630000.0,0.0,0.0,820000.0,10000.0,10000.0,0.0,0.0,0.0,0.0,100000.0,0.0,10000.0,0.0,10000.0,20000.0,0.0,50000.0,210000.0,200000.0,30000.0,290000.0,129999.99,0.0,60000.0,690000.0,10000.0,20000.0,1430000.0,110000.0,10000.0,10000.0,,0.0,0.0,310000.0,40000.0,,40000.0,0.0,40000.0,0.0,10000.0,0.0,20000.0,20000.0,20000.0,20000.0,10000.0,0.0,0.0,730000.0,0.0,10000.0,,0.0,10000.0,,10000.0,0.0,0.0,0.0,0.0,120000.0,10000.0,0.0,120000.0,0.0,0.0,200000.0,60000.0,0.0,0.0,70000.0,20000.0,27420000.0,50000.0,10000.0,40000.0,70000.0,0.0,0.0,140000.0,20000.0,70000.0,10000.0,10000.0,40000.0,1010000.0,0.0,320000.0,10000.0,0.0,20000.0,0.0,0.0,10000.0,0.0,10000.0,,0.0,,20000.0,20000.0,140000.0,0.0,0.0,40000.0,0.0,0.0,160000.0,0.0,20000.0,0.0,0.0,10000.0,10000.0,150000.0,0.0,0.0,0.0,160000.0,10000.0,10540000.0,50000.0,0.0,280000.0,30000.0,0.0,0.0,30000.0,230000.0,0.0,10000.0
1994,0.0,10000.0,0.0,50000.0,230000.0,0.0,0.0,510000.0,90000.0,30000.0,0.0,110000.0,0.0,0.0,10000.0,30000.0,10000.0,0.0,0.0,40000.0,0.0,10000.0,420000.0,0.0,10000.0,0.0,10000.0,0.0,940000.0,120000.0,70000.0,840000.0,10000.0,10000.0,0.0,0.0,0.0,150000.0,0.0,0.0,20000.0,10000.0,10000.0,60000.0,1050000.0,0.0,0.0,70000.0,20000.0,80000.0,50000.0,80000.0,0.0,360000.0,10000.0,0.0,70000.0,0.0,610000.0,0.0,0.0,790000.0,10000.0,10000.0,0.0,0.0,0.0,0.0,100000.0,0.0,10000.0,0.0,10000.0,20000.0,0.0,50000.0,240000.0,210000.0,40000.0,310000.0,129999.99,0.0,70000.0,710000.0,10000.0,20000.0,1490000.0,80000.0,10000.0,0.0,,0.0,0.0,350000.0,50000.0,,40000.0,0.0,50000.0,0.0,10000.0,0.0,20000.0,20000.0,20000.0,20000.0,10000.0,0.0,0.0,770000.0,0.0,10000.0,,0.0,10000.0,,10000.0,0.0,0.0,0.0,0.0,129999.99,10000.0,0.0,100000.0,0.0,0.0,200000.0,60000.0,0.0,0.0,70000.0,20000.0,27900000.0,50000.0,10000.0,40000.0,70000.0,0.0,0.0,150000.0,10000.0,70000.0,10000.0,10000.0,50000.0,970000.0,0.0,330000.0,10000.0,0.0,20000.0,0.0,0.0,10000.0,0.0,10000.0,,0.0,,20000.0,30000.0,140000.0,0.0,0.0,40000.0,0.0,0.0,170000.0,0.0,20000.0,0.0,0.0,10000.0,10000.0,150000.0,0.0,0.0,0.0,150000.0,10000.0,10840000.0,40000.0,0.0,290000.0,40000.0,0.0,0.0,30000.0,240000.0,0.0,10000.0
1995,0.0,10000.0,0.0,60000.0,230000.0,0.0,0.0,530000.0,90000.0,30000.0,0.0,110000.0,0.0,0.0,10000.0,40000.0,10000.0,0.0,0.0,40000.0,0.0,20000.0,490000.0,0.0,10000.0,0.0,10000.0,0.0,940000.0,120000.0,80000.0,910000.0,10000.0,10000.0,0.0,0.0,0.0,180000.0,0.0,0.0,20000.0,10000.0,10000.0,60000.0,1060000.0,0.0,0.0,70000.0,30000.0,80000.0,50000.0,80000.0,0.0,340000.0,10000.0,10000.0,70000.0,0.0,590000.0,0.0,0.0,770000.0,0.0,10000.0,0.0,0.0,0.0,0.0,100000.0,0.0,20000.0,0.0,10000.0,20000.0,0.0,50000.0,259999.98,240000.0,40000.0,310000.0,129999.99,0.0,70000.0,740000.0,10000.0,20000.0,1530000.0,70000.0,10000.0,10000.0,10000.0,0.0,0.0,390000.0,50000.0,,40000.0,0.0,60000.0,0.0,10000.0,0.0,20000.0,20000.0,10000.0,20000.0,10000.0,0.0,0.0,720000.0,0.0,10000.0,,0.0,10000.0,,10000.0,0.0,0.0,0.0,0.0,150000.0,10000.0,0.0,100000.0,0.0,0.0,200000.0,60000.0,0.0,0.0,80000.0,20000.0,28600000.0,50000.0,10000.0,40000.0,90000.0,0.0,0.0,160000.0,10000.0,70000.0,10000.0,10000.0,40000.0,910000.0,0.0,320000.0,10000.0,0.0,30000.0,0.0,0.0,10000.0,0.0,10000.0,,0.0,,20000.0,30000.0,150000.0,0.0,0.0,40000.0,0.0,0.0,200000.0,0.0,20000.0,0.0,0.0,10000.0,10000.0,160000.0,0.0,0.0,0.0,160000.0,10000.0,11100000.0,40000.0,0.0,300000.0,30000.0,0.0,0.0,40000.0,270000.0,0.0,10000.0
1996,0.0,0.0,0.0,60000.0,280000.0,0.0,0.0,540000.0,90000.0,20000.0,0.0,110000.0,0.0,0.0,10000.0,30000.0,10000.0,0.0,0.0,50000.0,0.0,20000.0,560000.0,0.0,10000.0,0.0,10000.0,0.0,950000.0,120000.0,80000.0,1100000.0,10000.0,10000.0,0.0,0.0,0.0,180000.0,0.0,0.0,20000.0,10000.0,10000.0,70000.0,1060000.0,0.0,0.0,70000.0,30000.0,80000.0,50000.0,90000.0,0.0,360000.0,10000.0,10000.0,60000.0,0.0,580000.0,0.0,0.0,790000.0,20000.0,10000.0,0.0,0.0,0.0,0.0,110000.0,0.0,20000.0,0.0,10000.0,20000.0,0.0,50000.0,280000.0,250000.0,40000.0,330000.0,129999.99,10000.0,70000.0,760000.0,10000.0,20000.0,1560000.0,70000.0,10000.0,10000.0,10000.0,0.0,0.0,430000.0,50000.0,,40000.0,0.0,60000.0,0.0,10000.0,0.0,20000.0,20000.0,10000.0,20000.0,10000.0,0.0,0.0,720000.0,0.0,10000.0,,0.0,10000.0,,10000.0,0.0,0.0,0.0,0.0,170000.0,10000.0,0.0,110000.0,0.0,0.0,210000.0,60000.0,0.0,0.0,80000.0,20000.0,29480000.0,70000.0,10000.0,50000.0,100000.0,0.0,0.0,180000.0,10000.0,70000.0,10000.0,10000.0,50000.0,860000.0,0.0,330000.0,10000.0,0.0,30000.0,0.0,0.0,10000.0,0.0,20000.0,,0.0,,20000.0,30000.0,140000.0,0.0,0.0,40000.0,0.0,0.0,210000.0,0.0,20000.0,0.0,0.0,10000.0,10000.0,180000.0,0.0,0.0,0.0,150000.0,10000.0,11290000.0,50000.0,0.0,310000.0,30000.0,0.0,0.0,30000.0,250000.0,0.0,10000.0
1997,0.0,10000.0,0.0,60000.0,270000.0,0.0,0.0,550000.0,80000.0,20000.0,0.0,110000.0,10000.0,0.0,10000.0,30000.0,10000.0,0.0,0.0,50000.0,0.0,20000.0,600000.0,0.0,10000.0,0.0,10000.0,0.0,970000.0,120000.0,80000.0,1060000.0,10000.0,10000.0,0.0,0.0,0.0,190000.0,0.0,0.0,20000.0,20000.0,10000.0,70000.0,1060000.0,0.0,0.0,70000.0,30000.0,80000.0,50000.0,90000.0,0.0,360000.0,10000.0,10000.0,70000.0,0.0,570000.0,0.0,0.0,780000.0,20000.0,10000.0,0.0,0.0,0.0,0.0,110000.0,0.0,20000.0,0.0,10000.0,20000.0,0.0,50000.0,320000.0,259999.98,40000.0,340000.0,129999.99,0.0,70000.0,760000.0,10000.0,20000.0,1590000.0,60000.0,10000.0,10000.0,10000.0,0.0,0.0,450000.0,50000.0,,40000.0,0.0,60000.0,0.0,10000.0,0.0,20000.0,20000.0,10000.0,20000.0,10000.0,0.0,0.0,750000.0,0.0,10000.0,,0.0,10000.0,,10000.0,0.0,0.0,0.0,0.0,180000.0,10000.0,0.0,150000.0,10000.0,0.0,210000.0,60000.0,0.0,0.0,80000.0,20000.0,30040000.0,70000.0,10000.0,50000.0,100000.0,0.0,0.0,190000.0,10000.0,70000.0,10000.0,10000.0,60000.0,850000.0,0.0,340000.0,10000.0,0.0,20000.0,0.0,0.0,10000.0,0.0,40000.0,,0.0,,20000.0,30000.0,140000.0,0.0,0.0,40000.0,0.0,0.0,220000.0,0.0,20000.0,0.0,0.0,10000.0,10000.0,200000.0,0.0,0.0,0.0,190000.0,10000.0,11450000.0,50000.0,0.0,290000.0,40000.0,0.0,0.0,30000.0,259999.98,0.0,10000.0
1998,0.0,0.0,0.0,60000.0,290000.0,0.0,0.0,560000.0,90000.0,20000.0,0.0,110000.0,10000.0,0.0,10000.0,30000.0,10000.0,0.0,10000.0,50000.0,0.0,20000.0,640000.0,0.0,10000.0,0.0,10000.0,0.0,990000.0,129999.99,90000.0,1050000.0,10000.0,10000.0,0.0,0.0,0.0,180000.0,0.0,0.0,20000.0,10000.0,10000.0,70000.0,1070000.0,0.0,0.0,70000.0,40000.0,80000.0,50000.0,100000.0,0.0,370000.0,10000.0,10000.0,70000.0,0.0,580000.0,0.0,0.0,770000.0,10000.0,20000.0,0.0,0.0,0.0,0.0,120000.0,0.0,20000.0,0.0,10000.0,30000.0,0.0,50000.0,320000.0,270000.0,50000.0,380000.0,129999.99,0.0,70000.0,780000.0,20000.0,20000.0,1620000.0,60000.0,10000.0,10000.0,10000.0,0.0,0.0,400000.0,50000.0,,50000.0,0.0,60000.0,0.0,10000.0,0.0,20000.0,20000.0,10000.0,20000.0,10000.0,0.0,0.0,770000.0,0.0,10000.0,,0.0,10000.0,,10000.0,0.0,0.0,0.0,0.0,190000.0,10000.0,0.0,129999.99,10000.0,0.0,210000.0,60000.0,0.0,0.0,80000.0,20000.0,30710000.0,70000.0,10000.0,50000.0,110000.0,0.0,0.0,200000.0,10000.0,80000.0,10000.0,20000.0,60000.0,890000.0,0.0,350000.0,10000.0,0.0,20000.0,0.0,0.0,10000.0,0.0,30000.0,,0.0,,20000.0,30000.0,140000.0,0.0,0.0,50000.0,0.0,0.0,210000.0,0.0,20000.0,0.0,0.0,10000.0,10000.0,210000.0,0.0,0.0,10000.0,180000.0,10000.0,11800000.0,60000.0,0.0,300000.0,40000.0,0.0,0.0,40000.0,259999.98,0.0,10000.0
1999,0.0,10000.0,0.0,60000.0,280000.0,0.0,0.0,570000.0,80000.0,10000.0,0.0,110000.0,10000.0,0.0,10000.0,30000.0,10000.0,0.0,10000.0,40000.0,0.0,20000.0,620000.0,0.0,10000.0,0.0,10000.0,0.0,1010000.0,129999.99,90000.0,1090000.0,10000.0,10000.0,0.0,0.0,0.0,160000.0,0.0,0.0,20000.0,10000.0,10000.0,70000.0,1080000.0,0.0,0.0,70000.0,40000.0,80000.0,50000.0,100000.0,0.0,370000.0,10000.0,10000.0,70000.0,0.0,580000.0,0.0,0.0,800000.0,10000.0,20000.0,0.0,0.0,0.0,0.0,120000.0,0.0,30000.0,0.0,10000.0,30000.0,0.0,50000.0,320000.0,290000.0,50000.0,400000.0,129999.99,0.0,80000.0,760000.0,20000.0,20000.0,1650000.0,50000.0,10000.0,10000.0,10000.0,0.0,0.0,450000.0,60000.0,,40000.0,0.0,60000.0,0.0,10000.0,0.0,20000.0,20000.0,10000.0,20000.0,10000.0,0.0,0.0,800000.0,0.0,10000.0,,0.0,10000.0,,10000.0,0.0,0.0,0.0,0.0,220000.0,10000.0,0.0,150000.0,10000.0,0.0,200000.0,60000.0,0.0,0.0,80000.0,20000.0,31290000.0,70000.0,10000.0,50000.0,110000.0,0.0,0.0,230000.0,0.0,80000.0,10000.0,20000.0,50000.0,890000.0,0.0,360000.0,10000.0,0.0,30000.0,0.0,0.0,10000.0,0.0,10000.0,,0.0,,20000.0,30000.0,140000.0,0.0,0.0,30000.0,0.0,0.0,210000.0,0.0,20000.0,0.0,0.0,10000.0,20000.0,210000.0,0.0,0.0,10000.0,140000.0,10000.0,12080000.0,60000.0,0.0,300000.0,40000.0,0.0,0.0,40000.0,259999.98,0.0,20000.0
