Date,AFG,AGO,ALB,AND,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GTM,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAR,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NER,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,OWID_WRL,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
1850,,,,,,,0.03696985,,0.34058985,0.2210217,0.14853567,,0.48985764,,,,,,,,1.4144735,,,,,,,,,2.5006752,,0.36346677,,,,,,,,,,,,,,1.4228777,,,0.30698833,,,,,,1.0845003,0.5136035,,,,2.1650167,,,4.6160274,0.32445735,,,,,,,,,,,,,,,,0.16644144,,,,,,,,,0.76568913,,0.05655558,,,,,,,,,,,,,,0.7911685,,0.39887676,,0.16183461,,,,,,,,,,,,,,,,,,,,,0.34666944,0.51024604,,,0.35470182,,100.00001,,,,,,,1.4894625,,,,,,,19.40055,,,,,,,,,,,,,,,,0.9707655,,,,,,,0.018911613,0.01848406,,,,,,,,,1.7744576,,28.840714,0.06793088,,,,,,,,,
1851,,,,,,,,,0.3971543,0.20825802,,,0.4874049,,,,,,,,,,,,,,,,,3.2499673,,0.3210762,,,,,,,,,,,,,,1.3512044,,,0.29908565,,,,,,0.9582432,,,,,1.8576123,,,4.0459924,,,,,,,,,,,,,,0.5270384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32244498,0.47929275,,,0.34970444,,100.0,,,,,,,1.4441137,,,,,,,,,,,,,,,,,,,,,,,0.92009056,,,,,,,,,,,,,,,,,,,29.366634,,,,,,,,,,
1852,,,,,,,,,0.22540805,0.21978545,,,0.5124817,,,,,,,,,,,,,,,,,3.6547875,,0.3280651,,,,,,,,,,,,,,1.4041836,,,0.3052969,,,,,,0.91084373,,,,,1.7660764,,,3.8684464,,,,,,,,,,,,,,0.50560343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33342576,0.47131228,,,0.37620658,,99.99999,,,,,,,1.4707192,,,,,,,,,,,,,,,,,,,,,,,0.91965145,,,,,,,,,,,,,,,,,,,30.705236,,,,,,,,,,
1853,,,,,,,,,0.37912524,0.22752498,,,0.52713704,,,,,,,,,,,,,,,,,2.7867491,,0.32739848,,,,,,,,,,,,,,1.4187553,,,0.30817595,,,,,,0.874156,,,,,1.7403995,,,3.744763,,,,,,,,,,,,,,0.48309514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3511607,0.46397984,,,0.31773126,,100.0,,,,,,,1.4584291,,,,,,,,,,,,,,,,,,,,,,,0.9068381,,,,,,,,,,,,,,,,,,,30.588255,,,,,,,,,,
1854,,,,,,,,,0.39559639,0.22171515,,,0.5672736,,,,,,,,,,,,,,,,,2.347158,,0.3689085,,,,,,,,,,,,,,1.4930516,,,0.31612167,,,,,,0.8401885,,,,,1.765659,,,4.419671,,,,,,,,,,,,,,0.46411014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.40947747,0.4584498,,,0.3082432,,100.0,,,,,,,1.4513462,,,,,,,,,,,,,,,,,,,,,,,0.9042173,,,,,,,,,,,,,,,,,,,31.425034,,,,,,,,,,
1855,,,,,,,0.031845722,,0.43779328,0.23885602,0.13225311,,0.56870675,,,,,,,,1.2561334,,,,,,,,,2.2799551,,0.29158613,,,,,,,,,,,,,,1.6107095,,,0.32117513,,,,,,0.8340519,0.46814895,,,,1.810649,,,4.103328,0.28311613,,,,,,,,,,,,,0.44967857,,,,,,,,,,,,0.70555496,,0.052641455,,,,,,,,,,,,,,0.73116076,,0.3638665,,0.111804426,,,,,,,,,,,,,,,,,,,,,0.36227807,0.4640426,,,0.31497076,,99.99999,,,,,,,1.4915868,,,,,,,19.166134,,,,,,,,,,,,,,,,0.92509216,,,,,,,0.017513173,0.01717454,,,,,,,,,2.0628917,,32.259483,0.06310898,,,,,,,,,
1856,,,,,,0.38368735,,,0.25122207,0.24936432,,,0.5567974,,,,,,,,,,,1.4401727,,,,,,2.3570776,,0.32844353,,,,,,,0.9198081,,,,0.1163525,,,1.625573,,,0.32317173,,,,,,0.7990823,,,,,1.7083488,,,4.179043,,,,,,,,,,,,,,0.4246448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6567568,,,,,,,,,,,,,,,,,,0.3592562,0.44933268,,,0.20210999,,100.0,,,0.25276473,,,,1.4435256,,,,,,,,,,,,,,,,,,,,,,,0.9070491,,,,,,,,,,,,,,,,,,0.07675659,32.17451,,,,,,,,,,
1857,,,,,,0.38912424,,,0.4907105,0.2700503,,,0.58231586,,,,,,,,,,,1.4430102,,,,,,2.9619029,,0.34549555,,,,,,,0.9467232,,,,0.11349331,,,1.6733495,,,0.32918635,,,,,,0.7933242,,,,,1.654751,,,4.071992,,,,,,,,,,,,,,0.41769093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6719924,,,,,,,,,,,,,,,,,,0.34919953,0.45297784,,,0.27731645,,100.0,,,0.23544973,,,,1.4560963,,,,,,,,,,,,,,,,,,,,,,,0.9197127,,,,,,,,,,,,,,,,,,0.081080765,32.762722,,,,,,,,,,
1858,,,,,,0.39264,0.03028201,,0.47201428,0.34160146,0.1265785,,0.589575,,,,,,,,1.2255063,,,1.3484857,,,,,,3.3818166,0.109527424,0.4257715,,,,,,,0.7557377,,,,0.109505124,,,1.7230134,,,0.3223407,,,,,,0.7865439,0.45830312,,,,1.5570904,,,3.9048655,0.27150828,,,,,,,,,,,,,0.39461315,,3.931411,,,,,,,,,,0.68143255,,0.051292486,,,,,,,,,,,,,,0.71232325,,0.35784048,,0.09684745,,,0.64741397,,,,,,,,,,,,,,,,,,0.3272843,0.44626173,,,0.27201262,,100.0,,,0.1683241,,,,1.4571029,,,,,,0.7559316,18.774801,,,,,,,,,,,,,,,,0.91259557,,,,,,,0.016854865,0.016634226,,,,,,,,,2.1338785,0.08535447,33.446365,0.06119005,,,,,,,,,
1859,,,,,,0.3848738,0.029462207,,0.33571264,0.28979874,0.12221173,,0.57076216,,,,,,,,1.1910369,,,0.9895594,,,,,,3.6883745,0.10023113,0.38521737,,,,,,,0.8205285,,,,0.10428606,,,1.6158451,,,0.32616735,,,,,,0.77321696,0.45105666,,,,1.4397668,,,4.201727,0.26595595,,,,,,,,,,,,,0.38840908,,3.6820278,,,,,,,,,,0.6665134,,0.050220534,,,,,,,,,,,,,,0.70429885,,0.35117573,,0.09184551,,,0.62613016,,,,,,,,,,,,,,,,,,0.30348644,0.43809366,,,0.2606742,,100.0,,,0.24949555,,,,1.4073799,,,,,,0.739887,18.03937,,,,,,,,,,,,,,,,0.91764086,,,,,,,0.01647718,0.016253332,,,,,,,,,2.1249259,0.08455973,33.93109,0.059813045,,,,,,,,,
