Date,ARE,AUS,AUT,AZE,BEL,BGR,CAN,CHE,CYP,CZE,DEU,DNK,ESP,EST,FIN,FRA,GBR,GRC,HRV,HUN,IRL,ISL,ISR,ITA,JPN,KAZ,KOR,KWT,LIE,LTU,LUX,LVA,MCO,MLT,NLD,NOR,NZL,POL,PRT,QAT,ROU,RUS,SAU,SVK,SVN,SWE,THA,TLS,TUR,TWN,USA
1960,,669824200.0,1442955.0,,1028772740.0,,525943100.0,73139464.0,,,1784010400.0,90761470.0,,,,7215147500.0,4306214400.0,,,,,,,924880640.0,1153335400.0,,,,,,,,,,507410720.0,89252184.0,,,13100871.0,,,,,,,52656320.0,,,,,21011476000.0
1961,,798427900.0,39868636.0,,928310340.0,,509529540.0,158655180.0,,,2689712400.0,133244250.0,,,18729978.0,7676629500.0,4668389400.0,,,,,,,700369600.0,1099190900.0,,,,,,,,,,755551940.0,113844664.0,102957600.0,,449765120.0,,,,,,,64120644.0,,,,,22796593000.0
1962,,824690750.0,30333656.0,,690806850.0,,364893800.0,93093400.0,,,2849616100.0,79996620.0,,,20858400.0,7630354000.0,4144592000.0,,,,,,,889333800.0,831660350.0,,,,,,,,,,842511400.0,116577130.0,81108440.0,,,,,,,,,135452770.0,,,,,24689527000.0
1963,,1040219840.0,53519732.0,,767126140.0,,558887500.0,112275280.0,,,2646292500.0,106697760.0,,,25404622.0,6282825700.0,4031423000.0,,,,,,,720589060.0,1277685400.0,,,,,,,,,,467596770.0,153160450.0,84266550.0,,,,,,,,,164209700.0,,,,,26346123000.0
1964,,1054626240.0,81493816.0,,654207400.0,,655441150.0,158112580.0,,,3021521700.0,155366690.0,,,22003100.0,6098046500.0,4645243400.0,,,,,,,460307870.0,1017732900.0,,,,,,,,,,560067840.0,141985010.0,91404824.0,,,,,,,,,223662220.0,,,,,26106448000.0
1965,,1218380800.0,127273340.0,,883893100.0,,781973500.0,195757540.0,,,2908814000.0,124270550.0,,,16114437.0,5377925600.0,4190053000.0,,,,,,,557213500.0,2031543200.0,,,,,,,,,,747685500.0,159913260.0,91502800.0,,,,,,,,,245570000.0,,,,,28632840000.0
1966,,1313583200.0,142086200.0,,638426900.0,,1486416400.0,205612880.0,,,2589025000.0,219002300.0,,,26166058.0,5183962000.0,4100580600.0,,,,,,,711647900.0,2262719500.0,,,,,,,,,,958467700.0,190414510.0,93890070.0,,216754270.0,,,,2161867800.0,,,346118800.0,,,,,26447696000.0
1967,,1546114200.0,165011250.0,,719561400.0,,1439482600.0,196832060.0,,,3083260000.0,260851710.0,,,31309340.0,5584055000.0,4078011400.0,,,,,,,1365087200.0,2895860700.0,,,,,,,,,,1109019800.0,190853580.0,92566030.0,,468709120.0,,,,,,,344856100.0,,,,,22177898000.0
1968,,1485076700.0,174353470.0,,698570800.0,,1378330100.0,354845060.0,,,3303252000.0,292521700.0,,,38464804.0,5561466400.0,3824157400.0,,,,,,,1265765100.0,2519947500.0,,,,,,,,,,1164166700.0,334665100.0,108692350.0,,,,,,,,,402160350.0,,,,,24765995000.0
1969,,1651905900.0,147232160.0,,889247900.0,,1456848500.0,426711460.0,,,3243907300.0,518024960.0,,,107526080.0,6088823000.0,4116387600.0,,,,,,,1086126600.0,2917419300.0,,,,,,,,,,1261081300.0,357175140.0,126460904.0,,,,,,,,,656926100.0,,,,,20769087000.0
