Date,AFG,AGO,ALB,AND,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESH,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GTM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NER,NGA,NIC,NLD,NOR,NPL,NRU,NZL,OMN,OWID_ABK,OWID_CYN,OWID_KOS,OWID_NAG,OWID_SML,OWID_SOS,OWID_SRM,OWID_TRS,PAK,PAN,PER,PHL,PLW,PNG,POL,PRI,PRK,PRT,PRY,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
2003,14.0,22.0,42.0,58.0,16.0,46.0,32.0,46.0,57.0,59.0,24.0,17.0,59.0,49.0,33.0,33.0,50.0,21.0,57.0,34.0,14.0,51.0,42.0,42.0,59.0,23.0,17.0,48.0,25.0,59.0,60.0,56.0,10.0,,14.0,13.0,30.0,34.0,28.0,53.0,52.0,7.0,57.0,52.0,58.0,24.0,53.0,59.0,46.0,22.0,40.0,16.0,12.0,8.0,53.0,52.0,20.0,60.0,41.0,57.0,55.0,32.0,58.0,32.0,44.0,25.0,33.0,28.0,14.0,50.0,50.0,30.0,45.0,43.0,40.0,48.0,12.0,52.0,34.0,41.0,58.0,15.0,18.0,60.0,43.0,54.0,43.0,25.0,52.0,20.0,39.0,24.0,23.0,56.0,50.0,49.0,24.0,11.0,24.0,16.0,5.0,48.0,59.0,37.0,41.0,52.0,60.0,50.0,24.0,56.0,32.0,37.0,23.0,44.0,55.0,38.0,45.0,59.0,7.0,47.0,49.0,34.0,24.0,52.0,32.0,28.0,43.0,33.0,26.0,37.0,60.0,60.0,28.0,54.0,57.0,17.0,21.0,45.0,23.0,21.0,,,47.0,16.0,24.0,44.0,42.0,42.0,53.0,43.0,52.0,52.0,0.0,58.0,38.0,15.0,47.0,25.0,20.0,6.0,7.0,41.0,29.0,41.0,36.0,43.0,60.0,7.0,47.0,,48.0,46.0,51.0,54.0,60.0,19.0,42.0,6.0,18.0,24.0,43.0,19.0,2.0,39.0,41.0,43.0,19.0,33.0,54.0,52.0,36.0,30.0,30.0,54.0,56.0,9.0,53.0,32.0,12.0,48.0,47.0,23.0,52.0,33.0,14.0
2004,14.0,22.0,40.0,58.0,15.0,48.0,28.0,47.0,57.0,59.0,22.0,17.0,59.0,49.0,34.0,32.0,51.0,21.0,57.0,37.0,14.0,52.0,43.0,43.0,59.0,24.0,18.0,48.0,24.0,59.0,60.0,56.0,15.0,,16.0,13.0,30.0,34.0,29.0,53.0,54.0,7.0,57.0,56.0,59.0,24.0,53.0,59.0,46.0,25.0,41.0,18.0,11.0,10.0,53.0,55.0,21.0,60.0,41.0,57.0,56.0,31.0,58.0,34.0,47.0,22.0,34.0,30.0,13.0,52.0,50.0,30.0,44.0,48.0,40.0,48.0,14.0,55.0,34.0,42.0,58.0,15.0,19.0,60.0,43.0,53.0,42.0,27.0,52.0,22.0,40.0,25.0,23.0,56.0,50.0,49.0,24.0,12.0,25.0,28.0,6.0,48.0,59.0,36.0,41.0,52.0,60.0,51.0,27.0,55.0,33.0,37.0,22.0,44.0,55.0,37.0,44.0,59.0,6.0,47.0,49.0,34.0,23.0,53.0,34.0,30.0,42.0,35.0,26.0,38.0,59.0,60.0,25.0,55.0,57.0,17.0,21.0,45.0,19.0,21.0,,,47.0,17.0,23.0,44.0,41.0,42.0,54.0,38.0,54.0,52.0,0.0,57.0,38.0,17.0,44.0,25.0,20.0,5.0,6.0,42.0,34.0,42.0,35.0,43.0,60.0,7.0,47.0,,48.0,47.0,53.0,53.0,60.0,19.0,42.0,7.0,18.0,25.0,39.0,21.0,2.0,37.0,41.0,43.0,18.0,38.0,56.0,54.0,36.0,30.0,36.0,55.0,55.0,9.0,53.0,34.0,15.0,48.0,48.0,22.0,52.0,34.0,14.0
2005,19.0,21.0,38.0,57.0,15.0,50.0,28.0,47.0,57.0,58.0,23.0,24.0,58.0,48.0,36.0,31.0,51.0,22.0,58.0,39.0,10.0,52.0,43.0,45.0,59.0,23.0,20.0,47.0,27.0,59.0,59.0,57.0,15.0,15.0,16.0,12.0,25.0,36.0,30.0,53.0,54.0,7.0,57.0,55.0,58.0,23.0,54.0,58.0,46.0,25.0,41.0,22.0,11.0,10.0,57.0,56.0,21.0,60.0,42.0,55.0,56.0,30.0,57.0,37.0,47.0,23.0,32.0,34.0,9.0,51.0,50.0,33.0,41.0,51.0,40.0,49.0,16.0,56.0,35.0,42.0,58.0,15.0,19.0,60.0,46.0,53.0,43.0,27.0,51.0,22.0,40.0,31.0,24.0,55.0,53.0,49.0,25.0,12.0,30.0,33.0,6.0,53.0,59.0,35.0,43.0,54.0,60.0,53.0,26.0,56.0,33.0,36.0,22.0,45.0,55.0,36.0,44.0,59.0,6.0,47.0,49.0,31.0,27.0,53.0,34.0,31.0,46.0,35.0,28.0,38.0,59.0,60.0,19.0,55.0,57.0,18.0,21.0,46.0,19.0,21.0,,,47.0,15.0,24.0,47.0,42.0,43.0,55.0,38.0,54.0,55.0,0.0,57.0,38.0,18.0,45.0,24.0,21.0,8.0,6.0,43.0,33.0,42.0,37.0,43.0,60.0,7.0,47.0,,47.0,45.0,54.0,54.0,60.0,20.0,42.0,7.0,18.0,18.0,38.0,21.0,1.0,38.0,42.0,46.0,18.0,37.0,57.0,55.0,36.0,31.0,45.0,58.0,56.0,3.0,53.0,31.0,17.0,48.0,49.0,18.0,52.0,34.0,10.0
2006,18.0,21.0,38.0,57.0,17.0,48.0,28.0,47.0,57.0,58.0,22.0,23.0,58.0,49.0,37.0,31.0,49.0,20.0,58.0,39.0,10.0,51.0,43.0,45.0,59.0,23.0,21.0,47.0,26.0,59.0,59.0,58.0,15.0,16.0,16.0,12.0,24.0,36.0,30.0,53.0,53.0,6.0,57.0,57.0,57.0,23.0,54.0,58.0,47.0,25.0,41.0,20.0,10.0,10.0,57.0,56.0,20.0,60.0,31.0,56.0,56.0,27.0,58.0,37.0,47.0,23.0,31.0,33.0,9.0,52.0,49.0,33.0,42.0,51.0,37.0,50.0,22.0,55.0,35.0,42.0,58.0,13.0,11.0,60.0,47.0,54.0,43.0,28.0,51.0,22.0,39.0,30.0,24.0,55.0,53.0,51.0,27.0,12.0,34.0,33.0,7.0,53.0,60.0,33.0,43.0,54.0,60.0,53.0,28.0,56.0,33.0,36.0,23.0,43.0,55.0,36.0,44.0,59.0,6.0,41.0,49.0,33.0,29.0,52.0,35.0,29.0,46.0,35.0,30.0,39.0,59.0,60.0,28.0,55.0,57.0,18.0,21.0,46.0,18.0,21.0,,,,15.0,24.0,47.0,41.0,41.0,55.0,36.0,53.0,55.0,1.0,57.0,37.0,18.0,49.0,23.0,23.0,9.0,7.0,43.0,32.0,42.0,37.0,41.0,60.0,3.0,47.0,,47.0,45.0,54.0,53.0,60.0,20.0,41.0,8.0,16.0,21.0,32.0,20.0,1.0,33.0,40.0,49.0,18.0,37.0,57.0,55.0,36.0,31.0,45.0,58.0,55.0,3.0,53.0,31.0,19.0,48.0,49.0,19.0,51.0,34.0,9.0
2007,17.0,21.0,39.0,57.0,17.0,48.0,28.0,47.0,57.0,58.0,21.0,23.0,58.0,49.0,36.0,28.0,49.0,22.0,58.0,39.0,10.0,51.0,41.0,45.0,59.0,23.0,23.0,48.0,23.0,59.0,58.0,58.0,16.0,19.0,16.0,12.0,24.0,35.0,30.0,53.0,53.0,6.0,57.0,57.0,57.0,22.0,58.0,58.0,47.0,25.0,42.0,18.0,10.0,11.0,57.0,56.0,20.0,60.0,32.0,55.0,56.0,27.0,57.0,34.0,47.0,23.0,31.0,30.0,9.0,52.0,51.0,33.0,42.0,51.0,36.0,50.0,25.0,55.0,37.0,42.0,58.0,14.0,12.0,60.0,47.0,54.0,43.0,28.0,51.0,22.0,38.0,29.0,24.0,55.0,53.0,50.0,27.0,12.0,34.0,34.0,7.0,53.0,60.0,31.0,41.0,54.0,60.0,53.0,28.0,56.0,33.0,36.0,25.0,41.0,55.0,36.0,42.0,58.0,5.0,41.0,49.0,35.0,30.0,52.0,34.0,27.0,46.0,32.0,31.0,37.0,59.0,60.0,29.0,55.0,57.0,18.0,21.0,46.0,23.0,20.0,,,,15.0,18.0,47.0,41.0,38.0,55.0,36.0,55.0,55.0,2.0,58.0,36.0,18.0,49.0,23.0,23.0,9.0,7.0,43.0,32.0,42.0,37.0,40.0,60.0,3.0,47.0,,47.0,45.0,54.0,53.0,60.0,20.0,40.0,8.0,15.0,24.0,31.0,19.0,5.0,34.0,40.0,49.0,18.0,37.0,57.0,55.0,36.0,30.0,44.0,58.0,56.0,3.0,53.0,28.0,19.0,48.0,49.0,20.0,51.0,34.0,9.0
2008,16.0,21.0,40.0,57.0,19.0,48.0,27.0,47.0,57.0,58.0,21.0,23.0,58.0,48.0,35.0,30.0,47.0,21.0,58.0,38.0,11.0,51.0,40.0,45.0,59.0,23.0,24.0,48.0,23.0,58.0,58.0,58.0,14.0,19.0,15.0,11.0,24.0,34.0,30.0,53.0,53.0,8.0,57.0,57.0,57.0,22.0,58.0,57.0,48.0,25.0,40.0,18.0,10.0,11.0,57.0,56.0,20.0,60.0,31.0,58.0,56.0,26.0,57.0,33.0,47.0,23.0,27.0,29.0,7.0,51.0,52.0,33.0,42.0,52.0,35.0,49.0,25.0,55.0,36.0,42.0,58.0,13.0,13.0,60.0,47.0,52.0,41.0,25.0,51.0,23.0,35.0,26.0,23.0,55.0,53.0,50.0,27.0,12.0,34.0,34.0,7.0,53.0,60.0,31.0,41.0,54.0,60.0,53.0,28.0,56.0,33.0,36.0,28.0,39.0,55.0,36.0,40.0,59.0,5.0,42.0,48.0,36.0,23.0,52.0,34.0,29.0,45.0,30.0,30.0,35.0,59.0,60.0,29.0,55.0,57.0,18.0,21.0,47.0,24.0,20.0,27.0,11.0,,15.0,22.0,47.0,41.0,38.0,55.0,36.0,55.0,55.0,2.0,58.0,36.0,18.0,49.0,23.0,23.0,9.0,7.0,43.0,31.0,42.0,37.0,40.0,60.0,2.0,47.0,,47.0,45.0,54.0,53.0,60.0,20.0,42.0,8.0,15.0,25.0,32.0,19.0,5.0,34.0,40.0,49.0,18.0,36.0,57.0,54.0,36.0,30.0,45.0,58.0,56.0,3.0,53.0,28.0,20.0,48.0,49.0,20.0,50.0,35.0,8.0
2009,16.0,21.0,39.0,57.0,19.0,48.0,28.0,47.0,57.0,58.0,21.0,23.0,58.0,48.0,35.0,33.0,47.0,21.0,58.0,38.0,11.0,51.0,40.0,45.0,59.0,23.0,24.0,46.0,22.0,59.0,57.0,58.0,16.0,20.0,16.0,10.0,22.0,33.0,30.0,53.0,53.0,8.0,56.0,57.0,57.0,23.0,58.0,56.0,45.0,25.0,39.0,20.0,5.0,10.0,57.0,56.0,18.0,60.0,31.0,58.0,56.0,25.0,56.0,34.0,47.0,13.0,24.0,27.0,7.0,50.0,52.0,33.0,41.0,52.0,33.0,50.0,25.0,54.0,35.0,42.0,58.0,13.0,14.0,59.0,46.0,52.0,41.0,24.0,51.0,21.0,33.0,25.0,21.0,55.0,53.0,50.0,27.0,12.0,35.0,34.0,7.0,53.0,60.0,30.0,41.0,53.0,60.0,53.0,28.0,56.0,33.0,32.0,32.0,39.0,55.0,38.0,40.0,58.0,5.0,44.0,50.0,36.0,23.0,52.0,34.0,29.0,46.0,29.0,29.0,34.0,59.0,60.0,29.0,55.0,58.0,18.0,21.0,47.0,26.0,19.0,24.0,8.0,,15.0,24.0,47.0,41.0,36.0,55.0,36.0,55.0,55.0,1.0,58.0,36.0,18.0,49.0,20.0,24.0,9.0,6.0,43.0,31.0,42.0,37.0,40.0,60.0,1.0,48.0,,47.0,45.0,53.0,53.0,60.0,21.0,42.0,8.0,15.0,27.0,32.0,19.0,7.0,34.0,40.0,49.0,18.0,36.0,57.0,52.0,36.0,30.0,45.0,58.0,56.0,4.0,53.0,27.0,19.0,48.0,49.0,18.0,49.0,34.0,10.0
2010,15.0,21.0,40.0,57.0,19.0,48.0,28.0,48.0,57.0,58.0,21.0,22.0,58.0,50.0,36.0,34.0,47.0,19.0,58.0,37.0,11.0,51.0,39.0,46.0,59.0,23.0,24.0,46.0,22.0,59.0,57.0,58.0,15.0,16.0,16.0,10.0,22.0,34.0,30.0,53.0,53.0,9.0,56.0,57.0,57.0,23.0,58.0,57.0,45.0,25.0,39.0,19.0,5.0,10.0,57.0,56.0,13.0,60.0,30.0,57.0,56.0,25.0,57.0,36.0,47.0,22.0,23.0,27.0,7.0,50.0,51.0,34.0,41.0,51.0,33.0,50.0,25.0,53.0,35.0,42.0,58.0,11.0,13.0,59.0,47.0,52.0,40.0,24.0,51.0,22.0,35.0,24.0,20.0,55.0,53.0,50.0,25.0,12.0,35.0,34.0,7.0,53.0,60.0,28.0,41.0,53.0,60.0,52.0,28.0,56.0,36.0,32.0,32.0,37.0,55.0,40.0,41.0,58.0,5.0,45.0,50.0,36.0,23.0,52.0,34.0,29.0,45.0,30.0,29.0,34.0,58.0,60.0,28.0,55.0,58.0,18.0,22.0,47.0,26.0,19.0,25.0,10.0,,15.0,24.0,47.0,41.0,36.0,55.0,36.0,55.0,53.0,1.0,58.0,36.0,18.0,49.0,20.0,19.0,9.0,6.0,43.0,31.0,42.0,37.0,41.0,60.0,1.0,48.0,,47.0,45.0,53.0,53.0,60.0,20.0,42.0,8.0,16.0,26.0,30.0,18.0,7.0,34.0,42.0,49.0,18.0,36.0,57.0,51.0,36.0,30.0,40.0,58.0,56.0,4.0,53.0,25.0,18.0,48.0,49.0,18.0,48.0,33.0,13.0
2011,13.0,19.0,39.0,57.0,16.0,49.0,29.0,48.0,57.0,58.0,17.0,22.0,58.0,49.0,35.0,33.0,47.0,12.0,58.0,37.0,10.0,51.0,38.0,47.0,59.0,23.0,24.0,46.0,22.0,59.0,57.0,58.0,14.0,13.0,16.0,11.0,22.0,34.0,30.0,53.0,53.0,10.0,55.0,57.0,57.0,20.0,58.0,58.0,44.0,24.0,36.0,24.0,4.0,7.0,57.0,56.0,12.0,60.0,28.0,57.0,56.0,25.0,56.0,36.0,47.0,20.0,17.0,27.0,7.0,50.0,51.0,34.0,41.0,51.0,33.0,50.0,25.0,52.0,35.0,43.0,58.0,10.0,13.0,59.0,45.0,53.0,40.0,25.0,51.0,21.0,36.0,25.0,21.0,55.0,53.0,50.0,25.0,12.0,34.0,34.0,14.0,53.0,59.0,28.0,41.0,53.0,60.0,51.0,28.0,56.0,37.0,32.0,32.0,37.0,55.0,39.0,41.0,58.0,10.0,45.0,50.0,36.0,22.0,52.0,32.0,29.0,46.0,30.0,28.0,34.0,59.0,60.0,27.0,55.0,58.0,18.0,22.0,47.0,26.0,19.0,25.0,8.0,,15.0,23.0,47.0,41.0,36.0,55.0,36.0,55.0,52.0,2.0,58.0,36.0,18.0,49.0,21.0,17.0,7.0,4.0,43.0,33.0,42.0,39.0,41.0,60.0,1.0,48.0,22.0,47.0,45.0,55.0,53.0,60.0,20.0,42.0,6.0,16.0,27.0,31.0,18.0,6.0,34.0,42.0,48.0,33.0,35.0,57.0,52.0,36.0,29.0,37.0,58.0,55.0,4.0,53.0,24.0,17.0,48.0,49.0,15.0,48.0,34.0,12.0
2012,16.0,19.0,39.0,57.0,14.0,49.0,29.0,49.0,58.0,58.0,17.0,22.0,57.0,50.0,36.0,31.0,47.0,12.0,58.0,37.0,10.0,51.0,40.0,48.0,59.0,23.0,24.0,46.0,19.0,58.0,57.0,57.0,15.0,21.0,16.0,11.0,22.0,34.0,30.0,53.0,53.0,10.0,55.0,57.0,57.0,20.0,57.0,58.0,44.0,24.0,36.0,25.0,2.0,7.0,57.0,56.0,11.0,60.0,30.0,57.0,56.0,25.0,57.0,36.0,47.0,24.0,16.0,23.0,7.0,48.0,51.0,33.0,40.0,51.0,33.0,50.0,24.0,52.0,35.0,42.0,58.0,10.0,13.0,60.0,45.0,53.0,40.0,24.0,51.0,20.0,34.0,25.0,20.0,55.0,53.0,50.0,24.0,11.0,32.0,34.0,21.0,54.0,59.0,27.0,41.0,53.0,60.0,51.0,27.0,56.0,36.0,28.0,29.0,37.0,55.0,38.0,19.0,58.0,17.0,45.0,50.0,36.0,23.0,52.0,34.0,28.0,46.0,30.0,26.0,34.0,59.0,60.0,27.0,55.0,58.0,17.0,22.0,46.0,26.0,19.0,25.0,8.0,,15.0,22.0,46.0,41.0,37.0,55.0,36.0,55.0,52.0,3.0,58.0,35.0,18.0,49.0,20.0,16.0,7.0,5.0,43.0,33.0,43.0,40.0,42.0,60.0,2.0,48.0,20.0,47.0,44.0,55.0,53.0,60.0,20.0,42.0,6.0,16.0,27.0,31.0,16.0,6.0,34.0,44.0,48.0,33.0,33.0,57.0,52.0,38.0,28.0,36.0,58.0,56.0,4.0,53.0,24.0,17.0,47.0,49.0,16.0,47.0,34.0,14.0
