Date,AFG,AGO,ALB,ARE,ARG,ARM,AZE,BDI,BEN,BFA,BGD,BGR,BHR,BIH,BLR,BOL,BRA,BTN,BWA,CAF,CHL,CHN,CIV,CMR,COD,COG,COL,CRI,CUB,CZE,DJI,DOM,DZA,ECU,EGY,ERI,EST,ETH,GAB,GEO,GHA,GIN,GMB,GNB,GNQ,GTM,HND,HRV,HTI,HUN,IDN,IND,IRN,IRQ,JAM,JOR,KAZ,KEN,KGZ,KHM,KOR,KWT,LAO,LBN,LBR,LBY,LKA,LSO,LTU,LVA,MAR,MDA,MDG,MEX,MKD,MLI,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NER,NGA,NIC,NPL,OMN,OWID_KOS,PAK,PAN,PER,PHL,PNG,POL,PRK,PRY,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLE,SLV,SOM,SRB,SSD,SVK,SVN,SWZ,SYR,TCD,TGO,THA,TJK,TKM,TLS,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,UZB,VEN,VNM,YEM,ZAF,ZMB,ZWE
2005,4.0,3.0,9.0,4.0,8.0,5.0,3.0,5.0,9.0,6.0,7.0,8.0,4.0,8.0,4.0,8.0,8.0,,8.0,5.0,10.0,2.0,3.0,3.0,3.0,,5.0,10.0,2.0,10.0,,7.0,5.0,7.0,4.0,1.0,10.0,4.0,,6.0,8.0,4.0,,,,5.0,6.0,10.0,4.0,10.0,7.0,9.0,4.0,5.0,10.0,5.0,3.0,6.0,4.0,5.0,9.0,,1.0,6.0,5.0,1.0,7.0,,10.0,10.0,5.0,6.0,7.0,7.0,9.0,9.0,1.0,,6.0,7.0,,9.0,6.0,5.0,9.0,5.0,7.0,7.0,6.0,,,5.0,7.0,8.0,8.0,10.0,9.0,1.0,6.0,,8.0,5.0,3.0,2.0,2.0,9.0,4.0,6.0,7.0,3.0,8.0,,10.0,10.0,,1.0,4.0,4.0,6.0,4.0,1.0,,,1.0,6.0,10.0,6.0,7.0,7.0,10.0,2.0,5.0,2.0,5.0,10.0,6.0,4.0
2007,4.0,5.0,8.0,4.0,8.0,4.0,4.0,6.0,8.0,6.0,7.0,8.0,4.0,8.0,3.0,7.0,8.0,4.0,8.0,6.0,10.0,2.0,4.0,4.0,5.0,5.0,6.0,10.0,2.0,10.0,,8.0,5.0,8.0,5.0,1.0,10.0,2.0,,7.0,9.0,4.0,,,,6.0,6.0,8.0,4.0,10.0,6.0,9.0,4.0,5.0,10.0,5.0,4.0,8.0,7.0,5.0,9.0,6.0,1.0,8.0,5.0,2.0,7.0,,10.0,10.0,5.0,7.0,8.0,7.0,8.0,9.0,1.0,7.0,6.0,7.0,8.0,9.0,6.0,6.0,9.0,5.0,7.0,8.0,6.0,4.0,,5.0,8.0,8.0,6.0,10.0,8.0,1.0,7.0,,8.0,4.0,3.0,2.0,4.0,7.0,3.0,6.0,8.0,3.0,8.0,,10.0,9.0,,2.0,2.0,4.0,5.0,4.0,1.0,,,1.0,6.0,10.0,7.0,8.0,8.0,10.0,2.0,5.0,2.0,4.0,10.0,7.0,3.0
2009,4.0,6.0,8.0,5.0,8.0,4.0,3.0,5.0,7.0,7.0,7.0,8.0,3.0,6.0,3.0,7.0,8.0,6.0,7.0,5.0,10.0,2.0,5.0,4.0,4.0,4.0,6.0,10.0,2.0,10.0,,8.0,6.0,6.0,4.0,1.0,10.0,4.0,,6.0,8.0,5.0,,,,6.0,7.0,7.0,5.0,10.0,7.0,9.0,3.0,5.0,10.0,4.0,4.0,6.0,4.0,5.0,8.0,7.0,1.0,7.0,5.0,2.0,5.0,4.0,9.0,10.0,5.0,6.0,6.0,7.0,7.0,8.0,1.0,7.0,6.0,6.0,6.0,9.0,7.0,5.0,8.0,3.0,6.0,7.0,6.0,4.0,7.0,6.0,8.0,8.0,5.0,10.0,9.0,1.0,7.0,7.0,8.0,4.0,4.0,3.0,5.0,7.0,3.0,6.0,7.0,1.0,7.0,,9.0,9.0,,2.0,2.0,6.0,5.0,3.0,1.0,,,2.0,7.0,10.0,6.0,6.0,8.0,10.0,2.0,4.0,2.0,4.0,8.0,7.0,3.0
2011,4.0,6.0,7.0,4.0,8.0,4.0,4.0,4.0,8.0,7.0,7.0,8.0,3.0,6.0,3.0,7.0,8.0,6.0,7.0,5.0,10.0,2.0,3.0,4.0,4.0,4.0,6.0,10.0,2.0,10.0,,8.0,6.0,6.0,4.0,1.0,10.0,3.0,,6.0,9.0,6.0,,,,6.0,7.0,7.0,5.0,8.0,7.0,9.0,2.0,5.0,10.0,4.0,4.0,8.0,7.0,4.0,7.0,6.0,1.0,7.0,6.0,1.0,5.0,4.0,9.0,9.0,4.0,7.0,5.0,6.0,6.0,8.0,1.0,6.0,6.0,7.0,7.0,8.0,6.0,5.0,9.0,9.0,7.0,7.0,6.0,4.0,6.0,5.0,7.0,8.0,5.0,10.0,9.0,1.0,7.0,7.0,8.0,4.0,3.0,2.0,3.0,8.0,3.0,6.0,8.0,1.0,7.0,,8.0,9.0,,2.0,3.0,6.0,5.0,3.0,1.0,,,3.0,7.0,10.0,6.0,5.0,6.0,10.0,2.0,4.0,2.0,3.0,8.0,7.0,4.0
2013,4.0,5.0,7.0,3.0,8.0,5.0,3.0,4.0,7.0,7.0,6.0,7.0,3.0,6.0,3.0,8.0,8.0,7.0,8.0,6.0,9.0,2.0,5.0,4.0,3.0,4.0,6.0,10.0,3.0,10.0,,8.0,6.0,5.0,6.0,1.0,10.0,2.0,,7.0,9.0,7.0,,,,5.0,6.0,7.0,6.0,7.0,6.0,8.0,1.0,4.0,10.0,4.0,3.0,8.0,7.0,4.0,7.0,6.0,1.0,6.0,6.0,7.0,4.0,6.0,9.0,9.0,4.0,7.0,4.0,6.0,5.0,5.0,5.0,6.0,6.0,7.0,7.0,8.0,7.0,5.0,9.0,9.0,7.0,7.0,7.0,2.0,6.0,4.0,7.0,8.0,6.0,9.0,9.0,1.0,6.0,6.0,7.0,4.0,3.0,2.0,3.0,9.0,3.0,7.0,8.0,2.0,6.0,4.0,9.0,9.0,,2.0,2.0,5.0,4.0,3.0,1.0,,,6.0,6.0,9.0,6.0,6.0,6.0,10.0,2.0,4.0,2.0,4.0,8.0,7.0,4.0
2015,4.0,4.0,7.0,2.0,8.0,5.0,3.0,4.0,7.0,7.0,4.0,7.0,2.0,6.0,3.0,8.0,8.0,7.0,7.0,7.0,9.0,2.0,6.0,3.0,3.0,3.0,7.0,10.0,3.0,9.0,,8.0,6.0,4.0,4.0,1.0,10.0,2.0,,8.0,8.0,6.0,,,,6.0,6.0,7.0,6.0,6.0,6.0,7.0,1.0,3.0,10.0,4.0,3.0,7.0,7.0,4.0,7.0,5.0,1.0,7.0,6.0,6.0,4.0,6.0,9.0,8.0,4.0,7.0,4.0,6.0,4.0,7.0,5.0,6.0,6.0,6.0,7.0,7.0,7.0,4.0,8.0,8.0,6.0,7.0,7.0,2.0,6.0,3.0,7.0,8.0,6.0,9.0,10.0,1.0,6.0,5.0,7.0,4.0,3.0,2.0,3.0,8.0,3.0,6.0,8.0,2.0,7.0,3.0,9.0,8.0,,2.0,3.0,5.0,2.0,3.0,1.0,,,6.0,5.0,9.0,6.0,5.0,8.0,10.0,2.0,4.0,2.0,3.0,8.0,6.0,4.0
2017,4.0,4.0,7.0,3.0,9.0,5.0,2.0,3.0,8.0,7.0,4.0,7.0,2.0,6.0,3.0,8.0,8.0,7.0,7.0,6.0,10.0,2.0,7.0,3.0,4.0,3.0,7.0,10.0,3.0,10.0,,8.0,6.0,5.0,3.0,1.0,10.0,2.0,,8.0,8.0,6.0,,,,6.0,5.0,7.0,7.0,6.0,6.0,7.0,2.0,3.0,10.0,4.0,3.0,7.0,6.0,3.0,7.0,4.0,1.0,7.0,7.0,4.0,7.0,5.0,9.0,8.0,3.0,6.0,4.0,5.0,4.0,7.0,5.0,6.0,7.0,5.0,6.0,7.0,7.0,4.0,8.0,7.0,6.0,6.0,7.0,1.0,6.0,3.0,7.0,8.0,6.0,8.0,8.0,1.0,6.0,4.0,7.0,4.0,3.0,2.0,3.0,8.0,3.0,6.0,8.0,2.0,7.0,3.0,9.0,8.0,,2.0,3.0,5.0,2.0,2.0,1.0,,,6.0,4.0,9.0,6.0,5.0,7.0,10.0,2.0,4.0,1.0,3.0,7.0,5.0,4.0
2019,4.0,6.0,7.0,2.0,9.0,9.0,2.0,3.0,7.0,7.0,3.0,6.0,2.0,6.0,3.0,7.0,7.0,7.0,7.0,6.0,10.0,2.0,7.0,2.0,3.0,3.0,7.0,10.0,3.0,10.0,2.0,7.0,5.0,8.0,2.0,1.0,10.0,3.0,4.0,8.0,8.0,5.0,7.0,6.0,2.0,5.0,5.0,6.0,7.0,5.0,6.0,6.0,2.0,3.0,10.0,4.0,2.0,5.0,6.0,2.0,8.0,4.0,1.0,6.0,7.0,4.0,7.0,6.0,9.0,8.0,3.0,6.0,4.0,5.0,6.0,6.0,4.0,6.0,7.0,4.0,6.0,7.0,7.0,6.0,8.0,7.0,6.0,4.0,8.0,1.0,6.0,3.0,7.0,8.0,5.0,8.0,7.0,1.0,6.0,4.0,7.0,4.0,3.0,1.0,3.0,7.0,3.0,6.0,8.0,2.0,6.0,2.0,8.0,8.0,2.0,2.0,3.0,5.0,2.0,2.0,1.0,8.0,9.0,6.0,3.0,9.0,5.0,5.0,7.0,10.0,3.0,3.0,2.0,1.0,8.0,4.0,4.0
2021,4.0,6.0,7.0,2.0,9.0,8.0,2.0,3.0,7.0,6.0,3.0,6.0,1.0,6.0,2.0,8.0,6.0,7.0,7.0,5.0,10.0,1.0,6.0,2.0,4.0,3.0,7.0,10.0,3.0,9.0,1.0,8.0,4.0,7.0,2.0,1.0,9.0,3.0,4.0,8.0,9.0,4.0,7.0,5.0,2.0,5.0,4.0,6.0,6.0,4.0,5.0,5.0,2.0,3.0,10.0,4.0,2.0,5.0,5.0,2.0,8.0,4.0,2.0,6.0,8.0,3.0,7.0,5.0,9.0,9.0,2.0,7.0,3.0,5.0,7.0,6.0,4.0,6.0,6.0,4.0,6.0,7.0,7.0,5.0,8.0,6.0,5.0,4.0,8.0,1.0,6.0,3.0,7.0,8.0,4.0,8.0,6.0,1.0,6.0,4.0,7.0,4.0,3.0,1.0,5.0,7.0,3.0,6.0,7.0,2.0,5.0,3.0,9.0,7.0,2.0,2.0,2.0,5.0,2.0,2.0,1.0,8.0,9.0,6.0,3.0,9.0,4.0,4.0,7.0,10.0,3.0,3.0,2.0,1.0,8.0,3.0,3.0
2023,2.0,4.0,7.0,2.0,8.0,8.0,2.0,3.0,6.0,6.0,3.0,6.0,1.0,6.0,2.0,8.0,6.0,7.0,6.0,6.0,10.0,1.0,7.0,2.0,4.0,3.0,7.0,9.0,2.0,8.0,1.0,8.0,3.0,7.0,2.0,1.0,10.0,3.0,4.0,7.0,8.0,4.0,8.0,4.0,2.0,4.0,4.0,7.0,4.0,4.0,4.0,4.0,1.0,3.0,10.0,3.0,2.0,6.0,4.0,2.0,7.0,3.0,2.0,6.0,7.0,1.0,7.0,7.0,10.0,9.0,2.0,8.0,3.0,5.0,8.0,3.0,1.0,6.0,6.0,3.0,6.0,6.0,7.0,5.0,8.0,6.0,5.0,2.0,8.0,1.0,7.0,3.0,7.0,7.0,4.0,8.0,6.0,1.0,6.0,4.0,7.0,2.0,3.0,2.0,2.0,7.0,3.0,6.0,5.0,2.0,4.0,3.0,8.0,7.0,2.0,1.0,2.0,4.0,2.0,1.0,1.0,8.0,9.0,5.0,3.0,9.0,6.0,4.0,6.0,10.0,3.0,3.0,2.0,1.0,8.0,6.0,3.0
