Date,AFG,AGO,ALB,AND,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESH,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GTM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NER,NGA,NIC,NLD,NOR,NPL,NRU,NZL,OMN,OWID_ABK,OWID_CYN,OWID_KOS,OWID_NAG,OWID_SML,OWID_SOS,OWID_SRM,OWID_TRS,OWID_YGS,PAK,PAN,PER,PHL,PLW,PNG,POL,PRI,PRK,PRT,PRY,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
2002,23.0,30.0,68.0,96.0,29.0,65.0,54.0,65.0,96.0,98.0,35.0,27.0,95.0,75.0,54.0,54.0,86.0,34.0,94.0,50.0,24.0,89.0,74.0,73.0,98.0,31.0,24.0,82.0,40.0,96.0,100.0,87.0,15.0,,22.0,18.0,39.0,55.0,40.0,89.0,90.0,10.0,96.0,84.0,94.0,43.0,94.0,99.0,78.0,33.0,64.0,23.0,15.0,8.0,92.0,87.0,32.0,99.0,63.0,95.0,88.0,50.0,97.0,51.0,72.0,33.0,54.0,46.0,17.0,81.0,86.0,55.0,75.0,60.0,68.0,80.0,25.0,89.0,58.0,71.0,93.0,26.0,-1.0,98.0,83.0,92.0,73.0,35.0,88.0,29.0,48.0,33.0,31.0,91.0,87.0,83.0,42.0,12.0,30.0,22.0,8.0,88.0,98.0,59.0,71.0,89.0,101.0,86.0,41.0,86.0,60.0,58.0,31.0,77.0,90.0,64.0,73.0,99.0,8.0,77.0,82.0,59.0,41.0,88.0,55.0,42.0,76.0,52.0,44.0,67.0,98.0,100.0,50.0,86.0,97.0,27.0,29.0,75.0,34.0,35.0,,,,24.0,77.0,33.0,82.0,75.0,73.0,88.0,74.0,88.0,89.0,0.0,98.0,59.0,21.0,78.0,42.0,22.0,9.0,3.0,68.0,43.0,68.0,57.0,75.0,100.0,15.0,77.0,,85.0,82.0,83.0,92.0,99.0,33.0,67.0,6.0,26.0,33.0,72.0,28.0,4.0,69.0,59.0,72.0,28.0,53.0,92.0,86.0,58.0,39.0,52.0,90.0,92.0,12.0,86.0,58.0,13.0,83.0,77.0,27.0,88.0,53.0,21.0
2003,23.0,29.0,68.0,97.0,23.0,81.0,52.0,65.0,96.0,99.0,35.0,29.0,99.0,79.0,52.0,54.0,86.0,33.0,94.0,56.0,21.0,88.0,70.0,74.0,98.0,30.0,23.0,82.0,30.0,99.0,100.0,92.0,13.0,,21.0,21.0,42.0,57.0,43.0,90.0,90.0,9.0,96.0,89.0,98.0,39.0,91.0,99.0,73.0,33.0,67.0,23.0,15.0,10.0,91.0,89.0,32.0,98.0,62.0,95.0,91.0,45.0,97.0,53.0,77.0,36.0,54.0,34.0,17.0,86.0,86.0,51.0,75.0,60.0,66.0,79.0,21.0,89.0,59.0,74.0,98.0,25.0,23.0,100.0,81.0,92.0,73.0,37.0,88.0,28.0,65.0,35.0,32.0,93.0,86.0,82.0,42.0,13.0,30.0,22.0,7.0,85.0,99.0,62.0,72.0,90.0,100.0,86.0,41.0,87.0,60.0,62.0,32.0,77.0,92.0,65.0,75.0,99.0,7.0,73.0,83.0,59.0,35.0,88.0,57.0,45.0,76.0,56.0,45.0,62.0,100.0,100.0,45.0,92.0,96.0,23.0,30.0,76.0,35.0,35.0,,,73.0,24.0,,35.0,80.0,73.0,73.0,90.0,71.0,89.0,89.0,0.0,98.0,64.0,22.0,79.0,41.0,30.0,7.0,8.0,75.0,46.0,66.0,59.0,73.0,100.0,14.0,73.0,,81.0,82.0,87.0,92.0,100.0,21.0,68.0,7.0,26.0,32.0,73.0,29.0,2.0,67.0,56.0,72.0,27.0,59.0,91.0,86.0,58.0,42.0,50.0,90.0,93.0,12.0,84.0,58.0,14.0,82.0,78.0,35.0,88.0,56.0,20.0
2004,27.0,30.0,66.0,97.0,22.0,83.0,44.0,77.0,96.0,99.0,33.0,29.0,98.0,79.0,51.0,54.0,87.0,33.0,94.0,59.0,19.0,89.0,72.0,75.0,98.0,31.0,26.0,82.0,33.0,98.0,100.0,94.0,17.0,,27.0,21.0,42.0,57.0,47.0,90.0,92.0,8.0,96.0,93.0,99.0,39.0,91.0,99.0,78.0,35.0,68.0,25.0,14.0,8.0,91.0,93.0,33.0,100.0,61.0,95.0,92.0,44.0,97.0,58.0,82.0,31.0,55.0,50.0,15.0,89.0,86.0,52.0,75.0,64.0,66.0,82.0,19.0,92.0,63.0,76.0,98.0,25.0,24.0,100.0,81.0,91.0,72.0,39.0,89.0,31.0,66.0,35.0,34.0,93.0,86.0,85.0,42.0,13.0,33.0,40.0,7.0,85.0,99.0,61.0,72.0,87.0,100.0,87.0,44.0,86.0,57.0,61.0,31.0,76.0,92.0,63.0,75.0,99.0,5.0,76.0,82.0,59.0,33.0,89.0,57.0,49.0,74.0,62.0,45.0,63.0,99.0,100.0,41.0,93.0,96.0,27.0,30.0,79.0,28.0,35.0,,,76.0,23.0,,34.0,80.0,73.0,74.0,91.0,64.0,92.0,89.0,0.0,97.0,63.0,25.0,72.0,35.0,31.0,8.0,6.0,76.0,51.0,67.0,58.0,73.0,100.0,14.0,76.0,,82.0,83.0,90.0,91.0,100.0,20.0,68.0,8.0,26.0,33.0,69.0,30.0,2.0,64.0,56.0,71.0,26.0,65.0,93.0,88.0,58.0,43.0,55.0,93.0,93.0,11.0,84.0,59.0,17.0,82.0,80.0,35.0,88.0,57.0,19.0
2005,35.0,29.0,63.0,96.0,22.0,84.0,41.0,77.0,96.0,98.0,33.0,49.0,97.0,78.0,53.0,53.0,87.0,36.0,96.0,62.0,15.0,88.0,71.0,77.0,99.0,29.0,29.0,78.0,44.0,98.0,99.0,96.0,17.0,21.0,27.0,20.0,37.0,60.0,48.0,90.0,92.0,8.0,95.0,92.0,97.0,35.0,92.0,98.0,78.0,36.0,68.0,30.0,14.0,8.0,95.0,95.0,36.0,100.0,62.0,93.0,93.0,40.0,96.0,61.0,84.0,32.0,49.0,59.0,10.0,88.0,87.0,55.0,70.0,67.0,66.0,84.0,21.0,93.0,65.0,76.0,98.0,24.0,28.0,100.0,83.0,92.0,74.0,42.0,88.0,32.0,66.0,47.0,35.0,93.0,91.0,85.0,43.0,13.0,46.0,56.0,7.0,91.0,99.0,59.0,74.0,90.0,100.0,89.0,43.0,87.0,57.0,60.0,31.0,80.0,92.0,61.0,74.0,98.0,5.0,76.0,83.0,56.0,38.0,91.0,57.0,50.0,77.0,62.0,48.0,63.0,99.0,100.0,28.0,93.0,96.0,28.0,34.0,80.0,29.0,35.0,,,76.0,21.0,,35.0,83.0,74.0,72.0,92.0,64.0,92.0,92.0,0.0,97.0,63.0,27.0,75.0,35.0,32.0,12.0,7.0,76.0,50.0,66.0,60.0,75.0,100.0,15.0,76.0,,80.0,78.0,91.0,92.0,100.0,21.0,68.0,8.0,26.0,25.0,67.0,30.0,1.0,67.0,57.0,74.0,24.0,65.0,94.0,91.0,58.0,45.0,72.0,97.0,93.0,3.0,85.0,54.0,19.0,80.0,81.0,31.0,88.0,56.0,15.0
2006,35.0,29.0,64.0,96.0,25.0,81.0,41.0,77.0,96.0,98.0,32.0,45.0,98.0,82.0,54.0,53.0,85.0,36.0,96.0,64.0,14.0,87.0,71.0,76.0,99.0,30.0,31.0,78.0,43.0,99.0,99.0,97.0,17.0,21.0,27.0,26.0,35.0,62.0,54.0,90.0,91.0,7.0,95.0,95.0,96.0,35.0,92.0,98.0,80.0,36.0,69.0,27.0,13.0,8.0,96.0,95.0,34.0,100.0,38.0,94.0,93.0,37.0,98.0,62.0,84.0,32.0,48.0,55.0,10.0,89.0,86.0,57.0,73.0,67.0,62.0,85.0,42.0,92.0,65.0,76.0,97.0,23.0,22.0,100.0,84.0,92.0,74.0,42.0,88.0,32.0,64.0,46.0,35.0,91.0,91.0,87.0,46.0,13.0,51.0,57.0,8.0,91.0,100.0,56.0,73.0,90.0,100.0,89.0,45.0,87.0,57.0,59.0,34.0,76.0,92.0,60.0,74.0,98.0,4.0,65.0,82.0,58.0,46.0,89.0,58.0,48.0,77.0,64.0,51.0,67.0,99.0,100.0,45.0,93.0,96.0,28.0,34.0,80.0,29.0,35.0,,,,22.0,,35.0,83.0,73.0,69.0,92.0,62.0,91.0,92.0,1.0,97.0,63.0,27.0,81.0,34.0,33.0,13.0,10.0,76.0,49.0,65.0,60.0,74.0,100.0,4.0,76.0,,80.0,77.0,91.0,91.0,100.0,23.0,66.0,9.0,22.0,29.0,36.0,28.0,1.0,59.0,55.0,80.0,24.0,65.0,94.0,89.0,58.0,46.0,73.0,97.0,93.0,3.0,87.0,51.0,21.0,80.0,81.0,33.0,86.0,59.0,13.0
2007,34.0,29.0,65.0,96.0,26.0,80.0,42.0,77.0,96.0,98.0,31.0,45.0,97.0,82.0,53.0,40.0,85.0,37.0,96.0,62.0,13.0,87.0,70.0,76.0,99.0,30.0,34.0,79.0,40.0,99.0,97.0,97.0,18.0,24.0,25.0,25.0,32.0,61.0,53.0,90.0,91.0,7.0,95.0,95.0,96.0,34.0,97.0,98.0,80.0,36.0,69.0,25.0,13.0,9.0,96.0,94.0,33.0,100.0,39.0,93.0,93.0,37.0,97.0,54.0,84.0,33.0,48.0,51.0,10.0,89.0,88.0,57.0,73.0,67.0,61.0,85.0,47.0,92.0,67.0,76.0,97.0,24.0,23.0,100.0,84.0,92.0,77.0,41.0,88.0,30.0,58.0,45.0,35.0,91.0,92.0,86.0,46.0,13.0,49.0,59.0,8.0,92.0,100.0,52.0,71.0,90.0,100.0,88.0,44.0,87.0,57.0,58.0,36.0,73.0,92.0,60.0,72.0,97.0,3.0,65.0,82.0,60.0,52.0,90.0,57.0,46.0,77.0,60.0,49.0,64.0,99.0,100.0,46.0,93.0,96.0,28.0,36.0,80.0,34.0,34.0,,,,22.0,,26.0,83.0,73.0,61.0,92.0,60.0,93.0,92.0,2.0,98.0,62.0,28.0,81.0,32.0,34.0,13.0,10.0,73.0,49.0,63.0,63.0,73.0,100.0,3.0,76.0,,80.0,78.0,91.0,91.0,100.0,23.0,65.0,9.0,20.0,38.0,39.0,28.0,5.0,62.0,55.0,81.0,23.0,66.0,94.0,89.0,58.0,45.0,73.0,97.0,94.0,3.0,88.0,47.0,21.0,80.0,81.0,34.0,86.0,60.0,14.0
2008,32.0,32.0,66.0,96.0,28.0,80.0,38.0,77.0,96.0,97.0,29.0,43.0,97.0,80.0,52.0,52.0,82.0,34.0,96.0,61.0,15.0,87.0,68.0,77.0,99.0,30.0,43.0,78.0,40.0,97.0,97.0,97.0,16.0,25.0,23.0,22.0,33.0,60.0,55.0,90.0,91.0,9.0,95.0,95.0,96.0,34.0,97.0,97.0,81.0,36.0,69.0,25.0,13.0,9.0,97.0,95.0,33.0,100.0,38.0,96.0,93.0,36.0,97.0,51.0,84.0,28.0,43.0,50.0,8.0,88.0,90.0,57.0,73.0,68.0,60.0,84.0,47.0,92.0,66.0,76.0,97.0,22.0,24.0,100.0,84.0,90.0,75.0,38.0,88.0,30.0,54.0,39.0,34.0,91.0,92.0,86.0,46.0,13.0,51.0,59.0,8.0,92.0,100.0,52.0,71.0,91.0,100.0,87.0,44.0,87.0,55.0,58.0,48.0,70.0,91.0,60.0,70.0,98.0,2.0,66.0,82.0,61.0,32.0,90.0,57.0,49.0,75.0,58.0,47.0,57.0,99.0,100.0,50.0,93.0,96.0,28.0,35.0,81.0,35.0,34.0,44.0,9.0,,22.0,,40.0,83.0,73.0,60.0,92.0,59.0,93.0,92.0,2.0,97.0,64.0,28.0,83.0,31.0,34.0,12.0,10.0,72.0,48.0,64.0,64.0,73.0,100.0,2.0,76.0,,80.0,78.0,91.0,91.0,100.0,23.0,67.0,9.0,20.0,39.0,44.0,27.0,6.0,62.0,55.0,81.0,23.0,65.0,94.0,89.0,58.0,45.0,73.0,97.0,94.0,3.0,88.0,46.0,22.0,80.0,81.0,35.0,85.0,61.0,12.0
2009,27.0,31.0,65.0,96.0,27.0,80.0,39.0,76.0,96.0,97.0,29.0,45.0,98.0,80.0,52.0,59.0,82.0,32.0,96.0,61.0,15.0,88.0,68.0,77.0,99.0,30.0,43.0,75.0,39.0,99.0,96.0,97.0,17.0,26.0,24.0,21.0,29.0,59.0,55.0,90.0,91.0,9.0,94.0,95.0,96.0,35.0,96.0,96.0,78.0,36.0,68.0,27.0,8.0,8.0,97.0,95.0,31.0,100.0,38.0,96.0,93.0,34.0,96.0,54.0,84.0,15.0,39.0,48.0,8.0,86.0,90.0,56.0,72.0,68.0,51.0,86.0,47.0,91.0,65.0,76.0,97.0,20.0,26.0,99.0,82.0,89.0,75.0,34.0,88.0,28.0,52.0,36.0,32.0,91.0,92.0,86.0,46.0,13.0,52.0,58.0,8.0,92.0,100.0,52.0,70.0,90.0,100.0,86.0,42.0,87.0,58.0,41.0,57.0,69.0,91.0,63.0,71.0,97.0,2.0,69.0,85.0,59.0,34.0,90.0,60.0,49.0,76.0,42.0,45.0,54.0,99.0,100.0,50.0,93.0,97.0,27.0,35.0,81.0,40.0,32.0,40.0,5.0,,22.0,,43.0,83.0,72.0,57.0,92.0,59.0,93.0,92.0,1.0,97.0,64.0,28.0,83.0,27.0,34.0,12.0,9.0,72.0,48.0,64.0,64.0,74.0,100.0,1.0,78.0,,80.0,78.0,90.0,91.0,100.0,24.0,67.0,9.0,20.0,43.0,44.0,27.0,8.0,62.0,55.0,81.0,23.0,63.0,94.0,88.0,57.0,45.0,73.0,97.0,94.0,4.0,88.0,43.0,21.0,80.0,81.0,29.0,84.0,60.0,17.0
2010,25.0,31.0,66.0,96.0,27.0,80.0,39.0,77.0,96.0,97.0,28.0,35.0,97.0,83.0,53.0,60.0,82.0,30.0,96.0,60.0,15.0,88.0,66.0,78.0,99.0,30.0,43.0,75.0,37.0,99.0,96.0,97.0,17.0,20.0,23.0,21.0,29.0,61.0,55.0,90.0,91.0,10.0,94.0,95.0,96.0,33.0,96.0,97.0,76.0,36.0,67.0,25.0,7.0,8.0,97.0,95.0,21.0,100.0,37.0,95.0,93.0,34.0,97.0,56.0,84.0,36.0,38.0,45.0,8.0,86.0,89.0,57.0,72.0,67.0,52.0,86.0,45.0,90.0,65.0,76.0,97.0,17.0,25.0,99.0,83.0,89.0,73.0,34.0,88.0,28.0,56.0,37.0,29.0,91.0,92.0,86.0,44.0,12.0,52.0,58.0,8.0,92.0,100.0,45.0,70.0,90.0,100.0,85.0,42.0,87.0,63.0,39.0,56.0,66.0,91.0,66.0,72.0,97.0,5.0,72.0,85.0,59.0,34.0,90.0,60.0,49.0,75.0,42.0,48.0,54.0,98.0,100.0,48.0,93.0,97.0,27.0,37.0,81.0,41.0,29.0,45.0,7.0,,22.0,,44.0,83.0,72.0,61.0,92.0,59.0,93.0,90.0,1.0,97.0,64.0,28.0,83.0,27.0,27.0,12.0,11.0,71.0,48.0,64.0,64.0,75.0,100.0,1.0,78.0,,80.0,78.0,90.0,91.0,100.0,23.0,67.0,9.0,21.0,42.0,42.0,26.0,8.0,62.0,71.0,82.0,23.0,63.0,94.0,87.0,64.0,45.0,67.0,97.0,94.0,4.0,89.0,42.0,20.0,80.0,81.0,29.0,83.0,58.0,21.0
2011,23.0,29.0,63.0,96.0,24.0,81.0,40.0,77.0,96.0,97.0,23.0,35.0,98.0,81.0,51.0,58.0,81.0,20.0,96.0,60.0,14.0,88.0,66.0,80.0,99.0,30.0,43.0,75.0,39.0,99.0,96.0,97.0,16.0,24.0,23.0,20.0,29.0,61.0,55.0,90.0,91.0,11.0,93.0,95.0,96.0,29.0,96.0,98.0,75.0,35.0,63.0,35.0,6.0,5.0,97.0,95.0,19.0,100.0,35.0,95.0,93.0,34.0,96.0,58.0,84.0,34.0,24.0,45.0,8.0,85.0,89.0,58.0,72.0,67.0,52.0,86.0,45.0,88.0,65.0,77.0,97.0,16.0,25.0,99.0,81.0,89.0,73.0,35.0,88.0,27.0,57.0,41.0,30.0,91.0,92.0,86.0,44.0,12.0,51.0,60.0,17.0,92.0,98.0,45.0,69.0,90.0,100.0,84.0,43.0,87.0,65.0,39.0,56.0,66.0,91.0,65.0,72.0,97.0,14.0,72.0,85.0,59.0,33.0,90.0,57.0,49.0,76.0,56.0,49.0,51.0,99.0,100.0,48.0,93.0,97.0,27.0,39.0,81.0,41.0,29.0,46.0,5.0,,24.0,,43.0,83.0,71.0,62.0,92.0,59.0,93.0,89.0,2.0,97.0,64.0,28.0,83.0,28.0,25.0,10.0,6.0,71.0,52.0,64.0,67.0,76.0,100.0,1.0,78.0,33.0,80.0,78.0,92.0,91.0,100.0,21.0,67.0,6.0,21.0,44.0,52.0,26.0,7.0,62.0,71.0,81.0,58.0,63.0,94.0,88.0,64.0,42.0,60.0,97.0,93.0,4.0,89.0,41.0,19.0,80.0,81.0,23.0,82.0,63.0,20.0
