Date,AFG,AGO,ALB,AND,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESH,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GTM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NER,NGA,NIC,NLD,NOR,NPL,NRU,NZL,OMN,OWID_ABK,OWID_CYN,OWID_KOS,OWID_NAG,OWID_SML,OWID_SOS,OWID_SRM,OWID_TRS,OWID_YGS,PAK,PAN,PER,PHL,PLW,PNG,POL,PRI,PRK,PRT,PRY,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
2002,8.0,8.0,26.0,39.0,7.0,24.0,20.0,18.0,39.0,40.0,11.0,9.0,39.0,27.0,20.0,21.0,36.0,13.0,37.0,19.0,9.0,37.0,31.0,32.0,39.0,6.0,7.0,34.0,17.0,39.0,40.0,34.0,3.0,,7.0,6.0,11.0,23.0,13.0,37.0,38.0,3.0,39.0,37.0,38.0,18.0,39.0,40.0,30.0,11.0,24.0,7.0,3.0,0.0,39.0,37.0,12.0,40.0,22.0,39.0,36.0,16.0,40.0,19.0,31.0,11.0,20.0,21.0,3.0,36.0,36.0,22.0,30.0,17.0,27.0,31.0,9.0,37.0,26.0,31.0,38.0,10.0,-2.0,40.0,40.0,38.0,30.0,10.0,36.0,8.0,18.0,11.0,11.0,37.0,36.0,32.0,18.0,3.0,6.0,9.0,2.0,38.0,40.0,26.0,30.0,38.0,44.0,36.0,17.0,31.0,28.0,24.0,9.0,33.0,37.0,27.0,30.0,40.0,2.0,29.0,34.0,25.0,16.0,36.0,23.0,17.0,33.0,23.0,19.0,25.0,40.0,40.0,21.0,37.0,39.0,10.0,9.0,31.0,12.0,14.0,,,,8.0,29.0,11.0,36.0,32.0,31.0,37.0,31.0,37.0,37.0,0.0,40.0,20.0,6.0,32.0,17.0,4.0,3.0,0.0,31.0,17.0,25.0,23.0,32.0,40.0,8.0,29.0,,36.0,36.0,36.0,38.0,40.0,8.0,26.0,1.0,8.0,9.0,30.0,10.0,0.0,29.0,17.0,29.0,8.0,24.0,37.0,34.0,22.0,10.0,21.0,36.0,37.0,3.0,32.0,26.0,2.0,38.0,32.0,10.0,36.0,20.0,6.0
2003,9.0,7.0,26.0,39.0,7.0,35.0,20.0,19.0,39.0,40.0,11.0,12.0,40.0,30.0,19.0,21.0,36.0,12.0,37.0,22.0,7.0,37.0,28.0,32.0,39.0,7.0,6.0,34.0,5.0,40.0,40.0,36.0,3.0,,7.0,8.0,12.0,23.0,15.0,37.0,38.0,2.0,39.0,37.0,40.0,15.0,38.0,40.0,27.0,11.0,27.0,7.0,3.0,2.0,38.0,37.0,12.0,38.0,21.0,38.0,36.0,13.0,39.0,21.0,33.0,11.0,21.0,6.0,3.0,36.0,36.0,21.0,30.0,17.0,26.0,31.0,9.0,37.0,25.0,33.0,40.0,10.0,5.0,40.0,38.0,38.0,30.0,12.0,36.0,8.0,26.0,11.0,9.0,37.0,36.0,33.0,18.0,2.0,6.0,6.0,2.0,37.0,40.0,25.0,31.0,38.0,40.0,36.0,17.0,31.0,28.0,25.0,9.0,33.0,37.0,27.0,30.0,40.0,0.0,26.0,34.0,25.0,11.0,36.0,25.0,17.0,33.0,23.0,19.0,25.0,40.0,40.0,17.0,38.0,39.0,6.0,9.0,31.0,12.0,14.0,,,26.0,8.0,,11.0,36.0,31.0,31.0,37.0,28.0,37.0,37.0,0.0,40.0,26.0,7.0,32.0,16.0,10.0,1.0,1.0,34.0,17.0,25.0,23.0,30.0,40.0,7.0,26.0,,33.0,36.0,36.0,38.0,40.0,2.0,26.0,1.0,8.0,8.0,30.0,10.0,0.0,28.0,15.0,29.0,8.0,26.0,37.0,34.0,22.0,12.0,20.0,36.0,37.0,3.0,31.0,26.0,2.0,34.0,31.0,12.0,36.0,23.0,6.0
2004,13.0,8.0,26.0,39.0,7.0,35.0,16.0,30.0,39.0,40.0,11.0,12.0,39.0,30.0,17.0,22.0,36.0,12.0,37.0,22.0,5.0,37.0,29.0,32.0,39.0,7.0,8.0,34.0,9.0,39.0,40.0,38.0,2.0,,11.0,8.0,12.0,23.0,18.0,37.0,38.0,1.0,39.0,37.0,40.0,15.0,38.0,40.0,32.0,10.0,27.0,7.0,3.0,-2.0,38.0,38.0,12.0,40.0,20.0,38.0,36.0,13.0,39.0,24.0,35.0,9.0,21.0,20.0,2.0,37.0,36.0,22.0,31.0,16.0,26.0,34.0,5.0,37.0,29.0,34.0,40.0,10.0,5.0,40.0,38.0,38.0,30.0,12.0,37.0,9.0,26.0,10.0,11.0,37.0,36.0,36.0,18.0,1.0,8.0,12.0,1.0,37.0,40.0,25.0,31.0,35.0,40.0,36.0,17.0,31.0,24.0,24.0,9.0,32.0,37.0,26.0,31.0,40.0,-1.0,29.0,33.0,25.0,10.0,36.0,23.0,19.0,32.0,27.0,19.0,25.0,40.0,40.0,16.0,38.0,39.0,10.0,9.0,34.0,9.0,14.0,,,29.0,6.0,,11.0,36.0,32.0,32.0,37.0,26.0,38.0,37.0,0.0,40.0,25.0,8.0,28.0,10.0,11.0,3.0,0.0,34.0,17.0,25.0,23.0,30.0,40.0,7.0,29.0,,34.0,36.0,37.0,38.0,40.0,1.0,26.0,1.0,8.0,8.0,30.0,9.0,0.0,27.0,15.0,28.0,8.0,27.0,37.0,34.0,22.0,13.0,19.0,38.0,38.0,2.0,31.0,25.0,2.0,34.0,32.0,13.0,36.0,23.0,5.0
2005,16.0,8.0,25.0,39.0,7.0,34.0,13.0,30.0,39.0,40.0,10.0,25.0,39.0,30.0,17.0,22.0,36.0,14.0,38.0,23.0,5.0,36.0,28.0,32.0,40.0,6.0,9.0,31.0,17.0,39.0,40.0,39.0,2.0,6.0,11.0,8.0,12.0,24.0,18.0,37.0,38.0,1.0,38.0,37.0,39.0,12.0,38.0,40.0,32.0,11.0,27.0,8.0,3.0,-2.0,38.0,39.0,15.0,40.0,20.0,38.0,37.0,10.0,39.0,24.0,37.0,9.0,17.0,25.0,1.0,37.0,37.0,22.0,29.0,16.0,26.0,35.0,5.0,37.0,30.0,34.0,40.0,9.0,9.0,40.0,37.0,39.0,31.0,15.0,37.0,10.0,26.0,16.0,11.0,38.0,38.0,36.0,18.0,1.0,16.0,23.0,1.0,38.0,40.0,24.0,31.0,36.0,40.0,36.0,17.0,31.0,24.0,24.0,9.0,35.0,37.0,25.0,30.0,39.0,-1.0,29.0,34.0,25.0,11.0,38.0,23.0,19.0,31.0,27.0,20.0,25.0,40.0,40.0,9.0,38.0,39.0,10.0,13.0,34.0,10.0,14.0,,,29.0,6.0,,11.0,36.0,32.0,29.0,37.0,26.0,38.0,37.0,0.0,40.0,25.0,9.0,30.0,11.0,11.0,4.0,1.0,33.0,17.0,24.0,23.0,32.0,40.0,8.0,29.0,,33.0,33.0,37.0,38.0,40.0,1.0,26.0,1.0,8.0,7.0,29.0,9.0,0.0,29.0,15.0,28.0,6.0,28.0,37.0,36.0,22.0,14.0,27.0,39.0,37.0,0.0,32.0,23.0,2.0,32.0,32.0,13.0,36.0,22.0,5.0
2006,17.0,8.0,26.0,39.0,8.0,33.0,13.0,30.0,39.0,40.0,10.0,22.0,40.0,33.0,17.0,22.0,36.0,16.0,38.0,25.0,4.0,36.0,28.0,31.0,40.0,7.0,10.0,31.0,17.0,40.0,40.0,39.0,2.0,5.0,11.0,14.0,11.0,26.0,24.0,37.0,38.0,1.0,38.0,38.0,39.0,12.0,38.0,40.0,33.0,11.0,28.0,7.0,3.0,-2.0,39.0,39.0,14.0,40.0,7.0,38.0,37.0,10.0,40.0,25.0,37.0,9.0,17.0,22.0,1.0,37.0,37.0,24.0,31.0,16.0,25.0,35.0,20.0,37.0,30.0,34.0,39.0,10.0,11.0,40.0,37.0,38.0,31.0,14.0,37.0,10.0,25.0,16.0,11.0,36.0,38.0,36.0,19.0,1.0,17.0,24.0,1.0,38.0,40.0,23.0,30.0,36.0,40.0,36.0,17.0,31.0,24.0,23.0,11.0,33.0,37.0,24.0,30.0,39.0,-2.0,24.0,33.0,25.0,17.0,37.0,23.0,19.0,31.0,29.0,21.0,28.0,40.0,40.0,17.0,38.0,39.0,10.0,13.0,34.0,11.0,14.0,,,,7.0,,11.0,36.0,32.0,28.0,37.0,26.0,38.0,37.0,0.0,40.0,26.0,9.0,32.0,11.0,10.0,4.0,3.0,33.0,17.0,23.0,23.0,33.0,40.0,1.0,29.0,,33.0,32.0,37.0,38.0,40.0,3.0,25.0,1.0,6.0,8.0,4.0,8.0,0.0,26.0,15.0,31.0,6.0,28.0,37.0,34.0,22.0,15.0,28.0,39.0,38.0,0.0,34.0,20.0,2.0,32.0,32.0,14.0,35.0,25.0,4.0
2007,17.0,8.0,26.0,39.0,9.0,32.0,14.0,30.0,39.0,40.0,10.0,22.0,39.0,33.0,17.0,12.0,36.0,15.0,38.0,23.0,3.0,36.0,29.0,31.0,40.0,7.0,11.0,31.0,17.0,40.0,39.0,39.0,2.0,5.0,9.0,13.0,8.0,26.0,23.0,37.0,38.0,1.0,38.0,38.0,39.0,12.0,39.0,40.0,33.0,11.0,27.0,7.0,3.0,-2.0,39.0,38.0,13.0,40.0,7.0,38.0,37.0,10.0,40.0,20.0,37.0,10.0,17.0,21.0,1.0,37.0,37.0,24.0,31.0,16.0,25.0,35.0,22.0,37.0,30.0,34.0,39.0,10.0,11.0,40.0,37.0,38.0,34.0,13.0,37.0,8.0,20.0,16.0,11.0,36.0,39.0,36.0,19.0,1.0,15.0,25.0,1.0,39.0,40.0,21.0,30.0,36.0,40.0,35.0,16.0,31.0,24.0,22.0,11.0,32.0,37.0,24.0,30.0,39.0,-2.0,24.0,33.0,25.0,22.0,38.0,23.0,19.0,31.0,28.0,18.0,27.0,40.0,40.0,17.0,38.0,39.0,10.0,15.0,34.0,11.0,14.0,,,,7.0,,8.0,36.0,32.0,23.0,37.0,24.0,38.0,37.0,0.0,40.0,26.0,10.0,32.0,9.0,11.0,4.0,3.0,30.0,17.0,21.0,26.0,33.0,40.0,0.0,29.0,,33.0,33.0,37.0,38.0,40.0,3.0,25.0,1.0,5.0,14.0,8.0,9.0,0.0,28.0,15.0,32.0,5.0,29.0,37.0,34.0,22.0,15.0,29.0,39.0,38.0,0.0,35.0,19.0,2.0,32.0,32.0,14.0,35.0,26.0,5.0
2008,16.0,11.0,26.0,39.0,9.0,32.0,11.0,30.0,39.0,39.0,8.0,20.0,39.0,32.0,17.0,22.0,35.0,13.0,38.0,23.0,4.0,36.0,28.0,32.0,40.0,7.0,19.0,30.0,17.0,39.0,39.0,39.0,2.0,6.0,8.0,11.0,9.0,26.0,25.0,37.0,38.0,1.0,38.0,38.0,39.0,12.0,39.0,40.0,33.0,11.0,29.0,7.0,3.0,-2.0,40.0,39.0,13.0,40.0,7.0,38.0,37.0,10.0,40.0,18.0,37.0,5.0,16.0,21.0,1.0,37.0,38.0,24.0,31.0,16.0,25.0,35.0,22.0,37.0,30.0,34.0,39.0,9.0,11.0,40.0,37.0,38.0,34.0,13.0,37.0,7.0,19.0,13.0,11.0,36.0,39.0,36.0,19.0,1.0,17.0,25.0,1.0,39.0,40.0,21.0,30.0,37.0,40.0,34.0,16.0,31.0,22.0,22.0,20.0,31.0,36.0,24.0,30.0,39.0,-3.0,24.0,34.0,25.0,9.0,38.0,23.0,20.0,30.0,28.0,17.0,22.0,40.0,40.0,21.0,38.0,39.0,10.0,14.0,34.0,11.0,14.0,17.0,-2.0,,7.0,,18.0,36.0,32.0,22.0,37.0,23.0,38.0,37.0,0.0,39.0,28.0,10.0,34.0,8.0,11.0,3.0,3.0,29.0,17.0,22.0,27.0,33.0,40.0,0.0,29.0,,33.0,33.0,37.0,38.0,40.0,3.0,25.0,1.0,5.0,14.0,12.0,8.0,1.0,28.0,15.0,32.0,5.0,29.0,37.0,35.0,22.0,15.0,28.0,39.0,38.0,0.0,35.0,18.0,2.0,32.0,32.0,15.0,35.0,26.0,4.0
2009,11.0,10.0,26.0,39.0,8.0,32.0,11.0,29.0,39.0,39.0,8.0,22.0,40.0,32.0,17.0,26.0,35.0,11.0,38.0,23.0,4.0,37.0,28.0,32.0,40.0,7.0,19.0,29.0,17.0,40.0,39.0,39.0,1.0,6.0,8.0,11.0,7.0,26.0,25.0,37.0,38.0,1.0,38.0,38.0,39.0,12.0,38.0,40.0,33.0,11.0,29.0,7.0,3.0,-2.0,40.0,39.0,13.0,40.0,7.0,38.0,37.0,9.0,40.0,20.0,37.0,2.0,15.0,21.0,1.0,36.0,38.0,23.0,31.0,16.0,18.0,36.0,22.0,37.0,30.0,34.0,39.0,7.0,12.0,40.0,36.0,37.0,34.0,10.0,37.0,7.0,19.0,11.0,11.0,36.0,39.0,36.0,19.0,1.0,17.0,24.0,1.0,39.0,40.0,22.0,29.0,37.0,40.0,33.0,14.0,31.0,25.0,9.0,25.0,30.0,36.0,25.0,31.0,39.0,-3.0,25.0,35.0,23.0,11.0,38.0,26.0,20.0,30.0,13.0,16.0,20.0,40.0,40.0,21.0,38.0,39.0,9.0,14.0,34.0,14.0,13.0,16.0,-3.0,,7.0,,19.0,36.0,31.0,21.0,37.0,23.0,38.0,37.0,0.0,39.0,28.0,10.0,34.0,7.0,10.0,3.0,3.0,29.0,17.0,22.0,27.0,34.0,40.0,0.0,30.0,,33.0,33.0,37.0,38.0,40.0,3.0,25.0,1.0,5.0,16.0,12.0,8.0,1.0,28.0,15.0,32.0,5.0,27.0,37.0,36.0,21.0,15.0,28.0,39.0,38.0,0.0,35.0,16.0,2.0,32.0,32.0,11.0,35.0,26.0,7.0
2010,10.0,10.0,26.0,39.0,8.0,32.0,11.0,29.0,39.0,39.0,7.0,13.0,39.0,33.0,17.0,26.0,35.0,11.0,38.0,23.0,4.0,37.0,27.0,32.0,40.0,7.0,19.0,29.0,15.0,40.0,39.0,39.0,2.0,4.0,7.0,11.0,7.0,27.0,25.0,37.0,38.0,1.0,38.0,38.0,39.0,10.0,38.0,40.0,31.0,11.0,28.0,6.0,2.0,-2.0,40.0,39.0,8.0,40.0,7.0,38.0,37.0,9.0,40.0,20.0,37.0,14.0,15.0,18.0,1.0,36.0,38.0,23.0,31.0,16.0,19.0,36.0,20.0,37.0,30.0,34.0,39.0,6.0,12.0,40.0,36.0,37.0,33.0,10.0,37.0,6.0,21.0,13.0,9.0,36.0,39.0,36.0,19.0,0.0,17.0,24.0,1.0,39.0,40.0,17.0,29.0,37.0,40.0,33.0,14.0,31.0,27.0,7.0,24.0,29.0,36.0,26.0,31.0,39.0,0.0,27.0,35.0,23.0,11.0,38.0,26.0,20.0,30.0,12.0,19.0,20.0,40.0,40.0,20.0,38.0,39.0,9.0,15.0,34.0,15.0,10.0,20.0,-3.0,,7.0,,20.0,36.0,31.0,25.0,37.0,23.0,38.0,37.0,0.0,39.0,28.0,10.0,34.0,7.0,8.0,3.0,5.0,28.0,17.0,22.0,27.0,34.0,40.0,0.0,30.0,,33.0,33.0,37.0,38.0,40.0,3.0,25.0,1.0,5.0,16.0,12.0,8.0,1.0,28.0,29.0,33.0,5.0,27.0,37.0,36.0,28.0,15.0,27.0,39.0,38.0,0.0,36.0,17.0,2.0,32.0,32.0,11.0,35.0,25.0,8.0
2011,10.0,10.0,24.0,39.0,8.0,32.0,11.0,29.0,39.0,39.0,6.0,13.0,40.0,32.0,16.0,25.0,34.0,8.0,38.0,23.0,4.0,37.0,28.0,33.0,40.0,7.0,19.0,29.0,17.0,40.0,39.0,39.0,2.0,11.0,7.0,9.0,7.0,27.0,25.0,37.0,38.0,1.0,38.0,38.0,39.0,9.0,38.0,40.0,31.0,11.0,27.0,11.0,2.0,-2.0,40.0,39.0,7.0,40.0,7.0,38.0,37.0,9.0,40.0,22.0,37.0,14.0,7.0,18.0,1.0,35.0,38.0,24.0,31.0,16.0,19.0,36.0,20.0,36.0,30.0,34.0,39.0,6.0,12.0,40.0,36.0,36.0,33.0,10.0,37.0,6.0,21.0,16.0,9.0,36.0,39.0,36.0,19.0,0.0,17.0,26.0,3.0,39.0,39.0,17.0,28.0,37.0,40.0,33.0,15.0,31.0,28.0,7.0,24.0,29.0,36.0,26.0,31.0,39.0,4.0,27.0,35.0,23.0,11.0,38.0,25.0,20.0,30.0,26.0,21.0,17.0,40.0,40.0,21.0,38.0,39.0,9.0,17.0,34.0,15.0,10.0,21.0,-3.0,,9.0,,20.0,36.0,30.0,26.0,37.0,23.0,38.0,37.0,0.0,39.0,28.0,10.0,34.0,7.0,8.0,3.0,2.0,28.0,19.0,22.0,28.0,35.0,40.0,0.0,30.0,11.0,33.0,33.0,37.0,38.0,40.0,1.0,25.0,0.0,5.0,17.0,21.0,8.0,1.0,28.0,29.0,33.0,25.0,28.0,37.0,36.0,28.0,13.0,23.0,39.0,38.0,0.0,36.0,17.0,2.0,32.0,32.0,8.0,34.0,29.0,8.0
