Date,AFG,AGO,ALB,AND,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GTM,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NER,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,OWID_WRL,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
2000,42742.87,21290.77,11822.55,148.28,1546.31,93675.03,13818.33,184.33,48280.67,38573.69,27901.85,8094.25,37728.11,8666.96,13379.58,176338.4,88939.01,1182.25,549.02,15997.88,77355.22,318.09,12687.09,305689.3,686.13,288.91,670.98,1810.64,5574.99,75956.22,24552.32,22229.29,3092625.2,15870.25,19918.95,62688.72,6523.67,34.27,48901.96,799.62,525.25,4700.0,31101.86,2365.42,56146.5,383842.25,816.94,238.41,20974.0,10010.35,49867.24,14952.95,156912.72,4290.35,126764.75,10609.9,54280.74,21587.73,2075.18,167172.56,271.87,2409.72,234015.58,31095.53,23854.37,11113.74,2228.41,2516.59,1047.74,53374.72,293.72,8140.44,1654.39,5810.83,26679.93,19890.36,70891.06,470125.12,1439502.5,12415.08,93457.51,40813.67,723.36,12193.46,238018.38,4346.7,5548.87,300381.47,70562.16,12151.46,15320.57,16974.46,194.12,158.64,70521.66,1320.83,10574.87,6093.64,3480.87,6456.35,297.94,46297.62,3062.1,22107.76,1381.14,19383.8,56895.84,183.95,35710.38,23287.97,440.1,97915.44,117.28,10742.47,10670.35,1409.9,103092.17,3136.67,6066.48,16412.47,2877.76,2630.75,14823.39,35432.12,2220.58,9187.9,133610.55,2985.3,10.24,49680.56,18522.28,23611.22,35.48,10731.92,3489.42,14122606.0,257892.77,3237.16,14514.45,109410.53,60.03,5557.0,184952.94,51380.13,45994.58,5179.22,754.21,152514.16,1261013.5,12154.78,19005.32,41033.87,13079.57,6258.71,932.12,7083.24,5817.49,72.08,11618.67,59672.64,4443.78,177.27,755.66,27965.43,7580.08,43204.75,1085.93,170.61,32960.35,10046.08,7424.57,73547.71,11853.61,12688.28,1021.64,161.92,2657.68,19532.28,107729.45,39.69,24450.75,18754.88,456413.1,10671.94,939839.5,111457.56,256.17,28068.22,149847.86,519.62,350.36,34321.7,54273.89,7489.46,11292.18
2001,43331.7,20941.67,8531.45,148.64,1679.83,96672.26,13656.32,171.84,47758.82,36833.35,26825.7,7881.01,36585.94,8747.61,13944.5,180601.47,85408.76,1195.25,573.05,15916.0,81767.06,270.6,12358.85,307904.62,667.14,299.31,699.84,1868.77,5454.48,74531.39,23861.9,22863.91,3243333.0,15964.17,21485.11,64938.41,6248.17,32.19,48944.93,784.96,549.91,4837.98,31923.31,2412.2,56058.07,379173.25,843.28,235.99,21348.82,10243.95,50813.58,15007.61,170380.77,4207.52,125762.38,10456.21,53988.99,21012.08,2049.27,166617.5,272.9,2367.84,241520.84,29161.87,25795.21,11442.2,2291.57,2447.67,1007.84,52166.33,310.55,8060.63,1548.83,5904.52,26509.32,20069.07,65810.68,487605.7,1452399.4,11628.89,95141.33,40747.93,723.58,11895.31,231110.16,4479.09,5835.24,303265.7,71412.37,12378.2,14662.81,17265.48,195.84,155.28,68592.74,1204.78,10927.74,5887.14,3499.16,7088.15,301.86,43983.46,2666.23,23304.98,1385.27,20122.74,58478.48,178.58,33636.95,23821.82,448.99,99684.76,118.51,10340.14,10767.48,1390.17,104086.85,3262.83,6221.33,16093.71,2858.21,2582.18,15253.6,35453.26,2263.02,9697.96,138543.19,3152.56,9.88,48360.99,18156.93,23652.73,35.72,11228.89,3368.94,14343015.0,265666.22,3500.85,14033.85,118173.18,61.97,5913.76,182256.19,52768.56,45123.67,5004.0,788.09,153626.02,1280225.6,12092.7,19997.11,41644.18,12817.1,6100.86,946.59,7681.47,6067.27,70.38,11729.96,56690.88,4415.32,180.59,818.08,28373.37,7331.91,42605.12,1195.95,174.3,32474.76,9997.72,7653.99,75604.36,12142.57,12911.1,1066.24,160.82,2610.77,20089.29,105481.9,39.52,24021.26,19296.15,449453.1,10896.2,925304.8,111357.71,253.33,29348.99,155845.64,545.81,355.94,34637.12,54705.62,7499.05,11876.79
2002,45327.83,21582.97,9853.88,147.89,1883.71,98559.8,14592.53,182.33,48055.14,35954.46,28099.43,7690.18,36975.79,8895.67,14445.37,191157.95,87068.73,1197.69,587.15,15970.54,87822.92,260.16,12081.28,310584.16,675.71,331.54,721.87,1803.89,5651.35,74372.57,23184.37,22525.39,3384962.8,16048.47,22147.22,66455.67,5956.49,31.38,48759.33,771.52,580.45,4564.51,29412.87,2415.47,56191.06,380513.12,923.58,235.25,20831.19,10562.76,51497.81,16027.4,178887.27,4291.41,127230.12,10511.46,54086.09,21619.42,2033.12,164482.84,273.58,2175.48,238399.38,32923.35,27208.0,11904.11,2376.43,2344.77,982.6,52710.02,333.69,7796.95,1630.91,6069.46,26817.72,20367.66,66012.14,509090.7,1504195.1,11403.49,96637.57,41181.28,718.91,11976.69,230534.28,4400.91,5966.56,306334.62,72426.65,13284.07,16150.16,16965.34,199.2,150.31,70691.67,1422.32,11085.03,5463.11,3778.07,7403.37,304.55,43925.9,2886.76,23573.81,1406.29,20018.21,59629.65,174.35,34515.37,25062.31,458.04,104452.93,120.69,11375.27,10864.69,1365.8,106274.81,3359.45,6285.16,16512.93,2875.97,2777.35,15624.56,36462.21,2316.36,9856.42,136909.72,3375.27,9.49,48521.22,18061.02,23577.66,35.44,11164.17,3261.13,14737166.0,273679.25,3464.73,14914.88,125695.33,62.98,6141.81,176324.95,56683.59,45031.78,5005.56,818.2,163300.12,1329575.5,11929.81,20921.36,42138.41,12677.33,5825.59,987.36,8255.97,5725.83,71.25,11985.05,59086.76,4445.67,182.2,883.19,27753.79,7242.53,42464.53,1275.16,179.01,33274.93,10355.85,7841.19,82118.26,12555.17,13881.89,1038.45,161.98,2546.2,20608.66,102996.09,38.83,24978.99,19207.62,463594.44,10751.17,920983.4,119648.81,254.68,28162.12,161559.73,568.75,361.04,34757.43,60618.34,7505.87,12611.92
2003,48414.6,23093.62,11494.35,150.11,1995.03,99808.7,14686.84,179.0,46718.15,34233.1,29918.11,7590.22,36906.54,8943.64,14571.18,197810.9,86665.98,1270.82,607.1,15926.8,87238.71,264.03,11779.0,315942.6,705.42,347.42,764.65,1805.66,5416.14,74129.02,23655.05,23798.93,3611133.8,16475.24,23142.81,69818.36,5654.99,30.93,50757.22,754.35,614.0,4450.82,31068.21,2432.33,57016.94,382529.16,964.82,233.87,20222.27,11091.96,52487.16,15635.43,189365.62,4226.31,131263.69,10440.02,54171.38,21203.42,2065.46,166673.69,275.98,2161.03,233571.9,32906.91,28526.44,12203.7,2396.91,2258.98,1005.32,54026.35,360.96,8173.54,1745.25,6356.24,27803.69,20807.02,67163.95,530014.3,1560439.5,10779.29,96632.8,41745.72,724.29,11789.37,238195.22,4457.95,5755.69,315684.22,76909.87,13713.07,16471.5,17404.33,201.35,142.35,70646.16,1391.68,11213.27,5233.85,3548.2,7680.62,309.82,45458.31,3223.41,23490.97,1387.52,20092.28,62126.74,172.04,34535.21,26124.25,478.1,108033.42,122.87,11209.68,10820.1,1363.38,108612.51,3412.32,6288.49,16608.76,2864.34,2822.55,16801.77,38960.52,2359.65,10276.03,135582.08,3556.98,9.65,47123.94,16988.52,24263.19,32.8,10833.25,3210.25,15206531.0,280445.16,3714.97,16515.88,128573.77,62.66,6418.27,180209.84,58153.52,45556.64,5137.63,818.58,161224.56,1378123.5,11297.4,21997.68,42107.75,13222.15,6092.88,1042.17,8727.65,6161.36,71.11,12284.69,59582.46,4603.69,177.6,931.06,28039.83,7438.45,41281.9,1317.66,186.83,32115.18,10276.77,8064.26,85901.27,12863.61,14573.7,1158.0,164.55,2608.04,21164.98,101112.61,37.31,25774.43,18812.64,476792.03,11481.3,905036.56,122006.31,247.0,30503.46,168134.61,589.16,370.37,34741.82,64923.12,7333.14,13395.33
2004,49727.8,23737.79,11373.51,156.39,2236.26,95624.8,14064.05,185.1,46369.95,32003.35,30014.52,7688.47,34949.42,9062.05,14803.36,198441.25,83853.35,1316.29,642.47,16034.22,85909.65,270.66,11545.49,324596.38,686.91,332.68,800.89,1809.76,5473.69,72458.19,22183.76,24349.96,3811783.8,16059.35,23218.14,72172.63,5870.16,30.37,51731.49,754.11,655.2,4752.25,31851.97,2441.91,54025.67,356661.78,1009.36,230.26,18934.54,12122.3,53215.38,15264.3,188713.27,4426.02,124191.78,9796.58,54474.05,20142.08,2006.77,152179.9,281.39,2182.4,217425.67,32332.46,29437.25,12514.79,2403.12,2278.63,1005.82,52516.06,395.72,8449.95,1784.01,6619.48,24975.6,21061.3,65287.07,550534.4,1589596.8,10350.45,98265.38,42240.26,696.64,11566.08,218908.12,4264.78,6024.16,314867.56,74983.09,14618.18,15662.87,17952.28,205.92,139.76,70360.14,1465.91,11495.06,5157.12,3832.15,7572.15,304.17,45733.37,3257.94,23653.61,1370.96,20122.57,64183.46,171.67,32300.67,27165.48,484.94,107765.53,124.3,11094.82,10886.33,1390.06,111204.7,3430.22,6279.14,17036.56,2947.56,2845.15,17481.8,40316.63,2364.96,10319.64,135128.44,3576.41,9.53,44499.75,16081.63,24811.24,35.79,11086.48,3142.05,15297544.0,286255.75,3846.18,16629.08,141407.22,67.93,6660.1,176201.19,59935.95,40887.83,5823.88,803.04,153650.58,1335197.6,10522.33,23074.25,42524.12,13241.61,5648.09,978.81,9056.71,6232.76,64.51,12643.31,59490.61,4785.92,180.73,942.2,27919.08,7123.26,39204.82,1379.83,189.57,32561.57,10562.82,8116.66,90503.99,13326.65,15577.84,1259.28,163.12,2546.64,21670.9,100347.41,38.01,26587.62,18600.75,473381.03,11178.69,863275.44,119280.69,251.16,29871.77,176698.05,608.92,375.92,35004.31,65934.78,7345.02,14171.31
2005,50470.97,23343.5,12084.3,157.27,2438.96,93844.41,14251.02,183.65,47051.04,32086.66,31635.98,7492.95,34328.41,9202.98,15081.7,206832.25,82738.7,1346.37,618.69,16547.81,86999.02,261.78,11452.02,313877.75,655.93,332.44,830.41,1900.86,5223.36,71453.68,22536.5,24359.98,3883985.8,16651.77,23898.53,73219.26,5839.25,31.55,53507.96,757.17,710.75,4506.08,33775.22,2445.55,54442.4,354985.56,1009.23,231.73,17855.1,13102.39,53775.5,16420.91,188593.92,4552.54,126833.28,9629.82,54251.44,20193.43,2067.08,155133.28,286.65,2476.06,208601.64,28546.06,30300.55,12533.09,2361.78,2173.54,1009.03,51048.26,429.97,8839.83,1802.59,6989.13,25987.3,21547.89,68854.63,570576.9,1631418.8,9779.61,98717.43,42672.56,702.35,11864.89,229472.77,4653.7,6485.07,334034.88,77645.5,15491.65,16297.73,18523.56,212.26,136.93,68672.32,1574.08,11745.15,5268.43,3803.49,7790.36,316.89,48446.14,3581.81,25091.03,1373.15,20442.58,66534.81,172.58,34190.83,27665.86,491.86,112065.5,127.74,11515.43,10973.1,1407.55,111864.47,3400.51,6383.28,17657.8,2858.26,3299.78,17444.35,41511.63,2365.92,10992.68,131945.44,3729.87,9.28,43017.94,14775.98,25443.34,36.06,10333.89,3211.48,15565461.0,291821.6,4071.31,17370.21,146518.72,68.21,7025.88,175870.48,61921.8,42615.32,5916.28,821.57,155356.44,1356475.5,10092.87,24258.72,42602.05,13315.14,5618.6,1062.12,9366.49,6517.4,62.55,12885.62,61559.28,4920.39,179.49,929.32,28923.14,7598.75,38922.94,1412.78,192.59,32569.16,11000.72,8299.89,91340.82,14048.54,16603.92,1324.46,156.3,2503.33,22111.59,100259.62,38.25,27427.19,17783.28,492688.84,10815.23,858154.0,132851.88,251.91,30336.15,183965.73,625.79,385.52,35492.92,66599.76,7156.84,14360.68
2006,51277.46,24496.07,12128.16,155.96,2548.67,93215.21,14044.42,183.95,46657.7,32033.93,34837.01,7479.03,33025.57,9390.96,15580.09,219329.11,82053.34,1297.26,634.97,16627.56,84592.83,263.4,11312.15,323547.7,657.9,336.92,845.42,1797.89,5637.98,68942.46,22018.49,24052.49,3736951.2,17327.04,24304.91,74818.96,5597.2,32.48,54920.55,767.7,714.72,4861.97,31878.48,2435.63,52038.76,347082.88,1017.48,234.07,17294.74,13678.67,54658.43,17000.4,193667.84,4656.57,120699.59,9575.9,53945.31,20515.05,2134.22,150353.73,286.46,2544.13,198166.19,29522.09,31445.68,13142.48,2315.18,2183.07,1020.03,50743.08,426.84,9071.2,1815.08,7265.5,25492.98,21677.56,64579.25,588245.2,1707719.8,9680.33,99653.74,41964.64,681.43,11473.97,217124.16,3597.25,6872.45,329544.8,77733.06,16531.16,16578.33,18932.75,215.82,134.56,68316.82,1694.0,11642.2,5372.72,4060.99,7512.51,313.57,49490.98,3860.11,25529.56,1354.33,20219.15,68832.05,172.01,31393.55,28323.28,506.83,112046.88,129.03,11515.09,11225.81,1418.13,113111.25,3345.82,6324.15,19713.15,2939.55,3183.26,18808.84,42527.38,2389.42,10974.08,133213.39,3407.65,9.39,41433.97,14871.97,26502.59,36.4,10669.68,3307.46,15412245.0,297270.28,4004.95,18186.5,151501.88,69.1,7395.68,175434.3,64351.37,39497.71,6484.63,874.9,152636.2,1285421.8,9994.35,25353.48,43598.68,13412.1,5673.5,1093.1,9405.79,6642.44,60.78,13048.04,59366.84,5117.15,187.57,903.64,29183.63,7103.52,38725.78,1419.52,196.18,33177.89,11240.59,8530.99,93395.64,14558.69,16711.64,1370.18,159.43,2439.11,22571.54,100483.34,38.89,28309.67,16794.36,481426.84,10140.17,824877.25,132824.1,270.38,30911.58,191849.31,659.26,392.45,35760.96,73577.39,7560.46,14351.01
2007,51079.69,24076.61,12109.98,145.7,2465.95,99567.49,13907.97,194.8,45875.3,32388.42,30260.63,7322.51,32468.51,9616.92,15907.38,224761.03,80378.29,1297.09,629.59,17879.72,81024.79,262.64,11443.85,326553.9,652.61,343.77,849.43,2059.33,5562.44,69716.67,22027.83,25409.08,3747023.8,18450.43,24697.62,78126.52,5719.83,31.64,54670.34,774.27,752.72,4693.26,31864.46,2347.59,52304.74,346663.38,1057.4,235.32,16901.38,13887.2,55567.14,16945.22,197193.16,4685.36,124656.89,9460.07,53895.24,20934.77,2193.25,150683.7,284.93,2400.49,193656.38,28937.88,32534.81,13567.16,2323.34,2165.09,1034.93,50856.14,435.59,8983.43,1826.3,7447.28,26399.36,22081.56,64503.16,608610.8,1818431.1,9821.6,101634.99,41826.4,701.35,12187.21,221122.44,5273.77,6397.89,334528.97,78053.57,17898.25,16227.22,19701.83,224.1,133.5,67795.01,1656.75,11460.16,5617.07,4208.21,8015.36,296.65,49266.99,4056.62,25393.09,1333.88,20190.25,71303.69,168.93,30004.93,28634.43,514.55,116960.71,128.63,12054.94,11655.91,1370.98,111449.85,3235.26,6294.34,23101.58,3010.03,3335.1,18906.11,44125.49,2351.6,11612.36,133642.73,3711.86,9.37,40407.53,14857.71,26869.45,37.12,10291.02,3346.93,15568867.0,301303.72,4130.99,17663.87,156501.89,68.24,7681.78,178322.38,69787.38,38985.02,6489.97,985.52,147277.4,1236942.6,10117.43,25858.93,44633.23,13612.34,6365.95,1236.93,9829.89,6712.35,61.44,13232.29,58551.57,5315.11,197.52,889.5,29233.57,7367.83,38260.12,1443.53,197.04,34391.15,11276.88,8690.29,93910.04,15293.41,16451.77,1435.61,163.37,2417.93,23068.59,102575.21,38.88,29094.43,15897.94,481793.38,11172.21,808541.6,133843.02,296.88,31993.87,201284.39,676.43,399.41,36920.89,76308.73,7515.18,14605.08
2008,50387.95,24253.95,12039.12,140.12,2406.4,94631.09,14067.83,188.6,47661.88,31821.92,34229.67,7320.26,32700.2,9949.0,16445.93,224345.1,77279.49,1299.98,659.88,17405.57,81891.65,251.72,11496.88,334258.66,653.92,360.82,860.8,2519.34,5587.87,69726.81,21787.42,24168.02,3885656.0,19727.38,25161.01,81158.64,5767.3,33.16,56097.91,794.0,806.38,4728.59,33992.53,2312.29,52124.61,345755.75,1048.63,242.66,16005.48,14207.79,56802.48,17491.1,204077.12,4899.0,123787.58,9229.5,54573.53,20973.61,2259.3,152873.66,283.92,2475.05,190820.88,27951.42,33937.68,13944.34,2368.36,2151.0,1098.77,49261.32,424.2,9179.84,1930.78,7667.94,26123.6,22363.28,62755.89,629596.44,1896073.4,9840.03,101464.54,42864.01,700.53,10991.58,222368.73,4986.04,6068.01,344494.56,74035.68,19254.44,16155.05,20333.18,231.62,135.31,63993.73,1994.56,11659.48,5858.01,4397.15,8491.55,294.81,50472.6,3771.94,24600.1,1298.23,18815.48,73236.5,172.83,28489.94,29355.13,519.4,125869.6,130.7,11454.31,12011.55,1331.64,110989.23,3209.42,6470.78,24546.0,3130.43,3209.42,18044.87,47652.91,2311.86,11607.1,133053.55,3832.63,9.37,39656.09,14469.43,27849.57,36.98,10118.28,3401.9,15887055.0,308673.06,4069.34,17615.04,163382.9,68.0,7825.69,179912.7,75455.9,38361.84,6682.11,1038.74,147145.66,1240465.2,10366.31,25735.53,46397.59,14325.52,6450.37,1334.64,10048.72,6899.99,66.67,13780.67,58475.13,5520.45,200.02,891.63,28445.18,7023.49,37748.55,1466.67,204.99,36175.01,11642.57,9075.28,94393.78,15518.69,15522.32,1537.76,166.01,2532.55,23547.58,107866.92,39.3,29872.62,15671.82,479059.72,10034.95,807740.7,133213.34,316.36,33634.39,209832.42,693.43,406.03,37738.07,80042.19,7717.66,15451.39
2009,50047.83,24419.42,11842.11,131.5,2450.19,94741.4,13914.83,181.19,45312.32,33228.13,33343.93,7705.39,32207.65,10276.33,17058.48,225338.1,76870.78,1304.36,696.18,17664.04,83213.21,282.63,11573.21,336425.56,629.66,357.37,868.23,2786.21,5981.67,68557.62,21782.01,25080.72,4041977.8,21407.35,25532.78,82285.32,5983.81,34.57,54164.74,800.53,864.61,4835.55,33617.69,2270.79,53967.18,345229.47,1086.52,246.88,15808.02,14558.2,57839.64,16930.84,211055.8,5105.99,121136.44,8930.91,55011.74,21245.77,2282.37,151705.94,282.91,2604.9,180619.9,31594.4,35307.04,14172.17,2382.83,2181.97,1158.52,48963.43,460.3,10217.73,1943.31,7903.34,25940.7,22805.4,62922.61,648346.8,1930030.0,9629.09,101819.96,43881.03,698.11,10262.84,221450.44,4738.75,5934.75,340928.34,68000.81,20476.17,15907.79,21080.24,237.11,139.23,61628.02,1841.66,11687.51,6034.16,4689.2,9044.48,295.05,49891.2,3709.82,24224.74,1248.6,18093.79,75300.22,191.77,28120.77,30093.32,525.88,129455.02,131.65,11605.22,12367.2,1305.15,107690.62,3233.43,6686.92,26183.72,3422.5,3142.95,17513.11,51122.75,2514.92,12382.6,135999.61,3914.58,9.29,38400.05,13805.21,29351.13,36.74,10121.72,3131.45,16065573.0,315991.6,4553.27,19286.5,176946.31,68.01,7962.32,184819.9,79140.34,37585.18,7387.14,1065.94,150509.94,1200387.9,10616.34,25018.73,47794.22,14510.48,6238.13,1369.11,10197.15,7134.73,69.05,13847.47,58894.43,5856.97,200.25,883.49,28404.33,7255.76,36579.36,1439.24,206.77,36564.59,11847.68,9304.87,94215.4,15647.62,13625.78,1912.93,170.23,2473.45,24195.41,116778.89,39.65,30794.74,15103.82,457013.16,9748.89,784059.06,127346.33,313.63,33968.77,217247.02,725.26,401.36,38373.53,80660.28,7704.23,15756.57
