Date,AFG,AGO,ALB,AND,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GTM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NER,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,OWID_SRM,OWID_WRL,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,QAT,REU,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SHN,SLB,SLE,SLV,SMR,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
1980,6160.0,224.0,7.0,,336.0,224.0,,0.0,0.0,7.0,,301.0,7.0,1085.0,1015.0,455.0,105.0,42.0,0.0,,,21.0,336.0,9394.0,0.0,0.0,42.0,7.0,147.0,0.0,7.0,0.0,52094.0,329.0,1785.0,1841.0,952.0,0.0,903.0,21.0,119.0,0.0,0.0,0.0,,49.0,,0.0,0.0,1036.0,812.0,77.0,14042.0,,119.0,,1638.0,0.0,0.0,70.0,,490.0,21.0,,1015.0,224.0,7.0,21.0,,0.0,0.0,2009.0,0.0,,21.0,,140.0,7.0,1274.0,132825.0,7.0,560.0,6979.0,0.0,77.0,7.0,0.0,105.0,28.0,,3185.0,,4137.0,0.0,0.0,98.0,224.0,8162.0,,686.0,210.0,0.0,1848.0,252.0,,0.0,,,364.0,0.0,,476.0,7.0,4774.0,0.0,,1638.0,0.0,1708.0,,0.0,455.0,1113.0,0.0,490.0,35.0,,2177.0,5712.0,147.0,0.0,0.0,0.0,364.0,0.0,0.0,259.0,,368410.0,20860.0,0.0,1274.0,3024.0,0.0,154.0,21.0,0.0,0.0,49.0,,14.0,,875.0,,168.0,1799.0,29057.0,966.0,7.0,,0.0,77.0,385.0,0.0,,28.0,,28.0,0.0,,,0.0,1344.0,0.0,2184.0,,1246.0,2100.0,,,,0.0,0.0,105.0,1274.0,0.0,637.0,259.0,,0.0,56.0,,0.0,77.0,12187.0,14.0,0.0,5054.0,784.0,1932.0,224.0
1981,5859.0,84.0,7.0,,259.0,14.0,,0.0,0.0,0.0,,714.0,0.0,1505.0,896.0,686.0,0.0,35.0,0.0,,,0.0,63.0,854.0,0.0,0.0,0.0,7.0,1043.0,0.0,21.0,0.0,67375.0,217.0,2331.0,1757.0,133.0,0.0,3325.0,0.0,70.0,0.0,0.0,0.0,,133.0,280.0,0.0,7.0,504.0,798.0,77.0,11291.0,,91.0,,469.0,0.0,0.0,63.0,,63.0,14.0,,686.0,294.0,0.0,371.0,,14.0,0.0,294.0,0.0,,126.0,,245.0,7.0,6587.0,266630.0,0.0,1344.0,2940.0,0.0,56.0,7.0,0.0,7.0,14.0,,1876.0,,3976.0,0.0,0.0,14.0,63.0,,7.0,14.0,231.0,0.0,1778.0,140.0,,0.0,,,406.0,0.0,,385.0,0.0,1302.0,0.0,,1932.0,0.0,2009.0,,0.0,294.0,63.0,0.0,490.0,7.0,,1953.0,2345.0,322.0,0.0,7.0,7.0,63.0,0.0,0.0,301.0,,460159.0,30338.0,0.0,1715.0,2044.0,0.0,63.0,7.0,0.0,0.0,371.0,,28.0,,875.0,,266.0,1183.0,441.0,1309.0,0.0,,0.0,336.0,364.0,0.0,,0.0,,49.0,0.0,,,0.0,,0.0,1736.0,,1008.0,1799.0,,,,0.0,0.0,280.0,1036.0,0.0,483.0,868.0,,0.0,42.0,,0.0,476.0,4508.0,7.0,0.0,3787.0,889.0,3003.0,196.0
1982,9730.0,42.0,0.0,,406.0,84.0,,0.0,0.0,0.0,,224.0,0.0,966.0,840.0,2233.0,7.0,0.0,0.0,,,0.0,70.0,483.0,0.0,0.0,0.0,28.0,483.0,0.0,7.0,0.0,54187.0,154.0,1610.0,2541.0,63.0,0.0,987.0,0.0,14.0,0.0,0.0,0.0,,49.0,245.0,0.0,0.0,490.0,497.0,77.0,15071.0,,147.0,,1071.0,0.0,0.0,98.0,,252.0,21.0,,924.0,518.0,,1113.0,,28.0,0.0,952.0,0.0,,56.0,,245.0,0.0,1526.0,184079.0,7.0,1337.0,2933.0,0.0,35.0,21.0,420.0,14.0,7.0,,1778.0,,5705.0,0.0,0.0,14.0,42.0,322.0,,28.0,1218.0,0.0,588.0,133.0,,0.0,,,623.0,0.0,,308.0,0.0,686.0,0.0,,784.0,0.0,2128.0,,518.0,329.0,126.0,0.0,273.0,35.0,,1225.0,2765.0,0.0,0.0,0.0,7.0,462.0,0.0,0.0,567.0,,361396.0,24542.0,0.0,1505.0,3080.0,0.0,126.0,42.0,0.0,7.0,518.0,,21.0,,273.0,,147.0,693.0,616.0,1092.0,7.0,,0.0,231.0,126.0,0.0,,42.0,,63.0,7.0,,,0.0,119.0,0.0,1834.0,,1106.0,1932.0,,,,0.0,0.0,42.0,1533.0,0.0,182.0,119.0,,0.0,56.0,,0.0,210.0,6279.0,14.0,0.0,1645.0,3367.0,1701.0,63.0
1983,13937.0,0.0,0.0,,91.0,182.0,,0.0,0.0,0.0,,259.0,7.0,413.0,924.0,896.0,7.0,0.0,0.0,,,0.0,49.0,315.0,0.0,0.0,,14.0,490.0,0.0,0.0,0.0,23072.0,28.0,1057.0,1358.0,112.0,0.0,448.0,42.0,336.0,0.0,0.0,0.0,,63.0,,0.0,7.0,49.0,924.0,35.0,7133.0,,189.0,,889.0,0.0,0.0,21.0,,49.0,35.0,,1099.0,14.0,0.0,14.0,,0.0,0.0,1456.0,0.0,,56.0,,882.0,7.0,399.0,172641.0,0.0,735.0,1064.0,0.0,28.0,7.0,0.0,14.0,0.0,,1379.0,,910.0,0.0,0.0,35.0,14.0,168.0,280.0,14.0,203.0,0.0,399.0,112.0,,0.0,,,343.0,0.0,,511.0,0.0,1624.0,0.0,,399.0,0.0,1505.0,,105.0,196.0,385.0,0.0,77.0,14.0,,1407.0,2744.0,0.0,0.0,7.0,0.0,462.0,0.0,0.0,266.0,,279811.0,6307.0,0.0,1547.0,2485.0,0.0,56.0,14.0,0.0,0.0,84.0,,0.0,,126.0,,161.0,749.0,763.0,1295.0,14.0,,0.0,357.0,616.0,0.0,490.0,84.0,,70.0,0.0,,,0.0,203.0,0.0,301.0,168.0,434.0,1008.0,,,,0.0,0.0,28.0,1155.0,0.0,707.0,882.0,,0.0,105.0,,0.0,63.0,7763.0,0.0,0.0,4431.0,644.0,1274.0,21.0
1984,3864.0,21.0,0.0,,147.0,7.0,,0.0,0.0,0.0,,322.0,0.0,364.0,735.0,896.0,7.0,0.0,0.0,,,0.0,0.0,574.0,0.0,0.0,49.0,35.0,1232.0,7.0,7.0,0.0,11382.0,14.0,959.0,924.0,84.0,0.0,112.0,0.0,21.0,0.0,0.0,0.0,,14.0,1225.0,0.0,0.0,0.0,756.0,0.0,5040.0,,14.0,,917.0,49.0,0.0,35.0,,189.0,42.0,,1085.0,210.0,0.0,21.0,119.0,0.0,0.0,119.0,0.0,,406.0,,441.0,7.0,889.0,161749.0,0.0,700.0,1561.0,0.0,7.0,7.0,0.0,7.0,0.0,,805.0,,6818.0,0.0,0.0,0.0,0.0,91.0,21.0,28.0,56.0,0.0,112.0,210.0,,0.0,,,154.0,0.0,,161.0,0.0,959.0,0.0,,581.0,0.0,1162.0,,49.0,217.0,546.0,0.0,175.0,28.0,,1288.0,4375.0,0.0,0.0,7.0,0.0,532.0,0.0,0.0,210.0,,245588.0,4165.0,0.0,903.0,2996.0,0.0,126.0,28.0,0.0,0.0,14.0,,0.0,,105.0,,91.0,714.0,546.0,686.0,14.0,,0.0,294.0,392.0,0.0,133.0,14.0,,0.0,0.0,,,0.0,182.0,0.0,203.0,63.0,434.0,567.0,,,,0.0,0.0,154.0,581.0,0.0,756.0,112.0,,0.0,56.0,,0.0,63.0,8106.0,0.0,0.0,5369.0,497.0,1239.0,28.0
1985,13867.0,98.0,7.0,,49.0,14.0,,0.0,0.0,0.0,,175.0,0.0,623.0,861.0,623.0,0.0,0.0,0.0,,,0.0,0.0,2303.0,0.0,0.0,14.0,21.0,441.0,7.0,0.0,0.0,10759.0,126.0,938.0,686.0,42.0,0.0,35.0,0.0,42.0,0.0,0.0,0.0,,0.0,,0.0,0.0,14.0,462.0,0.0,3948.0,,42.0,,644.0,7.0,0.0,7.0,,294.0,14.0,,1295.0,147.0,14.0,154.0,14.0,0.0,0.0,203.0,0.0,,28.0,,574.0,0.0,616.0,157990.0,0.0,371.0,1386.0,0.0,14.0,0.0,0.0,7.0,0.0,,2576.0,,6517.0,0.0,0.0,0.0,14.0,3661.0,21.0,14.0,14.0,0.0,77.0,203.0,,0.0,,,105.0,0.0,,147.0,0.0,1036.0,0.0,,1897.0,0.0,763.0,,14.0,182.0,987.0,0.0,602.0,28.0,,1022.0,6713.0,0.0,0.0,0.0,0.0,210.0,,0.0,231.0,,269381.0,15113.0,0.0,469.0,3899.0,0.0,63.0,0.0,0.0,0.0,21.0,,7.0,,0.0,,49.0,196.0,1197.0,609.0,0.0,,0.0,315.0,196.0,0.0,42.0,7.0,,0.0,0.0,,,0.0,91.0,0.0,175.0,315.0,483.0,455.0,,,,0.0,0.0,133.0,616.0,0.0,2380.0,,,0.0,49.0,,0.0,56.0,11200.0,0.0,0.0,2352.0,504.0,896.0,483.0
1986,12901.0,259.0,0.0,,42.0,0.0,,0.0,7.0,0.0,,154.0,0.0,665.0,665.0,1106.0,0.0,0.0,0.0,,,0.0,28.0,4284.0,0.0,0.0,42.0,14.0,665.0,0.0,0.0,21.0,12908.0,210.0,749.0,945.0,84.0,0.0,462.0,0.0,42.0,0.0,0.0,0.0,,14.0,,0.0,0.0,14.0,203.0,140.0,2912.0,,0.0,,1981.0,0.0,0.0,14.0,,70.0,0.0,,441.0,56.0,2387.0,98.0,7.0,0.0,0.0,231.0,0.0,,42.0,,42.0,0.0,168.0,141050.0,0.0,490.0,560.0,0.0,0.0,0.0,0.0,14.0,0.0,,931.0,,4396.0,0.0,0.0,0.0,0.0,1274.0,14.0,42.0,175.0,0.0,63.0,147.0,,0.0,,,84.0,0.0,,266.0,0.0,462.0,0.0,,2114.0,0.0,637.0,,49.0,49.0,707.0,0.0,511.0,0.0,,210.0,3171.0,0.0,0.0,0.0,0.0,70.0,7.0,0.0,63.0,,229922.0,4501.0,0.0,273.0,2625.0,0.0,168.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,196.0,84.0,1134.0,1904.0,,,0.0,98.0,84.0,0.0,7.0,21.0,,0.0,0.0,,,0.0,70.0,0.0,280.0,63.0,322.0,658.0,,,,0.0,0.0,77.0,224.0,0.0,1610.0,,,0.0,63.0,,0.0,189.0,6566.0,0.0,0.0,4207.0,287.0,938.0,644.0
1987,4396.0,105.0,0.0,,,0.0,,0.0,0.0,0.0,,63.0,0.0,518.0,350.0,714.0,0.0,0.0,0.0,,,0.0,49.0,1379.0,0.0,0.0,0.0,7.0,364.0,0.0,0.0,0.0,6783.0,168.0,385.0,623.0,7.0,0.0,819.0,0.0,21.0,0.0,0.0,0.0,,0.0,7.0,0.0,0.0,7.0,245.0,84.0,4403.0,,77.0,,2695.0,0.0,0.0,7.0,0.0,112.0,0.0,,588.0,147.0,189.0,63.0,77.0,0.0,0.0,112.0,0.0,,91.0,,84.0,0.0,8099.0,197848.0,0.0,217.0,315.0,0.0,14.0,0.0,0.0,0.0,0.0,,63.0,,2142.0,0.0,0.0,0.0,0.0,3360.0,0.0,28.0,196.0,0.0,672.0,28.0,,0.0,,,63.0,0.0,,189.0,0.0,539.0,7.0,,1190.0,0.0,469.0,,,7.0,483.0,0.0,217.0,0.0,,168.0,4242.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,42.0,,277781.0,8498.0,0.0,308.0,2289.0,0.0,28.0,0.0,266.0,7.0,0.0,,0.0,,0.0,,119.0,28.0,693.0,560.0,0.0,,0.0,84.0,399.0,0.0,371.0,0.0,,0.0,0.0,,,0.0,21.0,0.0,273.0,,609.0,175.0,,,,0.0,0.0,161.0,49.0,0.0,4046.0,,,0.0,0.0,,0.0,322.0,10143.0,0.0,0.0,1253.0,175.0,483.0,35.0
1988,2149.0,0.0,0.0,,63.0,0.0,,0.0,0.0,0.0,,84.0,0.0,217.0,147.0,3780.0,0.0,0.0,0.0,,,0.0,7.0,749.0,0.0,0.0,252.0,0.0,378.0,21.0,0.0,0.0,4669.0,231.0,861.0,504.0,7.0,0.0,231.0,0.0,14.0,0.0,0.0,0.0,,0.0,21.0,0.0,0.0,7.0,63.0,70.0,3850.0,,28.0,,924.0,0.0,0.0,7.0,,21.0,7.0,,420.0,1785.0,35.0,35.0,0.0,0.0,0.0,266.0,0.0,,49.0,,63.0,0.0,5411.0,166600.0,0.0,252.0,483.0,0.0,112.0,7.0,0.0,14.0,0.0,,11816.0,,728.0,0.0,0.0,0.0,0.0,1078.0,0.0,42.0,70.0,0.0,112.0,0.0,,0.0,,,0.0,0.0,,294.0,0.0,161.0,0.0,,847.0,0.0,420.0,,7.0,49.0,119.0,0.0,77.0,0.0,,231.0,10220.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,130.98,,242319.0,6545.0,0.0,385.0,2408.0,0.0,126.0,0.0,56.0,0.0,14.0,,0.0,,0.0,,63.0,21.0,651.0,126.0,0.0,,0.0,28.0,56.0,0.0,378.0,0.0,,0.0,0.0,,,0.0,14.0,0.0,238.0,,175.0,77.0,,,,0.0,0.0,14.0,126.0,0.0,28.0,105.0,,0.0,0.0,,0.0,119.0,5873.0,0.0,0.0,798.0,1218.0,595.0,28.0
1989,385.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,154.0,14.0,385.0,308.0,3143.0,7.0,0.0,0.0,,,0.0,14.0,175.0,0.0,0.0,0.0,7.0,301.0,0.0,0.0,0.0,5131.53,133.0,301.0,147.0,0.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,,7.0,70.0,0.0,0.0,0.0,126.0,35.0,3318.0,,7.0,,714.0,0.0,0.0,14.0,0.0,91.0,0.0,,791.0,595.0,42.0,0.0,0.0,0.0,0.0,14.0,0.0,,7.0,,14.0,0.0,4249.0,97405.0,0.0,91.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,,10913.0,,1253.0,0.0,0.0,0.0,0.0,637.0,,84.0,28.0,0.0,28.0,0.0,,0.0,,,14.0,0.0,,224.0,0.0,189.0,0.0,,1246.0,0.0,350.0,,0.0,0.0,133.0,0.0,28.0,0.0,7.0,133.0,3185.0,0.0,0.0,0.0,0.0,238.0,0.0,0.0,35.0,,182728.0,5677.0,0.0,112.0,973.0,0.0,182.0,0.0,0.0,0.0,0.0,,0.0,,35.0,,49.0,21.0,357.0,70.0,0.0,,0.0,931.0,0.0,0.0,1085.0,14.0,,0.0,0.0,,,0.0,7.0,0.0,91.0,,56.0,133.0,,,,0.0,0.0,0.0,98.0,0.0,21.0,56.0,,0.0,0.0,,0.0,112.0,2989.0,0.0,0.0,4907.0,98.0,329.0,7.0
