Date,AFG,AGO,ALB,AND,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GTM,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NER,NGA,NIU,NLD,NOR,NPL,NRU,NZL,OMN,OWID_WRL,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
1980,,,5638.8,,25286.68,444504.8,,915.2,185992.2,8442.7,,,1225.28,,,,1320.85,2741.48,3314.35,,,3074.96,164152.5,1090079.4,38.48,598.4,15240.96,20054.52,76829.7,,,18005.61,,,,850124.1,39006.74,273.89,629664.8,,,9528.96,1474.06,7961.2,,161211.8,,766.57,608.05,97729.74,,211341.16,490578.66,,,,1360923.6,6318.1,8932.95,144043.2,,,132745.02,,430061.75,,13285.02,,,14861.7,1601.4,148198.3,13140.48,100584.06,,170228.52,3245.7,,20905212.0,19968.2,932802.4,420126.84,42.52,13267.5,,38109.72,60947.04,,,,,,1736.1,241.44,,14534.4,,,,55070.0,1588.44,217085.4,21653.28,,,,,,,,6124.8,200681.19,,,,,,,7810.46,,,2281.1,185190.48,123731.85,,,,18.72,7035.96,,,,,35384.64,88600630.0,2873963.8,16853.4,474799.1,815604.5,,75289.82,26303.2,173383.0,129345.16,84126.92,,2721.42,,,,144398.95,650710.2,,6430.25,5221.77,,90245.1,,213274.4,,,,7512.6,,,2854.8,,,312970.3,,,925434.75,,,,2452.8,18183.98,,501368.88,146.3,337106.25,,,22665.62,174744.7,,2231.84,23864.95,,,3718.27,408413.62,,,
1981,460890.66,,5551.92,,16826.15,400088.4,,746.77,129114.12,8850.3,,110257.5,1231.43,,,3299863.0,1288.89,2460.0,3039.6,,,2575.08,164831.16,2185024.2,1798.6,275.35,14548.83,11260.99,80871.63,,,2578.9,,,319209.5,853632.3,39379.68,230.88,595464.5,,,10536.6,4198.86,7052.08,,41737.1,,45.87,1167.4,106218.88,482300.34,193397.44,503099.84,,,,1397820.5,6294.3,7763.4,149902.6,,,130436.1,,348488.25,,10042.92,,,8096.15,1327.5,155046.77,14043.33,94004.82,,182779.05,3042.68,4490637.0,21459876.0,17504.4,851985.6,429696.97,44.79,6241.62,,36597.33,17589.25,,,,,,1598.4,295.22,305191.3,10477.74,111230.79,83468.16,,47785.32,1351.35,224024.34,23233.68,,,,,,,,6539.94,22055.99,,,,1439.25,,,8057.7,320343.25,46459.56,3939.58,115803.73,119193.14,,261926.3,,13.44,7152.44,,522851.66,,,37316.7,89547530.0,2971404.0,14805.7,457204.0,897310.44,,72955.16,33758.2,172658.36,128152.92,75595.44,,4197.48,,,201695.66,122065.58,680067.6,,4681.8,6192.78,,96759.06,,230923.28,,,1877.72,7718.1,,,1942.26,20496.84,1324.68,316466.25,,106506.4,789213.0,,,,1908.9,13646.7,,423904.84,124.32,433713.97,499046.62,,21318.8,144411.95,,1974.49,121476.75,,,1785.34,420605.6,,,181708.98
1982,416177.9,,5620.4,,17848.62,347000.7,,183.68,74280.96,9238.6,,109317.45,12266.9,,,3359984.8,1235.69,2097.69,1673.1,,,1982.4,173407.52,1783010.5,1455.21,56.03,14953.78,9115.13,80336.04,,,2592.05,4199073.5,,295844.2,839978.1,35825.92,188.77,567903.5,,,14428.6,23041.97,9516.28,,42687.85,12247.26,412.83,552.12,105235.11,497297.5,172155.52,513548.62,,,,1454615.9,13897.84,7351.4,107945.32,,,115852.0,,346050.75,162168.95,7413.12,,,6517.6,849.42,150570.75,5925.69,80721.12,,178568.38,1423.47,4520235.0,20634852.0,15181.32,439448.38,439186.44,88.52,6246.24,,16424.8,23899.75,77099.5,,,,,1221.0,73.43,244461.0,8195.68,114026.37,80150.98,,40241.6,746.13,178855.16,21193.31,,,,474111.62,,,345298.1,6730.02,21919.98,,,,1156.4,978529.9,,8201.9,271670.56,47252.97,918.0,117933.9,135030.31,,270360.9,,20.13,5409.45,,523513.84,,,37346.4,69076310.0,3064389.2,23151.6,444909.1,828719.4,,79610.15,33532.0,178048.84,120911.46,65292.57,,4891.32,,,197756.0,104384.1,703078.44,,7039.19,7496.58,,91033.9,,226514.2,,,1905.28,4800.11,,,1920.16,16533.44,686.71,318472.9,,108103.5,696624.9,,,,602.0,12771.5,,535716.9,48.3,426982.4,504599.56,,14553.84,110056.35,,29.5,118357.92,,3670.26,683.93,434115.84,,,167518.8
1983,411905.75,,5756.8,,17697.0,139956.6,,12.76,14250.3,9343.2,,131032.85,12092.7,,,3419331.2,2434.62,1779.05,1785.7,,,2231.97,177860.27,1656770.4,1524.18,571.5,14828.98,8058.4,80377.92,,,28697.46,4238265.5,,270515.25,822463.4,32625.52,229.49,459142.5,,9920.04,10410.12,7206.8,8730.88,,50987.94,11506.8,128.8,1059.44,145030.08,517126.4,185555.0,526619.94,,,,1462610.9,14257.1,4098.11,61781.2,,,114446.08,,370149.0,166210.7,9692.4,33163.33,,4299.33,612.36,156453.36,8215.6,76072.99,,184114.98,2702.94,4419559.5,20557396.0,16874.64,1180862.8,450230.75,130.65,10875.84,62479.4,31621.92,22697.55,74616.35,,,,,1573.5,93.33,179450.05,5275.7,117422.73,83417.48,,28206.57,791.4,141266.52,19024.56,,430.8,,418839.8,,,340368.94,6015.18,263985.0,,,,868.5,974692.9,,8364.3,295909.25,47929.6,1978.74,122162.46,184698.45,,281152.5,,33.75,5283.39,5096.3,530979.8,,13944.84,35918.64,69565850.0,2881121.8,9436.48,456505.12,781076.25,,80986.2,33784.5,179465.28,117169.6,59095.0,,4127.43,,,192425.25,95843.88,717619.56,,5998.44,7190.5,,126565.6,2.44,235588.6,,,1929.2,1819.68,,,1876.38,15875.07,32.12,301164.6,,111015.9,608392.06,,,,1292.58,12321.27,80573.3,564929.2,40.46,428303.1,508064.5,,11885.02,110950.56,,469.28,114903.4,1694480.8,3761.34,577.5,447393.0,206719.0,138226.5,153778.36
1984,372715.56,,5905.28,,15250.36,186115.16,,90.58,14425.26,9172.2,,162575.69,5891.7,,,3450559.8,1212.09,1554.56,1594.95,,,2251.86,109380.78,1667987.1,939.09,352.8,12900.56,6933.45,81120.88,,,2633.93,3512021.8,349438.03,272391.03,804948.9,28712.71,16.92,256039.69,10105.48,8864.43,4595.88,7901.35,9803.52,,83392.1,10909.11,297.18,2075.8,1886.52,529454.8,146751.17,363669.03,,44601.21,,1467204.5,10632.0,6183.52,22350.69,,,114309.12,,409704.47,170462.4,7433.58,33385.92,,2675.96,550.75,148811.0,12441.33,42694.56,,173887.77,2551.32,4354977.0,20471432.0,17560.66,1243257.1,203757.16,43.42,12196.47,60862.7,26140.13,19417.43,73564.85,,331540.75,,201584.7,1659.35,30.33,155927.6,5993.9,123887.6,86480.64,,23992.06,642.08,128895.9,15108.24,,419.8,,392275.4,,,339676.72,5263.0,22019.76,,,,578.2,1008252.44,,8559.32,327649.84,48475.19,2738.97,132023.77,190447.2,,288956.75,2981794.5,45.03,5196.75,5054.8,533378.56,111.84,7997.44,30104.25,65462380.0,2713052.8,21055.3,427739.75,789932.9,,77115.4,34865.9,180801.6,112878.36,36832.96,,3302.4,,,156210.17,73577.76,718055.06,,8110.15,5961.36,,111018.6,2.38,230100.6,,,1959.88,2364.18,,,1854.32,14555.91,80.75,293599.5,189366.72,112520.92,484228.8,,,,1627.02,10804.52,71061.7,592263.5,63.96,455866.25,517781.44,,10322.0,111118.17,,290.3,207511.66,1690133.6,3457.28,210.2,456498.88,256229.52,131955.5,130853.58
1985,384728.7,339084.25,4521.06,,10001.42,179557.56,,13.12,14509.68,8927.6,,88305.42,3472.95,150666.6,289026.9,3430736.0,1198.05,1172.5,830.56,,,2270.97,144004.0,1780696.4,496.32,734.64,10673.1,6191.55,79867.2,,,2668.28,2767019.5,342426.84,243014.2,787350.94,19614.69,37.08,303713.1,7190.06,7911.7,9458.52,19487.4,5615.61,,121894.8,11221.86,183.04,515.12,116730.21,239394.7,171779.05,272257.6,,128373.93,,1469924.0,7250.32,7192.32,21735.54,,15421.12,36151.15,,423160.2,172793.88,13426.54,28927.14,13080.96,5114.44,510.6,168986.48,4745.13,67557.0,,165248.9,1234.17,4033120.0,20413512.0,6415.7,716878.7,78853.04,42.08,13324.78,47235.6,25813.2,16939.36,72670.55,,238689.0,,192541.34,1892.1,108.9,144291.0,5017.95,129387.84,75928.4,,23625.17,2283.12,102401.9,11001.2,,416.4,,348189.6,,,315009.34,5284.8,727953.6,,,304152.9,919.84,1013602.5,,8796.34,366383.25,52818.36,1879.92,138755.25,192880.6,,299888.62,2774100.0,28.12,5261.4,5015.9,465353.6,69.93,8066.56,22706.0,60966680.0,2548268.0,17730.02,319674.28,776959.7,,76613.46,41784.84,133108.16,98346.36,1185.55,,2385.83,24844.32,,119724.88,61328.39,694924.75,,8015.72,6631.68,,72901.26,2.33,210954.9,,,1997.32,1747.35,,,1866.28,12168.8,227.92,286773.97,205475.1,99587.95,418969.6,,,,577.22,8244.08,64063.8,621017.1,7.83,316119.97,528873.9,,21643.44,147807.44,,315.59,210572.31,690382.9,3554.37,423.2,449446.8,251083.19,106016.82,126197.38
1986,406108.78,346186.3,4604.16,,9042.22,139801.83,,51.84,12129.75,8816.6,,93965.08,1144.3,153153.27,261842.34,3380691.8,1211.91,986.88,997.5,,,938.08,120974.08,1813181.8,827.6,893.62,8510.0,5028.36,82500.12,,1476.04,27079.9,7191348.0,329901.0,222920.1,756692.2,21906.6,74.16,374002.5,4245.75,5258.0,10520.51,1651.43,1292.31,,81060.1,11499.56,132.72,3187.56,40356.75,219728.6,159210.23,191210.9,,115381.5,,1512819.9,3191.15,6048.0,22121.88,,12476.71,110652.15,,369376.78,177807.0,12153.9,18918.88,14276.16,3614.88,179.68,188638.08,6684.48,60498.33,,158509.4,1247.75,2469624.8,20275074.0,9928.96,826540.25,51804.36,39.82,6684.02,28773.95,15914.6,13163.88,70585.3,,230009.08,,176720.05,2066.4,9.72,132964.6,5057.37,130664.7,64683.5,,22621.86,498.84,85777.25,11813.55,,413.8,,260127.39,,,293680.1,4649.86,88651.92,,,316249.84,1534.41,1001853.1,,9078.02,337129.03,57298.2,623.43,149094.34,173409.58,,304731.5,2642523.2,13.6,5372.91,8120.8,392242.62,114.8,8159.84,10499.94,62117070.0,2475495.8,17280.76,305959.0,662100.25,,68807.14,33777.35,146341.05,28995.56,12173.6,,2447.7,33223.0,,38984.82,47352.2,662398.7,121144.05,2531.22,6260.49,,77578.76,2.24,234974.66,,,1334.84,2365.8,,,967.1,8594.32,98.76,58282.42,197179.92,85891.65,359310.3,,,,829.44,9150.95,61758.2,760315.06,72.9,241277.12,500058.94,,18608.04,112111.14,,140.95,187713.36,1001182.06,3444.48,324.84,461970.0,337473.6,72810.4,61852.86
1987,346936.5,356027.28,4597.02,,8206.4,100215.9,,12.81,12159.7,8722.3,,62848.22,3461.58,142232.25,262308.97,3239066.0,1208.58,644.95,1284.0,,,2479.26,124917.75,1731680.8,1305.6,791.76,7004.1,5954.76,81022.5,52111.64,2234.19,19261.62,5276313.0,319467.72,222608.95,799086.4,22432.95,74.88,143726.22,4351.05,1735.11,6582.96,23667.28,1001.98,,165842.0,12018.75,81.45,1648.59,40566.33,164590.23,139515.25,318326.03,,80118.72,,1438656.2,1847.22,1764.64,82753.99,1466.08,10932.25,97413.68,,317817.0,183187.2,7658.4,16227.9,14683.2,3436.65,433.2,246164.0,4592.87,64823.46,,153524.88,1262.26,2278912.0,17914330.0,13467.08,829489.5,29420.7,38.95,6714.26,106600.83,10872.0,12518.88,67776.8,,194839.67,,120476.54,2234.4,19.1,46545.45,3930.15,128491.2,50270.76,,22541.4,582.68,69874.35,12636.14,,429.8,,125067.96,,,273892.1,4820.96,66902.79,1150.39,,315802.88,720.98,924294.6,,9399.32,308423.34,59181.3,820.12,71924.38,150327.36,,305991.38,2442193.2,0.59,5507.22,10377.8,345326.53,131.85,13507.52,6512.55,55817750.0,2477774.8,16155.36,341053.9,538903.94,6.28,65432.34,25785.72,117243.3,23522.95,23689.58,,1201.62,34181.6,,39629.8,38701.52,577373.06,120054.44,2083.65,6390.29,,68383.33,2.16,221040.0,,,1127.28,3573.3,,,1008.24,8084.96,181.94,248698.2,188440.27,54120.8,305117.7,,,,401.05,6225.0,35768.32,194034.81,109.88,181798.4,463740.9,,7813.5,113046.36,,109.96,207367.3,984127.1,2399.35,384.51,452184.9,288998.5,54761.8,48180.58
1988,307762.66,382052.66,3053.12,,7689.6,67390.3,,12.69,12275.55,8691.2,,107480.03,5864.5,136515.4,229874.7,2947550.0,1165.24,534.72,877.76,,,2204.83,129421.8,1569908.1,1081.35,740.74,5803.8,4707.01,61923.7,48551.49,3772.65,11190.4,1025075.25,308076.72,201073.45,786509.5,22992.65,26.1,48355.92,9228.24,2024.4,10756.46,3474.1,1426.2,,171464.0,5946.15,47.94,560.43,68334.7,115219.35,119836.5,197307.88,,25833.72,,1529923.9,600.71,219.36,143547.47,975.85,8985.76,97690.84,,296286.66,188902.56,4775.16,10924.8,15009.85,2188.24,833.4,129428.88,6130.25,50929.2,,113295.52,1243.28,2081294.0,15646866.0,16747.36,235909.92,53925.39,40.53,5755.26,81600.75,10133.02,9411.2,78690.72,,157026.95,,158875.2,913.52,65.8,61172.28,3339.06,121688.79,35668.32,,19839.04,520.26,48742.65,12379.08,,442.0,,124044.3,2.77,,249575.9,1170.26,112299.65,1096.83,,286336.62,1140.72,783687.8,,9022.13,306468.47,47746.79,2643.68,95364.64,156644.4,,307233.28,2204065.2,0.56,5636.58,8544.48,352232.62,100.65,13303.75,5930.5,46610184.0,2481612.5,18746.1,244467.6,431262.7,3.05,64265.24,24045.4,166260.78,22694.93,38190.0,,2837.12,28102.96,,62968.62,39995.78,476263.34,116170.32,4277.7,4191.36,,60102.06,2.29,219267.19,,,1160.6,3476.23,,,1039.82,3464.23,98.94,180056.02,195540.78,63842.02,209875.0,,,,245.28,5118.19,20033.55,194210.52,23.67,166659.66,429480.8,,9496.98,113772.87,,80.31,140967.31,802125.44,2187.36,539.5,365202.56,349241.7,56164.95,44634.98
1989,329932.78,368038.1,3168.88,,6501.9,95490.92,,12.69,12452.4,8785.9,,31252.34,5943.3,104272.48,198829.69,1780085.6,1138.5,548.32,1014.66,,,1575.6,107694.65,1658695.6,785.4,616.95,4726.8,4684.35,43140.24,48980.62,1550.2,14206.4,1032931.94,270865.8,193635.16,852316.5,17079.72,50.05,81443.7,3695.56,136.14,11594.38,7217.6,993.72,,177829.6,4193.36,95.28,1153.32,59534.1,98046.26,103445.28,182263.0,,25122.96,,1414171.1,6132.7,218.88,120566.24,745.36,7246.14,78341.23,,272976.5,194565.84,3304.32,16927.54,14969.35,4256.96,327.88,133441.14,4130.07,24282.58,,111333.5,1226.17,1960908.4,11249491.0,10845.39,349731.53,79950.26,44.09,6760.6,139570.25,9472.16,7285.32,89269.39,,151843.16,,154754.6,342.58,9.25,81212.04,3295.68,117721.5,20951.04,,15885.61,265.23,38472.24,11386.32,,456.0,,136413.6,2.56,,252725.14,738.36,90469.04,637.51,,262495.03,650.76,541368.3,,9159.41,261825.3,49549.68,2881.62,36064.1,75853.44,,301273.16,1862597.5,0.54,5677.32,8926.56,366277.53,94.2,9263.98,1190.52,39135104.0,2478546.0,17586.8,253182.0,300052.2,3.05,60558.72,22272.28,83964.09,13922.64,53173.72,,1779.16,17646.7,,20181.21,14964.44,320185.72,123174.04,4782.7,4022.54,,60042.6,2.29,239950.05,,,1619.94,3500.59,,,1091.06,3506.58,49.44,26778.78,192921.6,39777.08,166861.77,,,,210.84,6620.32,15218.7,291446.8,89.42,322203.72,418199.72,,6435.72,348179.6,,78.54,181301.34,517018.2,1589.1,1782.28,259712.2,313963.03,57467.97,40882.44
