Date,AFG,AGO,ALB,AND,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GTM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NER,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,OWID_SRM,OWID_WRL,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,QAT,REU,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SHN,SLB,SLE,SLV,SMR,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
1980,70.47533,3.8415122,0.33994526,,47.33457,1.1418455,,0.0,0.0,0.13249308,,9.970215,0.10173986,40.42831,20.91456,0.77445704,1.6702666,16.54716,0.0,,,20.668701,8.368067,10.974059,0.0,0.0,14.44857,1.065437,8.69463,0.0,0.15824999,0.0,7.575538,5.660047,29.92995,9.846982,74.346924,0.0,4.9281397,9.136982,53.58567,0.0,0.0,0.0,,0.089989685,,0.0,0.0,25.713158,6.1901736,1.3520406,45.852947,,0.45343414,,6.6961465,0.0,0.0,0.18617177,,93.44809,0.05326106,,12.220553,6.435251,1.3916006,3.608072,,0.0,0.0,41.071766,0.0,,0.7940722,,3.5419042,0.093469456,1.2282599,27.230522,0.2948641,2.0768073,73.02228,0.0,2.9375541,0.017752694,0.0,6.7661805,0.034006607,,28.10876,,95.338524,0.0,0.0,0.3667754,21.420702,353.59906,,50.72007,10.125816,0.0,17.666374,25.573904,,0.0,,,2.6424851,0.0,,7.599323,6.0642815,10.073084,0.0,,31.739185,0.0,7.2910295,,0.0,5.6949654,105.52836,0.0,11.168954,0.37833762,,50.37923,11.185523,6.3572598,0.0,0.0,0.0,3.3332386,0.0,0.0,36.3646,,11.842913,36.961674,0.0,10.404515,8.922017,0.0,7.085819,0.08445606,0.0,0.0,2.2735288,,7.208272,,5.6496596,,4.573574,25.26615,248.95657,24.194088,0.41653928,,0.0,3.2665317,12.197826,0.0,,0.5143363,,41.14168,0.0,,,0.0,320.76556,0.0,35.060287,,62.717686,6.5591326,,,,0.0,0.0,2.2802732,4.1280074,0.0,4.7155976,2.7852993,,0.0,0.03585193,,0.0,0.72318745,32.868732,16.92434,0.0,78.436134,3.8013074,48.24802,4.5390515
1981,75.032295,1.3902628,0.33418092,,33.630585,0.07024622,,0.0,0.0,0.0,,22.71338,0.0,54.54668,17.968102,1.1374869,0.0,13.247314,0.0,,,0.0,1.5350513,0.97468954,0.0,0.0,0.0,1.0175496,61.040207,0.0,0.47216576,0.0,9.651449,3.5956132,37.71638,9.141305,10.157468,0.0,17.733149,0.0,31.090855,0.0,0.0,0.0,,0.24457908,117.19036,0.0,0.19504648,12.233979,5.89106,1.3169541,35.924618,,0.34429199,,1.8705238,0.0,0.0,0.166615,,11.704865,0.035463605,,8.0242605,8.288216,0.0,62.72449,,0.2123368,0.0,5.8614125,0.0,,4.620434,,6.076179,0.09362755,6.203591,53.431953,0.0,4.743521,29.856546,0.0,2.096022,0.017688813,0.0,0.4335282,0.016893929,,15.965718,,89.24539,0.0,0.0,0.051637013,5.721442,,0.3303351,1.0051792,10.604049,0.0,16.711714,13.81685,,0.0,,,2.8701122,0.0,,5.973509,0.0,2.6865504,0.0,,36.639442,0.0,8.413931,,0.0,3.6082413,5.8001165,0.0,10.736373,0.07372133,,43.82472,4.4562454,13.538717,0.0,0.07033673,0.24391077,0.5635639,0.0,0.0,39.976498,,14.52871,51.429802,0.0,13.66246,5.877696,0.0,2.839941,0.027893145,0.0,0.0,16.754608,,13.563874,,5.621142,,6.9827566,15.826611,3.619788,31.95473,0.0,,0.0,13.965225,11.430624,0.0,,0.0,,70.57448,0.0,,,0.0,,0.0,26.945854,,49.21608,5.499998,,,,0.0,0.0,5.9311523,3.290214,0.0,3.4689174,9.142141,,0.0,0.02658938,,0.0,4.3482623,11.86432,8.27123,0.0,56.77336,4.2007685,72.74282,3.7300866
1982,137.78351,0.6706043,0.0,,49.66353,0.41489804,,0.0,0.0,0.0,,6.953083,0.0,34.037178,16.38937,3.602267,0.11147667,0.0,0.0,,,0.0,1.6691378,0.53878844,0.0,0.0,0.0,3.9099958,27.96195,0.0,0.1564712,0.0,7.6380153,2.458616,25.422825,12.863573,4.7080045,0.0,5.145009,0.0,6.1288404,0.0,0.0,0.0,,0.09019407,98.55851,0.0,0.0,11.637621,3.5499825,1.2831553,46.714317,,0.5528914,,4.1114225,0.0,0.0,0.2577336,,45.593224,0.05314425,,10.488697,14.3112955,,185.17677,,0.4197792,0.0,18.546814,0.0,,1.9922065,,5.954726,0.0,1.4043798,36.06432,0.2897526,4.494114,28.96109,0.0,1.284409,0.053016797,27.277637,0.8311336,0.008396436,,14.588059,,123.11729,0.0,0.0,0.050757006,3.6299155,13.319073,,1.953499,53.284973,0.0,5.4408536,12.765403,,0.0,,,4.2898235,0.0,,4.6457644,0.0,1.3869864,0.0,,14.552353,0.0,8.750067,,41.53085,3.9489713,11.2616415,0.0,5.748525,0.3591687,,26.65872,5.104146,0.0,0.0,0.0,0.24301715,4.0374074,0.0,0.0,71.15856,,11.20403,39.918842,0.0,11.70108,8.637862,0.0,5.563676,0.16579787,0.0,0.10096496,22.757473,,9.596223,,1.7464463,,3.7149022,8.838374,4.8542,25.96369,0.39884782,,0.0,9.403848,3.9131243,0.0,,0.76512975,,89.15393,2.6503968,,,0.0,26.794905,0.0,27.54776,,52.259964,5.7861223,,,,0.0,0.0,0.8676835,4.766051,0.0,1.2682974,1.2247787,,0.0,0.0350875,,0.0,1.8666404,16.12377,16.16005,0.0,23.80399,15.504916,39.8961,1.153275
1983,200.07141,0.0,0.0,,10.5043545,0.8850418,,0.0,0.0,0.0,,7.8281846,0.10135277,14.143481,17.527102,1.4058908,0.111651495,0.0,0.0,,,0.0,1.1436735,0.3435708,0.0,0.0,,1.8854958,28.054966,0.0,0.0,0.0,3.2024038,0.43093914,16.340801,6.6884604,8.197334,0.0,2.2822642,16.846739,145.02344,0.0,0.0,0.0,,0.11603013,,0.0,0.19514704,1.1387268,6.3823276,0.568448,21.518923,,0.70736617,,3.321548,0.0,0.0,0.05495272,,8.630244,0.08849304,,12.091678,0.37862432,0.0,2.2925184,,0.0,0.0,27.688843,0.0,,1.9334011,,21.00791,0.09415369,0.3589633,33.06801,0.0,2.3848467,10.198784,0.0,1.0052527,0.017665498,0.0,0.7952944,0.0,,10.902369,,18.889954,0.0,0.0,0.12483227,1.1520479,6.772261,12.874171,0.94824886,8.470628,0.0,3.6402075,10.455234,,0.0,,,2.3018332,0.0,,7.494796,0.0,3.218632,0.0,,7.2482743,0.0,6.0692854,,8.215658,2.302001,33.407276,0.0,1.5584452,0.13992997,,29.704657,4.9400396,0.0,0.0,0.06959111,0.0,3.9424956,0.0,0.0,31.544956,,8.519606,9.892362,0.0,11.73852,6.7982016,0.0,2.4215376,0.05474032,0.0,0.0,3.5892906,,0.0,,0.8034366,,3.92532,9.109469,5.8182983,29.97465,0.7797955,,0.0,14.222843,18.764587,0.0,11.3959875,1.5255455,,97.40513,0.0,,,0.0,44.240025,0.0,4.3719354,4.939111,19.829638,2.958667,,,,0.0,0.0,0.5640738,3.5086658,0.0,4.7707396,8.855199,,0.0,0.065107,,0.0,0.5451373,19.452232,0.0,0.0,61.832134,2.8871644,28.92984,0.37007985
1984,53.886837,0.3119246,0.0,,16.050886,0.033520825,,0.0,0.0,0.0,,9.499675,0.0,12.112524,13.545804,1.3684827,0.11186318,0.0,0.0,,,0.0,0.0,0.61244863,0.0,0.0,14.887947,4.5488577,69.74305,0.039059326,0.1552445,0.0,1.5572144,0.20786974,14.408038,4.4176927,5.9947667,0.0,0.5577043,0.0,8.942384,0.0,0.0,0.0,,0.025783638,457.9126,0.0,0.0,0.0,5.048255,0.0,14.791549,,0.052178547,,3.3415902,1.4339126,0.0,0.09116438,,32.396748,0.10606656,,11.617028,5.553394,0.0,3.3851755,47.485504,0.0,0.0,2.2023644,0.0,,13.608861,,10.29423,0.09450983,0.78234744,30.288565,0.0,2.1916175,14.502144,0.0,0.24527833,0.01766153,0.0,0.3802358,0.0,,6.132294,,136.53111,0.0,0.0,0.0,0.0,3.5714638,0.94829845,1.8397563,2.2443218,0.0,1.0080279,19.068468,,0.0,,,1.0083755,0.0,,2.29655,0.0,1.8642081,0.0,,10.3361,0.0,4.590728,,3.7400074,2.4947248,45.999355,0.0,3.4064596,0.27235973,,26.38428,7.6840277,0.0,0.0,0.06924282,0.0,4.4336553,0.0,0.0,23.560585,,7.346148,6.329526,0.0,6.6889124,7.9977636,0.0,5.3341727,0.108469985,0.0,0.0,0.581751,,0.0,,0.6677041,,2.1463706,8.285703,4.0697412,15.453018,0.7620862,,0.0,11.455807,11.710038,0.0,2.9831896,0.25350985,,0.0,0.0,,,0.0,38.38698,0.0,2.8478444,1.8290613,19.181707,1.631856,,,,0.0,0.0,3.022328,1.7253288,0.0,4.941168,1.0945448,,0.0,0.034369238,,0.0,0.530872,19.826437,0.0,0.0,72.18358,2.1667345,27.280811,0.47627133
1985,188.44736,1.4041238,0.31528565,,5.074144,0.06603467,,0.0,0.0,0.0,,5.052515,0.0,20.13776,15.415104,0.92747843,0.0,0.0,0.0,,,0.0,0.0,2.4052665,0.0,0.0,4.1277027,2.6345532,24.676136,0.03869382,0.0,0.0,1.4496717,1.8064898,13.66752,3.1818118,2.9089992,0.0,0.17049567,0.0,17.65277,0.0,0.0,0.0,,0.0,,0.0,0.0,0.3116331,2.9819849,0.0,11.271919,,0.15595789,,2.283674,0.20399092,0.0,0.018146152,,49.037865,0.035308838,,13.55168,3.796324,2.336544,24.441973,5.285608,0.0,0.0,3.6559904,0.0,,0.91164017,,13.129365,0.0,0.5307865,28.926918,0.0,1.1213096,12.56835,0.0,0.4781613,0.0,0.0,0.36343798,0.0,,18.918207,,126.218636,0.0,0.0,0.0,1.0587714,139.77943,0.9297292,0.8929636,0.5428413,0.0,0.68355507,17.937775,,0.0,,,0.6715893,0.0,,2.0392823,0.0,1.9767067,0.0,,33.0986,0.0,2.9554493,,1.0417995,2.0504618,80.74353,0.0,11.278565,0.26475793,,20.312698,11.473315,0.0,0.0,0.0,0.0,1.7103201,,0.0,24.384872,,7.915494,22.229876,0.0,3.3929868,10.161887,0.0,2.6105254,0.0,0.0,0.0,0.84853506,,2.733129,,0.0,,1.1170053,2.1721845,8.761502,13.342112,0.0,,0.0,12.001841,5.7415204,0.0,0.90488976,0.12638913,,0.0,0.0,,,0.0,18.507736,0.0,2.3717072,9.058715,20.680279,1.2847136,,,,0.0,0.0,2.5414338,1.7895025,0.0,15.064488,,,0.0,0.029768717,,0.0,0.45970908,26.750792,0.0,0.0,30.443274,2.133146,19.143185,7.9396896
1986,176.38985,3.5809073,0.0,,4.0852427,0.0,,0.0,0.062451992,0.0,,4.363598,0.0,20.872772,11.574309,1.6077865,0.0,0.0,0.0,,,0.0,0.61330974,4.3825927,0.0,0.0,12.020242,1.6959702,36.7699,0.0,0.0,0.23972175,1.7109394,2.9099543,10.580744,4.255301,5.6473966,0.0,2.2029295,0.0,17.427473,0.0,0.0,0.0,,0.025705833,,0.0,0.0,0.305142,1.2673407,2.1074603,8.089559,,0.0,,6.826628,0.0,0.0,0.036119573,,11.359196,0.0,,4.5091205,1.4105906,383.58224,15.314975,2.51711,0.0,0.0,4.0499806,0.0,,1.3287348,,0.9411611,0.0,0.14189824,25.254457,0.0,1.4311055,4.954104,0.0,0.0,0.0,0.0,0.6944898,0.0,,6.5969324,,81.97021,0.0,0.0,0.0,0.0,47.29248,0.6045911,2.6020548,6.578748,0.0,0.5515382,12.652126,,0.0,,,0.52575207,0.0,,3.5888221,0.0,0.86586493,0.0,,36.234524,0.0,2.4219942,,3.553451,0.5422238,56.173058,0.0,9.229032,0.0,,4.049474,5.2794623,0.0,0.0,0.0,0.0,0.5575092,116.90437,0.0,6.235066,,6.635471,6.390474,0.0,1.9298861,6.683319,0.0,6.8125286,0.0,0.0,0.0,0.0,,0.0,,0.0,,4.309142,0.88998616,8.145838,40.531143,,,0.0,3.6430583,2.4141033,0.0,0.14474751,0.37821913,,0.0,0.0,,,0.0,13.6957035,0.0,3.6671605,1.7584434,13.374519,1.823752,,,,0.0,0.0,1.4331303,0.637147,0.0,9.860972,,,0.0,0.037892696,,0.0,1.5116843,15.321513,0.0,0.0,52.418358,1.1755315,19.44573,10.241512
1987,60.836403,1.4026479,0.0,,,0.0,,0.0,0.0,0.0,,1.7449402,0.0,15.78231,5.9276867,1.0150238,0.0,0.0,0.0,,,0.0,1.0508251,1.3827834,0.0,0.0,0.0,0.81942695,19.880747,0.0,0.0,0.0,0.88343745,2.2506673,5.271273,2.720666,0.45690057,0.0,3.823148,0.0,8.602742,0.0,0.0,0.0,,0.0,2.2109904,0.0,0.0,0.14941593,1.483925,1.2333777,11.903564,,0.2842779,,8.98442,0.0,0.0,0.017972186,0.0,17.678991,0.0,,5.8696947,3.6077657,29.223246,9.693941,26.52021,0.0,0.0,1.9117347,0.0,,2.7982626,,1.843785,0.0,6.7103043,34.649307,0.0,0.6133573,2.7111673,0.0,0.45330557,0.0,0.0,0.0,0.0,,0.43099123,,38.36699,0.0,0.0,0.0,0.0,121.221275,0.0,1.686018,7.1575556,0.0,5.8016057,2.3544009,,0.0,,,0.38659903,0.0,,2.4792202,0.0,0.99286294,23.729858,,20.060572,0.0,1.7524049,,,0.07713197,37.275135,0.0,3.7367442,0.0,,3.1427636,6.8829074,0.0,0.0,0.0,0.0,0.38196677,0.0,0.0,3.9129958,,7.872073,11.644961,0.0,2.1285486,5.695358,0.0,1.1110028,0.0,1.9091736,0.099798314,0.0,,0.0,,0.0,,2.5238144,0.28389332,4.8935933,11.577699,0.0,,0.0,3.0396137,11.248805,0.0,7.404297,0.0,,0.0,0.0,,,0.0,3.9542572,0.0,3.4571073,,24.542072,0.47637936,,,,0.0,0.0,2.9208915,0.13658495,0.0,23.983976,,,0.0,0.0,,0.0,2.5097306,23.135586,0.0,0.0,15.022369,0.6921502,9.724905,0.53893924
1988,29.566256,0.0,0.0,,5.345412,0.0,,0.0,0.0,0.0,,2.2762434,0.0,6.4160566,2.4239008,5.258605,0.0,0.0,0.0,,,0.0,0.14697073,0.73664075,0.0,0.0,68.0456,0.0,20.321861,0.1118774,0.0,0.0,0.59772927,2.9882643,11.431672,2.1333306,0.44378626,0.0,1.0557728,0.0,5.661921,0.0,0.0,0.0,,0.0,6.2196274,0.0,0.0,0.1463227,0.37124082,1.0030302,10.129203,,0.10314137,,2.9655235,0.0,0.0,0.017885417,,3.2241666,0.017558446,,4.0895104,42.66228,5.203742,5.3017435,0.0,0.0,0.0,4.418548,0.0,,1.4650116,,1.3544084,0.0,4.3996787,28.546423,0.0,0.6908215,4.061846,0.0,3.527802,0.017645746,0.0,0.63347673,0.0,,78.05374,,12.575903,0.0,0.0,0.0,0.0,37.791725,0.0,2.4593742,2.486585,0.0,0.95387214,0.0,,0.0,,,0.0,0.0,,3.7477272,0.0,0.29153773,0.0,,14.041228,0.0,1.5436755,,0.48221168,0.5402579,8.919895,0.0,1.2564561,0.0,,4.1919365,16.159119,0.0,0.0,0.0,0.0,0.48075008,0.0,0.0,72.685295,,6.744937,8.6599865,0.0,2.601235,5.854729,0.0,4.8917656,0.0,0.39608923,0.0,0.52023154,,0.0,,0.0,,1.2942238,0.20389138,4.5468283,2.5303504,0.0,,0.0,0.9861393,1.5472559,0.0,7.5414076,0.0,,0.0,0.0,,,0.0,2.5174966,0.0,2.9165099,,6.842892,0.20595026,,,,0.0,0.0,0.24786858,0.34432697,0.0,0.16100368,0.9096794,,0.0,0.0,,0.0,0.9042181,13.101694,0.0,0.0,9.203016,4.653172,11.652895,0.41802764
1989,5.153107,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,4.094009,0.20126459,11.04488,4.9464684,4.280525,0.11357911,0.0,0.0,,,0.0,0.2878051,0.16891502,0.0,0.0,0.0,0.76823735,15.784961,0.0,0.0,0.0,4.075229,1.6575133,3.8776379,0.6029996,0.0,0.0,0.43855354,0.0,0.0,0.0,0.0,0.0,,0.012671631,19.18966,0.0,0.0,0.0,0.7231961,0.48970684,8.4998255,,0.0257418,,2.2079856,0.0,0.0,0.03560623,0.0,13.591019,0.0,,7.507087,13.852284,6.0015726,0.0,0.0,0.0,0.0,0.22625597,0.0,,0.20351334,,0.29480425,0.0,3.3920248,16.331917,0.0,0.24233504,0.573309,0.0,0.0,0.0,0.0,0.0,0.0,,69.63613,,20.884546,0.0,0.0,0.0,0.0,21.700043,,4.7854447,0.96851224,0.0,0.23542455,0.0,,0.0,,,0.08282224,0.0,,2.7737472,0.0,0.33651674,0.0,,20.28692,0.0,1.266162,,0.0,0.0,9.7184515,0.0,0.4359723,0.0,0.7763511,2.3410316,4.9059744,0.0,0.0,0.0,0.0,1.7759134,0.0,0.0,2.9174166,,4.9972205,7.2624445,0.0,0.7399081,2.31176,0.0,6.9073324,0.0,0.0,0.0,0.0,,0.0,,0.21941333,,0.98012024,0.19539861,2.461544,1.3657775,0.0,,0.0,31.977564,0.0,0.0,22.031498,0.2506933,,0.0,0.0,,,0.0,1.2107124,0.0,1.0802635,,2.1255898,0.34975326,,,,0.0,0.0,0.0,0.26263836,0.0,0.117541514,0.4697993,,0.0,0.0,,0.0,0.8300779,6.5224338,0.0,0.0,54.457737,0.3620501,6.273962,0.10156046
