Date,ALB,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BEL,BGR,BHR,BHS,BIH,BLR,BLZ,BRA,BRB,BRN,CAN,CHE,CHL,COL,CPV,CRI,CUB,CYP,CZE,DEU,DMA,DNK,DOM,ECU,EGY,ESP,EST,FIN,FJI,FRA,GBR,GEO,GLP,GRC,GRD,GTM,GUF,GUY,HKG,HRV,HUN,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KGZ,KNA,KOR,KWT,LBN,LCA,LKA,LTU,LUX,LVA,MDA,MDV,MEX,MKD,MLT,MNE,MNG,MTQ,MUS,MYS,MYT,NIC,NLD,NOR,NZL,OMN,PAN,PER,PHL,POL,PRI,PRT,PRY,QAT,REU,ROU,RUS,SAU,SGP,SLV,SRB,STP,SUR,SVK,SVN,SWE,SYC,SYR,THA,TJK,TKM,TTO,TUR,UKR,URY,USA,UZB,VCT,VEN,ZAF
1950,,,,,,3.2575748,,,,,,,,,,,,,3.1149778,,,,,,,,,,,,,,,,,,,3.6873887,2.7168314,,,,,,,,,,,2.3237326,,,,,,,,6.1692433,,,,,,,,,,,,,,,,,,,,,,,,3.4003704,,2.9528866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2648194,,,,
1951,,,,,,3.0945861,,,,,,,,,,,,,2.8042152,4.0859227,,,,,,,,,,4.2098055,,,,4.9077187,,,,3.6873887,2.6231618,,,,,,,,,,,2.1919682,,,2.3580787,,4.1754594,,,6.276654,,,,,,,,,,,,,,,,,,,,,,,,3.2256393,2.660802,2.8296878,,,,,,,,,,,,,,,,,,,,,3.7135203,,,,,,2.7642694,,,,3.272993,,,,
1952,,,,,,2.9780507,,,,,,,,,,,,,2.8090513,4.1302705,,,,,,,,,,4.2170825,,,,5.3052197,,2.3472736,,4.3136864,2.8166313,,,,,,,,,,,2.3671842,,,2.9574862,,4.443592,,,6.554712,,,,,,,,,,,,,,,,,,,,,,,,3.2742875,2.7589118,2.6354783,,,,,,,,,,,,,,,,,,,,,3.8157315,,,,,,2.7253406,,,,3.3199317,,,,
1953,,,,,,3.0091784,,,,,,,,,,,,,2.8787653,4.1341276,,3.78056,,,,,,,,4.1423125,,,,4.459903,,2.4095178,,4.5103436,2.706247,,,,,,,,,,,2.2578127,,,1.7889087,,4.2920513,,,6.341103,,,,,,,,,,,,,,,,,,,,,,,,3.2563221,2.646769,2.83317,,,,,,,,,,,,,,,,,,,,,3.7539718,,,,,,3.759295,,,,3.3266976,,,,
1954,,,,,,3.0499358,,,2.948597,,,,,,,,,,2.9738195,4.3369374,,5.8072047,,,,,,,,4.14943,,,,4.4790936,,2.3718016,,4.7839704,2.7890732,,,,,,,,,,,2.2710004,,,3.1015038,,4.48996,,,6.4043765,,,,,,,,,,,,,,,,,,,,,,,,3.2788954,2.705947,3.051494,,,,,,,,,,,,,,,,,,,,,3.9490077,,,,,,3.3201118,,,,3.3927019,,,,
1955,,,,,,3.130333,5.22619,,2.9114516,,,,,,,,,,2.9347503,4.0503516,4.6093597,5.622656,,,,,,,,4.044753,,,,4.4066424,,2.4461122,,5.00375,2.706254,,,,,,,,2.9314594,,3.1262777,2.2877505,,,2.5477707,,4.6631994,,,6.351628,,,,,,,,1.9084859,,,,,,5.324375,,,,,,,,,,3.2336168,2.6736314,3.1053317,,3.7801542,,,,,4.379122,,,,,,,,,,,,,,3.9382813,,,,,,3.2430983,,,3.7285173,3.3993864,,,2.05633,
1956,,,,,,2.9586005,5.409795,,2.9183257,,,,,,,,,,2.912224,4.12619,4.966805,4.997558,,,,,,,,3.9252336,,,,4.355014,,2.849172,,5.0646715,2.644231,,,,,,,,2.8932905,,3.1303966,2.2441757,,,3.8161318,,4.382474,,,6.2439613,,,,,,,,1.8330078,,,,,,5.2587185,,,,,,,,,,3.122301,2.6083186,3.2240047,,3.8314176,,,,,4.3546987,,,,,,,,,,,,,,3.8515775,,,,,,3.3632288,,,3.7834575,3.397879,,,2.1409562,
1957,,,,,,3.0063682,5.0695424,,3.0229971,,,,,,,,,,2.8606155,4.030079,4.222674,4.881724,,,,,,,,3.894081,,,,4.20594,,2.9159815,,4.964324,2.5913396,,,,,,,,3.2443044,,3.2244682,2.4132202,,,2.6793432,,4.5135174,,,5.8741837,,,,,,,,1.6656066,,,,,,4.792242,,,,,,,,,,3.3975592,2.5621727,3.4320774,,3.7999766,,,,,3.9839268,,,,,,,,,,,,,,3.547011,,,,,,3.267884,,,3.6153457,3.4000397,,,2.1257322,
1958,,,,,,3.109062,5.2419167,,3.034389,,,,,,,,,,3.005155,4.157789,4.5957494,5.1934295,,,,,,,,3.8955727,,,,4.5517783,,2.8867202,,4.8496704,2.4602675,,,,,,,,3.1202843,,3.4976397,2.2541463,,,2.918455,,4.526863,,,6.151224,,,,,,,,1.6880472,,,,,,5.0102715,,,,,,,,,,3.3168993,2.6512878,2.8077435,,4.214234,,,,,4.027598,,,,,,,,,,,,,,3.6079645,,,,,,3.2244785,,,3.7215745,3.3938026,,,2.0931633,
1959,,,,,,2.8751738,5.346141,,3.1683874,,,,,,,,,,2.9975772,4.307367,4.933803,4.9045997,,,,,,,,3.6813018,,,,4.565269,,2.8485334,,4.9346375,2.4114237,,,,,,,,3.4482758,,3.4106662,2.1902287,,,2.415459,,4.7488675,,,5.9549346,,,,,,,,1.64145,,,,,,5.818746,,,,,,,,,,3.43199,2.4526935,3.0575538,,3.3450904,,,3.045993,,3.7451153,,,,3.4502883,,,,,,,,,,3.4772673,,,,,,,,,3.533614,3.4184887,,,2.2947958,
1960,,,,,,2.779662,5.4306216,,3.0033877,,,,,,,,2.8208745,,3.184841,4.0561295,4.893911,4.626383,,,,,,,,3.8506444,,,,4.760162,,2.9348946,,5.054335,2.4946628,,,,,,,,3.5100548,,3.4336371,2.1310472,,,2.8277636,,4.792569,3.5193074,,5.8127737,,,,,,,,1.8417767,,,,,,5.7653184,,,,,,,,,,3.1365018,2.5105245,2.7331035,,4.053893,,,3.4264634,,3.8923447,,,,4.039945,,,,,,,,,,3.510314,,,,,,3.7378933,,,3.8144796,3.4430854,,,2.3355567,
1961,,,,,4.5725646,2.729286,5.7019134,,3.0780017,,,,,,,,2.6141078,,3.1308296,4.2702537,4.928406,4.763342,,3.0947974,,,,,2.1276596,3.5973217,,,,4.9158716,,2.814162,,5.4029417,2.3795958,,,4.6079273,,,,,3.4370496,,3.578467,1.9819924,,,3.125,,5.0794635,3.6567323,,5.819643,,,,,,,,1.8113235,,,,,,5.99552,,,,,,2.0906994,,,,3.137973,2.5935822,2.6168396,,4.0189686,,,3.2433405,3.9484138,3.9381464,,,,4.1355844,,,,,,,,,,3.7060702,,,,,,3.511111,,,,3.5207303,,,2.4140916,
