Date,ALB,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BEL,BGR,BHR,BHS,BIH,BLR,BLZ,BRA,BRB,BRN,CAN,CHE,CHL,COL,CPV,CRI,CUB,CYP,CZE,DEU,DMA,DNK,DOM,ECU,EGY,ESP,EST,FIN,FJI,FRA,GBR,GEO,GLP,GRC,GRD,GTM,GUF,GUY,HKG,HRV,HUN,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KGZ,KNA,KOR,KWT,LBN,LCA,LKA,LTU,LUX,LVA,MDA,MDV,MEX,MKD,MLT,MNE,MNG,MTQ,MUS,MYS,MYT,NIC,NLD,NOR,NZL,OMN,PAN,PER,PHL,POL,PRI,PRT,PRY,QAT,REU,ROU,RUS,SAU,SGP,SLV,SRB,STP,SUR,SVK,SVN,SWE,SYC,SYR,THA,TJK,TKM,TTO,TUR,UKR,URY,USA,UZB,VCT,VEN,ZAF
1950,,,,,,0.43613386,,,,,,,,,,,,,0.437034,,,,,,,,,,,,,,,,,,,0.33321136,0.4192254,,,,,,,,,,,0.78429294,,,,,,,,0.65997994,,,,,,,,,,,,,,,,,,,,,,,,0.6800741,,0.5640345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29467368,,,,
1951,,,,,,0.46461585,,,,,,,,,,,,,0.39058137,0.47045165,,,,,,,,,,0.17387182,,,,0.51965535,,,,0.33321136,0.41277778,,,,,,,,,,,0.8163843,,,0.4366812,,0.5019599,,,0.5852219,,,,,,,,,,,,,,,,,,,,,,,,0.64512783,0.42543986,0.5839881,,,,,,,,,,,,,,,,,,,,,0.6361123,,,,,,0.51190174,,,,0.3113827,,,,
1952,,,,,,0.4411927,,,,,,,,,,,,,0.3977769,0.3800605,,,,,,,,,,0.13274111,,,,0.5746217,,0.37925377,,0.37668002,0.4365587,,,,,,,,,,,0.8830651,,,0.18484288,,0.51946574,,,0.5628258,,,,,,,,,,,,,,,,,,,,,,,,0.7053931,0.43283948,0.6085944,,,,,,,,,,,,,,,,,,,,,0.6532884,,,,,,0.4625578,,,,0.2974938,,,,
1953,,,,,,0.47887465,,,,,,,,,,,,,0.43020543,0.43877304,,0.64343464,,,,,,,,0.13723,,,,0.5647528,,0.37820914,,0.3671588,0.4490489,,,,,,,,,,,0.99158746,,,0.35778174,,0.42245686,,,0.54896337,,,,,,,,,,,,,,,,,,,,,,,,0.6120346,0.48922992,0.5993244,,,,,,,,,,,,,,,,,,,,,0.598105,,,,,,0.7298265,,,,0.29495084,,,,
1954,,,,,,0.47063136,,,0.39892223,,,,,,,,,,0.46257627,0.42554924,,0.7024363,,,,,,,,0.13538924,,,,0.52486974,,0.3895967,,0.38226745,0.479426,,,,,,,,,,,0.97650206,,,0.28195488,,0.4501049,,,0.5865631,,,,,,,,,,,,,,,,,,,,,,,,0.6015512,0.41841006,0.7681712,,,,,,,,,,,,,,,,,,,,,0.47805303,,,,,,0.852064,,,,0.29046157,,,,
1955,,,,,,0.54853964,0.35178542,,0.40278456,,,,,,,,,,0.48535356,0.5539451,0.46104982,0.72839373,,,,,,,,0.23201257,,,,0.5053881,,0.23500872,,0.37037888,0.48815605,,,,,,,,0.25696155,,0.5876461,0.88680935,,,0.27297544,,0.47885665,,,0.60171044,,,,,,,,3.6876907,,,,,,0.4286885,,,,,,,,,,0.5997739,0.50173545,0.6397919,,0.93260384,,,,,0.39307544,,,,,,,,,,,,,,0.43127313,,,,,,1.0452962,,,0.4466453,0.2898509,,,0.2966509,
1956,,,,,,0.5610538,0.3835345,,0.3870873,,,,,,,,,,0.47438258,0.3994338,0.5415741,0.63726854,,,,,,,,0.27279615,,,,0.5159189,,0.39521608,,0.4105992,0.46339265,,,,,,,,0.35777247,,0.6139913,0.9997051,,,0.17346054,,0.46588284,,,0.6059686,,,,,,,,3.2822833,,,,,,0.53886205,,,,,,,,,,0.5927521,0.38024083,0.87327373,,1.1015326,,,,,0.37224442,,,,,,,,,,,,,,0.42304677,,,,,,1.1350896,,,0.47796336,0.28776407,,,0.3048883,
1957,,,,,,0.5650183,0.3684293,,0.37462908,,,,,,,,,,0.45907497,0.44060627,0.52783424,0.48311123,,,,,,,,0.27797747,,,,0.50925636,,0.51545125,,0.40058383,0.4544993,,,,,,,,0.3616263,,0.7352019,0.89184225,,,0.4321521,,0.40872383,,,0.56216735,,,,,,,,3.6104312,,,,,,0.4621935,,,,,,,,,,0.58541065,0.43848166,0.8148787,,0.95582235,,,,,0.3419005,,,,,,,,,,,,,,0.37876716,,,,,,0.9886036,,,0.5296366,0.28968948,,,0.29119617,
1958,,,,,,0.5840689,0.34891835,,0.3639758,,,,,,,,,,0.4289909,0.27393925,0.5476217,0.6396785,,,,,,,,0.2622714,,,,0.5314576,,0.5665285,,0.43445802,0.46669096,,,,,,,,0.43810543,,0.7489833,0.9343611,,,0.08583691,,0.44506106,,,0.64251256,,,,,,,,3.705335,,,,,,0.45831078,,,,,,,,,,0.60231656,0.3665666,0.86695236,,0.88656783,,,,,0.35585642,,,,,,,,,,,,,,0.40385562,,,,,,0.67233807,,,0.49684694,0.31440282,,,0.26101798,
1959,,,,,,0.55261624,0.32511082,,0.40314433,,,,,,,,,,0.42526424,0.34546798,0.54502547,0.7097052,,,,,,,,0.2538011,,,,0.4623871,,0.3554228,,0.4158358,0.47136268,,,,,,,,0.39521787,,0.6083943,0.96078026,,,0.0805153,,0.44552934,,,0.64484614,,,,,,,,3.6023235,,,,,,0.4781772,,,,,,,,,,0.5445937,0.41875255,0.7241575,,0.887473,,,0.4737947,,0.33144423,,,,0.13385662,,,,,,,,,,0.3893411,,,,,,,,,0.5527916,0.34143844,,,0.2567237,
