Date,ALB,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BEL,BGR,BHR,BHS,BIH,BLR,BLZ,BRA,BRB,BRN,CAN,CHE,CHL,COL,CPV,CRI,CUB,CYP,CZE,DEU,DMA,DNK,DOM,ECU,EGY,ESP,EST,FIN,FJI,FRA,GBR,GEO,GLP,GRC,GRD,GTM,GUF,GUY,HKG,HRV,HUN,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KGZ,KNA,KOR,KWT,LBN,LCA,LKA,LTU,LUX,LVA,MDA,MDV,MEX,MKD,MLT,MNE,MNG,MTQ,MUS,MYS,MYT,NIC,NLD,NOR,NZL,OMN,PAN,PER,PHL,POL,PRI,PRT,PRY,QAT,REU,ROU,RUS,SAU,SGP,SLV,SRB,STP,SUR,SVK,SVN,SWE,SYC,SYR,THA,TJK,TKM,TTO,TUR,UKR,URY,USA,UZB,VCT,VEN,ZAF
1950,,,,,,2.1666007,,,,,,,,,,,,,1.1632698,,,,,,,,,,,,,,,,,,,2.283639,5.3257217,,,,,,,,,,,3.1398213,,,,,,,,2.2046115,,,,,,,,,,,,,,,,,,,,,,,,1.8563112,,1.7363415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.79878604,,,,
1951,,,,,,2.1127794,,,,,,,,,,,,,1.1677587,1.6175529,,,,,,,,,,0.8614558,,,,5.757161,,,,2.283639,6.167488,,,,,,,,,,,3.7751875,,,1.2227074,,2.943697,,,1.8982167,,,,,,,,,,,,,,,,,,,,,,,,1.9004067,1.0563889,2.155447,,,,,,,,,,,,,,,,,,,,,0.6174874,,,,,,4.1847963,,,,0.8382706,,,,
1952,,,,,,1.8787456,,,,,,,,,,,,,1.1639539,1.3438603,,,,,,,,,,0.8704753,,,,5.230125,,0.7661952,,2.683581,5.3237505,,,,,,,,,,,3.1135166,,,1.4787431,,2.7048044,,,1.7023324,,,,,,,,,,,,,,,,,,,,,,,,1.9766799,1.0029207,2.8101184,,,,,,,,,,,,,,,,,,,,,0.6737952,,,,,,3.7379673,,,,0.88706994,,,,
1953,,,,,,1.8918042,,,,,,,,,,,,,1.2725602,1.3143064,,4.1117487,,,,,,,,0.82592124,,,,4.195986,,0.90169066,,2.772302,5.705277,,,,,,,,,,,3.4112918,,,1.6994634,,2.4915857,,,1.6542683,,,,,,,,,,,,,,,,,,,,,,,,1.7914116,1.0558919,2.4517815,,,,,,,,,,,,,,,,,,,,,0.57941425,,,,,,3.6353621,,,,0.96807927,,,,
1954,,,,,,2.140456,,,3.9168642,,,,,,,,,,1.2166721,1.398815,,4.347278,,,,,,,,1.0831139,,,,3.810308,,1.0950826,,2.4771707,5.1606154,,,,,,,,,,,3.3853946,,,1.7857143,,2.4274888,,,1.3699409,,,,,,,,,,,,,,,,,,,,,,,,1.8979759,0.9740037,3.1150668,,,,,,,,,,,,,,,,,,,,,0.59684193,,,,,,3.1585133,,,,0.9995335,,,,
1955,,,,,,2.2721732,1.9271722,,3.953358,,,,,,,,,,1.2204067,1.5605766,0.70580465,4.743518,,,,,,,,0.79657656,,,,3.974779,,1.1118692,,2.5452068,5.5840087,,,,,,,,1.7882427,,2.0439866,3.6288457,,,1.455869,,2.6987457,,,1.2727768,,,,,,,,1.7781451,,,,,,1.8391645,,,,,,,,,,2.0893762,0.90724766,3.1885567,,3.3822432,,,,,1.7844218,,,,,,,,,,,,,,0.6031996,,,,,,3.6719377,,,1.582678,1.0682161,,,0.83264506,
1956,,,,,,2.4602733,1.92919,,3.8019142,,,,,,,,,,1.4125385,1.4872123,0.7565411,4.267257,,,,,,,,0.944683,,,,4.3140345,,1.7487665,,2.7509222,5.6806154,,,,,,,,2.1777456,,2.4981773,3.4385138,,,1.9080659,,3.2939403,,,1.2365072,,,,,,,,1.6696931,,,,,,2.160601,,,,,,,,,,2.0125177,1.0139755,3.3813972,,3.9631226,,,,,2.0482795,,,,,,,,,,,,,,0.5426964,,,,,,3.7275784,,,1.2829543,1.1615391,,,0.83717954,
1957,,,,,,2.4060364,1.8365473,,3.914132,,,,,,,,,,1.4292095,1.6096816,0.8338251,4.704008,,,,,,,,1.1143062,,,,4.342317,,1.8138975,,2.69864,5.3763533,,,,,,,,2.174924,,2.8780935,3.6110868,,,0.9507347,,3.0568578,,,1.2668035,,,,,,,,1.690402,,,,,,2.1850462,,,,,,,,,,2.142071,1.0373037,3.5998466,,4.5459843,,,,,1.9335063,,,,,,,,,,,,,,0.630367,,,,,,4.2290263,,,1.478377,1.2759563,,,0.90756136,
1958,,,,,,2.3959963,1.7562224,,3.6350436,,,,,,,,,,1.5036871,1.4062215,0.92319804,4.8750296,,,,,,,,1.0057747,,,,3.7463853,,1.7665387,,2.6290848,5.7525992,,,,,,,,2.0931704,,2.8692293,3.7637234,,,0.8583691,,2.8639472,,,1.1565517,,,,,,,,1.569124,,,,,,2.2015727,,,,,,,,,,2.5066824,1.0112182,3.408699,,4.4328394,,,,,1.9816957,,,,,,,,,,,,,,0.70498836,,,,,,2.9363337,,,1.6673037,1.3301891,,,0.9051969,
1959,,,,,,2.7160022,1.8313061,,3.3867972,,,,,,,,,,1.5945623,1.2700441,0.99374545,4.939661,,,,,,,,1.0721316,,,,3.9195151,,1.5556185,,2.6079748,5.677965,,,,,,,,2.4256496,,2.4152868,4.0825863,,,1.2077295,,3.100233,,,1.0859041,,,,,,,,1.772175,,,,,,2.193115,,,,,,,,,,2.5387163,1.0736438,3.8716395,,4.778701,,,1.4364378,,1.9078503,,,,3.5632634,,,,,,,,,,0.6841682,,,,,,,,,1.9135094,1.3571831,,,1.0129235,
