Date,AFG,AGO,ALB,AND,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GTM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NER,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,OWID_SRM,OWID_WRL,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,QAT,REU,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SHN,SLB,SLE,SLV,SMR,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
1980,880.0,32.0,1.0,,48.0,32.0,,0.0,0.0,1.0,,43.0,1.0,155.0,145.0,65.0,15.0,6.0,0.0,,,3.0,48.0,1342.0,0.0,0.0,6.0,1.0,21.0,0.0,1.0,0.0,7442.0,47.0,255.0,263.0,136.0,0.0,129.0,3.0,17.0,0.0,0.0,0.0,,7.0,,0.0,0.0,148.0,116.0,11.0,2006.0,,17.0,,234.0,0.0,0.0,10.0,,70.0,3.0,,145.0,32.0,1.0,3.0,,0.0,0.0,287.0,0.0,,3.0,,20.0,1.0,182.0,18975.0,1.0,80.0,997.0,0.0,11.0,1.0,0.0,15.0,4.0,,455.0,,591.0,0.0,0.0,14.0,32.0,1166.0,,98.0,30.0,0.0,264.0,36.0,,0.0,,,52.0,0.0,,68.0,1.0,682.0,0.0,,234.0,0.0,244.0,,0.0,65.0,159.0,0.0,70.0,5.0,,311.0,816.0,21.0,0.0,0.0,0.0,52.0,0.0,0.0,37.0,,52630.0,2980.0,0.0,182.0,432.0,0.0,22.0,3.0,0.0,0.0,7.0,,2.0,,125.0,,24.0,257.0,4151.0,138.0,1.0,,0.0,11.0,55.0,0.0,,4.0,,4.0,0.0,,,0.0,192.0,0.0,312.0,,178.0,300.0,,,,0.0,0.0,15.0,182.0,0.0,91.0,37.0,,0.0,8.0,,0.0,11.0,1741.0,2.0,0.0,722.0,112.0,276.0,32.0
1981,837.0,12.0,1.0,,37.0,2.0,,0.0,0.0,0.0,,102.0,0.0,215.0,128.0,98.0,0.0,5.0,0.0,,,0.0,9.0,122.0,0.0,0.0,0.0,1.0,149.0,0.0,3.0,0.0,9625.0,31.0,333.0,251.0,19.0,0.0,475.0,0.0,10.0,0.0,0.0,0.0,,19.0,40.0,0.0,1.0,72.0,114.0,11.0,1613.0,,13.0,,67.0,0.0,0.0,9.0,,9.0,2.0,,98.0,42.0,0.0,53.0,,2.0,0.0,42.0,0.0,,18.0,,35.0,1.0,941.0,38090.0,0.0,192.0,420.0,0.0,8.0,1.0,0.0,1.0,2.0,,268.0,,568.0,0.0,0.0,2.0,9.0,,1.0,2.0,33.0,0.0,254.0,20.0,,0.0,,,58.0,0.0,,55.0,0.0,186.0,0.0,,276.0,0.0,287.0,,0.0,42.0,9.0,0.0,70.0,1.0,,279.0,335.0,46.0,0.0,1.0,1.0,9.0,0.0,0.0,43.0,,65737.0,4334.0,0.0,245.0,292.0,0.0,9.0,1.0,0.0,0.0,53.0,,4.0,,125.0,,38.0,169.0,63.0,187.0,0.0,,0.0,48.0,52.0,0.0,,0.0,,7.0,0.0,,,0.0,,0.0,248.0,,144.0,257.0,,,,0.0,0.0,40.0,148.0,0.0,69.0,124.0,,0.0,6.0,,0.0,68.0,644.0,1.0,0.0,541.0,127.0,429.0,28.0
1982,1390.0,6.0,0.0,,58.0,12.0,,0.0,0.0,0.0,,32.0,0.0,138.0,120.0,319.0,1.0,0.0,0.0,,,0.0,10.0,69.0,0.0,0.0,0.0,4.0,69.0,0.0,1.0,0.0,7741.0,22.0,230.0,363.0,9.0,0.0,141.0,0.0,2.0,0.0,0.0,0.0,,7.0,35.0,0.0,0.0,70.0,71.0,11.0,2153.0,,21.0,,153.0,0.0,0.0,14.0,,36.0,3.0,,132.0,74.0,,159.0,,4.0,0.0,136.0,0.0,,8.0,,35.0,0.0,218.0,26297.0,1.0,191.0,419.0,0.0,5.0,3.0,60.0,2.0,1.0,,254.0,,815.0,0.0,0.0,2.0,6.0,46.0,,4.0,174.0,0.0,84.0,19.0,,0.0,,,89.0,0.0,,44.0,0.0,98.0,0.0,,112.0,0.0,304.0,,74.0,47.0,18.0,0.0,39.0,5.0,,175.0,395.0,0.0,0.0,0.0,1.0,66.0,0.0,0.0,81.0,,51628.0,3506.0,0.0,215.0,440.0,0.0,18.0,6.0,0.0,1.0,74.0,,3.0,,39.0,,21.0,99.0,88.0,156.0,1.0,,0.0,33.0,18.0,0.0,,6.0,,9.0,1.0,,,0.0,17.0,0.0,262.0,,158.0,276.0,,,,0.0,0.0,6.0,219.0,0.0,26.0,17.0,,0.0,8.0,,0.0,30.0,897.0,2.0,0.0,235.0,481.0,243.0,9.0
1983,1991.0,0.0,0.0,,13.0,26.0,,0.0,0.0,0.0,,37.0,1.0,59.0,132.0,128.0,1.0,0.0,0.0,,,0.0,7.0,45.0,0.0,0.0,,2.0,70.0,0.0,0.0,0.0,3296.0,4.0,151.0,194.0,16.0,0.0,64.0,6.0,48.0,0.0,0.0,0.0,,9.0,,0.0,1.0,7.0,132.0,5.0,1019.0,,27.0,,127.0,0.0,0.0,3.0,,7.0,5.0,,157.0,2.0,0.0,2.0,,0.0,0.0,208.0,0.0,,8.0,,126.0,1.0,57.0,24663.0,0.0,105.0,152.0,0.0,4.0,1.0,0.0,2.0,0.0,,197.0,,130.0,0.0,0.0,5.0,2.0,24.0,40.0,2.0,29.0,0.0,57.0,16.0,,0.0,,,49.0,0.0,,73.0,0.0,232.0,0.0,,57.0,0.0,215.0,,15.0,28.0,55.0,0.0,11.0,2.0,,201.0,392.0,0.0,0.0,1.0,0.0,66.0,0.0,0.0,38.0,,39973.0,901.0,0.0,221.0,355.0,0.0,8.0,2.0,0.0,0.0,12.0,,0.0,,18.0,,23.0,107.0,109.0,185.0,2.0,,0.0,51.0,88.0,0.0,70.0,12.0,,10.0,0.0,,,0.0,29.0,0.0,43.0,24.0,62.0,144.0,,,,0.0,0.0,4.0,165.0,0.0,101.0,126.0,,0.0,15.0,,0.0,9.0,1109.0,0.0,0.0,633.0,92.0,182.0,3.0
1984,552.0,3.0,0.0,,21.0,1.0,,0.0,0.0,0.0,,46.0,0.0,52.0,105.0,128.0,1.0,0.0,0.0,,,0.0,0.0,82.0,0.0,0.0,7.0,5.0,176.0,1.0,1.0,0.0,1626.0,2.0,137.0,132.0,12.0,0.0,16.0,0.0,3.0,0.0,0.0,0.0,,2.0,175.0,0.0,0.0,0.0,108.0,0.0,720.0,,2.0,,131.0,7.0,0.0,5.0,,27.0,6.0,,155.0,30.0,0.0,3.0,17.0,0.0,0.0,17.0,0.0,,58.0,,63.0,1.0,127.0,23107.0,0.0,100.0,223.0,0.0,1.0,1.0,0.0,1.0,0.0,,115.0,,974.0,0.0,0.0,0.0,0.0,13.0,3.0,4.0,8.0,0.0,16.0,30.0,,0.0,,,22.0,0.0,,23.0,0.0,137.0,0.0,,83.0,0.0,166.0,,7.0,31.0,78.0,0.0,25.0,4.0,,184.0,625.0,0.0,0.0,1.0,0.0,76.0,0.0,0.0,30.0,,35084.0,595.0,0.0,129.0,428.0,0.0,18.0,4.0,0.0,0.0,2.0,,0.0,,15.0,,13.0,102.0,78.0,98.0,2.0,,0.0,42.0,56.0,0.0,19.0,2.0,,0.0,0.0,,,0.0,26.0,0.0,29.0,9.0,62.0,81.0,,,,0.0,0.0,22.0,83.0,0.0,108.0,16.0,,0.0,8.0,,0.0,9.0,1158.0,0.0,0.0,767.0,71.0,177.0,4.0
1985,1981.0,14.0,1.0,,7.0,2.0,,0.0,0.0,0.0,,25.0,0.0,89.0,123.0,89.0,0.0,0.0,0.0,,,0.0,0.0,329.0,0.0,0.0,2.0,3.0,63.0,1.0,0.0,0.0,1537.0,18.0,134.0,98.0,6.0,0.0,5.0,0.0,6.0,0.0,0.0,0.0,,0.0,,0.0,0.0,2.0,66.0,0.0,564.0,,6.0,,92.0,1.0,0.0,1.0,,42.0,2.0,,185.0,21.0,2.0,22.0,2.0,0.0,0.0,29.0,0.0,,4.0,,82.0,0.0,88.0,22570.0,0.0,53.0,198.0,0.0,2.0,0.0,0.0,1.0,0.0,,368.0,,931.0,0.0,0.0,0.0,2.0,523.0,3.0,2.0,2.0,0.0,11.0,29.0,,0.0,,,15.0,0.0,,21.0,0.0,148.0,0.0,,271.0,0.0,109.0,,2.0,26.0,141.0,0.0,86.0,4.0,,146.0,959.0,0.0,0.0,0.0,0.0,30.0,,0.0,33.0,,38483.0,2159.0,0.0,67.0,557.0,0.0,9.0,0.0,0.0,0.0,3.0,,1.0,,0.0,,7.0,28.0,171.0,87.0,0.0,,0.0,45.0,28.0,0.0,6.0,1.0,,0.0,0.0,,,0.0,13.0,0.0,25.0,45.0,69.0,65.0,,,,0.0,0.0,19.0,88.0,0.0,340.0,,,0.0,7.0,,0.0,8.0,1600.0,0.0,0.0,336.0,72.0,128.0,69.0
1986,1843.0,37.0,0.0,,6.0,0.0,,0.0,1.0,0.0,,22.0,0.0,95.0,95.0,158.0,0.0,0.0,0.0,,,0.0,4.0,612.0,0.0,0.0,6.0,2.0,95.0,0.0,0.0,3.0,1844.0,30.0,107.0,135.0,12.0,0.0,66.0,0.0,6.0,0.0,0.0,0.0,,2.0,,0.0,0.0,2.0,29.0,20.0,416.0,,0.0,,283.0,0.0,0.0,2.0,,10.0,0.0,,63.0,8.0,341.0,14.0,1.0,0.0,0.0,33.0,0.0,,6.0,,6.0,0.0,24.0,20150.0,0.0,70.0,80.0,0.0,0.0,0.0,0.0,2.0,0.0,,133.0,,628.0,0.0,0.0,0.0,0.0,182.0,2.0,6.0,25.0,0.0,9.0,21.0,,0.0,,,12.0,0.0,,38.0,0.0,66.0,0.0,,302.0,0.0,91.0,,7.0,7.0,101.0,0.0,73.0,0.0,,30.0,453.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,9.0,,32846.0,643.0,0.0,39.0,375.0,0.0,24.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,28.0,12.0,162.0,272.0,,,0.0,14.0,12.0,0.0,1.0,3.0,,0.0,0.0,,,0.0,10.0,0.0,40.0,9.0,46.0,94.0,,,,0.0,0.0,11.0,32.0,0.0,230.0,,,0.0,9.0,,0.0,27.0,938.0,0.0,0.0,601.0,41.0,134.0,92.0
1987,628.0,15.0,0.0,,,0.0,,0.0,0.0,0.0,,9.0,0.0,74.0,50.0,102.0,0.0,0.0,0.0,,,0.0,7.0,197.0,0.0,0.0,0.0,1.0,52.0,0.0,0.0,0.0,969.0,24.0,55.0,89.0,1.0,0.0,117.0,0.0,3.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,1.0,35.0,12.0,629.0,,11.0,,385.0,0.0,0.0,1.0,0.0,16.0,0.0,,84.0,21.0,27.0,9.0,11.0,0.0,0.0,16.0,0.0,,13.0,,12.0,0.0,1157.0,28264.0,0.0,31.0,45.0,0.0,2.0,0.0,0.0,0.0,0.0,,9.0,,306.0,0.0,0.0,0.0,0.0,480.0,0.0,4.0,28.0,0.0,96.0,4.0,,0.0,,,9.0,0.0,,27.0,0.0,77.0,1.0,,170.0,0.0,67.0,,,1.0,69.0,0.0,31.0,0.0,,24.0,606.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,6.0,,39683.0,1214.0,0.0,44.0,327.0,0.0,4.0,0.0,38.0,1.0,0.0,,0.0,,0.0,,17.0,4.0,99.0,80.0,0.0,,0.0,12.0,57.0,0.0,53.0,0.0,,0.0,0.0,,,0.0,3.0,0.0,39.0,,87.0,25.0,,,,0.0,0.0,23.0,7.0,0.0,578.0,,,0.0,0.0,,0.0,46.0,1449.0,0.0,0.0,179.0,25.0,69.0,5.0
1988,307.0,0.0,0.0,,9.0,0.0,,0.0,0.0,0.0,,12.0,0.0,31.0,21.0,540.0,0.0,0.0,0.0,,,0.0,1.0,107.0,0.0,0.0,36.0,0.0,54.0,3.0,0.0,0.0,667.0,33.0,123.0,72.0,1.0,0.0,33.0,0.0,2.0,0.0,0.0,0.0,,0.0,3.0,0.0,0.0,1.0,9.0,10.0,550.0,,4.0,,132.0,0.0,0.0,1.0,,3.0,1.0,,60.0,255.0,5.0,5.0,0.0,0.0,0.0,38.0,0.0,,7.0,,9.0,0.0,773.0,23800.0,0.0,36.0,69.0,0.0,16.0,1.0,0.0,2.0,0.0,,1688.0,,104.0,0.0,0.0,0.0,0.0,154.0,0.0,6.0,10.0,0.0,16.0,0.0,,0.0,,,0.0,0.0,,42.0,0.0,23.0,0.0,,121.0,0.0,60.0,,1.0,7.0,17.0,0.0,11.0,0.0,,33.0,1460.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,118.0,,34617.0,935.0,0.0,55.0,344.0,0.0,18.0,0.0,8.0,0.0,2.0,,0.0,,0.0,,9.0,3.0,93.0,18.0,0.0,,0.0,4.0,8.0,0.0,54.0,0.0,,0.0,0.0,,,0.0,2.0,0.0,34.0,,25.0,11.0,,,,0.0,0.0,2.0,18.0,0.0,4.0,15.0,,0.0,0.0,,0.0,17.0,839.0,0.0,0.0,114.0,174.0,85.0,4.0
1989,55.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,22.0,2.0,55.0,44.0,449.0,1.0,0.0,0.0,,,0.0,2.0,25.0,0.0,0.0,0.0,1.0,43.0,0.0,0.0,0.0,4623.0,19.0,43.0,21.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,,1.0,10.0,0.0,0.0,0.0,18.0,5.0,474.0,,1.0,,102.0,0.0,0.0,2.0,0.0,13.0,0.0,,113.0,85.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,,1.0,,2.0,0.0,607.0,13915.0,0.0,13.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,,1559.0,,179.0,0.0,0.0,0.0,0.0,91.0,,12.0,4.0,0.0,4.0,0.0,,0.0,,,2.0,0.0,,32.0,0.0,27.0,0.0,,178.0,0.0,50.0,,0.0,0.0,19.0,0.0,4.0,0.0,1.0,19.0,455.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,5.0,,26104.0,811.0,0.0,16.0,139.0,0.0,26.0,0.0,0.0,0.0,0.0,,0.0,,5.0,,7.0,3.0,51.0,10.0,0.0,,0.0,133.0,0.0,0.0,155.0,2.0,,0.0,0.0,,,0.0,1.0,0.0,13.0,,8.0,19.0,,,,0.0,0.0,0.0,14.0,0.0,3.0,8.0,,0.0,0.0,,0.0,16.0,427.0,0.0,0.0,701.0,14.0,47.0,1.0
