Date,AFG,AGO,ALB,AND,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GTM,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NER,NGA,NIU,NLD,NOR,NPL,NRU,NZL,OMN,OWID_WRL,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,546060.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4606.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,162.5,,,,,,,,66396.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,655722.1,,,,,,,,,,,,63461.28,,,,,,,,,,,,,,,,,,,,,,,,,4621.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1306620.5,,,,,,,,,,,,,,,,,,,,,,,167.67,,,,,,,,111915.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,,,,,,,,,,,,,25130.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,669991.2,,,54389.78,,,,,,,,,63991.87,,,,,702603.4,,,,,,,,,,,,,,,,,,,,4546.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1276284.9,,,,,,,,,,,,,,,,,,,,,,,174.96,,,,,,,,122271.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,,,,,,,,,,,,,19657.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,671126.56,,,59715.04,,,,,,,,,61060.08,,,,,716642.2,,,,,,,2078.54,,,,,,,,,,,,,4593.6,100411.56,,,,,,,,,,,,,,,,,,,,,,2845.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1265496.5,,,,,,,,,,,,,,,,,,,,,,,196.84,,,,,,,,119069.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,,,,,,,,,,,,,15383.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,678952.8,,,53872.26,,,,,,,,,60934.56,,,,,704841.1,,,,,,,19657.02,,,,,,,,,,,,,4505.49,103410.42,,,,,,,,,,,,,,,,,,,,,,14566.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5040369.5,,,,,,,,,,,,,,,,,,,,,,,205.6,,,,,,,,113790.6,,,,,,,,,,,,,,,,,,,3539254.8,,,,,,,,,,
1996,,,,,,,,,,,,,11556.9,,,,,,,,,,,,,,,,,325927.56,,254582.52,,,,,,,,,,,,,690197.2,,,65564.07,,,,,,,,,61430.4,,,,,698682.25,,,,,,,37242.72,,,,,,,,,,,,,4328.28,104537.76,,,,,,,,,,,,,,,,,,,,,,7901.6,,,,,,,,,,1866.94,,,,,,,,,,,,,,58531.74,,,,,6293562.5,,,,,,,,,,,,,,,,,,,,,,,215.04,,,,,,1898.13,,106762.59,,,,,,,,,,,,,,,,,,,3484399.0,,,,,,,,,,
1997,,,,,,,,,198117.16,,,,6941.52,,,,,,,,,,,,,,,,,330792.28,,248703.3,,,,,,,,,,,,,704380.2,,,68657.49,,,,,,,,,59347.2,20028.26,,,,669609.1,,,,,,,55226.88,,,,,,,,,,38009.88,,,4280.76,107169.88,,,,,,,,,,,,,,,,,,,,,4816.0,13660.63,,,,,,,,,,3043.2,,,,,,,,,,,,,186954.23,58423.68,,,49474.94,,6286646.5,,,,,,,,,,,,9108.92,,,,,,,,,,,237.6,,,,,,18077.7,,98338.68,,,,,,,,,,,,,,,,,,45861.48,3524856.2,,,,,,,,,,
1998,,,,366.85,,345695.97,,,209255.8,,,,38313.33,,,,,5511.09,,,,,,,,,,,,321899.6,62464.71,242288.1,,,,,,536951.6,,,20678.06,,,,735109.2,,,66013.35,,,,,,302781.72,,,57526.08,19939.08,579604.8,,,662185.2,,,,51198.54,,,72978.77,,,,,,,,,,43438.08,,,4246.11,112264.2,,,,,,,,,,,,39223.38,,,,,,,,,4935.92,8962.9,,,,,,,,,,4102.9,,,,,,,,,,,,,188032.31,57685.9,,,46327.14,,8783532.0,,,74850.6,,222.0,,,,103872.05,,,9458.28,,,,,,,,,,,253.0,,,,,,21232.44,,92072.97,,,,,,,,,,,1586.96,,,,,,,40536.75,3507175.0,,,,,,,,,,
1999,,,,555.2,50707.36,603636.56,,,220716.39,61664.94,,,68032.9,,,,,13461.12,4685.46,,,,,,,,,,,311134.56,72230.34,249589.7,,,,,,556937.6,,,53826.08,143876.7,,,740821.75,,,63927.4,,,,,,304779.25,,,55735.68,19680.36,650667.4,1290.4,,661887.56,,,,50263.68,,,90888.16,,,,,,,96537.87,,,45793.28,,,4163.04,114970.32,,,,,,,,,,,,39235.6,,,,,,,,737.34,4963.14,14012.12,,308.88,,,,,,,,4153.24,,,,,,,,,,,,,192809.28,55970.42,,,49962.0,,10033532.0,,,173472.88,,257.28,,,,100809.8,,,9643.44,,,,,,,,,,,266.0,,,,,,27017.95,,88495.96,,,,,,,,,,,9481.01,,,,,,,48408.36,3556822.8,,,,,,,,,,
