Date,AFG,AGO,ALB,ARE,ARG,ARM,AUS,AUT,BDI,BEL,BEN,BFA,BGR,BHR,BHS,BOL,BRA,BWA,CAN,CIV,CMR,COD,COG,COK,COL,CRI,DEU,DJI,DOM,ECU,ERI,ESP,EST,ETH,FIN,FJI,FSM,GBR,GEO,GHA,GMB,GNB,GRC,GTM,GUY,HND,HTI,IDN,IND,IRL,IRQ,ISR,ITA,JOR,JPN,KEN,KGZ,KIR,KWT,LBN,LBR,LBY,LSO,LTU,LUX,LVA,MAR,MDA,MDG,MEX,MHL,MKD,MLI,MMR,MOZ,MRT,MUS,MWI,NAM,NER,NGA,NIU,NOR,NPL,NRU,NZL,OWID_WRL,PAK,PAN,PER,PHL,PLW,POL,PRY,PSE,QAT,RWA,SAU,SDN,SEN,SLB,SLE,SLV,STP,SWE,SWZ,SYC,TGO,THA,TJK,TKM,TLS,TON,TUV,TZA,UGA,USA,UZB,VEN,VUT,WSM,YEM,ZAF,ZMB,ZWE
2006,,,,,,,,,,,,,,,,,1461738.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1301390.8,,59084.28,,,,,,,,,,,,,,29856.75,,,,,,,,,,,,,,,,76005.28,,,,,,
2007,,,,,,,,,,,,,,,,,2459272.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2624604.0,,47657.28,,,,,,,,,,,,,,91509.6,,,,,,,,,,,,,,,,171147.56,,,,,,
2008,,,,,,,230405.31,36894.06,,,,,,8693.58,,125157.06,2449035.0,,,,,,,,,,,,,260270.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2231874.8,,,,,,,,,,,,,,,,,5311592.0,,53832.78,17902.02,,,,,,,,,,,,,98153.31,,,,,,,,,,,,,,,,293951.5,,,,,,
2009,,,,,,,239339.14,47775.2,,,,,,16273.8,,187017.77,2556645.8,,,,,,,,431128.5,,,,,310265.16,,,,,,,,,,,,,,,,174297.42,,,,,,,,,,,,,,,,,,,4861.58,,,,,2096712.9,1052.93,,,,,,,,,,,,,,,,8077648.0,,57344.82,241820.88,,37.8,,,,10257.74,,,,,,,73325.54,,,,,,,,,,,,,,1843603.5,,314497.62,,,,194880.86,,
2010,,,,,,,247689.12,47713.59,,,,,,10599.35,,214723.83,2438487.8,,,,,,,,573431.94,,,,,304890.88,,,,,56133.87,,1792.7,,,,,,,146906.1,6178.77,209152.38,,,,,,,,,,,,,,,,,,,5009.46,,13482.92,,,2034045.0,374.0,,,,,,,,,,,,,,,,10902907.0,,66021.98,435669.75,,186.96,,70160.72,,10312.5,,,,,,,104944.5,,,,,,,,,,,,,,2430821.8,,282860.84,,,,694646.4,,
2011,,,,,,,251639.1,48063.12,,,,,,17363.52,,225280.52,2541329.2,,,,,,,,589966.25,,,,,293033.7,,,,,56866.71,,1034.0,,,,,,,276196.38,12169.85,209114.55,,,,,,,,,,,,,,,,,,,5209.6,,547712.0,,,2222096.0,658.33,,,,,,,,,,,,,,,,12346407.0,,71041.0,479735.75,,211.82,,106974.2,,18977.58,,,337668.47,,,,104460.3,,,,,,,,,,,,,,2699366.2,,378816.9,,,,753784.8,,
2012,,,,,,,251599.31,48704.84,,112254.94,,,,17685.12,,225937.53,2500576.5,40542.38,,,,,,,639488.25,,,,18889.38,284022.8,,,,,56710.47,,1152.9,,,392835.44,,,,317967.94,14416.22,211107.69,,,,,340339.38,131682.98,,,,,,,,,,,,,5352.46,,606010.25,9219.21,,2251568.0,885.0,,,,,,,102348.72,,,,,,,,,15156041.0,,69737.84,515296.6,124661.2,206.48,,108811.5,,19749.6,166270.0,,949707.75,,,,107855.82,,,,,,,,,,,,,,2736591.0,,438001.7,,,209852.69,817929.25,,
2013,,,,,,14414.4,257638.08,48871.37,,111029.44,,59513.67,,18483.35,,209060.88,2693049.2,46470.35,,,,,,,627935.56,,,,144530.16,269586.5,,,,,56056.68,16277.5,833.58,,22533.6,714242.2,5209.05,,,357014.7,14996.76,211454.6,,,,,603939.44,130311.2,,,,,,,,,,,,,5415.65,,616131.9,29007.55,,1846202.2,695.76,,,,,,,526273.1,,,,,,,,,19504610.0,,66746.4,483240.88,694055.3,228.69,,110490.22,,22289.63,326248.88,463596.0,1018071.2,,,,106413.64,,,,,,,,,,,,1437792.0,,2882234.2,,445627.5,,,524316.8,834919.8,,
2014,,185411.52,,51201.92,,40040.91,261334.92,49314.23,365380.16,109494.34,,614173.56,,19755.99,,211925.4,2656307.8,51958.35,,,315812.28,,102393.6,,635016.75,,464703.97,,179481.14,254102.67,23216.0,,4428.16,1792298.2,54693.08,18874.35,998.8,,38331.57,819792.56,69970.6,,19361.6,291303.6,15332.05,213928.11,57658.24,,,,355337.7,133962.66,,,,266816.06,,,,,,119914.96,,,5590.98,,607881.6,28592.54,394135.5,1937034.4,536.8,,208507.69,,,6867.15,,541426.8,,151734.19,,,,,,,25215150.0,,67045.68,476556.1,24546.9,233.64,,117363.6,,21609.9,333392.1,527023.25,1103749.8,,,116189.25,111510.23,,,,,67787.44,,,,,,,1700980.4,,2839057.2,337281.88,437136.03,,,537418.75,924432.75,412734.7,234329.77
2015,,487625.3,,83925.42,460582.94,40421.52,264827.7,50468.96,417733.44,111045.44,,623825.94,,20461.18,,222101.28,2723604.0,50195.2,,,513423.7,,136390.4,,641082.25,,483334.66,19853.96,172547.05,236111.45,88389.12,,9045.96,1910108.4,53148.55,18775.35,1139.42,709210.75,42002.64,743744.3,74165.23,,18512.6,300994.5,15693.12,214316.19,122651.41,,,,510304.66,134478.4,,209081.84,,918356.3,,1177.71,,,,132148.34,,,5659.51,,598428.9,29600.04,479985.6,1826354.8,462.48,,351963.38,,165232.52,77888.72,9018.24,526367.7,59523.66,385809.84,,,,,,,30777748.0,,67288.41,476766.1,47860.12,230.86,,120695.12,,23629.28,341635.84,539700.7,1093850.5,396079.3,,186066.7,109783.68,,,10546.2,,190954.14,,216489.9,,,,,1727524.6,,2854567.5,653575.3,477616.44,,,477745.12,978089.25,468783.34,417920.16
2016,,554584.2,,92498.64,572083.5,39342.76,273635.88,51959.19,420192.0,108597.75,,631416.25,,20726.02,548.35,217183.31,2562625.0,48172.96,,,591386.25,,109082.88,,623865.6,,506162.22,16579.44,155346.0,237828.8,87283.2,,12164.34,2087760.0,47822.04,17071.6,862.05,714150.0,44918.25,800512.44,72461.25,35646.57,18462.0,340569.6,15786.24,208897.92,128136.48,,965876.2,,607608.56,138969.27,,233680.77,,1029577.56,,2497.19,,,71059.68,138133.81,,,5655.95,9498.7,652930.75,34167.33,559616.94,1585072.8,401.66,,502707.03,,643321.9,105185.82,12190.92,490573.25,60593.88,673345.6,,20.72,,,,39286.5,33538934.0,,71410.4,482579.38,,226.38,,123062.03,,27168.57,346727.9,545116.6,1204162.2,445507.2,,208081.34,109607.09,1492.32,,27678.25,,199081.6,,254305.92,,,,,1658051.2,,2914025.8,529539.56,263236.2,,,548659.25,969937.2,543558.75,425677.97
2017,,567677.44,,92503.8,654843.2,37796.46,281425.12,53391.47,402655.6,107035.23,,636295.7,,20885.07,4260.6,209690.88,2211862.8,46833.3,,310763.4,587692.06,,109232.0,,613012.5,,533130.2,18352.8,169263.58,245233.8,86079.36,,12632.66,2247434.0,43760.0,16025.4,858.55,711369.9,45199.48,828025.94,70643.73,47974.92,18850.6,360330.97,15968.14,199486.56,148643.42,,3156172.0,56285.38,713862.44,140240.16,67286.52,225927.36,,934715.7,,2875.6,1806.57,,104054.3,136123.02,,,5646.16,17252.04,652294.2,30959.94,512024.53,1504304.2,464.14,,513914.12,,800302.4,107483.52,11592.0,489666.3,62401.6,732257.1,,24.75,,,,53403.56,37724870.0,737852.25,73082.18,479240.97,,208.05,,127280.73,144144.0,26280.87,351680.84,559472.75,1312721.4,451817.6,,203074.36,98551.8,5785.5,,24854.0,134.8,207849.5,,257996.72,,,,,1663542.6,,2943492.8,716651.1,98277.48,,,644694.75,911865.6,562084.8,415945.53
2018,585392.75,672044.25,,103290.66,574726.4,35657.13,279971.1,54196.06,391619.16,105832.89,,637174.75,20057.62,21113.12,3177.3,217153.73,2270201.5,48230.19,304229.78,503484.84,570634.94,,123359.04,,627120.75,,536481.06,19940.4,166850.28,247896.55,85668.48,,12227.85,2171456.2,42835.16,16520.44,1270.88,706832.5,45411.57,792220.75,70221.51,49498.9,18649.8,355663.84,15087.8,203102.88,138485.6,,8398467.0,56223.08,660543.6,141776.73,88925.51,218700.66,,1171540.5,,3078.78,40614.09,,107840.88,100814.46,39958.1,296.6,5673.75,16936.02,650830.94,29572.46,608755.7,1624877.1,405.72,,525518.5,,860990.56,109799.72,11940.55,521680.5,68420.4,694211.7,,22.77,54688.65,,,51782.32,48837136.0,3571670.8,73717.15,484524.9,,197.16,,125037.64,144849.88,27134.85,356164.34,557166.06,1334044.2,453279.28,,206090.12,93736.58,5661.05,,25984.8,1694.88,208583.1,,251005.44,,,,,1682410.1,521344.8,2863828.0,609045.4,0.0,,,598279.4,881532.0,539720.06,405079.2
2019,635441.3,781165.06,,96725.12,533402.9,33924.08,281394.88,53448.81,402765.8,100889.88,,631357.06,24747.45,20642.49,3449.16,194733.23,2361393.2,47834.92,320528.88,581783.06,572669.75,142666.92,122357.85,,659459.6,39669.83,519852.44,20184.56,165008.8,251743.66,85694.4,,11800.11,2236369.0,41095.79,16790.4,877.68,680727.6,44376.66,777368.4,67425.3,47102.31,18022.2,362343.6,16441.92,198514.5,128057.43,,12585343.0,55285.02,54360.85,141323.2,116986.74,201813.62,,1283830.5,,3168.99,39915.49,,89006.22,99055.16,52873.12,12870.0,5801.02,17050.15,640531.94,27174.84,625176.75,1485498.9,560.4,,535134.4,,531103.5,113578.5,11844.48,540801.75,68524.2,723718.0,,24.75,53939.1,,,51657.62,54992624.0,5341081.5,72285.06,485512.2,,189.52,,118167.44,144181.62,28878.64,359919.7,537845.4,1373545.9,420961.7,,208983.52,99173.77,5583.15,,25150.83,1705.77,218865.36,,254002.27,8259.85,,,,1793227.0,1295656.2,2852450.0,358223.53,0.0,,,686633.75,927376.44,542124.9,412148.97
