Date,AGO,ALB,AND,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BRN,BTN,BWA,CAN,CHE,CHL,CHN,CIV,CMR,COG,COK,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,FIN,FJI,FRA,FSM,GBR,GEO,GHA,GMB,GRC,GRD,GTM,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAR,MCO,MDA,MDV,MEX,MHL,MKD,MLT,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NIU,NLD,NOR,NPL,NRU,NZL,OMN,OWID_WRL,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SEN,SGP,SLB,SLE,SLV,SMR,SRB,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VNM,VUT,WSM,YEM,ZMB,ZWE
1980,,,,,,,,,,,,,,,,,4405.95,,,,,,,,,,,,,,,,,,,,,,,,3551.92,,,,,,,,,,,,,,,,370288.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.06,160068.1,,,,40569.6,,3364581.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3005608.8,,,,,,,,,
1981,,,,,,,,,22125.75,,,,,,,,4920.0,,,,,,,,,,,,,,,,,,,,,,,,3526.04,,,,,,,,,,47267.28,,44060.1,,,,398554.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.44,162718.02,,,,38863.44,,4592181.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,457.33,,,,,,,,,,,,,,,,3501990.0,,,,,,,,,
1982,,,,,,,,,23096.5,,,,,,,,5394.06,,,,,,,2084.49,,,,,,,,,,,,,,,,,2737.56,,,,,,,,,,150149.44,,47379.0,,,,419963.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40743.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.65,165889.8,,,,37068.08,,4683139.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,87367.28,,1022.08,,,,,,,,,,,,,,,27028.56,3558488.8,,,,,,,,,
1983,,,,,,,,161503.4,23358.0,,,,,,,,6174.35,,,,,,,2206.05,,,,,,,,,,,,,,,,,2591.98,,,,,,,,,,206530.0,,52492.05,,115839.75,,429172.8,,,,,,,,,,,,,,7031.1,,,3527.55,,,,,,,,,,,,269175.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.5,162023.95,40770.4,,,35360.13,,4797644.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,87251.67,,1573.88,,,,,,,,,,,,,,,33588.1,3624385.0,,,,,,,,,
1984,,,,,,,,163486.28,27516.6,,,,,,,,7217.6,,,,,,,3429.72,5292.0,,,,,,,,,,,,,,,,3552.0,,,,,,,,,,336986.9,,55153.5,,193705.98,,450092.16,,,,,,,,,,,,,,6754.1,,,4168.32,,,,,,,,,,,,475579.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.08,159367.0,40438.4,,,33489.28,,6061331.5,,,,,,,,,68584.32,,,,,,,,,,,,,,,,,,,87153.04,,1243.55,,,,,,,,3177.8,,,,,,,34062.6,3629860.2,,,,,,,,,
1985,,,,23080.2,,,,164443.05,35710.4,,,94927.3,,,,,9145.5,,,,,,,3639.68,5999.56,,,,,,,,,,,,,,,,6191.57,,,,,,,,,,375612.62,,56025.2,,253581.3,,491655.62,,,,,,,,,,,,,,40418.91,,,4039.68,,,,,,,,,,,,642094.94,,,,,,,,,,,,,,,,,,574.9,,,,,,,,,,38.48,161349.6,45143.1,,,32266.24,,6096668.0,,,,,,,,,96961.2,,,,,,,,,,,,,,,,,,,87715.16,,1465.2,,,,,,,,10146.56,,,,,,,30403.88,3584330.5,,,,,,,,,
1986,,,,26340.38,,,,164964.6,52899.6,,,102987.0,,,,,9622.08,,,,,,,3475.92,6319.17,,,,51661.4,,,,,,,,,,,132114.4,8615.4,,,,,,,,,,383066.6,,55526.01,,287584.44,,523753.5,,,,,,,,,,,,,,40336.4,,,3782.9,,,,,,,,,,,,591692.5,,,,,3782.87,,,,,,,,,,,,,1989.05,,,,,,,,,,49.64,166560.2,44156.85,,,30599.4,,6211707.5,,,,,,,,,98848.5,,,,,,,,,,,,,,,,,,,90907.4,,1563.7,,,,,,,,13253.1,,,,,,,42384.98,3624926.8,,,,,,,,,
1987,,,,29132.72,,,,165371.92,52333.8,,,57693.0,,,,,10061.22,,,,,,,3468.0,6532.02,,,260558.2,52131.1,,,,,,,,,,76526.91,167361.48,13025.74,,,,45061.46,,,,,,378338.4,,56648.08,,338539.06,2299.08,569495.4,,,,,,,,,,,,,,40401.24,,,3778.15,,,,,,,,,,,869.05,545246.7,,,,,3371.22,,,,,,,,,,,,,3272.14,,,,,,,,,,55.46,170723.81,45143.43,,,34807.84,,6342926.0,,,,,,,,,100282.05,,,,,,,,,,,,,,,,,,,94774.56,,1571.3,,,,,,,,21165.0,,,,,,,45839.2,3089933.8,,,,,,,,,
1988,,,,31612.8,,,1205.55,189043.47,52147.2,,,87967.5,,,,,10427.04,,,,,,,3364.2,6666.66,,,317452.06,52817.1,,,,,,,,,,80259.74,154597.45,10553.88,,,,40350.96,,,,,,361672.1,,58869.58,,385311.62,2826.6,601174.4,,,,,,,,,,,,,,40672.16,,,4012.47,,,,,,,,,,,723.8,475784.4,,,,,3321.66,,,,,,,274.23,,,,,,2227.12,,,,,,,,,,52.64,176612.84,46460.61,,,39911.25,,7768364.0,,,,,,,571078.25,,100335.48,,,,,,,,,,,,,,,,,,,98782.9,,1467.61,,,,,,,,21677.04,,,,,,,37987.92,3716580.5,,,,,,,,,
1989,,,,33809.88,,,1205.55,211690.8,52715.4,,,89149.5,,,,,11651.8,,,,,,,3337.95,6786.45,,,327793.38,69759.0,,,,,,,,,,63769.09,176831.2,10788.96,,,1397.44,46132.8,,,,,,406154.53,,58260.65,,437052.62,3184.72,598242.1,,,,,,,,,,,121390.83,,,44523.18,,,4364.91,,,,,981963.3,,,,,,832.5,642928.6,,,,,3447.99,,,,,,,253.44,,,,,,4663.78,,,,,,,,,,53.46,177889.36,46864.44,,,45230.02,,9131524.0,,,,,,,528966.6,,111381.12,,,,,,,,,,,,,,,,,,,103650.7,,1466.72,,,,,,,,16982.56,,,,,,,43977.42,3636542.2,,,,,,,,,
