Date,AFG,AGO,ALB,AND,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GTM,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NER,NGA,NIU,NLD,NOR,NPL,NRU,NZL,OMN,OWID_WRL,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
1980,20857.08,,66255.9,,3125.32,291913.6,,772.2,73948.71,75984.3,,,116401.6,,,,129443.3,7049.52,1835.64,,,2580.77,20996.25,1301062.5,2308.8,4841.6,952.56,26367.98,11480.3,,,239217.39,,,,,28246.26,179.6,119936.16,,,58535.04,98762.02,4164.32,,,,1027.53,53508.4,65153.16,,26091.5,847363.1,,,,,58126.52,13498.68,568970.6,,,286449.78,,32370.24,,17807.58,,,107004.24,588.75,111798.71,7929.6,40816.72,,5550.93,160662.16,,1279911.0,24247.1,481446.4,70021.14,4209.48,74298.0,,13858.08,26888.4,1007412.0,,,,,829.47,563.36,,32460.16,,,,82605.0,2117.92,184924.6,27558.72,,,,,,,,255.2,981108.06,,,,,38842.88,,42399.64,,,20301.79,149181.22,251213.16,,,,5.46,168863.05,,41406.8,,38541.12,7767.36,22430540.0,58652.32,26403.66,90437.92,766668.25,,33933.44,631276.8,173383.0,115148.74,16629.74,,4256.58,,,,100345.04,6572.83,,31773.0,4214.06,,68461.8,,,,,,2471.25,,,94208.4,,,46765.68,,,559830.9,,,,1226.4,7625.54,,569121.44,68.4,462541.12,,,29299.46,3355098.2,,784.16,267287.44,,,1518.73,4125.39,,,
1981,14254.35,,65235.06,,13766.85,326738.88,,1113.11,90606.4,79652.7,,65070.0,116985.85,,,33331.95,127600.11,7380.0,2786.3,,,2463.12,25209.47,1683543.2,2267.8,5176.58,2125.11,29123.25,9995.37,,,255311.1,,,16800.5,187382.7,28516.32,204.24,152683.2,,,59707.4,95174.16,7052.08,,793004.9,,1483.13,51365.6,49446.72,,68881.28,868990.6,,,,43231.56,57907.56,14301.0,592115.25,,,333336.7,,102223.22,,22448.88,,,153826.84,967.5,112275.24,10030.95,50732.76,,26380.48,150612.66,45359.97,1313869.9,26256.6,466180.8,66500.72,4434.21,81141.06,,22655.49,74985.75,1208257.5,,,,,579.42,682.06,489912.34,39416.26,8372.21,1738.92,,97018.68,2471.04,183292.66,28284.48,,,,,,,,66.06,948407.56,,,,,49025.9,,44892.9,263812.1,10198.44,19002.68,177745.27,253766.05,,16718.7,,5.12,171658.56,,84501.28,,36339.84,8753.3,26405040.0,91899.09,44417.1,114301.0,897310.44,,34331.84,648157.44,183229.28,114422.25,28603.68,,3166.52,,,40339.13,137648.42,6869.37,,33943.05,3284.05,,65546.46,,4712.72,,,1516.62,2671.65,,,96141.87,7883.4,205.01,51517.76,,10533.6,594769.25,,,,1121.1,18802.12,,875158.4,108.78,441745.7,48819.78,,30379.29,3465887.0,,943.04,262389.78,,,3465.66,13008.42,,,114300.81
1982,21904.1,,66742.25,,14212.79,387039.22,,1036.48,111421.44,83147.4,,63289.05,116535.55,,,33939.24,122333.31,7891.31,3498.3,,,3455.04,23646.48,2037726.4,2438.46,5546.97,2520.3,32497.42,13077.96,,,256612.95,,,52207.8,183072.16,32381.12,223.89,202267.0,,,58435.83,134185.6,3389.36,,828144.3,781.74,1513.71,48034.44,51694.44,,94147.55,887038.56,,,,44988.12,59381.68,13442.56,655382.3,,,383759.75,,106122.23,28618.05,24710.4,,,135240.2,1219.68,123194.25,11631.91,70059.84,,24961.17,140923.53,45658.94,2691502.5,31085.56,692976.25,94111.38,4337.48,82093.44,,19944.4,71699.25,1249011.9,,,,,1078.55,965.08,497070.7,42515.09,8582.63,3523.12,,103478.4,3102.33,231698.73,31531.51,,,,223111.36,,,56298.6,67.98,876799.2,,,,,88957.26,,46282.15,204944.45,11667.4,21573.0,179708.8,289918.03,,17257.08,,12.2,174905.55,,97146.9,,36567.16,11793.6,29269624.0,161283.66,34727.4,132894.92,913282.56,,31625.95,637108.0,185316.16,115013.34,36392.58,,2872.68,,,93934.1,170310.9,14348.54,,34367.81,2210.53,,65921.1,,11921.8,,,1245.76,6229.93,,,95047.92,10570.56,878.35,56201.1,,16816.1,559583.94,,,,1565.2,16821.0,,796707.1,165.6,410560.0,66540.6,,34825.26,3521803.2,,1976.5,261373.73,,972.84,4577.07,18088.16,,,142701.2
1983,21679.25,21439.5,68362.0,,17697.0,406540.6,,1263.24,130627.75,84088.8,,88699.16,114880.65,,,34538.7,120513.69,8685.95,3316.3,,,3376.57,19984.3,2209027.2,2767.59,4857.75,2758.88,33039.44,15310.08,,,232188.55,12937863.0,,90171.75,177829.92,34708.0,246.81,332482.5,,2925.14,63947.88,142694.64,4638.28,,790313.06,1873.2,1497.3,45555.92,53921.44,,84591.25,909616.25,,,,60942.12,60916.7,17255.2,695038.5,,3909.64,422019.9,,110563.99,29331.3,20030.96,3077.01,,103183.92,1487.16,122927.64,12539.6,80730.52,,17628.03,133795.53,276222.47,3197817.0,29530.62,590431.4,85758.24,4093.7,80662.48,,30428.64,75000.6,1193861.6,,,,,839.2,933.3,562820.56,46953.73,8838.27,3549.68,,106110.43,3205.17,251140.48,34878.36,,3231.0,,291058.2,,,87960.51,898.82,901948.75,,,,,110532.18,,47198.55,181363.73,11982.4,19567.54,183243.69,238055.78,,14797.5,,23.25,170829.61,45866.7,127213.92,,36356.19,16137.36,44378212.0,508433.25,35386.8,134610.48,954648.75,,29953.8,641905.5,194420.72,115704.98,50175.0,,3965.57,,,151374.53,194592.12,22194.42,,35990.64,2659.5,,33223.47,241.56,12399.4,,,964.6,9098.4,,,92880.81,11975.93,1557.82,80056.41,1832.31,22203.18,552059.5,,,,1893.78,18955.8,131461.7,771610.56,188.02,436701.2,79920.26,,37722.02,3587401.5,,2346.4,289756.4,69162.48,1238.49,4672.5,23547.0,764860.3,125427.75,173409.64
1984,70993.44,29826.32,70125.2,,21945.64,412112.12,,1216.36,149061.02,82549.8,,53505.92,111942.3,,,34854.14,119996.91,9549.44,3550.05,,,3060.22,12153.42,2520513.8,3388.89,5644.8,4948.16,33851.55,16615.12,,,260759.06,16023599.0,74599.13,99385.92,310480.28,37116.43,203.04,488075.62,4606.91,3982.57,71236.14,135903.22,4262.4,,783885.75,2899.89,1386.84,44629.7,64141.68,,132906.72,1140598.2,,470790.56,,61133.52,63127.5,17004.68,700321.6,,8934.82,464380.8,,96103.52,30081.6,23652.3,6259.86,,80278.8,1674.28,137364.0,14760.9,64832.48,,27981.94,126290.34,602284.0,3722078.8,30393.45,621628.56,368965.66,4298.58,81622.53,,35258.78,82779.57,1206463.5,,447194.5,,41791.95,387.9,980.67,592524.9,48496.1,6520.4,3603.36,,102281.94,3330.79,243060.84,39928.92,,2854.64,,320952.6,,,74182.27,1662.0,1145027.5,,,,2891.0,123459.48,,47076.26,154188.16,12885.81,17908.65,174031.31,228536.64,,15208.25,291697.28,33.97,168028.25,45493.2,153204.48,156.11,41486.72,24630.75,53339720.0,810392.4,35493.22,166343.23,1023322.1,,38557.7,662452.1,252368.9,111449.52,77119.01,,4953.6,,,145619.66,232996.23,29918.96,,32867.45,4546.8,,49165.38,235.62,25854.0,,,1846.81,9006.4,,,91788.84,14270.5,1534.25,97866.5,5917.71,13907.08,583275.6,,,,1536.63,20655.7,137943.3,771319.94,91.02,498872.5,82374.32,,31998.2,3592820.8,,2496.58,167021.58,88954.4,1326.08,5044.8,34360.13,800717.25,155707.48,201313.2
1985,67893.3,31180.16,72336.96,,29234.92,438918.47,,1298.88,164443.05,80348.4,,75690.36,109976.75,30492.05,28902.69,70015.02,118606.95,10552.5,4464.26,,,3377.34,67887.6,2448457.5,3432.88,5387.36,7416.9,34672.68,19966.8,,,264159.72,16602117.0,101912.75,123376.44,441393.72,39229.38,321.36,487539.44,7801.98,5058.3,70938.9,147779.45,8783.39,,650105.6,3165.14,1514.24,46360.8,74630.79,532846.3,115458.05,1429352.4,,375612.62,,93824.94,63275.52,15508.44,688292.1,,14234.88,469964.94,,113530.78,30856.05,27559.74,6349.86,408.78,69044.94,1354.2,61184.76,15473.25,93293.0,,38762.09,122182.83,1251657.9,4272595.5,28870.65,988130.1,484382.97,4165.92,80900.45,,36876.0,89990.35,1206331.1,,556941.0,,59843.93,823.62,910.8,548305.8,50179.5,5391.16,15551.6,,100717.83,3546.99,247177.0,45104.92,,3206.28,,362401.4,,,91711.58,2055.2,882368.0,,,26448.08,2127.13,167192.16,,50264.8,141668.19,16977.33,18381.44,169589.75,249868.05,,12495.36,528400.0,45.88,170118.6,42635.15,186141.44,173.53,36299.52,34059.0,58528012.0,1092114.9,44630.74,289516.3,1091443.4,,46432.4,654629.2,209169.95,99731.52,67576.35,,5841.17,295026.3,,136051.0,261452.61,60428.24,,32906.64,3937.56,,87164.55,230.67,59500.1,,,1843.68,9785.16,,,92380.86,18104.8,1400.08,117133.03,6354.9,31040.4,666054.25,,,,2794.96,23781.0,149482.2,759020.9,135.72,588334.4,85106.14,,32465.16,3547378.5,,2582.1,251659.6,763054.75,1460.7,4708.1,61288.2,818749.5,179413.08,214876.62
1986,50193.22,40727.8,73666.56,,30664.92,446034.4,,1244.16,181946.25,79349.4,,117456.35,108708.5,31368.74,62974.74,140862.16,119979.09,11349.12,4462.5,,,4807.66,87601.92,2146215.2,3269.02,5489.38,9805.0,36036.58,19351.88,,66421.8,243719.1,17528910.0,126885.0,149894.55,396953.28,53633.4,358.44,381960.0,11164.75,7098.3,72025.03,163491.56,13066.69,,729540.9,3631.44,1542.87,47282.14,153740.0,572863.9,125093.76,1390624.8,,406142.88,,113868.16,61908.31,15904.0,707900.2,,17954.29,494246.28,,182087.16,31751.25,26885.9,16777.12,446.13,96396.8,2201.08,109056.39,12963.84,101375.58,,50055.6,123527.25,2149488.2,4827398.5,27304.64,1121733.2,523799.62,3942.18,87847.12,,45295.4,96535.12,1185833.0,,591451.94,,100594.49,849.52,962.28,505265.47,51135.63,6950.25,27721.5,,103055.14,3242.46,257331.75,45566.55,,3558.68,,442919.62,,,122366.7,3367.14,1130312.0,,,26914.88,4887.38,208719.4,,52522.83,158648.95,20601.6,17871.66,180816.55,282931.4,,16038.5,735892.5,55.08,173724.1,42126.65,225836.66,170.8,35699.3,47833.06,63359416.0,1275255.4,43201.9,305959.0,1248531.9,317.52,52198.52,641769.6,234915.88,106756.38,64520.08,,5874.48,295684.7,,242262.81,290877.8,107832.34,145372.86,38390.17,4456.62,,79162.0,221.76,48127.34,,,2551.9,9463.2,,,95742.9,22713.56,1547.24,358020.6,21432.6,48892.17,697484.7,,,,2304.0,22088.5,158806.8,622075.94,197.1,661278.06,132927.06,,36182.3,3624926.8,,2678.05,302427.1,782742.3,1547.52,5089.16,69030.0,787438.4,184826.4,257720.25
1987,115645.5,42384.2,73552.32,,32825.6,501079.5,,1242.57,196987.14,78500.7,,147368.23,109616.7,47410.75,78352.03,316865.16,119649.42,12254.05,4547.5,,,5017.55,74103.75,2136967.8,3223.2,5608.3,11925.9,37429.92,22852.5,316392.1,67025.7,255904.38,17987430.0,135664.38,174907.05,489762.62,55695.6,345.28,463117.8,11441.65,12279.24,77349.78,147075.23,13312.02,,663368.0,4006.25,1547.55,48358.64,154538.4,619172.75,145209.75,1432467.1,,342730.1,,274029.75,60342.52,19852.2,662031.94,1899.24,20302.75,547015.25,,222471.9,32712.0,32548.2,19834.1,1596.0,93935.1,1824.0,48032.0,13379.23,96404.12,,59704.12,124963.74,2234227.5,7362053.5,26934.16,1125735.8,553109.2,3856.05,88244.56,,48924.0,102427.2,1152205.6,,652289.3,,103665.86,846.72,916.8,379012.94,51653.4,14276.8,42823.24,,102688.6,3537.7,256205.95,45375.23,,4083.1,,590598.7,,,145245.8,3491.04,1382657.6,,,27461.12,4825.02,236208.62,,53710.4,194008.23,19727.1,17222.52,255004.62,324143.38,,23031.61,983661.1,58.41,178066.78,41511.2,278684.56,161.15,34807.84,52692.45,69772184.0,1393748.2,44737.92,266642.12,1385753.0,254.34,53315.24,618857.25,336097.47,102758.15,72315.56,,6179.76,314470.72,,249101.6,313130.47,213548.94,155525.06,40006.08,7148.46,,84286.43,213.84,73680.0,,,2898.72,8456.81,,,99815.76,26742.56,1472.06,180091.8,30323.72,82534.22,789097.5,,,,3054.15,24588.75,187783.69,1191928.1,158.12,718103.7,198746.1,,44276.5,3655165.8,,2666.53,303075.28,894661.0,2858.8,5108.49,99260.1,832315.7,239222.6,289083.47
1988,165718.34,52696.92,73274.88,,35030.4,539122.4,,1243.62,216049.69,78220.8,,111866.97,93832.0,58506.6,118420.3,561438.06,115358.76,12833.28,4663.1,,,3634.99,60396.84,2117550.5,3043.8,5993.26,13542.2,37656.08,44841.3,321186.78,67907.7,268569.6,24345538.0,140446.73,205177.0,546557.5,57085.2,408.9,596389.7,7085.97,11876.48,71985.54,170230.9,12835.8,,685856.0,11042.85,1534.08,48757.41,134716.98,652909.6,154075.5,1560526.0,,400422.66,,291414.1,59470.29,21497.28,596855.25,2860.25,23106.24,563601.0,,253190.4,35981.44,32630.26,24034.56,3204.35,90811.96,1504.75,144837.08,12656.0,125625.36,,104580.48,123084.72,2391274.0,9934518.0,25719.16,1730006.1,521278.78,4012.47,88247.32,,48876.92,109405.2,1127900.4,,715345.06,,129988.8,1514.52,883.6,394221.38,52311.94,24924.21,59134.32,,104154.96,3121.56,269709.34,47158.4,,3978.0,,565090.7,274.23,,177664.2,7188.74,1347595.8,1601.72,,62854.38,4725.84,281323.84,,56908.82,187835.52,18829.72,17488.96,279282.16,322782.4,,30385.71,1239786.8,55.44,182249.42,44324.49,278078.4,204.35,36718.35,53374.5,81567820.0,1520988.4,46865.25,376104.0,1548625.1,301.95,59321.76,577089.6,344397.34,96752.07,71288.0,,6314.88,337235.53,,228976.8,323602.22,322890.4,163191.64,38499.3,7816.32,,102335.94,226.71,77039.82,,,3191.65,7671.68,,,102942.18,28028.77,1550.06,259104.98,31832.22,74944.98,839500.0,,,,2820.72,24687.74,202561.45,1193007.5,234.07,787003.94,263230.2,,43264.02,3678656.2,,2623.46,303621.9,1220625.8,3020.64,4855.5,205426.44,814897.3,245352.16,291844.1
1989,162504.2,81786.24,74468.68,,36410.64,545662.4,,1256.31,231614.64,79073.1,,183049.42,111734.04,96251.52,156223.31,1710278.4,112711.5,13159.68,4847.82,,,4787.4,114288.2,2019281.6,3063.06,6238.05,14968.2,39178.2,70794.24,327793.38,69759.0,269921.6,24532134.0,196144.2,235729.77,522387.53,64252.28,404.95,635260.9,13774.36,13477.86,71222.62,173222.4,13202.28,,711318.4,14038.64,1460.96,51322.74,115099.26,656155.75,158041.4,1640367.0,,389405.88,,496870.9,55194.3,21450.24,715862.06,3218.6,25690.86,555510.56,,278436.03,39376.42,35934.48,19871.46,8453.28,57468.96,2037.54,158858.5,15143.59,147429.95,,111333.5,121390.83,2540267.8,12499434.0,37102.65,1593221.5,535051.75,4364.91,88853.6,,50320.85,114136.68,1109491.0,,741351.9,,139874.34,1933.13,915.75,602322.6,51632.32,31694.25,75233.28,,106311.39,3485.88,278923.75,48541.68,,4104.0,,545654.4,253.44,,196079.84,7465.64,1470121.9,1585.16,,92227.98,2548.81,492153.0,,59183.88,232184.7,19269.32,17495.55,313757.66,398230.56,,45017.83,1651737.5,53.46,183566.69,46306.53,277865.72,235.5,43595.2,58335.48,88706230.0,1652364.0,43967.0,367113.9,1720299.2,237.9,66866.92,534534.75,387834.12,102099.36,79112.12,,7584.84,338816.62,,236408.45,359146.56,492593.4,131572.27,43044.3,7926.77,,106742.4,226.71,52671.96,,,2685.69,8691.12,,,108014.94,28371.42,1598.56,419534.22,48230.4,102283.92,876024.25,,,,2801.16,22163.68,202191.3,1096395.1,223.55,729696.7,302834.28,,47195.28,3636542.2,,2565.64,313156.88,1516586.8,3231.17,3459.72,330542.8,825606.44,251044.3,296397.7
