Date,AFG,AGO,ALB,AND,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DMA,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GTM,GUY,HND,HRV,HTI,IDN,IND,IRL,IRN,IRQ,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NER,NGA,NIU,NLD,NOR,NPL,NRU,NZL,OMN,OWID_WRL,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1592.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.69,,,,,,,,,,,327117.97,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,,,,,,,,,,,,,,,,,,,,,,,,,,6704.64,,,,,,,,,,,,331.57,,,,,,,,,,,,,,,,,,,,,1899.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1812.59,,,,,,,,,,,,,,,,,,,,173.8,,,,,,,,,,,404956.8,,,,,,,,,,,1310626.8,,,,,,25860.8,,,,,,,,,,252620.94,,,38110.74,,,,,,,,,,,,,,,,,,,,,,2754.2,,,,,,,,,,,,,,,,,,,
1991,,,,,,,,,,,,,,,,,,,,,,,,,,6797.76,,,,,,,,,,,,408.85,,,,,,2800.6,,,,,,,,,,,,,,,2195.05,,,,,,34905.78,,,10556.9,,,,,,,,,,,,,518892.84,,,,,,,,177.1,,,,,,,,,,,,,,,,,,,,296.82,,,,,,12082.5,,,,,418839.34,,,,47.52,,,,255.17,,56353.94,1323837.0,,,,,275.9,25035.92,5463.48,,,,,8304.16,,,,335161.78,,,39418.16,,,,247.5,,,,,,,,,,,,,,,,,,2526.48,,,,,,,,,,,,,,2515.74,,,,,
1992,,,,,,,,,,,,,,,,,67340.66,7734.33,,,,,,,,6872.64,,,,,,,,,,,,483.14,,,,,,3747.6,,,,,,,,,,,,,,,2444.04,,,,,,,,,15855.9,,,,,,,1245212.6,,,,,95572.36,500444.8,,,,,,,,154.68,,,13497.6,,,,100776.72,,,,,,,,,,,,,403.2,,,,,,30445.66,,,,,411840.25,,,,45.54,,,,284.4,40233.5,59189.13,3919861.5,,,,,243.0,16037.88,5381.77,,,,,8718.44,,,,352747.94,,,40877.46,,,,240.57,,,,,,,,,,,22824.3,,,155764.8,,,,2332.08,,,,,,,,,,,,,,4552.64,941.4,,,,
1993,,,,,39872.7,,,,,,,,,,,,84711.36,12274.2,,,,,,,,7105.23,,,,,,,,,,,,377.72,,,,,138157.31,5760.5,,125623.35,,,,,,,,,,,18733.44,,2732.24,,,,,,26820.64,,,2101.92,,,,,,,1913865.5,,,,,97780.36,523801.5,,,,,,,,207.28,,,34357.05,,,,101570.56,,,,,,,,,,,1699.95,,274.21,,,,,,43110.51,,,,,423010.78,,,,45.54,,,,301.95,44069.22,56728.32,5105139.5,,,,,316.78,9579.64,5217.05,,,,,9217.23,,,,374471.94,,,47389.5,6768.1,,,238.14,,,,,,,,,,,105680.63,,,597481.2,,,,2722.56,,,,,,,,,644570.25,,,,,4616.6,52.77,,,,
1994,,,66272.58,,39527.1,,,,,,,,,,,,79486.4,12924.21,,,,,,137022.23,,7027.02,,,,,,,,,,,,388.68,,,,,151923.52,7901.82,,261903.05,,,,,,1020094.25,,,,,12555.6,,2732.24,,,,,,28021.2,,,2078.54,,,,,,,1868809.8,,,962998.25,289167.2,100411.56,535828.5,,,,,,,,928.08,,,37530.15,,,,100179.72,,,,,,,,,,,4813.2,,717.14,,,,,,40386.26,,,,,473806.06,,,,45.54,,,,235.42,47512.17,57419.01,8858476.0,,,,,254.77,28239.8,19843.48,,,,,8987.4,,,,384509.8,,,49562.44,8477.95,,,253.82,,,,,,,,,,,298037.75,,,675409.7,,,,2556.9,,,,45.22,,,,,1663034.5,,,,,3919.89,4965.08,,,,
