Date,AFG,AGO,ALB,AND,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GTM,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NER,NGA,NIU,NLD,NOR,NPL,NRU,NZL,OMN,OWID_WRL,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
1980,,,64846.2,,3125.32,218935.2,,514.8,38094.79,75984.3,,,121302.72,,,,130764.15,7049.52,1784.65,,,2416.04,26722.5,2426305.8,3809.52,4841.6,635.04,17083.48,11480.3,,,239217.39,,,,150021.9,28246.26,175.11,119936.16,,,58535.04,145931.94,4286.8,,644847.2,,864.43,60196.95,83251.26,,49573.85,996023.3,,,,42090.42,56862.9,10918.05,576172.8,,,565913.0,,32370.24,,14980.98,,,133755.3,753.6,111798.71,9515.52,45189.94,,14802.48,159039.3,,426636.97,51346.8,571717.6,80024.16,4209.48,75182.5,,19632.28,28680.96,,,,,,192.9,764.56,,33913.6,,,,82605.0,2193.56,184924.6,27558.72,,,,,,,,255.2,2029109.8,,,,,,,47978.54,,,20529.9,72018.52,251213.16,,,,59.28,168863.05,,,,,7767.36,23552068.0,58652.32,39324.6,90437.92,815604.5,,30752.18,631276.8,173383.0,28392.84,13695.08,,4256.58,,,,100345.04,6572.83,,31394.75,3939.23,,65349.9,,18545.6,,,,2372.4,,,92305.2,,,46765.68,,,217077.28,,,,613.2,11145.02,,853682.1,43.7,446861.75,,,32616.38,3320149.2,,784.16,453434.06,,,1518.73,4125.39,,,
1981,14254.35,,63847.08,,13766.85,266725.6,,662.23,97401.88,79652.7,,70492.5,121911.57,,,33331.95,127600.11,7380.0,2026.4,,,3022.92,29087.85,1396982.8,2111.4,5231.65,1798.17,27570.01,9995.37,,,255311.1,,,16800.5,187382.7,28516.32,213.12,167951.52,,,59707.4,135763.14,5540.92,,793004.9,,1483.13,57202.6,76917.12,216685.66,71530.56,1021445.1,,,,43231.56,56648.7,12666.6,599610.4,,,594208.9,,116162.75,,19495.08,,,153826.84,922.5,112275.24,8247.67,55209.18,,5652.96,149091.31,45359.97,437956.62,55430.6,755534.4,81847.04,4434.21,82924.38,,21493.67,74985.75,,,,,,399.6,722.78,497943.7,39416.26,8372.21,3477.84,,97018.68,2509.65,183292.66,27274.32,,,,,,,,66.06,2183543.0,,,,4317.75,,,49497.3,150749.77,10198.44,19234.42,153507.27,265300.88,,16718.7,,50.56,171658.56,,5281.33,,,8753.3,25256996.0,91899.09,42139.3,114301.0,764375.56,,34331.84,641405.8,179705.64,24410.08,26560.56,,3166.52,,,35593.35,137648.42,6869.37,,34333.2,3190.22,,59303.94,,4712.72,,,1733.28,2176.9,,,95170.74,5781.16,252.32,51517.76,,10533.6,354573.97,,,,1121.1,16679.3,,943530.1,97.68,369460.03,43395.36,,31978.2,3465887.0,,972.51,364430.25,,,3465.66,13008.42,,,111370.02
1982,21904.1,,64634.6,,15204.38,320308.3,,1128.32,157847.05,83147.4,,82467.55,110402.1,,,33939.24,122333.31,7891.31,3396.9,,,3681.6,23646.48,1855786.5,2477.79,5546.97,1848.22,30515.87,13077.96,,,256612.95,16796294.0,,52207.8,236916.9,33070.08,250.23,210046.5,,,57714.4,112499.03,3519.72,,811069.1,781.74,1116.17,54659.88,79387.89,223423.52,96837.48,1042659.4,,,,44988.12,49274.16,13652.6,663092.7,,,608223.0,,115350.25,28618.05,23474.88,,,156422.4,1328.58,123194.25,16021.31,71582.88,,13440.63,140923.53,45658.94,1794335.0,57110.68,1250737.6,83654.56,4337.48,82985.76,,42235.2,71699.25,1464890.5,,,,,814.0,975.57,570409.0,43027.32,8582.63,7927.02,,103478.4,3180.87,227633.84,30497.69,,,,223111.36,,,30025.92,67.98,2170078.0,,,,4625.6,9884.14,,50383.1,204944.45,11084.03,22032.0,162861.1,262117.69,,17257.08,,40.87,174905.55,,16191.15,,,11793.6,48002180.0,161283.66,34727.4,132894.92,862544.6,,29444.85,637108.0,185316.16,26541.54,41744.43,,2872.68,,,49439.0,170310.9,14348.54,,34367.81,2114.42,,65921.1,,11921.8,,,1758.72,5412.89,,,94087.84,10570.56,910.29,56201.1,,12011.5,445383.12,,,,2408.0,18378.5,,837916.1,181.7,394137.6,49905.45,,37424.16,3558488.8,,2920.5,374800.1,,751.74,4577.07,18088.16,,,142701.2
1983,21679.25,,66203.2,,17697.0,526503.4,,1263.24,223254.7,84088.8,,70556.15,108834.3,,,34538.7,119296.38,8685.95,3316.3,,,3491.03,21982.73,2024941.6,2486.82,5143.5,2414.02,32233.6,15310.08,,,232188.55,18068394.0,,90171.75,288973.62,36790.48,203.51,332482.5,,2797.96,63947.88,136929.2,4911.12,,798811.06,1873.2,1481.2,51912.56,40905.92,221625.6,87320.0,1069198.0,,,,60942.12,50547.9,17470.89,710483.8,,,600841.94,,110563.99,29331.3,22615.6,1025.67,,139011.67,1574.64,122927.64,13404.4,79178.01,,11752.02,132444.06,184148.31,2284155.0,53436.36,608323.25,85758.24,4224.35,79756.16,562314.6,28042.08,75987.45,1417710.6,,,,,524.5,943.67,636231.94,47481.3,8838.27,5324.52,,106110.43,3165.6,251140.48,33821.44,,3877.2,,291058.2,,,42068.07,898.82,1935890.0,,,,4921.5,30145.14,,51380.7,181363.73,11982.4,20007.26,168700.55,225742.55,,14797.5,,41.25,170829.61,45866.7,22124.16,,35858.16,16137.36,50375268.0,508433.25,49541.52,128757.86,954648.75,,29953.8,641905.5,194420.72,29292.4,52405.0,,3965.57,,,64141.75,194592.12,22194.42,,36847.56,2659.5,,31641.4,241.56,12399.4,,,1780.8,8884.32,,,91942.62,11975.93,1573.88,80056.41,,12335.1,518259.9,,,,1713.42,19271.73,131461.7,812946.8,197.54,411506.9,62794.49,,39788.98,3587401.5,,2463.72,384676.6,34581.24,825.66,4672.5,23547.0,826876.0,117748.5,173409.64
1984,70993.44,,67910.72,,21945.64,478581.84,,1203.42,225995.73,82549.8,,43216.32,111942.3,,,34854.14,119996.91,9549.44,3550.05,,,3522.14,93176.22,2038650.9,3143.91,5527.2,4771.44,33851.55,16615.12,,,260759.06,18438114.0,43188.97,95704.96,344978.1,41318.29,406.08,544084.3,4755.52,3982.57,72002.12,150125.66,4404.48,,750528.9,2899.89,1353.82,49819.2,186765.48,226909.2,130137.83,1289372.0,,450967.78,,61133.52,55818.0,15900.48,722672.3,,,600122.9,,96103.52,30081.6,26355.42,1391.08,,131122.05,1652.25,137364.0,8645.67,115433.44,,25983.23,125014.68,277977.25,2791559.0,49980.34,640465.8,346937.84,4298.58,81622.53,547764.3,34650.87,82779.57,1397732.1,,439484.25,,44250.3,495.65,980.67,623710.4,48496.1,6520.4,3603.36,,102281.94,3370.92,239378.1,38849.76,,3778.2,,320952.6,,,50756.29,1662.0,2179956.2,,,,5203.8,20576.58,,52578.68,154188.16,12885.81,18330.03,168030.23,232768.8,,15208.25,259286.48,33.97,168028.25,45493.2,34045.44,121.16,41986.56,24630.75,55764252.0,810392.4,39102.7,166343.23,1005369.1,,36289.6,662452.1,195868.4,30005.64,78270.04,,4953.6,,,108552.83,232996.23,29918.96,,34574.85,4142.64,,47579.4,235.62,28439.4,,,1809.12,8893.82,,,90861.68,13985.09,1534.25,97866.5,7890.28,13907.08,616291.2,,,,1385.98,20973.48,137943.3,785093.5,182.04,404258.75,70606.56,,41288.0,3592820.8,,2612.7,298614.34,88954.4,1278.72,5044.8,34360.13,811393.5,131955.5,204668.42
1985,67893.3,50667.76,70829.94,,28465.58,485470.44,,1298.88,227318.31,80348.4,,121945.58,112292.05,28698.4,32114.1,70015.02,118606.95,10552.5,4360.44,,,3552.03,61716.0,1929087.6,3639.68,5387.36,7416.9,35085.45,19966.8,,,264159.72,18517746.0,65224.16,130853.8,405605.03,53032.31,374.92,495531.9,8107.94,5058.3,69362.48,142907.6,8783.39,,690737.2,3165.14,1480.96,50996.88,74630.79,532846.3,109825.95,1429352.4,,347085.06,,93824.94,58661.68,15283.68,702782.44,,14234.88,686871.9,,92888.82,32913.12,21906.46,6349.86,545.04,122746.56,1709.4,122369.52,15885.87,93293.0,,38762.09,122182.83,602650.1,3323130.0,57741.3,1220631.2,484382.97,4165.92,81852.22,543209.4,35646.8,88931.64,1380740.5,,556941.0,,67649.66,333.9,881.1,577164.0,50737.05,5391.16,15551.6,,100717.83,1793.88,250708.1,44004.8,,3747.6,,362401.4,,,83736.66,2055.2,1477966.4,,,26448.08,4829.16,31348.53,,54034.66,122127.75,10060.64,19008.08,169589.75,245484.4,,12495.36,528400.0,45.88,170118.6,45143.1,116338.4,189.07,42349.44,34059.0,60966680.0,1092114.9,43407.98,283484.72,1072944.4,,39467.54,654629.2,247200.84,40169.64,117369.45,,5841.17,285709.7,,152377.12,261452.61,60428.24,,34172.28,3730.32,,85579.74,230.67,59500.1,,,1843.68,9901.65,,,91447.72,17511.2,1400.08,117133.03,6354.9,29747.05,655311.44,,,,2460.78,23463.92,149482.2,759020.9,253.17,561991.06,79027.13,,29888.56,3547378.5,,2553.41,303018.7,1126414.1,1314.63,4866.8,61288.2,840582.8,165821.19,214876.62
1986,50193.22,61091.7,72131.84,,30271.78,525921.2,,1244.16,230465.25,79349.4,,119591.92,113285.7,31368.74,69603.66,140862.16,119979.09,11349.12,4252.5,,,4924.92,87601.92,1887189.2,3310.4,5489.38,9990.0,36874.64,19351.88,,72325.96,243719.1,15281614.0,93049.0,161424.9,483786.8,53633.4,337.84,421747.5,11479.25,7887.0,70406.49,163491.56,13066.69,,729540.9,3631.44,1526.28,49938.44,151818.25,565016.4,125093.76,1547070.1,,346144.5,,113868.16,60631.85,16352.0,715274.1,,17954.29,627028.9,,150872.2,33868.0,24676.1,16777.12,594.84,116881.12,2066.32,106108.92,13571.52,103010.67,,50055.6,123527.25,2103754.2,3861918.8,52127.04,1141412.8,523799.62,3942.18,88801.98,546705.06,45295.4,96535.12,1341120.8,,591451.94,,95156.95,229.6,962.28,531858.4,51135.63,8340.3,27721.5,,103055.14,3658.16,257331.75,44441.45,,3724.2,,442919.62,,,114208.92,3367.14,2127646.0,,,20186.16,4148.59,41743.88,,55764.98,158648.95,7081.8,20157.57,168127.66,282931.4,,16038.5,702442.9,54.4,173724.1,42634.2,202064.38,165.2,42839.16,47833.06,62117070.0,1275255.4,44436.24,305959.0,1229614.8,,49825.86,641769.6,238766.95,102802.44,109562.4,,5711.3,299007.0,,239478.19,290877.8,107832.34,148064.95,39655.78,4350.51,,80745.24,221.76,48127.34,,,2591.16,9463.2,,,95742.9,22099.68,1547.24,358020.6,17146.08,46249.35,697484.7,,,,2242.56,22404.05,158806.8,622075.94,197.1,652341.9,132927.06,,33080.96,3624926.8,,2678.05,333712.62,819148.94,1547.52,5089.16,69030.0,787438.4,207229.6,281774.12
1987,115645.5,67814.72,72019.98,,32825.6,567890.1,,1268.19,231034.3,78500.7,,153869.78,111924.42,47410.75,78352.03,281657.9,119649.42,12254.05,4066.0,,,3423.74,86807.25,1952746.2,2774.4,5806.24,11925.9,36579.24,22852.5,320114.38,72238.81,255904.38,18706928.0,118159.29,174907.05,489762.62,54922.05,341.12,654752.75,11763.95,11611.89,75704.04,145384.72,13312.02,,663368.0,4006.25,1547.55,53304.41,152606.67,619172.75,145209.75,1450152.0,,364985.28,,274029.75,59726.78,20293.36,669555.0,1865.92,20302.75,651922.3,,211878.0,34892.8,30633.6,19834.1,1276.8,111118.35,1846.8,54036.0,15376.13,101390.54,,59704.12,124963.74,2189543.0,6625848.5,47746.92,1145485.5,558993.3,3856.05,89203.74,454456.16,49528.0,101289.12,1287759.2,,652289.3,,159701.45,117.6,935.9,618389.56,52214.85,14276.8,42823.24,,102688.6,3579.32,262860.66,44800.86,,3868.2,,569754.06,,,141095.92,3491.04,2163190.2,566.61,,27461.12,4825.02,102699.4,,57738.68,189033.66,6575.7,19682.88,255004.62,319445.62,,23031.61,949741.8,58.41,178066.78,41511.2,260509.48,161.15,38444.48,52692.45,71040776.0,1393748.2,45980.64,279044.1,1385753.0,307.72,55738.66,618857.25,273567.7,100282.05,100992.42,,7381.38,307634.4,,243440.2,313130.47,213548.94,152796.56,39589.35,4440.71,,90647.67,213.84,73680.0,,,2898.72,8337.7,,,99815.76,23011.04,1472.06,180091.8,28157.74,81181.2,747012.3,,,,2683.95,24900.0,187783.69,1191928.1,158.12,727193.6,198746.1,,44276.5,3655165.8,,2639.04,324343.72,805194.9,2705.65,5108.49,99260.1,866995.5,233458.2,295966.4
1988,165718.34,57088.33,73274.88,,35030.4,606512.7,,1256.31,233235.45,78220.8,,111866.97,111425.5,58506.6,118420.3,561438.06,115358.76,12833.28,4608.24,,,3754.17,86281.2,2081040.9,2923.65,5993.26,13542.2,38083.99,44841.3,324921.5,71680.35,268569.6,24601806.0,144977.28,209280.55,546557.5,56292.35,408.9,757576.06,7250.76,11471.6,71985.54,170230.9,12835.8,,685856.0,11042.85,1550.06,55482.57,126907.3,652909.6,165488.5,1596400.1,,404728.28,,291414.1,59470.29,21716.64,611965.5,2389.15,23106.24,653777.2,,242416.34,35981.44,35017.84,25491.2,1855.15,107223.76,1481.6,178735.12,13644.75,118834.8,,104580.48,123084.72,2346991.0,9189430.0,43064.64,1730006.1,545245.6,4012.47,90165.74,462404.25,49472.98,108228.8,1232821.2,,715345.06,,129988.8,1490.48,874.2,618519.75,52311.94,24924.21,58195.68,,104154.96,3481.74,276208.34,46568.92,,3978.0,,565090.7,274.23,,173434.1,7188.74,2133693.2,644.17,,62854.38,4291.28,221040.16,,60378.87,187835.52,19502.21,17692.32,245223.36,318035.6,,30385.71,1239786.8,55.44,182249.42,44858.52,265719.38,204.35,39911.25,53374.5,82862550.0,1520988.4,43740.9,382372.4,1529022.2,301.95,59321.76,577089.6,229598.22,96752.07,89110.0,,6314.88,323184.03,,223252.38,323602.22,330962.66,160425.69,38499.3,7136.64,,102335.94,226.71,77039.82,,,2984.4,8510.77,,,102942.18,28028.77,1550.06,259104.98,31832.22,74944.98,839500.0,,,,2820.72,24988.81,202561.45,1193007.5,239.33,759227.3,263230.2,,43264.02,3678656.2,,2596.69,401214.7,941625.56,3020.64,4855.5,205426.44,814897.3,239440.05,298711.03
1989,162504.2,86329.92,76053.12,,36844.1,586587.06,,1256.31,236595.6,79073.1,,191978.66,112922.7,96251.52,156223.31,1710278.4,112711.5,13159.68,4622.34,,,4484.4,112090.35,1947164.4,3141.6,6238.05,14968.2,37900.65,67475.76,327793.38,75959.8,269921.6,24790366.0,196144.2,227310.84,522387.53,64252.28,404.95,732993.3,13102.44,13477.86,71222.62,173222.4,13202.28,,711318.4,14038.64,1492.72,56512.68,138912.9,656155.75,183902.72,1640367.0,,393593.03,,496870.9,55194.3,21669.12,632972.75,2642.64,25690.86,633851.75,,272976.5,37060.16,37999.68,19871.46,2641.65,102167.04,2014.12,184275.86,15536.93,149164.42,,111333.5,121390.83,2495701.5,13749378.0,46235.61,1593221.5,535051.75,4364.91,89819.4,418710.75,49728.84,114136.68,1186007.6,,741351.9,,142850.4,2104.42,915.75,595554.94,51632.32,33203.5,74280.96,,106311.39,3523.77,282129.75,48541.68,,4104.0,,545654.4,253.44,,183007.86,7465.64,2171257.0,1085.49,,92227.98,4772.24,442937.7,,61297.59,232184.7,19269.32,17701.38,324576.9,398230.56,,45017.83,1651737.5,53.46,183566.69,46864.44,265235.47,219.8,45230.02,58335.48,91315240.0,1652364.0,45223.2,379773.0,1700295.8,301.95,65605.28,534534.75,315864.9,102099.36,76518.28,,7584.84,335287.3,,268121.78,359146.56,500803.28,156766.95,43044.3,7808.46,,106742.4,226.71,52671.96,,,2643.06,8570.41,,,108014.94,28371.42,1598.56,419534.22,48230.4,102283.92,876024.25,,,,2801.16,22163.68,202191.3,1096395.1,173.58,625454.25,302834.28,,47195.28,3520482.5,,2539.46,368096.66,1206375.8,3707.9,3459.72,330542.8,848863.0,244995.03,299804.56
