Date,AFG,AGO,ALB,AND,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GTM,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NER,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,OWID_WRL,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
2000,18043114.0,20204332.0,898998.25,17411.16,564006.4,11145145.0,994399.1,20181.57,5011669.5,2447629.8,3207972.5,7879822.0,3301970.8,5756442.5,12712358.0,59928390.0,3620689.8,173085.22,102837.17,1248984.5,4800011.0,71226.59,3946246.8,57554520.0,82648.92,59837.12,264271.66,1581508.2,4587852.5,8018483.5,2072257.0,3741877.8,372728670.0,16295671.0,13819095.0,49850492.0,2577395.8,4408.73,11294775.0,311382.25,136318.44,822510.94,3012656.5,220023.11,3517584.2,26362044.0,459500.88,21418.63,1758169.6,2611904.2,8475098.0,3669178.5,24051200.0,1739352.5,11748300.0,618212.44,68134856.0,1644492.6,282955.25,17573790.0,44967.27,835626.7,18503786.0,1546890.2,12428926.0,8105865.5,1044684.75,1309770.5,640399.0,3400659.5,33366.43,4706276.5,321574.44,2181133.0,1650315.8,5807375.5,4491531.5,80068056.0,568413600.0,1078032.0,16934886.0,8829700.0,66236.68,1415985.0,17773800.0,705708.9,1230602.8,33774280.0,6942263.5,22655618.0,1852109.0,7120757.0,46595.88,14882.2,11295809.0,341880.06,3535955.5,1015051.8,3055246.0,1297352.8,44460.95,6076713.0,1877244.4,1435632.5,124253.68,1093887.2,9479165.0,12067.44,2047361.4,11186906.0,77586.85,26282084.0,22646.19,644469.25,12287797.0,108429.72,25934842.0,206407.34,984287.8,19223848.0,1551635.0,372804.84,14146602.0,5317513.0,1300502.2,15786728.0,125516540.0,1370297.0,862.47,4526464.0,1342250.5,11906043.0,5155.81,1046764.56,533657.2,2711386400.0,95375416.0,731086.8,7296006.0,24900168.0,7303.35,2609986.8,13152157.0,11646445.0,3507266.2,1413354.8,140839.53,8712521.0,81461010.0,9284888.0,4404202.0,15833336.0,7345115.5,806259.0,167080.25,5800546.5,1899703.5,7004.18,10083111.0,3360125.8,7220240.0,78288.28,157323.75,1811521.9,644725.25,2625245.2,944800.4,22068.51,4199355.0,9772127.0,3835474.0,21686222.0,2809838.8,1837257.6,571316.44,28086.01,427434.75,2479457.0,18451498.0,4960.39,30665910.0,25421108.0,25388050.0,1066422.1,88147336.0,11313548.0,34670.53,6482769.0,21716490.0,68956.65,52753.28,10850765.0,29626158.0,11681832.0,11124405.0
2001,17828492.0,20242422.0,811896.94,17439.19,604215.0,11296206.0,985556.75,20237.46,5002179.0,2411916.5,3074124.0,7723314.5,3285291.2,5791570.0,12775659.0,58620108.0,3558128.2,168060.72,103824.05,1250640.5,4939470.0,72817.59,3838932.5,57479424.0,81114.51,60614.66,251826.97,1652773.8,4633395.5,8085757.5,2051194.6,3852151.0,372808960.0,16373147.0,14050288.0,50179180.0,2570786.0,4108.3,11438256.0,307267.7,134897.06,848965.75,3041750.5,225651.77,3498875.0,26116340.0,472219.7,21453.89,1758933.4,2623362.2,8437429.0,3644216.2,24362332.0,1658099.2,11732026.0,622844.2,64297150.0,1626843.2,280572.1,17681876.0,44630.07,851029.7,18531928.0,1473918.0,12588881.0,7934728.0,1044539.7,1299754.0,647029.7,3363827.8,33862.26,4681312.5,319716.2,2190720.0,1624621.0,5754048.5,4272626.0,79907460.0,563475200.0,1062126.9,17110114.0,8913081.0,66530.5,1441866.4,17659172.0,708095.06,1242285.0,33837188.0,6866830.5,22811848.0,1797962.9,6799041.0,46369.46,14673.47,11096898.0,338285.1,3437608.5,1008993.3,3024553.2,1334527.2,44591.64,5767042.0,1841555.0,1473384.2,124148.2,1116687.1,9433754.0,12118.95,1973072.1,11073470.0,74668.6,26263872.0,22954.19,644155.1,12341783.0,108856.13,25718080.0,207916.08,967439.6,19061234.0,1529344.8,373292.3,13767543.0,5318658.5,1351220.9,15724464.0,126010730.0,1359336.2,841.47,4526371.5,1333861.5,11475285.0,5152.07,1062740.4,525950.1,2702782700.0,95956290.0,742068.25,7067569.0,25585612.0,7379.76,2682871.8,13050020.0,11617910.0,3501803.2,1412154.2,149017.06,8722992.0,82290050.0,8898428.0,4499716.0,15744780.0,7219235.0,807579.0,170492.5,5785559.5,1905546.6,7054.45,10473424.0,3252049.0,7109053.0,76359.95,161449.23,1812418.4,647085.44,2626599.0,1027328.5,22412.27,4164528.8,9868353.0,3893539.5,21365278.0,2688927.2,1803629.4,560361.94,27944.75,433224.6,2480217.0,18044122.0,4356.25,30222732.0,24993304.0,25094792.0,1070970.9,89285770.0,11142617.0,34505.87,6635907.5,21863792.0,70745.76,52546.51,10630582.0,31682924.0,11606428.0,11346399.0
2002,17493350.0,20088618.0,818205.6,17726.59,645173.75,11508350.0,994843.0,20180.37,5074981.5,2428849.2,3023503.0,7598379.0,3311163.5,5842341.0,12799042.0,57734510.0,3523673.5,169996.89,103107.14,1257032.1,5097723.0,73447.46,3759673.5,57649856.0,82538.06,61641.79,245824.33,1672556.2,4658966.5,8194665.0,2037180.2,3838557.2,372225630.0,16444794.0,14280064.0,50767860.0,2560756.8,3998.66,11577096.0,304815.28,134495.05,851321.3,2941988.2,229912.55,3521763.2,26265482.0,483596.03,21579.0,1766615.5,2643001.2,8437633.0,3673298.5,24515504.0,1651675.4,11880643.0,613971.2,62863720.0,1635650.8,280454.38,17737928.0,48000.91,857038.75,18531872.0,1605400.0,12694160.0,7749438.5,1045762.3,1292229.4,655402.0,3372314.2,35054.0,4625383.5,318483.44,2199490.8,1630961.6,5684755.0,4265420.5,79809940.0,556165200.0,1059964.4,17184744.0,9020687.0,66543.33,1504566.8,17556882.0,678022.5,1251322.9,33969804.0,6817643.5,22903220.0,1830349.0,6501105.5,46409.85,14446.54,11079173.0,357978.62,3333983.8,1006223.7,3067859.5,1380746.8,44856.41,5589567.0,1862250.0,1462107.4,124471.78,1096442.2,9398138.0,12097.42,1977418.0,11067271.0,72351.87,26562810.0,23199.38,664216.0,12411642.0,109309.61,25494246.0,208630.48,949693.8,18996220.0,1496167.9,375538.38,13334911.0,5378856.5,1401826.6,15507938.0,126281320.0,1355635.9,830.41,4553998.0,1331991.1,11354576.0,5122.27,1072182.5,523412.56,2699107000.0,96483400.0,751412.56,7001258.0,26026384.0,7450.23,2752513.2,12940969.0,11533608.0,3504579.5,1417878.4,156088.98,8914396.0,84076430.0,8228537.5,4600030.5,15809338.0,7097637.5,820061.56,174315.77,5946552.0,1784536.2,7151.98,10847352.0,3294000.0,7043894.0,74894.86,165210.86,1804961.4,644735.6,2629352.0,1095962.0,22945.57,4208556.5,10001136.0,3942972.0,21705374.0,2572940.5,1798263.5,550934.25,28124.22,430153.9,2492833.8,17572266.0,4268.59,29698062.0,24592288.0,25353084.0,1069446.5,90119750.0,11203309.0,34529.46,6756021.0,22073766.0,72321.01,52410.89,10426595.0,34295228.0,11367986.0,11566401.0
2003,17798800.0,20038652.0,834381.6,18248.22,687140.5,11637931.0,994208.25,20214.44,5083701.0,2460090.2,3051843.0,7524929.5,3326366.5,5906553.5,12782828.0,56901316.0,3498540.2,175988.4,102490.49,1255900.5,4987374.0,74090.57,3673709.0,57595150.0,84520.95,62843.02,241150.88,1613376.9,4674223.0,8296965.0,2051887.5,3907991.2,374776400.0,16428500.0,14497876.0,50958856.0,2528610.8,3986.88,11051905.0,300234.8,135002.2,870954.3,3003170.2,233829.44,3583778.5,26429606.0,488232.78,21639.84,1745197.4,2687192.8,8501744.0,3609319.8,24728508.0,1666113.6,12173419.0,594459.5,61260620.0,1632142.1,286712.28,17944248.0,43784.41,868212.5,18586990.0,1523011.1,12790328.0,7635591.5,1044794.5,1285983.8,670211.56,3392340.0,36297.97,4651062.0,316731.1,2214690.8,1654894.1,5645973.0,4291805.0,79797970.0,548125700.0,1050113.0,18470568.0,9977115.0,66559.55,1479688.8,17872860.0,663481.06,1264327.4,34455324.0,6996223.5,22860286.0,1839464.9,6251650.0,46558.75,14256.78,11099948.0,363102.22,3246618.2,1010764.3,3047989.8,1409712.0,44923.79,5626004.0,2031214.0,1450550.1,124631.26,1070345.9,9403001.0,12086.9,1966057.6,11036318.0,70688.19,26852590.0,23435.03,658446.06,12442673.0,109974.3,25155944.0,209613.27,937400.56,18944138.0,1461596.4,379288.72,12887160.0,5566143.5,1439128.9,15261635.0,126072000.0,1350788.1,824.2,4541156.5,1302281.2,10826032.0,,1074444.8,519304.8,2693799700.0,96660344.0,770204.7,6963510.5,26408144.0,7518.17,2816358.2,12995040.0,8275780.5,3519529.0,1433712.8,161330.75,8778081.0,84973180.0,7705398.0,4713570.5,15676490.0,6862968.0,824647.1,177676.02,6050589.5,1796532.5,7270.0,11208654.0,3312177.5,6975314.5,73082.28,168597.45,1817828.1,660081.25,2608157.2,1157172.5,23505.56,4191583.5,10129506.0,3983877.5,21661060.0,2459373.8,1795078.2,536406.44,28361.91,439886.6,2508753.2,17212312.0,4211.94,29145622.0,23997850.0,25396578.0,1093260.1,90782890.0,10984031.0,34285.57,7072458.5,22346304.0,73995.02,52442.41,10279490.0,36901892.0,10982675.0,11702517.0
2004,18020188.0,19965164.0,815505.44,18855.18,728855.7,11414732.0,982722.3,20320.47,5127888.0,2427075.8,3010142.2,7390963.5,3247282.8,5959245.5,12718639.0,55794388.0,3460890.2,185763.2,103797.83,1254810.9,4889488.0,75199.17,3593415.2,57850700.0,84943.86,64132.46,237940.36,1494407.1,4687342.0,8342552.5,2016346.6,3983472.5,377467500.0,16274208.0,14587467.0,50848708.0,2492279.5,3999.62,11007438.0,298493.2,136370.62,889865.94,3027073.0,237443.84,3517013.2,25882406.0,488960.12,21745.17,1718841.9,2752814.2,8439310.0,3656081.0,24650426.0,1687132.2,12063304.0,583719.75,59487124.0,1631618.5,285559.34,17380708.0,43549.47,869629.75,18232648.0,1570453.1,12880152.0,7565082.5,1043846.4,1277745.1,683678.25,3410288.2,38049.47,4643369.5,314400.44,2220357.0,1597949.5,5809813.0,4216822.5,89397740.0,541288600.0,1055781.2,17486182.0,10183199.0,66914.43,1478978.9,17418886.0,656831.6,1285569.0,34610950.0,7026301.0,22635126.0,1809884.8,6043357.0,47181.65,14293.13,11023163.0,378234.53,3168606.8,1015150.1,2721354.0,1417607.1,45163.8,7385620.0,2181628.8,1449753.9,124984.88,1053311.5,9415294.0,12094.8,1906994.2,11012991.0,75236.76,26849388.0,23641.91,648764.94,12414136.0,110896.38,24746182.0,210465.7,933016.1,18908764.0,1431982.0,383498.94,12477218.0,5671673.5,1441816.2,14965191.0,125768080.0,1345298.2,842.08,4453828.5,1285189.9,10649141.0,5048.76,1086892.5,521115.75,2690553900.0,96537864.0,773924.8,6849768.5,26892160.0,7665.67,2884251.2,13025953.0,8339931.5,3412974.2,1469617.2,165491.17,8518114.0,83295660.0,7120048.0,4830997.0,15914242.0,6670635.5,818858.06,181130.16,6082291.0,1804777.9,7290.56,11626246.0,3309140.5,6835937.5,71373.76,169389.11,1802982.4,644324.25,2578107.2,1206237.6,23739.3,4260175.0,10343653.0,3992732.2,21904744.0,2381862.0,1828728.6,521650.78,28369.74,441335.4,2528543.0,16996648.0,4196.23,28706186.0,23087624.0,25458736.0,1075071.0,90435944.0,10720206.0,34278.4,6943987.5,22642606.0,75681.0,52533.73,10140166.0,38712120.0,10502967.0,11734310.0
2005,18072466.0,19714864.0,883460.94,19304.68,768446.94,11382252.0,991006.8,20479.08,5207526.5,2438466.5,3071980.5,7282539.0,3280636.2,6017892.0,12610547.0,54838772.0,3493787.0,196524.06,104072.34,1273702.6,4930565.0,76244.09,3529746.2,57232224.0,84311.75,65441.45,235253.58,1373143.6,4681444.5,8471857.0,2020149.8,3994590.0,374684450.0,15893900.0,14638686.0,50861590.0,2444536.5,4015.04,10830379.0,299269.62,137640.1,873703.25,3097556.5,240154.67,3519802.2,25908934.0,483680.44,21836.35,1688784.5,2770823.2,8481405.0,3758678.0,24660388.0,1689634.0,12299303.0,566247.9,57549612.0,1635799.4,291888.97,17623334.0,43376.49,857258.1,18188714.0,1440817.5,13006920.0,7512936.0,1042856.6,1267634.1,697041.4,3411192.8,38365.93,4780281.0,312534.03,2226688.0,1622092.0,5579101.0,4244529.0,80042900.0,534047070.0,1058714.1,17684130.0,10745304.0,67906.72,1489616.9,17637128.0,784226.5,1312128.0,35324030.0,7168769.5,22198742.0,1826355.2,5860938.5,48013.3,14161.67,11003727.0,397745.5,3093001.0,1031987.44,2655920.8,1428528.5,45144.63,5719837.0,2280550.8,1507415.5,125252.97,1068482.0,9427089.0,12128.82,1986289.5,10951319.0,68250.3,27361182.0,23798.75,651101.25,12493634.0,111755.32,24226864.0,209600.88,928360.3,18883096.0,1410179.2,387693.4,12036011.0,5770288.0,1385934.8,14723966.0,125100264.0,1353175.9,807.6,4438512.0,1281070.0,10321641.0,5001.72,1072158.0,527685.56,2669555200.0,99807570.0,793056.25,6789142.0,27240036.0,7719.13,2946334.0,13107019.0,8397256.0,3478556.2,1457067.0,178287.27,8396291.0,83402740.0,6561124.5,4970312.0,15154311.0,6493470.0,834797.25,184377.81,6078684.5,1814055.8,7339.01,11892458.0,3318458.8,6747327.0,69437.75,168047.8,1829029.6,639849.0,2591376.2,1223180.5,23933.3,4322961.0,10558920.0,4034336.2,21283454.0,2344425.5,1877557.8,510213.1,27938.47,445195.6,2552215.8,16934674.0,4194.71,28177294.0,22034842.0,25877778.0,1061135.0,91899120.0,11001079.0,34326.53,6970746.5,22977008.0,77344.07,52811.67,10019568.0,39772044.0,10132808.0,11560017.0
2006,18370464.0,19424488.0,894367.44,19260.74,820435.5,11413070.0,1002042.2,20795.83,5265183.0,2409336.8,3077788.2,6348640.5,3262578.5,6086957.5,12520827.0,53859944.0,3473256.0,208612.81,106792.26,1267716.9,4795887.0,77382.53,3481634.0,57494056.0,84800.53,67036.88,230591.56,1309413.2,4666822.5,8479173.0,2019401.6,4011451.5,365399970.0,15510975.0,14720803.0,51037360.0,2406065.5,4022.81,10833424.0,299796.12,136698.2,921011.94,3013008.2,242520.22,3445815.8,25675256.0,484248.3,22196.38,1701937.2,2799610.0,8558540.0,3775814.5,24975576.0,1659157.2,12153141.0,564353.94,55450790.0,1634003.6,297334.25,17473094.0,43079.63,858203.94,18112782.0,1460602.8,13112983.0,7478533.5,1043556.0,1256446.4,704046.75,3377558.0,38515.87,4718264.0,309618.38,2238544.2,1585127.9,5502774.5,4149228.2,80544340.0,526904260.0,1069489.6,17891360.0,11629212.0,69285.27,1512678.9,17371626.0,645221.2,1360731.5,35212900.0,7193985.5,21663718.0,1851234.0,5698746.5,48995.4,14168.15,10898560.0,420138.84,3025634.0,1103486.6,2649041.8,1418361.9,45211.84,5863588.0,2309046.0,1525671.1,125455.94,1073014.2,9462240.0,12131.78,1893013.1,10915195.0,68015.62,27466930.0,23928.69,657626.06,12561878.0,112358.19,23731672.0,207840.55,922860.06,18813856.0,1380651.5,389894.53,11594630.0,5884813.0,1294956.8,14496634.0,124730824.0,1318931.8,808.89,4405654.0,1280246.1,10048183.0,5021.11,1089490.2,537156.6,2637317600.0,96518460.0,809199.2,6713877.5,27949802.0,7667.38,3004387.8,13150553.0,8472021.0,3384350.2,1470152.5,206921.64,8200255.5,78370936.0,6079038.5,5128790.5,15196237.0,6364814.0,851796.5,187914.95,6053689.0,1808251.9,7311.87,12225520.0,3229807.5,6702701.0,67792.82,167020.3,1824394.1,632778.25,2585090.5,1176900.5,24479.16,4518642.0,10824766.0,4023894.0,21012186.0,2309651.0,1878008.2,504488.9,27964.34,443319.25,2577671.2,16856328.0,4211.57,27339032.0,21293728.0,24992032.0,1033330.0,92236640.0,10636562.0,34106.82,7195380.5,23245574.0,79049.3,52831.46,9940696.0,40312644.0,9791526.0,11377219.0
2007,18390300.0,19050190.0,887425.94,18478.79,908311.75,11821402.0,980790.44,21488.93,5314096.5,2410638.8,2929879.8,6191900.5,3254191.5,6148522.5,12431453.0,52830484.0,3426220.0,213253.56,106897.09,1306264.2,4596565.5,78290.56,3446355.0,57557732.0,84989.32,68332.04,225458.67,1289429.0,4622970.5,8649721.0,2034621.0,4081602.0,361888500.0,15224482.0,14763918.0,51270304.0,2393389.8,4101.15,10742946.0,300172.38,140253.34,899743.0,3042783.8,243937.84,3450210.2,25693634.0,472715.84,22597.18,1706336.8,2817706.0,8670173.0,3794342.0,25182364.0,1630596.9,12419488.0,564818.1,53200580.0,1651606.4,301977.84,17503798.0,42674.88,867601.06,18160478.0,1429409.1,13145068.0,7486944.5,1049243.8,1237449.4,712395.9,3462179.2,38915.63,4616861.0,305551.38,2252440.2,1606903.5,5424028.0,4146399.0,80775740.0,521911500.0,1085509.9,18118502.0,11413743.0,70780.9,1522954.6,17470966.0,872783.94,1414983.0,35454536.0,7184259.5,21131754.0,1825576.5,5578998.0,50070.88,14231.61,10990078.0,435510.38,2956893.5,1072621.8,2656901.0,1455126.0,45342.31,5793831.5,2178347.0,1546982.4,125552.69,1048180.75,9505204.0,12077.92,1832785.0,10896481.0,68905.96,27767550.0,23836.36,672769.0,12577621.0,112653.75,23178268.0,205289.95,919768.94,18567998.0,1365517.0,392098.3,11185417.0,6026656.0,1199177.9,14367103.0,124410720.0,1339612.8,806.87,4368162.0,1288489.0,9835065.0,5053.42,1103180.5,553939.8,2620070100.0,97113944.0,819857.2,6624975.5,28065068.0,7658.58,3041363.0,13271111.0,8588938.0,3384718.8,1475835.1,242367.34,8004648.5,75201880.0,5699828.0,5294408.5,15276948.0,6203469.5,900500.0,193357.92,6002623.5,1770361.4,7408.91,12470935.0,3212646.0,6638157.5,66487.9,166844.48,1837860.8,637325.9,2589349.8,1143757.1,24850.22,4736790.0,10806651.0,4081981.8,20808930.0,2301671.8,1875767.5,496577.0,28074.77,449121.44,2608463.8,16819620.0,4207.83,26196168.0,20747564.0,25229186.0,1092554.1,92686600.0,10534058.0,33926.46,7446620.0,23562888.0,80774.5,53322.83,9899767.0,39639336.0,9409094.0,11116129.0
2008,17823226.0,18747182.0,877241.4,17979.27,1005544.6,11668624.0,991820.5,21891.16,5440312.0,2404246.5,3042578.5,6083167.5,3302238.2,6143599.5,12312990.0,51212024.0,3361125.2,222624.12,109545.23,1260666.0,4589799.5,79520.37,3407667.0,57934776.0,84988.5,69902.23,221453.19,1293904.9,4551619.5,8757737.0,2045851.6,4066774.2,366121000.0,14915270.0,14713693.0,51675936.0,2357433.5,4243.43,10800809.0,297055.84,139295.45,926815.9,3104781.2,245163.86,3446906.2,25851444.0,469253.4,22711.26,1688732.1,2835357.2,8774946.0,3861928.5,25588108.0,1630443.0,12480663.0,534407.2,51172080.0,1644918.5,307117.6,17674666.0,42241.19,884684.3,18274682.0,1508377.1,13139125.0,7503035.0,1048341.1,1216551.0,725616.94,3403967.2,39731.17,4621273.5,306669.6,2274620.8,1604711.2,5388964.0,4045072.2,81095460.0,517095550.0,1101744.9,18318836.0,10107620.0,71716.4,1544202.8,17505088.0,834958.75,1435112.9,35822292.0,6804211.5,20673038.0,1807568.8,5458162.5,51166.8,14385.42,11004751.0,475512.53,2892586.8,1104546.5,2666068.5,1510623.5,45640.37,6167460.0,2020897.8,1468294.1,126215.63,986534.94,9523772.0,12221.58,1760495.6,10911149.0,69951.76,28832064.0,23676.32,655046.0,12621724.0,113050.56,31529200.0,203607.27,918452.5,18418192.0,1360881.5,393976.0,10670565.0,6284734.5,1125772.1,14271505.0,124448850.0,1352365.9,809.16,4401236.0,1294915.5,9683874.0,5068.75,1105643.6,561946.75,2622974500.0,97934310.0,849102.1,6632053.5,28630366.0,7646.9,3079610.2,13244068.0,8660706.0,3378293.0,1491337.9,274437.56,7994614.0,74439816.0,5397595.0,5377870.0,15515605.0,6065611.0,931355.8,194037.6,5902065.0,1739948.2,7660.54,12587642.0,3188125.0,6633532.5,65110.82,168368.73,1824355.0,624294.75,2591815.5,1123970.6,25112.72,4948767.0,10935183.0,4121185.0,20613616.0,2298926.2,1861607.9,488797.34,28201.67,466801.47,2639324.2,16896008.0,4190.06,25524438.0,20030044.0,24859032.0,1048245.5,93694440.0,10418525.0,33857.25,7684289.5,23960304.0,82502.02,54005.2,9858453.0,38728850.0,9044029.0,10840002.0
2009,17567628.0,18413524.0,863008.44,17369.44,1064052.5,11756016.0,984885.7,22076.88,5473845.0,2451048.5,2999646.5,6070923.5,3301912.5,6153145.0,12206528.0,49655280.0,3304108.0,231501.81,112319.13,1247406.5,4582447.0,81530.44,3364417.2,58436850.0,84233.44,71180.95,218081.08,1274777.8,4540834.0,8808521.0,2080984.2,4191938.0,364053470.0,14709652.0,14712002.0,51918180.0,2350378.0,4419.41,10963973.0,305031.88,141660.44,934129.56,3126545.2,246716.2,3464772.2,25970600.0,467199.97,23025.03,1683957.8,2865915.5,8907886.0,3855314.0,26029608.0,1623431.6,12446995.0,514688.1,49242600.0,1651919.9,306556.62,17765084.0,41686.36,893532.44,18054088.0,1537721.9,13114478.0,7554138.5,1049814.9,1199613.5,739228.9,3409607.5,40495.82,4705941.0,302477.97,2291515.2,1581455.8,5336014.0,4020953.2,81368220.0,508770720.0,1129753.4,18487400.0,9899368.0,71722.1,1527244.8,17560168.0,773986.75,1443576.0,35734816.0,6424144.0,20081984.0,1772155.1,5362043.0,52313.79,14534.24,11102248.0,488283.28,2826998.2,1114169.4,2662917.0,1550585.2,46122.87,6614091.0,1901406.9,1387096.9,126857.68,944221.6,9545708.0,12807.5,1725342.8,10991084.0,71190.06,29563956.0,23468.03,654445.25,12660406.0,113442.78,22072962.0,201998.77,935034.44,18431604.0,1364697.6,396075.22,10228127.0,6540614.0,1102444.0,14304352.0,124601144.0,1358281.5,802.42,4396675.0,1295109.0,9538959.0,5073.78,1107668.4,575521.94,2595573500.0,98697540.0,866966.06,6881258.0,29456974.0,7624.83,3120130.8,13235840.0,8754360.0,3376693.5,1516798.8,300076.5,8009715.0,71936440.0,5241114.0,5392779.5,15641321.0,5992103.5,941953.9,197402.9,5820024.5,1800334.5,7861.36,12614968.0,3186972.2,6795237.5,62708.71,167510.16,1808625.9,628323.8,2584678.5,1095379.2,25570.69,5003738.5,10936250.0,4121672.2,20390982.0,2315149.5,1806491.2,485665.72,31774.18,458151.75,2678329.5,17224638.0,4112.42,25164916.0,19426090.0,22961858.0,1042015.6,93842130.0,10187875.0,34080.18,7754253.5,24353582.0,84092.12,63746.15,9852968.0,37083660.0,8819338.0,10432014.0
