Date,ABW,AFG,AGO,AIA,ALB,AND,ARE,ARG,ARM,ASM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BES,BFA,BGD,BGR,BHR,BHS,BIH,BLM,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CUW,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESH,ESP,EST,ETH,FIN,FJI,FLK,FRA,FRO,FSM,GAB,GBR,GEO,GGY,GHA,GIB,GIN,GLP,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUF,GUM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IMN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JEY,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAC,MAF,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MNP,MOZ,MRT,MSR,MTQ,MUS,MWI,MYS,MYT,NAM,NCL,NER,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,OWID_KOS,OWID_WRL,PAK,PAN,PER,PHL,PLW,PNG,POL,PRI,PRK,PRT,PRY,PSE,PYF,QAT,REU,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SHN,SLB,SLE,SLV,SMR,SOM,SPM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKL,TKM,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,URY,USA,UZB,VAT,VCT,VEN,VGB,VIR,VNM,VUT,WLF,WSM,YEM,ZAF,ZMB,ZWE
1950,2.546,1.275,1.208,4.479,2.144,1.601,6.616,1.979,2.401,3.419,2.181,3.127,-0.039,1.698,2.272,0.471,0.717,0.186,1.076,1.896,1.135,2.886,1.039,1.454,3.191,0.772,2.658,1.556,1.481,2.952,1.747,5.959,2.656,2.353,1.605,2.156,1.046,1.871,1.785,2.681,1.461,1.956,2.16,2.757,2.586,2.444,1.169,3.32,1.979,2.525,2.285,1.408,0.907,-0.2,3.111,0.343,0.791,2.864,2.786,2.537,2.074,1.417,9.096,0.438,1.309,1.74,1.087,2.031,0.913,1.106,0.947,2.803,0.578,0.758,1.22,2.921,2.815,-1.201,1.607,1.016,2.454,1.433,1.785,0.806,0.629,2.159,2.514,1.265,0.808,2.529,4.498,2.673,1.287,1.471,0.974,2.088,0.481,2.129,0.953,2.455,2.007,2.286,4.852,0.934,3.11,1.881,7.006,1.728,3.404,1.994,2.064,2.275,2.021,2.223,0.002,2.851,2.419,2.786,1.844,1.101,1.136,1.78,1.79,1.759,1.016,0.524,0.777,3.07,4.491,2.436,5.529,1.707,2.53,1.636,2.584,1.046,1.84,1.48,2.414,1.849,1.767,1.624,2.152,1.076,1.938,-0.765,2.376,2.905,1.711,2.558,1.856,1.097,1.427,3.343,1.882,2.844,2.09,1.715,0.93,2.097,3.053,1.944,1.228,2.039,1.738,1.951,2.381,2.767,3.703,2.663,2.134,1.748,0.87,-5.003,0.773,2.196,0.824,2.333,3.155,3.763,1.407,1.404,3.626,3.469,2.949,2.457,5.244,1.225,2.036,1.169,2.383,1.398,2.871,1.27,0.956,1.385,1.47,2.086,1.579,1.12,0.867,2.543,7.175,1.285,1.903,0.933,1.771,1.744,2.556,4.031,-2.764,1.891,0.737,2.491,2.553,1.989,2.91,4.471,3.373,2.409,2.746,1.328,0.92,1.473,2.305,0.682,2.603,4.392,0.665,3.124,2.144,1.62,1.968,2.412,1.373,2.006,3.066,3.19
1951,2.627,1.36,1.008,3.704,2.372,-7.755,6.449,1.96,2.51,0.592,2.072,2.709,-0.133,1.794,2.185,0.416,0.773,0.797,1.154,2.021,0.678,2.973,1.574,1.485,1.655,0.955,3.179,1.556,1.558,2.989,1.544,5.682,2.705,2.357,1.595,2.747,1.301,1.956,1.755,2.671,1.53,2.043,2.191,2.112,2.644,1.953,1.223,3.396,1.956,2.593,1.444,1.478,0.891,0.012,3.137,0.63,0.697,2.953,2.714,2.574,2.207,1.544,9.229,0.541,1.245,1.834,0.863,2.194,0.272,1.035,0.558,2.709,0.601,0.142,1.268,0.96,2.943,-0.596,1.606,2.689,2.539,0.805,1.761,0.803,1.102,1.737,2.596,1.291,0.904,2.693,4.509,2.712,1.115,1.52,0.845,2.188,-0.563,2.207,0.703,2.46,2.219,1.543,4.631,0.615,2.54,1.272,7.213,1.502,3.369,2.27,2.049,2.265,2.04,2.283,1.122,2.9,2.355,2.8,1.929,1.344,0.955,1.622,1.894,1.905,1.095,0.546,0.8,0.44,3.984,2.512,1.361,1.773,2.518,1.733,2.657,0.725,1.71,1.47,1.477,1.874,1.953,1.584,1.286,1.209,2.026,-0.755,2.232,2.948,1.821,2.593,1.979,1.144,1.492,3.243,1.896,2.815,-0.088,1.248,0.945,2.054,2.934,2.19,1.281,1.991,1.747,2.093,2.472,2.787,3.778,2.0,1.908,1.792,0.779,-4.823,0.538,2.221,0.93,2.466,3.196,3.567,1.359,1.386,3.563,3.492,2.977,2.511,5.274,0.701,2.195,1.183,2.307,1.242,2.793,0.662,0.959,1.508,1.426,2.892,1.831,1.131,0.732,2.509,6.57,0.791,2.085,-0.396,1.758,1.768,2.63,3.681,-1.024,1.993,0.942,2.642,2.606,2.022,2.929,2.213,3.515,2.457,2.751,1.317,1.04,1.461,2.293,0.677,2.786,4.3,-0.081,1.734,1.8,1.532,4.458,2.574,1.523,2.1,3.043,3.157
1952,2.643,1.374,1.115,2.31,2.577,-5.042,6.271,1.947,2.618,0.716,2.093,2.273,0.04,1.925,2.111,0.526,0.849,1.63,1.178,2.08,0.618,3.059,2.118,1.742,0.577,1.125,2.978,1.27,1.619,3.012,1.35,5.862,2.697,2.381,1.606,2.846,1.357,2.009,2.305,2.691,1.601,2.076,2.222,1.649,2.698,2.163,1.15,3.452,1.976,2.636,1.998,1.548,0.879,0.117,3.127,0.934,0.785,3.068,2.637,2.6,2.358,1.649,8.696,0.809,1.192,1.879,1.258,2.334,0.497,1.064,0.147,2.83,0.636,0.45,1.288,0.241,3.023,0.671,1.615,2.764,2.575,0.708,1.737,0.815,1.447,2.515,2.64,1.291,0.989,2.887,4.497,2.75,1.209,1.554,0.861,2.285,-0.983,2.266,-0.39,2.48,2.531,1.652,4.401,0.521,2.092,1.124,7.233,1.403,3.296,2.415,2.056,2.254,2.08,2.144,2.466,2.954,2.335,2.816,1.997,1.616,-0.002,1.603,1.969,2.012,1.136,0.618,0.809,-0.152,3.528,2.567,0.696,1.85,2.526,1.801,2.706,0.848,1.951,1.432,1.465,1.936,2.303,1.604,1.324,1.205,2.081,-0.659,2.225,2.882,1.906,2.625,1.982,1.24,1.585,3.147,1.87,2.852,0.79,1.034,0.979,1.98,2.523,2.52,1.322,2.167,1.935,2.206,2.554,2.786,3.848,2.252,2.434,1.744,0.651,-1.458,0.62,2.236,1.025,2.646,3.245,3.786,1.276,1.421,3.509,3.517,2.974,2.566,5.311,0.302,2.314,1.168,2.348,1.175,2.716,1.441,1.016,1.597,1.249,2.859,1.905,1.171,0.727,2.472,5.282,0.782,2.229,-1.037,1.782,1.784,2.664,3.405,1.215,2.054,1.038,2.804,2.642,2.068,2.955,2.753,3.633,2.5,2.784,1.305,1.137,1.473,2.396,0.673,2.921,4.199,-0.257,1.49,2.396,1.879,3.671,2.214,1.612,2.159,3.043,3.131
1953,2.688,1.335,1.222,2.617,2.733,0.188,6.056,1.886,2.736,0.437,2.024,1.98,0.1,2.074,2.039,0.511,0.93,1.522,1.173,2.066,0.842,3.149,2.632,2.147,1.145,1.229,2.857,1.318,1.705,3.029,1.154,6.036,2.749,2.297,1.617,2.806,1.288,2.056,2.047,2.738,1.674,2.034,2.261,1.82,2.712,2.082,1.07,3.525,1.994,2.644,2.106,1.588,0.776,0.192,3.194,1.199,0.91,3.151,2.577,2.619,2.461,1.74,8.952,0.781,1.056,1.889,1.121,2.462,-1.18,1.018,0.028,2.87,0.681,0.462,1.326,0.232,3.063,0.477,1.626,2.776,2.596,0.628,1.737,0.868,1.774,2.661,2.634,1.43,1.124,3.054,4.493,2.779,1.237,1.604,1.035,2.369,-1.123,2.232,-0.454,2.46,2.52,2.333,4.199,1.139,1.709,1.071,7.114,1.248,3.202,2.515,2.06,2.175,2.124,2.078,2.85,3.002,2.325,2.839,2.025,1.93,-0.187,1.728,2.023,2.106,1.16,0.567,0.792,-0.663,3.818,2.576,0.319,1.91,2.538,1.87,2.78,0.579,1.866,1.379,1.424,1.955,1.757,1.637,1.72,1.173,2.134,-0.909,2.521,2.349,1.969,2.633,2.221,1.249,1.653,3.057,1.834,2.867,0.066,1.097,1.005,1.891,2.247,2.425,1.366,2.17,1.9,2.304,2.628,2.76,3.906,2.487,2.557,1.762,0.602,-0.029,0.534,2.252,1.115,2.821,3.224,3.615,1.222,1.428,3.437,3.546,2.946,2.618,5.312,0.207,2.426,1.126,2.321,1.191,2.625,1.142,1.099,1.685,1.083,2.882,1.858,1.232,0.582,2.444,5.41,0.873,2.368,-0.181,1.813,1.79,2.669,3.227,0.381,2.308,1.112,2.929,2.679,2.103,2.955,2.164,3.653,2.531,2.811,1.286,1.211,1.495,2.487,0.668,3.057,4.101,0.541,1.707,2.249,1.98,4.148,2.207,1.685,2.168,3.047,3.112
1954,2.64,1.394,1.326,2.445,2.774,9.79,5.807,1.848,2.86,0.511,2.021,2.134,0.126,2.231,2.028,0.55,1.018,4.247,1.223,2.224,0.779,3.27,3.14,2.117,0.756,1.425,2.784,1.304,1.774,3.043,0.953,6.256,2.731,2.19,1.644,2.77,1.283,2.082,2.252,2.809,1.752,2.108,2.292,1.731,2.778,1.977,1.011,3.574,2.009,2.684,1.8,1.63,0.718,0.292,3.191,1.507,0.791,3.217,2.314,2.638,2.497,1.812,8.709,0.785,1.062,1.963,1.16,2.621,-0.412,1.049,0.125,2.834,0.725,0.447,1.339,0.212,3.156,0.502,1.638,2.682,2.605,0.571,1.733,0.899,2.074,2.82,2.686,1.755,1.203,3.188,4.512,2.799,0.85,1.626,1.246,2.459,-1.205,2.352,-0.498,2.518,2.534,2.286,3.995,0.632,1.41,1.052,6.992,1.137,3.19,2.725,2.148,2.194,2.144,1.463,3.215,3.038,2.303,2.856,2.117,2.229,-0.279,1.652,2.062,2.214,1.178,0.621,0.914,-1.07,3.565,2.62,-0.31,1.951,2.542,1.934,2.85,0.65,1.227,1.379,1.401,2.017,1.444,1.686,1.73,1.225,2.189,-0.589,2.632,2.338,1.986,2.706,2.292,1.28,1.734,2.986,1.866,2.891,0.675,1.218,0.97,1.876,2.302,2.154,1.414,2.378,1.993,2.386,2.664,2.78,3.979,2.619,2.619,1.759,0.557,1.305,0.495,2.251,1.207,3.047,3.241,4.014,1.213,1.538,3.429,3.563,2.987,2.665,5.308,-0.038,2.505,1.203,2.392,1.359,2.61,1.489,1.291,1.758,0.991,2.928,1.821,1.164,0.587,2.41,5.398,0.99,2.504,1.87,1.85,1.794,2.721,3.099,0.883,2.475,1.179,3.046,2.744,2.132,2.863,1.442,3.697,2.558,2.835,1.345,1.27,1.544,2.574,0.774,3.215,4.011,0.913,1.811,2.692,2.111,-0.545,2.195,1.751,2.257,3.05,3.097
1955,2.654,1.485,1.425,0.975,2.623,9.398,5.589,1.763,2.98,0.488,2.001,2.385,0.069,2.403,2.011,0.519,1.105,0.079,1.262,2.311,0.751,3.418,3.561,2.126,0.141,1.553,2.758,1.255,1.841,3.059,0.61,6.405,2.781,2.118,1.667,2.507,1.266,2.1,2.25,2.888,1.827,2.152,2.344,1.763,2.824,1.901,1.112,3.611,2.012,2.718,1.872,1.677,0.757,0.362,3.201,1.798,0.676,3.261,2.288,2.657,2.461,1.88,8.591,0.816,1.018,2.007,1.117,2.792,0.229,1.043,0.149,2.943,0.781,0.408,1.428,0.155,3.215,0.285,1.651,2.614,2.609,0.528,1.727,0.959,2.418,3.073,2.718,3.892,1.33,3.27,4.533,2.82,0.755,1.695,1.184,2.535,-1.315,2.353,-0.578,2.622,2.137,2.181,3.845,0.612,1.217,0.967,6.819,1.078,3.206,2.9,2.245,2.211,2.224,1.596,3.302,11.015,2.301,2.843,2.183,3.179,-0.366,1.804,2.095,2.287,1.213,0.582,0.937,-1.398,3.223,2.662,-0.544,1.979,2.546,2.033,2.903,0.705,1.098,1.378,1.381,2.053,1.397,1.8,2.368,1.26,2.253,-0.681,1.939,2.424,2.059,2.758,2.414,1.32,1.805,2.926,1.879,2.919,0.799,1.318,1.031,1.836,3.167,2.054,1.464,2.324,2.011,2.464,2.693,2.799,4.028,2.341,2.707,1.769,0.521,1.801,0.568,2.241,1.29,3.254,3.308,3.655,1.188,1.54,3.397,3.584,3.007,2.708,5.261,-0.377,2.598,1.247,2.45,1.32,2.586,1.28,1.229,1.821,0.935,2.995,1.863,1.072,0.763,2.392,6.623,1.12,2.632,2.318,1.892,1.792,2.749,3.022,0.0,2.637,1.234,3.128,2.748,2.189,2.765,1.068,3.83,2.599,2.851,1.381,1.295,1.565,2.717,0.659,3.339,3.932,0.414,1.588,2.623,2.209,-1.141,2.208,1.815,2.33,3.054,3.086
1956,2.591,1.55,1.512,0.398,2.658,9.157,5.378,1.774,3.158,0.296,1.962,2.328,0.092,2.573,1.994,0.534,1.196,0.197,1.3,2.381,0.665,3.533,3.92,2.122,-0.424,1.653,2.717,1.187,1.895,3.07,0.482,6.473,2.776,2.087,1.701,2.899,1.257,2.143,2.019,2.978,1.886,2.196,2.391,1.503,2.864,1.82,1.158,3.652,2.011,2.72,1.9,1.741,0.715,0.432,3.234,2.065,0.559,3.283,2.243,2.68,2.455,1.957,8.436,0.786,0.91,2.061,1.078,2.933,0.228,0.997,1.163,2.949,0.836,0.464,1.525,0.288,3.261,0.275,1.665,2.623,2.62,0.498,1.731,0.943,2.699,3.805,2.746,3.988,1.435,3.314,4.619,2.83,0.68,1.731,-0.555,2.597,-1.423,2.382,-0.513,2.692,2.25,2.002,3.661,0.512,1.121,0.924,6.642,0.897,3.269,3.084,2.351,2.203,2.247,1.603,3.358,10.492,2.296,2.876,2.245,3.406,-0.386,1.817,2.125,2.367,1.258,0.494,0.958,-1.974,3.546,2.697,1.94,1.993,2.569,2.104,2.934,0.59,1.137,1.382,1.316,2.085,1.356,2.801,1.837,1.291,2.315,-0.799,2.001,2.507,2.131,2.815,2.459,1.394,2.357,2.884,1.898,2.947,0.985,1.243,0.86,1.802,3.731,2.124,1.528,2.38,1.978,2.539,2.73,2.822,4.068,1.839,2.762,1.689,0.466,1.951,0.381,2.241,1.374,3.343,3.496,3.638,1.271,1.58,3.38,3.595,3.025,2.747,5.178,-0.076,2.502,1.291,2.5,2.349,2.569,0.706,1.166,1.806,0.974,3.08,1.838,1.023,0.697,2.367,6.165,1.35,2.728,2.152,1.935,1.795,2.777,2.986,1.372,2.793,1.288,3.203,2.697,1.648,3.281,0.928,3.957,2.65,2.863,1.407,1.335,1.569,2.819,0.437,3.368,3.864,0.65,1.586,2.672,2.303,-1.525,2.341,1.88,2.393,3.056,3.089
1957,2.543,1.596,1.578,0.138,2.907,8.804,5.225,1.694,3.274,-0.08,1.979,2.167,0.298,2.731,1.972,0.582,1.297,0.38,1.33,2.468,0.971,3.698,4.179,2.103,0.518,1.663,2.739,1.02,1.939,3.074,0.657,6.383,2.803,2.093,1.729,2.975,1.275,2.131,2.403,3.074,1.863,2.239,2.435,1.558,2.943,2.084,1.291,3.692,2.013,2.718,1.865,1.82,0.584,0.905,3.242,2.366,0.482,3.281,2.198,2.707,2.463,1.427,8.134,0.886,0.882,1.493,0.887,2.94,0.637,1.002,1.308,2.945,0.895,0.527,1.614,0.399,3.273,0.055,1.687,2.63,2.626,0.478,1.727,0.934,2.689,3.992,2.77,4.024,1.538,3.337,4.64,2.838,0.609,1.745,0.23,2.651,-1.497,2.234,-0.506,2.677,1.588,2.504,3.43,0.54,1.119,0.965,6.453,0.741,3.334,3.267,2.484,2.187,2.276,1.568,3.401,7.902,2.288,2.89,2.283,3.62,-0.404,2.034,2.227,2.84,1.364,0.469,1.072,-2.225,3.016,2.721,1.626,1.977,2.584,2.2,2.961,0.411,0.944,1.383,1.296,2.114,1.335,2.819,2.652,1.308,2.375,-0.667,2.043,2.584,2.191,2.866,2.581,1.482,3.056,2.863,1.908,2.969,1.018,1.259,0.919,1.775,2.982,2.296,1.595,2.453,2.073,2.605,2.768,2.837,4.075,1.715,2.763,2.197,0.383,2.781,0.518,2.251,1.453,2.143,3.901,3.694,0.933,1.62,3.361,3.614,3.039,2.76,4.295,0.434,2.743,1.324,2.545,2.364,2.548,0.578,1.115,1.757,0.996,3.147,1.677,0.954,0.703,2.351,6.772,1.477,2.822,1.904,1.961,1.799,2.791,3.0,2.628,2.935,1.343,2.745,2.695,0.984,3.186,0.901,4.012,2.708,2.884,1.441,1.349,1.574,2.917,0.109,3.436,3.82,0.843,1.571,2.996,2.641,-2.066,2.675,1.943,2.442,3.067,3.091
1958,2.468,1.525,1.628,-0.19,3.141,8.496,5.107,1.695,3.353,-0.196,1.998,2.121,0.319,2.881,1.899,0.63,1.394,0.716,1.3,2.387,0.989,3.852,4.415,2.105,1.121,1.707,2.683,1.034,1.978,3.072,0.636,6.188,2.806,2.127,1.76,2.517,1.292,2.128,1.952,3.181,1.924,2.145,2.488,1.78,2.9,2.155,1.488,3.738,2.015,2.728,1.624,1.926,0.491,0.794,3.24,2.595,0.69,3.258,2.161,2.737,2.329,1.551,8.053,0.996,1.063,1.523,0.758,3.003,1.037,1.018,1.408,3.027,0.97,0.553,1.689,0.308,3.202,-0.023,1.704,2.655,2.652,0.461,1.738,0.975,2.396,4.175,2.741,4.039,1.611,3.341,4.59,2.844,0.547,1.772,0.637,2.688,-1.564,2.398,-0.55,2.721,1.651,1.971,3.257,0.567,1.205,1.012,6.16,0.821,3.321,3.247,2.603,2.088,2.274,1.468,3.358,11.36,2.29,2.816,2.238,3.815,-0.388,1.999,2.337,2.9,1.43,0.565,1.186,-2.643,3.374,2.676,1.308,1.903,2.604,2.266,2.982,2.014,1.188,1.313,0.362,2.097,1.326,2.93,2.476,1.265,2.439,-0.844,2.0,2.66,2.258,2.501,2.652,1.602,3.144,2.862,1.854,2.989,0.986,1.628,0.851,1.7,3.584,2.246,1.693,2.574,1.997,2.667,2.812,2.861,4.034,1.797,2.761,1.807,0.344,2.833,0.61,2.263,1.53,2.166,4.59,3.505,0.836,1.594,3.245,3.631,2.993,2.786,3.45,0.263,2.815,1.287,2.513,2.343,2.469,1.653,1.052,1.378,1.077,3.221,1.641,0.878,0.582,2.336,6.342,1.517,2.903,1.341,1.987,1.796,2.742,3.1,2.795,3.058,1.397,2.779,2.686,0.993,3.084,1.237,3.867,2.741,2.909,1.6,1.356,1.569,3.051,0.109,3.48,3.776,1.575,1.773,2.99,2.694,-2.408,2.653,2.02,2.426,3.086,3.094
1959,2.458,1.789,1.663,-0.415,3.359,8.225,5.032,1.679,3.436,-0.025,1.961,2.146,0.45,3.008,1.99,0.693,1.489,0.892,1.416,2.66,0.797,3.988,4.651,2.106,0.925,1.719,2.624,1.049,2.009,3.066,0.699,5.791,2.835,2.186,1.821,2.24,1.246,2.112,0.674,3.338,1.973,2.386,2.53,2.007,3.038,1.719,1.7,3.758,2.031,2.695,1.766,2.037,0.325,0.726,3.241,2.721,0.74,3.225,2.102,2.77,2.504,2.262,7.869,0.945,0.521,2.317,0.835,3.038,0.893,1.039,1.453,3.073,1.043,0.564,1.759,0.358,3.297,-0.133,1.72,2.679,2.667,0.449,1.771,1.029,2.002,4.378,2.883,4.01,1.681,3.276,4.287,2.841,0.479,1.794,0.497,2.741,-1.676,2.357,-0.489,2.923,2.127,2.158,3.09,0.624,1.262,1.003,5.787,0.809,3.355,3.543,2.907,2.16,2.37,1.529,3.269,10.833,2.24,2.912,2.365,3.969,-0.397,1.93,2.412,2.956,1.806,0.718,2.046,-3.157,3.551,2.755,0.942,2.313,2.615,2.309,3.013,3.558,1.219,1.415,0.211,2.157,1.312,3.094,2.683,1.44,2.501,-0.718,2.047,2.73,2.32,2.536,2.697,1.724,3.218,2.871,1.972,3.002,0.749,1.228,0.835,1.804,3.571,1.956,1.782,2.666,1.729,2.722,2.87,2.886,4.044,2.615,2.726,1.58,0.413,2.29,0.47,2.276,1.594,2.152,5.668,3.524,0.727,1.312,3.15,3.648,3.104,2.805,3.302,0.318,2.879,1.432,2.619,2.309,2.564,1.007,1.008,1.44,1.115,3.266,1.433,0.834,0.473,2.309,6.31,1.637,2.995,1.879,1.997,1.78,2.861,3.219,2.833,3.089,1.45,2.78,2.518,1.063,2.976,0.774,3.757,2.768,2.931,1.346,1.327,1.766,3.252,0.0,3.548,3.664,1.779,1.805,2.968,2.765,-2.809,2.641,2.09,2.562,3.105,3.1
