Date,AGO,BEN,BLZ,BOL,BRA,CAF,CIV,CMR,COD,COG,COL,COM,CRI,CUB,DMA,DOM,ECU,FJI,FSM,GAB,GHA,GIN,GLP,GNQ,GRD,GTM,GUY,HND,HTI,IDN,IND,JAM,LBR,LCA,LKA,MDG,MEX,MTQ,MYS,NGA,NIC,OWID_MNS,OWID_PYA,OWID_WRL,PAN,PER,PHL,PNG,SLB,SLE,SLV,STP,SUR,TGO,THA,TLS,TON,TTO,TZA,UGA,VCT,VEN,VNM,VUT,WSM
1961,400.0,,17.0,1100.0,155901.0,7.0,85000.0,75100.0,5800.0,900.0,14300.0,41.0,10600.0,2500.0,200.0,34850.0,44100.0,15.0,,3190.0,415200.0,1500.0,100.0,26000.0,2500.0,500.0,26.0,163.0,2500.0,1031.0,0.0,2870.0,670.0,300.0,3378.0,600.0,26938.0,100.0,600.0,197000.0,500.0,9961.0,4300.0,1186344.0,1300.0,2688.0,3200.0,9271.0,12.0,2840.0,300.0,9100.0,162.0,11550.0,,20.0,0.0,7030.0,450.0,20.0,40.0,16901.0,,663.0,4300.0
1962,400.0,,2.0,1100.0,140363.0,11.0,110000.0,76000.0,6500.0,630.0,15000.0,34.0,12600.0,2387.0,100.0,33230.0,44300.0,15.0,,3360.0,428100.0,1800.0,200.0,30900.0,2800.0,500.0,28.0,149.0,2500.0,897.0,0.0,2789.0,830.0,200.0,3200.0,500.0,29473.0,100.0,600.0,182000.0,500.0,14849.0,5065.0,1213517.0,1200.0,2464.0,3400.0,14000.0,24.0,4780.0,300.0,9600.0,352.0,11400.0,,20.0,0.0,6715.0,300.0,25.0,54.0,18910.0,,810.0,5065.0
1963,300.0,,58.0,1100.0,143495.0,10.0,115000.0,85000.0,5600.0,800.0,15700.0,46.0,10700.0,2516.0,200.0,38036.0,44300.0,20.0,,3600.0,427800.0,1800.0,200.0,33000.0,2600.0,500.0,29.0,197.0,2800.0,824.0,0.0,2396.0,1030.0,200.0,3300.0,400.0,30067.0,200.0,400.0,223000.0,500.0,16500.0,5100.0,1280491.0,1000.0,2670.0,3500.0,15500.0,40.0,3310.0,300.0,7800.0,301.0,13900.0,,20.0,0.0,7322.0,200.0,25.0,68.0,20771.0,,940.0,5100.0
1964,300.0,,50.0,1100.0,153685.0,12.0,139069.0,91200.0,4800.0,1100.0,16400.0,52.0,10200.0,1204.0,200.0,41223.0,37800.0,40.0,,4000.0,580500.0,2000.0,133.0,35100.0,2800.0,600.0,29.0,203.0,2800.0,945.0,0.0,2733.0,1538.0,200.0,2700.0,530.0,20100.0,80.0,850.0,298300.0,500.0,19325.0,5100.0,1544590.0,900.0,2674.0,4180.0,18706.0,64.0,3180.0,300.0,10700.0,228.0,17500.0,,20.0,0.0,4716.0,150.0,30.0,82.0,20469.0,,515.0,5100.0
1965,400.0,,55.0,1100.0,160823.0,20.0,121772.0,78800.0,4300.0,800.0,17100.0,33.0,7600.0,2154.0,100.0,25000.0,49900.0,35.0,,2170.0,415800.0,2000.0,150.0,35400.0,2300.0,600.0,30.0,211.0,3000.0,1110.0,0.0,2447.0,1200.0,100.0,2200.0,640.0,21140.0,100.0,1200.0,184600.0,500.0,21249.0,2300.0,1229159.0,700.0,1836.0,4011.0,20438.0,80.0,2980.0,300.0,8900.0,243.0,14300.0,,20.0,0.0,5062.0,100.0,30.0,100.0,20173.0,,696.0,2300.0
1966,300.0,,20.0,1000.0,172900.0,19.0,149662.0,86500.0,5300.0,877.0,17800.0,69.0,9300.0,2019.0,100.0,27990.0,50764.0,45.0,,4296.0,381100.0,2000.0,114.0,38200.0,2200.0,600.0,30.0,223.0,2500.0,1172.0,0.0,2174.0,1524.0,100.0,2500.0,735.0,23429.0,100.0,1700.0,267200.0,500.0,20042.0,2900.0,1344376.0,500.0,2149.0,4000.0,19200.0,97.0,4534.0,300.0,10900.0,185.0,16300.0,,20.0,0.0,5416.0,100.0,32.0,100.0,19881.0,,700.0,2900.0
1967,400.0,,25.0,1200.0,194692.0,27.0,146640.0,93000.0,4900.0,1144.0,17000.0,56.0,7200.0,1459.0,100.0,25908.0,61236.0,36.0,,4061.0,423500.0,2000.0,100.0,33600.0,2760.0,800.0,29.0,276.0,2700.0,1233.0,0.0,1642.0,1430.0,100.0,2700.0,795.0,25160.0,120.0,2250.0,238000.0,600.0,22198.0,3300.0,1390511.0,500.0,2301.0,3500.0,21400.0,62.0,3869.0,300.0,10900.0,154.0,18338.0,,20.0,0.0,5283.0,200.0,46.0,100.0,20659.0,,700.0,3300.0
1968,500.0,,35.0,1300.0,149338.0,19.0,144476.0,102000.0,4500.0,1288.0,18000.0,42.0,9100.0,1939.0,100.0,27266.0,81724.0,80.0,,4751.0,327000.0,2000.0,100.0,38000.0,2826.0,600.0,29.0,274.0,2500.0,1204.0,0.0,1864.0,2291.0,100.0,2200.0,825.0,26580.0,100.0,2350.0,191800.0,600.0,24987.0,2750.0,1246581.0,500.0,1795.0,4100.0,23900.0,107.0,5039.0,300.0,10600.0,78.0,20000.0,,20.0,0.0,6873.0,400.0,86.0,100.0,19332.0,,900.0,2750.0
1969,300.0,,12.0,1300.0,211162.0,25.0,180706.0,108186.0,4900.0,1195.0,18500.0,51.0,4800.0,1234.0,100.0,25823.0,47993.0,60.0,,4366.0,414300.0,2000.0,100.0,28000.0,3056.0,500.0,30.0,294.0,2700.0,1763.0,0.0,1857.0,1920.0,100.0,1800.0,885.0,27368.0,100.0,2750.0,220800.0,600.0,27357.0,3200.0,1418863.0,600.0,2412.0,4400.0,26600.0,97.0,3782.0,300.0,9100.0,127.0,23600.0,,20.0,0.0,3464.0,400.0,147.0,100.0,18278.0,,600.0,3200.0
1970,445.0,,17.0,1300.0,197061.0,35.0,179156.0,133770.0,6200.0,1344.0,19000.0,48.0,4200.0,1330.0,100.0,37924.0,53584.0,59.0,,6095.0,406000.0,2000.0,100.0,35000.0,2926.0,600.0,30.0,300.0,2900.0,1738.0,0.0,2163.0,1621.0,100.0,2300.0,1000.0,28823.0,0.0,3200.0,304800.0,600.0,26990.0,2600.0,1543399.0,648.0,2107.0,4300.0,26100.0,131.0,5080.0,300.0,9700.0,106.0,27900.0,,20.0,0.0,6213.0,400.0,241.0,100.0,18884.0,,700.0,2600.0
