Date,AFG,AGO,ALB,AND,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GTM,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NER,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,OWID_WRL,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
2000,147.93,33.26,22.16,0.06,9.71,7.53,1.89,0.0,699.06,151.4,15.81,22.23,138.33,1.24,1.92,300.49,20.5,1.54,0.53,4.91,323.61,0.1,8.28,11.0,0.22,0.0,1.55,3.95,8.44,665.64,206.77,7.0,15654.82,2.31,2.64,77.59,10.27,0.01,4.16,3.52,0.24,2.25,2.35,10.48,40.45,1416.0,3.68,0.06,137.41,1.18,243.45,3.31,22.64,18.04,624.23,21.54,70.6,144.13,1.41,954.98,0.15,3.32,1621.09,2.13,1.73,1.23,0.3,0.27,1.73,342.3,0.25,32.61,0.04,9.93,41.71,6.57,35.93,151.49,3725.29,92.14,1596.78,103.62,5.31,56.38,715.76,0.94,3.51,166.26,296.05,49.81,34.34,10.23,2.16,0.03,28.79,2.46,4.07,10.28,0.38,45.24,0.09,165.6,4.9,58.13,11.38,43.28,214.03,0.03,20.57,59.62,0.3,73.96,0.08,5.54,1.74,3.25,39.69,0.77,6.3,24.81,0.37,6.59,41.37,21.7,3.96,1.14,18.48,0.62,0.0,102.68,386.13,42.58,0.02,17.42,6.61,54546.05,538.11,4.66,3.34,31.45,0.0,4.1,104.15,94.91,48.57,0.0,1.04,60.42,6996.9,44.43,11.7,136.28,1.72,4.05,0.45,0.65,6.76,0.03,44.44,18.59,14.99,0.12,0.61,16.01,12.01,193.44,2.15,0.4,64.56,1.02,0.89,47.3,5.95,13.62,0.58,0.12,1.65,67.88,137.48,0.02,137.29,70.75,1373.66,2.23,10295.02,70.8,0.0,7.47,425.98,0.21,0.21,119.51,363.95,35.22,29.04
2001,152.49,33.28,20.49,0.07,10.25,13.81,2.14,0.0,327.6,136.54,16.04,22.08,138.01,1.17,1.82,305.8,21.02,1.27,0.52,5.04,353.91,0.08,8.5,11.06,0.21,0.0,1.63,3.79,8.03,672.28,195.41,12.03,13864.41,2.12,2.57,79.31,9.39,0.01,3.66,3.64,0.24,1.0,1.0,11.01,56.15,1362.52,3.94,0.06,144.9,1.12,250.29,1.95,24.44,17.95,587.49,33.59,72.85,134.73,1.37,887.41,0.15,3.38,1682.45,0.81,1.75,1.17,0.28,0.24,1.71,424.02,0.22,28.99,0.05,10.13,53.78,6.78,31.0,155.77,3769.67,89.24,1596.45,107.72,6.64,40.04,597.2,0.96,3.44,180.98,315.4,52.66,36.31,10.82,2.12,0.03,30.18,1.99,4.19,10.47,0.36,51.96,0.09,147.21,4.09,49.26,9.98,33.65,220.03,0.03,23.59,62.34,0.32,70.33,0.07,5.33,1.64,3.89,39.5,0.77,7.22,26.03,0.35,4.0,42.34,21.86,4.02,1.11,17.84,1.5,0.0,102.03,432.32,43.4,0.02,25.36,6.67,53190.05,557.11,2.78,2.36,21.81,0.0,4.03,98.12,92.67,44.75,0.0,0.94,36.39,6860.83,42.13,11.71,141.89,1.58,3.86,0.43,0.64,6.93,0.02,46.38,20.93,14.92,0.13,0.66,15.98,15.45,166.43,2.36,0.44,63.02,0.95,0.84,51.03,5.9,14.99,0.59,0.11,1.62,71.41,135.55,0.02,141.8,75.77,1348.23,8.88,11221.05,73.64,0.0,8.32,436.31,0.21,0.21,126.05,367.38,36.62,29.7
2002,163.71,34.27,21.31,0.08,10.82,14.67,2.19,0.0,279.76,102.65,16.58,21.71,118.82,1.28,1.95,316.06,15.77,1.15,0.47,5.29,391.7,0.08,8.96,10.64,0.18,0.0,1.67,3.97,8.23,714.76,191.66,23.19,11903.53,2.29,2.74,83.03,8.73,0.01,4.46,3.64,0.25,2.11,1.37,11.55,28.57,1085.67,3.65,0.06,109.04,1.04,259.78,2.5,28.32,18.53,576.79,79.96,75.68,128.59,1.46,778.9,0.14,3.44,1557.69,2.38,1.77,1.24,0.3,0.24,1.68,326.14,0.31,23.82,0.03,10.52,43.02,6.92,24.23,164.8,3926.14,86.93,1603.34,112.38,6.09,65.88,456.42,0.86,3.54,178.93,332.04,65.56,40.62,10.17,2.32,0.02,24.31,2.38,4.12,10.52,0.41,49.05,0.08,132.64,4.49,33.15,8.9,33.43,226.93,0.03,18.92,66.59,0.34,74.31,0.07,6.38,1.77,3.28,38.91,0.79,8.35,27.54,0.37,0.45,42.82,21.74,4.27,1.22,19.01,1.83,0.0,91.81,331.2,43.99,0.01,32.95,6.28,53405.56,574.62,2.16,1.59,33.65,0.0,3.98,116.24,89.19,48.7,0.14,1.27,45.43,6945.1,39.79,11.46,150.37,1.69,7.13,0.43,0.71,6.52,0.03,48.29,14.52,15.29,0.14,0.65,16.11,16.5,137.78,2.68,0.41,66.47,1.02,0.93,54.3,5.97,18.38,0.53,0.11,1.55,75.82,140.68,0.01,146.34,79.94,1391.36,2.09,13780.46,77.61,0.07,8.18,444.8,0.21,0.19,131.45,454.25,38.27,30.62
2003,179.86,37.53,22.18,0.07,11.4,8.97,1.66,0.06,310.89,177.97,18.85,21.75,126.11,1.38,2.13,320.9,17.4,1.32,0.52,5.42,394.25,0.08,9.33,11.0,0.19,0.0,1.8,3.74,7.69,653.23,191.3,19.45,9668.43,2.52,2.98,84.94,8.6,0.01,4.12,3.63,0.25,2.58,1.07,11.93,42.2,1021.72,4.13,0.06,104.89,0.99,262.42,4.35,33.03,17.86,554.96,29.29,76.63,128.44,1.68,881.67,0.13,3.53,1382.26,1.23,1.8,1.33,0.32,0.24,1.75,292.67,0.21,21.37,0.0,11.09,61.4,7.08,19.88,172.39,4126.59,77.28,1516.51,115.51,5.07,53.91,426.78,0.77,3.43,187.55,376.1,53.52,48.27,10.45,2.38,0.02,26.24,3.02,4.03,10.84,0.41,51.89,0.08,116.56,5.21,43.31,5.86,15.45,240.78,0.03,8.95,69.57,0.37,58.02,0.07,5.4,1.88,4.68,38.55,0.8,10.45,29.43,0.4,3.97,44.24,22.24,4.38,1.37,20.61,1.68,0.0,92.35,266.35,45.01,0.01,21.03,6.5,53546.8,582.82,2.57,1.17,46.66,0.0,3.82,116.79,85.93,37.03,0.15,1.41,41.65,7683.8,36.4,13.47,155.91,1.82,3.92,0.44,0.78,6.68,0.03,49.04,13.41,16.86,0.13,0.61,11.35,10.77,119.01,2.76,0.39,68.38,1.09,1.01,55.55,6.21,22.1,0.58,0.1,1.4,77.12,145.15,0.01,160.3,84.29,1384.63,6.06,15482.08,78.8,0.08,8.61,445.31,0.2,0.18,135.45,485.12,39.46,31.3
2004,189.94,39.0,22.95,0.1,12.35,8.4,1.05,0.06,295.4,169.5,22.96,22.37,102.39,1.5,2.3,324.47,16.15,1.77,0.55,5.42,375.21,0.08,9.74,10.64,0.19,0.0,1.87,3.54,7.59,678.69,190.9,24.5,8174.78,2.45,3.15,86.52,9.24,0.01,4.85,3.74,0.26,3.71,0.74,1.02,43.84,931.02,4.5,0.05,99.37,0.97,264.34,1.38,39.12,19.25,595.51,82.85,77.99,159.88,1.39,789.06,0.14,3.58,1468.8,0.81,1.8,1.42,0.34,0.26,1.82,318.38,0.21,20.08,0.0,11.42,81.03,7.09,20.95,178.18,4466.84,98.58,1626.78,118.11,4.35,65.82,484.77,0.67,3.31,210.15,431.84,57.9,63.57,10.97,2.5,0.02,23.98,4.64,4.07,11.05,0.46,51.21,0.07,97.78,5.22,32.76,7.4,29.17,248.4,0.03,10.84,73.61,0.34,67.9,0.07,5.27,2.02,4.33,38.56,0.81,11.94,31.57,0.43,5.94,45.51,22.91,4.41,1.48,22.85,3.55,0.0,123.65,317.7,46.05,0.01,21.62,6.36,55171.64,598.32,3.77,1.15,36.95,0.0,3.76,118.39,83.46,31.7,0.37,1.54,26.37,8522.03,33.69,20.02,161.68,1.96,5.73,0.39,0.84,6.98,0.03,51.52,38.29,18.53,0.14,0.53,11.51,13.29,135.42,2.94,0.39,81.32,1.19,1.09,56.48,6.62,30.37,0.58,0.1,1.33,82.3,154.88,0.01,163.65,85.84,1456.42,6.36,16779.29,83.33,0.08,7.89,453.25,0.2,0.17,140.31,483.86,41.22,30.78
2005,198.37,38.19,36.94,0.09,14.03,9.07,0.99,0.08,312.42,175.89,24.17,22.94,141.41,1.61,2.48,338.34,27.49,2.12,0.51,5.43,370.54,0.07,10.11,15.43,0.21,0.0,1.93,3.78,7.28,772.38,215.14,22.27,7331.5,2.66,3.43,89.36,9.61,0.01,4.18,3.78,0.29,1.78,1.41,19.84,42.09,1031.73,4.16,0.06,146.68,0.99,271.26,2.4,43.91,20.2,565.89,44.92,79.5,182.92,1.14,882.38,0.14,3.89,1513.49,0.76,1.84,1.47,0.35,0.26,1.95,437.56,0.05,20.71,0.0,12.05,79.79,7.19,30.49,183.02,4796.82,84.97,1613.84,121.21,5.55,19.09,520.03,1.4,4.17,215.6,476.59,60.62,80.82,11.61,2.74,0.02,27.31,5.59,4.22,11.45,0.47,52.76,0.07,98.18,5.98,28.2,6.85,23.41,257.78,0.03,11.49,75.83,0.38,57.73,0.07,4.71,2.15,4.92,38.49,0.78,13.45,33.58,0.44,8.3,46.05,23.68,4.48,1.67,23.98,1.33,0.0,97.11,250.57,47.28,0.01,25.28,6.4,59052.082,613.27,1.93,0.85,36.29,0.0,3.78,120.43,81.91,30.6,0.81,1.78,30.08,9907.59,35.01,23.59,168.07,2.08,22.08,0.41,0.9,6.63,0.03,51.49,36.68,19.63,0.13,0.52,10.48,7.36,144.97,3.14,0.38,90.97,1.29,1.17,52.98,6.96,38.39,0.6,0.1,1.24,84.47,158.53,0.01,169.93,90.78,1539.86,4.66,19024.43,100.43,0.0,6.87,473.22,0.19,0.17,145.98,451.75,43.14,28.72
2006,207.68,41.81,36.45,0.09,15.47,15.49,1.44,0.0,255.66,186.02,24.28,24.05,131.39,1.73,2.68,353.22,28.88,2.11,0.55,5.4,338.64,0.08,10.21,17.82,0.2,0.0,1.98,3.86,7.77,836.39,199.34,16.08,6638.16,2.98,3.67,92.59,9.29,0.01,2.47,3.95,0.28,3.68,0.52,16.2,34.64,962.12,4.28,0.05,149.03,0.99,274.59,5.01,47.27,21.2,447.39,45.95,81.49,190.01,0.84,893.61,0.13,4.15,1543.98,1.78,1.76,1.58,0.36,0.27,1.96,405.09,0.07,21.07,0.01,12.43,74.35,7.15,34.27,185.77,4534.72,97.99,1644.86,120.35,4.07,15.44,420.69,0.66,4.39,201.51,493.56,65.69,94.13,12.08,2.71,0.02,21.99,6.57,4.26,11.76,0.53,50.08,0.08,97.21,7.78,56.86,9.22,36.49,265.38,0.03,9.48,79.28,0.43,53.2,0.06,2.57,2.3,7.12,38.44,0.75,14.45,35.36,0.48,11.95,47.32,24.29,4.55,1.79,26.23,1.04,0.0,90.34,267.52,48.68,0.01,18.95,6.71,61059.28,627.58,1.01,3.3,55.28,0.0,3.8,73.12,81.42,26.17,0.2,2.18,32.4,9975.55,36.21,26.75,174.37,2.23,27.59,0.41,0.95,6.34,0.03,52.85,37.01,23.75,0.15,0.51,0.0,3.65,133.07,3.41,0.41,102.8,1.4,1.26,54.95,7.19,42.5,0.6,0.1,1.2,86.18,162.35,0.01,179.34,97.46,1439.48,3.98,22117.6,108.95,0.0,6.76,486.12,0.2,0.17,148.81,453.97,46.01,28.56
2007,209.29,40.84,38.07,0.09,17.59,18.47,0.81,0.0,263.48,174.07,24.94,25.18,141.5,1.84,2.85,358.08,30.19,2.49,0.52,5.48,309.14,0.07,10.61,20.51,0.18,0.0,2.01,5.5,7.66,928.01,196.36,30.11,6350.79,3.34,3.91,100.12,9.9,0.01,3.54,4.02,0.3,2.8,0.43,17.71,36.12,1034.33,4.32,0.05,110.86,0.94,276.81,1.12,50.02,21.42,469.97,54.72,84.92,226.37,0.7,860.97,0.13,4.17,1719.34,3.59,1.97,1.67,0.37,0.26,2.04,375.32,0.0,18.38,0.07,12.63,115.79,7.51,25.43,185.64,4493.54,124.54,1845.02,118.63,2.21,15.97,452.89,2.26,4.42,236.54,489.41,75.36,93.33,12.94,3.04,0.02,10.5,6.3,4.25,12.16,0.57,57.53,0.07,93.05,8.59,71.64,7.86,39.2,265.3,0.03,7.03,80.9,0.47,47.84,0.06,8.14,2.48,6.49,38.05,0.69,15.41,34.05,0.52,8.47,48.97,25.22,4.57,1.95,28.14,1.38,0.0,80.46,270.76,49.48,0.01,27.04,6.57,61510.87,638.36,0.79,1.38,30.14,0.0,3.7,66.41,82.72,17.78,0.39,3.01,28.17,9470.6,39.53,28.35,183.92,2.32,15.08,0.46,1.04,5.9,0.03,52.3,53.34,25.91,0.13,0.47,0.0,11.51,154.16,3.76,0.4,116.98,1.48,1.34,57.48,7.41,41.55,0.63,0.09,1.16,87.83,165.07,0.01,189.1,96.74,1517.94,5.52,22538.29,117.06,0.08,7.13,535.73,0.2,0.17,164.41,445.3,49.06,27.97
2008,209.4,40.65,37.82,0.08,21.97,14.72,0.0,0.0,326.51,199.9,25.24,26.85,160.99,1.97,3.05,360.03,43.84,2.79,0.49,5.17,287.3,0.07,10.77,20.33,0.18,0.0,2.05,7.72,7.54,950.44,203.75,22.27,6269.36,3.86,4.19,105.88,10.28,0.01,6.04,4.29,0.32,3.92,1.79,16.3,37.83,1189.05,4.49,0.05,147.89,0.94,279.73,3.04,52.53,22.9,514.48,58.45,90.85,223.75,0.5,1086.02,0.12,4.44,1983.32,2.61,2.2,1.77,0.39,0.29,2.32,286.5,0.32,20.89,0.11,12.74,90.86,7.72,27.52,207.69,4470.02,131.46,1804.8,121.38,1.89,15.02,372.61,1.76,4.79,231.08,430.87,81.25,91.9,13.29,3.23,0.01,6.05,7.97,4.5,12.52,0.61,62.56,0.06,91.61,7.18,55.93,10.87,29.33,272.0,0.03,10.23,83.14,0.53,59.52,0.06,10.76,2.67,5.59,37.97,0.69,16.85,40.26,0.55,4.52,50.59,26.59,4.6,2.04,29.69,0.89,0.0,109.46,267.15,48.8,0.01,26.37,6.2,62288.52,655.84,0.91,1.57,22.02,0.0,3.66,57.7,87.15,28.14,0.68,3.51,14.45,8937.36,43.4,30.64,194.94,2.59,16.79,0.49,1.11,5.58,0.04,55.21,79.15,27.7,0.14,0.46,10.08,27.29,187.13,4.09,0.43,124.81,1.56,1.46,58.14,7.61,39.79,0.66,0.09,1.18,88.14,169.36,0.01,198.15,102.18,1474.17,5.63,23052.59,123.45,0.15,7.42,583.84,0.2,0.17,173.8,525.03,52.55,29.38
2009,211.23,41.05,38.28,0.08,25.84,9.09,1.44,0.0,376.6,213.42,24.24,30.85,156.14,2.13,3.24,366.76,29.35,2.85,0.46,5.09,284.48,0.08,10.93,22.42,0.15,0.0,2.05,9.12,8.15,1010.28,183.83,32.98,6139.35,4.34,4.43,107.93,11.41,0.01,3.89,4.19,0.33,1.71,1.06,15.58,58.2,1108.8,5.02,0.05,190.4,0.94,283.51,3.9,54.71,24.29,448.16,119.44,94.21,255.97,0.25,1344.93,0.12,4.8,1932.29,1.78,2.43,1.84,0.41,0.29,2.57,339.38,0.36,25.11,0.17,12.95,75.34,8.09,29.17,223.64,4559.35,151.52,1713.85,127.56,3.41,11.56,341.21,1.0,4.6,292.72,360.98,87.64,88.65,13.53,3.2,0.01,5.71,7.82,4.56,12.81,0.67,69.55,0.06,88.11,6.98,69.19,6.94,28.31,281.54,0.03,2.46,84.78,0.57,53.45,0.06,8.87,2.82,4.77,37.61,0.69,18.38,44.39,0.63,10.9,53.16,27.93,5.23,2.23,31.76,3.02,0.0,128.81,273.75,50.46,0.01,29.56,4.22,61708.96,669.77,1.18,0.21,21.36,0.0,3.94,63.85,89.89,28.88,1.06,3.86,25.61,7602.3,46.16,30.36,223.77,2.72,7.59,0.5,1.19,6.04,0.03,57.74,63.32,29.93,0.17,0.41,8.79,36.88,199.7,3.98,0.42,125.19,1.67,1.57,57.85,7.81,34.46,0.82,0.1,1.03,93.71,174.35,0.01,207.87,105.32,1150.5,9.28,23703.57,127.51,0.16,7.49,607.82,0.21,0.14,178.0,523.99,56.31,26.66
