Date,AFG,AGO,ALB,AND,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GTM,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NER,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,OWID_WRL,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
2000,40.81,0.31,4.4,0.01,2.22,2.81,0.32,0.0,517.67,10.39,0.46,0.21,22.02,0.0,0.0,25.38,4.57,0.39,0.41,0.24,28.38,0.08,11.12,30.26,0.22,0.0,0.13,0.39,0.08,73.47,20.53,1.35,6749.17,0.0,0.0,0.63,0.19,0.0,5.43,0.04,0.0,1.51,1.76,1.75,6.52,173.5,0.04,0.05,30.41,2.37,94.4,6.04,5.17,0.21,93.05,3.95,1.0,25.33,0.17,117.24,0.02,0.06,235.06,0.54,0.0,0.0,0.0,0.0,0.02,10.86,0.25,21.87,0.11,6.08,4.27,3.55,9.69,30.7,519.96,25.47,697.56,88.96,1.29,30.08,46.32,1.24,2.19,40.43,51.63,0.73,8.4,1.37,0.49,0.04,13.86,9.75,0.52,1.51,0.0,24.6,0.12,19.44,0.41,10.99,2.35,7.03,67.28,0.02,3.74,0.5,0.03,70.54,0.01,1.23,0.0,0.68,6.71,0.28,0.5,0.18,0.0,5.34,0.38,3.82,0.35,0.0,0.0,1.5,0.0,14.75,20.92,3.95,0.0,10.87,1.97,13736.739,71.7,2.76,6.19,4.15,0.0,0.25,28.41,41.54,10.03,0.0,0.58,7.75,1430.5,0.42,1.22,39.74,0.0,0.5,0.03,0.0,4.99,0.0,0.17,4.76,0.09,0.0,0.67,3.23,3.67,30.95,0.2,0.08,6.55,0.0,0.0,9.64,3.27,2.27,0.05,0.01,0.93,23.94,23.37,0.0,1.13,0.56,133.06,0.46,1351.97,6.58,0.0,8.63,62.84,0.02,0.02,29.92,108.76,0.45,3.8
2001,42.16,0.3,3.84,0.01,2.4,6.33,0.37,0.0,305.4,9.45,0.46,0.21,21.44,0.0,0.0,26.32,4.45,0.43,0.39,0.25,31.11,0.07,11.39,35.57,0.21,0.0,0.14,0.38,0.08,76.98,21.62,2.24,5979.95,0.0,0.0,0.64,0.17,0.0,4.46,0.04,0.0,0.47,1.6,1.85,9.5,183.78,0.05,0.05,30.67,2.45,97.1,4.11,5.83,0.21,94.6,5.63,1.01,24.32,0.17,97.67,0.02,0.06,231.88,0.16,0.0,0.0,0.0,0.0,0.02,13.32,0.18,20.3,0.17,6.41,5.24,3.77,6.78,31.44,526.11,24.97,711.33,96.22,1.59,20.92,48.66,1.26,2.19,41.23,54.91,0.78,8.0,1.41,0.5,0.04,17.69,8.17,0.54,1.52,0.0,29.3,0.13,16.48,0.31,9.45,2.11,5.37,68.65,0.02,4.09,0.53,0.04,72.17,0.01,1.26,0.0,0.78,6.58,0.27,0.58,0.19,0.0,2.79,0.39,3.63,0.36,0.0,0.0,1.38,0.0,15.38,29.78,4.03,0.0,15.01,2.1,12823.51,75.17,2.54,3.33,2.57,0.0,0.24,24.09,40.45,9.95,0.0,0.63,5.61,1323.97,0.4,1.45,42.02,0.0,0.47,0.03,0.0,5.08,0.0,0.18,5.18,0.09,0.0,0.76,3.15,4.32,31.64,0.24,0.09,6.43,0.0,0.0,10.07,3.21,2.5,0.05,0.01,0.93,25.52,22.82,0.0,1.15,0.6,132.2,2.05,1470.21,6.88,0.0,9.37,65.68,0.02,0.02,32.01,112.6,0.47,3.77
2002,43.28,0.31,3.79,0.01,2.51,7.18,0.39,0.0,280.27,7.01,0.5,0.21,18.87,0.0,0.0,27.78,3.13,0.42,0.37,0.26,34.59,0.08,11.74,36.94,0.19,0.0,0.14,0.4,0.08,81.74,22.38,3.97,5192.09,0.0,0.0,0.66,0.15,0.0,6.04,0.04,0.0,1.66,1.14,1.98,4.54,151.91,0.05,0.05,23.94,2.48,98.87,8.37,6.99,0.22,98.52,11.65,1.01,23.06,0.18,79.21,0.02,0.06,212.2,0.41,0.0,0.0,0.0,0.0,0.02,9.56,0.33,17.77,0.11,6.74,3.51,4.0,5.5,32.82,548.61,24.79,713.0,101.88,1.4,32.18,45.88,1.12,2.23,39.91,57.5,0.98,8.11,1.28,0.53,0.03,14.08,8.97,0.53,1.52,0.0,27.79,0.12,14.13,0.37,5.56,1.92,4.92,70.27,0.03,2.66,0.57,0.04,66.44,0.01,1.43,0.0,0.75,6.44,0.27,0.66,0.2,0.0,0.12,0.4,3.48,0.41,0.0,0.0,1.61,0.0,13.9,29.4,4.09,0.0,20.9,2.06,12158.4795,79.37,1.09,2.84,4.11,0.0,0.24,28.85,38.51,10.69,0.26,0.72,5.9,1228.85,0.38,1.65,43.95,0.0,0.8,0.03,0.0,4.56,0.0,0.18,3.07,0.09,0.0,0.77,3.13,4.55,27.88,0.29,0.08,6.67,0.0,0.0,10.77,3.1,3.09,0.04,0.01,0.92,26.73,22.71,0.0,1.19,0.64,138.14,0.6,1715.78,7.28,0.04,9.82,67.88,0.02,0.02,33.51,130.54,0.5,3.76
2003,47.49,0.36,3.59,0.01,2.64,2.51,0.3,0.02,337.48,10.69,0.62,0.2,20.59,0.0,0.0,28.59,3.05,0.44,0.42,0.27,35.1,0.08,11.84,42.99,0.21,0.0,0.16,0.36,0.08,71.08,24.08,3.03,4298.34,0.0,0.0,0.68,0.15,0.0,7.22,0.04,0.0,2.19,2.03,2.04,4.49,151.08,0.06,0.05,22.64,2.58,95.42,4.06,8.33,0.22,101.58,3.71,1.01,22.78,0.18,89.92,0.02,0.07,188.22,0.21,0.0,0.0,0.0,0.0,0.03,9.63,0.29,17.28,0.0,7.15,4.63,4.21,4.02,33.98,572.61,22.38,673.8,105.06,1.13,27.34,46.22,1.02,2.29,34.99,64.38,0.76,8.62,1.31,0.54,0.03,12.18,8.06,0.52,1.56,0.0,29.42,0.12,12.3,0.48,6.51,1.33,2.0,74.85,0.03,1.23,0.6,0.04,53.69,0.01,1.11,0.0,1.0,6.32,0.26,0.84,0.21,0.0,1.21,0.42,3.5,0.42,0.0,0.01,2.55,0.0,13.98,31.86,4.25,0.0,15.8,2.2,11272.61,81.56,2.38,3.44,5.35,0.0,0.23,25.33,36.83,9.01,1.11,0.74,4.58,1200.46,0.35,1.66,45.22,0.0,0.4,0.03,0.0,4.95,0.0,0.19,2.7,0.1,0.0,0.75,1.86,2.62,26.47,0.31,0.08,6.65,0.0,0.0,10.71,3.03,3.75,0.05,0.01,0.86,26.99,22.57,0.0,1.29,0.67,138.83,0.98,1738.49,7.42,0.04,10.54,69.71,0.02,0.02,34.32,140.62,0.51,3.65
2004,50.86,0.39,3.51,0.02,2.87,3.04,0.2,0.02,349.0,9.9,0.81,0.21,17.23,0.0,0.0,28.79,2.51,0.54,0.45,0.27,34.29,0.09,12.12,45.06,0.21,0.0,0.17,0.33,0.08,70.73,25.15,3.06,3691.79,0.0,0.0,0.7,0.16,0.0,7.59,0.04,0.0,2.23,1.16,0.17,5.05,143.66,0.06,0.05,23.22,2.69,93.85,2.29,9.83,0.24,113.72,9.61,1.03,26.39,0.15,88.32,0.02,0.07,200.88,0.17,0.0,0.0,0.0,0.0,0.03,9.71,0.26,17.07,0.0,7.37,5.59,4.31,4.46,34.82,603.77,27.87,721.41,109.86,0.9,34.04,66.51,0.9,2.56,35.36,74.47,0.86,11.36,1.36,0.57,0.03,9.75,11.27,0.52,1.6,0.0,28.35,0.11,10.3,0.46,4.55,1.72,3.21,75.44,0.03,1.52,0.64,0.04,59.98,0.01,1.06,0.0,1.0,6.24,0.26,0.99,0.23,0.0,1.53,0.45,3.42,0.43,0.0,0.01,3.39,0.0,19.19,43.64,4.42,0.0,18.4,2.19,10960.23,85.2,2.72,1.22,4.28,0.0,0.22,23.96,35.72,7.89,0.93,0.79,2.33,1269.27,0.32,2.05,46.69,0.0,0.55,0.03,0.0,5.72,0.0,0.2,6.18,0.11,0.0,0.68,1.99,3.06,30.56,0.34,0.08,7.77,0.0,0.0,10.56,3.13,5.25,0.05,0.01,0.85,28.45,22.9,0.0,1.34,0.69,147.93,0.95,1747.63,7.92,0.04,9.81,72.41,0.02,0.02,34.86,141.71,0.49,3.5
2005,52.85,0.38,6.05,0.02,3.32,3.1,0.21,0.02,387.0,10.39,0.91,0.21,24.18,0.0,0.0,30.32,4.32,0.57,0.43,0.28,34.87,0.08,12.38,51.18,0.22,0.0,0.18,0.4,0.08,77.93,30.38,2.74,3287.66,0.0,0.0,0.72,0.17,0.0,6.7,0.04,0.0,0.75,2.71,3.43,4.78,166.88,0.06,0.06,33.52,2.82,94.67,5.11,10.98,0.25,111.61,5.11,1.04,30.99,0.13,104.47,0.02,0.08,212.23,0.05,0.0,0.0,0.0,0.0,0.03,12.95,0.03,19.06,0.0,7.71,5.17,4.53,4.78,35.61,657.11,24.37,720.13,113.14,1.16,11.39,80.17,1.79,1.93,33.92,83.48,0.91,14.51,1.43,0.62,0.03,16.22,14.08,0.54,1.64,0.0,28.76,0.12,9.76,0.59,3.93,1.64,2.68,77.78,0.03,1.49,0.66,0.04,52.37,0.01,0.8,0.0,1.07,6.14,0.27,1.13,0.25,0.0,1.85,0.46,3.26,0.43,0.0,0.01,1.39,0.0,14.77,39.68,4.63,0.0,25.32,2.27,11098.06,89.53,1.42,0.92,4.22,0.0,0.22,24.34,34.98,8.01,0.95,0.81,2.48,1463.42,0.33,2.14,48.38,0.0,2.23,0.03,0.0,6.44,0.0,0.2,5.67,0.12,0.0,0.68,1.72,1.52,33.45,0.36,0.07,8.46,0.0,0.0,9.73,3.3,6.8,0.05,0.01,0.81,28.93,23.0,0.0,1.42,0.74,158.28,0.92,1876.39,9.7,0.0,9.19,75.55,0.02,0.02,37.18,135.02,0.49,3.34
2006,54.06,0.43,5.97,0.02,3.79,4.72,0.34,0.0,350.82,11.4,0.98,0.21,22.81,0.0,0.0,32.36,4.29,0.55,0.48,0.28,32.64,0.09,12.23,67.34,0.22,0.0,0.19,0.43,0.08,81.66,29.05,1.87,2972.72,0.0,0.0,0.76,0.16,0.0,3.31,0.04,0.0,2.85,0.44,2.79,3.81,158.06,0.06,0.05,35.52,2.6,94.02,11.08,11.84,0.27,91.26,5.29,1.06,31.88,0.1,106.65,0.02,0.08,225.1,0.28,0.0,0.0,0.0,0.0,0.03,12.72,0.03,19.14,0.25,7.96,4.73,4.63,5.48,36.18,634.39,27.26,742.92,113.83,0.86,9.93,73.29,0.88,1.83,31.57,88.48,1.03,16.43,1.47,0.62,0.03,10.91,17.7,0.54,1.71,0.0,26.21,0.12,9.3,0.84,7.82,2.24,4.36,78.06,0.03,1.37,0.69,0.04,41.1,0.01,0.46,0.0,1.6,6.01,0.27,1.22,0.27,0.0,2.24,0.48,3.15,0.44,0.0,0.01,1.0,0.0,13.94,43.84,4.9,0.0,20.8,2.53,10958.48,93.01,0.78,4.16,6.1,0.0,0.23,14.24,34.67,7.19,0.17,0.99,2.86,1452.27,0.37,2.37,50.24,0.0,2.37,0.03,0.0,6.3,0.0,0.21,6.48,0.14,0.0,0.67,0.0,0.84,30.84,0.4,0.08,9.52,0.0,0.0,9.79,3.34,7.71,0.05,0.01,0.81,29.24,23.6,0.0,1.54,0.81,150.19,0.53,2101.35,10.76,0.0,9.36,78.75,0.02,0.02,37.78,138.03,0.51,3.16
2007,54.04,0.42,6.2,0.02,4.42,5.3,0.2,0.0,370.38,11.0,1.06,0.21,25.46,0.0,0.0,33.42,4.63,0.64,0.46,0.29,30.15,0.08,12.68,69.99,0.2,0.0,0.19,0.59,0.09,88.91,29.67,2.96,2851.67,0.0,0.0,0.83,0.17,0.0,5.93,0.04,0.0,1.63,0.44,3.06,3.6,176.29,0.07,0.05,25.5,2.64,93.2,6.03,12.35,0.27,102.11,6.17,1.08,38.46,0.09,99.1,0.01,0.08,261.04,0.52,0.0,0.0,0.0,0.0,0.03,12.89,0.0,15.76,0.33,8.15,8.26,4.85,3.84,37.09,638.65,33.21,864.0,114.15,0.52,10.49,86.61,2.9,1.76,34.69,89.18,1.24,16.5,1.56,0.69,0.03,4.95,17.78,0.54,1.77,0.0,30.81,0.11,8.63,0.9,9.68,1.83,4.67,75.77,0.03,0.88,0.71,0.05,39.36,0.01,1.67,0.0,1.57,5.88,0.25,1.31,0.21,0.0,1.42,0.5,3.12,0.41,0.0,0.01,1.69,0.0,12.74,46.75,5.06,0.0,30.16,2.63,11047.13,95.2,0.35,3.74,3.71,0.0,0.22,14.61,35.05,4.94,0.71,1.38,3.34,1384.36,0.41,2.55,52.82,0.0,1.23,0.03,0.0,5.53,0.0,0.21,7.56,0.15,0.0,0.66,0.0,2.26,38.76,0.45,0.08,11.15,0.0,0.0,9.97,3.42,7.76,0.06,0.01,0.82,29.48,23.96,0.0,1.64,0.81,161.16,0.77,2097.39,11.77,0.04,9.81,84.28,0.02,0.02,42.81,138.86,0.54,2.94
2008,54.33,0.43,6.27,0.02,5.56,4.58,0.0,0.0,443.17,13.46,1.13,0.22,29.37,0.0,0.0,34.28,6.97,0.67,0.44,0.27,28.91,0.08,12.76,72.32,0.19,0.0,0.2,0.8,0.08,88.75,31.98,2.13,2852.59,0.0,0.0,0.89,0.18,0.0,9.15,0.05,0.0,2.13,1.58,2.88,3.94,206.64,0.07,0.05,35.88,2.72,92.7,3.33,12.76,0.29,109.68,5.77,1.12,37.38,0.07,119.78,0.01,0.09,318.88,0.4,0.0,0.0,0.0,0.0,0.04,11.11,0.34,18.02,0.48,8.14,6.4,5.0,4.7,39.3,647.2,35.86,847.24,118.09,0.42,9.72,73.85,2.22,1.82,32.4,77.77,1.36,17.19,1.59,0.74,0.03,3.05,23.2,0.57,1.83,0.0,34.99,0.11,8.48,0.76,7.33,2.48,3.94,78.14,0.03,1.45,0.73,0.05,54.62,0.01,2.2,0.0,1.4,5.82,0.25,1.42,0.34,0.0,0.74,0.52,3.26,0.43,0.0,0.01,1.76,0.0,17.96,49.48,5.33,0.0,32.67,2.39,11276.37,99.21,0.56,1.5,2.58,0.0,0.21,14.04,36.65,7.93,0.52,1.54,1.26,1327.53,0.46,2.74,55.91,0.0,1.35,0.04,0.0,4.74,0.0,0.22,11.69,0.17,0.0,0.65,1.65,5.18,47.67,0.49,0.08,11.95,0.0,0.0,9.93,3.5,7.54,0.06,0.01,0.85,29.31,24.92,0.0,1.7,0.87,157.98,0.86,2106.17,12.62,0.11,10.81,89.56,0.02,0.02,45.24,163.02,0.59,3.0
2009,52.96,0.44,6.38,0.01,6.61,2.78,0.41,0.0,513.89,15.62,1.12,0.25,28.21,0.0,0.0,35.61,4.38,0.62,0.43,0.27,29.28,0.1,12.9,78.72,0.16,0.0,0.2,0.92,0.09,92.53,31.03,3.16,2848.97,0.0,0.0,0.92,0.2,0.0,6.33,0.05,0.0,0.97,0.97,2.93,5.49,193.74,0.08,0.05,43.68,2.81,92.42,3.47,12.95,0.3,92.69,10.7,1.16,43.81,0.05,131.21,0.01,0.1,335.36,0.28,0.0,0.0,0.0,0.0,0.04,14.43,0.34,21.89,0.29,8.22,4.8,5.25,4.78,41.06,658.09,41.65,798.3,123.48,0.76,7.56,69.64,1.56,1.54,42.98,64.0,1.54,17.37,1.6,0.75,0.03,1.97,19.65,0.58,1.88,0.0,39.62,0.09,7.73,0.73,8.37,1.61,3.41,81.71,0.03,0.37,0.75,0.06,42.2,0.01,1.69,0.0,1.19,5.63,0.25,1.54,0.45,0.0,1.69,0.55,3.37,0.52,0.0,0.01,3.4,0.0,20.95,50.26,5.74,0.0,37.48,1.49,11167.4,102.46,1.33,0.23,2.53,0.0,0.23,17.99,37.65,7.9,2.05,1.49,2.37,1141.57,0.49,2.49,62.45,0.0,0.68,0.04,0.0,5.68,0.0,0.23,9.32,0.18,0.0,0.6,1.37,6.48,49.97,0.47,0.08,11.91,0.0,0.0,9.75,3.6,6.59,0.08,0.01,0.75,31.07,26.65,0.0,1.81,0.91,121.54,1.44,2129.7,13.23,0.11,10.89,93.76,0.02,0.01,47.14,164.83,0.64,2.92
