Date,AFG,AGO,ALB,AND,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GTM,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NER,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,OWID_WRL,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
2000,1366.01,1970.86,95.07,0.01,46.27,890.64,64.49,4.14,237.84,87.43,350.48,664.26,64.8,507.09,851.38,21391.59,225.97,18.25,29.76,14.19,1738.27,17.9,508.05,6952.79,12.67,11.45,27.09,70.98,360.57,292.25,56.09,506.89,92568.25,784.92,951.99,4031.9,168.47,0.87,935.57,35.79,42.19,122.81,281.68,19.49,215.86,525.36,30.82,3.04,35.98,166.99,758.5,577.15,1693.46,192.28,591.33,81.86,5333.23,147.73,69.58,1116.7,14.93,82.02,233.28,65.24,651.21,347.12,132.57,100.58,70.7,350.31,14.27,409.16,28.08,145.23,105.29,1137.67,235.88,10282.07,75234.86,71.75,1818.85,848.12,1.78,44.54,457.0,13.04,112.23,6048.42,1498.38,1079.81,449.22,1468.5,5.94,1.48,1698.54,20.3,803.02,31.68,164.17,108.47,10.69,1330.2,83.17,393.39,0.91,245.01,675.25,0.88,328.82,878.49,25.93,2951.29,8.41,31.14,902.21,11.03,5713.84,13.36,164.19,1005.62,102.22,39.02,517.95,656.24,61.42,1259.98,4870.16,181.88,0.2,98.17,67.23,1654.75,2.05,61.13,123.9,370889.7,15710.16,138.55,770.06,4133.43,2.05,459.86,1053.78,2125.28,42.63,122.97,33.46,1277.2,19175.9,1419.61,677.12,1643.9,956.09,14.1,51.56,197.79,249.37,0.08,946.6,151.88,510.23,3.12,24.86,165.04,25.85,123.96,51.47,9.39,247.55,630.69,273.93,3942.63,576.34,326.87,94.65,6.18,68.29,162.52,1308.69,0.87,1410.38,1367.8,7952.39,117.53,3566.32,2867.81,10.18,579.68,7775.1,20.83,12.71,959.26,1598.58,556.12,413.27
2001,1415.38,1553.62,78.42,0.01,46.91,966.2,58.38,4.27,250.06,80.14,285.29,685.32,79.63,534.42,915.71,21421.55,208.93,17.43,30.25,14.74,1835.33,14.27,498.49,6477.55,12.34,8.39,37.53,72.71,355.79,292.17,80.72,530.35,88893.62,814.58,1370.44,4248.1,187.65,0.65,889.34,35.72,43.32,131.21,292.22,20.47,216.92,474.66,35.24,3.18,53.13,159.23,671.25,602.44,1740.07,188.73,581.78,137.08,5529.68,145.26,67.06,1127.78,15.0,59.63,270.18,56.84,668.82,298.01,155.45,120.42,63.32,325.6,17.28,417.54,29.09,154.25,107.3,1114.72,187.01,9484.93,69350.76,75.01,1696.74,831.49,2.94,53.1,395.52,12.79,108.01,5855.29,1492.88,1021.22,395.34,1479.45,5.89,1.66,1355.72,19.02,817.77,30.13,149.05,124.66,10.95,1207.49,69.79,489.49,1.49,336.12,574.26,0.87,391.89,1046.35,24.57,2674.63,8.27,26.41,1034.72,8.97,4987.86,12.57,157.3,1018.69,78.32,54.13,586.49,640.73,60.1,1318.49,5440.61,188.45,0.19,80.83,77.65,1799.72,2.18,45.5,120.08,357833.53,13796.16,100.4,673.8,4085.14,2.17,463.17,1226.97,2565.03,99.87,110.3,34.87,1242.06,19481.19,1143.25,722.96,1481.1,674.84,20.52,51.5,217.7,221.19,0.07,986.71,115.02,442.01,3.07,26.05,165.79,30.93,134.24,56.66,9.63,236.31,501.96,295.94,3770.55,538.27,331.16,93.61,6.14,74.03,161.58,1242.21,1.11,1581.57,1395.41,7974.27,119.52,3386.6,2772.63,11.27,584.74,7818.32,21.4,12.7,1006.53,1604.46,536.26,451.53
2002,1389.6,1264.4,75.16,0.01,45.98,894.87,55.44,5.01,229.14,91.31,285.96,719.27,100.6,680.71,926.48,24601.14,200.41,14.96,30.63,15.71,1472.92,17.32,486.98,7049.5,11.68,8.75,35.84,71.53,271.71,324.08,66.16,533.35,88363.97,799.48,1285.08,4528.77,173.11,0.62,840.14,35.37,43.33,150.59,329.64,21.14,240.84,491.04,43.85,3.24,43.82,152.17,666.11,626.57,1804.31,205.76,490.05,95.48,5183.57,165.86,65.96,1020.7,16.7,72.06,243.57,66.8,748.87,581.76,143.27,107.86,66.4,352.13,11.72,389.24,32.11,157.18,87.91,1108.9,214.11,9563.55,72811.95,71.13,1604.59,825.31,1.62,43.79,448.12,12.49,108.25,5804.19,1531.71,1176.37,407.87,1176.24,6.15,1.92,977.26,21.27,783.05,28.07,149.49,111.78,10.84,1119.78,76.87,436.92,2.5,284.34,579.9,0.89,351.54,1062.4,23.35,2743.43,8.56,30.51,1058.37,5.21,5470.91,12.32,146.08,1008.61,109.12,47.04,622.37,644.29,70.32,1347.21,5402.82,210.25,0.18,105.67,90.11,1420.51,2.16,76.79,107.62,364023.97,14172.29,115.64,553.99,4207.32,2.16,499.76,1289.09,2708.26,183.83,162.49,35.73,1195.96,18779.91,1200.88,765.5,1396.86,516.66,12.18,55.02,244.46,221.95,0.08,1119.5,114.79,435.66,3.21,25.49,198.15,37.11,144.19,59.13,9.17,223.22,565.39,337.79,4204.11,498.89,342.43,87.96,6.1,74.63,157.08,1209.2,1.1,1918.4,1378.23,7668.02,113.67,3567.05,2647.58,10.15,564.5,7640.09,21.78,12.59,947.19,1700.41,579.88,476.39
2003,2187.13,2257.46,73.17,0.01,44.91,795.86,53.7,4.04,202.77,94.37,275.12,586.55,100.98,707.44,1014.58,23975.31,204.66,15.3,30.75,15.63,1215.25,19.05,477.31,6355.08,13.49,11.08,39.17,67.07,270.65,292.45,61.71,546.14,87247.16,811.3,1326.48,4667.38,196.16,0.57,874.13,34.99,43.18,141.31,251.04,21.62,210.12,539.05,49.3,3.3,55.29,143.92,574.05,671.88,1822.83,205.12,563.97,112.47,5060.4,147.54,61.73,1160.85,14.84,73.4,258.42,50.82,985.5,673.86,146.28,71.11,71.27,414.24,15.66,397.12,29.21,157.27,89.97,1103.69,209.17,9385.61,69880.2,58.97,1230.19,721.63,1.73,35.07,393.36,11.14,103.28,5838.57,1452.06,1092.42,363.29,1306.47,5.71,1.65,970.77,20.73,601.15,26.94,140.31,113.89,11.05,1085.48,87.53,388.92,2.74,224.82,603.57,0.86,311.11,929.59,22.46,2682.22,8.95,23.09,1199.78,2.08,5429.35,11.53,144.23,924.16,112.32,45.17,645.14,682.54,74.65,1404.3,6378.16,208.09,0.18,87.51,72.92,1821.41,1.74,58.35,107.2,355860.9,13367.1,125.72,639.27,4118.92,1.86,514.57,1211.74,1169.51,177.91,143.94,32.3,1092.89,17607.78,1098.64,792.78,1304.59,973.36,13.13,59.23,428.78,228.94,0.07,1159.53,108.61,463.78,2.94,25.53,137.03,35.59,129.23,60.33,9.67,204.51,401.62,354.15,4221.23,466.43,321.91,93.59,6.23,62.46,150.55,1050.88,1.02,1684.33,1780.21,6661.97,105.21,3422.84,2437.87,9.87,573.78,7637.17,21.92,12.46,798.21,1705.71,528.42,595.58
2004,2315.33,2348.61,68.83,0.01,46.86,623.69,48.68,4.8,194.29,76.12,254.13,641.45,73.56,715.77,1084.64,21010.7,195.49,15.53,32.44,15.87,1192.18,19.49,464.06,6954.43,12.44,9.78,37.85,62.76,384.36,269.78,47.22,483.76,86685.34,862.91,1351.84,4736.96,219.62,0.5,949.91,36.7,43.75,126.91,268.62,25.02,173.98,419.64,43.94,3.04,44.26,131.69,561.02,578.16,1873.33,215.55,576.86,93.46,5035.33,148.01,62.61,971.03,15.42,54.26,227.1,80.99,1046.7,684.51,143.48,98.66,62.14,394.75,12.52,395.96,54.79,144.31,71.61,864.29,180.94,6480.37,67397.1,57.93,1375.48,702.86,1.39,42.75,375.85,8.59,103.97,5691.1,1386.66,1096.68,350.77,1385.99,5.58,1.37,1015.18,20.21,588.58,26.13,158.41,102.88,10.63,1061.82,89.72,326.76,2.46,203.08,553.02,0.85,334.09,1126.95,18.34,2433.6,9.06,26.1,1292.16,2.38,5217.04,11.28,143.2,880.44,102.48,42.38,671.56,687.33,69.53,1429.49,6562.15,196.99,0.15,92.68,84.47,1664.78,2.1,59.11,102.2,345888.97,14576.09,117.14,555.01,4381.41,2.36,508.44,1110.34,1051.96,134.22,119.78,30.0,1052.13,16723.88,901.47,805.47,1443.51,969.51,15.68,57.49,446.33,251.11,0.08,1149.81,103.58,488.02,2.91,25.02,163.35,19.59,107.15,61.14,9.68,199.02,496.71,350.12,3902.72,452.24,321.66,87.78,6.14,66.39,148.62,933.66,1.04,1709.79,1665.67,6264.35,73.44,3434.73,2274.13,10.16,562.81,7480.56,22.44,11.69,714.55,1733.52,613.03,604.79
2005,1843.48,2182.43,90.35,0.01,49.36,609.03,50.24,1.46,198.59,88.76,287.1,667.82,77.98,704.24,1165.93,20235.76,185.95,16.37,31.51,16.79,1251.76,16.45,449.89,6629.52,13.46,9.49,36.7,59.79,361.93,284.34,37.53,452.9,83271.95,1043.33,1398.06,5133.27,241.99,0.55,881.68,35.13,47.8,147.62,271.89,16.08,208.11,417.82,51.97,3.52,47.28,167.2,534.55,501.92,1910.88,216.74,495.46,63.39,5124.05,145.8,67.52,920.73,16.12,100.82,243.42,36.35,1036.92,679.43,143.41,117.76,73.56,336.75,12.6,418.07,56.13,153.15,80.01,1079.45,190.64,8374.39,75793.84,68.4,1257.27,733.04,0.91,50.4,383.48,22.28,99.58,6359.16,1373.19,1309.61,338.94,1375.15,6.39,1.21,930.41,18.62,736.31,25.67,184.36,97.58,10.53,1057.61,92.25,424.2,1.91,264.51,597.5,0.84,445.79,1274.02,19.01,2332.49,9.41,19.87,1391.63,1.96,5205.61,10.87,138.32,795.74,118.77,41.34,674.47,687.36,68.23,1611.95,6321.78,216.85,0.17,89.2,82.28,1485.0,2.0,57.01,99.37,346126.06,8844.91,114.0,574.93,5095.91,2.15,553.56,1132.22,1054.93,126.18,132.21,30.71,1152.27,15991.15,908.67,819.5,1440.44,1025.03,21.37,60.16,452.59,281.6,0.07,1220.07,122.61,553.09,3.02,25.05,146.28,17.2,112.35,62.77,9.59,196.82,847.43,343.74,3555.61,426.17,322.02,88.4,5.96,60.16,142.94,844.74,1.03,1669.2,1691.2,4770.8,77.03,3635.61,2149.19,9.13,566.99,7457.48,23.36,11.25,844.94,1672.33,585.65,602.45
2006,1958.41,2242.28,85.55,0.01,50.26,617.09,47.19,2.03,215.67,72.45,278.44,773.63,83.25,681.0,1265.65,23172.52,196.57,13.75,35.37,16.52,1185.91,17.97,429.34,6363.81,12.45,9.45,36.41,57.41,442.94,307.98,43.7,432.86,78505.17,1038.4,1480.25,4977.42,237.66,0.62,890.9,34.77,45.67,129.61,254.79,26.64,222.45,440.86,46.43,3.21,50.89,170.61,519.74,635.68,1926.99,205.69,520.56,76.96,4886.97,138.0,65.13,995.41,15.68,98.05,235.85,33.38,948.8,710.78,136.45,121.25,76.59,264.53,8.77,390.51,78.94,145.28,78.82,1069.45,218.12,7618.18,66958.36,61.12,1224.33,618.33,2.38,41.2,377.2,10.15,93.78,6162.37,1213.21,1362.4,310.93,1340.07,5.91,1.51,825.67,18.27,699.26,23.15,170.25,81.86,11.41,1042.84,93.79,370.5,0.73,244.68,557.34,0.84,370.59,1269.63,19.64,2429.47,9.61,24.8,1437.47,2.99,4866.6,10.79,135.64,1019.61,118.18,35.62,716.3,693.84,64.74,1484.64,7424.89,149.29,0.16,87.3,67.99,1634.08,2.11,56.54,102.24,339229.9,16875.18,122.97,555.8,4438.15,2.13,555.44,1175.3,1142.28,105.36,134.29,37.49,1105.46,13766.69,818.25,830.6,1637.98,1054.63,12.98,62.41,455.19,285.05,0.08,1278.43,116.88,565.92,3.36,25.71,166.77,26.67,116.43,63.57,9.81,193.48,848.23,363.53,3711.88,410.68,290.4,92.14,6.0,57.4,138.86,787.1,1.06,1652.44,1953.9,4042.18,86.9,3681.5,1690.7,9.04,534.57,7354.21,24.9,11.61,761.01,1663.56,610.07,621.92
2007,2383.9,2508.2,84.46,0.01,54.1,632.16,61.02,3.55,202.73,75.15,259.92,756.01,79.47,719.68,1316.98,21089.08,204.96,15.79,35.0,18.03,1051.01,16.7,416.06,6435.56,12.79,10.57,34.63,59.58,450.2,275.77,49.9,391.88,75267.3,965.46,1705.45,5477.55,244.24,0.47,824.04,33.89,44.89,111.3,277.07,43.81,190.27,372.42,54.75,3.11,58.19,159.15,489.46,540.55,1967.62,210.47,483.16,90.66,4988.9,143.69,67.26,963.38,15.38,99.99,254.07,53.59,985.73,733.78,134.14,113.62,75.15,396.45,7.98,315.15,71.85,154.61,101.91,1077.66,190.15,8889.36,71172.85,57.2,1319.33,542.34,2.75,51.98,385.32,45.25,91.02,6145.31,1216.98,1169.52,290.68,1309.08,6.96,1.83,773.92,17.47,528.06,25.64,183.15,92.65,10.01,1000.91,103.05,418.87,1.08,231.53,504.28,0.8,353.37,1319.49,19.57,2521.66,9.51,25.21,1379.47,4.09,4596.48,9.79,136.1,1133.98,118.12,42.33,734.99,706.66,59.81,1556.75,7714.36,186.6,0.16,77.14,51.17,1629.63,2.14,61.13,103.64,339682.66,16448.73,114.89,494.66,4517.51,2.0,486.89,1095.43,1295.25,83.59,125.06,51.94,977.57,13300.94,842.06,836.96,1629.81,1054.88,23.74,63.66,475.67,258.81,0.08,1305.61,133.44,589.83,3.34,26.49,171.49,29.24,119.93,65.23,9.45,195.98,1006.33,369.87,3777.71,404.08,255.82,98.92,6.09,59.55,133.77,730.27,1.08,1575.17,1786.28,4196.03,102.22,3561.18,1513.82,5.37,518.31,7469.07,25.1,11.63,929.02,1652.5,632.93,623.26
2008,1839.04,2418.71,81.62,0.01,62.26,607.25,53.97,3.82,195.09,66.51,265.89,673.05,80.83,741.94,1291.15,21854.78,180.19,16.64,33.65,16.79,965.73,15.23,411.71,6045.01,11.54,13.02,33.59,69.63,470.96,299.61,34.43,440.92,69126.67,1083.85,1832.32,5598.59,257.75,0.5,884.89,35.88,46.98,119.41,232.14,50.88,180.87,413.33,44.67,3.17,36.46,168.41,477.69,597.27,2028.34,219.33,483.91,80.05,4893.84,120.23,64.82,1023.71,15.14,102.05,244.54,57.86,1206.44,812.53,139.58,111.87,70.3,370.66,6.16,357.64,77.25,147.02,92.09,1020.58,162.38,9111.48,69670.97,59.94,1222.86,713.24,3.72,50.4,422.1,36.22,99.32,6644.84,1113.85,1272.69,291.16,1338.38,7.02,1.48,752.62,20.13,695.89,25.94,226.36,103.19,9.84,962.75,85.64,352.02,1.11,190.21,506.08,0.82,323.22,1278.41,19.79,2589.71,9.21,18.05,1679.21,7.56,10586.39,9.34,132.93,1162.68,116.84,56.16,753.31,750.98,62.92,1646.14,9034.58,209.51,0.16,74.04,43.19,1588.53,2.12,60.51,95.95,341944.56,18420.62,119.22,516.34,5138.81,1.97,490.08,1005.95,1370.76,81.27,133.99,58.22,925.07,12308.41,785.01,826.19,1493.5,1059.42,22.7,72.59,495.14,233.31,0.09,1425.63,104.12,520.3,3.11,26.17,179.48,27.72,115.87,67.61,9.69,201.44,881.12,385.87,3816.09,407.11,234.25,102.1,5.7,62.4,128.33,701.84,1.08,1605.48,1578.61,3805.3,84.28,3689.92,1436.9,2.76,540.82,7531.6,25.19,12.14,918.83,1748.84,625.98,673.9
2009,2018.98,2316.31,79.66,0.01,71.67,541.16,54.39,5.15,213.26,67.42,252.59,771.48,77.89,818.61,1160.12,22897.95,169.6,15.89,34.44,16.3,963.37,20.4,408.26,6363.14,11.18,10.55,31.13,77.41,481.9,268.25,38.02,437.91,71526.94,1128.38,1772.53,5725.91,265.17,0.51,738.87,33.95,47.77,82.95,249.33,27.99,205.94,404.08,53.54,3.17,29.61,177.55,462.25,525.74,2129.99,225.86,517.35,68.03,4529.05,129.46,64.06,960.4,14.92,111.48,278.0,74.69,1147.21,753.75,142.25,114.69,82.34,391.26,5.87,354.53,81.36,145.54,92.57,1098.28,180.23,8541.25,67088.05,59.68,1128.17,776.02,2.5,35.76,397.94,26.94,95.17,6621.26,937.45,1323.66,288.9,1293.61,7.52,1.2,631.67,17.43,679.63,25.88,218.65,111.96,9.36,1707.81,86.61,320.28,1.88,142.8,536.76,0.88,254.14,1252.3,19.57,2496.38,9.41,23.19,1564.24,6.04,4193.87,8.8,135.33,1214.79,114.62,49.37,764.09,794.42,61.2,1935.13,10337.21,178.65,0.15,79.98,69.83,1723.63,2.14,56.75,52.53,337246.28,19344.35,123.75,487.37,4933.35,1.98,544.4,1009.48,1389.61,89.33,192.69,63.41,762.12,11402.06,740.65,793.18,1717.39,1051.8,10.75,72.23,504.83,262.73,0.08,1352.01,100.64,505.4,3.04,26.02,170.45,26.98,98.07,69.66,9.54,200.34,1082.58,411.46,3905.36,411.54,193.85,112.32,5.57,53.18,130.94,703.58,0.99,1773.07,1627.3,3182.04,76.58,3663.23,1389.48,6.39,502.73,7552.5,25.73,10.39,893.38,1785.34,649.45,673.44
