Date,AFG,AGO,ALB,AND,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GTM,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NER,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,OWID_WRL,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
2000,226.42,35.49,29.6,0.07,13.61,12.27,2.4,0.0,1256.54,167.62,16.83,24.27,175.54,1.27,1.95,353.85,28.24,2.31,2.12,5.68,366.61,0.52,38.45,125.97,0.92,0.0,1.88,4.81,8.96,877.09,244.55,10.17,26913.28,2.38,2.72,82.56,11.43,0.01,23.7,3.71,0.24,11.97,8.22,13.43,51.8,1690.85,3.98,0.36,190.64,6.52,376.67,18.93,28.74,19.35,793.13,29.01,83.4,190.53,1.81,1131.39,0.19,3.65,1995.23,3.1,2.38,1.25,0.3,0.27,1.88,360.1,0.79,121.44,0.35,35.93,49.55,25.02,50.56,209.25,4852.26,127.84,2620.91,219.17,7.37,97.45,795.25,4.53,6.75,239.99,383.76,54.29,50.63,12.71,3.06,0.19,47.07,16.03,5.05,13.13,0.39,82.15,0.72,226.77,5.96,78.32,15.6,57.18,317.56,0.05,27.93,63.89,0.4,368.85,0.1,7.67,1.76,4.46,51.37,1.16,7.72,27.05,0.39,13.26,44.09,29.41,4.8,1.16,19.12,5.45,0.01,130.59,427.52,51.54,0.02,28.94,10.04,79670.336,694.96,20.36,16.66,45.84,0.0,4.65,154.39,151.56,67.01,0.0,2.04,75.21,9573.46,47.0,13.53,198.12,1.76,5.16,0.52,0.66,30.0,0.03,46.34,25.91,15.91,0.13,3.31,21.67,17.92,253.88,2.66,0.62,79.2,1.03,0.91,69.7,9.94,18.07,0.68,0.15,8.59,104.99,185.88,0.02,145.91,76.21,1559.88,3.23,14203.24,86.56,0.0,34.24,540.41,0.25,0.26,169.68,543.77,38.99,38.43
2001,232.91,35.43,26.97,0.09,14.5,23.66,2.74,0.0,655.92,151.37,17.08,24.13,174.73,1.19,1.85,360.83,28.56,2.09,2.06,5.85,400.95,0.46,39.37,145.0,0.85,0.0,1.97,4.59,8.5,903.05,235.35,17.08,23963.35,2.19,2.65,84.44,10.41,0.01,20.57,3.84,0.25,4.83,5.08,14.15,72.86,1653.97,4.28,0.39,199.59,6.52,387.69,12.0,31.33,19.29,757.11,44.39,85.27,178.69,1.78,1037.81,0.19,3.72,2072.88,1.09,2.41,1.18,0.29,0.24,1.86,446.15,0.84,110.12,0.54,37.15,63.5,25.93,41.87,215.17,4902.72,124.92,2640.41,231.87,9.2,68.96,679.11,4.56,6.7,259.03,409.69,57.14,52.37,13.38,3.03,0.18,51.88,12.96,5.2,13.36,0.37,95.46,0.75,200.98,4.87,66.38,13.76,44.18,326.0,0.05,31.66,66.83,0.42,382.18,0.09,7.46,1.66,5.3,51.03,1.15,8.86,28.28,0.36,7.62,45.07,29.56,4.88,1.12,18.46,6.38,0.0,130.81,491.24,52.4,0.02,41.62,10.32,77288.305,719.55,13.1,10.4,32.18,0.0,4.56,140.09,147.84,62.89,0.0,2.02,46.68,9218.85,44.4,13.88,206.86,1.61,4.9,0.5,0.65,30.57,0.02,48.36,28.84,15.81,0.14,3.78,21.62,22.76,225.17,2.94,0.69,77.36,0.96,0.87,74.87,9.81,19.92,0.69,0.14,8.52,110.85,183.3,0.02,150.45,81.35,1531.67,12.87,15583.08,90.23,0.0,37.61,556.58,0.25,0.25,179.03,553.13,40.48,39.11
2002,246.4,36.51,27.64,0.1,15.31,25.77,2.87,0.0,582.93,114.01,17.72,23.67,151.41,1.31,1.99,373.57,21.04,1.95,1.9,6.14,444.4,0.48,41.11,146.26,0.75,0.0,2.01,4.84,8.74,975.77,233.26,32.13,20765.03,2.38,2.83,88.36,9.67,0.01,24.27,3.85,0.25,11.91,6.18,14.94,36.34,1329.21,4.02,0.4,151.75,6.4,399.19,18.24,36.55,19.9,750.43,102.35,87.65,170.67,1.88,904.27,0.18,3.79,1929.17,3.25,2.43,1.26,0.31,0.25,1.84,342.05,0.99,92.35,0.35,38.69,49.65,26.93,32.92,226.96,5104.56,122.54,2644.62,243.22,8.36,111.03,532.1,3.95,6.89,253.93,432.58,70.88,57.83,12.51,3.29,0.17,42.13,14.33,5.11,13.45,0.42,90.07,0.69,179.99,5.42,43.3,12.44,42.82,335.13,0.06,24.18,71.39,0.45,368.69,0.09,8.79,1.78,4.6,50.31,1.18,10.24,29.86,0.39,0.73,45.58,29.55,5.21,1.23,19.71,7.14,0.0,118.07,387.4,53.02,0.02,55.86,9.89,77026.6,745.18,8.98,9.26,49.45,0.0,4.52,165.77,141.66,68.58,1.13,2.52,56.48,9105.11,41.84,13.89,217.72,1.73,9.08,0.49,0.73,27.8,0.03,50.32,19.43,16.18,0.15,3.82,21.61,23.8,188.53,3.38,0.64,81.36,1.03,0.96,79.98,9.78,24.56,0.61,0.13,8.15,116.76,188.72,0.02,155.26,85.54,1583.91,3.3,19101.39,95.36,0.34,37.02,569.17,0.24,0.24,186.14,670.82,42.42,40.11
2003,269.3,40.16,28.12,0.09,16.16,13.82,2.17,0.26,680.48,195.17,20.25,23.61,161.26,1.42,2.18,379.74,22.56,2.16,2.06,6.29,447.6,0.5,42.24,163.44,0.82,0.0,2.17,4.47,8.18,899.31,234.45,26.49,17101.54,2.64,3.1,90.53,9.51,0.02,24.61,3.84,0.26,14.78,6.1,15.48,50.0,1266.26,4.56,0.4,144.82,6.47,397.59,16.66,42.84,19.23,729.24,36.85,88.23,168.65,2.11,1027.16,0.17,3.89,1717.41,1.69,2.46,1.36,0.33,0.25,1.92,308.82,0.64,87.44,0.0,40.79,69.95,27.75,25.99,236.91,5352.65,109.33,2499.9,249.99,7.01,91.7,504.42,3.49,6.85,258.17,492.01,57.99,67.93,12.86,3.38,0.15,42.74,13.93,5.01,13.87,0.42,94.96,0.7,158.28,6.39,55.48,8.23,19.0,355.06,0.06,11.37,74.56,0.48,278.94,0.09,7.31,1.91,6.46,49.83,1.17,12.84,31.86,0.41,6.21,47.1,30.55,5.35,1.38,21.44,10.55,0.0,118.31,323.75,54.28,0.02,38.48,10.36,76157.016,756.8,12.46,8.01,68.7,0.0,4.33,160.31,136.09,53.26,2.33,2.72,49.69,9783.88,38.24,15.92,224.7,1.87,4.93,0.51,0.79,28.85,0.03,51.13,17.49,17.84,0.14,3.71,14.49,15.19,167.66,3.48,0.61,83.37,1.11,1.05,81.63,9.98,29.76,0.68,0.13,7.49,118.22,193.54,0.02,169.9,89.93,1579.85,8.68,21294.41,97.07,0.41,39.58,572.98,0.23,0.23,190.91,720.29,43.55,40.71
2004,284.43,41.79,28.75,0.12,17.58,13.76,1.41,0.25,679.44,185.4,24.8,24.26,131.14,1.54,2.36,383.5,20.45,2.78,2.16,6.29,428.11,0.52,43.71,173.16,0.84,0.0,2.25,4.18,8.08,943.42,235.28,32.81,14647.22,2.58,3.28,92.33,10.24,0.01,27.32,3.96,0.27,17.74,4.04,1.21,52.78,1164.33,4.96,0.35,139.78,6.59,397.64,6.94,50.69,20.73,788.78,102.51,89.31,207.75,1.75,933.71,0.17,3.95,1832.67,1.03,2.45,1.45,0.35,0.27,2.0,334.87,0.77,84.39,0.0,42.01,91.4,27.85,27.83,244.5,5757.62,139.01,2675.59,258.28,5.9,113.61,593.85,3.0,7.1,287.29,569.52,62.98,89.81,13.47,3.55,0.13,38.35,19.74,5.04,14.18,0.47,92.7,0.64,133.19,6.35,41.33,10.49,35.08,363.7,0.06,13.72,78.85,0.45,297.31,0.09,7.1,2.04,6.14,49.79,1.18,14.74,34.13,0.45,9.16,48.46,31.47,5.38,1.5,23.9,14.91,0.0,159.11,394.73,55.56,0.02,42.0,10.25,77706.836,778.72,13.9,5.2,54.44,0.0,4.27,158.98,132.08,46.31,1.97,2.95,30.55,10768.45,35.31,22.99,232.09,2.01,7.15,0.46,0.86,31.62,0.04,53.73,48.04,19.61,0.15,3.32,14.93,18.34,192.97,3.73,0.61,99.02,1.21,1.13,82.64,10.57,41.48,0.68,0.13,7.32,125.42,204.64,0.02,173.55,91.37,1670.45,9.55,22929.17,103.13,0.37,35.03,586.14,0.23,0.21,196.34,720.54,45.02,39.9
2005,295.73,40.91,47.05,0.11,20.08,14.59,1.37,0.36,741.0,192.44,26.23,24.78,182.62,1.66,2.54,400.42,35.14,3.2,2.03,6.33,424.92,0.44,45.05,212.11,0.89,0.0,2.32,4.58,7.76,1075.15,268.08,31.0,13131.99,2.81,3.6,95.36,10.64,0.02,24.12,3.99,0.3,6.92,7.07,25.93,50.71,1303.04,4.61,0.41,204.8,6.86,405.9,13.93,56.85,21.74,754.79,55.86,90.58,237.53,1.47,1058.32,0.17,4.29,1903.93,1.06,2.49,1.5,0.36,0.27,2.15,459.49,0.27,92.16,0.0,43.98,89.21,28.63,38.02,250.94,6198.1,120.59,2659.57,264.98,7.62,34.47,651.12,6.51,7.36,292.38,636.14,66.22,114.51,14.27,3.89,0.13,47.45,24.33,5.23,14.7,0.49,94.86,0.65,133.02,7.4,35.72,9.83,28.6,376.32,0.06,14.32,81.22,0.5,271.66,0.09,6.09,2.18,6.93,49.67,1.16,16.67,36.3,0.47,12.37,49.01,32.27,5.44,1.69,25.08,6.94,0.0,124.88,318.57,57.13,0.02,53.2,10.47,82473.58,802.27,6.9,3.83,53.44,0.0,4.29,161.22,129.54,45.36,4.16,3.26,34.45,12539.67,36.74,26.72,240.5,2.13,28.32,0.47,0.93,33.28,0.03,53.77,45.63,20.76,0.14,3.3,13.48,10.04,206.33,3.99,0.59,110.44,1.31,1.22,77.13,11.14,53.37,0.7,0.12,6.95,128.24,209.07,0.02,180.31,96.66,1775.24,6.5,25912.16,125.15,0.0,31.1,613.11,0.23,0.21,204.8,677.92,46.81,37.32
2006,305.47,44.83,46.45,0.12,22.38,24.45,2.12,0.0,642.67,204.22,26.49,25.89,170.35,1.79,2.75,419.0,36.26,3.14,2.21,6.3,389.65,0.48,44.94,263.34,0.87,0.0,2.38,4.76,8.26,1162.28,249.64,21.0,11912.25,3.14,3.88,98.86,10.27,0.02,12.52,4.18,0.29,20.31,2.02,21.29,41.33,1219.28,4.72,0.37,208.61,6.5,408.73,32.38,61.24,22.8,601.59,56.96,92.38,246.45,1.1,1072.67,0.17,4.57,1957.28,2.56,2.37,1.62,0.37,0.28,2.16,426.89,0.36,94.08,0.36,45.35,83.47,28.75,42.92,254.81,5874.99,138.01,2720.06,264.5,5.59,28.8,539.63,2.98,7.47,272.57,668.61,72.29,132.58,14.82,3.87,0.12,36.72,29.62,5.28,15.14,0.54,88.78,0.68,130.79,9.97,72.06,13.29,44.93,384.71,0.06,12.01,84.83,0.57,228.42,0.08,3.36,2.34,10.05,49.54,1.14,17.94,38.2,0.51,17.81,50.34,32.96,5.51,1.82,27.53,4.16,0.0,116.22,343.09,58.94,0.02,42.15,11.13,84894.75,822.85,5.17,17.03,82.44,0.0,4.33,96.46,128.65,39.25,1.15,3.96,37.4,12602.18,38.23,30.19,249.1,2.3,34.48,0.48,0.98,32.03,0.03,55.2,46.63,25.03,0.16,3.26,0.0,5.05,188.21,4.35,0.63,124.77,1.42,1.32,79.77,11.46,59.93,0.7,0.12,6.76,130.44,214.57,0.02,190.57,103.71,1667.17,5.5,29968.83,136.31,0.0,31.6,632.45,0.24,0.21,208.18,685.75,49.74,36.87
2007,306.7,43.78,48.55,0.12,25.67,30.56,1.12,0.0,671.17,191.56,27.33,26.97,184.9,1.91,2.93,425.14,38.36,3.68,2.09,6.42,356.19,0.44,46.68,284.79,0.79,0.0,2.41,6.8,8.17,1286.68,247.26,39.57,11432.7,3.53,4.15,106.93,10.95,0.01,21.33,4.25,0.31,12.93,2.07,23.23,42.83,1320.27,4.81,0.36,154.99,6.41,410.22,11.03,64.61,23.03,640.69,67.85,95.61,294.14,0.93,1027.57,0.16,4.61,2197.45,5.0,2.65,1.71,0.39,0.27,2.25,397.16,0.0,79.49,0.69,46.31,131.15,29.89,31.96,255.9,5830.58,173.73,3084.59,262.5,3.13,30.28,593.58,10.39,7.4,319.2,671.51,83.58,131.88,15.86,4.33,0.13,17.49,29.15,5.28,15.7,0.59,102.65,0.6,123.87,10.92,90.33,11.22,48.25,382.16,0.05,8.74,86.48,0.62,213.3,0.08,11.04,2.53,9.3,49.04,1.05,19.17,35.88,0.54,12.41,52.08,33.96,5.49,1.97,29.61,7.08,0.0,104.09,350.52,59.99,0.02,60.87,11.13,85424.86,837.31,2.94,10.17,43.73,0.0,4.21,89.61,130.49,26.64,2.19,5.45,34.17,11973.99,41.86,32.04,262.02,2.39,19.13,0.54,1.07,28.77,0.03,54.69,65.27,27.3,0.14,3.11,0.0,15.44,222.2,4.81,0.61,142.61,1.51,1.4,83.26,11.81,59.49,0.74,0.12,6.71,132.52,218.81,0.02,200.93,102.85,1772.46,7.71,30339.97,147.41,0.31,34.1,696.1,0.24,0.21,230.45,680.46,52.98,35.92
2008,306.68,43.61,48.46,0.11,32.1,23.68,0.0,0.0,816.63,221.35,27.83,28.63,211.17,2.05,3.15,428.4,56.09,4.06,1.95,6.06,332.63,0.43,47.26,312.84,0.76,0.0,2.46,9.52,8.01,1303.13,258.95,29.33,11369.7,4.08,4.45,113.09,11.37,0.01,35.62,4.54,0.33,16.52,7.11,21.48,44.91,1523.54,4.98,0.37,208.35,6.5,412.94,16.78,67.65,24.61,699.08,70.96,101.45,290.0,0.69,1288.13,0.16,4.91,2556.72,3.75,2.95,1.82,0.4,0.3,2.57,305.2,1.41,92.34,1.05,46.52,102.95,30.58,35.19,283.93,5819.22,183.93,3021.24,269.39,2.64,28.48,490.23,7.52,7.88,309.53,592.39,90.38,131.44,16.29,4.62,0.12,10.29,37.71,5.6,16.23,0.63,113.32,0.57,121.47,9.16,69.91,15.47,36.71,392.18,0.06,12.7,88.83,0.71,285.32,0.08,14.68,2.72,8.08,48.97,1.06,20.96,43.83,0.58,6.48,53.82,35.73,5.49,2.07,31.3,5.36,0.0,142.76,350.9,59.83,0.02,62.62,10.43,86610.73,862.35,4.07,6.7,30.53,0.0,4.18,79.67,137.06,42.38,2.09,6.26,16.86,11328.27,46.03,34.57,277.21,2.68,21.49,0.57,1.15,25.68,0.04,57.74,97.7,29.17,0.16,3.06,12.64,36.27,269.55,5.25,0.65,152.47,1.59,1.53,84.21,12.13,57.55,0.78,0.11,7.05,132.72,225.55,0.02,210.21,108.53,1730.56,8.42,30856.13,156.48,0.76,37.41,758.57,0.24,0.21,242.97,798.9,56.7,37.63
2009,303.75,44.05,49.15,0.1,37.9,14.6,2.15,0.0,942.8,238.11,26.82,32.8,204.31,2.21,3.34,437.64,36.85,4.03,1.82,5.96,331.03,0.5,47.93,376.54,0.62,0.0,2.46,11.23,8.66,1373.72,236.51,42.82,11257.4,4.59,4.72,115.25,12.63,0.02,24.95,4.45,0.34,7.58,4.03,20.72,68.46,1423.82,5.55,0.35,264.81,6.63,416.95,17.93,70.13,26.1,605.85,141.62,104.71,332.31,0.37,1562.69,0.16,5.32,2519.7,2.6,3.25,1.9,0.43,0.31,2.85,363.89,1.58,115.04,1.04,47.17,84.52,31.98,37.03,304.72,5933.21,212.45,2863.59,281.78,4.81,22.2,452.67,5.22,7.28,396.01,496.06,97.88,128.01,16.57,4.62,0.11,8.75,33.5,5.67,16.66,0.69,126.69,0.49,115.37,8.86,85.05,9.94,34.89,406.5,0.06,3.16,90.55,0.77,239.83,0.08,11.85,2.88,6.87,48.4,1.05,22.87,49.31,0.66,15.5,56.53,37.37,6.44,2.27,33.55,12.63,0.0,167.36,357.97,62.19,0.02,71.07,7.0,85821.87,882.13,5.07,1.09,29.56,0.0,4.48,92.32,141.16,43.43,7.2,6.61,30.1,9625.22,48.95,33.99,314.74,2.82,9.52,0.58,1.23,29.64,0.04,60.43,78.03,31.53,0.19,2.78,11.34,48.23,285.34,5.08,0.64,152.88,1.7,1.64,83.81,12.5,50.05,0.97,0.12,5.89,140.94,234.49,0.02,220.71,111.83,1345.31,12.65,31541.05,162.75,0.77,36.97,793.95,0.25,0.18,249.58,799.51,60.76,34.48
