Date,AFG,AGO,ALB,AND,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GTM,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NER,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,OWID_WRL,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
2000,642.36,226.68,17.19,0.0,9.05,186.47,34.65,0.17,71.14,14.82,111.96,125.44,50.83,82.21,182.52,283.49,80.62,2.63,0.99,88.21,752.04,1.76,82.51,228.89,0.55,0.9,0.64,28.16,60.68,130.77,15.0,44.1,16980.39,132.23,148.03,612.5,32.17,0.03,53.48,9.0,1.32,5.36,20.67,1.15,125.0,84.27,8.33,0.82,15.72,18.94,303.24,65.34,288.51,55.79,180.87,49.53,1267.34,28.5,3.5,218.97,0.86,12.1,145.29,25.19,170.07,67.33,20.28,16.15,8.41,27.72,1.2,125.15,1.71,48.78,25.53,78.84,58.98,839.61,2269.03,22.28,885.96,92.88,1.52,7.61,306.08,3.11,56.11,363.15,772.26,515.69,244.99,57.33,1.42,0.07,378.58,11.34,26.39,9.36,27.2,44.01,0.49,93.34,38.87,194.63,3.97,152.54,346.11,0.39,320.79,222.48,0.53,751.77,0.42,11.87,136.15,1.72,749.75,3.95,143.81,211.86,15.64,5.42,130.73,163.64,22.66,162.88,1103.1,24.53,0.01,17.35,7.22,809.57,0.1,9.49,2.71,63278.37,238.3,7.58,81.17,163.99,0.42,35.81,432.56,281.47,32.53,8.19,7.37,936.47,12535.59,190.11,127.46,473.89,123.96,0.65,3.71,38.26,55.54,0.15,233.87,37.66,92.56,0.83,1.79,57.65,9.47,16.11,17.24,0.48,60.46,104.22,50.75,181.7,122.04,99.54,2.75,1.78,3.05,72.76,286.88,0.06,399.34,295.09,3579.36,26.61,968.84,797.26,0.06,68.47,674.05,1.46,0.8,365.49,562.69,117.77,293.76
2001,662.63,208.02,14.43,0.0,9.24,149.35,38.01,0.37,52.75,13.15,103.47,131.61,60.17,87.22,188.43,273.29,77.51,2.48,0.83,85.7,781.84,1.09,79.67,195.44,0.5,0.79,0.87,26.6,58.87,105.12,14.97,40.44,18001.11,135.29,191.61,642.16,31.36,0.02,83.6,9.06,1.36,9.14,24.54,1.19,137.36,102.03,9.01,0.79,16.39,17.84,279.92,45.35,288.1,56.06,196.5,36.33,1311.61,30.44,3.34,190.44,0.86,10.78,176.62,22.02,171.19,65.0,23.29,17.6,7.68,34.71,0.92,123.36,1.35,50.53,28.01,73.83,96.99,840.6,2142.7,23.35,827.78,91.53,2.65,0.23,267.93,2.87,54.06,388.19,747.75,406.69,235.65,60.03,1.4,0.07,379.94,9.23,27.03,9.0,25.61,49.08,0.42,84.24,31.57,199.36,3.66,123.42,318.82,0.36,370.64,248.11,0.52,691.69,0.41,10.45,148.8,1.92,730.06,3.77,127.18,227.38,14.0,3.12,139.35,162.35,22.72,172.0,1174.34,20.89,0.01,17.2,11.17,850.16,0.1,3.21,2.63,64755.598,222.76,6.29,363.04,175.04,0.44,34.74,453.45,308.95,38.86,4.68,7.52,968.34,12772.1,161.52,133.61,449.97,96.82,0.57,3.7,41.61,49.58,0.13,246.83,52.59,82.75,0.84,1.64,50.33,17.48,15.79,18.67,0.5,57.3,94.51,53.16,192.15,117.25,100.93,2.77,1.75,3.13,73.0,265.6,0.07,432.11,301.52,3597.25,18.2,1018.36,770.09,0.04,70.87,692.11,1.47,0.79,378.33,568.2,123.48,309.07
2002,641.34,192.26,13.94,0.0,9.33,198.92,36.87,0.76,57.74,16.24,98.23,149.35,56.17,99.42,187.98,275.11,75.83,2.23,0.75,83.63,783.61,1.33,77.22,178.48,0.44,0.55,0.85,26.9,55.3,118.44,9.07,79.52,19675.28,133.25,179.16,683.47,29.66,0.02,51.68,9.07,1.37,4.51,32.32,1.26,126.18,83.05,10.63,0.71,10.75,17.18,286.39,56.52,285.6,58.78,135.35,23.77,1291.3,36.37,3.24,198.49,0.94,11.42,169.7,29.26,185.82,89.39,21.78,16.4,7.55,26.35,0.91,120.92,1.05,51.25,22.82,71.85,72.57,862.62,2214.44,24.95,816.3,91.82,2.63,1.1,210.87,2.42,54.29,371.32,714.46,464.29,226.2,54.62,1.47,0.08,267.13,9.69,26.66,8.73,26.17,46.18,0.39,77.25,35.63,186.57,4.08,131.7,323.86,0.34,431.96,258.14,0.51,667.14,0.41,13.33,151.53,1.72,739.18,3.7,106.36,233.38,16.92,0.45,145.55,162.11,25.72,175.45,1165.69,13.73,0.01,25.53,8.02,734.49,0.1,7.29,2.41,66993.31,226.84,15.33,284.05,170.47,0.44,37.09,425.16,328.84,33.21,7.28,8.33,910.37,13279.98,179.23,139.32,440.36,84.24,1.09,3.85,46.21,50.65,0.14,281.86,28.62,84.02,0.88,1.52,48.21,7.2,11.37,20.8,0.46,56.46,99.5,56.75,201.94,108.84,96.72,2.56,1.73,2.87,73.59,269.51,0.07,533.2,304.97,3754.46,10.34,1089.59,755.33,0.03,73.26,708.23,1.48,0.76,368.62,619.47,124.88,318.49
2003,838.07,248.87,13.8,0.0,9.32,174.39,35.32,0.78,84.02,15.2,93.47,131.08,42.8,100.75,202.19,259.48,76.75,2.36,0.67,81.16,752.66,1.29,75.18,176.89,0.49,1.16,0.93,23.87,53.47,105.93,6.14,61.8,21942.66,134.51,183.93,716.85,29.8,0.02,45.05,8.91,1.38,6.49,21.28,1.3,111.37,99.05,11.78,0.67,13.93,16.57,258.09,73.89,278.53,59.54,162.39,27.3,1286.63,34.51,3.0,243.5,0.8,11.58,139.67,21.03,232.77,97.78,22.04,13.13,7.77,24.52,1.32,126.28,1.48,51.63,35.53,69.89,124.91,872.05,2197.6,20.21,695.56,88.1,0.34,7.08,182.07,2.11,52.6,568.99,720.63,517.14,173.73,58.16,1.4,0.07,212.9,9.04,24.11,8.63,24.22,47.45,0.35,74.02,41.32,216.25,4.15,116.13,337.21,0.33,442.35,250.66,0.5,730.23,0.42,10.63,165.76,0.69,728.88,3.54,97.06,229.27,17.15,2.64,157.97,169.34,26.42,182.48,1291.9,8.81,0.01,8.45,4.16,877.37,0.07,16.62,2.38,70081.086,217.54,13.85,262.86,156.43,0.39,36.87,466.03,249.85,36.84,20.9,8.25,877.98,13579.47,168.57,146.25,431.05,124.23,0.65,4.01,62.19,51.71,0.13,286.52,43.82,90.8,0.83,1.42,42.67,11.6,20.63,21.03,0.48,56.24,84.82,59.17,202.61,101.44,75.03,2.85,1.73,2.14,72.47,291.16,0.06,489.18,371.5,3629.81,13.57,1082.1,705.86,0.04,72.58,719.94,1.49,0.75,336.39,654.26,122.43,370.56
2004,869.86,256.47,12.83,0.01,9.79,201.88,34.93,0.56,73.12,11.16,79.28,154.83,60.05,101.57,214.85,206.59,73.49,2.53,0.85,79.34,722.61,1.42,73.19,170.04,0.53,0.71,0.91,21.03,59.95,118.59,5.1,62.36,23743.7,141.78,185.13,734.99,32.4,0.02,61.5,9.23,1.4,5.22,30.48,0.01,101.92,92.21,10.9,0.72,14.73,13.87,260.51,65.01,270.4,63.24,164.39,19.83,1289.43,49.93,2.81,252.34,0.83,10.1,147.82,17.05,246.01,99.51,22.06,15.4,7.2,26.46,0.35,137.53,2.16,49.25,38.68,53.59,106.49,848.18,2280.39,19.62,835.67,88.15,0.5,2.12,184.84,2.08,53.18,484.33,691.88,534.24,80.36,61.86,1.38,0.05,229.48,13.25,23.92,8.54,26.84,44.72,0.4,69.39,41.53,197.93,3.75,91.63,326.16,0.33,418.82,290.23,0.42,715.45,0.42,11.74,175.2,0.33,719.18,3.41,87.73,230.02,16.21,3.95,163.44,171.48,25.62,186.54,1329.49,16.79,0.01,20.66,12.15,829.77,0.09,11.5,2.31,70987.35,230.7,11.26,296.8,174.88,0.48,36.48,440.3,249.13,27.41,13.0,8.16,818.3,12841.5,151.34,157.59,451.33,124.67,0.78,3.88,64.77,55.88,0.14,288.81,26.94,96.44,0.82,1.4,50.54,12.95,19.19,21.97,0.5,60.12,95.07,58.92,196.6,96.12,33.76,2.77,1.7,2.36,73.75,310.31,0.06,497.33,356.79,3543.37,15.53,1046.0,646.78,0.08,71.14,742.82,1.48,0.69,317.45,665.22,134.64,369.47
2005,785.42,241.01,16.31,0.0,10.5,366.44,34.69,0.03,55.83,13.4,84.19,178.74,50.08,100.29,230.13,233.97,88.42,2.79,0.76,80.07,706.0,1.22,71.64,151.15,0.53,1.13,0.9,22.43,57.44,89.27,8.01,67.9,24446.68,162.99,190.85,780.67,33.22,0.02,62.23,8.9,1.51,3.41,24.1,1.06,112.93,104.52,12.39,0.66,14.68,17.61,254.04,69.3,268.16,65.01,268.63,27.82,1320.16,42.9,2.81,255.87,0.85,13.54,117.56,29.8,244.73,99.04,21.6,16.56,7.68,35.87,0.07,182.66,1.57,51.68,37.37,66.65,100.36,860.72,2385.44,23.52,813.76,107.14,0.34,2.23,188.76,3.84,51.73,613.01,713.24,645.27,66.9,64.26,1.57,0.04,257.24,15.28,26.5,8.51,30.81,44.01,0.36,70.96,45.45,234.82,5.45,134.68,343.53,0.32,414.13,313.6,0.44,769.62,0.43,9.71,186.18,0.0,707.09,3.23,82.56,226.36,17.18,2.53,176.85,171.4,25.03,206.44,1306.88,11.68,0.01,17.15,11.08,782.43,0.08,9.28,2.29,71586.79,179.34,9.06,395.44,187.97,0.41,38.13,461.99,255.26,24.69,8.13,8.48,742.12,12292.81,155.17,165.71,453.0,131.9,2.81,4.0,66.13,61.16,0.12,306.0,47.92,111.98,0.85,1.31,36.36,11.02,16.36,23.0,0.48,62.16,129.36,58.89,170.09,92.25,29.26,2.89,1.67,2.25,72.99,321.21,0.06,496.56,367.74,2995.59,15.09,1124.9,557.34,0.01,74.66,771.87,1.51,0.66,354.29,649.85,131.31,358.46
2006,810.45,250.53,15.58,0.0,11.11,170.23,44.42,0.03,49.41,27.24,77.88,192.11,38.9,97.36,250.1,285.14,63.48,2.52,0.68,78.46,627.65,1.14,68.19,194.99,0.39,0.7,0.89,22.94,63.94,77.95,13.33,74.97,24176.43,167.91,199.49,768.18,32.02,0.02,62.29,9.02,1.47,4.31,15.21,4.73,90.37,106.24,11.79,0.6,15.09,17.73,247.92,44.56,264.39,65.02,236.5,18.09,1244.39,52.72,2.55,247.71,0.82,13.64,176.26,18.63,227.94,103.66,21.29,16.96,7.96,33.85,0.04,189.16,1.28,50.97,25.19,65.77,112.58,848.75,2266.17,20.04,839.79,102.05,0.31,0.16,174.65,1.83,49.83,490.65,720.96,679.8,63.05,65.42,1.48,0.06,277.3,16.79,26.11,8.15,30.07,39.21,0.32,69.1,54.51,236.72,6.24,100.55,332.27,0.32,338.41,319.1,0.47,710.86,0.43,10.3,191.69,0.0,687.01,3.12,77.04,259.58,17.14,1.14,192.67,169.2,24.08,198.14,1408.88,21.68,0.01,7.21,6.1,830.48,0.08,6.19,2.37,68657.43,251.5,93.58,228.69,160.75,0.36,38.0,453.67,265.52,21.39,13.14,10.04,651.31,10775.71,150.35,171.94,488.99,137.51,3.36,4.11,66.29,62.55,0.13,319.13,32.52,115.61,0.92,1.32,43.37,16.68,23.55,24.26,0.48,63.67,129.32,62.05,169.77,89.02,27.77,2.96,1.65,1.77,71.65,329.62,0.06,502.17,436.08,2513.79,13.84,1101.95,331.73,0.01,74.72,797.69,1.58,0.68,334.49,670.32,137.21,373.63
2007,888.77,273.35,15.14,0.0,11.91,289.24,37.0,0.28,42.57,30.09,67.21,193.97,41.73,100.52,259.53,260.31,74.81,2.9,0.57,80.44,545.23,0.89,67.07,177.06,0.37,0.9,0.86,28.62,63.86,126.49,9.22,95.11,24405.71,151.25,225.73,840.51,32.94,0.02,61.48,8.86,1.47,2.95,12.11,8.12,90.02,120.15,13.25,0.57,15.67,16.63,240.24,48.26,264.56,65.88,190.79,19.45,1291.58,62.71,2.5,247.06,0.79,13.46,164.6,24.09,240.02,107.36,21.27,16.51,7.9,31.3,0.04,148.64,0.71,52.16,23.98,65.34,94.19,881.8,2378.18,15.71,900.2,79.12,1.51,1.19,195.46,5.33,47.7,480.92,682.45,529.63,61.93,68.11,1.72,0.06,203.76,16.1,23.55,8.52,32.76,43.36,0.29,64.11,58.26,250.01,8.41,104.53,314.99,0.29,310.92,335.6,0.48,691.99,0.42,7.51,184.78,0.0,659.78,2.82,73.85,268.89,17.22,6.65,191.5,169.0,22.41,205.69,1441.51,9.42,0.01,8.27,13.01,828.04,0.08,15.52,2.26,67635.984,247.99,23.66,209.98,193.77,0.34,30.55,345.82,282.7,20.23,11.72,13.46,550.33,9566.88,153.42,174.61,493.31,139.49,2.08,4.12,69.06,59.07,0.13,329.25,41.73,120.61,0.92,1.36,41.15,6.47,26.17,25.84,0.45,66.58,145.66,62.21,171.65,87.68,25.28,3.21,1.66,1.65,70.21,330.6,0.06,493.08,410.62,2418.56,14.81,1198.21,275.48,0.01,74.71,841.39,1.57,0.66,386.34,686.03,143.13,371.82
2008,767.79,258.4,14.65,0.0,13.77,196.74,37.12,0.65,39.11,17.54,69.7,183.15,50.08,104.83,256.33,284.9,69.57,3.02,0.62,76.97,390.97,0.94,65.77,156.18,0.37,0.82,0.84,35.85,65.94,104.91,14.51,82.45,24941.19,166.15,240.73,868.74,34.36,0.02,60.07,9.47,1.54,4.05,20.68,5.28,93.94,117.6,12.25,0.58,5.59,18.07,236.7,78.95,267.89,68.93,287.54,8.13,1365.39,60.59,2.41,239.59,0.77,13.65,194.8,22.01,278.23,117.93,22.01,16.49,7.71,22.19,0.05,149.37,1.32,49.96,22.95,61.94,72.47,917.42,2406.02,20.06,861.1,85.71,2.02,1.84,187.85,4.63,49.87,498.24,598.45,600.82,59.74,69.19,1.77,0.05,171.19,17.33,26.8,8.5,38.99,46.88,0.29,60.12,47.46,229.41,6.15,75.97,316.13,0.3,302.84,329.1,0.51,605.89,0.41,14.77,219.17,0.01,688.28,2.69,72.74,300.97,17.15,8.42,192.81,175.58,22.37,221.62,1625.57,18.15,0.01,16.32,11.2,825.64,0.08,18.65,2.12,68081.34,264.36,16.02,169.78,216.28,0.34,28.92,357.64,307.58,13.08,14.5,15.17,564.77,9381.45,149.47,173.83,478.9,141.71,2.32,4.56,72.53,55.49,0.14,360.19,43.03,108.57,0.88,1.22,36.99,9.19,22.32,27.6,0.47,67.98,133.45,65.61,168.5,86.92,23.25,3.33,1.57,1.97,68.48,335.13,0.06,496.86,353.14,2268.31,17.77,1311.47,258.41,0.01,77.58,880.87,1.56,0.67,386.01,765.63,141.24,388.12
2009,793.93,252.21,14.3,0.0,15.68,217.04,22.3,0.59,30.48,17.73,66.33,208.86,39.81,113.0,228.11,292.43,57.0,2.98,0.71,75.09,381.92,1.26,64.86,198.61,0.41,0.58,0.77,39.65,67.65,104.85,7.23,80.77,26117.05,172.49,230.02,877.37,36.16,0.02,38.56,9.32,1.57,4.42,12.05,3.92,90.92,107.71,13.74,0.58,17.59,18.98,231.19,53.94,276.0,71.49,239.5,11.51,1257.72,60.9,2.35,251.27,0.76,14.61,212.53,19.62,257.73,110.45,22.55,17.0,8.49,27.71,0.4,169.98,1.63,49.45,24.16,66.39,73.76,922.72,2305.86,26.23,813.79,88.65,1.99,1.11,189.42,4.02,47.65,512.73,528.17,627.15,53.74,68.56,1.88,0.04,163.09,14.98,26.35,8.42,38.72,50.29,0.29,77.62,46.12,189.43,6.01,81.12,326.3,0.32,301.62,324.13,0.52,539.38,0.42,9.64,205.09,0.01,616.78,2.57,74.32,327.25,17.29,6.49,193.68,180.97,25.82,251.38,1775.27,16.29,0.01,20.35,16.14,866.36,0.08,13.95,1.41,68240.36,270.39,12.21,406.11,173.2,0.34,36.55,358.59,319.12,17.89,12.94,16.21,531.02,8809.12,147.03,166.43,519.84,142.36,0.97,4.43,73.13,60.37,0.13,348.26,51.61,111.03,0.88,1.21,43.7,8.07,25.43,27.35,0.45,68.07,156.34,69.36,164.3,86.84,20.19,3.92,1.32,2.13,69.77,346.7,0.05,539.16,357.65,1743.56,6.2,1327.71,242.76,0.4,76.65,906.88,1.55,0.61,378.87,764.74,145.57,370.0
