Date,AFG,AGO,ALB,AND,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GTM,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NER,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,OWID_WRL,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
2000,4565.7,3659.0,523.0,8.86,1116.77,4227.0,354.0,7.0,1873.0,1006.0,2234.0,1837.0,1698.0,1415.0,3199.47,14907.0,1064.0,96.0,76.31,895.0,1736.0,79.0,1559.0,30183.99,38.95,62.0,87.52,499.02,1154.72,2993.0,610.0,2751.0,277382.0,3267.22,3602.32,19060.85,789.15,1.0,6807.0,109.0,83.0,772.0,1727.0,114.0,1532.0,7737.0,203.99,6.91,513.0,1683.0,6595.0,1481.0,8147.0,516.0,6280.4,246.22,17137.99,411.0,78.0,7880.0,16.0,220.2,4038.0,516.0,4599.0,2223.0,245.0,376.0,127.92,2180.53,4.0,759.0,172.0,1099.06,675.0,1766.0,1310.25,30434.98,178131.97,431.0,17588.0,4183.0,32.34,475.0,7596.0,332.13,707.0,15911.0,2119.0,6454.32,611.0,4799.0,11.0,9.85,12175.0,387.0,1306.0,1013.0,940.0,1900.0,27.0,2458.0,637.93,806.7,78.0,684.01,7114.68,1.0,500.0,4045.0,1.08,14028.01,7.0,167.0,3042.0,20.95,14708.0,95.0,360.0,5922.77,699.75,196.19,2417.0,6222.0,415.45,3847.0,28167.0,717.0,0.0,1202.0,355.0,5759.49,2.0,476.0,510.77,1177421.8,19203.0,441.0,4691.0,6872.0,5.0,1072.85,7157.59,8788.0,1994.0,424.89,104.31,2709.0,44840.0,2167.45,5096.17,6292.13,2154.0,269.04,64.08,1385.51,1735.0,2.97,2703.0,1080.0,1387.0,12.66,96.0,814.61,308.05,599.56,231.14,12.0,2559.0,2811.0,1362.0,33663.26,1245.0,542.0,224.0,8.0,164.13,3229.0,5681.01,1.0,7360.97,5353.0,6534.69,559.0,44243.99,2226.0,5.0,6381.0,28855.99,23.0,23.0,3958.0,17002.59,1825.13,2623.22
2001,4628.63,3973.9,511.0,4.93,1253.31,4332.0,361.0,10.0,1791.0,988.0,2301.0,1905.0,1620.0,1468.0,2937.0,17529.0,1124.0,145.0,74.82,879.0,1716.0,104.0,1603.0,31349.01,24.09,78.0,98.0,477.33,1164.37,2841.0,561.0,2519.0,286025.03,3319.53,3565.9,19211.49,716.7,2.0,6915.0,105.0,89.0,766.0,1590.0,119.0,1374.0,7199.0,214.8,7.0,449.0,1858.0,6930.0,1908.0,8140.0,499.0,5881.82,216.88,16894.0,451.0,65.0,7959.0,16.0,261.9,4043.0,575.0,4721.0,2238.0,240.0,393.0,114.94,2012.0,7.0,637.0,161.0,1128.24,667.0,1863.0,1369.48,31011.0,178818.06,425.0,20338.99,4318.0,27.26,559.0,7623.0,359.74,807.0,15414.0,2391.0,6712.59,703.0,4198.0,11.0,10.0,10175.0,362.0,1328.0,1027.0,895.58,1667.0,22.0,2447.0,591.33,769.09,72.0,602.09,7216.76,1.0,588.0,4072.0,3.05,14016.01,7.0,110.0,3030.0,15.8,14470.0,108.0,375.0,5838.04,741.03,175.92,2548.25,6030.0,387.14,3783.0,28922.0,713.0,0.0,1117.0,291.0,5712.96,2.0,469.0,517.9,1196128.8,19769.07,444.0,4740.0,6966.0,3.0,1192.17,6425.01,8095.21,2224.0,513.0,135.0,2816.0,46149.99,2273.46,5367.0,6526.36,2145.0,243.29,68.08,1361.52,1700.0,4.95,2824.0,1315.0,1476.0,10.96,51.0,809.08,296.97,628.56,283.16,10.0,2606.0,2788.0,1377.0,33299.72,1315.0,586.0,214.0,8.0,193.76,3198.0,5557.0,1.0,7536.83,5185.0,8462.13,518.0,44876.64,2233.0,7.0,7160.0,28735.99,25.0,21.0,4069.0,16459.19,1839.45,2754.51
2002,4839.35,4246.22,494.0,4.94,1321.89,3690.0,328.0,3.0,1768.0,986.0,2344.0,1909.0,1426.0,1529.0,3351.0,20075.01,1031.0,168.0,63.35,863.0,2452.0,102.0,1658.0,33622.0,31.0,60.0,102.0,492.82,1322.74,3012.0,529.0,2506.0,290779.94,3385.82,3642.23,19142.48,723.07,2.0,6695.0,104.0,95.0,767.0,1488.0,120.0,1474.0,7091.0,216.0,3.95,477.0,2180.0,7276.0,1973.0,9019.0,532.0,5626.61,230.0,17317.0,435.0,61.0,7467.0,17.0,276.47,4105.0,531.0,4832.0,2159.0,242.0,409.0,114.87,1813.0,7.0,560.0,158.0,1163.27,646.0,1918.0,1638.35,31557.99,178686.0,390.0,22551.01,4547.0,30.0,541.0,7342.0,394.89,781.0,14503.99,2485.0,6826.73,725.0,4269.0,12.0,10.0,9180.0,358.0,1362.0,1043.0,899.0,2212.0,33.0,2402.0,608.22,781.19,64.0,590.96,7426.34,1.0,559.0,4306.0,1.08,14626.0,8.0,181.0,3094.0,17.52,14647.0,91.0,538.0,5797.03,704.21,229.46,2636.37,6074.0,439.93,3910.0,28348.23,634.0,0.0,1102.0,329.0,5668.68,2.0,448.0,600.63,1218309.4,19849.68,462.0,4698.0,7589.0,3.0,1166.12,6626.38,8774.0,2206.0,394.66,139.0,2495.0,47314.99,2295.32,5697.94,6816.36,2210.1,253.09,72.08,1469.0,1591.0,2.97,2908.0,873.0,1555.0,14.75,71.0,765.0,279.06,563.12,287.69,17.0,2639.0,2837.0,1366.0,32526.02,1366.0,660.0,218.0,9.0,179.67,3133.0,5699.99,1.0,7587.06,5360.0,9204.34,410.0,46764.32,2098.0,5.0,7270.0,28872.0,29.0,21.0,4222.0,18531.59,1999.81,2992.46
2003,5149.99,3993.0,485.0,6.93,1561.67,3571.0,346.0,8.0,1671.0,960.0,2369.0,2003.0,1251.0,1561.0,3434.0,22473.01,990.0,155.0,49.0,847.0,2493.0,90.0,1663.0,33897.01,32.27,36.0,102.0,503.03,1276.67,2863.0,563.0,2853.0,279480.03,3762.11,3663.5,18765.47,743.58,3.0,6087.0,107.0,100.0,706.0,1291.0,120.0,1492.0,6818.0,213.0,2.97,445.0,2443.0,7445.0,2014.0,9918.0,591.0,5649.58,184.6,18020.01,404.0,120.0,5927.99,17.0,295.34,4185.0,591.0,4969.0,2215.0,243.0,418.12,120.77,1755.0,2.0,578.0,177.0,1198.05,727.0,1965.0,1528.49,32106.98,175576.08,347.0,25693.16,5082.0,23.78,465.0,6766.0,372.01,858.0,13526.0,2839.0,6815.28,897.0,4293.0,17.0,12.0,9485.0,397.0,1441.0,1089.0,960.87,2220.0,25.0,2371.0,682.16,804.22,55.0,556.31,7538.0,1.0,569.0,4347.0,3.04,15443.99,8.0,140.0,3101.0,12.97,14785.0,92.0,399.0,5895.66,708.75,193.4,2577.54,6481.0,431.04,3899.0,29036.0,606.0,0.0,1122.0,299.0,5560.15,4.16,490.0,598.68,1218147.1,20387.83,473.0,4614.0,7874.0,8.0,1266.04,6355.42,9020.0,2021.0,513.98,184.0,2522.0,49209.98,2359.65,6104.84,7544.0,2301.0,276.49,74.09,1512.0,1740.0,3.97,3112.0,895.0,1639.0,24.51,85.0,822.03,255.21,546.39,306.73,16.0,2867.0,2815.95,1352.0,32375.34,1402.0,668.0,216.0,9.0,220.4,3273.0,5524.0,2.0,7614.65,5490.0,9584.41,406.0,46514.74,2400.0,11.0,6802.0,28691.0,31.2,21.0,4400.0,19165.8,2120.66,3226.51
2004,5403.3,4090.0,463.0,0.99,1520.7,4084.0,590.0,2.0,1632.0,905.0,2459.0,2075.0,1198.0,1601.0,3505.0,24712.01,1007.0,162.0,60.0,821.0,2069.0,68.0,1688.0,36426.01,45.98,52.0,111.0,526.09,1332.22,2836.0,526.0,2856.0,273248.12,4017.57,3772.76,17965.26,744.78,5.0,6307.0,113.0,103.0,715.0,1286.0,134.04,1425.0,6031.0,205.0,10.0,380.0,2206.46,7686.0,1873.0,8792.99,646.0,5010.16,189.18,17951.0,391.0,102.0,5394.0,5.0,328.47,4006.0,657.0,5109.0,2244.0,247.0,439.0,128.69,1945.0,2.0,599.0,183.0,1245.48,642.0,1764.63,1519.97,32058.33,176179.05,389.0,26898.01,4910.0,24.01,495.0,6312.0,345.22,843.0,12930.0,3786.0,6924.01,899.0,4296.0,17.0,8.87,8470.0,410.0,1519.0,1116.0,906.46,2254.0,30.0,2323.0,712.35,791.07,52.0,521.36,7612.99,1.0,583.0,4438.0,6.0,15629.0,3.0,160.0,3127.0,15.02,14597.0,94.0,526.0,5959.35,743.59,193.42,2569.15,6421.0,437.0,3909.0,28793.0,541.0,0.0,908.0,283.0,5917.32,2.0,457.0,658.57,1217798.4,21635.12,425.0,4689.0,7830.0,0.0,1304.89,6497.75,8882.0,1939.0,572.0,223.0,2608.0,47369.0,2372.41,6141.48,7923.0,2305.0,245.6,76.1,1542.0,1757.0,1.98,3322.0,990.0,1761.0,24.85,126.0,776.99,282.93,507.35,325.2,8.0,2946.0,2902.0,1359.0,32719.95,1449.0,715.0,213.0,10.0,211.37,3030.0,5395.0,2.0,7369.65,5560.0,9722.11,462.0,46423.52,3127.0,8.0,7119.0,29219.01,34.0,27.0,4696.65,19589.68,2070.15,3353.59
2005,5704.07,4102.0,453.0,4.96,1512.23,4527.0,582.0,5.42,1677.0,792.0,2340.0,2126.0,1144.0,1697.0,3512.0,26748.99,987.0,175.0,79.0,779.0,1980.0,106.0,1751.0,37300.0,24.0,59.36,116.0,442.29,1357.41,3039.0,422.0,2869.0,278062.97,4139.86,3911.84,17411.96,760.46,3.0,6212.0,117.0,104.0,675.0,1305.0,115.0,1326.0,5555.0,205.0,0.99,344.0,1402.85,7611.0,2379.0,8535.01,667.0,4639.88,196.84,17915.0,391.0,103.0,5483.0,0.0,270.73,3886.0,599.0,5234.0,2281.0,264.0,445.0,130.65,1841.0,13.0,539.0,182.0,1225.45,616.0,2017.0,1494.3,32947.98,182345.08,412.0,28606.0,5068.0,20.0,462.0,5998.0,333.34,814.0,12040.0,4678.0,7287.92,893.0,4329.0,10.0,11.85,8210.0,465.0,1573.0,1139.0,882.0,2273.0,20.0,2305.0,695.42,844.25,48.0,466.35,7794.0,1.0,540.0,4454.0,20.0,16579.01,2.0,147.0,3067.0,13.64,14247.0,98.0,549.0,5936.01,742.72,144.47,2554.32,6392.0,444.82,3794.0,27605.1,635.0,0.0,842.0,240.0,6495.17,2.0,424.0,711.03,1234334.6,21961.36,439.0,4669.0,8147.99,3.0,1346.4,6144.48,8660.0,1855.0,740.0,283.06,2809.0,45515.99,2358.49,7220.86,8078.95,2336.0,202.63,75.11,1586.0,1479.0,4.97,3357.0,869.0,1922.0,24.36,115.0,739.65,268.61,488.57,323.93,9.0,3029.0,2923.0,1374.0,32808.78,1473.0,728.0,211.0,11.0,225.36,3002.0,5173.0,2.0,8055.05,5637.0,11587.29,424.0,46674.24,3138.0,8.46,6967.0,29045.0,34.0,21.0,4670.0,19013.89,2031.94,3358.19
2006,5953.34,4193.0,445.0,2.97,1506.85,5150.0,342.0,1.98,1648.0,753.0,2261.0,2143.0,1106.0,1703.0,3517.0,26956.0,1135.0,264.0,59.0,749.0,1885.0,87.0,1964.0,36934.0,21.91,50.9,119.0,420.42,1279.86,2962.0,381.0,3055.0,279092.9,4205.43,3956.83,16749.2,783.44,1.0,6490.01,119.0,104.0,780.0,1092.0,89.08,1096.0,5278.0,205.0,5.94,315.0,1445.03,7724.0,2594.0,9432.01,661.0,4245.37,258.1,17221.01,346.0,120.0,4855.0,2.0,292.68,3880.0,696.0,5121.0,2319.0,271.0,453.0,140.46,1775.0,16.0,566.0,207.0,1243.24,633.0,2049.0,1532.4,32682.01,189903.08,376.0,28422.0,5246.0,31.64,427.0,5845.0,382.05,927.0,10981.01,6018.0,7293.18,1051.0,4313.0,17.0,14.0,8139.0,474.0,1584.0,1226.0,850.57,2357.0,9.0,2307.0,673.35,870.07,44.0,432.34,7787.67,1.0,520.0,4492.0,8.0,16768.99,2.0,144.0,3043.0,14.18,14209.0,88.0,554.0,5877.55,732.55,147.43,2515.19,6482.0,482.41,3797.0,27813.0,632.0,0.0,836.0,250.0,6742.51,2.0,421.0,703.27,1244734.8,22901.01,491.0,4665.0,8288.0,1.0,1390.81,5794.94,8679.0,1752.0,900.0,367.0,2764.0,43334.01,2218.6,7166.58,8351.0,2417.0,221.7,78.12,1569.0,1650.0,2.98,3413.0,939.0,2123.0,23.33,110.0,751.75,278.86,495.03,326.65,11.0,3278.0,2969.0,1418.0,32908.22,1495.0,745.0,211.0,11.0,233.98,2996.0,4933.0,2.0,7792.73,5584.0,11578.26,481.0,46553.77,2533.0,14.0,8069.0,29156.99,35.0,21.0,4836.0,20616.5,1992.68,3324.87
2007,5657.48,4284.0,427.0,2.97,1771.22,5596.0,422.0,6.05,1653.0,712.0,2206.0,2121.0,1149.0,1708.0,3572.0,25838.0,1159.0,210.0,63.0,718.0,2136.0,100.0,1746.0,38711.01,27.98,72.47,117.0,489.28,1230.42,2909.0,396.0,2204.0,282827.06,4310.43,4068.54,17176.94,828.32,5.0,6775.0,122.0,99.0,717.0,942.0,105.0,1260.0,5102.0,206.0,6.94,419.0,1968.0,7825.0,2733.0,11113.0,657.0,3912.05,225.97,17245.0,392.0,90.0,4763.01,3.0,300.13,3495.0,760.0,5143.0,2368.0,278.0,460.0,139.03,1776.0,7.0,2752.0,221.0,1228.49,638.0,2076.0,1470.51,31945.99,197124.02,348.0,23628.01,5251.0,15.05,394.0,5468.0,360.34,1023.0,7685.0,6030.0,7590.17,1070.0,4025.0,6.0,9.0,7827.0,498.0,1613.0,1163.0,852.21,2204.0,23.0,2476.0,666.97,851.4,45.74,425.47,7831.42,2.0,607.0,4679.0,12.0,15349.0,3.0,186.0,3118.0,16.17,15718.99,126.0,579.0,5901.0,732.0,154.95,2458.8,6477.0,451.19,3773.0,27532.99,699.0,0.0,816.0,240.0,6809.07,2.0,443.0,823.0,1255096.8,23536.99,458.0,4703.0,9089.0,3.0,1469.45,6283.37,8633.0,1379.0,905.0,301.0,2969.0,44355.0,2115.23,7814.1,8348.0,2455.0,270.24,80.99,1537.0,1572.0,2.98,3245.0,998.0,2347.0,24.68,114.0,671.07,312.46,488.32,337.71,16.0,3782.0,3003.0,1462.0,32302.0,1535.0,781.0,170.0,11.0,241.97,2959.0,5162.0,2.0,7782.18,5852.0,13427.0,479.0,44944.61,2647.0,8.95,9828.0,29373.01,36.0,22.0,5101.0,17350.84,2005.99,3410.31
2008,5575.13,4458.6,407.0,2.98,1848.72,5938.0,494.0,9.56,1513.0,700.0,2217.0,2157.0,1007.0,1752.0,3583.0,25545.0,1159.0,194.0,60.0,684.0,2166.0,106.0,1812.0,39358.99,16.9,46.0,119.0,455.53,1278.22,2666.0,368.0,2388.0,279173.0,4453.89,4233.02,17691.83,849.34,4.0,6890.01,127.0,100.0,751.0,1003.0,95.0,1109.0,4622.0,206.0,3.96,419.0,1904.0,7961.0,2750.0,11725.0,692.0,3115.83,162.59,17438.0,355.0,106.0,4408.0,2.0,315.27,3148.0,894.0,5201.0,2403.0,283.0,468.0,140.28,1694.0,12.0,2329.0,144.0,1275.28,685.0,2104.0,1222.58,31777.01,205912.95,288.0,24086.0,5321.0,13.81,425.0,5033.0,353.69,785.0,6871.99,4500.0,8072.2,1088.0,4141.0,2.0,8.0,7534.0,505.0,1652.0,1109.0,907.0,2404.0,20.85,2400.0,660.51,571.59,36.0,403.3,7904.74,1.0,590.0,4891.0,7.0,17062.0,5.0,167.0,3220.0,17.75,16508.0,115.0,516.0,5917.82,758.41,188.22,2438.32,6729.0,430.77,3905.0,27226.0,689.0,0.0,773.0,263.0,7024.0,2.0,392.0,980.0,1253445.5,24323.0,491.0,4675.0,8915.0,3.0,1566.24,6347.23,8542.0,1280.0,1217.0,329.0,3180.0,40139.0,2008.0,8006.85,8489.0,2487.0,275.61,83.13,1544.0,1451.0,0.99,3351.0,933.0,2583.0,24.69,111.0,780.01,220.06,449.83,336.12,6.0,3971.0,3127.0,1521.0,32042.0,1588.0,782.0,183.0,18.0,289.93,3024.0,4836.0,2.0,7887.4,5999.0,11252.0,531.0,40796.52,2769.0,6.0,10290.0,30158.0,37.0,22.0,5436.0,16874.68,2114.15,3383.59
2009,5616.79,4703.15,398.0,2.98,1604.47,5381.0,484.0,5.38,1549.0,653.0,2227.0,2193.0,1014.0,1814.0,3642.0,25572.01,963.0,206.0,68.0,668.0,1766.0,53.0,1883.0,39349.01,26.0,51.0,123.0,475.0,1254.6,2403.0,360.0,2096.0,280279.9,4577.69,4421.47,17509.99,869.0,4.0,6870.0,133.0,105.0,721.0,968.0,90.78,929.0,4281.0,209.0,5.94,312.0,1924.0,8066.0,3265.0,11696.0,705.0,2672.01,119.88,18273.0,299.0,63.0,4404.99,4.0,327.91,2635.0,764.0,5362.0,2483.0,286.0,473.75,143.08,1619.0,3.82,2243.0,117.0,1349.34,565.0,2104.0,1037.16,32510.03,207612.94,262.0,24630.0,5578.0,18.0,324.0,4566.0,356.73,818.0,6661.0,3970.0,8251.19,1004.0,4300.0,5.0,7.9,7413.0,477.0,1697.0,1086.0,921.0,2372.0,31.74,2488.0,661.54,422.98,48.98,265.79,7980.0,0.0,498.0,5337.0,9.0,17820.0,1.0,165.0,3373.0,17.9,16634.0,101.9,456.0,5985.38,758.0,142.62,2417.41,6954.0,542.75,3908.0,27882.0,805.0,0.0,742.0,219.0,6867.0,2.0,415.0,1856.0,1243819.9,25243.0,447.0,4557.0,9570.99,2.0,1568.41,5102.56,8358.0,1270.0,1197.0,306.0,2884.0,34119.0,2027.0,7676.11,8773.0,2542.0,220.71,86.0,1564.0,1283.0,2.99,3418.48,834.0,2767.77,30.17,122.0,515.96,188.29,389.88,342.9,9.0,3897.0,3239.66,1521.0,31772.0,1636.0,805.0,196.0,11.0,255.0,2728.0,4458.01,2.0,7490.43,6220.0,7689.0,552.0,37191.09,3365.0,8.44,10171.0,30269.0,38.0,55.0,5920.0,16499.0,2248.08,3619.98
