Date,AFG,AGO,ALB,AND,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESH,ESP,EST,ETH,FIN,FJI,FRA,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NER,NGA,NIC,NLD,NOR,NPL,NRU,NZL,OMN,OWID_ABK,OWID_CZS,OWID_GDR,OWID_GFR,OWID_KOS,OWID_SOS,OWID_WRL,OWID_YGS,OWID_YPR,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
1989,17642.0,6590.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3138.0,0.0,0.0,28.0,0.0,1093.0,30.0,0.0,0.0,0.0,0.0,0.0,3.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,7002.0,378.0,0.0,0.0,18909.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,707.0,0.0,0.0,0.0,57.0,0.0,0.0,3067.0,0.0,0.0,50.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,2432.0,0.0,0.0,0.0,0.0,30.0,1314.0,27.0,0.0,0.0,0.0,2137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2107.0,0.0,0.0,4177.0,526.0,0.0,0.0,0.0,390.0,170.0,0.0,533.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107658.0,0.0,0.0,114.0,2234.0,1954.0,1000.0,0.0,0.0,0.0,0.0,0.0,300.0,63.0,0.0,1278.0,0.0,0.0,0.0,4829.0,144.0,0.0,0.0,0.0,4952.0,0.0,9679.0,0.0,4907.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,650.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,538.0,0.0,0.0,0.0,1079.0,0.0,0.0,0.0,97.0,0.0,439.0,0.0,0.0,0.0,0.0,446.0,86.0,37.0
1990,2311.0,4609.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,566.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,147.0,0.0,772.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,30702.0,0.0,0.0,0.0,22117.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,712.0,0.0,0.0,0.0,0.0,0.0,247.0,5627.0,0.0,335.0,2259.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,171.0,784.0,0.0,0.0,0.0,1630.0,249.0,2278.0,4279.0,0.0,0.0,0.0,6112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,729.0,0.0,826.0,0.0,0.0,1825.0,227.0,0.0,0.0,0.0,0.0,603.0,80.0,43.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119942.0,0.0,0.0,382.0,0.0,1276.0,1403.0,0.0,65.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,4363.0,0.0,1171.0,60.0,0.0,0.0,0.0,999.0,0.0,3052.0,0.0,4301.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8666.0,0.0,30.0,0.0,0.0,8.0,0.0,55.0,0.0,611.0,0.0,0.0,0.0,821.0,0.0,0.0,0.0,0.0,0.0,79.0,0.0,0.0,0.0,0.0,2049.0,40.0,14.0
1991,4053.0,688.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,535.0,1851.0,0.0,0.0,0.0,115.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,162.0,0.0,866.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450.0,0.0,0.0,0.0,34.0,0.0,0.0,6042.0,0.0,45.0,0.0,8104.0,0.0,0.0,0.0,0.0,27.0,263.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,439.0,0.0,0.0,4619.0,705.0,0.0,207.0,4315.0,0.0,44.0,31536.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,543.0,0.0,0.0,0.0,926.0,0.0,43.0,575.0,0.0,0.0,0.0,7101.0,0.0,16.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,342.0,0.0,1485.0,0.0,0.0,3057.0,0.0,0.0,0.0,0.0,0.0,150.0,1600.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111157.0,0.0,0.0,27.0,0.0,1991.0,1967.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,3409.0,96.0,459.0,0.0,0.0,0.0,1961.0,93.0,0.0,9496.0,32.0,7206.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,100.0,63.0,2.0,0.0,0.0,441.0,0.0,0.0,0.0,442.0,0.0,0.0,0.0,1018.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,1073.0,0.0,0.0
1992,5550.0,3700.0,0.0,0.0,0.0,29.0,526.0,0.0,0.0,0.0,4485.0,61.0,0.0,0.0,0.0,429.0,0.0,0.0,0.0,29335.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,94.0,0.0,1503.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,757.0,0.0,0.0,0.0,336.0,0.0,0.0,0.0,0.0,0.0,0.0,1124.0,0.0,0.0,1.0,0.0,0.0,1408.0,80.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,421.0,0.0,0.0,315.0,0.0,0.0,0.0,5096.0,0.0,59.0,1428.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,199.0,0.0,209.0,0.0,0.0,0.0,0.0,0.0,129.0,2103.0,0.0,0.0,0.0,4603.0,0.0,0.0,0.0,0.0,0.0,0.0,632.0,0.0,0.0,0.0,0.0,0.0,79.0,0.0,1875.0,0.0,0.0,773.0,40.0,0.0,0.0,0.0,0.0,29.0,3235.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109082.0,0.0,0.0,50.0,0.0,1939.0,454.0,0.0,81.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,1977.0,0.0,4848.0,143.0,0.0,2.0,672.0,0.0,0.0,13398.0,4.0,3866.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1888.0,0.0,0.0,5758.0,0.0,39.0,0.0,0.0,0.0,1866.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,358.0,0.0,0.0,0.0,0.0,878.0,0.0,0.0
1993,8425.0,25270.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,1816.0,32919.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,16474.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,69.0,7028.0,135.0,277.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,886.0,0.0,119.0,0.0,0.0,0.0,0.0,124.0,0.0,0.0,0.0,0.0,32.0,2835.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,379.0,0.0,0.0,507.0,137.0,0.0,0.0,3693.0,0.0,245.0,577.0,0.0,18.0,1.0,0.0,0.0,0.0,0.0,279.0,0.0,797.0,0.0,0.0,0.0,0.0,0.0,212.0,2888.0,0.0,0.0,0.0,2347.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132586.0,0.0,0.0,35.0,0.0,1041.0,350.0,0.0,62.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,147.0,4534.0,0.0,228.0,302.0,0.0,0.0,1319.0,0.0,0.0,543.0,0.0,6930.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,58.0,0.0,1216.0,0.0,0.0,0.0,0.0,0.0,3942.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,92.0,0.0,0.0,0.0,0.0,1204.0,1.0,0.0
1994,12073.0,11583.0,0.0,0.0,0.0,86.0,30.0,0.0,0.0,0.0,3907.0,3009.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,8419.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,89.0,4382.0,0.0,1373.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,2079.0,0.0,157.0,0.0,0.0,0.0,0.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,10024.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289.0,0.0,0.0,3.0,463.0,0.0,0.0,1708.0,0.0,0.0,1310.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,1293.0,0.0,0.0,0.0,0.0,0.0,170.0,5083.0,0.0,0.0,0.0,855.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,445.0,0.0,0.0,1570.0,0.0,1217.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,3.0,90.0,142.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1701119.0,0.0,0.0,161.0,0.0,325.0,286.0,0.0,26.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,708.0,1612613.0,0.0,547.0,0.0,0.0,0.0,2798.0,0.0,0.0,1051.0,0.0,491.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,690.0,0.0,0.0,645.0,0.0,0.0,0.0,0.0,0.0,4266.0,0.0,0.0,0.0,226.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,3253.0,640.0,0.0,0.0
1995,6869.0,1097.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,4127.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19758.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,205.0,0.0,581.0,0.0,928.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,6131.0,41.0,255.0,0.0,0.0,0.0,0.0,1406.0,0.0,0.0,0.0,0.0,0.0,58.0,172.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0,0.0,0.0,2365.0,0.0,0.0,11.0,1336.0,0.0,0.0,2254.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,1134.0,0.0,0.0,0.0,0.0,0.0,130.0,2324.0,24.0,0.0,0.0,5279.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,89524.0,0.0,0.0,117.0,0.0,440.0,214.0,0.0,31.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,6363.0,8979.0,0.0,288.0,303.0,0.0,0.0,4689.0,0.0,0.0,896.0,0.0,2225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,2.0,524.0,0.0,33.0,0.0,0.0,0.0,4439.0,0.0,0.0,0.0,578.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,175.0,0.0,0.0
1996,4035.0,256.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21440.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,48803.0,0.0,1439.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1507.0,0.0,167.0,0.0,0.0,0.0,0.0,183.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2056.0,0.0,52.0,1227.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,145.0,0.0,1060.0,0.0,0.0,0.0,1.0,0.0,203.0,4069.0,0.0,0.0,0.0,4481.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,629.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112802.0,0.0,0.0,47.0,0.0,80.0,184.0,0.0,111.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,4081.0,1198.0,0.0,403.0,0.0,0.0,0.0,1323.0,0.0,0.0,1492.0,0.0,2374.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,2869.0,0.0,0.0,0.0,0.0,0.0,3855.0,0.0,0.0,0.0,2197.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,287.0,0.0,0.0
1997,8604.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,5867.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42414.0,21242.0,1030.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3428.0,0.0,162.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,374.0,1724.0,0.0,40.0,2762.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.0,0.0,649.0,0.0,0.0,0.0,0.0,0.0,96.0,0.0,0.0,0.0,0.0,3959.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,22.0,0.0,850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,562.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122230.0,0.0,0.0,120.0,0.0,99.0,380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9277.0,0.0,2788.0,362.0,0.0,0.0,2354.0,0.0,0.0,389.0,0.0,7092.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.0,0.0,3.0,87.0,0.0,112.0,0.0,0.0,0.0,2700.0,0.0,0.0,3.0,1643.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998,15180.0,2476.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,2274.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,60.0,16648.0,5132.0,2290.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4437.0,0.0,29.0,10.0,0.0,0.0,0.0,2851.0,0.0,0.0,0.0,0.0,29.0,38.0,0.0,12.0,0.0,702.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,1738.0,0.0,0.0,177.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,458.0,0.0,397.0,0.0,0.0,0.0,0.0,0.0,89.0,0.0,0.0,0.0,0.0,4481.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,598.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.0,404.0,0.0,0.0,0.0,408.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2754.0,0.0,86003.0,0.0,0.0,166.0,0.0,25.0,123.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2635.0,0.0,2772.0,346.0,0.0,0.0,6106.0,0.0,0.0,359.0,16.0,4644.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179.0,0.0,33.0,617.0,0.0,110.0,0.0,0.0,0.0,2052.0,0.0,0.0,0.0,1461.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,124.0,0.0,0.0
