Date,AFG,AGO,ALB,AND,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESH,ESP,EST,ETH,FIN,FJI,FRA,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NER,NGA,NIC,NLD,NOR,NPL,NRU,NZL,OMN,OWID_ABK,OWID_CZS,OWID_GDR,OWID_GFR,OWID_KOS,OWID_SOS,OWID_WRL,OWID_YGS,OWID_YPR,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
1989,2141.0,2873.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,931.0,0.0,0.0,28.0,0.0,379.0,29.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6602.0,207.0,0.0,0.0,18767.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,0.0,0.0,0.0,21.0,0.0,0.0,1794.0,0.0,0.0,50.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,812.0,0.0,0.0,0.0,0.0,30.0,953.0,27.0,0.0,0.0,0.0,1271.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,732.0,0.0,0.0,1547.0,121.0,0.0,0.0,0.0,360.0,170.0,0.0,526.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60645.0,0.0,0.0,112.0,769.0,1900.0,916.0,0.0,0.0,0.0,0.0,0.0,17.0,59.0,0.0,448.0,0.0,0.0,0.0,3609.0,126.0,0.0,0.0,0.0,4924.0,0.0,1061.0,0.0,3907.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,50.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,538.0,0.0,0.0,0.0,1048.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,281.0,86.0,37.0
1990,1359.0,2608.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,83.0,0.0,0.0,0.0,0.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,20.0,0.0,680.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,30702.0,0.0,0.0,0.0,19154.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.0,0.0,0.0,0.0,0.0,0.0,141.0,4728.0,0.0,31.0,117.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,171.0,371.0,0.0,0.0,0.0,1329.0,45.0,1486.0,3729.0,0.0,0.0,0.0,4794.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,582.0,0.0,638.0,0.0,0.0,509.0,27.0,0.0,0.0,0.0,0.0,63.0,80.0,39.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91095.0,0.0,0.0,379.0,0.0,1222.0,1347.0,0.0,55.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,2619.0,0.0,1063.0,60.0,0.0,0.0,0.0,849.0,0.0,1631.0,0.0,4272.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,686.0,0.0,19.0,0.0,0.0,8.0,0.0,32.0,0.0,600.0,0.0,0.0,0.0,809.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,1437.0,40.0,14.0
1991,3407.0,497.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,258.0,342.0,0.0,0.0,0.0,91.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,32.0,0.0,831.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,0.0,0.0,0.0,34.0,0.0,0.0,6039.0,0.0,45.0,0.0,6388.0,0.0,0.0,0.0,0.0,26.0,139.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,0.0,0.0,3074.0,162.0,0.0,131.0,3680.0,0.0,44.0,24496.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312.0,0.0,0.0,0.0,417.0,0.0,40.0,574.0,0.0,0.0,0.0,6646.0,0.0,15.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179.0,0.0,1306.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,40.0,330.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81036.0,0.0,0.0,27.0,0.0,1334.0,1545.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,1082.0,96.0,359.0,0.0,0.0,0.0,1221.0,88.0,0.0,7630.0,28.0,4206.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,95.0,61.0,2.0,0.0,0.0,110.0,0.0,0.0,0.0,437.0,0.0,0.0,0.0,1018.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,692.0,0.0,0.0
1992,4349.0,2323.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,2766.0,61.0,0.0,0.0,0.0,230.0,0.0,0.0,0.0,23842.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,50.0,0.0,1479.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,257.0,0.0,0.0,0.0,0.0,0.0,0.0,1014.0,0.0,0.0,0.0,0.0,0.0,771.0,63.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,291.0,0.0,0.0,0.0,4089.0,0.0,59.0,843.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,151.0,0.0,191.0,0.0,0.0,0.0,0.0,0.0,119.0,447.0,0.0,0.0,0.0,4441.0,0.0,0.0,0.0,0.0,0.0,0.0,316.0,0.0,0.0,0.0,0.0,0.0,77.0,0.0,1660.0,0.0,0.0,521.0,0.0,0.0,0.0,0.0,0.0,29.0,711.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71165.0,0.0,0.0,50.0,0.0,1181.0,430.0,0.0,60.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,647.0,0.0,968.0,127.0,0.0,2.0,518.0,0.0,0.0,4729.0,0.0,3146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1090.0,0.0,0.0,3856.0,0.0,39.0,0.0,0.0,0.0,1842.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,223.0,0.0,0.0,0.0,0.0,706.0,0.0,0.0
1993,4089.0,12397.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,984.0,9693.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,12966.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,32.0,569.0,135.0,267.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,826.0,0.0,103.0,0.0,0.0,0.0,0.0,124.0,0.0,0.0,0.0,0.0,32.0,1837.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,0.0,0.0,373.0,37.0,0.0,0.0,2252.0,0.0,173.0,335.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,248.0,0.0,481.0,0.0,0.0,0.0,0.0,0.0,141.0,2664.0,0.0,0.0,0.0,2075.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69195.0,0.0,0.0,33.0,0.0,779.0,296.0,0.0,34.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,145.0,977.0,0.0,148.0,282.0,0.0,0.0,639.0,0.0,0.0,471.0,0.0,5877.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,313.0,19.0,0.0,1045.0,0.0,0.0,0.0,0.0,0.0,2733.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,889.0,1.0,0.0
1994,9005.0,3959.0,0.0,0.0,0.0,86.0,30.0,0.0,0.0,0.0,1227.0,686.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,6714.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,85.0,308.0,0.0,1162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,1916.0,0.0,145.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,1004.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,3.0,44.0,0.0,0.0,1378.0,0.0,0.0,993.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,506.0,0.0,0.0,0.0,0.0,0.0,120.0,4154.0,0.0,0.0,0.0,711.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.0,0.0,0.0,709.0,0.0,748.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,50.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,395809.0,0.0,0.0,161.0,0.0,325.0,265.0,0.0,26.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,473.0,347564.0,0.0,467.0,0.0,0.0,0.0,2070.0,0.0,0.0,623.0,0.0,491.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,386.0,0.0,0.0,356.0,0.0,0.0,0.0,0.0,0.0,4159.0,0.0,0.0,0.0,149.0,0.0,0.0,0.0,0.0,0.0,164.0,0.0,0.0,0.0,1283.0,509.0,0.0,0.0
1995,5610.0,212.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,2487.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16888.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,37.0,0.0,514.0,0.0,922.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,3011.0,11.0,227.0,0.0,0.0,0.0,0.0,1005.0,0.0,0.0,0.0,0.0,0.0,52.0,155.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,477.0,0.0,0.0,11.0,1009.0,0.0,0.0,1405.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,713.0,0.0,0.0,0.0,0.0,0.0,106.0,2285.0,24.0,0.0,0.0,4945.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1432.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58787.0,0.0,0.0,111.0,0.0,259.0,177.0,0.0,29.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,1891.0,2174.0,0.0,332.0,299.0,0.0,0.0,3194.0,0.0,0.0,436.0,0.0,1162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,2.0,362.0,0.0,27.0,0.0,0.0,0.0,3735.0,0.0,0.0,0.0,531.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,143.0,0.0,0.0
1996,3348.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10327.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,32024.0,0.0,1372.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1078.0,0.0,149.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1244.0,0.0,42.0,852.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,145.0,0.0,841.0,0.0,0.0,0.0,1.0,0.0,193.0,1416.0,0.0,0.0,0.0,4097.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,581.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75210.0,0.0,0.0,47.0,0.0,80.0,180.0,0.0,98.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,2746.0,831.0,0.0,340.0,0.0,0.0,0.0,920.0,0.0,0.0,937.0,0.0,2374.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,7.0,2790.0,0.0,0.0,0.0,0.0,0.0,3753.0,0.0,0.0,0.0,1771.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,155.0,0.0,0.0
1997,4567.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,3778.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13478.0,10426.0,848.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1813.0,0.0,143.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,361.0,1364.0,0.0,37.0,1608.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.0,0.0,415.0,0.0,0.0,0.0,0.0,0.0,88.0,0.0,0.0,0.0,0.0,2880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,22.0,0.0,781.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,562.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61799.0,0.0,0.0,120.0,0.0,93.0,262.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6758.0,0.0,1230.0,358.0,0.0,0.0,1217.0,0.0,0.0,268.0,0.0,3432.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.0,0.0,3.0,87.0,0.0,80.0,0.0,0.0,0.0,2584.0,0.0,0.0,3.0,1352.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998,10000.0,1158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,1596.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,51.0,6900.0,3763.0,1594.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3281.0,0.0,27.0,10.0,0.0,0.0,0.0,445.0,0.0,0.0,0.0,0.0,29.0,38.0,0.0,12.0,0.0,501.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1486.0,0.0,0.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,321.0,0.0,236.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0,3823.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,559.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0,323.0,0.0,0.0,0.0,224.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,848.0,0.0,55533.0,0.0,0.0,130.0,0.0,25.0,123.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1772.0,0.0,2053.0,336.0,0.0,0.0,5139.0,0.0,0.0,286.0,12.0,3687.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179.0,0.0,33.0,600.0,0.0,55.0,0.0,0.0,0.0,2049.0,0.0,0.0,0.0,1184.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0
