Date,ABW,AFG,AGO,ALB,AND,ANT,ARG,ARM,ASM,AUS,AUT,AZE,BDI,BEL,BEN,BES,BFA,BGD,BGR,BHR,BHS,BIH,BLM,BLR,BLZ,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CUW,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESH,ESP,EST,ETH,FIN,FJI,FLK,FRA,FRO,FSM,GAB,GBR,GEO,GHA,GIB,GIN,GLP,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUF,GUM,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAF,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MLI,MLT,MMR,MNE,MNG,MNP,MOZ,MRT,MSR,MTQ,MUS,MWI,MYS,MYT,NAM,NCL,NER,NFK,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,OWID_CIS,OWID_CZS,OWID_ERE,OWID_MNS,OWID_PYA,OWID_SRM,OWID_USS,OWID_WRL,OWID_YGS,PAK,PAN,PER,PHL,PNG,POL,PRI,PRK,PRT,PRY,PYF,QAT,REU,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SHN,SLB,SLE,SLV,SMR,SOM,SPM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKL,TKM,TLS,TON,TTO,TUN,TUR,TUV,TZA,UGA,UKR,URY,USA,UZB,VAT,VCT,VEN,VIR,VNM,WLF,WSM,YEM,ZAF,ZMB,ZWE
1990,420.0,1208440.0,78302216.0,711683.7,16000.0,2350.0,34438000.0,,18070.0,132859300.0,2036270.0,,115100.0,,4822150.0,,7702600.0,1845160.0,2295000.0,0.0,509860.0,,,,1597970.0,57784720.0,585339900.0,6300.0,412330.0,2487400.0,18803700.0,23201000.0,343654700.0,971200.0,13599750.0,112988600.0,7844160.0,22481900.0,150573500.0,22255500.0,14400.0,64861140.0,42550.0,13680.0,2880800.0,1711000.0,,13130.0,136765.39,,5650000.0,5600.0,49500.0,139526.0,1573880.0,1334000.0,14587770.0,0.0,,665100.0,11959470.0,,,17484952.0,854920.0,0.0,12908000.0,0.0,,23731620.0,344000.0,,9874260.0,0.0,7236000.0,74080.0,412880.0,2233120.0,2699160.0,3180792.8,17490.0,0.0,4757200.0,8124300.0,24000.0,18602150.0,6987780.0,,370920.0,1252595.4,118399500.0,58223000.0,81248.59,8560390.0,743230.0,10510.0,66000.0,7061000.0,512490.0,50600.0,14663000.0,,3705750.0,,10937500.0,4641810.0,0.0,16237000.0,138580.0,8524040.0,0.0,18120.0,6300.0,2093500.0,25850.0,,,,,5166890.0,0.0,,13462450.0,820.0,70552216.0,,13291000.0,350.0,39187780.0,,14347600.0,,43340000.0,465970.0,3500.0,45400.0,23820.0,3362600.0,18683820.0,18930.0,8769170.0,822090.0,1897000.0,440.0,26260830.0,6399030.0,18920.0,49950.0,11987000.0,5584080.0,0.0,7841160.0,2000.0,130.0,1194760.0,20058950.0,40519810.0,376920.0,,827236860.0,4056430000.0,7844880.0,4732890.0,4596350.0,76185540.0,7488190.0,36338930.0,2054000.0,320330.0,5782030.0,1326000.0,25535620.0,140000.0,0.0,77250.0,5843000.0,,204000.0,977000.0,,9271160.0,14826.899,2000.0,2503870.0,3120020.0,708960.0,1000.0,8279500.0,1900.0,,,58620.0,15364630.0,,,19974000.0,297370.0,,28800.0,223280.0,10520.0,6719200.0,1340990.0,17641000.0,,0.0,,963100.0,7950.0,158680.0,491059.22,19237500.0,1000.0,56836970.0,3405500.0,,597000.0,284512000.0,,0.0,27500.0,51600012.0,24540.0,8630960.0,5590.0,170990.0,549000.0,14998470.0,47355000.0,18672680.0
1991,420.0,1208440.0,78148690.0,711683.7,16000.0,2350.0,34224400.0,,18036.0,132606310.0,2048086.9,,111687.0,,4751850.0,,7647160.0,1845159.8,2309700.0,0.0,509860.0,,,,1583886.0,57512884.0,581549600.0,6300.0,410666.0,2497307.0,18685400.0,23171000.0,343130800.0,976528.0,13593667.0,113906770.0,7567794.0,22391350.0,149900370.0,22243500.0,14407.0,64632010.0,42222.0,13680.0,2873782.0,1749200.0,,13110.0,137493.81,,5652700.0,5600.0,49256.0,139526.0,1609435.0,1324000.0,14495028.0,0.0,,665521.0,12233782.0,,,17466566.0,857527.0,0.0,12987400.0,0.0,43660.0,23725458.0,344000.0,,9766695.0,0.0,7200800.0,73990.0,407147.0,2224659.0,2678302.0,3209883.5,17490.0,0.0,4698700.0,8119744.0,24000.0,18598358.0,6966829.0,,369893.0,1252595.4,116302760.0,58223000.0,81268.0,8585350.0,744326.0,10553.0,65900.0,7132274.0,512520.03,50600.0,14651200.0,,3716015.0,,10911859.0,4617997.0,0.0,16197800.0,138480.0,8492919.0,0.0,18094.0,6280.0,2077408.9,25850.0,,,,,5166425.0,0.0,,13392072.0,820.0,70331160.0,6270.0,13286000.0,350.0,38752744.0,,14338327.0,33445.0,43121000.0,459412.0,3400.0,45475.0,23820.0,3322710.0,18621820.0,18574.0,8698161.0,822682.0,1832810.0,440.0,26099158.0,6298833.0,18910.0,49549.0,11987000.0,5589981.0,0.0,7839576.0,2000.0,130.0,1194641.0,19981690.0,40510944.0,376390.0,,827015800.0,4044585000.0,7867261.0,4685337.0,4577649.0,76025256.0,7438238.0,36326756.0,2054000.0,331212.0,5743773.0,1294700.0,25278172.0,140000.0,0.0,77552.0,5842500.0,,199650.0,977000.0,,9226160.0,15045.6,2000.0,2503979.0,3100176.0,704204.0,1000.0,8202750.0,1877.0,,,58594.0,15360839.0,,,19761100.0,300646.0,,28800.0,226880.0,10520.0,6681200.0,1330337.4,17578000.0,,0.0,,961700.0,7950.0,158407.0,491018.3,19273016.0,1000.0,56464970.0,3354408.0,,611300.0,284158400.0,,0.0,27593.0,51281150.0,24133.0,8754317.0,5575.0,170512.0,549000.0,14962070.0,47319400.0,18630010.0
1992,420.0,1208440.0,77995150.0,711683.7,16000.0,2350.0,34010800.0,321200.0,18002.0,132353310.0,2059904.0,657732.0,108274.0,,4681550.0,,7591720.0,1845159.5,2324400.0,0.0,509860.0,2041190.0,,6543627.5,1569802.0,57241044.0,577759170.0,6300.0,409002.0,2507214.0,18567100.0,23141000.0,342606900.0,981856.0,13587584.0,114824936.0,7291428.0,22300798.0,149227260.0,22231500.0,14414.0,64402870.0,41894.0,13680.0,2866764.0,1787400.0,,13090.0,138222.2,,5655400.0,5600.0,49012.0,139526.0,1644990.0,1314000.0,14402286.0,0.0,,665942.0,12508094.0,2016744.0,,17448182.0,860134.0,0.0,13066800.0,0.0,43990.0,23719296.0,344000.0,2698823.0,9659130.0,0.0,7165600.0,73900.0,401414.0,2216198.0,2657444.0,3238974.5,17490.0,0.0,4640200.0,8115188.0,24000.0,18594564.0,6945878.0,1766832.0,368866.0,1252595.4,114206010.0,58223000.0,81287.4,8610310.0,745422.0,10596.0,65800.0,7203548.0,512550.0,50600.0,14639400.0,2641802.5,3726280.0,984974.7,10886218.0,4594184.0,0.0,16158600.0,138380.0,8461798.0,0.0,18068.0,6260.0,2061318.1,25850.0,1537974.0,,2870660.0,,5165960.0,0.0,181080.0,13321694.0,820.0,70110100.0,6270.0,13281000.0,350.0,38317704.0,,14329054.0,33280.0,42902000.0,452854.0,3300.0,45550.0,23820.0,3282820.0,18559822.0,18218.0,8627152.0,823274.0,1768620.0,440.0,25937486.0,6198635.5,18900.0,49148.0,11987000.0,5595882.0,0.0,7837992.0,2000.0,130.0,1194522.0,19904430.0,40502084.0,375860.0,2921400.0,,4032656600.0,,4637784.0,4558948.0,75864980.0,7388286.0,36314584.0,2054000.0,342094.0,5705516.0,1263400.0,25020722.0,140000.0,0.0,77854.0,5842000.0,795820540.0,195300.0,977000.0,,9181160.0,15264.2,2000.0,2504088.0,3080332.0,699448.0,1000.0,8126000.0,1854.0,,,58568.0,15357048.0,,1160220.0,19548200.0,303922.0,,28800.0,230480.0,10520.0,6643200.0,1319684.9,17515000.0,295681.62,0.0,4127000.0,960300.0,7950.0,158134.0,490977.38,19308530.0,1000.0,56092970.0,3303316.0,4728600.0,625600.0,283804800.0,1368291.6,0.0,27686.0,50962296.0,23726.0,8877674.0,5560.0,170034.0,549000.0,14925670.0,47283800.0,18587340.0
1993,420.0,1208440.0,77841620.0,711683.7,16000.0,2350.0,33797200.0,321300.0,17968.0,132100330.0,2071721.0,660663.0,104861.0,,4611250.0,,7536280.0,1845159.4,2339100.0,0.0,509860.0,2041190.0,,6527223.5,1555718.0,56969204.0,573968900.0,6300.0,407338.0,2517121.0,18448800.0,23111000.0,342083040.0,987184.0,13581501.0,115743110.0,7015062.0,22210246.0,148554140.0,22219500.0,14421.0,64173740.0,41566.0,13680.0,2859746.0,1825600.0,,13070.0,138950.5,35921.0,5658100.0,5600.0,48768.0,139526.0,1680545.0,1304000.0,14309544.0,0.0,1127280.0,666363.0,12782406.0,2019751.0,18699890.0,17429794.0,862741.0,0.0,13146200.0,0.0,44320.0,23713134.0,344000.0,2699057.0,9551565.0,0.0,7130400.0,73810.0,395681.0,2207737.0,2636586.0,3268065.2,17490.0,0.0,4581700.0,8110632.0,24000.0,18590772.0,6924927.0,1771403.0,367839.0,1252595.4,112109256.0,58223000.0,81306.805,8635270.0,746518.0,10639.0,65700.0,7274822.0,512580.03,50600.0,14627600.0,2640094.8,3736545.0,988800.3,10860577.0,4570371.0,0.0,16119400.0,138280.0,8430677.0,0.0,18042.0,6240.0,2045227.0,25850.0,1539950.4,,2876690.0,,5165495.0,0.0,182120.0,13251316.0,820.0,69889030.0,6270.0,13276000.0,350.0,37882664.0,,14319781.0,33115.0,42683000.0,446296.0,3200.0,45625.0,23820.0,3242930.0,18497822.0,17862.0,8556145.0,823866.0,1704430.0,440.0,25775814.0,6098438.5,18890.0,48747.0,11987000.0,5601783.0,0.0,7836408.0,2000.0,130.0,,,40493220.0,375330.0,2936100.0,,4020728600.0,,4590231.0,4540247.0,75704700.0,7338334.0,36302416.0,2054000.0,352976.0,5667259.0,1232100.0,24763274.0,140000.0,0.0,78156.0,5841500.0,795581500.0,190950.0,977000.0,,9136160.0,15482.899,2000.0,2504197.0,3060488.0,694692.0,1000.0,8049250.0,1831.0,,,58542.0,15353257.0,1158482.0,1163330.0,19335300.0,307198.0,,28800.0,234080.0,10520.0,6605200.0,1309032.2,17452000.0,295826.38,0.0,4127000.0,958900.0,7950.0,157861.0,490936.5,19344044.0,1000.0,55720970.0,3252224.0,4739400.0,639900.0,283451200.0,1374308.1,0.0,27779.0,50643436.0,23319.0,9001031.0,5545.0,169556.0,549000.0,14889270.0,47248200.0,18544670.0
1994,420.0,1208440.0,77688090.0,711683.7,16000.0,2350.0,33583600.0,321400.0,17934.0,131847340.0,2083538.1,663594.0,101448.0,,4540950.0,,7480840.0,1845159.1,2353800.0,0.0,509860.0,2041190.0,,6510820.5,1541634.0,56697364.0,570178500.0,6300.0,405674.0,2527028.0,18330500.0,23081000.0,341559170.0,992512.0,13575418.0,116661270.0,6738696.0,22119696.0,147881010.0,22207500.0,14428.0,63944604.0,41238.0,13680.0,2852728.0,1863800.0,,13050.0,139678.89,37538.0,5660800.0,5600.0,48524.0,139526.0,1716100.0,1294000.0,14216802.0,0.0,1123020.0,666784.0,13056718.0,2022758.0,18626890.0,17411410.0,865348.0,0.0,13225600.0,0.0,44650.0,23706972.0,344000.0,2699291.0,9444000.0,0.0,7095200.0,73720.0,389948.0,2199276.0,2615728.0,3297156.2,17490.0,0.0,4523200.0,8106076.0,24000.0,18586978.0,6903976.0,1775974.0,366812.0,1252595.4,110012504.0,58223000.0,81326.2,8660230.0,747614.0,10682.0,65600.0,7346096.0,512610.0,50600.0,14615800.0,2638387.0,3746810.0,992626.0,10834936.0,4546558.0,0.0,16080200.0,138180.0,8399556.0,0.0,18016.0,6220.0,2029136.0,25850.0,1541926.5,,2882720.0,,5165030.0,0.0,183160.0,13180938.0,820.0,69667970.0,6270.0,13271000.0,350.0,37447624.0,,14310508.0,32950.0,42464000.0,439738.0,3100.0,45700.0,23820.0,3203040.0,18435824.0,17506.0,8485136.0,824458.0,1640240.0,440.0,25614142.0,5998241.5,18880.0,48346.0,11987000.0,5607684.0,0.0,7834824.0,2000.0,130.0,,,40484356.0,374800.0,2950800.0,,4008800300.0,,4542678.0,4521546.0,75544424.0,7288382.0,36290250.0,2054000.0,363858.0,5629002.0,1200800.0,24505824.0,140000.0,0.0,78458.0,5841000.0,795342460.0,186600.0,977000.0,,9091160.0,15701.5,2000.0,2504306.0,3040644.0,689936.0,1000.0,7972500.0,1808.0,,,58516.0,15349466.0,1156746.0,1166440.0,19122400.0,310474.0,,28800.0,237680.0,10520.0,6567200.0,1298379.6,17389000.0,295971.2,0.0,4127000.0,957500.0,7950.0,157588.0,490895.5,19379560.0,1000.0,55348970.0,3201132.0,4750200.0,654200.0,283097600.0,1380324.6,0.0,27872.0,50324584.0,22912.0,9124388.0,5530.0,169078.0,549000.0,14852870.0,47212600.0,18502000.0
1995,420.0,1208440.0,77534540.0,711683.7,16000.0,2350.0,33370000.0,321500.0,17900.0,131594344.0,2095355.0,666525.0,98035.0,,4470650.0,,7425400.0,1845159.0,2368500.0,0.0,509860.0,2041190.0,,6494417.0,1527550.0,56425524.0,566388100.0,6300.0,404010.0,2536935.0,18212200.0,23051000.0,341035300.0,997840.0,13569335.0,117579450.0,6462330.0,22029144.0,147207900.0,22195500.0,14435.0,63715468.0,40910.0,13680.0,2845710.0,1902000.0,,13030.0,140407.3,39155.0,5663500.0,5600.0,48280.0,139526.0,1751655.0,1284000.0,14124060.0,0.0,1118760.0,667205.0,13331030.0,2025765.0,18553890.0,17393026.0,867955.0,0.0,13305000.0,0.0,44980.0,23700810.0,344000.0,2699525.0,9336435.0,0.0,7060000.0,73630.0,384215.0,2190815.0,2594870.0,3326247.0,17490.0,0.0,4464700.0,8101520.0,24000.0,18583186.0,6883025.0,1780545.0,365785.0,1252595.4,107915760.0,58223000.0,81345.59,8685190.0,748710.0,10725.0,65500.0,7417370.0,512640.0,50600.0,14604000.0,2636679.2,3757075.0,996451.75,10809295.0,4522745.0,0.0,16041000.0,138080.0,8368434.5,0.0,17990.0,6200.0,2013045.0,25850.0,1543902.8,,2888750.0,,5164565.0,0.0,184200.0,13110560.0,820.0,69446904.0,6270.0,13266000.0,350.0,37012584.0,,14301235.0,32785.0,42245000.0,433180.0,3000.0,45775.0,23820.0,3163150.0,18373824.0,17150.0,8414127.0,825050.0,1576050.0,440.0,25452470.0,5898044.5,18870.0,47945.0,11987000.0,5613585.0,0.0,7833240.0,2000.0,130.0,,,40475492.0,374270.0,2965500.0,,3996872000.0,,4495125.0,4502845.0,75384140.0,7238430.0,36278076.0,2054000.0,374740.0,5590745.0,1169500.0,24248376.0,140000.0,0.0,78760.0,5840500.0,795103360.0,182250.0,977000.0,,9046160.0,15920.2,2000.0,2504415.0,3020800.0,685180.0,1000.0,7895750.0,1785.0,,,58490.0,15345675.0,1155010.0,1169550.0,18909500.0,313750.0,,28800.0,241280.0,10520.0,6529200.0,1287727.0,17326000.0,296116.0,0.0,4127000.0,956100.0,7950.0,157315.0,490854.62,19415074.0,1000.0,54976970.0,3150040.0,4761000.0,668500.0,282744000.0,1386341.1,0.0,27965.0,50005730.0,22505.0,9247745.0,5515.0,168600.0,549000.0,14816470.0,47177000.0,18459330.0
1996,420.0,1208440.0,77381016.0,711683.7,16000.0,2350.0,33156398.0,321600.0,17866.0,131341360.0,2107172.0,669456.0,94622.0,,4400350.0,,7369960.0,1845158.9,2383200.0,0.0,509860.0,2041190.0,,6478013.5,1513466.0,56153690.0,562597800.0,6300.0,402346.0,2546842.0,18093900.0,23021000.0,340511360.0,1003168.0,13563252.0,118497620.0,6185964.0,21938594.0,146534780.0,22183500.0,14442.0,63486336.0,40582.0,13680.0,2838692.0,1940200.0,,13010.0,141135.61,40772.0,5666200.0,5600.0,48036.0,139526.0,1787210.0,1274000.0,14031318.0,0.0,1114500.0,667626.0,13605342.0,2028772.0,18480890.0,17374640.0,870562.0,0.0,13384400.0,0.0,45310.0,23694648.0,344000.0,2699759.0,9228870.0,0.0,7024800.0,73540.0,378482.0,2182354.0,2574012.0,3355338.0,17490.0,0.0,4406200.0,8096964.0,24000.0,18579392.0,6862074.0,1785116.0,364758.0,1252595.4,105819010.0,58223000.0,81365.0,8710150.0,749806.0,10768.0,65400.0,7488644.0,512669.97,50600.0,14592200.0,2634971.8,3767340.0,1000277.3,10783654.0,4498932.0,0.0,16001800.0,137980.0,8337314.5,0.0,17964.0,6180.0,1996954.0,25850.0,1545879.0,,2894780.0,,5164100.0,0.0,185240.0,13040182.0,820.0,69225840.0,6270.0,13261000.0,350.0,36577548.0,,14291962.0,32619.998,42026000.0,426622.0,2900.0,45850.0,23820.0,3123260.0,18311826.0,16794.0,8343118.0,825642.0,1511860.0,440.0,25290798.0,5797847.0,18860.0,47544.0,11987000.0,5619486.0,0.0,7831656.0,2000.0,130.0,,,40466628.0,373740.0,2980200.0,,3984943600.0,,4447572.0,4484144.0,75223860.0,7188478.0,36265904.0,2054000.0,385622.0,5552488.0,1138200.0,23990926.0,140000.0,0.0,79062.0,5840000.0,794864300.0,177900.0,977000.0,,9001160.0,16138.9,2000.0,2504524.0,3000956.0,680424.0,1000.0,7819000.0,1762.0,,,58464.0,15341884.0,1153274.0,1172660.0,18696600.0,317026.0,,28800.0,244880.0,10520.0,6491200.0,1277074.4,17263000.0,296260.8,0.0,4127000.0,954700.0,7950.0,157042.0,490813.7,19450590.0,1000.0,54604970.0,3098948.0,4771800.0,682800.0,282390400.0,1392357.5,0.0,28058.0,49686868.0,22098.0,9371102.0,5500.0,168122.0,549000.0,14780070.0,47141400.0,18416660.0
1997,420.0,1208440.0,77227490.0,711683.7,16000.0,2350.0,32942800.0,321700.0,17832.0,131088376.0,2118989.0,672387.0,91209.0,,4330050.0,,7314520.0,1845158.8,2397900.0,0.0,509860.0,2041190.0,,6461610.5,1499382.0,55881850.0,558807400.0,6300.0,400682.0,2556749.0,17975600.0,22991000.0,339987500.0,1008496.0,13557169.0,119415784.0,5909598.0,21848042.0,145861660.0,22171500.0,14449.0,63257204.0,40254.0,13680.0,2831674.0,1978400.0,,12990.0,141864.0,42389.0,5668900.0,5600.0,47792.0,139526.0,1822765.0,1264000.0,13938576.0,0.0,1110240.0,668047.0,13879654.0,2031779.0,18407890.0,17356256.0,873169.0,0.0,13463800.0,0.0,45640.0,23688486.0,344000.0,2699993.0,9121305.0,0.0,6989600.0,73450.0,372749.0,2173893.0,2553154.0,3384428.8,17490.0,0.0,4347700.0,8092408.0,24000.0,18575600.0,6841123.0,1789687.0,363731.0,1252595.4,103722250.0,58223000.0,81384.4,8735110.0,750902.0,10811.0,65300.004,7559918.0,512700.0,50600.0,14580400.0,2633264.0,3777605.0,1004103.0,10758013.0,4475119.0,0.0,15962600.0,137880.0,8306193.5,0.0,17938.0,6160.0,1980863.0,25850.0,1547855.4,,2900810.0,,5163635.0,0.0,186280.0,12969804.0,820.0,69004780.0,6270.0,13256000.0,350.0,36142508.0,,14282689.0,32455.002,41807000.0,420064.0,2800.0,45925.0,23820.0,3083370.0,18249826.0,16438.0,8272109.5,826234.0,1447670.0,440.0,25129126.0,5697650.5,18850.0,47143.0,11987000.0,5625387.0,0.0,7830072.0,2000.0,130.0,,,40457764.0,373210.0,2994900.0,,3973015300.0,,4400019.0,4465443.0,75063576.0,7138526.0,36253732.0,2054000.0,396504.0,5514231.0,1106900.0,23733476.0,140000.0,0.0,79364.0,5839500.0,794625300.0,173550.0,977000.0,,8956160.0,16357.5,2000.0,2504633.0,2981112.0,675668.0,1000.0,7742250.0,1739.0,,,58438.0,15338093.0,1151538.0,1175770.0,18483700.0,320302.0,,28800.0,248480.0,10520.0,6453200.0,1266421.8,17200000.0,296405.6,0.0,4127000.0,953300.0,7950.0,156769.0,490772.78,19486106.0,1000.0,54232970.0,3047856.0,4782600.0,697100.0,282036800.0,1398374.1,0.0,28151.0,49368012.0,21691.0,9494459.0,5485.0,167644.0,549000.0,14743670.0,47105800.0,18373990.0
1998,420.0,1208440.0,77073944.0,711683.7,16000.0,2350.0,32729200.0,321800.0,17798.0,130835384.0,2130806.0,675318.0,87796.0,,4259750.0,,7259080.0,1845158.5,2412600.0,0.0,509860.0,2041190.0,,6445207.0,1485298.0,55610010.0,555017150.0,6300.0,399018.0,2566656.0,17857300.0,22961000.0,339463600.0,1013824.0,13551086.0,120333950.0,5633232.0,21757492.0,145188540.0,22159500.0,14456.0,63028068.0,39926.0,13680.0,2824656.0,2016600.0,,12970.0,142592.4,44006.0,5671600.0,5600.0,47548.0,139526.0,1858320.0,1254000.0,13845834.0,0.0,1105980.0,668468.0,14153966.0,2034786.0,18334890.0,17337870.0,875776.0,0.0,13543200.0,0.0,45970.0,23682324.0,344000.0,2700227.0,9013740.0,0.0,6954400.0,73360.0,367016.0,2165432.0,2532296.0,3413519.8,17490.0,0.0,4289200.0,8087852.0,24000.0,18571806.0,6820172.0,1794258.0,362704.0,1252595.4,101625500.0,58223000.0,81403.7,8760070.0,751998.0,10854.0,65199.996,7631192.0,512729.97,50600.0,14568600.0,2631556.2,3787870.0,1007928.7,10732372.0,4451306.0,0.0,15923400.0,137780.0,8275072.5,0.0,17912.0,6140.0,1964772.0,25850.0,1549831.5,,2906840.0,,5163170.0,0.0,187320.0,12899426.0,820.0,68783720.0,6270.0,13251000.0,350.0,35707468.0,,14273416.0,32290.0,41588000.0,413506.0,2700.0,46000.0,23820.0,3043480.0,18187828.0,16082.001,8201101.5,826826.0,1383480.0,440.0,24967454.0,5597453.0,18840.0,46742.0,11987000.0,5631288.0,0.0,7828488.0,2000.0,130.0,,,40448904.0,372680.0,3009600.0,,3961087000.0,,4352466.0,4446742.0,74903300.0,7088574.0,36241560.0,2054000.0,407386.0,5475974.0,1075600.0,23476028.0,140000.0,0.0,79666.0,5839000.0,794386240.0,169200.0,977000.0,,8911160.0,16576.201,2000.0,2504742.0,2961268.0,670912.0,1000.0,7665500.0,1716.0,,,58412.0,15334302.0,1149802.0,1178880.0,18270800.0,323578.0,,28800.0,252080.0,10520.0,6415200.0,1255769.1,17137000.0,296550.4,0.0,4127000.0,951900.0,7950.0,156496.0,490731.8,19521620.0,1000.0,53860970.0,2996764.0,4793400.0,711400.0,281683200.0,1404390.6,0.0,28244.0,49049150.0,21284.0,9617816.0,5470.0,167166.0,549000.0,14707270.0,47070200.0,18331320.0
1999,420.0,1208440.0,76920420.0,711683.7,16000.0,2350.0,32515600.0,321900.0,17764.0,130582390.0,2142623.0,678249.0,84383.0,,4189450.2,,7203640.0,1845158.4,2427300.0,0.0,509860.0,2041190.0,,6428803.0,1471214.0,55338170.0,551226750.0,6300.0,397354.0,2576563.0,17739000.0,22931000.0,338939740.0,1019152.0,13545003.0,121252120.0,5356866.0,21666942.0,144515420.0,22147500.0,14463.0,62798932.0,39598.0,13680.0,2817638.0,2054800.0,,12950.0,143320.69,45623.0,5674300.0,5600.0,47304.0,139526.0,1893875.0,1244000.0,13753092.0,0.0,1101720.0,668889.0,14428278.0,2037793.0,18261890.0,17319484.0,878383.0,0.0,13622600.0,0.0,46300.0,23676162.0,344000.0,2700461.0,8906175.0,0.0,6919200.0,73270.0,361283.0,2156971.0,2511438.0,3442610.5,17490.0,0.0,4230700.0,8083296.0,24000.0,18568014.0,6799221.0,1798829.0,361677.0,1252595.4,99528750.0,58223000.0,81423.1,8785030.0,753094.0,10897.0,65100.0,7702466.0,512760.0,50600.0,14556800.0,2629848.5,3798135.0,1011754.25,10706731.0,4427493.0,0.0,15884200.0,137680.0,8243951.0,0.0,17886.0,6120.0,1948681.0,25850.0,1551807.8,,2912870.0,,5162705.0,0.0,188360.0,12829048.0,820.0,68562660.0,6270.0,13246000.0,350.0,35272428.0,,14264143.0,32125.0,41369000.0,406948.0,2600.0,46075.0,23820.0,3003590.0,18125828.0,15726.0,8130093.0,827418.0,1319290.0,440.0,24805782.0,5497256.0,18830.0,46341.0,11987000.0,5637189.0,0.0,7826904.0,2000.0,130.0,,,40440040.0,372150.0,3024300.0,,3949158700.0,,4304913.0,4428041.0,74743020.0,7038622.0,36229388.0,2054000.0,418268.0,5437717.0,1044300.06,23218578.0,140000.0,0.0,79968.0,5838500.0,794147200.0,164850.0,977000.0,,8866160.0,16794.8,2000.0,2504851.0,2941424.0,666156.0,1000.0,7588750.0,1693.0,,,58386.0,15330511.0,1148066.0,1181990.0,18057900.0,326854.0,,28800.0,255680.0,10520.0,6377200.0,1245116.6,17074000.0,296695.2,0.0,4127000.0,950500.0,7950.0,156223.0,490690.88,19557134.0,1000.0,53488970.0,2945672.0,4804200.0,725700.0,281329600.0,1410407.1,0.0,28337.0,48730296.0,20877.0,9741173.0,5455.0,166688.0,549000.0,14670870.0,47034600.0,18288650.0
