Date,AFG,AGO,ALB,AND,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GTM,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NER,NGA,NIC,NLD,NOR,NPL,NRU,NZL,OMN,OWID_ABK,OWID_CZS,OWID_GDR,OWID_GFR,OWID_KOS,OWID_RVN,OWID_SOS,OWID_YGS,OWID_YPR,OWID_ZAN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
1946,0.0,,1.0,0.0,,0.0,,,0.0,0.0,,,0.0,,,,0.0,,,,,,1.0,0.0,,,,,,0.0,0.0,0.0,1.0,,,,,0.0,,,0.0,0.0,,,,,,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,,1.0,,,1.0,,,,,,,1.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,,0.0,,0.0,0.0,,,,,,,,,,0.0,0.0,,,0.0,,,,0.0,,,0.0,,,,0.0,,,,,,,0.0,,,,,,,,,0.0,1.0,0.0,0.0,,0.0,0.0,,0.0,,,,,,0.0,,,,0.0,0.0,1.0,,,0.0,,0.0,0.0,,0.0,1.0,,0.0,,,,,,0.0,0.0,,,,,,,,0.0,,,0.0,,,1.0,,,,,,,0.0,,,,,,0.0,0.0,,,0.0,,,,0.0,0.0,,
1947,0.0,,0.0,0.0,,0.0,,,0.0,0.0,,,0.0,,,,0.0,,,,,,0.0,0.0,,,,,,0.0,0.0,0.0,1.0,,,,,0.0,,,0.0,0.0,,,,,,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,,1.0,,,0.0,,,,,,,1.0,,0.0,,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,,,,,,,0.0,0.0,,,0.0,,,,0.0,,,0.0,,,,0.0,,,,,,,0.0,,,,,,,,,0.0,1.0,0.0,0.0,,0.0,0.0,,0.0,,,,,,0.0,,,0.0,0.0,0.0,1.0,,,0.0,,0.0,1.0,,0.0,1.0,,0.0,,,,,,0.0,0.0,,,,,,,,0.0,,,0.0,,,0.0,,,,,,,0.0,,,,,,0.0,0.0,,,0.0,,,,0.0,0.0,,
1948,0.0,,0.0,0.0,,0.0,,,0.0,0.0,,,0.0,,,,0.0,,,,,,0.0,0.0,,,,,,0.0,0.0,0.0,1.0,,,,,0.0,,,1.0,0.0,,,,,,0.0,0.0,,0.0,1.0,,0.0,,0.0,0.0,,1.0,,,1.0,,,,,,,1.0,,0.0,,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,,1.0,0.0,,,,,,,0.0,,,1.0,0.0,,,0.0,0.0,,,0.0,,,0.0,,,,0.0,,,,,1.0,,0.0,,,,,,,,,0.0,1.0,0.0,0.0,,0.0,0.0,,0.0,,,,,,0.0,,,1.0,0.0,0.0,1.0,,,0.0,0.0,0.0,0.0,,0.0,1.0,,0.0,,,,,,0.0,0.0,,,,,,,,0.0,,,1.0,,,0.0,,,,,,,0.0,,,,,,0.0,0.0,,,0.0,,,,1.0,0.0,,
1949,0.0,,0.0,0.0,,0.0,,,0.0,0.0,,,0.0,,,,0.0,,,,,,1.0,0.0,,,0.0,,,0.0,0.0,0.0,1.0,,,,,0.0,,,0.0,0.0,,,,,,0.0,0.0,,0.0,1.0,,0.0,,0.0,0.0,,1.0,,,1.0,,,,,,,1.0,,1.0,,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,,1.0,0.0,,,,,,,1.0,,,1.0,0.0,,,0.0,0.0,,,0.0,,,0.0,,,,0.0,,,,,1.0,,0.0,,,,,,,,,0.0,1.0,0.0,0.0,,1.0,0.0,,0.0,0.0,0.0,,,,0.0,,,0.0,0.0,0.0,1.0,,,0.0,1.0,0.0,0.0,,0.0,1.0,,0.0,,,,,,0.0,0.0,,,,,,,,0.0,,,1.0,,,0.0,,,,,,,0.0,,1.0,,,,0.0,0.0,,,0.0,,,,0.0,0.0,,
1950,0.0,,0.0,0.0,,0.0,,,1.0,0.0,,,0.0,,,,0.0,,,,,,0.0,0.0,,,0.0,,,1.0,0.0,0.0,1.0,,,,,0.0,,,0.0,0.0,,,,,,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,,1.0,,,1.0,,,,,,,1.0,,0.0,,0.0,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,,,,,,,1.0,,,0.0,0.0,,,0.0,0.0,,,0.0,,,0.0,,,,0.0,,,,,1.0,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,,1.0,0.0,,0.0,0.0,0.0,,,,0.0,,,0.0,0.0,0.0,1.0,,,0.0,1.0,0.0,0.0,,0.0,1.0,,0.0,,,,,,0.0,0.0,,,,,,,,0.0,,,0.0,,,1.0,,,,,,,1.0,,1.0,,,,0.0,1.0,,,0.0,,,,0.0,1.0,,
1951,0.0,,0.0,0.0,,0.0,,,1.0,0.0,,,1.0,,,,0.0,,,,,,0.0,0.0,,,0.0,,,1.0,0.0,0.0,1.0,,,,,1.0,,,0.0,0.0,,,,,,0.0,0.0,,0.0,1.0,,0.0,,1.0,0.0,,1.0,,,1.0,,,,,,,1.0,,0.0,,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,,,,,,,1.0,,,0.0,0.0,0.0,,0.0,0.0,,,1.0,,,0.0,,,,0.0,,,,,1.0,,0.0,,,,,,,,,0.0,1.0,0.0,0.0,,1.0,0.0,,0.0,0.0,0.0,,,,0.0,,,0.0,0.0,0.0,1.0,,,0.0,1.0,0.0,0.0,,0.0,1.0,,0.0,,,,,,0.0,0.0,,,,,,,,0.0,,,0.0,,,1.0,,,,,,,1.0,,0.0,,,,0.0,1.0,,,0.0,,,,0.0,1.0,,
1952,0.0,,0.0,0.0,,0.0,,,1.0,0.0,,,1.0,,,,0.0,,,,,,1.0,0.0,,,0.0,,,1.0,0.0,0.0,1.0,,,,,1.0,,,0.0,0.0,,,,,,0.0,0.0,,0.0,1.0,,0.0,,1.0,0.0,,1.0,,,1.0,,,,,,,1.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,,,,,,,1.0,,,0.0,0.0,0.0,,0.0,0.0,,,1.0,,,0.0,,,,0.0,,,,,1.0,,0.0,,,,,,,,,0.0,1.0,0.0,0.0,,1.0,0.0,,0.0,0.0,0.0,,,,0.0,,,0.0,0.0,0.0,1.0,,,0.0,1.0,0.0,0.0,,0.0,1.0,,0.0,,,,,,0.0,0.0,,,,,,,,0.0,,,0.0,,,1.0,,,,,,,1.0,,0.0,,,,0.0,1.0,,,0.0,,,,0.0,1.0,,
1953,0.0,,0.0,0.0,,0.0,,,1.0,0.0,,,1.0,,,,0.0,,,,,,0.0,0.0,,,0.0,,,1.0,0.0,0.0,1.0,,,,,1.0,,,0.0,1.0,,,,,,0.0,0.0,,0.0,0.0,,0.0,,1.0,0.0,,1.0,,,1.0,,,,,,,1.0,,0.0,,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,,,,0.0,,,1.0,,,0.0,0.0,0.0,,0.0,0.0,,,1.0,,,0.0,,,,0.0,,,,,1.0,,0.0,,,,,,,,,0.0,1.0,0.0,0.0,,1.0,0.0,,0.0,0.0,0.0,,,,0.0,,,0.0,0.0,0.0,1.0,,,0.0,1.0,0.0,0.0,,0.0,1.0,,0.0,,,,,,0.0,0.0,,,,,,,,0.0,,,0.0,,,1.0,,,,,,,1.0,,0.0,,,,0.0,1.0,,,0.0,,,,0.0,1.0,,
1954,0.0,,0.0,0.0,,0.0,,,1.0,0.0,,,0.0,,,,0.0,,,,,,0.0,0.0,,,0.0,,,0.0,0.0,0.0,1.0,,,,,0.0,,,0.0,0.0,,,,,,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,,1.0,,,1.0,,,,,,,0.0,,1.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,,,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,,,0.0,,,,0.0,,,,,1.0,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,,1.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,,,0.0,0.0,0.0,1.0,,,0.0,0.0,0.0,1.0,,0.0,0.0,,0.0,,,,,,0.0,0.0,,,,,,,,0.0,,,0.0,,,0.0,,,,,,,0.0,,1.0,,,,0.0,1.0,,,0.0,0.0,,,0.0,0.0,,
1955,0.0,,0.0,0.0,,1.0,,,1.0,0.0,,,0.0,,,,0.0,,,,,,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,,,,,0.0,,,0.0,0.0,,,,,,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,,1.0,,,1.0,,,,,,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,,,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,,,0.0,,,,0.0,,,,,1.0,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,,1.0,0.0,,0.0,0.0,0.0,,1.0,,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,,,,,0.0,0.0,,,,,,,,0.0,,,0.0,,,0.0,,,,,,,0.0,,0.0,,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,
