Date,AFG,AGO,ALB,AND,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COL,COM,CRI,CUB,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESH,ESP,EST,ETH,FIN,FJI,FLK,FRA,GAB,GBR,GEO,GHA,GIN,GLP,GMB,GNB,GNQ,GRC,GRD,GTM,GUF,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MLI,MLT,MMR,MNE,MOZ,MRT,MTQ,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NZL,OWID_CZS,OWID_GDR,OWID_GFR,OWID_KOS,OWID_SRM,OWID_USS,OWID_WRL,OWID_YAR,OWID_YGS,PAK,PAN,PER,PHL,PNG,POL,PRK,PRT,PRY,PYF,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SOM,SRB,SSD,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TLS,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,VAT,VEN,VNM,VUT,WLF,YEM,ZAF,ZMB,ZWE
1970,0.0,0.0,0.0,0.0,0.0,12.0,,0.0,1.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,0.0,3.0,,2.0,0.0,0.0,0.0,0.0,0.0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,6.0,1.0,,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,7.0,,,0.0,541.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,10.0,0.0,0.0,0.0,,29.0,439.0,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1971,0.0,0.0,0.0,0.0,0.0,3.0,,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,3.0,0.0,0.0,0.0,,0.0,12.0,,1.0,0.0,0.0,0.0,0.0,0.0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,,0.0,294.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,21.0,0.0,0.0,0.0,,5.0,227.0,,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1972,0.0,0.0,0.0,0.0,0.0,8.0,,0.0,7.0,5.0,,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,3.0,0.0,5.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,0.0,5.0,,0.0,0.0,0.0,0.0,10.0,0.0,10.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,2.0,4.0,0.0,0.0,14.0,3.0,0.0,5.0,0.0,,0.0,,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,,,0.0,195.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,0.0,0.0,,,2.0,0.0,0.0,0.0,0.0,0.0,1.0,,,0.0,0.0,0.0,6.0,0.0,0.0,0.0,,7.0,61.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973,1.0,0.0,0.0,0.0,0.0,34.0,,0.0,0.0,2.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,,,0.0,0.0,0.0,3.0,0.0,1.0,0.0,,0.0,4.0,,1.0,0.0,0.0,0.0,10.0,0.0,4.0,,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12.0,0.0,0.0,2.0,,0.0,,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,2.0,,0.0,0.0,4.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,18.0,,,0.0,174.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,33.0,,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1974,0.0,0.0,0.0,0.0,0.0,44.0,,0.0,1.0,1.0,,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,2.0,0.0,3.0,0.0,,0.0,5.0,,1.0,0.0,0.0,0.0,23.0,0.0,29.0,,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,16.0,2.0,0.0,3.0,,0.0,,0.0,0.0,0.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,12.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,,,0.0,273.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,3.0,1.0,0.0,0.0,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,75.0,,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1975,0.0,0.0,0.0,0.0,0.0,20.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,32.0,,4.0,0.0,0.0,0.0,27.0,0.0,9.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,7.0,0.0,0.0,2.0,,3.0,,0.0,0.0,0.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,4.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,,,0.0,313.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,,0.0,0.0,,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,,0.0,0.0,0.0,9.0,0.0,1.0,0.0,,0.0,133.0,,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1976,0.0,0.0,0.0,0.0,0.0,21.0,,0.0,0.0,3.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,12.0,0.0,4.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,35.0,,5.0,0.0,0.0,0.0,41.0,0.0,3.0,,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,3.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,150.0,1.0,0.0,0.0,,2.0,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,7.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,36.0,,,0.0,483.0,0.0,0.0,2.0,2.0,0.0,4.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,0.0,0.0,0.0,18.0,1.0,0.0,0.0,,0.0,94.0,,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1977,0.0,0.0,0.0,0.0,0.0,7.0,,0.0,0.0,3.0,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,52.0,0.0,5.0,0.0,1.0,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,116.0,,1.0,0.0,0.0,0.0,43.0,0.0,45.0,,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0,267.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,13.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,30.0,,,0.0,935.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,1.0,0.0,0.0,2.0,,,0.0,0.0,0.0,132.0,0.0,0.0,0.0,,0.0,121.0,,0.0,2.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
1978,0.0,2.0,0.0,0.0,0.0,11.0,,0.0,1.0,0.0,,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,101.0,0.0,2.0,0.0,0.0,,,0.0,0.0,1.0,0.0,1.0,8.0,1.0,,1.0,138.0,,1.0,0.0,0.0,0.0,45.0,0.0,38.0,,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,8.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,13.0,0.0,0.0,16.0,244.0,0.0,0.0,25.0,,0.0,,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,17.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,33.0,2.0,0.0,0.0,0.0,0.0,1.0,16.0,,,0.0,891.0,1.0,0.0,0.0,0.0,3.0,15.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,,0.0,0.0,,,1.0,0.0,0.0,0.0,0.0,0.0,2.0,,,0.0,0.0,0.0,29.0,0.0,0.0,0.0,,0.0,72.0,,0.0,5.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0
1979,0.0,0.0,0.0,0.0,0.0,9.0,,0.0,2.0,5.0,,0.0,7.0,0.0,0.0,1.0,0.0,1.0,0.0,,,0.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,38.0,0.0,0.0,0.0,0.0,51.0,0.0,1.0,0.0,4.0,,,0.0,0.0,3.0,1.0,0.0,2.0,0.0,,0.0,182.0,,0.0,0.0,0.0,0.0,179.0,0.0,78.0,,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,16.0,0.0,1.0,0.0,5.0,,0.0,0.0,0.0,1.0,2.0,43.0,0.0,0.0,81.0,152.0,0.0,0.0,9.0,,0.0,,0.0,0.0,0.0,0.0,0.0,21.0,0.0,3.0,0.0,1.0,2.0,,0.0,,0.0,2.0,,0.0,0.0,3.0,0.0,0.0,5.0,,2.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,87.0,1.0,1.0,0.0,0.0,0.0,0.0,16.0,,,0.0,1120.0,0.0,0.0,3.0,3.0,1.0,13.0,0.0,1.0,0.0,12.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,2.0,0.0,0.0,5.0,,,0.0,1.0,1.0,65.0,0.0,0.0,5.0,,0.0,57.0,,0.0,1.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0
