Date,AFG,AGO,ALB,AND,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COL,COM,CRI,CUB,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESH,ESP,EST,ETH,FIN,FJI,FLK,FRA,GAB,GBR,GEO,GHA,GIN,GLP,GMB,GNB,GNQ,GRC,GRD,GTM,GUF,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MLI,MLT,MMR,MNE,MOZ,MRT,MTQ,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NZL,OWID_CZS,OWID_GDR,OWID_GFR,OWID_KOS,OWID_SRM,OWID_USS,OWID_WRL,OWID_YAR,OWID_YGS,PAK,PAN,PER,PHL,PNG,POL,PRK,PRT,PRY,PYF,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SOM,SRB,SSD,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TLS,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,VAT,VEN,VNM,VUT,WLF,YEM,ZAF,ZMB,ZWE
1970,0.0,0.0,0.0,0.0,0.0,21.0,,0.0,1.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,2.0,0.0,0.0,1.0,,0.0,4.0,,3.0,0.0,0.0,0.0,0.0,0.0,12.0,,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,3.0,0.0,9.0,2.0,,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,12.0,20.0,,,0.0,644.0,0.0,0.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,12.0,0.0,0.0,0.0,,33.0,468.0,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1971,0.0,0.0,0.0,0.0,0.0,7.0,,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0,0.0,0.0,3.0,0.0,0.0,1.0,,0.0,22.0,,1.0,0.0,0.0,0.0,0.0,0.0,81.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,1.0,3.0,0.0,5.0,0.0,,0.0,,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,13.0,,,0.0,465.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,35.0,1.0,0.0,0.0,,8.0,247.0,,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1972,0.0,0.0,0.0,0.0,0.0,20.0,,0.0,8.0,7.0,,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,3.0,0.0,5.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,0.0,19.0,,0.0,0.0,0.0,0.0,11.0,0.0,292.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,5.0,15.0,0.0,0.0,15.0,4.0,0.0,7.0,0.0,,0.0,,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,24.0,,,0.0,559.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,0.0,0.0,,,3.0,0.0,0.0,0.0,0.0,0.0,1.0,,,0.0,0.0,0.0,9.0,0.0,0.0,0.0,,7.0,68.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973,1.0,0.0,0.0,0.0,0.0,60.0,,0.0,0.0,2.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,3.0,,,0.0,0.0,0.0,3.0,0.0,1.0,0.0,,0.0,21.0,,1.0,0.0,0.0,0.0,14.0,0.0,189.0,,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,,1.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,1.0,15.0,0.0,1.0,2.0,,0.0,,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,2.0,,0.0,0.0,6.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,27.0,,,0.0,466.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,58.0,,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1974,0.0,0.0,0.0,1.0,1.0,71.0,,0.0,1.0,1.0,,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,2.0,0.0,3.0,0.0,,0.0,14.0,,4.0,0.0,0.0,0.0,29.0,0.0,203.0,,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,3.0,11.0,0.0,0.0,12.0,22.0,2.0,0.0,3.0,,0.0,,0.0,0.0,1.0,1.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,16.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,28.0,,,0.0,570.0,1.0,1.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,4.0,1.0,0.0,1.0,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,94.0,,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1975,0.0,0.0,0.0,0.0,0.0,38.0,,0.0,0.0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,2.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,136.0,,4.0,0.0,0.0,0.0,39.0,0.0,194.0,,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,7.0,13.0,1.0,0.0,2.0,7.0,0.0,0.0,12.0,,4.0,,0.0,0.0,0.0,1.0,0.0,15.0,0.0,0.0,0.0,1.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,10.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,35.0,,,0.0,731.0,0.0,0.0,2.0,0.0,2.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,,0.0,0.0,,,1.0,0.0,0.0,2.0,0.0,0.0,0.0,,,0.0,0.0,0.0,10.0,0.0,1.0,0.0,,0.0,149.0,,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1976,0.0,0.0,0.0,0.0,0.0,54.0,,0.0,0.0,4.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,,0.0,1.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,22.0,0.0,12.0,0.0,0.0,,,0.0,0.0,0.0,0.0,1.0,2.0,0.0,,0.0,50.0,,5.0,0.0,0.0,0.0,58.0,0.0,194.0,,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,13.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,5.0,4.0,3.0,0.0,2.0,173.0,1.0,1.0,1.0,,2.0,,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,1.0,,0.0,0.0,20.0,0.0,0.0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,50.0,,,0.0,877.0,0.0,0.0,3.0,2.0,0.0,10.0,0.0,0.0,0.0,15.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,,0.0,1.0,0.0,35.0,1.0,0.0,0.0,,0.0,105.0,,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1977,0.0,1.0,0.0,0.0,1.0,17.0,,0.0,0.0,5.0,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,80.0,0.0,5.0,0.0,1.0,,,1.0,0.0,0.0,0.0,0.0,7.0,1.0,,0.0,147.0,,4.0,0.0,0.0,0.0,53.0,0.0,140.0,,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,8.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,1.0,3.0,5.0,0.0,0.0,6.0,308.0,0.0,0.0,4.0,,0.0,,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,19.0,0.0,1.0,0.0,,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0,1.0,40.0,,,0.0,1292.0,1.0,1.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,3.0,0.0,0.0,3.0,,,0.0,0.0,0.0,189.0,0.0,0.0,0.0,,0.0,130.0,,0.0,3.0,0.0,0.0,0.0,0.0,15.0,1.0,0.0
1978,0.0,2.0,0.0,0.0,1.0,25.0,,0.0,2.0,1.0,,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,0.0,0.0,0.0,0.0,158.0,0.0,2.0,0.0,2.0,,,0.0,0.0,1.0,1.0,1.0,11.0,2.0,,1.0,209.0,,2.0,0.0,0.0,0.0,59.0,0.0,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,29.0,0.0,1.0,0.0,0.0,,0.0,0.0,2.0,0.0,3.0,27.0,0.0,0.0,23.0,277.0,0.0,0.0,35.0,,1.0,,1.0,0.0,0.0,1.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,1.0,,0.0,0.0,30.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,76.0,3.0,0.0,0.0,0.0,0.0,1.0,19.0,,,1.0,1304.0,2.0,0.0,2.0,0.0,4.0,36.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,0.0,,0.0,0.0,,,1.0,0.0,0.0,1.0,0.0,0.0,5.0,,,0.0,0.0,0.0,52.0,0.0,0.0,0.0,,0.0,87.0,,0.0,7.0,0.0,0.0,0.0,0.0,9.0,3.0,0.0
1979,3.0,3.0,0.0,0.0,2.0,16.0,,0.0,2.0,5.0,,0.0,8.0,0.0,0.0,1.0,0.0,1.0,0.0,,,0.0,14.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,49.0,0.0,0.0,0.0,0.0,140.0,0.0,2.0,0.0,5.0,,,1.0,0.0,3.0,2.0,1.0,2.0,1.0,,0.0,279.0,,4.0,0.0,0.0,0.0,212.0,1.0,239.0,,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,60.0,0.0,2.0,0.0,6.0,,0.0,0.0,0.0,20.0,8.0,82.0,2.0,0.0,129.0,209.0,2.0,0.0,16.0,,0.0,,0.0,0.0,0.0,0.0,0.0,38.0,0.0,3.0,0.0,3.0,2.0,,0.0,,0.0,2.0,,0.0,0.0,10.0,0.0,0.0,19.0,,5.0,0.0,0.0,0.0,0.0,1.0,31.0,0.0,0.0,0.0,206.0,3.0,1.0,0.0,0.0,0.0,0.0,17.0,,,0.0,1979.0,0.0,0.0,7.0,4.0,3.0,50.0,0.0,1.0,0.0,15.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,326.0,0.0,,0.0,0.0,,,1.0,0.0,0.0,28.0,0.0,0.0,16.0,,,0.0,1.0,1.0,141.0,0.0,1.0,8.0,,0.0,69.0,,0.0,4.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0
