Date,ABW,AFG,AGO,ALB,AND,ARE,ARG,ARM,ASM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CUW,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IMN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAC,MAF,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MNP,MOZ,MRT,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NRU,NZL,OMN,OWID_CIS,OWID_KOS,OWID_WRL,PAK,PAN,PER,PHL,PLW,PNG,POL,PRI,PRK,PRT,PRY,PSE,PYF,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VGB,VIR,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
1960,50.848476,48.088295,49.364025,49.63153,49.33754,37.63734,49.914185,51.447197,47.819393,52.239986,49.470715,53.42136,52.68354,51.65833,51.019245,52.635338,49.13093,48.00093,50.06771,46.74156,51.175667,52.717285,55.248978,50.50099,48.861565,50.751637,49.870106,52.175476,46.772385,48.281002,51.911205,50.549007,49.40557,51.55271,49.775345,48.879227,49.485188,51.12349,52.20656,50.46814,50.204376,50.659584,52.7754,49.746742,48.918262,50.31017,52.71152,50.96174,51.48797,53.48653,50.497536,53.914303,50.406567,49.60806,49.53262,50.137306,49.792015,50.776726,51.428707,55.90498,50.92167,51.83626,48.283596,51.439114,49.16746,51.56876,51.693245,52.782795,48.884907,52.266483,50.291416,50.545773,49.975243,51.345592,50.9378,52.222588,48.847496,48.79146,40.689816,50.096813,49.027607,49.855095,53.099674,51.337677,51.760265,50.235752,54.118153,48.4168,49.70175,48.78619,50.674206,49.489353,49.697956,51.502937,52.431355,48.81455,51.397186,51.72267,50.424084,52.006763,49.808098,50.722057,54.053036,49.673775,40.318268,50.55934,49.684464,48.6321,49.054787,52.181755,51.20679,47.266,55.690834,53.90664,50.582073,55.80732,50.673912,51.140907,50.1076,55.089874,54.256775,49.059025,45.4359,49.996803,48.571625,51.310852,49.585075,52.86273,49.96661,52.98697,50.629147,49.977108,51.257675,50.656437,49.082947,51.926582,49.071465,51.85869,47.299515,52.448597,50.472996,50.24403,50.201103,50.174904,49.922253,36.54514,49.740932,50.04562,51.480038,49.541805,50.10142,46.076572,49.08224,49.826054,49.57479,49.592625,47.13359,51.63586,50.513935,54.771008,52.13139,50.52625,49.25551,48.65963,49.141907,51.436684,55.186314,50.451164,48.79714,49.818535,50.221436,47.018013,47.369137,51.04014,50.572014,49.28701,50.2349,52.000443,50.209225,43.78051,49.52675,50.60275,53.54448,50.112045,51.552254,52.780846,49.636826,48.47887,54.94643,50.626213,50.78339,49.566753,51.021385,51.186676,49.58643,49.108356,49.73874,50.086098,49.072704,51.411217,50.89311,49.43288,55.52452,49.896935,50.907543,51.427227,52.84993,49.50454,50.03144,50.758564,50.64479,46.08651,48.762123,50.22816,48.683056,50.440765,50.55085
1961,50.833946,48.16973,49.248226,49.61255,48.96431,37.07542,49.97217,51.39026,47.863537,52.17899,49.482185,53.391823,52.585896,51.60706,51.050625,52.576347,49.266186,48.01845,50.058487,46.79772,50.85313,52.795998,55.080914,50.420795,48.823135,50.746956,49.889885,52.048054,46.515274,48.24742,51.95921,50.533733,49.465885,51.51251,49.804092,48.91783,49.42975,51.351715,52.12891,50.46284,50.18085,50.651093,52.659622,49.738155,48.96575,50.365986,52.65667,50.948425,51.50506,53.394802,50.50341,53.856632,50.408535,49.6226,49.46918,50.125183,49.809113,50.791855,51.3945,55.71546,50.948154,51.801605,48.390057,51.397175,49.18404,51.582005,51.63842,52.759487,49.012295,52.105526,50.310493,50.521114,49.958115,51.355244,50.932323,52.07162,48.663853,48.801945,41.094643,50.044113,49.04926,49.852093,53.02909,51.331055,51.728153,50.22758,54.178448,48.39553,49.74093,48.757233,50.684498,49.463398,49.77201,51.521942,52.342224,48.82541,51.37236,51.711754,50.447083,51.968395,49.802143,50.65083,53.932484,49.657898,39.95271,50.554337,49.661015,48.703667,49.013306,52.119457,51.162514,47.38225,55.61045,53.792152,50.626064,55.627007,50.871494,51.106045,50.08192,55.01575,54.213814,49.09858,45.624886,49.997093,48.59715,51.315582,49.63671,52.843746,49.96194,52.935894,50.524776,49.949974,51.213413,50.639,48.801857,51.906574,49.163837,51.919525,47.25706,52.313145,50.49601,50.230854,50.196552,50.174793,49.88178,36.182693,49.741764,50.091507,51.483677,49.487007,50.097862,46.119534,49.102528,49.829044,49.548264,49.581326,47.19074,51.59716,50.570328,54.603878,52.150124,50.51458,49.313747,48.714226,48.291332,51.40531,55.06212,50.42441,48.774612,49.80531,50.15154,47.148003,47.32493,51.03937,50.561844,49.265728,50.22491,52.028084,50.30856,44.04355,49.465523,50.55071,53.47698,50.11197,51.59937,52.289562,49.556778,48.518158,54.758938,50.613297,50.78425,49.559666,50.981525,51.19467,49.59751,49.06595,49.77918,50.094353,49.08943,51.371925,50.862328,49.501858,55.41517,49.932983,50.94883,51.345325,52.725662,49.526703,50.024895,51.071037,50.632137,46.23255,48.728096,50.26448,48.771988,50.454273,50.581364
1962,50.830967,48.246483,49.17658,49.577602,48.66035,36.587166,50.01603,51.33854,47.93408,52.13744,49.533146,53.35405,52.49121,51.554,51.06343,52.51668,49.40055,48.036324,50.051365,46.867283,50.537384,52.73396,54.923218,50.337868,48.716095,50.74004,49.90888,51.9322,46.270123,48.20039,51.998016,50.518036,49.535435,51.444447,49.83239,48.949657,49.365746,51.438488,52.05797,50.457294,50.15673,50.641666,52.432644,49.73007,49.012413,50.404156,52.60221,50.902214,51.5124,53.308678,50.507595,53.7597,50.407288,49.63607,49.27148,50.114574,49.81535,50.80561,51.36609,55.51998,50.9669,51.77356,48.490486,51.35727,49.204838,51.59259,51.56833,52.732365,49.18007,51.838005,50.327892,50.498734,49.989567,51.35326,50.936626,51.928406,48.451435,48.814716,41.430756,50.060627,49.02279,49.848103,52.922188,51.322792,51.70122,50.2174,54.1653,48.379295,49.753117,48.727913,50.68482,49.45267,49.816875,51.521275,52.253212,48.835686,51.33647,51.701256,50.4661,51.92475,49.79872,50.58541,53.82115,49.619408,39.725452,50.53628,49.636177,48.774223,48.968624,52.061287,51.068142,47.493076,55.536797,53.684296,50.669792,55.44599,50.752213,51.04926,50.057846,54.94814,54.18197,49.13512,45.80489,49.993797,48.663918,51.34755,49.68692,52.828846,49.957203,52.83595,50.435646,49.91379,51.125427,50.621788,48.599342,51.88562,49.246483,51.963108,47.217373,52.183163,50.517277,50.2178,50.180252,50.17607,49.838734,36.49327,49.75163,50.131104,51.484245,49.454216,50.08742,46.160954,49.123775,49.82475,49.52408,49.591503,47.208225,51.56154,50.62333,54.441624,52.166668,50.501488,49.366108,48.76464,47.276558,51.38002,54.948727,50.399902,48.75404,49.79074,50.08428,47.2678,47.274643,51.03719,50.522717,49.227535,50.215424,51.983643,50.39791,44.613987,49.36917,50.52819,53.356815,50.107635,51.649715,51.792828,49.488495,48.562035,54.55997,50.601948,50.783024,49.555775,50.94154,51.19994,49.607994,49.02202,49.85878,50.10192,49.133465,51.438595,50.829834,49.567204,55.31421,49.967377,50.9932,51.26289,52.61016,49.547264,50.024784,50.930447,50.624313,46.379852,48.691357,50.307262,48.88011,50.467556,50.610027
1963,50.83069,48.318916,49.105007,49.544907,48.39278,36.167137,50.05975,51.292763,48.001457,52.100998,49.57805,53.30742,52.400364,51.509575,51.06089,52.45493,49.531384,48.052418,50.044304,46.949093,50.239475,52.648773,54.77125,50.26544,48.63035,50.73113,49.927242,51.81914,46.03796,48.144234,52.029602,50.502174,49.603424,51.378788,49.859978,48.97416,49.303402,51.393673,51.988083,50.451122,50.13201,50.63141,52.156322,49.724216,49.055313,50.4418,52.53066,50.856647,51.517845,53.20624,50.508827,53.6792,50.41329,49.647675,49.040745,50.105293,49.81997,50.81768,51.339745,55.329037,50.980747,51.750713,48.582977,51.332283,49.220844,51.599957,51.514767,52.702618,49.338047,51.47453,50.343006,50.478626,50.073097,51.341248,50.93881,51.795876,48.256462,48.83194,41.749783,50.076,49.003983,49.844,52.80926,51.306927,51.67831,50.205906,54.12301,48.368538,49.75412,48.699184,50.677326,49.44113,49.842087,51.50613,52.16359,48.844944,51.295406,51.69218,50.481735,51.878315,49.79617,50.523705,53.717182,49.573193,39.63254,50.524536,49.612194,48.843586,48.92751,52.00641,50.9774,47.599827,55.467964,53.586594,50.705753,55.27135,50.640736,50.962772,50.03278,54.871567,54.16161,49.169712,45.973408,49.990402,48.690266,51.37855,49.735462,52.816666,49.951786,52.73499,50.407707,49.921833,51.04326,50.605423,48.57368,51.864014,49.320118,51.98979,47.219227,52.057484,50.536636,50.205547,50.179317,50.178726,49.79495,37.191505,49.789215,50.16467,51.4943,49.42413,50.072353,46.204964,49.144974,49.814133,49.501305,49.606457,47.208897,51.52959,50.687904,54.272255,52.18521,50.485703,49.413242,48.79647,46.35371,51.360687,54.845116,50.386005,48.735394,49.779335,50.018814,47.379387,47.21938,51.03215,50.4532,49.185764,50.206085,51.924767,50.516865,45.14206,49.17619,50.52997,53.233936,50.107468,51.697727,51.325706,49.42267,48.600273,54.250797,50.592026,50.77977,49.552982,50.901627,51.203365,49.617992,48.983795,49.931034,50.101,49.174183,51.521473,50.798145,49.628883,55.220085,49.99981,51.03977,51.18392,52.498222,49.565838,50.04314,50.80001,50.623085,46.518623,48.649025,50.363747,48.98813,50.480827,50.637608
1964,50.82525,48.38751,49.033947,49.51565,48.13538,35.800167,50.103485,51.25289,48.070393,52.128902,49.60078,53.254807,52.315163,51.455223,51.059418,52.393764,49.657467,48.06753,50.03678,47.039974,50.051933,52.574867,54.632587,50.201763,48.557453,50.72154,49.945236,51.709465,45.808235,48.091007,52.05866,50.485737,49.664448,51.32801,49.887703,48.994606,49.24764,51.35043,51.927307,50.444664,50.1072,50.61944,51.89489,49.719482,49.09427,50.479614,52.476543,50.82079,51.518616,53.082695,50.51164,53.614113,50.419502,49.658447,48.751274,50.09744,49.824745,50.828674,51.315228,55.149258,50.992214,51.729897,48.66863,51.320763,49.25176,51.605656,51.48642,52.672333,49.486126,51.121597,50.355824,50.458996,50.211113,51.322006,50.943474,51.67197,48.09589,48.85335,42.063164,50.09071,49.170017,49.839794,52.70211,51.28942,51.655746,50.196083,54.069523,48.3599,49.75446,48.671955,50.666935,49.45113,49.86462,51.48873,52.073395,48.85216,51.248096,51.6864,50.494244,51.831585,49.794506,50.463646,53.617706,49.525852,39.576,50.5266,49.590725,48.911335,48.926323,51.950676,50.887344,47.7031,55.403004,53.497547,50.730614,55.114323,49.815426,50.90118,50.00859,54.782684,54.151386,49.202354,46.133595,49.989414,48.718254,51.366867,49.779736,52.807888,49.945553,52.647858,50.42668,49.914356,50.971123,50.590126,48.63333,51.842915,49.38623,52.000446,47.28924,51.936653,50.555695,50.19461,50.165478,50.177475,49.75052,37.98731,49.82316,50.1936,51.506996,49.391987,50.057774,46.254955,49.16583,49.802834,49.479847,49.562767,47.190865,51.501686,50.76285,54.1031,52.204803,50.466976,49.455715,48.816566,45.562454,51.345196,54.75116,50.372387,48.718235,49.772583,49.95248,47.483868,47.163685,51.02403,50.379833,49.16652,50.196835,51.868507,50.621532,45.639656,49.011295,50.53339,53.125477,50.096153,51.732845,51.03237,49.357235,48.63413,53.958996,50.583664,50.77499,49.55091,50.861645,51.20546,49.6269,48.944897,49.998684,50.09897,49.213295,51.808067,50.763924,49.68727,55.134247,50.03541,51.08679,51.10912,52.389973,49.58198,50.06733,50.671276,50.62733,46.649128,48.603615,50.411476,49.09273,50.496754,50.664722
1965,50.826603,48.452713,48.96378,49.490475,47.91315,35.459354,50.14633,51.218586,48.107323,52.224445,49.618626,53.186096,52.23799,51.41378,51.05871,52.333736,49.776512,48.07993,50.01098,47.16229,49.95877,52.511776,54.50692,50.138523,48.48402,50.71135,49.963013,51.604877,45.584545,48.03963,52.24435,50.46894,49.718937,51.289288,49.91368,49.01372,49.198616,51.3079,51.871574,50.43808,50.082565,50.603115,51.642796,49.714508,49.12893,50.51662,52.419613,50.782536,51.51799,52.93794,50.51333,53.56828,50.432785,49.692818,48.4259,50.09086,49.83055,50.839542,51.29333,54.97373,51.003464,51.709103,48.739777,51.311752,49.28577,51.609165,51.473312,52.645824,49.621155,50.787334,50.366436,50.438644,50.355476,51.29628,51.11066,51.559647,47.974377,48.877186,42.36938,50.10376,49.300114,49.836674,52.601234,51.275623,51.63409,50.234547,53.997883,48.35645,49.76042,48.644638,50.652847,49.460052,49.892277,51.469707,51.98509,48.85692,51.209465,51.684845,50.503384,51.786022,49.79505,50.405136,53.52366,49.482513,39.553123,50.527607,49.5728,48.977467,48.91054,51.894516,50.77138,47.803,55.340305,53.409042,50.76736,54.969276,49.26458,50.860687,49.984707,54.707935,54.1477,49.23277,46.226334,49.991707,48.78175,51.355915,49.821262,52.80515,49.938442,52.573513,50.44034,49.883087,50.9107,50.575363,48.68945,51.82338,49.44575,51.98196,47.377064,51.821198,50.573917,50.189877,50.121426,50.178772,49.704216,38.706913,49.836277,50.21863,51.5054,49.353134,50.046215,46.309,49.186794,49.790916,49.46086,49.516495,47.16368,51.47586,50.840984,53.939056,52.22848,50.445988,49.493465,48.8476,44.890347,51.330345,54.6677,50.349525,48.702,49.767498,49.882435,47.58069,47.11112,51.013462,50.303783,49.13031,50.1875,51.811855,50.7159,46.106304,48.97875,50.531036,53.027485,50.067673,51.74694,50.828857,49.2977,48.66495,53.71156,50.580536,50.768677,49.549953,50.82226,51.20642,49.63484,48.906803,50.075558,50.094215,49.253067,52.344296,50.728073,49.743153,55.057785,50.076405,51.135166,51.03765,52.286476,49.59654,50.07872,50.534256,50.63651,46.78044,48.557564,50.44488,49.194782,50.512947,50.69219
1966,50.838245,48.51496,48.895157,49.469986,47.675373,35.101192,50.186283,51.189453,48.145847,52.328407,49.64003,53.101803,52.16863,51.378326,51.05903,52.27087,49.89136,48.090984,49.987183,47.316715,49.8615,52.459755,54.386745,50.082016,48.400124,50.700623,49.980427,51.50533,45.37601,47.990143,52.589527,50.451283,49.762184,51.252754,49.936897,49.030487,49.155987,51.26573,51.803303,50.431416,50.058132,50.59155,51.394993,49.710033,49.15818,50.554672,52.35854,50.728436,51.522266,52.87575,50.511414,53.540646,50.441433,49.72527,48.27363,50.084293,49.840782,50.84941,51.271896,54.806046,51.0159,51.69211,48.8122,51.304546,49.313023,51.608673,51.465855,52.810295,49.74429,50.50319,50.373672,50.418983,50.49629,51.2637,51.374912,51.459408,47.780613,48.903854,42.6617,50.115704,49.337334,49.834435,52.507656,51.259693,51.610207,50.27866,53.88875,48.359627,49.766434,48.618767,50.636776,49.45142,49.92514,51.452087,51.90008,48.859856,51.15699,51.686256,50.509144,51.74208,49.79693,50.410656,53.44396,49.475395,39.949596,50.52853,49.558666,49.041668,48.853905,51.90884,50.647785,47.899258,55.40023,53.32442,50.816177,54.826546,49.226257,50.776905,49.961254,54.645283,54.147232,49.26346,46.25324,49.994724,48.803482,51.335827,49.860508,52.810318,49.930073,52.5075,50.45164,49.8775,50.85681,50.560535,48.74351,51.804417,49.49872,51.94472,47.4546,51.710102,50.589188,50.194824,50.07604,50.196133,49.656635,39.16929,49.849155,50.240147,51.488743,49.305084,50.037403,46.364754,49.20642,49.77875,49.44454,49.44933,47.140488,51.454884,50.913605,53.775105,52.260788,50.42338,49.52643,48.88542,44.297153,51.31055,54.592552,50.326412,48.68592,49.76459,49.809032,47.669,47.063152,50.998474,50.22729,49.08686,50.17818,51.75522,50.885624,46.54569,48.976097,50.537437,52.931255,50.039433,51.74739,50.621784,49.237705,48.69419,53.46657,50.590412,50.76072,49.550102,50.78384,51.206093,49.64213,48.869915,50.17064,50.07794,49.2817,52.92876,50.693256,49.797245,54.987656,50.119385,51.18583,50.970573,52.185722,49.610916,50.059425,50.402782,50.655476,46.903603,48.515713,50.474392,49.291298,50.526127,50.719734
1967,50.84082,48.574192,48.825153,49.45644,47.38271,34.67557,50.22549,51.164467,48.184048,52.440247,49.66178,53.016922,52.106907,51.33269,51.059788,52.204998,50.002254,48.104336,49.98869,47.475826,49.759655,52.419533,54.27012,50.031456,48.295433,50.688656,49.99725,51.415066,45.182083,47.94156,52.939495,50.43309,49.791878,51.215267,49.958023,49.044437,49.118652,51.22338,51.728462,50.424145,50.03475,50.581165,51.149364,49.707047,49.18384,50.592754,52.267376,50.667065,51.53062,52.89675,50.510895,53.52596,50.44063,49.733715,48.298088,50.077694,49.85649,50.85947,51.251392,54.648865,51.026764,51.680897,48.889797,51.298683,49.334225,51.605377,51.46215,53.15765,49.85811,50.24786,50.38073,50.40107,50.623627,51.22753,51.337173,51.36998,47.50471,48.93271,42.94781,50.127056,49.248444,49.831757,52.42226,51.242268,51.58474,50.279984,53.733017,48.360146,49.76568,48.597095,50.61519,49.4328,49.958897,51.435307,51.81674,48.86047,51.098545,51.688698,50.51182,51.699646,49.8048,50.461853,53.37928,49.501698,40.675446,50.525986,49.546387,49.103786,48.81501,51.982834,50.536976,47.992058,55.177345,53.253597,50.856586,54.68235,49.18498,50.694443,49.938187,54.601807,54.150547,49.293602,46.268486,49.99951,48.58751,51.301617,49.896126,52.824623,49.92264,52.447506,50.46767,49.7674,50.80858,50.545555,48.792553,51.78668,49.55293,51.907852,47.53109,51.602627,50.611427,50.20836,50.08423,50.2112,49.609623,39.55005,49.90167,50.258266,51.47316,49.24133,50.030663,46.424328,49.22355,49.766197,49.431007,49.36755,47.11636,51.439575,50.9735,53.605473,52.301727,50.399776,49.583427,48.92414,43.767727,51.30347,54.5237,50.303436,48.663643,49.76308,49.734,47.75004,47.015453,50.979362,50.153316,49.075695,50.168964,51.7005,51.08599,46.955635,48.958645,50.557022,52.836426,50.04148,51.791183,50.4437,49.180943,48.724525,53.137707,50.608063,50.752197,49.55134,50.74595,51.20403,49.64843,48.866116,50.27446,50.053005,49.298428,53.38758,50.662296,49.849163,54.92058,50.164825,51.236145,50.90779,52.086464,49.62487,50.069397,50.289566,50.679237,47.016636,48.498486,50.49889,49.382317,50.539104,50.747
1968,50.83716,48.629147,48.75194,49.454693,47.097527,33.36058,50.26753,51.14256,48.20801,52.556164,49.676487,52.964306,52.05176,51.289837,51.062954,52.140457,50.107655,48.116337,49.992603,46.953987,49.656647,52.393673,54.160313,49.980824,48.18467,50.674946,50.013382,51.332985,45.008003,47.894115,53.29026,50.414692,49.82068,51.18075,49.9783,49.05416,49.08412,51.180218,51.656883,50.416893,50.013412,50.56201,50.904453,49.70389,49.207466,50.633305,52.186123,50.60615,51.5415,52.876266,50.509163,53.515556,50.448383,49.74235,48.31914,50.07109,49.87056,50.869778,51.232594,54.499702,51.035633,51.67111,48.959415,51.28047,49.349945,51.598846,51.464844,53.497128,49.963898,50.019547,50.38988,50.383934,50.73672,51.202454,51.311516,51.284195,47.23826,48.96413,43.22576,50.137764,49.205517,49.828136,52.345966,51.223404,51.562786,50.278564,53.549755,48.365673,49.764385,48.58173,50.58855,49.41738,49.9924,51.4187,51.73659,48.858326,51.048813,51.692307,50.512844,51.658287,49.81728,50.50334,53.31781,49.52824,41.32744,50.520367,49.53463,49.164173,48.799328,52.044697,50.500473,48.081074,54.583195,53.190098,50.88292,54.541695,49.135628,50.658703,49.915695,54.5505,54.15736,49.32311,46.261005,50.005028,48.00121,51.25313,49.929886,52.779495,49.916145,52.397423,50.49389,49.484142,50.764713,50.53342,48.8332,51.76901,49.609528,51.86949,47.602055,51.49941,50.636482,50.225018,50.12268,50.218548,49.565678,38.384956,49.990234,50.27306,51.463245,49.294685,50.024208,46.48644,49.23799,49.7547,49.420025,49.29603,47.08964,51.427086,51.01925,53.439068,52.347984,50.37533,49.63646,48.951614,43.308372,51.317673,54.46142,50.281597,48.628815,49.76233,49.661316,47.82572,46.970562,50.95957,50.0855,49.051006,50.1598,51.64911,51.27122,47.337658,48.93025,50.577732,52.74741,50.067142,51.875595,50.28177,49.130753,48.754387,52.9079,50.62468,50.74384,49.55361,50.707775,51.199505,49.65488,48.896782,50.37265,50.029007,49.314186,53.761337,50.628796,49.89858,54.86061,50.21397,51.28513,50.848568,51.986782,49.638485,50.08889,50.203186,50.722233,46.941486,48.5006,50.516693,49.469265,50.551865,50.773033
1969,50.83994,48.679913,48.67509,49.44856,46.871464,31.53384,50.31237,51.123665,48.2369,52.66226,49.68654,52.929565,52.000973,51.252506,51.06898,52.07845,50.210896,48.125126,49.999134,45.777615,49.568775,52.384087,54.05924,49.92799,48.069466,50.659256,50.02878,51.255398,44.859486,47.84819,53.640213,50.396294,49.857647,51.153095,49.997417,49.05925,49.042816,51.135498,51.587635,50.41027,49.99472,50.53628,50.665897,49.701332,49.229683,50.675724,52.09522,50.545002,51.55639,52.744717,50.507427,53.515175,50.440216,49.751266,48.338165,50.064114,49.882427,50.87801,51.214027,54.350407,51.04381,51.667606,49.02505,51.2302,49.36915,51.58587,51.464825,53.825447,50.058224,49.833466,50.402126,50.366676,50.852978,51.24614,51.33048,51.20769,46.970863,48.999626,43.50327,50.148865,49.40273,49.82305,52.2788,51.203133,51.541878,50.276905,53.36021,48.380222,49.772167,48.57479,50.56027,49.42791,50.028267,51.405613,51.661182,48.85398,50.99094,51.699284,50.512833,51.61834,49.830242,50.549156,53.274586,49.55425,41.899147,50.512955,49.523335,49.22241,48.812016,52.10738,50.460674,48.16527,54.017838,53.12945,50.91334,54.416027,49.071903,50.64758,49.89396,54.462673,54.167458,49.35152,46.23922,50.008526,47.289368,51.192017,49.962284,52.673264,49.90969,52.36211,50.518585,49.204124,50.72406,50.524162,48.865303,51.75065,49.662,51.83075,47.610374,51.400715,50.65267,50.24012,50.120464,50.23289,49.52598,36.590183,50.048088,50.284615,51.45896,49.481102,50.015396,46.54968,49.250484,49.745113,49.41103,49.314453,47.06814,51.4193,51.044926,53.28309,52.403812,50.349915,49.65618,48.95242,42.925503,51.337547,54.407017,50.261635,48.580936,49.762043,49.59386,47.899624,46.929737,50.939236,50.026966,48.998726,50.150726,51.604637,51.454853,47.696594,48.89154,50.607315,52.66142,50.07581,51.956387,50.168125,49.084435,48.782406,52.75075,50.640038,50.73533,49.55682,50.669636,51.191994,49.66072,48.923798,50.465687,50.006573,49.329895,53.98686,50.59074,49.946518,54.81639,50.27102,51.33107,50.792442,51.886215,49.65083,50.083927,50.132977,50.773766,46.722622,48.50289,50.523075,49.54882,50.575325,50.796402
