Date,ABW,AFG,AGO,AIA,ALB,AND,ARE,ARG,ARM,ASM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BES,BFA,BGD,BGR,BHR,BHS,BIH,BLM,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CUW,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESH,ESP,EST,ETH,FIN,FJI,FLK,FRA,FRO,FSM,GAB,GBR,GEO,GGY,GHA,GIB,GIN,GLP,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUF,GUM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IMN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JEY,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAC,MAF,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MNP,MOZ,MRT,MSR,MTQ,MUS,MWI,MYS,MYT,NAM,NCL,NER,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,OWID_KOS,OWID_WRL,PAK,PAN,PER,PHL,PLW,PNG,POL,PRI,PRK,PRT,PRY,PSE,PYF,QAT,REU,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SHN,SLB,SLE,SLV,SMR,SOM,SPM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKL,TKM,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,URY,USA,UZB,VAT,VCT,VEN,VGB,VIR,VNM,VUT,WLF,WSM,YEM,ZAF,ZMB,ZWE
1951,1122.0,103162.0,50699.0,201.0,28505.0,-177.0,5033.0,338433.0,34381.0,384.0,987.0,241862.0,-5974.0,55166.0,50809.0,38317.0,16823.0,38.0,47243.0,815460.0,65923.0,3492.0,1097.0,39833.0,52.0,61830.0,2045.0,586.0,47314.0,1610295.0,3482.0,2889.0,4623.0,9865.0,23192.0,341564.0,55445.0,128091.0,9713885.0,74182.0,65282.0,248355.0,18370.0,362.0,311822.0,3595.0,2221.0,31647.0,117688.0,2641.0,142.0,7186.0,80527.0,-65722.0,1976.0,247.0,31848.0,70250.0,251447.0,91037.0,457744.0,12161.0,1251.0,137800.0,14135.0,318624.0,39234.0,6608.0,19.0,450540.0,232.0,899.0,2796.0,225808.0,43793.0,881.0,148462.0,-191.0,48795.0,4059.0,7737.0,6115.0,4062.0,61794.0,650.0,460.0,80164.0,313.0,512.0,11064.0,91139.0,42550.0,46690.0,49202.0,85305.0,1487287.0,-33.0,7591242.0,24208.0,410729.0,120776.0,2757.0,62578.0,360212.0,40247.0,908.0,32356.0,1406649.0,233760.0,124392.0,36370.0,100450.0,780.0,1083.0,111659.0,4493.0,40695.0,38219.0,17507.0,13916.0,982.0,231.0,145276.0,10712.0,25826.0,1570.0,15193.0,3442.0,132.0,223837.0,679.0,44367.0,101135.0,1259.0,732550.0,116.0,22362.0,69781.0,5776.0,333288.0,7548.0,12633.0,127.0,67914.0,13169.0,-98.0,5417.0,15602.0,52588.0,159135.0,391.0,5795.0,940.0,86929.0,711072.0,38209.0,40.0,150783.0,30772.0,176046.0,110.0,39950.0,5766.0,15850.0,43834180.0,732652.0,21166.0,216209.0,718560.0,186.0,31484.0,442519.0,18431.0,-533159.0,55330.0,33590.0,8316.0,1558.0,783.0,9290.0,228336.0,1452284.0,78949.0,60331.0,186158.0,64266.0,54722.0,46.0,2316.0,23663.0,51804.0,174.0,63543.0,45.0,57854.0,36340.0,882.0,4953.0,59631.0,16371.0,56329.0,6947.0,107.0,389.0,72776.0,7.0,44955.0,24801.0,536770.0,60021.0,-33.0,24898.0,3498.0,1290.0,16974.0,73103.0,622731.0,177.0,266260.0,187820.0,160257.0,496867.0,21993.0,2278631.0,145096.0,6.0,1687.0,243750.0,18.0,664.0,499541.0,828.0,278.0,2232.0,67374.0,270513.0,72008.0,89989.0
1952,1171.0,108442.0,49131.0,165.0,32006.0,-373.0,5210.0,342423.0,36829.0,118.0,969.0,212081.0,-3228.0,59843.0,50058.0,40883.0,18480.0,84.0,49952.0,870706.0,47514.0,3702.0,1569.0,44460.0,23.0,75182.0,2232.0,542.0,50241.0,1676036.0,3111.0,3039.0,4779.0,10150.0,23567.0,399494.0,63532.0,135320.0,11373193.0,76358.0,69350.0,260985.0,19039.0,283.0,327045.0,3442.0,2238.0,33388.0,119983.0,2766.0,120.0,7621.0,79976.0,44891.0,2045.0,395.0,31980.0,74897.0,251340.0,94569.0,499025.0,13313.0,1330.0,191189.0,13691.0,337130.0,43183.0,7244.0,3.0,446616.0,114.0,916.0,2946.0,149401.0,45554.0,270.0,158356.0,1.0,49719.0,6075.0,8147.0,4180.0,4065.0,62674.0,1013.0,505.0,84283.0,302.0,578.0,12128.0,95317.0,44345.0,45733.0,51354.0,80749.0,1590119.0,-431.0,8004838.0,4599.0,423158.0,138872.0,2345.0,62404.0,266287.0,33872.0,705.0,35281.0,1285209.0,237888.0,139703.0,37075.0,102254.0,793.0,1070.0,360892.0,4713.0,40942.0,39520.0,18570.0,17089.0,432.0,223.0,155235.0,11675.0,27582.0,1757.0,15625.0,307.0,120.0,235594.0,207.0,47041.0,103638.0,1360.0,769669.0,105.0,23502.0,69668.0,4460.0,347592.0,8835.0,12771.0,89.0,72604.0,13918.0,-103.0,5330.0,16034.0,56503.0,165433.0,412.0,6248.0,1015.0,87148.0,722113.0,39364.0,9.0,117753.0,31879.0,174641.0,98.0,46541.0,6075.0,16706.0,47159301.0,795093.0,22452.0,223049.0,760666.0,165.0,34608.0,449769.0,16140.0,-329931.0,49226.0,34662.0,9363.0,1714.0,817.0,9672.0,220447.0,1481727.0,80463.0,62913.0,192549.0,67369.0,58055.0,21.0,2527.0,23909.0,52658.0,161.0,63574.0,53.0,60215.0,39584.0,828.0,5838.0,66461.0,16942.0,51789.0,7023.0,96.0,308.0,80384.0,-38.0,45885.0,25523.0,562395.0,57260.0,-4.0,26466.0,4153.0,1398.0,17693.0,76082.0,646230.0,123.0,286186.0,196109.0,165859.0,498963.0,24704.0,2312907.0,151522.0,6.0,1829.0,248772.0,-5.0,459.0,543640.0,910.0,381.0,2197.0,74022.0,286518.0,73963.0,92012.0
1953,1209.0,108919.0,54659.0,130.0,35222.0,-118.0,5389.0,342413.0,39460.0,133.0,976.0,185387.0,4828.0,65606.0,49383.0,45223.0,20427.0,105.0,50974.0,898369.0,53965.0,3933.0,2079.0,54530.0,19.0,86034.0,2164.0,478.0,53435.0,1738868.0,2718.0,3333.0,4955.0,10261.0,24130.0,415084.0,64046.0,141553.0,12425705.0,79409.0,73734.0,265816.0,19779.0,270.0,340196.0,3626.0,2118.0,35211.0,123572.0,2888.0,148.0,8038.0,75382.0,108176.0,2133.0,535.0,36866.0,79777.0,251446.0,97896.0,539199.0,14358.0,1439.0,226660.0,12771.0,348592.0,48932.0,7840.0,5.0,447593.0,13.0,997.0,3178.0,230802.0,47177.0,107.0,166478.0,128.0,50833.0,6329.0,8455.0,3708.0,4114.0,65732.0,1267.0,642.0,87154.0,331.0,670.0,13320.0,99530.0,46125.0,48719.0,53571.0,90552.0,1692709.0,-572.0,8229672.0,-12376.0,433672.0,151244.0,2975.0,62103.0,392715.0,28404.0,648.0,37664.0,1189041.0,239680.0,150604.0,37946.0,102520.0,847.0,1054.0,545446.0,4917.0,41622.0,40932.0,19407.0,20821.0,-73.0,245.0,163562.0,12528.0,28713.0,1780.0,15657.0,-820.0,124.0,244687.0,107.0,49722.0,106689.0,1418.0,809082.0,93.0,24933.0,68444.0,4435.0,361892.0,8581.0,13178.0,110.0,72350.0,14584.0,-84.0,5848.0,14713.0,59843.0,171081.0,449.0,6590.0,1070.0,87297.0,723608.0,40890.0,20.0,111231.0,33187.0,170927.0,89.0,49999.0,6337.0,17784.0,50019914.0,852661.0,23744.0,228240.0,803750.0,188.0,40710.0,454000.0,14214.0,-76220.0,49315.0,35702.0,10352.0,1876.0,855.0,10121.0,211653.0,1525297.0,81851.0,65654.0,197296.0,70549.0,61423.0,11.0,2729.0,23616.0,54025.0,163.0,63320.0,46.0,65151.0,42528.0,749.0,6015.0,68227.0,17895.0,46742.0,7103.0,95.0,315.0,87583.0,-28.0,47480.0,26143.0,581754.0,55461.0,14.0,29138.0,4572.0,1520.0,18425.0,79222.0,668459.0,121.0,302388.0,204042.0,172409.0,499363.0,26927.0,2374098.0,161601.0,6.0,1976.0,253402.0,10.0,444.0,614050.0,1025.0,359.0,2061.0,79118.0,297366.0,76277.0,94257.0
1954,1249.0,111254.0,60358.0,147.0,37502.0,281.0,5502.0,339909.0,42411.0,74.0,999.0,183301.0,7798.0,72103.0,49409.0,46525.0,22573.0,220.0,52555.0,949910.0,60352.0,4179.0,2584.0,60988.0,31.0,98241.0,2158.0,519.0,56880.0,1801368.0,2323.0,3646.0,5115.0,10075.0,24811.0,421113.0,63090.0,147029.0,12556729.0,83399.0,78432.0,273590.0,20562.0,274.0,354787.0,3547.0,2005.0,37097.0,127085.0,2958.0,150.0,8379.0,68585.0,169507.0,2212.0,710.0,37307.0,84273.0,241736.0,101222.0,568421.0,15324.0,1561.0,225128.0,12162.0,363264.0,47488.0,8528.0,-36.0,449019.0,38.0,1002.0,3400.0,231211.0,48762.0,118.0,175463.0,105.0,52047.0,6418.0,8715.0,3349.0,4188.0,69598.0,1563.0,691.0,90291.0,393.0,720.0,14437.0,104281.0,47861.0,41997.0,55690.0,110112.0,1798227.0,-620.0,8582576.0,-13907.0,448097.0,155223.0,3517.0,61712.0,421334.0,23711.0,625.0,39748.0,1083499.0,243558.0,164242.0,39611.0,103360.0,859.0,902.0,640256.0,5164.0,42318.0,42393.0,20378.0,24878.0,-232.0,249.0,170805.0,13420.0,29582.0,1794.0,16842.0,-1714.0,124.0,253745.0,11.0,52053.0,109795.0,1515.0,853776.0,74.0,20531.0,68099.0,4402.0,376757.0,6879.0,13745.0,130.0,73866.0,15280.0,-116.0,6476.0,13572.0,62305.0,178434.0,511.0,6775.0,1144.0,87694.0,736513.0,42351.0,19.0,122215.0,33365.0,169540.0,78.0,47396.0,6651.0,19068.0,51788628.0,907405.0,24881.0,234408.0,850004.0,206.0,43266.0,464017.0,13240.0,65385.0,44232.0,36625.0,11363.0,2059.0,875.0,10828.0,208961.0,1611577.0,83777.0,68457.0,203730.0,73838.0,64767.0,1.0,2897.0,24245.0,55840.0,170.0,63733.0,66.0,74476.0,45365.0,654.0,6262.0,67968.0,18035.0,42042.0,7193.0,101.0,384.0,95044.0,34.0,49221.0,26695.0,604016.0,54629.0,22.0,32679.0,4914.0,1651.0,19289.0,82125.0,677551.0,102.0,316391.0,211670.0,178926.0,513947.0,28827.0,2467983.0,171679.0,7.0,2136.0,258036.0,60.0,523.0,669951.0,1122.0,163.0,2105.0,83842.0,310880.0,78724.0,96717.0
1955,1282.0,119023.0,66066.0,102.0,37760.0,547.0,5608.0,334835.0,45522.0,103.0,998.0,205808.0,6776.0,79376.0,50059.0,47104.0,24871.0,173.0,55186.0,1026388.0,57397.0,4503.0,3086.0,61958.0,10.0,111790.0,2182.0,514.0,60163.0,1866275.0,1746.0,3994.0,5300.0,9873.0,25608.0,409287.0,63374.0,151742.0,13433152.0,88092.0,83379.0,287317.0,21418.0,288.0,372221.0,3438.0,2052.0,38940.0,130261.0,3089.0,139.0,8762.0,68243.0,229524.0,2306.0,869.0,32436.0,88533.0,233034.0,104679.0,582672.0,16215.0,1684.0,231944.0,12068.0,381740.0,47946.0,9337.0,2.0,459209.0,45.0,1058.0,3655.0,218505.0,51288.0,72.0,185502.0,81.0,53289.0,6394.0,8990.0,3092.0,4223.0,73834.0,1869.0,758.0,94224.0,707.0,819.0,15375.0,109589.0,49578.0,32606.0,58210.0,118627.0,1906124.0,-675.0,9013746.0,-15650.0,474600.0,146800.0,3482.0,61450.0,298594.0,20255.0,613.0,41713.0,1017800.0,251605.0,181175.0,42266.0,106550.0,910.0,797.0,709527.0,12862.0,43091.0,43654.0,21622.0,33212.0,-296.0,258.0,177388.0,14295.0,30603.0,1837.0,18421.0,-2430.0,126.0,264807.0,-87.0,54006.0,112795.0,1594.0,897578.0,100.0,15674.0,69021.0,4392.0,393834.0,6229.0,14663.0,165.0,77496.0,16062.0,-65.0,5905.0,14109.0,65004.0,187593.0,531.0,7070.0,1206.0,88403.0,759310.0,43986.0,34.0,135487.0,34129.0,170222.0,97.0,44518.0,6986.0,20171.0,54318918.0,960998.0,25889.0,242702.0,898070.0,205.0,45711.0,473166.0,12366.0,160513.0,45917.0,37364.0,12363.0,2293.0,922.0,11299.0,208605.0,1697739.0,86165.0,71327.0,212051.0,77116.0,67943.0,-11.0,3071.0,25829.0,58770.0,180.0,64935.0,72.0,79439.0,47985.0,613.0,6561.0,69312.0,17036.0,48865.0,7279.0,113.0,414.0,102727.0,107.0,51247.0,27174.0,629834.0,54551.0,2.0,35812.0,5252.0,1737.0,20093.0,85608.0,674403.0,67.0,336369.0,220062.0,185401.0,539681.0,30161.0,2563728.0,184234.0,7.0,2309.0,263014.0,54.0,484.0,738529.0,1213.0,-63.0,2159.0,88535.0,329574.0,81267.0,99341.0
1956,1299.0,127332.0,71492.0,35.0,37973.0,611.0,5705.0,333932.0,49312.0,78.0,1004.0,219473.0,5615.0,87299.0,50656.0,46660.0,27237.0,2.0,57594.0,1086730.0,53505.0,4849.0,3586.0,63392.0,-10.0,122198.0,2223.0,487.0,63339.0,1932608.0,1211.0,4341.0,5483.0,9856.0,26474.0,431345.0,63497.0,157223.0,13011571.0,93395.0,88083.0,299589.0,22381.0,261.0,388751.0,3366.0,2232.0,40798.0,132969.0,3200.0,150.0,9200.0,68600.0,279755.0,2380.0,1028.0,27498.0,92400.0,234756.0,108344.0,592123.0,17169.0,1787.0,233899.0,11279.0,399108.0,46736.0,10138.0,8.0,452418.0,210.0,1099.0,3971.0,223706.0,55555.0,99.0,194680.0,63.0,54644.0,6503.0,9244.0,2908.0,4319.0,76292.0,2167.0,918.0,97859.0,1024.0,886.0,16202.0,116061.0,51265.0,29406.0,61066.0,30772.0,2009061.0,-709.0,9288013.0,-15784.0,503583.0,141230.0,3339.0,61153.0,271119.0,18263.0,581.0,43541.0,916522.0,263053.0,198369.0,45212.0,109100.0,957.0,836.0,749336.0,21104.0,44009.0,45074.0,22760.0,41568.0,-355.0,277.0,183897.0,15123.0,32032.0,1633.0,19048.0,-3271.0,121.0,275904.0,146.0,55690.0,116301.0,1706.0,937342.0,83.0,15239.0,70050.0,4311.0,408729.0,6098.0,19793.0,166.0,80569.0,16876.0,-88.0,5196.0,14965.0,68748.0,196672.0,563.0,7474.0,1454.0,89466.0,780431.0,45731.0,40.0,138533.0,32552.0,169902.0,136.0,45181.0,7371.0,20678.0,55196204.0,1015863.0,26903.0,251453.0,945224.0,172.0,48221.0,471942.0,11410.0,197076.0,41175.0,38118.0,13365.0,2477.0,987.0,11163.0,216229.0,1748115.0,88512.0,74266.0,219910.0,80425.0,70727.0,-13.0,3162.0,27095.0,61576.0,257.0,66131.0,45.0,76423.0,49514.0,622.0,6952.0,70910.0,16126.0,53198.0,7398.0,120.0,490.0,110030.0,123.0,53412.0,27703.0,654084.0,55211.0,7.0,39032.0,5546.0,1835.0,20454.0,77465.0,747090.0,42.0,361569.0,229922.0,191679.0,559426.0,31344.0,2624939.0,198009.0,5.0,2451.0,268492.0,29.0,478.0,755873.0,1282.0,-136.0,2284.0,93431.0,347323.0,83875.0,102314.0
1957,1286.0,134029.0,76386.0,35.0,41122.0,623.0,5819.0,333066.0,53331.0,30.0,1026.0,214105.0,13571.0,95475.0,51168.0,49708.0,29873.0,5.0,59916.0,1150251.0,62380.0,5240.0,4030.0,64375.0,-12.0,128468.0,2258.0,452.0,66222.0,1997499.0,1289.0,4626.0,5666.0,10019.0,27433.0,481710.0,64550.0,161771.0,13797624.0,99251.0,90592.0,312324.0,23386.0,256.0,408461.0,3620.0,2447.0,42790.0,135653.0,3291.0,149.0,9765.0,60953.0,474239.0,2481.0,1205.0,23315.0,95751.0,235322.0,112321.0,607050.0,15395.0,1891.0,246286.0,10622.0,354858.0,42257.0,10691.0,11.0,447844.0,407.0,1139.0,4278.0,255452.0,59963.0,169.0,202889.0,36.0,56149.0,6686.0,9506.0,2774.0,4397.0,75979.0,2340.0,1083.0,101562.0,1091.0,973.0,16940.0,122927.0,52915.0,26568.0,63011.0,-16067.0,2108276.0,-752.0,9264997.0,-14653.0,522457.0,125870.0,3678.0,59893.0,255075.0,17705.0,581.0,45257.0,766980.0,277213.0,217196.0,48700.0,110962.0,973.0,844.0,786352.0,19826.0,44908.0,46782.0,23791.0,45892.0,-368.0,288.0,193775.0,17359.0,34422.0,1491.0,20614.0,-3990.0,122.0,286530.0,366.0,56746.0,120210.0,1819.0,974776.0,69.0,14330.0,71152.0,4243.0,423479.0,6051.0,24753.0,176.0,83140.0,17743.0,-81.0,5428.0,15851.0,72457.0,206178.0,590.0,8038.0,1947.0,91087.0,801412.0,47484.0,53.0,137115.0,30906.0,170156.0,141.0,48845.0,7805.0,21728.0,57208345.0,1071206.0,28031.0,260404.0,990052.0,160.0,50065.0,540912.0,9841.0,254288.0,39212.0,39074.0,14378.0,2117.0,1104.0,11639.0,195790.0,1821231.0,91063.0,77317.0,227865.0,83434.0,67334.0,17.0,3338.0,28283.0,64343.0,340.0,67338.0,31.0,73703.0,49510.0,639.0,7335.0,68575.0,15393.0,51365.0,7520.0,130.0,585.0,117106.0,114.0,55438.0,28242.0,677566.0,56683.0,24.0,42348.0,5863.0,1790.0,20806.0,54003.0,823321.0,53.0,384822.0,241018.0,198440.0,579627.0,32399.0,2674265.0,211021.0,2.0,2563.0,275124.0,54.0,476.0,832107.0,1461.0,-175.0,2575.0,98513.0,364153.0,86656.0,105608.0
1958,1312.0,135072.0,80480.0,-15.0,46031.0,675.0,5973.0,331213.0,56749.0,-30.0,1047.0,208869.0,21496.0,103834.0,50939.0,54261.0,32663.0,54.0,60714.0,1179396.0,75334.0,5656.0,4462.0,65482.0,22.0,132753.0,2320.0,419.0,68975.0,2060655.0,1468.0,4805.0,5854.0,10302.0,28389.0,462750.0,66281.0,164690.0,13863274.0,105813.0,93276.0,315526.0,24422.0,280.0,423025.0,3990.0,2806.0,44930.0,138565.0,3388.0,142.0,10457.0,50724.0,606533.0,2569.0,1396.0,26410.0,98566.0,236131.0,116632.0,605920.0,13782.0,2017.0,279701.0,11632.0,306534.0,35677.0,11163.0,20.0,457133.0,437.0,1186.0,4666.0,279732.0,64093.0,159.0,207644.0,-3.0,57781.0,6912.0,9828.0,2675.0,4462.0,78011.0,2269.0,1176.0,104292.0,1125.0,1044.0,17558.0,128308.0,54574.0,23995.0,64891.0,42750.0,2201922.0,-786.0,9523544.0,-15087.0,539652.0,108301.0,3715.0,58466.0,270081.0,18599.0,606.0,46459.0,737978.0,288728.0,229924.0,52523.0,110397.0,1014.0,814.0,813135.0,23161.0,45891.0,47626.0,24313.0,50361.0,-375.0,309.0,207808.0,19662.0,37181.0,1595.0,23176.0,-4522.0,128.0,293180.0,307.0,56571.0,124222.0,1926.0,1012358.0,168.0,14869.0,70327.0,2718.0,433718.0,6062.0,26071.0,216.0,83380.0,18636.0,-102.0,5543.0,16747.0,76186.0,200074.0,637.0,8748.0,2281.0,93384.0,807178.0,49283.0,43.0,160498.0,31017.0,168207.0,139.0,51299.0,8352.0,23188.0,58631307.0,1126929.0,29257.0,269777.0,1026665.0,147.0,51465.0,567149.0,8473.0,309074.0,49497.0,40168.0,15387.0,1703.0,1342.0,11831.0,158837.0,1858438.0,92252.0,80559.0,233570.0,86397.0,57445.0,21.0,3623.0,28573.0,66155.0,332.0,67692.0,62.0,70790.0,44257.0,686.0,7762.0,65861.0,14383.0,47462.0,7629.0,150.0,618.0,124261.0,78.0,57272.0,28747.0,692177.0,59538.0,46.0,45630.0,6187.0,1694.0,21326.0,41107.0,824048.0,61.0,395629.0,251804.0,205869.0,628301.0,33102.0,2716066.0,226103.0,2.0,2692.0,282537.0,98.0,527.0,904023.0,1594.0,-203.0,2798.0,104128.0,375582.0,89795.0,109030.0
1959,1316.0,145859.0,83973.0,-20.0,51057.0,705.0,6177.0,335349.0,60123.0,-20.0,1079.0,212396.0,26928.0,112129.0,52188.0,59616.0,35493.0,61.0,63565.0,1257708.0,69295.0,6111.0,4920.0,66957.0,17.0,137230.0,2341.0,420.0,71637.0,2122319.0,1515.0,4861.0,6062.0,10790.0,29667.0,411440.0,66363.0,167430.0,8488728.0,113865.0,97870.0,333792.0,25537.0,329.0,442928.0,3725.0,3256.0,47021.0,142048.0,3453.0,136.0,11287.0,38689.0,547051.0,2651.0,1518.0,32405.0,100954.0,235988.0,121272.0,626541.0,17959.0,2150.0,291041.0,9529.0,397815.0,34887.0,11686.0,25.0,470265.0,493.0,1256.0,5075.0,290827.0,68057.0,161.0,215391.0,-8.0,59337.0,7147.0,10167.0,2607.0,4612.0,82725.0,2024.0,1294.0,109467.0,1180.0,1103.0,17989.0,129050.0,56169.0,21386.0,66975.0,56173.0,2300115.0,-814.0,10003243.0,-14787.0,580278.0,128713.0,3527.0,57350.0,292353.0,19960.0,628.0,46784.0,776013.0,299536.0,247944.0,58460.0,112091.0,1058.0,841.0,824297.0,29319.0,46460.0,49233.0,25301.0,54753.0,-357.0,323.0,221350.0,20622.0,43737.0,2011.0,33686.0,-5238.0,140.0,303271.0,247.0,62800.0,128237.0,2007.0,1052191.0,396.0,16969.0,72187.0,938.0,447599.0,6093.0,28116.0,204.0,88846.0,19620.0,-89.0,5676.0,17686.0,80223.0,192888.0,683.0,9589.0,2420.0,96235.0,837032.0,51053.0,44.0,160725.0,29833.0,172661.0,158.0,48498.0,8983.0,24782.0,54700698.0,1183104.0,30638.0,280000.0,1065095.0,215.0,52523.0,488889.0,8860.0,289240.0,47605.0,41313.0,16383.0,1753.0,1680.0,11984.0,141568.0,1705126.0,92275.0,83914.0,243445.0,89554.0,52020.0,10.0,3829.0,30190.0,68869.0,358.0,69688.0,55.0,67969.0,40420.0,735.0,8149.0,61977.0,13585.0,39205.0,7747.0,163.0,671.0,131777.0,86.0,58954.0,29129.0,721013.0,63622.0,49.0,48241.0,6526.0,1773.0,21183.0,43188.0,821362.0,57.0,398018.0,261672.0,213676.0,617209.0,33284.0,2930472.0,246303.0,1.0,2840.0,287249.0,124.0,557.0,927100.0,1700.0,-237.0,2870.0,110174.0,394548.0,93196.0,112630.0
1960,927.0,165769.0,86555.0,-2.0,54364.0,745.0,6398.0,336451.0,62694.0,222.0,1076.0,220779.0,33008.0,119883.0,54663.0,56424.0,38363.0,93.0,67788.0,1386896.0,68757.0,6561.0,5403.0,69006.0,21.0,126676.0,2324.0,573.0,74125.0,2173647.0,2110.0,4507.0,6280.0,11283.0,31018.0,383270.0,64957.0,169931.0,2093848.0,124720.0,88971.0,373262.0,26573.0,362.0,469981.0,3412.0,3671.0,48909.0,145755.0,2749.0,157.0,11913.0,33212.0,569915.0,2931.0,1262.0,30867.0,103042.0,235304.0,126121.0,669606.0,22010.0,2267.0,264235.0,10519.0,498593.0,34871.0,12129.0,17.0,464376.0,469.0,1399.0,5520.0,312073.0,72110.0,188.0,225680.0,-22.0,60980.0,7398.0,10528.0,2610.0,4796.0,86758.0,1617.0,1373.0,117154.0,1235.0,1432.0,16093.0,120309.0,57741.0,18183.0,68760.0,46536.0,2403202.0,-842.0,10209653.0,-11526.0,623662.0,151672.0,3560.0,55590.0,295102.0,21771.0,648.0,45864.0,776788.0,307809.0,272564.0,66212.0,117024.0,1116.0,335.0,817164.0,31538.0,47022.0,51622.0,26966.0,58936.0,236.0,323.0,231233.0,21565.0,46423.0,1838.0,34182.0,-5103.0,140.0,307919.0,152.0,68813.0,131937.0,2137.0,1097355.0,509.0,17982.0,76899.0,469.0,466236.0,6306.0,30178.0,241.0,103291.0,20694.0,-84.0,5881.0,15485.0,83974.0,200434.0,697.0,10525.0,2558.0,99593.0,892105.0,52570.0,17.0,138821.0,28282.0,184750.0,154.0,45996.0,9176.0,26432.0,49520562.0,1214153.0,32197.0,290477.0,984293.0,219.0,53625.0,443438.0,21844.0,269960.0,32856.0,42554.0,17169.0,1776.0,2350.0,12500.0,125804.0,1640246.0,89891.0,87391.0,258009.0,92574.0,51560.0,25.0,3551.0,33330.0,73891.0,349.0,73233.0,25.0,67743.0,42780.0,729.0,8540.0,59767.0,12958.0,31039.0,7824.0,185.0,764.0,139725.0,79.0,60509.0,29360.0,763727.0,66844.0,56.0,50043.0,6854.0,1810.0,19931.0,46394.0,803571.0,46.0,402087.0,272142.0,217543.0,579822.0,32807.0,3128784.0,273649.0,-2.0,2236.0,290860.0,143.0,1337.0,946380.0,1757.0,-273.0,2936.0,116382.0,425214.0,96669.0,116588.0
