Date,AFG,AGO,ALB,ARG,ARM,BDI,BEN,BFA,BGD,BIH,BLZ,BOL,BRA,BRB,BTN,BWA,CAF,CHN,CIV,CMR,COD,COG,COL,COM,CRI,CUB,DOM,DZA,ECU,EGY,ETH,FJI,GAB,GEO,GHA,GIN,GMB,GNB,GTM,GUY,HND,HTI,IDN,IND,IRQ,JAM,JOR,KAZ,KEN,KGZ,KHM,KIR,LAO,LBR,LBY,LCA,LKA,LSO,MAR,MDA,MDG,MDV,MEX,MKD,MLI,MMR,MNE,MNG,MOZ,MRT,MWI,NAM,NER,NGA,NIC,NPL,PAK,PER,PHL,PNG,PRY,PSE,RWA,SDN,SEN,SLE,SLV,SRB,STP,SUR,SWZ,SYC,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUV,TZA,UGA,UKR,UZB,VNM,WSM,YEM,ZAF,ZMB,ZWE
2011,,,,,,,,,,2.1901336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.4602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,2.4913368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9211311,,,,0.9436332,,,,,,,,,,,,,90.97116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24423733,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.881012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,3.88502,,,,24.266834,,,,,,,,5.2386203,,,,,,,,,28.881828,,,,,,,,,,,,,,,,1.998519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.32804,,,7.8608856,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,51.10411,,,0.19055338,,,,,,4.3035436,,3.8419268,,,17.219296,,,,,,,4.8462505,,,,,,,,,,,,,,,,,,,,,,,,,0.4529779,,,,,,,,,,,,,,,,,,38.315857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,75.09747,,,,,,9.060217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.268898,,,,,,,,,,,,,,,2.920718,,,,,0.77198905,,,,,,,,,,,,,,,,,,56.628628,4.5007453,,,,,,,,,,,,,,,,,48.2537,,,,,,57.168484,,,,,,6.2568817,,
2017,,,0.7035613,,,,,,,,,,,,,,,,,,64.51798,,,,,,,,,,,,,,,,,,,,,,3.619007,,,,0.43120325,,,,,,23.072346,,,,,,6.3597007,,,,,,,,,,,,,,,,,,38.33213,,,,,,,,,,,,,,,,,37.612297,,7.4446063,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,80.41418,,,43.591637,,,,,0.54046667,,,1.3808349,2.0912206,,,,,0.34012586,,66.211105,,64.39631,,,,,,,8.635419,2.7756622,,,,0.3930311,,19.802591,,,,,,19.604542,,,,,,0.37185663,68.33225,,1.2357647,7.2584486,,,,,,,,,,,,,,,,,,,,,,2.8537397,,,,,,,,,,,,,,,,,,,,,47.90613,
2019,,,,0.43232334,,,,,24.640574,,,,,,,,,,,,,,,,,0.70643204,2.2666078,,,,68.736855,,8.6466675,,,,41.70908,,,1.823615,11.974922,,,16.392805,,,,,,,,,,52.323074,,,,,,,,,,,,,,,,58.448082,49.88339,,,,,,,,,,,0.5661842,48.822403,,50.83238,59.221962,,0.11367367,11.712264,,,0.8657576,84.17495,,,,0.24940716,,0.8746081,,,2.114436,,,,,,6.288499,,,,25.80004
2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9191206,,,,,
2021,,,,,,,55.92333,64.47462,,,,,,,,,,,42.773384,,,,,,,,,,,,,1.5113224,,,,,,,,,,,,,,,,,,,16.644697,,,,,,,,,,68.41886,,,,,,,,,,,,,33.044067,,,,,,,,,,,,,,,,,7.8989944,,,,,,,,,,,,,,,1.7295365,,,,,,
2022,64.88285,,,,,,,,,,,,,,9.79341,,,,,,,,,19.218914,,,,,,,,,,,24.799389,,,,,,,,,,,,,,25.352285,,,,,,,,,,,,,,5.002363,,,,,,60.671295,,,,,,,20.06567,,6.3801527,3.8866591,,,,,,,,,,,,,,,,0.49100214,,,,,0.5342813,,,47.215374,,,,,,37.419243,,,
2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.97762847,,,,,,,,,,,
