Date,ABW,AFG,AGO,ALB,AND,ARE,ARG,ARM,ASM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CUW,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IMN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MNP,MOZ,MRT,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NRU,NZL,OMN,OWID_CIS,OWID_WRL,PAK,PAN,PER,PHL,PLW,PNG,POL,PRI,PRK,PRT,PRY,PSE,PYF,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VGB,VIR,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
1960,27035.0,8276009.0,4685731.0,1114818.0,3951.0,34804.0,5379673.0,908090.0,6803.0,33553.0,1898168.0,2486372.0,1843539.0,2706844.0,690173.0,2283808.0,4554026.0,49167258.0,4948578.0,29256.0,46862.0,2656606.0,5541766.0,41981.0,0.0,2341275.0,38988969.0,145977.0,50004.0,216026.0,500370.0,1360174.0,5540976.0,1549119.0,2622443.0,558984648.0,3024199.0,4440039.0,11860785.0,722794.0,8385528.0,172887.0,174994.0,872776.0,3010969.0,31568.0,0.0,377535.0,3884203.0,20836712.0,42732.0,36902.0,1205031.0,2281593.0,7939178.0,3035589.0,16712396.0,877247.0,13227520.0,514503.0,20001530.0,1980489.0,284712.0,18073822.0,33453.0,423183.0,11295344.0,2075477.0,5342593.0,0.0,3184286.0,349779.0,499075.0,200906.0,3671291.0,65528.0,13476.0,2799005.0,34660.0,404040.0,460971.0,1593003.0,2891751.0,3256796.0,4401831.0,75417205.0,21930.0,357843430.0,1550525.0,14227383.0,4009662.0,34588.0,489438.0,20400656.0,1092815.0,419233.0,34236372.0,5262118.0,7128778.0,1429786.0,4889437.0,39475.0,40382.0,18081445.0,78098.0,1952938.0,1034601.0,927206.0,1084988.0,72716.0,13089.0,8073926.0,710634.0,1682134.0,95585.0,999681.0,8165.0,8212201.0,0.0,1575949.0,4567113.0,81000.0,18085771.0,9471.0,946852.0,4804704.0,32234.0,17552392.0,390288.0,628799.0,4262.0,6252598.0,767586.0,439093.0,3468859.0,5840008.0,485540.0,49999.0,3302002.0,38110994.0,1076890.0,4623139.0,1793484.0,9771355.0,0.0,569279.0,443485.0,67925.0,2004078180.0,35605724.0,661539.0,5411516.0,19441489.0,4028.0,1920792.0,15443482.0,1307582.0,7010912.0,5761501.0,1213567.0,,48294.0,5302.0,12110087.0,55475143.0,2943714.0,1674340.0,7465641.0,2572498.0,0.0,131631.0,1874751.0,1720823.0,7884.0,2378381.0,4709435.0,2675106.0,57080.0,139190.0,2706748.0,1137766.0,2059029.0,331824.0,0.0,30160.0,2953325.0,2929.0,2845651.0,1504159.0,21569471.0,1411579.0,880696.0,420880.0,54556.0,556353.0,2666586.0,19401731.0,4708.0,9381991.0,7303471.0,22785843.0,499894.0,54208527.0,5419818.0,62495.0,3132414.0,6978.0,14145.0,27749739.0,57728.0,91200.0,5028862.0,8775928.0,2581485.0,3329101.0
1961,27366.0,8413932.0,4729118.0,1146208.0,4012.0,35349.0,5343856.0,922359.0,6894.0,34467.0,1893125.0,2493385.0,1927233.0,2775156.0,683837.0,2306986.0,4615703.0,50496628.0,4862618.0,30441.0,48324.0,2688941.0,5498539.0,43333.0,0.0,2378371.0,39449868.0,147235.0,50673.0,221858.0,511592.0,1374637.0,5541960.0,1562740.0,2608993.0,550002064.0,3089613.0,4480207.0,12134738.0,733936.0,8417469.0,174345.0,178634.0,904894.0,3059153.0,31403.0,0.0,380087.0,3828621.0,20768071.0,43401.0,37383.0,1179808.0,2323753.0,7931247.0,3094732.0,17037482.0,894881.0,13124738.0,510808.0,20449346.0,1948522.0,291149.0,17913484.0,34549.0,423268.0,11418528.0,2090349.0,5458167.0,0.0,3223717.0,358505.0,502451.0,203027.0,3657099.0,66240.0,13545.0,2856329.0,34778.0,413338.0,465932.0,1626611.0,2873765.0,3301367.0,4379303.0,77335078.0,21636.0,366040177.0,1542320.0,14516910.0,3997869.0,34368.0,481028.0,20287312.0,1095986.0,427146.0,33659463.0,5382892.0,7383495.0,1477366.0,4997728.0,40148.0,39692.0,18414469.0,83764.0,1995778.0,1035326.0,942453.0,1117039.0,73206.0,13448.0,8256868.0,728775.0,1681622.0,95285.0,997488.0,8098.0,8369775.0,0.0,1593985.0,4670602.0,82956.0,18342606.0,9594.0,942747.0,4859441.0,32301.0,17864859.0,395358.0,628966.0,4251.0,6353005.0,783254.0,436849.0,3548744.0,5940367.0,492501.0,50519.0,3395425.0,38799801.0,1101320.0,4653157.0,1768874.0,9949926.0,0.0,568025.0,445515.0,68817.0,2016568378.0,36363520.0,674430.0,5510124.0,19995036.0,4098.0,1963791.0,15423370.0,1297458.0,7055096.0,5773339.0,1239893.0,,48512.0,5677.0,12080581.0,55009623.0,3024325.0,1708493.0,7665064.0,2623844.0,0.0,134283.0,1891701.0,1764285.0,7899.0,2425555.0,4678876.0,2716648.0,57161.0,143769.0,2768470.0,1130127.0,2008215.0,337950.0,0.0,30573.0,3014530.0,2922.0,2895293.0,1516440.0,22180821.0,1449591.0,906073.0,426607.0,55839.0,561009.0,2678250.0,19782446.0,4719.0,9638351.0,7499218.0,22766649.0,500572.0,54414785.0,5601417.0,63205.0,3139258.0,7020.0,14453.0,28387343.0,59251.0,93568.0,5120304.0,8996258.0,2637404.0,3426484.0
1962,27740.0,8560267.0,4754413.0,1180553.0,4051.0,35877.0,5317234.0,935715.0,7014.0,35303.0,1909068.0,2505220.0,1998044.0,2845306.0,675039.0,2331951.0,4678952.0,51863781.0,4768184.0,31646.0,49864.0,2711135.0,5456899.0,44746.0,0.0,2416449.0,39893871.0,148375.0,51193.0,228133.0,523257.0,1389420.0,5492247.0,1586363.0,2597126.0,551084460.0,3157242.0,4534731.0,12418658.0,745326.0,8441768.0,175657.0,183696.0,937659.0,3108742.0,31474.0,0.0,380884.0,3796447.0,20903401.0,44198.0,37801.0,1157609.0,2363781.0,7881263.0,3155609.0,17392125.0,913343.0,12934262.0,508171.0,20920873.0,1924044.0,297832.0,17667496.0,35682.0,421849.0,11588798.0,2103850.0,5550577.0,0.0,3263603.0,367496.0,507567.0,206756.0,3604016.0,66781.0,13508.0,2913907.0,34902.0,422247.0,476544.0,1660551.0,2853722.0,3346717.0,4350895.0,79315315.0,21624.0,373975257.0,1542726.0,14813508.0,4005124.0,34110.0,487171.0,20171158.0,1098950.0,440038.0,33089846.0,5502636.0,7654120.0,1520350.0,5108829.0,40836.0,38720.0,18702026.0,89858.0,2040208.0,1035908.0,958002.0,1150148.0,73776.0,13937.0,8444371.0,746914.0,1676921.0,94804.0,993516.0,7902.0,8534891.0,0.0,1609840.0,4775256.0,84988.0,18614543.0,9712.0,934955.0,4915053.0,32364.0,18184209.0,400855.0,627678.0,4245.0,6464364.0,799380.0,444336.0,3631598.0,6042523.0,500317.0,51009.0,3491649.0,39517536.0,1126290.0,4698192.0,1722919.0,10141093.0,0.0,567559.0,447613.0,69837.0,2039122695.0,37200127.0,687370.0,5552565.0,20563931.0,4171.0,2002896.0,15479763.0,1290658.0,7095794.0,5781154.0,1267322.0,,48727.0,6203.0,12030313.0,54530929.0,3099684.0,1742433.0,7872202.0,2675651.0,0.0,136960.0,1909700.0,1809985.0,7913.0,2473403.0,4646603.0,2760437.0,56932.0,149522.0,2766943.0,1123613.0,1945521.0,344019.0,0.0,30924.0,3072609.0,2910.0,2945716.0,1527707.0,22816161.0,1489332.0,932296.0,432030.0,57133.0,564521.0,2691781.0,20164081.0,4730.0,9906000.0,7701700.0,22721516.0,500999.0,54549307.0,5799611.0,63812.0,3158340.0,7019.0,14266.0,29018751.0,60835.0,95991.0,5213771.0,9248190.0,2693699.0,3525358.0
1963,28085.0,8713575.0,4779657.0,1214693.0,4066.0,36389.0,5289233.0,948053.0,7140.0,36152.0,1915045.0,2517777.0,2071037.0,2904712.0,665612.0,2357958.0,4744291.0,53268395.0,4666744.0,32876.0,51433.0,2727699.0,5414847.0,46291.0,0.0,2455676.0,40312012.0,149673.0,51672.0,234818.0,535431.0,1404586.0,5441341.0,1603842.0,2583703.0,561172774.0,3224884.0,4602825.0,12714813.0,757069.0,8456967.0,176803.0,189226.0,968880.0,3160530.0,31570.0,0.0,381500.0,3767312.0,21050022.0,45230.0,38250.0,1135659.0,2402286.0,7828876.0,3220805.0,17752731.0,932515.0,12735859.0,505607.0,21414049.0,1899880.0,304760.0,17252804.0,36743.0,420256.0,11749886.0,2116256.0,5642423.0,0.0,3303878.0,376224.0,510932.0,210690.0,3542618.0,67167.0,13474.0,2971158.0,34997.0,431276.0,483476.0,1695085.0,2832090.0,3390340.0,4319558.0,81356517.0,21712.0,381977670.0,1545765.0,15118487.0,4023208.0,33824.0,487647.0,20063620.0,1101762.0,457252.0,32544624.0,5619709.0,7934455.0,1564609.0,5211769.0,41530.0,37652.0,18972268.0,96184.0,2085515.0,1034908.0,973781.0,1183354.0,74339.0,14494.0,8636615.0,764871.0,1668810.0,94141.0,989320.0,7699.0,8697846.0,0.0,1622934.0,4881114.0,87079.0,18892187.0,9818.0,926739.0,4970706.0,32423.0,18510604.0,405629.0,631504.0,4244.0,6580501.0,815954.0,450826.0,3717416.0,6145555.0,508897.0,51347.0,3584537.0,40256066.0,1150496.0,4740078.0,1675534.0,10337858.0,0.0,563832.0,449817.0,70929.0,2070798040.0,38073799.0,700623.0,5591905.0,21141945.0,4246.0,2040860.0,15562999.0,1284223.0,7148645.0,5770307.0,1295720.0,,49006.0,6801.0,11977238.0,54036643.0,3168749.0,1767273.0,8087756.0,2727889.0,0.0,139692.0,1928200.0,1855702.0,7924.0,2521881.0,4609629.0,2804917.0,56655.0,156323.0,2762629.0,1119332.0,1884124.0,350117.0,0.0,31227.0,3133023.0,2897.0,2996962.0,1538949.0,23473858.0,1530761.0,959007.0,437657.0,58442.0,567372.0,2707943.0,20544888.0,4740.0,10183523.0,7913230.0,22655357.0,501166.0,54626596.0,6003361.0,64344.0,3174492.0,7024.0,15680.0,29710057.0,62477.0,98457.0,5307253.0,9512328.0,2748048.0,3617519.0
1964,28398.0,8873517.0,4805315.0,1248887.0,4058.0,36859.0,5258629.0,959191.0,7274.0,37058.0,1921617.0,2531075.0,2154634.0,2987417.0,657593.0,2384904.0,4812665.0,54708616.0,4561889.0,34133.0,52872.0,2740343.0,5370261.0,47967.0,0.0,2495987.0,40696219.0,151010.0,52139.0,241739.0,547477.0,1420103.0,5390322.0,1613632.0,2568311.0,570563019.0,3290644.0,4671511.0,13021013.0,769223.0,8461195.0,177772.0,194850.0,994052.0,3213269.0,31616.0,0.0,381717.0,3742092.0,21171231.0,46489.0,38733.0,1113984.0,2439348.0,7777907.0,3289665.0,18115109.0,952213.0,12549483.0,503223.0,21928950.0,1872544.0,311702.0,16846897.0,37727.0,418440.0,11901600.0,2127156.0,5734249.0,0.0,3344587.0,383004.0,504988.0,214831.0,3480851.0,67371.0,13335.0,3031468.0,35058.0,440402.0,485492.0,1730220.0,2808089.0,3434417.0,4290506.0,83472019.0,21802.0,390116854.0,1547278.0,15433362.0,4036704.0,33533.0,489258.0,19972523.0,1104246.0,477285.0,32005123.0,5730006.0,8227116.0,1609094.0,5312197.0,42233.0,36525.0,19204966.0,102472.0,2131286.0,1031374.0,989650.0,1211380.0,74872.0,15064.0,8840828.0,782483.0,1660120.0,93543.0,984866.0,9071.0,8854698.0,0.0,1633057.0,4988686.0,89183.0,19173370.0,9907.0,920939.0,5026122.0,32491.0,18844342.0,408167.0,642702.0,4241.0,6700049.0,832968.0,456372.0,3805434.0,6247686.0,518202.0,51497.0,3678845.0,41014235.0,1168817.0,4781723.0,1627578.0,10541923.0,0.0,560592.0,452107.0,72057.0,2102050992.0,38985951.0,713980.0,5628051.0,21726106.0,4324.0,2077399.0,15654736.0,1273815.0,7205124.0,5738993.0,1325158.0,,49398.0,7518.0,11921130.0,53529836.0,3240658.0,1781452.0,8310365.0,2780826.0,0.0,142485.0,1946494.0,1903539.0,7927.0,2571701.0,4568447.0,2857553.0,56349.0,162738.0,2758247.0,1115860.0,1827003.0,356406.0,0.0,31503.0,3195754.0,2882.0,3046949.0,1553718.0,24152457.0,1573323.0,985929.0,443477.0,59770.0,569570.0,2726293.0,20919365.0,4706.0,10475179.0,8133604.0,22565480.0,501080.0,54673014.0,6210058.0,64816.0,3187578.0,7036.0,15524.0,30386144.0,64175.0,100888.0,5406071.0,9786216.0,2789537.0,3711231.0
1965,28688.0,9042042.0,4831512.0,1282417.0,4030.0,37226.0,5225435.0,969054.0,7412.0,38015.0,1928216.0,2544011.0,2234076.0,3069304.0,649491.0,2412670.0,4884989.0,56181974.0,4450351.0,35152.0,54235.0,2749902.0,5327265.0,49741.0,0.0,2537511.0,41039603.0,152381.0,52510.0,248958.0,552603.0,1436202.0,5334312.0,1615391.0,2551022.0,585836641.0,3353995.0,4741735.0,13343771.0,781824.0,8572158.0,178470.0,200603.0,1018488.0,3265563.0,31610.0,0.0,381835.0,3714591.0,21304018.0,47882.0,39259.0,1092288.0,2473845.0,7711052.0,3360591.0,18473680.0,972400.0,12373341.0,500376.0,22466166.0,1841101.0,318601.0,16424236.0,38755.0,416423.0,12053854.0,2135939.0,5827847.0,0.0,3385779.0,389688.0,492498.0,219199.0,3422784.0,67398.0,13308.0,3105794.0,35087.0,449613.0,488523.0,1766133.0,2783585.0,3481272.0,4259900.0,85360590.0,21887.0,398067320.0,1547038.0,15756271.0,4047674.0,33227.0,488508.0,19884509.0,1105763.0,502862.0,31475896.0,5821220.0,8534536.0,1650746.0,5414660.0,42952.0,35360.0,19418425.0,108024.0,2178429.0,1024885.0,1005707.0,1196675.0,75401.0,15458.0,9049072.0,799719.0,1650640.0,92959.0,978152.0,10155.0,9020906.0,0.0,1640838.0,5098768.0,92174.0,19458305.0,9978.0,914636.0,5082270.0,32438.0,19187792.0,407556.0,654793.0,4233.0,6824276.0,850403.0,461084.0,3895118.0,6347365.0,528215.0,51567.0,3773951.0,41796904.0,1187501.0,4825313.0,1579815.0,10755861.0,0.0,554829.0,454506.0,73184.0,2138697386.0,39934150.0,727307.0,5660845.0,22314411.0,4401.0,2113521.0,15682854.0,1257467.0,7258623.0,5681173.0,1354949.0,,49758.0,8294.0,11857243.0,53013631.0,3324553.0,1793316.0,8539716.0,2835330.0,0.0,145334.0,1965577.0,1953882.0,7891.0,2623479.0,4524681.0,2912638.0,56030.0,169251.0,2751840.0,1113232.0,1774455.0,363117.0,0.0,31767.0,3260834.0,2863.0,3090583.0,1576632.0,24850630.0,1616659.0,1012772.0,449470.0,61120.0,571000.0,2749420.0,21274422.0,4641.0,10779043.0,8361700.0,22398885.0,500628.0,54639947.0,6420419.0,65238.0,3198137.0,7077.0,15974.0,31032595.0,65934.0,103277.0,5512467.0,10070030.0,2829172.0,3806635.0
1966,28945.0,9215835.0,4857759.0,1315273.0,4009.0,37391.0,5189544.0,977461.0,7542.0,38969.0,1941057.0,2558257.0,2313397.0,3140890.0,639888.0,2440716.0,4960165.0,57681620.0,4357529.0,35778.0,55693.0,2756592.0,5281469.0,51611.0,0.0,2580246.0,41333110.0,153823.0,52759.0,256491.0,552226.0,1452909.0,5284252.0,1615259.0,2531676.0,603653090.0,3453627.0,4814309.0,13688159.0,794837.0,8680479.0,179304.0,206522.0,1042006.0,3316463.0,31433.0,0.0,382151.0,3683086.0,21433533.0,49266.0,39835.0,1073702.0,2507119.0,7700086.0,3433310.0,18830734.0,991897.0,12186583.0,495998.0,22996398.0,1810359.0,325071.0,15986523.0,39827.0,414200.0,12196452.0,2140828.0,5922177.0,0.0,3427527.0,396210.0,484689.0,223791.0,3373709.0,67247.0,13166.0,3180606.0,35073.0,458924.0,483067.0,1802644.0,2758978.0,3528121.0,4230146.0,87145434.0,22091.0,405714770.0,1541550.0,16078204.0,4084050.0,32905.0,482947.0,19781807.0,1105967.0,534858.0,30936409.0,5904593.0,8852736.0,1694347.0,5519096.0,43349.0,34170.0,19619691.0,110418.0,2226873.0,1016900.0,1021682.0,1170494.0,75910.0,15832.0,9259510.0,819566.0,1640440.0,91981.0,967696.0,9558.0,9194743.0,0.0,1647058.0,5212738.0,96145.0,19743470.0,10017.0,908246.0,5138577.0,32264.0,19537878.0,403326.0,667448.0,4220.0,6952279.0,868227.0,465009.0,3987274.0,6443202.0,538885.0,51607.0,3869790.0,42594753.0,1206479.0,4865910.0,1532017.0,10977461.0,0.0,550673.0,456923.0,74311.0,2177197201.0,40919785.0,740535.0,5689667.0,22903714.0,4477.0,2150868.0,15673858.0,1235821.0,7315913.0,5604196.0,1384791.0,,50079.0,9152.0,11847286.0,52200695.0,3418020.0,1802592.0,8774098.0,2891679.0,0.0,148237.0,1984955.0,2006400.0,7799.0,2675697.0,4483643.0,2955534.0,55704.0,175909.0,2742600.0,1112558.0,1724430.0,370226.0,0.0,32006.0,3328016.0,2842.0,3132323.0,1609153.0,25562331.0,1660866.0,1039421.0,455638.0,62473.0,571495.0,2780672.0,21582407.0,4582.0,11094275.0,8597661.0,22214680.0,499859.0,54551297.0,6631038.0,65606.0,3205748.0,7174.0,16361.0,31642748.0,67765.0,105668.0,5624184.0,10364468.0,2867046.0,3903442.0
1967,29100.0,9395479.0,4883492.0,1348911.0,4016.0,37248.0,5153043.0,984353.0,7667.0,39936.0,1946009.0,2573835.0,2388748.0,3218140.0,629663.0,2468795.0,5038139.0,59234738.0,4279849.0,36371.0,57232.0,2760119.0,5234313.0,53566.0,0.0,2624393.0,41575870.0,154958.0,52884.0,264332.0,551166.0,1470333.0,5275481.0,1618201.0,2510564.0,620353282.0,3555362.0,4890044.0,14050362.0,808184.0,8780675.0,182803.0,212634.0,1064518.0,3365356.0,31261.0,0.0,382522.0,3647740.0,21482504.0,50601.0,40457.0,1055896.0,2540243.0,7853917.0,3507691.0,19189353.0,1011754.0,12022749.0,490134.0,23545034.0,1782653.0,331232.0,15542985.0,40901.0,411728.0,12339783.0,2142021.0,6017486.0,0.0,3469845.0,402709.0,485605.0,228609.0,3326787.0,67022.0,13051.0,3255777.0,35007.0,468327.0,485528.0,1839746.0,2732069.0,3575256.0,4203213.0,89170048.0,22605.0,413526314.0,1515224.0,16361307.0,4130897.0,32553.0,485865.0,19667348.0,1105195.0,572579.0,30447114.0,5983820.0,9179930.0,1736857.0,5566784.0,43393.0,32956.0,19593877.0,112547.0,2271483.0,1006578.0,1037545.0,1141976.0,76466.0,16330.0,9474752.0,846119.0,1629241.0,90646.0,957354.0,9000.0,9373204.0,0.0,1651698.0,5334202.0,99772.0,20026247.0,10148.0,901767.0,5195673.0,32083.0,19892980.0,396175.0,680121.0,4118.0,7083721.0,886273.0,468241.0,4077147.0,6530997.0,550370.0,51614.0,3962621.0,43389125.0,1225700.0,4898433.0,1484675.0,11207233.0,0.0,548852.0,459338.0,75451.0,2214877147.0,41947764.0,753581.0,5714504.0,23495759.0,4521.0,2180637.0,15697376.0,1208703.0,7386619.0,5534506.0,1414463.0,,50371.0,10108.0,11948119.0,51383521.0,3520581.0,1810205.0,9013692.0,2949534.0,0.0,151224.0,2004681.0,2060426.0,7680.0,2728393.0,4432310.0,2993574.0,55400.0,182840.0,2730577.0,1110594.0,1673745.0,377417.0,0.0,32218.0,3396993.0,2824.0,3172958.0,1649124.0,26283553.0,1706109.0,1065806.0,461974.0,63774.0,571039.0,2807258.0,21874331.0,4518.0,11422596.0,8843071.0,22022843.0,498668.0,54423243.0,6841062.0,65922.0,3210621.0,7333.0,16756.0,32223407.0,69673.0,107556.0,5741574.0,10669760.0,2902620.0,4001541.0
1968,29148.0,9582481.0,4908199.0,1386348.0,4021.0,40282.0,5116047.0,989658.0,7793.0,40933.0,1960830.0,2583601.0,2461235.0,3292125.0,618582.0,2496965.0,5119535.0,60823810.0,4204219.0,36684.0,58824.0,2759781.0,5183803.0,55580.0,0.0,2669970.0,41768193.0,155685.0,52864.0,272491.0,549442.0,1487483.0,5256115.0,1621354.0,2487718.0,637762514.0,3659731.0,4969606.0,14423787.0,821916.0,8871931.0,187223.0,218957.0,1085575.0,3412744.0,31239.0,0.0,382835.0,3609212.0,21528785.0,51890.0,41120.0,1036317.0,2571097.0,8013033.0,3583332.0,19548864.0,1035698.0,11865098.0,484868.0,24162417.0,1753154.0,336668.0,15212245.0,41984.0,408975.0,12477844.0,2141408.0,6114391.0,0.0,3512464.0,409226.0,492514.0,233484.0,3274028.0,66842.0,12939.0,3330918.0,34892.0,477849.0,485985.0,1877477.0,2703371.0,3622899.0,4176578.0,91337125.0,23192.0,421487536.0,1488213.0,16616907.0,4177290.0,32123.0,477855.0,19532729.0,1103651.0,613545.0,29984105.0,6058739.0,9516905.0,1779165.0,5607752.0,43389.0,31712.0,19475621.0,114360.0,2317356.0,994913.0,1053411.0,1111718.0,77114.0,16907.0,9693774.0,874134.0,1616181.0,89252.0,948617.0,8473.0,9552975.0,0.0,1654981.0,5460792.0,102708.0,20301454.0,10283.0,895144.0,5254538.0,31769.0,20252964.0,387702.0,692242.0,3707.0,7220005.0,904300.0,470840.0,4168225.0,6611927.0,562509.0,51577.0,4055485.0,44205476.0,1245042.0,4926402.0,1437289.0,11445851.0,0.0,542008.0,461695.0,76578.0,2253533284.0,43011803.0,766398.0,5735293.0,24090450.0,4527.0,2208504.0,15719100.0,1179241.0,7324730.0,5476514.0,1443955.0,,50645.0,11149.0,12012953.0,50561694.0,3629219.0,1816849.0,9258791.0,3008130.0,0.0,154328.0,2024355.0,2115057.0,7562.0,2781839.0,4380582.0,3034017.0,55129.0,190032.0,2715683.0,1105074.0,1620513.0,384173.0,0.0,32398.0,3467611.0,2804.0,3213395.0,1691224.0,27012994.0,1752329.0,1092049.0,468459.0,64979.0,569746.0,2837759.0,22148380.0,4459.0,11744631.0,9098639.0,21816903.0,496986.0,54242804.0,7050981.0,66171.0,3212147.0,7591.0,18303.0,32769529.0,71623.0,109028.0,5864445.0,10983714.0,2935724.0,4101374.0
1969,29149.0,9775196.0,4931639.0,1424962.0,4003.0,48411.0,5079292.0,992834.0,7918.0,41964.0,1982191.0,2588892.0,2533523.0,3360418.0,607025.0,2525222.0,5202675.0,62384353.0,4129877.0,36650.0,60348.0,2755368.0,5128878.0,57559.0,0.0,2716727.0,41926427.0,156070.0,52699.0,280974.0,547087.0,1504889.0,5223145.0,1622399.0,2463922.0,656497738.0,3769345.0,5053349.0,14801128.0,836154.0,8953414.0,191888.0,225479.0,1105558.0,3459636.0,31235.0,0.0,383162.0,3569696.0,21650322.0,53528.0,41815.0,1016431.0,2600138.0,8175326.0,3660191.0,19909293.0,1060298.0,11668253.0,480160.0,24792519.0,1715054.0,341794.0,15126851.0,43115.0,406911.0,12608008.0,2141260.0,6215970.0,0.0,3554449.0,415652.0,494531.0,235879.0,3212148.0,66739.0,12805.0,3404906.0,34748.0,487511.0,483915.0,1916093.0,2673100.0,3670858.0,4151312.0,93604549.0,23797.0,429442832.0,1462952.0,16873331.0,4223141.0,31557.0,472346.0,19385021.0,1102020.0,653570.0,29539247.0,6121017.0,9862135.0,1817529.0,5641822.0,43470.0,30380.0,19318970.0,115551.0,2364408.0,982576.0,1069244.0,1080628.0,77781.0,17151.0,9911433.0,902619.0,1599338.0,88081.0,938535.0,7973.0,9732565.0,0.0,1657292.0,5593003.0,105577.0,20565197.0,10469.0,888241.0,5314617.0,31373.0,20617020.0,380103.0,702638.0,3258.0,7360851.0,922166.0,472901.0,4260176.0,6691848.0,575263.0,51961.0,4148325.0,45064227.0,1264377.0,4960471.0,1389753.0,11691183.0,0.0,535289.0,463984.0,77683.0,2293751248.0,44107609.0,779011.0,5752692.0,24682983.0,4527.0,2235292.0,15712366.0,1152118.0,7146197.0,5393520.0,1473380.0,,50901.0,12257.0,12041101.0,49741704.0,3740452.0,1822859.0,9508281.0,3067124.0,0.0,157522.0,2043449.0,2169603.0,7438.0,2835805.0,4373034.0,3074583.0,54886.0,197469.0,2700184.0,1095491.0,1570746.0,391182.0,0.0,32547.0,3540161.0,2783.0,3254529.0,1729730.0,27745401.0,1798867.0,1118260.0,475078.0,66178.0,567682.0,2869593.0,22402789.0,4426.0,12083587.0,9357683.0,21589348.0,494766.0,54047876.0,7257649.0,66363.0,3210513.0,7995.0,19068.0,33313437.0,73604.0,110452.0,5994718.0,11303611.0,2964423.0,4204360.0
