Date,ALB,AND,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BGR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BTN,CAN,CHE,CHL,COL,CPV,CRI,CYP,CZE,DEU,DMA,DNK,DOM,DZA,ECU,EGY,ESP,FIN,FRA,GBR,GEO,GRC,GRD,GTM,GUY,HKG,HND,HRV,HUN,IND,IRN,ISL,ITA,JAM,JOR,JPN,KAZ,KNA,KOR,LCA,LIE,LKA,LTU,LUX,MAC,MAR,MCO,MDA,MEX,MKD,MLT,MMR,MNE,MNG,MUS,NIC,NLD,NZL,OMN,PAN,PER,PHL,PRI,PRY,PSE,SLV,SRB,SUR,SVK,SVN,SWE,SWZ,THA,TJK,TTO,TZA,UGA,URY,USA,UZB,VAT,VCT
2005,,,,,7.0,,34.0,13.0,,43.0,36.0,,,,,,,,,215.0,,,14763.0,,,,,,,,,,,,,12.0,,,,,1.0,,,1.0,,,23.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,214.0,,,,,,,37.0,,,11.0,,,,,,,,,10158.0,,,5.0
2006,53.0,,,,16.0,,41.0,18.0,,44.0,33.0,,,,,,,,,187.0,,,13915.0,,217.0,,,,,,,,,213.0,,19.0,,,,,1.0,,,1.0,,,10.0,,,,,1008.0,,,,,,,,,,,,,,,,25.0,0.0,,,,,,,,,253.0,,,,,,,46.0,,,3.0,,,,,270.0,,,,10225.0,,,4.0
2007,66.0,0.0,,,22.0,,34.0,13.0,,54.0,43.0,,27.0,,,,,14.0,,187.0,,,13962.0,,226.0,,45.0,,,,,,,294.0,,24.0,,,,,2.0,4776.0,,0.0,,,12.0,,,1.0,,1250.0,,,,,,,,1033.0,,2.0,,,,,,26.0,2.0,,,16.0,,,40.0,6.0,,289.0,,,,,,2795.0,42.0,,,9.0,,,2407.0,,303.0,,,,10129.0,,,21.0
2008,56.0,1.0,,,18.0,,30.0,8.0,,51.0,46.0,,26.0,,0.0,,,11.0,,201.0,,,12958.0,,347.0,,27.0,,,,,,,476.0,,30.0,,41.0,,,1.0,5237.0,,0.0,,,12.0,4101.0,,0.0,,1253.0,,,79.0,,,,,686.0,,1.0,,,,,,17.0,5.0,,,12.0,,,37.0,7.0,,519.0,,,,,,2117.0,49.0,,,2.0,,,2104.0,,431.0,,351.0,,9528.0,,,15.0
2009,57.0,0.0,,,9.0,,34.0,14.0,,43.0,52.0,,22.0,,4.0,,,9.0,,182.0,24.0,,12808.0,,338.0,,20.0,,,,,,,393.0,,24.0,,47.0,,,0.0,5405.0,,0.0,,,7.0,3093.0,,0.0,,1291.0,,,111.0,,,,,264.0,,2.0,,,,,,13.0,0.0,,,10.0,0.0,,41.0,11.0,,667.0,,,,,,3321.0,49.0,,,2.0,,,1923.0,,365.0,,349.0,,9199.0,,0.0,6.0
2010,88.0,0.0,,,10.0,,38.0,12.0,27.0,32.0,69.0,26.0,18.0,,7.0,,,11.0,,175.0,13.0,126.0,12528.0,,349.0,,13.0,,,,1618.0,,,430.0,70.0,15.0,,65.0,,,0.0,5009.0,,0.0,,28.0,15.0,3064.0,,0.0,,1097.0,,,96.0,,,,0.0,80.0,,0.0,,,,,,28.0,2.0,,,4.0,2.0,408.0,33.0,7.0,,582.0,,,,,7.0,2922.0,42.0,,17.0,6.0,15.0,,2268.0,,356.0,30.0,330.0,,8874.0,,0.0,9.0
2011,86.0,0.0,,,6.0,,31.0,10.0,,41.0,94.0,7.0,21.0,,5.0,,,14.0,,159.0,22.0,172.0,12768.0,,300.0,3.0,18.0,,,,1573.0,,,1839.0,54.0,16.0,,50.0,,,0.0,4676.0,33.0,0.0,,13.0,13.0,3369.0,,0.0,,792.0,57.0,,100.0,,,,,72.0,,0.0,,,,,,19.0,0.0,,16.0,4.0,0.0,,49.0,3.0,,579.0,898.0,,,,7.0,3046.0,27.0,,13.0,10.0,17.0,,1953.0,,250.0,39.0,,97.0,8653.0,,0.0,10.0
2012,100.0,0.0,,,7.0,,40.0,2.0,20.0,25.0,87.0,37.0,13.0,,5.0,,,7.0,,171.0,13.0,114.0,12925.0,,261.0,12.0,10.0,,,,1458.0,40.0,,,52.0,17.0,,35.0,,,0.0,4226.0,26.0,0.0,5978.0,16.0,14.0,3781.0,,0.0,,778.0,79.0,,92.0,,,,,62.0,,,,,,,,15.0,5.0,,,4.0,0.0,,49.0,3.0,,482.0,1082.0,,,418.0,7.0,1604.0,13.0,,14.0,4.0,17.0,,2000.0,,292.0,40.0,,163.0,8855.0,,0.0,12.0
2013,90.0,0.0,,,11.0,,33.0,4.0,28.0,24.0,,21.0,11.0,,3.0,,,9.0,,134.0,18.0,164.0,11918.0,22.0,278.0,6.0,10.0,,,,,46.0,,,53.0,15.0,,36.0,,,,4258.0,44.0,0.0,5599.0,10.0,12.0,,399.0,0.0,,884.0,,,71.0,,,,,43.0,,,,8.0,0.0,,,13.0,5.0,,5.0,8.0,,,28.0,8.0,,,1260.0,,,383.0,,1678.0,29.0,,13.0,2.0,26.0,,,,320.0,50.0,,159.0,8454.0,,0.0,
2014,70.0,0.0,,,8.0,,36.0,9.0,,18.0,105.0,23.0,20.0,71.0,2.0,,,17.0,,155.0,7.0,255.0,9861.0,26.0,327.0,3.0,10.0,,0.0,,1143.0,41.0,695.0,,56.0,11.0,,23.0,29.0,,,4128.0,,1.0,4871.0,16.0,3.0,,434.0,0.0,,715.0,,,46.0,,,,,51.0,,1.0,0.0,2.0,,4.0,11944.0,23.0,3.0,,12.0,8.0,,,40.0,6.0,,439.0,1273.0,,630.0,350.0,,3005.0,,,13.0,4.0,28.0,,,,304.0,77.0,,163.0,8312.0,,0.0,
2015,46.0,0.0,,1581.0,26.0,1.0,27.0,5.0,,21.0,112.0,32.0,,71.0,1.0,11.0,,19.0,0.0,179.0,17.0,262.0,9274.0,15.0,385.0,6.0,2.0,,0.0,,,86.0,545.0,,45.0,12.0,,30.0,,,0.0,,43.0,0.0,3931.0,7.0,,,302.0,0.0,,974.0,,,,,,,,45.0,,,0.0,15.0,0.0,,12801.0,18.0,2.0,,10.0,3.0,,,31.0,7.0,0.0,320.0,1049.0,,556.0,398.0,,5536.0,14.0,,3.0,1.0,33.0,,1269.0,,340.0,54.0,,200.0,9103.0,,0.0,
2016,43.0,,,,15.0,4.0,32.0,9.0,18.0,11.0,94.0,19.0,,82.0,5.0,19.0,,16.0,0.0,223.0,16.0,277.0,8824.0,31.0,384.0,6.0,7.0,57.0,2.0,10.0,623.0,55.0,449.0,,39.0,9.0,91.0,39.0,,26.0,1.0,5438.0,32.0,0.0,3961.0,14.0,4.0,,,1.0,,1100.0,,,,29.0,,,0.0,48.0,3.0,,,3.0,,,15926.0,5.0,0.0,,16.0,3.0,,211.0,26.0,8.0,2.0,285.0,1031.0,4495.0,631.0,418.0,,4257.0,13.0,15.0,15.0,1.0,30.0,,1034.0,,,,167.0,162.0,10398.0,11.0,,29.0
2017,44.0,,,1245.0,18.0,10.0,23.0,16.0,18.0,17.0,107.0,23.0,,82.0,3.0,43.0,,23.0,0.0,267.0,14.0,334.0,8876.0,12.0,435.0,2.0,8.0,43.0,6.0,8.0,614.0,53.0,505.0,,63.0,6.0,64.0,32.0,,22.0,0.0,1402.0,22.0,0.0,2807.0,24.0,0.0,,,0.0,,1344.0,47.0,3.0,64.0,19.0,,32.0,,51.0,7.0,,,5.0,,9.0,21917.0,16.0,2.0,,11.0,2.0,,187.0,36.0,11.0,0.0,266.0,984.0,3256.0,,349.0,,3007.0,31.0,8.0,10.0,3.0,40.0,,,,377.0,,171.0,170.0,11020.0,7.0,,24.0
2018,46.0,,,1214.0,6.0,3.0,25.0,8.0,15.0,,81.0,15.0,,96.0,3.0,31.0,,18.0,0.0,251.0,13.0,377.0,8046.0,11.0,401.0,2.0,,37.0,7.0,3.0,529.0,38.0,464.0,,49.0,12.0,,37.0,32.0,35.0,3.0,1131.0,20.0,2.0,2655.0,5.0,12.0,,,0.0,,1015.0,35.0,4.0,,16.0,,22.0,,74.0,4.0,,,9.0,,8.0,25699.0,,1.0,,7.0,6.0,,402.0,32.0,12.0,1.0,294.0,1081.0,1701.0,,297.0,,2601.0,41.0,20.0,6.0,2.0,43.0,,,,416.0,,,298.0,10484.0,3.0,,22.0
2019,47.0,,0.0,1128.0,19.0,2.0,38.0,9.0,19.0,,79.0,21.0,,91.0,0.0,32.0,,31.0,0.0,264.0,11.0,353.0,8046.0,,380.0,2.0,9.0,40.0,7.0,,464.0,36.0,652.0,,53.0,5.0,,,,25.0,0.0,1061.0,33.0,0.0,3007.0,15.0,3.0,,,0.0,,1119.0,48.0,4.0,,9.0,,31.0,,16.0,2.0,,,34.0,,9.0,25867.0,12.0,0.0,,13.0,0.0,,219.0,33.0,61.0,3.0,365.0,751.0,1218.0,,350.0,,1754.0,26.0,10.0,15.0,6.0,45.0,,,,433.0,,,246.0,10537.0,4.0,,10.0
