Date,AFG,AGO,ALB,AND,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GTM,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NER,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,OWID_WRL,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
2000,2053.12,2181.8,190.55,0.64,46.85,2722.36,137.77,3.17,313.16,81.44,250.26,355.07,207.13,507.74,1230.19,3889.33,306.26,10.6,60.25,105.92,1318.42,53.73,601.14,56489.67,26.64,5.01,19.64,218.68,877.62,543.48,75.22,870.51,30241.19,2243.73,1477.11,6833.55,387.8,0.24,36591.42,58.0,39.62,250.96,601.64,15.73,164.87,966.8,62.44,3.35,75.25,1461.6,672.26,2974.22,2453.95,328.37,561.43,206.03,7313.0,146.19,23.29,776.18,4.75,124.95,1230.9,228.16,1301.7,1001.27,154.81,158.22,24.46,124.82,4.5,3129.0,111.2,3560.16,116.96,1716.07,264.0,12327.82,53478.5,45.3,3262.04,5505.2,3.29,208.52,768.3,1118.59,181.39,828.05,2825.62,1472.59,434.29,576.97,5.55,4.18,872.52,44.35,458.41,157.7,436.69,198.64,29.03,1522.2,930.16,356.42,6.31,326.9,550.97,0.15,562.29,1551.07,6.9,11402.39,3.28,61.4,1534.78,4.74,2013.24,26.17,377.36,1168.93,399.58,34.65,781.69,736.16,377.14,1677.09,16374.08,587.94,0.11,185.06,55.68,669.98,1.25,56.86,20.6,476857.5,10345.74,361.96,1336.92,15740.71,2.11,464.88,899.23,1388.67,147.85,1263.58,4.02,826.33,41095.87,544.95,320.36,2136.7,1005.65,59.89,24.94,434.99,3888.34,0.11,603.78,248.55,1185.4,6.39,75.81,142.93,32.0,100.69,191.3,10.03,416.29,996.29,548.88,6374.69,276.55,279.74,37.93,4.69,168.02,249.23,3221.92,0.65,2638.93,2285.24,5170.07,213.33,17290.19,1038.17,17.23,10183.54,1345.99,6.51,10.88,798.36,20635.43,878.29,1333.2
2001,2104.29,2220.58,213.73,0.63,50.32,3283.81,129.15,4.83,306.7,81.02,244.79,360.73,229.61,519.89,1227.28,4037.28,287.52,8.86,52.31,100.09,1292.07,64.64,610.55,58987.09,27.22,4.1,19.45,243.3,896.92,550.84,79.72,864.66,27906.98,2313.35,1568.37,7022.74,396.32,0.21,38311.43,58.46,40.06,258.21,620.53,16.75,148.71,935.28,64.11,3.7,53.93,1519.03,676.72,2790.46,2458.52,334.76,587.51,216.58,7322.0,151.44,23.4,772.31,4.71,128.17,1286.13,252.86,1329.28,1000.53,152.1,158.29,25.02,116.54,4.0,3487.55,127.89,3777.14,88.56,1743.91,254.07,12428.28,52992.27,53.34,3212.98,5819.52,2.58,394.73,709.09,1213.23,181.96,787.35,2675.42,1387.76,389.81,516.87,5.59,4.22,824.26,45.0,459.52,162.34,439.11,201.76,33.13,1532.9,804.74,345.06,5.99,315.5,576.58,0.14,527.86,1553.95,7.13,10763.0,3.36,131.25,1567.98,5.97,2025.44,26.13,380.86,1244.35,402.02,31.21,807.17,740.02,377.25,1666.31,16534.17,627.62,0.11,205.48,34.71,734.13,1.3,54.95,20.55,487955.3,10741.22,384.52,1350.01,17188.14,2.12,496.38,753.44,1277.79,160.58,1392.64,5.56,795.08,42927.32,547.4,352.58,2184.77,1017.2,55.37,25.17,448.01,3850.5,0.11,612.44,271.69,1200.66,6.72,76.32,129.73,29.57,97.04,203.23,10.22,430.17,1018.91,563.61,6351.81,248.7,263.51,38.5,4.8,216.14,251.43,3270.03,0.66,2708.19,2348.28,5135.53,217.58,21042.35,1036.3,17.18,10163.87,1354.48,6.49,10.56,808.32,20959.26,881.61,1405.57
2002,2314.87,2256.48,210.82,0.65,52.46,3594.04,122.57,4.01,295.01,72.71,237.19,367.7,237.24,530.12,1263.5,4049.58,263.21,7.95,51.92,98.02,1138.18,74.13,620.0,61235.37,29.13,3.39,17.97,274.79,910.83,577.37,79.44,832.49,25772.35,2381.43,1654.05,7248.84,405.02,0.21,40462.9,58.96,40.52,258.63,675.42,17.44,144.63,920.17,65.23,4.05,54.44,1728.28,680.21,2792.84,2463.46,342.06,573.36,167.96,7336.15,136.77,23.45,770.22,4.78,128.67,1192.31,239.43,1352.36,998.59,150.32,158.75,25.68,85.14,4.11,3898.05,159.45,3878.97,67.52,1775.62,247.91,12515.69,52600.45,52.39,3155.45,5914.94,2.69,506.92,643.52,717.89,187.97,788.4,2288.14,1465.61,416.48,519.4,5.57,4.19,839.45,44.69,458.12,169.93,445.51,204.57,36.09,1545.09,801.76,328.24,5.95,296.97,557.31,0.14,501.28,1576.24,7.36,10630.9,3.45,69.24,1593.67,5.69,2019.84,26.14,384.58,1230.38,404.41,31.2,647.75,756.18,361.51,1654.94,16946.95,662.1,0.11,201.24,40.4,746.64,1.32,71.81,20.46,492442.47,10850.61,453.44,1329.45,16897.24,2.11,497.82,766.77,1232.44,191.87,1424.09,5.86,813.29,44258.91,540.05,381.94,2228.41,1020.26,51.55,25.43,462.22,3709.48,0.11,621.87,208.08,1209.53,6.0,69.34,138.31,29.33,117.7,197.84,10.44,439.65,1048.39,574.22,6207.99,217.93,257.97,39.27,4.48,208.08,253.44,3318.2,0.66,2755.78,2414.59,4830.73,230.94,18237.62,1016.01,18.59,12219.65,1375.23,6.29,10.19,818.05,22239.61,943.71,1518.25
2003,2456.01,2292.33,189.57,0.67,54.01,3168.88,117.29,4.3,257.66,49.67,226.23,376.48,195.41,542.97,1300.56,4110.86,246.48,7.97,51.6,91.34,1007.06,73.84,629.48,62219.35,30.61,3.22,13.46,287.65,930.84,545.56,75.56,826.32,24399.75,2468.82,1703.74,7425.03,412.48,0.19,31425.02,59.25,41.08,301.75,658.97,17.91,144.15,884.98,64.96,4.32,64.54,2079.75,682.79,2335.72,2465.47,349.75,597.85,155.46,7344.45,115.58,23.48,734.17,4.83,130.73,1170.7,228.03,1376.31,993.47,148.21,155.25,26.45,121.92,3.91,4521.38,179.31,4038.36,73.91,1815.73,201.82,12591.97,51993.43,45.39,3084.98,5973.47,2.19,333.66,720.58,677.63,187.44,756.64,2357.69,1502.46,427.45,546.55,5.59,5.15,906.97,49.87,458.5,178.11,431.34,207.17,36.37,1558.13,873.07,335.83,5.56,284.44,564.77,0.14,465.48,1603.13,7.55,10598.75,3.5,66.15,1625.5,3.39,2053.19,23.41,388.62,1211.42,407.3,34.45,507.55,761.27,365.42,1642.24,16775.89,714.41,0.1,210.9,50.2,789.04,1.31,57.32,19.75,482869.22,10962.56,423.7,1366.37,17310.44,2.09,568.64,674.47,1211.76,180.56,1370.04,6.25,852.42,41770.61,531.37,394.5,2266.13,1032.05,47.12,25.68,480.75,3881.66,0.11,635.58,229.67,1217.85,6.74,67.17,146.1,25.35,92.12,195.84,10.67,461.18,1079.63,589.92,6228.08,198.01,252.13,40.24,4.29,317.93,255.32,3366.02,0.65,2817.0,2482.32,4489.06,196.78,18369.03,978.89,19.48,15037.08,1379.94,6.02,9.85,834.1,20947.85,958.97,1538.34
2004,2399.98,2305.25,169.1,0.69,54.14,2486.52,120.16,4.41,254.04,62.89,228.32,386.13,214.36,555.69,1334.17,4286.96,230.87,7.98,51.85,84.68,947.76,79.1,639.11,58991.98,31.87,3.01,14.92,284.15,950.24,621.88,73.72,854.37,23035.73,2507.71,1736.82,7612.81,419.07,0.18,29643.52,59.4,41.77,281.52,677.32,15.12,134.06,866.79,63.91,4.49,37.85,2329.29,585.02,2964.78,2462.84,356.19,527.1,117.62,7336.18,134.35,22.81,729.36,4.92,117.36,1223.41,241.7,1407.17,986.78,145.08,160.29,27.41,101.13,3.74,4799.7,160.53,4043.41,84.15,1852.33,223.49,12674.91,52416.95,40.8,3003.59,6134.48,2.39,239.23,718.98,1087.22,188.84,707.06,2364.44,1590.72,428.84,542.87,5.62,5.03,940.57,56.14,460.5,185.32,430.38,209.28,37.05,1606.77,871.51,335.05,3.73,242.83,553.16,0.14,386.8,1633.78,7.69,9894.17,3.57,56.25,1666.38,5.1,2265.7,21.72,388.87,1198.36,409.58,36.57,507.19,761.28,366.35,1625.8,16883.97,750.18,0.1,202.21,40.83,899.09,1.31,50.18,18.86,471833.1,11211.16,398.39,1420.94,16985.05,2.13,573.81,647.45,1175.16,173.82,1270.19,6.88,706.5,39262.41,520.13,415.0,2304.76,1035.85,42.7,25.51,498.22,4136.47,0.11,647.64,182.26,1225.45,6.62,63.78,122.49,24.12,109.45,202.86,10.87,481.42,1095.6,604.32,5566.35,184.14,254.21,41.21,4.24,346.22,257.29,3479.04,0.66,2869.35,2557.1,4075.81,194.1,17955.21,951.75,21.8,12605.68,1382.85,6.02,9.46,858.27,20937.45,923.33,1579.24
2005,2496.51,2345.65,157.95,0.69,64.31,2307.86,123.14,4.91,255.02,69.96,223.4,395.68,198.63,569.71,1366.92,4319.78,208.64,8.14,56.75,82.91,897.46,83.42,648.84,57665.81,32.6,3.4,14.09,318.47,964.1,662.26,69.66,952.17,21983.88,2533.88,1759.2,7791.89,423.95,0.17,25373.37,59.35,38.83,336.1,710.11,18.15,124.02,846.98,66.88,4.87,63.02,2487.3,487.72,3099.49,2506.4,360.88,524.27,136.96,7334.96,117.55,22.37,702.99,4.96,137.41,1151.42,225.67,1430.23,986.76,143.01,163.11,28.42,120.43,4.46,5658.76,160.88,3888.71,60.27,1895.94,197.25,12710.65,52183.47,52.6,2905.69,6287.42,2.26,238.01,610.1,1657.77,187.49,642.41,2301.92,1739.14,429.06,509.11,5.68,4.82,937.84,51.93,463.08,190.47,421.54,211.2,38.16,1652.09,880.22,331.07,6.55,252.98,551.18,0.14,429.22,1650.29,7.94,10485.75,3.61,52.24,1712.68,3.47,2267.07,23.17,396.7,1170.84,405.6,48.93,480.63,791.22,386.16,1595.41,17226.88,797.63,0.1,179.86,29.74,772.01,1.28,74.44,18.33,465517.3,11469.1,462.03,1395.93,17081.38,2.2,613.98,629.89,1152.03,164.23,1111.73,7.71,565.72,35641.6,511.73,423.59,2309.14,1047.35,40.27,25.62,513.24,4273.7,0.1,659.48,190.73,1232.15,8.78,66.51,106.23,20.63,95.06,206.19,10.48,500.0,1117.74,619.44,6278.78,183.44,255.19,49.17,4.13,476.89,279.7,3666.29,0.67,2938.48,2816.98,3690.67,187.82,18715.75,918.89,22.58,12309.18,1385.77,6.27,9.07,988.35,20394.94,900.23,1553.08
2006,2529.77,2387.69,136.96,0.69,68.76,2230.06,126.93,3.38,266.59,71.85,222.79,406.29,186.69,576.32,1401.68,4523.87,192.35,8.48,63.86,81.75,821.99,89.93,704.98,58505.63,34.2,4.18,14.12,313.18,963.22,603.67,62.6,924.58,21410.86,2544.3,1754.58,7955.27,430.65,0.17,25555.07,59.11,39.27,352.64,590.67,24.42,123.39,813.83,66.76,5.08,40.65,2505.36,470.02,3027.86,2585.87,364.23,480.99,114.46,7382.61,118.05,21.83,679.79,4.91,142.35,1080.02,212.71,1457.99,988.6,147.6,162.91,29.34,94.12,4.78,6216.99,154.9,4077.15,82.49,1946.12,196.05,12537.64,52182.34,62.58,2948.29,5960.09,1.87,236.66,622.44,1217.58,205.43,630.2,2154.61,1819.15,432.43,473.33,5.66,4.49,860.82,50.7,463.58,192.89,425.2,207.52,38.15,1900.78,915.71,304.25,6.33,238.23,557.42,0.14,385.89,1693.02,7.98,11004.83,3.66,52.25,1745.51,2.92,2272.06,23.52,367.42,1079.91,407.24,65.76,690.72,806.56,379.2,1620.69,16996.0,815.87,0.1,131.94,46.68,831.31,1.28,66.74,18.42,462465.62,11912.26,468.45,1390.48,17033.28,2.14,624.7,646.32,1149.64,184.92,993.84,9.13,512.05,28848.5,505.16,419.95,2313.9,1055.09,37.08,25.54,526.53,4291.88,0.1,673.2,175.28,1251.55,9.18,64.37,88.85,17.74,88.05,208.13,10.21,526.78,1138.89,623.21,6519.43,185.17,245.57,52.89,4.04,478.31,288.49,3733.26,0.68,2979.23,3011.83,3417.89,201.77,19246.31,887.4,22.65,14114.65,1402.95,6.42,8.7,1015.29,20184.08,901.38,1511.02
2007,2481.74,2415.53,128.53,0.64,76.27,2061.88,124.57,2.9,234.47,55.89,220.84,416.94,188.38,581.15,1440.01,4530.22,179.69,9.0,73.21,79.24,735.62,95.66,850.46,57610.49,33.23,3.77,16.11,322.04,964.13,595.18,56.97,769.29,19536.73,2565.27,1761.23,8166.69,439.25,0.17,24196.44,58.94,39.07,366.47,589.8,17.48,119.55,783.08,67.05,5.45,50.5,2540.13,454.56,2945.02,2689.2,365.88,488.57,106.64,7398.57,122.65,21.34,662.25,4.87,145.43,1084.69,200.38,1483.92,990.74,152.09,160.12,30.42,127.72,5.0,6098.25,143.02,4394.31,69.7,1991.06,177.58,12364.4,52406.58,80.21,2974.25,5711.61,1.93,164.48,628.24,1710.25,215.19,564.53,2010.0,1906.81,434.55,447.14,5.66,5.14,753.17,48.76,464.55,193.22,428.57,203.3,36.14,1807.88,915.34,287.18,6.78,201.5,554.63,0.13,369.79,1711.91,7.99,8882.37,3.64,48.23,1792.16,3.58,2269.97,21.34,330.69,1057.01,410.28,45.18,698.14,823.15,381.62,1668.63,17011.42,827.62,0.09,148.34,33.72,845.83,1.26,57.83,19.72,454116.5,12553.81,593.48,1371.56,16844.45,2.11,631.81,597.66,1176.86,132.17,941.26,11.72,459.09,25380.63,484.8,424.82,2306.95,1065.02,35.74,25.71,542.67,4168.99,0.1,683.93,231.16,1274.93,12.16,59.11,88.48,17.99,122.87,221.91,10.0,569.1,1146.93,626.86,6765.4,162.12,242.36,54.49,3.95,509.26,299.95,3815.4,0.7,3085.74,3128.52,3182.0,193.81,19011.42,862.98,24.34,15186.03,1445.24,6.57,8.36,1032.99,19631.88,933.54,1537.64
2008,2517.1,2450.27,123.06,0.59,79.95,2164.13,126.16,2.56,273.6,51.57,222.28,427.92,165.09,586.65,1479.02,4630.74,168.69,9.48,78.92,77.52,648.33,101.13,954.3,60088.81,34.53,2.62,18.33,329.46,974.26,614.68,54.65,742.62,18389.61,2598.19,1780.58,8393.93,447.81,0.17,25164.56,59.11,41.43,510.48,533.13,11.7,111.77,765.45,67.77,5.65,48.19,2650.78,456.23,3316.78,2824.27,366.17,431.32,97.29,7411.49,124.4,21.07,688.74,4.85,148.27,1051.47,181.52,1517.82,994.64,156.66,162.46,31.63,149.4,4.73,6549.12,132.19,5019.14,79.71,2038.39,208.4,12184.9,52764.91,51.48,2981.82,5416.01,1.73,160.55,609.29,1744.38,220.27,601.42,1947.98,2239.54,440.14,411.48,5.69,6.58,737.11,48.72,462.35,193.17,434.67,198.81,37.77,1725.87,868.15,275.8,5.27,197.02,521.48,0.13,387.28,1723.46,8.16,14700.34,3.61,40.08,1825.18,4.85,2266.07,22.92,290.08,1075.23,412.94,54.11,696.74,811.81,379.02,1704.92,17028.03,846.16,0.09,155.21,27.57,952.17,1.26,52.51,20.64,465416.44,13517.1,817.17,1308.53,16840.47,2.08,671.43,562.45,1183.83,178.4,927.06,13.13,536.58,23741.04,461.23,434.47,2303.88,1075.85,35.52,25.86,559.61,4137.92,0.1,688.53,163.41,1305.79,11.76,54.31,93.83,14.96,81.34,240.86,10.29,582.88,1171.69,629.74,6244.71,144.71,235.79,48.31,3.84,553.46,306.56,3789.86,0.71,3222.18,3323.59,2960.65,220.2,18392.64,856.34,22.33,16713.37,1469.62,6.57,8.02,1086.52,19976.91,938.32,1575.71
2009,2567.32,2493.56,124.67,0.55,79.77,2174.72,126.84,2.76,287.34,62.39,226.7,444.26,168.58,592.57,1513.27,4690.83,155.92,9.78,88.23,75.2,573.88,106.05,1049.55,62139.86,32.32,2.53,19.91,333.71,978.3,610.93,52.5,929.69,16895.76,2638.83,1852.26,8635.1,457.57,0.18,29626.0,58.61,44.76,523.43,586.28,24.35,103.98,770.3,65.39,6.18,48.85,2695.62,446.96,3000.67,2979.43,366.36,403.62,89.9,7472.78,117.64,22.78,675.1,4.83,149.97,1009.29,151.78,1552.9,1003.97,161.83,162.16,29.56,166.55,3.99,6758.63,120.56,5856.29,60.18,2082.47,151.08,12022.76,53008.09,58.63,2977.48,5178.64,1.85,161.64,583.67,1719.78,221.47,515.64,1848.79,2368.18,431.02,393.83,5.7,8.0,728.43,52.29,462.41,184.93,445.45,193.9,39.05,1347.12,844.5,252.71,7.05,161.9,511.55,0.13,345.65,1725.63,8.24,19717.01,3.59,28.99,1867.76,4.49,2263.99,22.27,275.91,1051.57,415.82,36.3,540.48,795.68,413.5,1753.83,17019.83,869.21,0.09,159.1,31.66,919.99,1.25,83.26,21.59,472753.56,14202.69,986.86,1290.43,16327.51,2.04,692.78,473.58,1176.65,125.4,896.9,12.08,514.81,21373.44,470.0,445.77,2300.3,1087.62,32.07,25.72,567.44,4474.51,0.1,749.47,167.26,1328.01,9.53,54.15,83.56,14.48,97.98,242.06,12.31,570.38,1181.27,632.19,5755.67,143.96,219.08,45.86,3.75,585.23,307.42,3832.65,0.71,3425.25,3622.96,2728.63,224.92,17499.62,851.19,22.37,16282.7,1532.68,6.6,7.12,1193.42,19285.1,1004.85,1687.96
