Date,AFG,AGO,ALB,AND,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GTM,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NER,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,OWID_WRL,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
2000,29.73,1.67,2.19,0.0,1.16,1.72,0.11,0.0,7.87,3.83,0.39,1.56,10.81,0.02,0.03,23.07,1.77,0.27,1.09,0.42,7.68,0.32,17.95,82.35,0.45,0.0,0.17,0.36,0.38,111.33,13.01,1.42,386.43,0.05,0.05,3.71,0.75,0.0,12.99,0.14,0.0,7.72,3.81,0.58,3.22,65.82,0.21,0.24,16.22,2.63,30.62,9.25,0.55,0.94,55.05,1.58,10.06,14.56,0.16,35.56,0.02,0.19,90.75,0.34,0.52,0.01,0.0,0.0,0.11,4.77,0.27,59.54,0.2,19.16,1.91,14.15,2.75,12.9,490.82,6.56,251.78,25.54,0.56,8.01,24.09,2.2,0.79,24.87,22.86,3.03,5.51,0.71,0.28,0.11,3.64,2.17,0.31,1.0,0.01,9.02,0.49,26.01,0.51,5.66,1.32,4.66,30.19,0.0,2.53,3.22,0.04,210.79,0.01,0.47,0.01,0.34,2.93,0.07,0.64,1.78,0.01,0.78,2.03,2.93,0.39,0.01,0.42,3.11,0.0,9.89,13.33,4.12,0.0,0.13,1.05,5637.73,71.56,12.19,6.65,4.05,0.0,0.25,14.04,2.11,6.57,0.0,0.29,5.68,790.37,1.81,0.51,18.24,0.03,0.43,0.03,0.01,17.48,0.0,1.48,1.22,0.77,0.01,1.83,1.52,1.17,11.16,0.24,0.04,5.63,0.01,0.02,5.59,0.55,1.63,0.03,0.01,5.75,10.76,19.14,0.0,6.39,4.25,33.04,0.44,2039.43,6.6,0.0,16.8,24.54,0.01,0.02,17.46,53.3,2.77,4.46
2001,30.02,1.61,1.86,0.0,1.26,3.11,0.14,0.0,4.28,3.44,0.41,1.55,10.31,0.02,0.03,23.61,1.58,0.27,1.06,0.43,8.56,0.28,18.33,95.86,0.4,0.0,0.18,0.32,0.34,123.06,13.3,2.19,344.88,0.05,0.05,3.83,0.65,0.0,11.71,0.14,0.0,3.16,2.23,0.62,4.15,67.61,0.24,0.27,16.76,2.6,31.63,5.78,0.62,0.96,52.51,2.23,9.68,13.47,0.16,29.92,0.01,0.2,99.89,0.08,0.52,0.01,0.0,0.0,0.11,5.83,0.41,53.71,0.31,19.8,2.24,14.6,1.94,13.22,490.65,6.74,254.56,26.79,0.6,5.59,23.9,2.17,0.81,27.09,24.73,2.95,5.61,0.72,0.28,0.1,3.26,1.43,0.32,1.02,0.01,10.27,0.51,23.37,0.38,4.6,1.14,3.27,31.04,0.0,2.8,3.38,0.05,223.1,0.01,0.41,0.01,0.4,2.9,0.06,0.73,1.79,0.01,0.45,2.04,3.04,0.39,0.01,0.4,3.19,0.0,9.67,17.75,4.09,0.0,0.25,1.09,5751.49,73.31,7.47,4.37,3.05,0.0,0.24,12.08,2.06,6.25,0.0,0.3,3.33,682.79,1.57,0.59,18.9,0.02,0.39,0.03,0.01,17.72,0.0,1.53,1.29,0.73,0.01,2.1,1.45,1.66,10.12,0.27,0.04,5.45,0.01,0.02,5.98,0.54,1.79,0.03,0.01,5.7,11.32,19.01,0.0,6.39,4.29,31.24,1.58,2275.8,6.86,0.0,18.37,25.38,0.01,0.02,18.05,54.13,2.82,4.48
2002,31.06,1.67,1.73,0.0,1.34,3.38,0.19,0.0,3.96,2.58,0.44,1.48,8.8,0.02,0.03,24.47,0.99,0.26,0.97,0.46,9.84,0.3,19.2,95.97,0.34,0.0,0.17,0.35,0.37,141.01,13.38,3.8,298.94,0.06,0.06,3.96,0.59,0.0,12.54,0.14,0.0,7.44,3.47,0.66,1.82,54.31,0.26,0.28,12.64,2.5,31.54,6.98,0.72,0.97,49.45,3.93,9.25,12.32,0.16,24.26,0.01,0.2,94.91,0.32,0.52,0.01,0.0,0.0,0.11,3.91,0.32,44.27,0.19,20.56,1.3,15.17,1.48,13.96,508.91,6.38,248.33,27.74,0.53,8.83,20.33,1.79,0.84,25.06,26.79,3.43,6.22,0.67,0.3,0.1,3.02,1.52,0.31,1.05,0.01,9.46,0.47,21.09,0.43,2.44,1.12,2.47,31.39,0.0,1.6,3.6,0.05,212.49,0.01,0.45,0.02,0.35,2.9,0.06,0.85,1.84,0.01,0.12,2.05,3.18,0.41,0.01,0.45,3.32,0.0,8.7,15.49,4.05,0.0,0.41,1.06,6069.57,76.36,5.35,4.5,4.37,0.0,0.24,12.2,1.97,6.69,0.67,0.35,3.42,564.68,1.39,0.64,19.21,0.03,0.76,0.03,0.01,15.82,0.0,1.57,0.9,0.74,0.01,2.11,1.27,1.25,8.22,0.31,0.04,5.63,0.01,0.02,6.41,0.55,2.28,0.03,0.01,5.38,11.48,19.21,0.0,6.54,4.27,32.9,0.54,2770.91,7.29,0.22,17.33,25.95,0.01,0.02,18.16,62.21,3.0,4.54
2003,33.01,1.95,1.52,0.0,1.4,1.91,0.12,0.17,5.03,3.28,0.54,1.39,8.51,0.03,0.04,24.91,0.77,0.27,0.99,0.47,9.99,0.3,19.8,106.44,0.37,0.0,0.18,0.28,0.35,133.09,12.07,2.98,249.49,0.08,0.08,4.14,0.57,0.0,11.85,0.14,0.0,9.17,2.68,0.69,1.61,50.35,0.3,0.27,10.15,2.47,30.77,7.42,0.85,0.96,43.95,1.02,8.89,9.98,0.16,26.07,0.01,0.21,80.81,0.17,0.51,0.02,0.01,0.01,0.11,3.63,0.14,42.21,0.0,21.59,1.49,15.58,0.88,14.57,527.77,4.87,231.65,28.14,0.41,6.46,19.22,1.5,0.84,23.92,32.36,2.88,7.21,0.69,0.31,0.08,3.41,1.46,0.3,1.09,0.01,9.64,0.47,18.78,0.53,2.18,0.68,0.69,32.47,0.0,0.72,3.73,0.06,152.44,0.01,0.33,0.02,0.4,2.9,0.05,1.06,1.91,0.01,0.59,2.1,3.43,0.42,0.01,0.52,5.96,0.0,7.66,13.03,4.1,0.0,0.35,1.12,6038.45,77.25,6.91,3.07,5.72,0.0,0.23,9.39,1.9,5.09,0.98,0.37,2.05,446.29,1.25,0.64,19.3,0.03,0.36,0.03,0.01,16.11,0.0,1.6,0.56,0.81,0.01,2.01,0.68,0.64,7.49,0.32,0.04,5.68,0.01,0.03,6.52,0.56,2.89,0.03,0.01,4.88,11.3,19.49,0.0,7.01,4.25,33.72,1.3,2994.09,7.44,0.26,18.34,26.38,0.01,0.02,18.07,66.33,2.95,4.57
2004,34.25,2.05,1.45,0.01,1.54,1.97,0.1,0.16,5.17,2.73,0.7,1.4,6.45,0.03,0.04,24.94,0.6,0.32,0.98,0.46,9.88,0.31,20.52,114.33,0.38,0.0,0.18,0.24,0.35,144.37,11.21,3.64,214.2,0.08,0.09,4.29,0.62,0.0,13.13,0.14,0.0,10.59,1.98,0.01,1.69,45.97,0.33,0.24,9.36,2.46,30.37,2.99,1.0,1.03,44.64,2.12,8.61,11.07,0.14,24.8,0.01,0.21,84.26,0.03,0.5,0.02,0.01,0.01,0.12,3.41,0.27,40.35,0.0,22.2,1.46,15.56,0.76,15.06,554.8,5.75,241.97,28.96,0.33,7.91,24.62,1.22,0.91,27.37,40.24,3.27,9.39,0.71,0.33,0.07,3.57,1.96,0.3,1.12,0.01,9.2,0.43,16.22,0.52,1.51,0.83,1.24,32.73,0.0,0.65,3.9,0.05,152.42,0.01,0.28,0.02,0.38,2.9,0.05,1.23,2.01,0.01,0.95,2.15,3.61,0.41,0.02,0.64,7.25,0.0,10.03,15.35,4.16,0.0,0.39,1.12,6189.31,79.33,6.82,2.58,4.75,0.0,0.22,8.25,1.85,4.53,0.62,0.41,1.07,409.14,1.1,0.75,19.37,0.03,0.51,0.03,0.01,17.54,0.0,1.69,1.26,0.88,0.01,1.77,0.64,0.62,8.96,0.35,0.04,6.74,0.02,0.03,6.6,0.61,4.36,0.03,0.01,4.74,11.66,20.14,0.0,7.18,4.12,39.26,1.84,3131.18,8.05,0.23,15.21,27.15,0.01,0.01,18.09,65.25,2.74,4.49
2005,34.94,1.99,2.45,0.01,1.76,1.96,0.11,0.22,5.99,2.65,0.76,1.36,9.07,0.04,0.05,26.18,0.87,0.34,0.91,0.48,10.54,0.26,21.16,141.98,0.39,0.0,0.18,0.3,0.34,165.17,12.49,4.35,199.1,0.09,0.11,4.42,0.64,0.0,11.71,0.14,0.0,3.8,2.67,1.18,1.44,53.26,0.32,0.28,12.94,2.51,30.59,5.82,1.12,1.06,42.05,1.02,8.36,12.21,0.12,30.06,0.01,0.22,90.3,0.16,0.5,0.02,0.01,0.01,0.13,4.4,0.17,44.5,0.0,23.11,1.3,15.98,0.94,15.47,599.6,4.9,237.83,29.22,0.46,2.42,28.56,2.86,0.92,27.41,49.26,3.65,11.9,0.75,0.36,0.07,2.94,2.39,0.31,1.16,0.01,9.22,0.43,16.14,0.63,1.13,0.75,1.01,33.35,0.0,0.67,3.99,0.06,143.32,0.01,0.26,0.03,0.42,2.91,0.05,1.41,2.13,0.01,1.17,2.14,3.69,0.4,0.02,0.65,3.75,0.0,7.68,12.26,4.25,0.0,0.5,1.17,6707.86,82.47,3.12,1.82,4.61,0.0,0.22,8.11,1.82,4.51,2.19,0.43,0.93,446.49,1.16,0.81,19.6,0.04,2.4,0.03,0.02,18.66,0.0,1.75,1.0,0.92,0.01,1.74,0.65,0.36,9.24,0.37,0.03,7.39,0.02,0.03,6.2,0.65,6.14,0.03,0.01,4.49,11.73,20.49,0.0,7.49,4.35,44.29,0.74,3503.69,10.13,0.0,13.03,28.22,0.01,0.02,18.41,61.77,2.63,4.25
2006,34.39,2.2,2.43,0.01,1.98,3.42,0.22,0.0,5.09,2.76,0.79,1.35,8.46,0.04,0.06,27.52,0.93,0.32,0.99,0.48,9.93,0.28,21.09,173.95,0.38,0.0,0.19,0.33,0.34,176.34,11.36,2.11,177.59,0.1,0.13,4.61,0.6,0.0,5.73,0.15,0.0,12.0,0.88,0.99,1.13,48.94,0.31,0.25,12.59,2.4,30.56,14.66,1.22,1.1,33.23,0.97,8.16,12.02,0.1,29.73,0.01,0.23,95.24,0.3,0.47,0.03,0.01,0.01,0.13,4.28,0.22,45.65,0.09,23.78,1.18,16.01,0.92,15.73,568.57,5.35,240.14,28.88,0.32,1.95,24.61,1.2,0.9,25.0,56.63,4.31,13.58,0.78,0.37,0.06,2.81,2.75,0.31,1.19,0.01,8.57,0.44,15.28,0.99,2.02,0.94,1.53,33.72,0.0,0.49,4.1,0.07,116.6,0.01,0.1,0.03,0.59,2.92,0.05,1.52,2.21,0.01,1.78,2.17,3.75,0.39,0.02,0.77,1.98,0.0,7.02,12.97,4.38,0.0,0.45,1.21,7114.49,84.58,2.99,8.58,7.12,0.0,0.23,4.95,1.81,3.89,0.7,0.51,1.26,408.93,1.35,0.87,19.92,0.05,2.58,0.03,0.02,17.79,0.0,1.79,1.02,1.04,0.01,1.7,0.0,0.18,7.95,0.4,0.04,8.25,0.02,0.04,6.4,0.68,7.26,0.03,0.01,4.32,11.79,21.06,0.0,8.04,4.59,42.77,0.76,3971.65,10.97,0.0,13.38,28.98,0.01,0.01,18.36,63.0,2.66,4.18
2007,34.21,2.13,2.58,0.01,2.26,5.49,0.06,0.0,5.22,2.66,0.84,1.3,9.33,0.05,0.06,27.77,0.97,0.36,0.92,0.5,9.17,0.25,21.88,189.43,0.34,0.0,0.18,0.5,0.36,192.82,11.21,4.29,164.5,0.12,0.15,4.99,0.64,0.0,10.2,0.15,0.0,7.32,1.11,1.14,1.16,53.52,0.34,0.24,9.5,2.29,30.5,3.6,1.29,1.1,36.52,1.19,7.95,14.31,0.09,27.27,0.01,0.24,111.62,0.55,0.52,0.03,0.01,0.01,0.13,4.31,0.0,38.24,0.24,24.26,2.06,16.53,0.79,15.9,563.57,6.38,268.0,28.26,0.18,2.17,28.47,4.43,0.88,30.1,61.03,5.36,13.52,0.83,0.41,0.06,1.51,2.6,0.31,1.25,0.01,9.63,0.39,14.28,1.06,2.58,0.72,1.59,33.59,0.0,0.36,4.1,0.07,109.67,0.01,0.34,0.03,0.57,2.89,0.04,1.63,1.42,0.02,1.38,2.22,3.86,0.38,0.02,0.84,3.6,0.0,6.31,13.37,4.45,0.0,0.62,1.22,7060.11,85.74,1.57,4.59,3.91,0.0,0.23,4.52,1.83,2.55,0.97,0.68,1.2,376.07,1.55,0.92,20.53,0.05,1.6,0.03,0.02,15.8,0.0,1.82,1.29,1.12,0.01,1.6,0.0,0.5,9.97,0.45,0.04,9.47,0.03,0.04,6.59,0.71,7.6,0.03,0.01,4.29,11.87,21.72,0.0,8.42,4.43,51.68,1.11,3874.83,12.12,0.15,14.79,31.6,0.01,0.02,19.68,64.52,2.77,4.08
2008,33.95,2.13,2.59,0.01,2.75,3.52,0.0,0.0,6.69,3.31,0.89,1.29,10.67,0.05,0.07,28.13,1.44,0.38,0.84,0.47,9.1,0.24,22.17,214.82,0.33,0.0,0.19,0.71,0.33,186.15,11.93,3.28,169.98,0.14,0.17,5.26,0.66,0.0,17.37,0.16,0.0,9.15,3.33,1.01,1.09,62.4,0.34,0.25,12.16,2.28,30.6,9.22,1.37,1.17,39.27,1.18,7.81,13.77,0.07,33.18,0.01,0.25,130.03,0.46,0.57,0.04,0.01,0.01,0.15,3.62,0.67,45.12,0.39,24.35,1.73,16.84,0.82,17.07,566.0,6.98,261.6,28.4,0.16,2.08,22.31,2.91,0.9,28.82,53.39,5.92,13.59,0.85,0.44,0.06,0.89,3.55,0.32,1.29,0.01,10.42,0.36,14.14,0.91,1.87,0.97,1.14,34.25,0.0,0.45,4.16,0.08,149.23,0.01,0.4,0.04,0.51,2.9,0.04,1.77,2.76,0.02,0.7,2.29,4.08,0.35,0.03,0.91,2.44,0.0,8.86,14.37,4.62,0.0,0.61,1.14,7119.3906,88.41,2.24,3.25,2.7,0.0,0.23,3.55,1.93,4.25,0.84,0.77,0.57,362.14,1.74,0.96,21.36,0.06,1.93,0.03,0.02,13.9,0.0,1.93,1.83,1.19,0.01,1.55,0.5,1.2,12.27,0.49,0.04,10.17,0.03,0.05,6.68,0.74,7.55,0.04,0.01,4.55,11.86,22.55,0.0,8.54,4.57,53.88,1.53,3808.24,13.11,0.43,16.59,34.28,0.01,0.02,20.23,73.35,2.91,4.32
2009,31.53,2.15,2.64,0.01,3.23,2.18,0.18,0.0,7.33,3.73,0.88,1.41,9.92,0.06,0.08,28.99,0.82,0.37,0.76,0.47,9.45,0.28,22.5,269.46,0.26,0.0,0.18,0.85,0.35,187.63,11.34,4.28,170.7,0.16,0.18,5.32,0.73,0.0,12.91,0.17,0.01,4.1,1.71,1.07,1.8,58.26,0.37,0.23,15.04,2.29,30.91,9.96,1.46,1.23,33.01,1.93,7.67,15.48,0.05,35.06,0.01,0.27,125.39,0.33,0.62,0.04,0.01,0.01,0.17,4.82,0.79,58.0,0.48,24.64,1.38,17.58,0.85,17.99,576.21,7.94,247.56,29.1,0.28,1.72,21.3,2.3,0.81,37.95,43.89,6.6,13.25,0.87,0.45,0.06,0.71,3.28,0.33,1.33,0.02,11.43,0.31,13.28,0.85,1.86,0.65,1.16,35.08,0.0,0.11,4.19,0.09,125.06,0.01,0.34,0.04,0.42,2.85,0.04,1.93,3.79,0.02,1.75,2.38,4.25,0.5,0.03,0.99,5.53,0.0,10.16,14.46,4.86,0.0,0.77,0.81,7020.05,90.35,2.34,0.59,2.57,0.0,0.23,4.83,2.01,4.21,3.65,0.81,1.15,296.97,1.84,0.91,23.15,0.07,0.69,0.04,0.03,16.21,0.0,2.05,1.52,1.29,0.01,1.4,0.67,1.62,13.0,0.45,0.04,10.14,0.03,0.05,6.7,0.77,6.51,0.04,0.01,3.71,12.47,23.81,0.0,9.05,4.63,36.45,1.47,3747.88,13.89,0.42,15.97,36.29,0.02,0.01,20.61,72.77,3.09,4.09
