Date,ABW,ALB,AND,ARG,ARM,AUS,AUT,AZE,BEL,BGR,BHR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BRN,BTN,CAN,CHE,CHL,CHN,COL,CPV,CRI,CYP,CZE,DEU,DNK,DOM,DZA,ECU,EGY,ESP,EST,FIN,FJI,FRA,GBR,GEO,GRC,HKG,HND,HRV,HUN,IDN,IRL,IRN,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KGZ,KOR,LKA,LTU,LUX,LVA,MAC,MAR,MDA,MEX,MKD,MLT,MNG,MUS,MYS,NGA,NIC,NLD,NOR,NZL,OWID_KOS,PAK,PAN,PER,PHL,POL,PRI,PRT,PRY,PSE,ROU,RUS,SAU,SDN,SGP,SLV,SMR,SRB,STP,SUR,SVK,SVN,SWE,SYC,SYR,THA,TJK,TUN,TUR,TWN,UKR,URY,USA,UZB,VEN,VNM,ZAF
1980,,5.028,,3.0,,6.133,1.6,,8.3,,,,,,,,,,,,7.517,0.209,11.502,,5.429,21.5,5.921,,,3.359,5.287,,15.789,,,11.011,,5.288,,6.349,7.133,,2.663,3.8,6.864,,0.607,,,,0.313,4.78,7.37,27.262,,2.017,,,5.2,,,0.723,,,,,1.2,,,,,,,13.448,3.354,1.65,4.019,,,8.375,7.326,,,17.1,7.824,,,,,,,5.751,,,,13.623,,,,2.7,,,,,,7.2,1.23,,,7.175,,,,9.241
1981,,4.224,,5.0,,5.783,2.2,,10.0,,,,,,,,,10.76,,,7.617,0.19,10.291,,6.561,21.861,8.766,,,4.831,7.133,,15.385,,,13.755,,5.743,,7.438,9.65,,4.0,3.9,7.018,,0.232,,,,0.365,5.115,7.649,25.941,,2.208,,,4.5,,,1.015,,,,,0.9,,,,,,,11.8,4.583,2.001,3.911,,,9.184,6.8,,,19.8,8.29,,,,,,22.328,5.925,,,,13.623,,,,3.417,,,,,,7.2,1.36,,,7.617,,,,9.824
1982,,2.813,,4.5,,7.183,3.1,,11.5,,,,,,,,,13.65,,,11.1,0.428,19.814,,7.1,22.229,9.405,2.8,,6.734,7.602,,15.0,,,15.77,,6.076,,8.069,10.725,,5.8,3.522,6.667,,0.154,,,,0.67,5.048,8.288,27.577,,2.35,,,4.133,,,1.33,,,,,4.2,,,,20.563,,,12.4,6.525,2.606,4.358,,,10.981,6.4,,,22.8,7.457,,,,,,22.219,6.281,,,,13.623,,,,4.342,,,,,,7.6,2.14,,,9.708,,,,10.755
1983,,3.335,,5.0,,9.967,3.7,,10.742,,,,,,,,,14.945,,,12.0,0.85,20.999,,8.694,22.603,9.231,3.3,,8.099,8.375,,14.286,,,17.215,,6.147,,7.383,11.475,,7.9,4.35,6.504,,0.173,,,,1.022,4.562,7.367,26.378,,2.658,,,4.117,,,1.615,,,,,6.1,,12.5,,19.721,,,11.0,8.254,3.426,6.241,,3.85,11.573,9.0,,,23.4,7.945,8.3,,,,,21.426,5.57,,,,13.623,,,,4.758,,,,,,7.51,2.71,,14.5,9.6,,,,12.543
1984,,4.41,,5.0,,8.967,3.8,,10.825,,,,,,,,,17.037,,,11.375,1.138,17.515,,8.986,22.982,5.361,3.3,,8.058,7.925,,16.536,,,19.937,,5.928,,8.458,11.75,,8.1,3.875,6.349,,0.117,1.62,,,1.254,5.893,7.833,25.512,5.361,2.708,,,3.85,,,1.748,,,,,5.6,,12.5,,17.623,,,12.0,8.09,3.147,7.186,,3.75,12.216,8.9,,,20.7,10.503,7.3,,,,,20.66,6.135,,,,13.623,,,,4.233,,,,,,7.407,2.45,,14.0,7.508,,,,13.718
1985,,5.853,,6.25,,8.258,3.6,,10.117,,,,,,,,,18.631,,,10.508,0.982,14.975,,8.742,23.369,6.846,3.3,,8.124,6.617,,16.901,,,21.305,,6.049,,8.7,11.375,,7.8,3.182,6.818,,0.041,2.22,17.7,,0.906,6.693,8.167,25.01,5.976,2.625,,,4.025,,,1.667,,,,,4.4,,12.2,,15.306,6.893,,12.5,7.327,2.588,3.922,,3.65,14.418,4.589,11.058,,21.8,8.674,5.1,,4.0,,,19.923,4.565,,,,13.623,,,,3.85,,,,,,6.946,2.91,,13.1,7.192,,,,15.452
1986,,5.43,,6.3,,8.117,3.1,,10.05,,,12.2,,,,,,17.735,,,9.608,0.832,12.299,,7.654,23.762,6.229,3.7,,7.834,4.983,,18.356,,,20.907,,6.665,9.551,8.875,11.325,,7.4,2.819,6.667,,0.212,2.75,18.1,,0.656,7.078,8.867,23.654,8.037,2.767,,,3.842,,,1.458,,,,,4.3,,11.0,,10.941,8.261,,13.1,6.52,1.962,4.2,,3.3,12.504,5.3,11.682,,18.9,8.603,6.1,,3.9,,,19.211,2.012,,,,13.623,,,,3.608,,,,,,7.716,2.66,,10.1,7.0,,,,16.049
1987,,5.164,,6.0,,8.108,3.8,,9.808,,,11.5,,,,,,17.934,,,8.8,0.798,10.984,,7.361,24.161,5.577,3.4,,7.843,5.0,,20.056,,,20.223,,4.9,11.908,9.15,10.425,,7.4,1.737,7.092,,0.315,2.64,18.8,,0.441,6.057,9.617,20.968,8.391,2.85,,,3.108,,,1.669,,,,,3.883,,8.2,,5.963,8.207,,14.0,6.337,2.084,4.225,,3.071,14.102,4.8,11.062,,16.8,7.126,5.5,,3.7,,,18.525,3.9,,,,13.623,,,,2.867,,,,,,8.131,1.97,,9.1,6.175,,,,16.592
1988,,6.033,,6.5,,7.2,2.676,,8.833,,,11.0,,,,,,17.137,,,7.775,0.72,9.875,,6.451,24.567,5.461,2.8,,7.735,5.658,,21.801,7.0,,19.238,,4.208,12.003,8.842,8.575,,7.7,1.365,6.944,,0.463,2.89,18.4,,0.636,6.428,9.683,19.089,8.805,2.517,,,2.525,,,1.536,,,,,3.542,,6.2,,3.888,8.079,,14.2,6.247,3.149,5.8,,3.142,18.78,4.156,9.402,,15.0,7.069,4.7,,3.7,,,17.863,2.575,10.154,,,13.623,,,,2.35,,,,,,8.701,1.69,,8.6,5.492,,,,17.238
1989,,6.721,,8.0,,6.133,2.348,,7.367,0.025,,11.7,,,,,,15.244,,,7.508,0.564,7.98,,6.792,24.98,3.774,2.3,,6.79,6.825,,18.1,7.9,,17.24,,3.108,7.789,8.7,7.225,,7.5,1.079,6.667,,0.531,2.86,17.9,,1.658,8.881,9.667,15.2,10.282,2.25,,,2.583,,,1.402,,,,,2.925,,4.636,,3.6,6.715,,15.0,5.674,4.908,7.325,,3.141,18.939,7.9,9.129,,14.6,5.059,6.1,,3.4,,,17.225,1.775,9.074,,,15.1,,,,2.025,,,,,,8.575,1.57,,8.0,5.258,,,,17.829
